-0.050357+0.301269j 0.0708927+0.152402j 0.0565231+0.0797837j 0.0905215+0.0635251j 0.0778686-0.0914968j 0.0440766-0.0486765j -0.0518059+0.108548j 0.0109267+0.0387655j 0.116094-0.0652004j -0.00963153+0.0122059j 0.024325-0.11892j -0.0371195-0.0167458j -0.0322802+0.0130932j -0.0784758-0.0783087j 0.0421696-0.0701355j -0.00188925+0.0378734j 0.00719482-0.0184051j -0.0368733+0.0594615j 0.00103597-0.00364712j 0.01142+0.0287818j -0.0316007-0.0298052j -0.0275468+0.0380729j 0.0169851-0.0131191j -0.0197071-0.00748992j 0.0143527+0.0256765j 0.0362332+0.0109776j -0.0139902+0.0168035j -0.0334383+0.0332382j -0.00982808+0.0400325j -0.00414718+0.00542619j 0.0136199-0.0208683j -0.00498175+0.0376887j 0.0444082-0.0580461j -0.0164735-0.0144158j -0.00905915+0.00766319j -0.0236918-0.00111737j 0.00685003-0.0275652j -0.0210323-0.00778187j 0.082057+0.0162113j 0.0500653-0.0375884j 
0.0367282+0.249148j -0.0814725+0.42692j -0.0547247+0.107929j 0.0703162-0.108319j -0.0378503-0.0590673j -0.00166494+0.0231935j 0.0315323-0.00146553j -0.0350469-0.0326024j -0.0637423-0.0323782j -0.01065-0.0271291j -0.0131136-0.0738483j 0.00612686+0.0439171j 0.0323468+0.00853529j -0.068579+0.0735962j -0.000630727-0.0614499j 0.00249892-0.00185877j -0.000841999-0.00834972j 0.0381099+0.0793573j -0.015969-0.00126645j 0.0128034-0.00100211j -0.0161145+0.0459354j 0.0241411-0.00211457j 0.00691984-0.0056559j -0.0123052+0.000161028j -0.00707543-0.00233761j -0.0168889-0.00527043j 0.00310752+0.0277061j 0.0446228+0.0244617j 0.0201312+0.0335289j -0.0016267-0.0026513j 0.00539475-0.00678605j 0.00994663+0.0115151j -0.0453832-0.0512846j -0.0169737-0.0162154j 0.0049413-0.0044279j -0.00689622+0.0274393j -0.0191777-0.0125272j 0.0339731+0.0328606j 0.0335227-0.0531361j -0.0528147-0.0543961j 
-0.100938-0.0159562j -0.701077-0.0754007j 0.00151822-0.0111228j -0.00553562-0.00173982j 0.0202563-0.0297808j 0.047865-0.00992816j 0.015966+0.0439821j -0.0253287+0.0102405j 0.0162649-0.00917414j 0.0164504-0.024632j 0.0309185+0.0208829j -0.0029201-0.0268803j 0.00169885+0.0100888j -0.00204377-0.0189604j 0.0305416-0.0232295j 0.00205245-0.00219749j -0.0293227-0.00136285j -0.000632554+0.0262243j 0.00140879-0.000625427j 0.00501326-0.00314349j 0.000268882-0.0149278j 0.00779681+0.00800854j 0.00779869-0.00457794j -0.000841894+0.018064j 0.00616198-0.00703905j -0.00307821+0.00160368j -0.0167238+0.00781929j -0.0107619-0.00207578j 0.00215685-0.00225381j 0.0260169+0.0257715j -0.0111555+0.00568171j -0.0127388-0.00886498j 0.0110914-0.0208059j -0.00325788-0.0212359j 0.0165455+0.00895j 0.0322887-0.00353545j 0.00637507+0.0188455j -0.0111167-0.00409262j 0.00469825+0.00885291j 0.0136603-0.00482805j 
-0.00426826-0.182539j -0.0665961+0.518901j -0.00212497-0.0310763j -0.078435+0.0216842j 0.00688398+0.0567147j 0.016979+0.0770985j -0.0373403-0.0277421j 0.0115145-0.0304866j -0.0304211+0.131703j -0.0239368+0.0344757j 0.0454512+0.0880219j 0.0199835-0.0416468j 0.0248823-0.0283659j 0.0882606-0.0122077j 0.00325034+0.0796556j -0.00691846-0.0293905j 0.0114069+0.0579286j 0.0168244-0.0839559j -0.0202696+0.00372498j 0.00839428-0.0261707j 0.038191-0.0224072j -0.00296162-0.0352972j 0.0142106-0.00107653j -0.00266806+0.00239021j 0.00555323-0.0152955j -0.00752482+0.00445498j -0.0156911-0.00546279j 0.0196559-0.0549238j -0.028653-0.00464399j -0.0118874-0.0167033j 0.00415022+0.0236656j -0.0183876-0.0226648j 0.0199307+0.0716813j 0.0438104+0.000960352j -0.00693693-0.0273389j 0.0196351-0.021701j 0.0141525+0.0300889j 0.0249364-0.0116709j -0.0562725+0.0233687j -0.0100731+0.0696986j 
0.0845173-0.0955074j 0.0199232-0.0670725j -0.0903107-0.0329793j 0.0755034-0.0898417j -0.0898282+0.0615479j -0.0673759+0.00856518j 0.107153-0.0674142j 0.00411905-0.0256177j -0.101484+0.0417747j 0.0281922+0.0423181j -0.0434343+0.0593213j 0.0777497+0.0032329j 0.0901085+0.0493117j -0.0270857+0.0933531j -0.0636127+0.118225j 0.0382493-0.0628811j 0.00451191+0.0215055j 0.0831113+0.0168309j -0.00564013+0.0154521j -0.0247762-0.00529713j 0.00777159+0.0393323j 0.0133838-0.0147179j 0.025157+0.0385295j -0.0162445+0.0160028j 0.0153305-0.00684284j 0.017026-0.0103274j 0.0295619-0.0219458j 0.1083+0.0079349j 0.0446079-0.00107249j 0.0191934-0.0180633j 0.00586169-0.00140862j 0.0259308-0.0252812j -0.0614378+0.0212253j -0.0151687+0.00742777j 0.00918719-0.00866256j 0.00837007+0.00255883j -0.0125403+0.0209874j 0.0259916+0.0561123j -0.0578477-0.0690213j -0.0861968-0.0303943j 
-0.0127089-0.595818j 0.0447846+0.12069j 0.0249729-0.345288j 0.0115637+0.0447372j 0.0585764-0.00215097j 0.0100818-0.016904j 0.00567158+0.0262344j 0.0205994-0.00425268j 0.0424934-0.0946245j 0.0427881+0.0173787j 0.044571+0.0268956j -0.0765077-0.0220286j -0.0210637+0.016519j 0.0255034-0.0440919j 0.0163601-0.023687j -0.0284577-0.0171326j 0.0256432-0.00337783j -0.0370665+0.000528458j 0.0212129+0.00970513j 0.015887-0.0134095j -0.011272-0.0275625j -0.0230125+0.0176662j -3.10367e-05+0.00832237j -0.00515261-0.00538557j -0.00901389-0.0200221j -0.00295624-0.00276201j 0.00114609-0.0368103j -0.0572766+0.00585436j -0.0204269+0.00362925j -0.0141204-0.00372555j -0.000285463-0.00769647j -0.0150574-0.000229705j 0.0372018+0.0276065j 0.00377262-0.00243002j -0.00143049-0.00462303j -0.00864624-0.00349152j 0.00845019+0.00863851j -0.0157204-0.0384237j 0.0361059+0.0345201j 0.0474814+0.0381004j 
-0.0235372+0.36147j 0.0400087-0.0280737j 0.0457895+0.22567j -0.192837+0.107652j 0.0122421-0.114385j -0.115815+0.170867j 0.106929-0.149085j 0.070813+0.0774896j 0.0274459-0.0121001j 0.00749615+0.0119817j 0.0129244+0.0893997j 0.00977135-0.0430849j -0.0244347-0.00682342j 0.106522-0.0188659j -0.0638725-0.0478187j 0.00119805-0.0505113j 0.00196917+0.0156184j -0.0322078-0.0476234j -0.00298058-0.0226765j -0.0143433+0.0133995j 0.0313273-0.0398047j -0.00520889+0.00414696j -0.0179048-0.0142269j -0.0120624-0.0108778j -0.0132243-0.0324897j -0.0135339-0.000965484j -0.00941692+0.0124867j -0.0115426-0.0104074j -0.019175-0.0222033j -0.000180279-0.00286023j -0.0207902+0.043258j 0.00471151-0.0553048j 0.00169772+0.0271456j 0.0403081-0.0238577j 0.0043464-0.0249883j 0.00471068-0.0158112j 0.00953791-0.00514852j -0.0122936-0.0163424j -0.0433798+0.0280578j 0.00482338+0.0222513j 
-0.0219546-0.211196j 0.0492424+0.128051j 0.0538042-0.188822j -0.0061306+0.0900919j 0.100949-0.0549459j -0.153298+0.098013j 0.15406-0.00990532j 0.0797975+0.0896432j 0.011785-0.153476j 0.00572355+0.0521159j -0.0808923+0.0784303j 0.0225537+0.0784191j -0.0345039+0.066474j -0.0284156+0.00811492j -0.0920041-0.0662906j 0.0343486+0.020288j -0.0384697+0.0321114j 0.017756+0.0331882j -0.00135268-0.00562664j 0.0278319+0.000738612j -0.00666802-0.00991645j -0.000769154+0.0198853j -0.0601817+0.0140272j -0.00394188-0.00732973j -0.00493101-0.00820844j 0.00744512-0.00480142j -0.0225896+0.00661391j -0.00857101+0.107079j 0.0457439-0.019505j 0.00657732+0.0117526j -0.0235047+0.00496823j 0.0441458-0.00370547j -0.0240259-0.035509j -0.0063599-0.0257456j 0.00802994-0.00952533j -0.000246464+0.00810613j -0.0216553-0.0167443j -0.0395311-0.0187499j 0.0501279-0.0257574j 0.0071126-0.0520364j 
0.0452852+0.0288476j 0.0425206-0.0301063j -0.0561796+0.0105887j -0.0549136-0.0815914j 0.175024+0.0115503j -0.0848625-0.129974j -0.0863471+0.0398001j 0.0277674-0.0483956j -0.0467551-0.0773061j -0.0494153+0.0416377j -0.134508-0.036982j 0.0451971-0.0303602j -0.0169396-0.0406342j 0.0323893+0.0811967j 0.0529336-0.121425j -0.00604144+0.0196161j -0.0316613-0.0249224j -0.00937972+0.0136879j -0.0351912-0.0170818j 0.0267566+0.00417757j 0.0420939+0.0238584j -0.0255653-0.0331306j -0.0190915-0.1046j 0.00137712+0.0169296j 0.0143226-0.00826409j 0.00858804-0.0386663j 0.0081515-0.00941574j -0.0195235-0.0168064j 0.0121406+0.00679173j 0.000372595-0.0148183j -0.0232435-0.0138501j 0.0488174+0.0484957j -0.0114211+0.0123612j 0.031457+0.0326939j 0.00322082+0.0113369j 0.0417369-0.0231552j -0.0236797-0.0107916j 0.0379361-0.0172946j -0.0153512-0.00912843j -0.0212872+0.00554637j 
-0.0156402+0.106598j 0.0242646-0.0312696j 0.0103082+0.157942j 0.134973+0.202109j 0.0579109+0.292699j -0.239785+0.00121748j -0.00761743-0.108932j 0.194648-0.0853259j 0.0860928+0.197488j 0.00667203+0.0950664j -0.00870754+0.0538079j -0.00617839+0.0644001j 0.0122433+0.0445208j 0.000952365-0.0520112j 0.0468164+0.128166j 0.0191943-0.0685513j 0.0257016+0.0689819j -0.00351996+0.00390444j -0.00717595+0.00960946j -0.0141017+0.00751924j -0.0493052-0.057543j 0.0115252-0.0507946j 0.0506383+0.0759315j 0.00178678-0.0188465j -0.00243204+0.00053618j 0.00266747-0.000591953j 0.00867077-0.017104j -0.0284807-0.0429327j -0.0234793+0.0233254j -0.0308115-0.03222j 0.0326935-0.0402407j 0.00113828+0.00669738j 0.0439547+0.0581736j 0.000322671-0.0157356j 0.000281838+0.00272525j 0.00864674-0.0108227j 0.00806579+0.0182735j 0.0274411+0.0290452j 0.0254581+0.0334239j 0.03634+0.0622023j 
0.0109668-0.0894499j -0.0107858+0.048861j -0.0211714-0.115958j 0.0812849+0.0641966j -0.141284+0.143607j -0.245505+0.162265j 0.0232764-0.0569822j 0.0195464+0.01228j 0.0941043-0.0811494j -0.0552589-0.0451305j -0.0788854-0.106833j -0.0699135+0.00928214j -0.0509439+0.0158667j -0.0682547-0.0113688j 0.0421048+0.020994j 0.0208076+0.0326174j -0.00981713-0.00451243j 0.00134783+0.0331762j -0.0182281-0.000773868j -0.0440669+0.00802181j -0.0373293+0.00887248j 0.0187649-0.0141607j 0.0183178-0.00832539j -0.017296+0.00307968j 0.0100858+0.0150516j 0.0198457+0.01963j -0.00420299-0.01449j -0.00992221-0.0250743j -0.0269929+0.00172467j 0.00544168+0.00694559j 0.0165015-0.0194716j 0.0196771-0.00487295j -0.0214837-0.0198914j -0.0350331-0.017056j 0.00312425-0.00891285j -0.0099514+0.0157442j -0.0101393-0.024913j 0.0344751+0.00432126j 0.0242849-0.0137616j -0.0114254-0.00673978j 
