-0.00295329+0.000695745j -0.000873304+7.61995e-05j 0.00388016-9.13835e-05j 0.00242559-0.00172533j 0.00244513+0.00150076j 0.0101015-0.00416519j -0.00288864-0.00293716j 0.00388898-0.00791756j 0.00152588-0.00232288j 0.00243059-0.0051885j 0.00699499+0.01029j 0.00317423+0.0242975j -0.00877037-0.0179721j -0.00108721-0.00902602j -0.00312779-0.00118369j 0.00603751+0.00469009j -0.00257348-0.0122291j -0.00949055-0.0296884j 0.00182769-0.0139647j -0.0224146+0.00690062j -0.00259116+0.00749171j 0.00762221+0.00413827j -0.00124531-0.00382056j -0.0033-0.000798648j -0.000397579+0.00876838j 0.00264638+0.000881136j 0.00183327-0.0019098j -0.00440375-0.00312342j 0.00144775-0.00460231j 0.00396492+0.00280232j 0.000509383-0.0128137j 0.00221819-0.00262009j 0.00222992-0.00467739j 0.00152412-0.00207364j -0.00251954+0.00450053j 0.00163423+0.000121592j 0.000508898-0.000518457j 0.000980237+0.00316642j -0.000949475+0.00528402j -0.00486128+0.00446167j 0.00151635+0.00362605j 0.00165819+0.00037139j -0.0064295-0.00790095j 0.000108514+0.000894316j -0.000661026+0.00450805j 0.00202449+0.00115208j 0.00189197-0.00491065j 0.00294706+0.000386338j -0.00280291+0.000809175j 0.001769-0.00429901j 0.00244495-0.00162747j 0.00411123+0.00279416j 0.00431524+0.00252756j -2.38214e-05-0.00967268j 0.00024483-0.00750605j -0.000559257+0.00805442j 0.00408473+0.00188038j -0.00222146-0.0130876j 0.00524848-0.0103544j 0.000371065+0.00170914j 0.000248474-0.00125251j 0.00265865-0.00233997j 0.000741629+0.00077132j 0.000500676+0.00188993j 0.000637995+0.00106074j -0.00225811+0.00143449j -0.000451586-0.000697085j -0.000992917+0.00183953j -0.000183761-0.000491122j 8.5317e-05-0.000202745j 8.44579e-05-0.00252811j -0.00116361+0.000766299j 0.000334857-0.00217198j 0.00182066-0.00020111j -0.0025563-0.000205304j 0.00119063+0.00166215j -0.00245886-0.0019722j 0.000289556-0.00109188j 0.00201515-0.00517291j -0.00218391+0.00098151j 0.00225131+0.00179521j 0.00320942+0.00147454j 0.00141902-0.000509712j 0.000473872+0.00420876j -0.000111569+0.00219654j -0.00148515+0.000625607j -0.000643981+0.000201258j -0.00013915+0.0036042j 0.000132249+0.000943297j 0.00201085+0.00112946j 0.000294512-0.00269669j 0.000717241+0.000819339j 
0.00173581-0.00253884j -0.00525174-0.00109871j 0.000345669-0.000345892j -0.000622813-0.000285807j -0.00488965-0.00335756j -0.00566881+0.00311763j 0.00565624-0.00591345j -0.0163639-0.00298001j 0.0021455-0.00110764j -0.0001738-0.00320605j -0.00142929-0.00294566j -0.0132712+0.00461045j -0.0182017+0.0102114j 0.0147123-0.010764j 0.016465-0.00668525j 0.00313128+0.00199224j -0.0130949+0.00244826j 0.00342892-0.00862828j -0.0191335-0.00429166j 0.0228836+0.0102635j 0.00135087+0.0023779j -0.00462015-0.00365731j -0.00300483-0.00572389j 0.00383724-0.00298527j -0.000783197-0.00228202j -0.000159789-0.00158782j -0.00813942-0.0186329j -0.00132302+0.0117723j -0.00329992-0.00521361j -0.00244429-0.00342442j -0.00229517+0.00932015j 0.000471031-0.00280264j 5.08105e-05-0.00607923j -0.00120772-0.00117521j -0.00170079+0.00163744j 0.000301179+0.00424388j 0.000204298+0.0084049j 0.00112431-9.51229e-05j -0.00364775-0.0152668j -0.00118341+0.0056003j 0.000883601+0.00153398j -0.00170902-0.00458005j 6.45469e-05+0.000421478j 0.00174616+0.00776688j -6.19691e-05-0.00623198j 0.00233268+0.00259475j -0.00116061-0.0102226j 0.000317571-0.000658977j -0.00205261+0.0097638j -0.00175475+0.00952646j -0.00286259+0.000823507j 0.00204195+0.0106673j 0.000605613-0.000247439j 0.00210946-0.000899136j 0.00313902+0.0154459j -0.00698516+0.0118135j 0.00378339+0.000370945j -0.00421525+0.0094793j 0.000510695-0.00860457j 0.00129412-0.00273072j -4.10226e-05+0.00549898j -0.000456674+0.00107481j -0.00447361+0.0024098j -7.24413e-05+0.0013011j 0.0019664+0.0020772j 0.00182372-0.00324309j 0.000657273-0.000356896j -0.00114539+0.000816916j -0.000795752-0.000656723j -0.000688178+7.5761e-05j 0.000802741+0.00101491j 0.000980774-6.24152e-05j -0.000676694+0.00391491j 0.00217702-0.0022813j -0.00288254+0.00294881j -0.00286432-0.00142555j 0.00184624-0.00345519j 0.00409623+0.00166716j 0.00078797-0.000822024j 0.00308647+0.00312851j 0.00251118-0.00487279j 0.00225028-0.00683248j -0.0024111-0.00165477j 0.00215542-0.00199423j 0.000487608-0.00109644j 0.000222478+0.00108897j -0.000188977+0.000788369j 0.00228512-0.000378527j -0.000414459-0.00314964j -0.00023622-0.005665j -0.00141966+0.00057778j 0.000344943-0.00157578j 
-0.00112795-2.16529e-05j 0.000475899+0.00141573j -0.000956985+0.000880749j 0.000471924-0.0024392j 0.00140474+0.00100977j 0.000442054-0.00126326j 0.000940766+0.00160291j 0.00739001+0.00442947j 0.00637581+0.000274877j -6.3795e-05+0.00280341j 0.0199099-0.00114898j -0.00820312-0.00904591j 0.00144782+0.0012353j -0.00218551+0.00499366j 0.00862198+0.0045844j 0.0236487+0.00285994j 0.000229742+0.00429473j -0.00898884+0.00779366j -0.00522292+0.0036012j 0.00270556-0.00344229j 0.00181421-0.00065898j 0.00192272+0.00156263j 0.00135741+0.00145557j -0.000638888+0.00341715j 0.00339378+0.00192206j 0.00028878-4.65813e-05j -0.000852938+0.00551582j 0.000249173+0.000861037j -0.0022894-0.00551444j -0.00189565-0.00504458j 0.00246867-0.00792421j 0.00438093-0.0070243j -0.00123988-0.000890753j 0.00171722+0.00103123j -0.0135192+0.0115904j 0.00102903-0.000586723j -0.00520659+0.00936192j 0.0143169+0.00945143j -0.00538633+0.00755513j -0.0343973+0.0158285j 0.0217032+0.00509056j 0.00517385+0.00196364j -0.0247498-0.0123602j 0.00907019+0.0140672j -0.00423495-0.00413142j 0.00717211+0.00749122j 0.000854423+0.00267267j 0.00249902+0.00176218j -0.00127523+0.0071011j 0.00271581+0.00517671j -0.00661653-0.0136545j 0.000649402+0.0114534j -0.000729358+0.00309536j -0.00143095+0.000675499j 0.000694193-0.00639294j 0.00146733+0.0090082j -0.000714681+0.00663261j 0.00100394-0.00733172j -0.00122477+0.00128687j -0.000466469+0.00147997j 0.000719429-0.00139294j 0.000287693-0.00103739j 0.000872531+0.000388042j 0.000216377-0.000529414j -0.000370417+2.69981e-05j -0.000122202+0.00066914j 0.00115295-0.000835297j -0.00177251+0.00133107j -0.00110402+0.00108177j 0.00346494-0.00210972j -0.000827091-0.00074238j 0.000367072-0.000356961j 0.00240457-0.000945241j 0.00377969-0.00207104j 0.000376374-0.000836838j -0.00261833+0.00283227j -0.000149057+0.000585868j -0.000489674+0.000497722j 0.00107392-0.000127489j -0.000962634+0.000482158j -0.000165441+0.00106336j -0.00118013+0.00239438j 0.00043182-0.00023009j -0.0007244+0.000722489j 4.44949e-05+0.000430469j 0.000171703-0.000892212j -0.000147037-0.000369821j -0.000762822+0.000868277j 0.000169932+0.000255821j -0.00021444+0.00124415j 0.000352785-9.96198e-05j -0.000203797+0.000429898j 
0.000553618+0.000398215j 0.000733268+0.00312085j -0.00230361+0.00057408j -0.00304105+0.00171422j 0.000807862+0.00322062j 0.00622855-0.000587687j 0.00510911+0.00505168j 0.0031547+0.00872322j -0.0100059+0.00702631j 0.0104581-0.00119003j 0.0115581+0.00236157j 0.0181955-0.00331755j -0.0229995-0.00577219j 0.0089537+0.0103451j 0.0057904+0.00148874j -0.0215082-0.000671467j 0.0104884+0.00201978j -0.0147697+0.00408136j 0.00382937+0.00294644j 0.0103118-0.00113436j 0.00856426+0.000707414j 0.00362393+0.00182514j 0.00101881+0.0024495j 0.000157521-0.000147171j -0.00193646+0.0016198j 0.00974903+0.0244903j -0.00207515-0.0041871j -0.000729603+0.00337351j -0.00341866+0.00376602j -0.000988876+0.00197831j 0.00122122-0.010131j 0.000249755-0.00722955j -0.00051845-0.00724086j -0.00123985-0.00453749j 0.00156449+0.00345288j -0.00436354-0.000965994j -0.000488535-0.00405554j -0.00148486-0.00350031j -0.000311165-0.00958624j -0.00391449-0.00605477j 0.00437864-0.00239222j -0.00104545-0.00622676j -0.00403179-0.00246649j -0.000557429+0.00151526j -0.000217839+0.00886125j 0.00206627-0.00967617j 0.000425266-0.017203j 0.00124795+0.000582636j -4.68057e-05-0.00886547j -0.000341206+0.00683423j -0.00157795+0.00874236j -0.00224206+0.00487894j -0.00165201-0.00610753j -0.00257635+0.0129489j 0.0029525-0.00950569j -0.00242881+0.00518632j 0.000996163+0.00143963j 0.00125268-0.00398544j 0.00164466-0.00779376j -0.000872935+0.000817095j 0.000830996+0.000233571j -0.0015548-0.000952119j 0.00220397-0.00444266j -0.000187653-0.000353598j -0.000377328-0.00147906j -0.00119233+0.00107127j -0.000822226+0.00051321j 0.00174861+0.000997958j -0.000190549-0.00205971j -0.00246264+0.00162383j 0.00143005-0.00156937j -0.00079206-0.000151799j -0.00129222+0.000843148j -0.00118098-6.52559e-05j -0.00196883+0.00219189j 0.00266131-0.00118017j 0.000714171-0.000557832j -0.00123859-0.00252569j -0.00201367+0.00278124j -0.00116334+0.000439236j -0.00243166+0.000849602j -0.000416881+0.00111608j 0.000729011-0.00146534j -0.000197751+0.00290614j -0.000722051+0.000692577j -0.000147682+0.00118948j 0.000304827-0.000475302j -0.000430277-0.00121972j -0.000273369+0.00099874j 3.1387e-05+0.000784611j 0.00015727-0.000812539j 7.61505e-05+0.000375832j 
-0.00299265-0.00308361j -0.000549517+0.00125884j 0.00163932-0.00321866j 0.0010466-0.00302419j 0.00210537+0.00201308j 3.84671e-05-0.00222926j -0.00914+0.00388953j 0.0105803+0.00290505j 0.0145674-0.00106358j -0.0130549+0.00309066j -0.00538245-0.000908113j 0.010169-0.00740478j -0.013439-0.000712019j 0.0183064+0.00677693j -0.0125629+0.00359547j 0.0116737-0.00411411j -0.0240101+0.000804904j -0.0116396+0.0101037j -0.0079487+0.00534499j -0.00331466-0.00895287j 0.00093343-0.00209101j 0.00674728+0.00527504j 0.00239472+0.00370755j -0.00463996-0.000242735j 0.00937556+0.0125506j -0.00321345-0.0113454j -0.00175719-0.0176604j -0.00109053-0.00734787j -0.00245911-0.00628288j 0.00254772+0.00275529j 0.000683327-0.00903546j -0.00107636+0.00403189j 0.00126876+0.00250819j -0.00214659-0.00418104j 0.00772289+0.00293493j 0.00297135+0.000630174j 0.00366683+0.00312259j -0.00424243-0.00144839j 0.00155703-0.0113259j 0.013824-0.00391189j -0.00827951+0.00159323j -0.00138756-0.00507847j 0.00678706-0.00134366j -0.00243255-0.0036478j 0.00279572+0.00409097j -0.000291799-0.0111625j -0.00125381+0.0016856j -0.000989811+0.00152738j -0.00382467+0.0153664j -0.0011563-0.00635271j -0.000157869+0.00715329j -0.00261382-0.0129268j -0.00351077+0.000689479j -0.000646583-0.0145286j 0.00141139-0.000475558j -0.00148048+0.00866373j -0.00193087+0.00216311j 0.00241305-0.00308983j 0.00062708-0.00313436j -0.000760702-0.000363142j 0.00114829-0.00134683j 0.0035334-0.00101104j -0.00307652+0.00460021j -0.00118671+0.00161462j 0.00142122+0.00194293j -6.10751e-05+0.00240815j 0.000370929-0.000724126j 0.000483702-9.56755e-05j 0.000663774-0.000621219j -0.000380804+0.000172652j -0.000544939-0.000821972j 0.00116393+0.000244013j 0.000951993-0.000977104j -0.00181221+0.00229012j 0.00311686-0.00159611j -0.00113997+0.00133141j -0.0015917+0.00182453j 0.00098317+0.00043807j 0.00201336-0.00311549j -0.00037806-6.02531e-05j 0.00169542-0.000396067j -0.000258358+0.00130647j 8.55166e-05+0.000162471j -0.00041818+0.000607033j 0.000519043+0.000938829j -0.000150011-0.00145568j 0.000189569+0.000777196j -0.00069882+0.00300838j 0.000324833-0.000300815j 0.000230201+0.000923877j 0.000399018-0.000746573j -7.90294e-05+0.000580863j 
0.00114958+0.000642904j 0.000253309-0.00275255j 0.00140339-0.00122054j 0.000384941+0.0015259j -0.000580901-0.00321191j -0.00330567+0.00132648j -0.0030838-0.0024367j -0.00215335-0.00853938j 0.000116882-0.00264403j -0.00516485+0.000910095j -0.0211967+0.00190908j 0.0157291-0.00142485j -0.00786042+0.00869546j 0.00382972-0.00769066j -0.0148923-0.000879896j -0.0195851+0.00261271j -0.0090275-0.00131068j 0.0089632-0.00271317j 0.00359755-0.004245j -0.0033686+0.00119502j -0.00526047-0.00145855j -0.00186393+0.000185278j 0.00177306+0.00573023j -0.00138156-0.00120813j 0.000251645-0.00670897j -0.00212537-0.00844989j -0.001758+0.00514613j 0.00102455+0.00403865j -0.00144047+0.00737432j 0.00034621+0.011977j -0.000295077-0.00862779j 0.0036348-0.0115956j -0.000299803+0.00494478j -0.000169999-0.00832257j -0.0137018+0.0201615j 0.00135216-0.00354604j -0.00643738-0.000329648j 0.0144799-0.0136769j -0.00623317-0.0120975j -0.0329604-0.0114986j 0.0189271-0.0018547j 0.00548845-0.00352411j -0.0232999-0.0046576j 0.00705075-0.00459802j -0.00422034-0.00685548j 0.00535909-0.00038319j 0.00110003+0.00207168j 0.00303786+0.00594999j -0.000653496+0.00116151j 0.00283651-0.00202811j -0.00314374-0.0112773j 0.00310226-0.00295528j 0.00104851-0.00506894j 0.000981916+0.003952j -0.00121384-0.00746746j -0.000658195+0.00280882j -0.000481062-0.000400021j 0.000325335+0.000467902j 0.000333998+0.00258764j 0.000167523-0.000713837j -0.000143267-0.000799302j 0.000415316+0.000730502j -0.00152996+0.0011899j -0.00079988+0.000239492j 0.000201088+0.000194496j 0.000499159+0.000522672j -0.000799391+0.000569628j 0.00188453-0.0012899j 0.00114564-0.000325262j -0.00277883+0.00152382j 0.000333173+0.000779611j -0.000123014+0.000520324j -0.00116808-0.000472111j -0.00391905+0.00237706j 0.00174878-0.000764088j 0.00173873-0.00153304j -0.000253143+0.00172383j 0.000590652+0.00023684j -0.00067748+0.000295629j 0.0011495-0.00106135j 0.000256157-0.000715471j 7.49993e-05-0.00051693j -0.000550011+0.000584475j 0.000209054-0.00135017j 0.000184354-0.000694509j 8.72265e-05-0.000156299j 0.000229502+0.000373383j 0.000417746-0.000557359j -6.38382e-05-0.000279506j -0.000186405-0.00036197j -0.000135751+0.000546917j -4.11362e-05-0.000205923j 
0.00475261+0.00234063j 0.00411443-0.00544606j -0.000192694+0.00209542j 0.00067401+0.00122118j 0.00121119-0.0059068j -0.0154663+0.00549348j 0.0120223-0.00412795j 0.00728275-0.000229371j 0.0124568+0.00183534j -0.00261048+0.00651549j 0.0119974+0.00596347j 0.0234446+0.0105829j -0.0125338-0.0136609j -0.0228953+6.9471e-05j -0.00273238-0.00229226j 0.00926924+0.00245157j -0.00301983-0.00638484j 0.0170857-0.00464109j -0.000444094-0.00414078j 0.00629278+0.00281997j -0.0178708-0.00470778j -0.00647238+0.00675044j 0.00993892+0.0148006j -0.00155452+0.0147624j 0.00234211-0.00150171j 0.00106087+0.00591407j -0.00124797+0.00799866j 0.00552821-0.00144724j -0.0024923-0.00520139j -0.0014219-0.00322756j -0.00470266+0.00663856j 0.00232603+0.00780247j 0.000103641+0.0125793j -0.000841993-0.00195521j 0.00248199-0.00305984j -0.00289614+0.00606231j 0.00193268+0.00967807j -0.00186843+0.00366418j 0.00216407-0.0154523j 0.00565736+0.00315045j -0.00391172-0.000523507j -0.000976205-0.00940853j 0.00211044-0.00119977j -0.0014608+0.0046271j 0.000457926+0.00518145j -0.00158497-0.00237035j 0.00219422+0.005021j -0.00154555-0.00173307j -0.00010265+0.0102144j 0.000929402-0.00269923j 0.000880815+0.00190148j -0.000253107+0.00435259j 0.00100891-0.0042362j 0.00158283+0.00811192j -0.000315057-0.00988233j -0.00144165+0.00343742j -0.00286377+0.00561931j -0.000604228+0.00465835j 0.00105594+0.00620202j 0.000490901-0.00391754j -0.00110143-0.00178918j -0.00330478+0.00268646j 0.000963116-0.00101339j -0.000255863-0.00303235j -0.00139446-0.000887103j 0.00262789-0.00161528j 7.47787e-05+0.000365592j 0.000629441-0.00034376j -0.00030936+0.00267388j 0.00118958-0.00114255j -0.000910338+0.00224099j -0.000311557+0.000483753j 0.00135782-0.00194354j -1.37301e-05+0.000234088j 0.00154735-0.000805738j -0.000703616-0.000695833j 0.00268108+0.00241405j -0.000728558+0.00231636j -0.000989464+0.00250721j 0.00196929-0.00210034j -0.000689375-0.000599982j -0.000141798-0.00126778j -0.000980393+0.000884101j 2.43601e-05-0.00377687j -0.000351438-0.00264639j 0.000423936+0.00066321j -0.00011205-0.000434961j 0.00112187-0.00310159j 4.84661e-05-0.00114895j -0.000130089-0.00243653j -0.000413311+0.00168392j -1.57423e-05-0.00109586j 
0.0010137-0.00398323j -0.000562963+0.000438752j -0.000812862-0.000242165j 0.000808867-0.00061552j -0.00102987+0.00230727j -0.00627893+0.00571379j -0.00250028+0.00894427j -0.00403051+0.0194101j 0.000663764+0.0140193j -0.00759206+0.00480622j -0.014552+0.0149561j -0.00672118+0.00662067j 0.0149353-0.0337807j 0.00313227+0.0234131j -0.00391875+0.00487806j -0.000510159+0.000610783j -0.00330144-0.00457858j 0.0102342+0.00280416j 0.00173137+0.00109526j 0.00920514-0.000773032j 0.00204581-0.0056021j -0.0035967-0.0019138j -0.00193857+0.000628744j 0.00150735-0.0103753j -0.000115364-0.00658093j -0.00574136-0.00775662j -0.00098899-0.00366568j 0.00134059+0.00363189j -0.00133194+0.000942969j -0.00244781+0.00153876j 0.00211405+0.00439827j -0.000905496-0.00674859j -0.000986326+0.000154902j -0.00031656+0.00421352j -0.00382125+0.00849053j 0.000952709-0.000263727j -0.00203036-0.00124695j 0.00492578-0.00839479j -0.00308685-0.00191577j -0.00779617-0.00351126j 0.00589762+0.000975986j 0.000220684+0.00131814j -0.00372042-0.000167804j 0.00270159-0.00162204j 0.000193639-0.00847466j 0.000720568+0.0053859j -0.000765212+0.0018095j 0.000837982+0.0031668j 0.0010317-0.000216363j -0.000607108+0.00483543j -0.00290778-0.00808929j -0.00191404-0.000121048j -0.00463427+0.000964537j -8.19193e-06-0.000252453j -0.00128311+0.00569537j 0.00123604-0.00179513j -0.00200331-0.00246935j -4.18455e-05+0.00525704j -0.000510018+0.00124201j 0.000388215-0.00104419j -0.000981382+0.00184899j 0.000226198+0.000761302j -0.00180712+0.00175871j -0.000293937+0.0017708j 0.00011187+0.000835644j 0.000907865-0.00150866j 0.000624051+0.000140459j 0.000162189-0.00103013j 0.000416513-9.86597e-05j -0.000728549+0.000531381j -4.95675e-05+0.0007242j 0.00105062-0.000131424j -0.00120436+0.00164689j -0.00119071+0.000663316j 0.000316739+0.000526433j -0.00053709-0.000776824j 0.00101927-0.00122784j 0.000320591+2.87272e-05j 0.000730446-0.0004062j 0.000586461+0.00023162j 0.000562634-0.00118634j 0.000421606-0.0020247j -0.000284231+3.28576e-05j 2.16407e-05-0.00120051j 1.83526e-05-0.000376267j 8.43072e-05+6.53152e-05j 0.000146148+0.000429096j 0.000137476+0.000201675j 0.000296904-0.000965276j 0.000245628-0.00161726j -0.000131569+0.000293995j 3.4096e-05-0.000538811j 
-0.0024225+0.000963313j -0.000642856+0.00382687j -0.00182379-0.00197622j -0.00578787-0.00083325j -0.00165415+0.00561182j 0.000823353-0.00213456j -0.00226568-0.00186073j 0.00292548-0.000176944j 0.00315364+0.000737386j -0.00118548+0.00162668j 3.82908e-05+0.00112684j 0.000105164+3.92851e-05j 0.00679476-0.00352332j -0.00525314+0.00465666j -0.00454371-0.00166531j 0.000722892+0.00219457j 0.00611275-0.00239485j -0.0109515-0.000848908j 0.00074014-0.00234907j -0.0142524-0.0014047j 0.00126838-0.000148969j -0.00141975-0.0043355j 0.00135595+0.000466372j 0.00441026+0.0103266j 0.00211039+0.00697283j -0.00223221-0.000846291j 0.00518219+0.000692715j -0.00494171-0.00433567j -0.0013882-0.00119688j 0.00161261+0.00309335j -0.00486829-0.00819156j 0.00293173+0.000947342j 0.0011116-0.00218689j -0.00170374-0.00087247j 0.00168729+0.00202995j -0.00161214-0.00477341j -0.00150519-0.00218766j 0.000532736-0.000964488j 0.00131961-0.00996829j -0.00265315-0.0044147j 0.000996883+0.00270287j 0.000982695-0.00286615j 0.00426795+0.0139947j -0.00103722+0.00885003j 0.00378489-0.0132202j 0.000984303-0.00315006j -0.00321411-0.0163294j 0.00243361-0.00628283j -0.00591496+0.00444022j -0.000311929+0.00390844j -0.00637838-0.00446042j 0.00152224+0.0240778j 0.0003774+0.00455878j 0.00106-0.0140994j 0.00901239+0.00854469j -0.0103202-0.00332741j 0.016775-0.0175089j -0.0109151+0.0188511j -0.0149068+0.00593105j -9.32799e-05+0.00146299j 0.00560982+0.000952162j -0.00127284-0.000181677j -0.00268881+0.000697707j 0.000769939-0.00269781j 0.00526287-0.00186209j -0.00105852+0.00284938j -0.000607627+0.0011261j -0.000796011+0.00132978j -0.00109756-0.00123135j 0.00055337-0.00113552j -0.00081724+7.42537e-05j 0.000432556+0.000520869j 0.00252008+0.00180317j -0.00206485-0.000749115j 0.00381777-0.00488624j -0.00147783-0.00224635j -0.00305786-0.00369263j 0.00884928+0.00131243j -0.00497432+0.00298178j 0.00662546+0.00329727j -0.00296017-0.00142123j -0.0027975-0.00963965j -0.00846938+0.00416489j 0.00731075-0.00693882j 0.0028074-0.00141125j 0.00314254-0.000526244j 0.00081819+1.67305e-05j 0.00350657-0.00475054j -0.00381969+0.000142428j -0.00643012-0.00272656j -0.00385654+0.00394347j -0.000396061-0.0017448j 
-0.000284233-0.00121595j 0.00218014+0.00374891j -0.00109688+0.00195869j 0.00299432+0.00320378j 0.0037189+0.00443721j 0.00182555+0.000697025j -0.00433355+0.00056911j -0.00297147-0.0013592j 0.00199139-0.00152829j 0.00450326-0.00167204j 0.00151457+0.00268606j -0.000480931+0.00633258j -0.00294772-0.00613547j 0.00857027-0.00216466j -0.00234871+0.00025348j 0.00076241+0.000998999j -0.00309546-0.00369146j -0.00958592-0.00320995j -0.0012033-0.00366345j 0.0020412+0.00532722j 0.0122115+0.000124255j -0.00952906+0.00231673j 0.00419354-0.00044278j 0.00500758+0.0029886j 0.0062979-0.002449j 0.000872996-0.00441474j -0.005345+0.000934941j -0.000110021+0.00645807j 0.000103352+0.0102892j 0.00757789-0.00544361j 0.00261525+0.00508888j -0.00226458+0.00757707j -0.0078406+0.00650514j 0.00184907-0.0100963j 0.000393596+0.00201189j 0.000778463-0.0173425j -0.00186907+0.00163004j -0.000168391+0.0183877j 0.00115504-0.00263413j 0.00231034-0.00237925j 0.00233657-0.0122255j -0.00186234+0.0107276j -0.00092974+0.00808937j 0.000599541+0.00218128j 0.00143857-0.00684003j -0.00230013-0.00267697j -4.09264e-05+0.0124142j -0.000554232+0.00340564j 0.00685213+0.000911961j -0.00755672+0.0128603j -0.0062477-0.00519697j 0.00149541-0.0131443j 0.00413758-0.00213417j 0.00699749+0.0206482j 0.000452491+0.016964j -0.00114095+0.00599794j -0.0122363+0.0021808j 0.00965466-0.000890811j -0.0122001+0.0133507j 0.00358968+0.00383183j -0.0072347-0.00536476j -0.00123861+0.000444269j 0.000137531-0.00135638j -0.00305416+0.00892071j -0.00117823-0.00418791j 0.00120888-0.00404288j 0.000987299-0.000330131j 0.000832279-0.00145235j 0.000948982+0.0046518j 0.000695355-0.00041697j 0.000872332+0.00726442j 0.00177888-0.00276584j 0.000211788+0.00789113j 0.000159701-0.0023403j 0.00161469+0.00388193j -0.00403213+0.00188791j 0.00354864+0.00944647j -0.000462437+0.00347372j 0.00083641+0.0073133j 0.00590983+0.00178721j -0.00400994-0.00657922j -0.0083538+0.012302j -0.00199538-0.00308316j -0.00458137-0.00794267j 0.00228205-0.00332857j 0.00352213-0.0079736j 0.00051406-0.000434423j -0.00251952-0.00344968j 0.000823548-0.00158849j -0.00709626+0.00816731j 0.00127573+0.0106415j -0.00378757+0.000506168j 
0.000295242+0.00134994j 0.000844647+5.77232e-05j 0.00200456-0.000401223j -0.00224557+5.94265e-05j -0.000247216-0.00172052j -0.000515481+5.69479e-05j 0.00159412-0.000332125j -0.000859844+0.000383686j 5.9129e-05+0.000229156j -0.00258712-0.00126097j 0.000745079+0.000509949j 0.00231418+0.0024672j -0.00019576-0.00144967j -0.00509748-0.000172261j 0.00243734+0.000541442j -0.000346895+0.000593621j 0.00459689-0.00141614j -0.00434741-0.0027036j -0.00646638-0.0028541j 0.00500412+0.00189919j -0.000272986+0.00176331j 0.00121906+0.00341808j 0.000122228-0.00188152j 0.000569771-0.000142361j -0.000121974+0.00646269j 0.00179981+0.00123864j -0.000268659-0.000864881j 6.37235e-05+0.00510493j 0.00190397+0.00738583j 0.000519278-0.000944612j 0.00154365-0.00028079j 0.000460153+0.000848752j -0.00238325+0.00236725j -0.00108001+0.00545432j 0.00302341+0.00668042j 0.00471467+0.0102979j -0.000656392-0.00537084j 0.00280241-0.00680597j -0.000909654+0.00927416j -0.000972206-0.000489931j 0.00366037+0.00887807j 0.000266213+0.00937857j 0.00250147+0.0101692j 0.00191974+0.0326207j 0.00402709-0.0195968j 0.00266932-0.0287784j 0.00106174+0.0239398j -0.00728189+0.0286393j -0.00253345-0.00730122j 0.00128521-0.00182934j -0.000137325+0.00552293j -0.00114734-0.00265882j 0.00181692-0.00663519j -0.0017899-0.00785143j 0.00200366+0.00726559j 0.00630348-0.0143352j -0.0040072-0.00286765j 0.000604289+0.00216858j 0.00148143+0.00323823j -8.11364e-05-0.000785833j -0.00094716-0.00071238j 0.000884428-0.000325811j 0.00169923-0.00191501j 0.00129576-0.00139554j 0.00317819-0.000558112j 0.00082397-0.00168323j 0.00258165-0.000890853j 0.000634559+0.000480327j 0.000590297-0.000515223j -0.000203424-0.0007553j -0.000143987-0.000477127j 0.00421751-0.000809844j 0.00118854+0.000836201j 0.000361139+0.00150295j 0.00188153-0.000482155j 0.00380934-0.0037599j -0.00103691+0.00158837j 0.000171555+0.000641119j -0.00252023+0.000518287j 0.000168793-0.00159637j 0.000311071-0.00113303j 0.000396924+0.000776532j 0.00128311-0.000549286j -0.00108317+0.00086911j -0.000481003-0.000329528j -0.000592881+0.000382371j 0.000661275-0.000154857j 0.00032787-0.000200656j 0.000285032-0.000163463j 0.000883055+0.000176123j 0.000445271-0.000494967j 0.000100102+0.000176269j 
