0.00425694-0.00126994j -0.00133161-0.00438279j -0.00201923+0.00157277j -0.00152818-0.00243466j -0.00138448+0.00079535j -0.00130298-0.000682034j 0.0020267+0.0014443j 0.000227439-0.00237097j -0.000553144+0.00100759j 0.000445418+0.000375257j -0.000222701+0.00111743j -0.00104852-0.00191932j -0.00163929+0.00166746j 0.000503571-0.0018509j 8.45636e-05+0.00025907j 0.00118855-9.36781e-05j 0.000639637-0.00074195j -0.000475257+0.000329425j 0.000338072+0.000209608j 0.000326304-0.000446276j 0.00080891-0.00173124j 0.000655646+0.000610878j -0.000265641+0.00160026j -0.000440211-0.000615761j 0.000306037+9.24487e-05j 0.000190313-0.000112955j -0.000618401+0.000469265j 0.00183553-0.000843275j -0.00172434+0.000482482j 0.000158628-0.000312817j -0.000247956+0.000861717j -0.00107582+0.000569496j 0.000350254+0.00167907j -0.000451809-0.00100136j 0.000913337-0.000604791j 0.000294273-8.12649e-06j 0.00207034-0.000347777j -8.30709e-05+0.0011726j 0.000687077-0.000331297j -0.000774518+5.99157e-05j -0.000770961+0.00044384j -0.000104842-0.00052795j -0.00153249+0.000921256j 0.00124001-0.000952906j -0.0008148+0.0012926j -0.000902023-0.000601064j 0.00108792-0.000376041j -0.000616395+3.96066e-05j -0.00227308-0.000392892j -0.000358275-0.00159481j -6.40958e-05+0.000829112j 0.00104156+0.000264921j -0.00132683-0.0013894j -0.000290776-0.00122936j 0.00139333+0.000266337j -0.00125396+0.000803418j 0.000906426+0.000625019j -0.00188845-0.000567547j -0.00158239+1.01291e-05j -0.000280489-0.000899404j 0.000307124+0.00102565j -0.00103964-9.37054e-05j 0.000994183+0.000738529j -0.000631554+0.00165949j 0.000783986+0.000270067j -0.00136271+3.64845e-06j 0.000335049+0.000994822j 0.00240511+0.00087608j 0.000827437+0.00332286j 0.000783752-0.00091565j 0.00139518+0.00091193j 0.000766054-0.0034119j 0.00277141-0.000102231j -0.00227608-0.00178011j -0.00155997+0.00181216j 0.00630337-0.00728717j 0.00722562+0.00637915j 
0.00102023-0.000115711j -0.000327068-0.00105283j -0.000946746+0.00107719j -0.00153631-0.000953257j -0.00021107+0.000487972j -0.00125806+0.000293454j 0.000894968+0.00181711j 0.0016444+0.00038702j 0.000857261-0.00133664j -0.000224128+0.000502006j 0.000618769+0.00145416j -5.32427e-05-0.00210475j -0.000980483-0.00161252j 4.54816e-05-0.000773114j -0.000125494+0.00138213j -0.000614316-0.000164636j 0.000210927+5.87671e-06j -0.000720755-0.000198587j -0.00085508+0.000241031j -0.000577896-0.000341663j 0.001171-0.00011875j -0.00141081+0.00192399j -0.000278722+0.000384053j 6.44941e-06+0.000409451j 0.000466051+0.000841876j -0.000377777+0.00115811j -0.000174231+0.000181877j -0.000571325+0.000530179j 0.000540668-0.0012278j 0.00106179+0.00104715j -0.000613908-5.29065e-05j 0.000540669+0.000872339j -0.0021273+0.000632336j 0.00149828-0.000604898j -0.000738012-8.43601e-05j -0.000181944+0.000346238j -0.000864025+0.00165282j -0.000669688+0.00203143j 0.000244938-0.00085266j 0.000652792-9.2551e-05j 0.00038089-0.00191864j 0.00134901+0.000705054j 0.00138919+0.000105143j 0.00118356+0.000857258j 0.0009696-0.000496324j 0.0013666-0.00113622j 0.0012381+0.000430599j -0.00063784+7.6551e-05j -0.00152976+0.000431238j 0.00124202+0.000241822j -0.000796431+0.000836661j -0.000831362-0.000747181j 0.00085024-0.000579735j 0.00149383+0.00184808j -0.000641668-6.58358e-05j -0.000787746+0.000172576j -0.000206192-5.06447e-05j 0.000978854+0.000353071j -0.00199254+0.00126686j 0.000917242+6.16001e-05j -0.000850239-0.00193457j 5.79866e-05+0.00135871j 0.000221355+0.000474412j 0.000681978-0.000928028j 0.000312279-0.00192795j -0.000612662+0.000273482j -0.0031078-0.000443083j 0.00157711+0.00154964j 0.00075578-0.000643771j -0.0014986+0.000835881j 0.00234666+0.0018666j 0.00202363-0.00102614j 0.000208938+0.00168814j -0.00144638-0.00336353j -0.00381709+0.00142279j 0.00189604+0.00743855j -0.00731346+0.00208434j 
-0.00718684+0.00141613j 0.00175998+0.00737183j 0.00556345-0.0023941j 0.00281221+0.00598746j 0.00312544-0.0012108j 0.00294112+0.00196558j -0.00265559-0.00377216j -0.00188176+0.00216151j 0.000533032-0.000560363j -0.000589756-0.00172662j -0.00029346-0.00271653j 0.00119509+0.00466999j 0.00230755+0.000148818j -0.00111323+0.00240626j -0.000253632-0.000185304j -0.00124242+0.000219872j -0.00140728+0.00105111j 0.0011197+0.000404485j 5.82599e-05-0.00102999j -0.000671047+0.0012538j -0.00156259+0.00209746j 0.000353161-0.00251817j -0.000804277-0.00197969j 0.00028386+0.000456876j -0.00121782-0.000721408j 0.000446334-0.000629525j -0.00116509-0.000248745j -0.000605393+0.000421989j 0.00114135+0.000604114j -0.00037085-0.00111754j -8.05582e-05-0.00107766j -3.62807e-05-0.000842442j 0.00207749-0.00216339j -0.000853103+0.0016146j 0.00061174+0.00158844j -0.00026897-0.000143884j -3.94138e-05-0.000439722j -9.06048e-05-0.00310017j -0.00178529+0.00227484j -0.000462407-0.000604096j 0.000139442+0.00117187j -0.00105557-0.000940137j -5.40059e-05-0.00172042j -0.00183338+0.000394617j 0.00029258-0.000223921j -0.000393696+0.00177709j -0.00135673+0.000767117j 0.00136536-0.000860555j 0.00309197-0.00170226j -0.00185222+0.00111025j 0.000506757-0.00260438j -0.000541159+0.00140306j 0.000333313+0.00112859j -0.00164072-0.00101519j -0.00196718+0.00016332j 0.00230218-0.000951545j -0.00117419-0.000973274j 0.00166268+0.00031418j 0.00445046-0.0023765j 0.000257888+0.00154923j 0.000784596+0.00197623j 0.00144801-0.00122705j -0.00108478+0.000176611j -0.000853476+0.000980049j -0.0012311+0.0015787j 0.00256469-0.00033217j 0.00357002-0.000612818j -0.00391331-0.00177963j -0.00239955-0.00168218j 0.000714008-0.000188922j -0.00374696-0.00247875j -0.00310687+0.0031515j -0.00186006-0.00237716j 0.00280606+0.0111813j 0.0116197-0.00241252j -0.00773256+0.00379448j -0.00389548-0.00806719j 
-0.00333985+0.000305895j 0.000285604+0.00306886j 0.00191044+0.000316921j 0.000211625+0.00125428j -0.000875454-0.00191606j 0.00164692-0.000358769j 0.00293094+0.000191055j -0.00091259-0.00356262j -0.00128602+0.0023248j -0.00165858+0.000563174j -0.00217972-0.00171368j -0.00136333-0.0011202j -0.000301642+0.00120166j 0.00198702-0.00188526j -0.000425763-0.000971662j 0.000407957+0.000274438j 0.0020543-2.92257e-05j -0.000443357+0.000860112j 0.000639054+0.000117333j -0.000728508-0.000872346j 0.00040598-0.00186077j -0.000404247-0.00108515j 0.000116913+0.000589795j -0.000955412-0.00157899j -7.76602e-05-0.00114046j 0.000533768+9.60683e-05j 0.000708969+0.000336066j 0.00302363+0.000344935j -0.00222412+0.00130108j -0.00032042-0.000193846j -8.98907e-05+0.00040568j -0.000102308+7.9541e-05j 0.000668024+0.00150754j -0.00139569-0.00077464j 0.000712438-0.000682574j 0.000918302+0.000624745j 0.00153734-0.00137998j 0.000316656-0.00254481j 0.00206998+0.00121734j -0.000566939+0.000424929j -0.000753036+0.00226334j -0.00140679-0.000215942j -0.00149637+0.00202178j -0.000521103-0.00151476j -0.00138221+0.00301713j -0.00180985-0.000373045j -0.00114983-0.000295689j -0.000384796-0.00102349j -0.000691222-0.000838046j 0.000291317+0.000175756j 0.00055552+0.000348751j 0.00225437+0.000120307j -0.00156134+0.000103627j -0.00161954-0.00294664j 0.00184087+0.000896408j -0.000320842+0.000484434j 0.000746448+0.00335674j -0.00308752+0.000738967j 0.000126756-0.00281778j -0.00131145-0.000892384j 0.000566653+0.00145021j -0.00127763-0.00215516j 0.000844631+0.000224146j -0.000639019+0.00194699j -0.000618254+0.00119933j -0.00233715+0.00190605j 0.00332991-0.000436317j -0.000391456+0.000907835j -0.00160173+0.00455827j 0.00479882-0.000318811j 0.000334073-0.00326469j -0.00214151-0.00153537j 0.0012978-0.0015193j -0.00610761+0.00218452j 0.00284499+0.0055831j 0.0035678-0.00796146j 0.00779738+0.00366796j 
-0.0151317+0.00296701j 0.00290468+0.0152359j 0.0149856-0.0019794j 0.00203783+0.0156268j 0.00743126-0.00495753j 0.0061881+0.00591268j -0.00255584-0.00356069j 0.000352909+0.00726174j 0.0058365-0.00347746j -0.00511527-0.00247131j -0.00229764-0.00558189j -0.000571027+0.00494032j 0.00259013-0.00595968j -0.00115334-0.000417741j -0.00241106+0.00285081j -0.00447405-0.000690275j -0.000234721+0.00225462j -0.000744392+0.00216993j -0.00100642-0.000983097j -0.00485553+0.000326078j -0.000948086+0.00127304j -0.00307911-0.00200691j -0.000135058-0.00421516j -0.00126035+0.000898062j -0.0012659-0.000347236j 0.00036122+0.00106382j -0.000593879+0.00048842j -0.0020152+0.00449119j 0.00250162-0.00154934j 0.00136416+0.00133584j -0.000730291-0.00203334j 0.00425876-0.000802974j -0.00130884-0.00106937j 0.000637077-0.000343061j -0.00207202+0.00226508j -0.000467205+0.000981379j -0.00359161+0.00209207j 0.002156-0.00526322j -0.00118854+0.00211788j 0.00236474-0.000618501j 0.00178543-0.000604668j 0.000705295+0.000417528j 0.00574073-0.00116708j -0.00167114+0.00115886j 0.0033116+0.00021317j 0.00124325-1.87658e-05j -0.00134451+0.000956905j 0.000230575-0.00126485j 0.00257894-0.000779188j 0.000702822+0.00286327j 0.000665781-0.00150621j -0.000801804-0.00053867j 0.00177306+0.00229763j 0.00189445+0.0005847j -0.00439487+0.000247228j 0.00401068-0.000183383j -0.00257841+0.00125502j 0.00491833+0.0038602j 0.00345198-0.00237098j 0.000502918+0.00309373j -0.0031583-0.0025339j 0.00232789-0.000429772j -0.00160934+0.00176722j -0.000215872-0.000664052j -0.00258578-0.00266666j 0.000827545+0.003579j 0.00146787-0.00353871j -0.00670158+0.00029273j -0.0065822-0.00655691j 0.00104301+0.00640483j 0.000191733-0.00507147j -0.00393464+0.00867841j -0.00918226-0.00120921j -0.00551584+0.0133713j 0.012886+0.00625684j -0.00626389+0.0216853j -0.0215061-0.00625313j 
-0.0047231-0.00187418j -0.0018169+0.00461387j 0.000946635-0.000844615j 0.00125625+0.00107384j 0.00108856-0.0015996j 0.00122206+0.000591453j 0.000108999+0.000563679j 0.000436765-0.000426344j -0.00123354+0.000832758j -0.00159541-0.000712689j 0.000227473-0.00254082j 0.00043989-0.000213197j 0.00164547-0.000242094j 0.00156648+0.00217222j 0.000700199-0.00290739j -0.000718352+0.000580152j 0.000460743+0.000561805j 0.000357351-0.000922172j -7.11536e-05+0.00131264j 0.000451654-0.00193123j -0.000554038-0.000720824j 0.000435747-0.00217554j 0.00112401-0.000897435j 0.00134333-0.0011222j 0.00132476-0.00129175j 0.000310896-0.000453852j 0.00367666-9.70112e-06j -0.000234462+0.00185876j -0.000850894+0.000603512j -0.00170086+0.000199783j 0.00104946-0.000777209j 0.00130493+0.000513934j -8.984e-05-0.000169566j -0.000433624-0.000735482j -0.000386064+0.000372359j 0.000297065+0.000249797j -0.000819045-0.000863007j 0.00302055-0.00274344j 0.00178395+0.00135816j 1.32434e-05+0.000267416j -0.000696453+0.000982721j -0.00178882-0.000350211j -0.000823045-0.000125965j -0.00152408-0.00117666j -0.00272416+0.000195108j -0.000420116-0.000465697j -0.00240097-0.0018633j 0.0012059-0.000374976j 0.00285233+0.000669823j 0.00132613+0.00235549j 0.000538373+0.00103415j 0.00116392-0.000209117j 0.00084466+0.000679094j 0.00220119-0.0020117j 0.00115379+0.000829646j -0.000512684-0.000543537j -0.000909721+0.00222108j -0.00151289-0.000437894j 0.00325725-0.000527515j -0.00114572-0.00216513j -0.00137784-0.000844355j 0.000412775-0.00211897j -0.00112169-0.00207998j -0.00155492-0.00331251j -0.00110185+4.95752e-05j -0.0026091+0.00071318j 0.00239152+0.00155806j -0.00349663-0.00235999j -0.00251874-0.00594866j -0.00185167+0.00624634j 0.0029344-0.00171841j -0.00348558+0.00393421j -0.00566636-0.00207919j 0.00735559-0.00158901j -0.00176065-0.0070567j -0.00151527-0.0126875j 0.0126232-0.00149884j 
-0.00762588+0.000776982j 0.000584201+0.00769858j 0.0114784+0.00046361j -0.000778067+0.0121735j 0.00831977-0.00228342j 0.00314258+0.00588316j -0.00437405-0.00303277j -0.000567167+0.00984696j 0.00720732-0.00306011j -0.00406047-0.00267425j -0.000676318-0.00318246j -4.57168e-06+0.00296583j 0.001889-0.00502503j -0.00181897-0.00019747j -0.00146582+0.00319922j -0.00205205-0.00193023j -0.00210419+0.00178763j -0.00083178+0.00291984j -0.000653697-0.000815225j -0.00386486+0.000400817j -0.00101476+0.00182167j -0.00206554-0.000263823j 0.000651738-0.00258776j -0.00142907+0.00103819j -0.000468195+0.00134613j -0.000673327-0.00114888j -0.00169619+0.00144767j -0.00288284+0.00234725j 0.00313085-0.00285796j 0.00175679+9.73141e-05j -0.000795794-0.000592943j 0.00434119-0.00027507j -0.000963896+0.000521114j 0.000382407-0.00168637j -0.00190919+0.00196674j -0.000550184-0.000585171j -0.00192018+0.00173435j 0.00255246-0.00225602j -0.0017823-0.00023262j 0.00254529-0.000152043j 6.59887e-05-0.00138603j 0.00291676+0.000149592j 0.00521886-0.000450331j 0.000562513+0.000340906j 0.00425167+0.000803892j 0.000896381-0.000272535j 0.00160923-0.000423364j -0.00174442+0.000316819j -0.00037673-0.000661956j 0.000857204-0.000948557j 0.00180729+0.000668328j -0.00139064-0.00194516j 0.00101164-0.000964055j 0.00513549+0.00174026j -0.00353717-0.0005552j 0.00371085+0.000803018j -0.00061215-8.58628e-05j 0.00607981+0.00323257j -0.00104512+0.000809256j 0.00115136+0.0019992j -0.00448579-0.00530707j 0.00244606+0.00317778j -0.000277331+0.00225937j 0.000258203-0.000584123j 0.000690789-0.00609347j -0.000681146+0.0030593j -0.00061329-0.00431102j -0.00424195+0.00117065j -0.00347992-0.00675173j -0.00396334+0.00787315j 0.00348086-0.00137264j -0.00603009+0.00718958j -0.00978355-0.0058696j -8.2685e-05+0.00138201j 0.000256617-0.000140535j 0.000884884+0.0207476j -0.0205401+0.000997165j 
-0.0907038-0.00717183j -0.00701171+0.0907284j 0.102359+0.00121062j -0.000218123+0.105036j 0.0677922-0.024738j 0.034501+0.0522669j -0.0257863-0.0267399j -0.00814995+0.0655393j 0.0610587-0.0177566j -0.0360062-0.0321066j -0.015835-0.0399811j -0.00449042+0.0347591j 0.0176885-0.0377183j -0.00402198-0.0132628j -0.030083+0.031223j -0.0220776-0.0055275j -0.0139422+0.0139741j -0.0139499+0.0197405j -0.00104855-0.0111924j -0.0416556+0.000423212j -0.00943168+0.00690632j -0.0191224-0.0180584j -0.00980329-0.0155786j -0.0145256-0.000865356j -0.0153996+0.000156263j 0.00438079-0.00518848j -0.0293891+0.0064543j -0.00488801+0.0161323j 0.0191248-0.0029774j 0.01407+0.00278961j -0.0147491-0.00881743j 0.0285878+0.00472963j 0.00338871-0.00123601j -0.00202033-0.00730775j 0.00233834+0.0146647j -0.000219801+0.000533311j -0.00253789+0.00736132j 0.014126-0.0306115j -0.00719859+0.0159113j 0.00512518-0.00308715j 0.00479704+0.00330351j 0.0026813-0.00363665j 0.0269877+0.00317594j -0.00194102+0.0028887j 0.0298949+0.0277555j 0.00520453+0.00638176j 0.00760976+0.00871004j -0.00635775-0.0137946j -0.00778564-0.0302291j -0.00928683+0.00169062j 0.00595287-0.00457534j 0.00519564+0.00259253j -0.00339103-0.00652719j 0.0084922-0.00783801j -0.0241429-0.00327688j 0.0266668+0.0145753j -0.0114329+0.00659783j 0.024135+0.0291528j 0.0162685-0.0318566j 0.00532245+0.0224588j -0.0144568-0.00702689j 0.00967221+0.00272336j -0.00970715+0.0388976j -0.0232009+0.0302027j 0.00134832-0.0258795j -0.00668059+0.0233726j 0.034589-0.024118j -0.0444202+0.00930873j -0.0607262-0.0342408j 0.00387824+0.068727j 0.023596-0.0303135j -0.0398183+0.0505164j -0.0704535-0.02711j -0.00173412+0.101207j 0.0980917+0.00180676j -0.00114839+0.0846785j -0.0846918-0.00123969j 
-0.180425-0.0321501j -0.0321234+0.180622j 0.221083+0.0132934j -0.0129602+0.226991j 0.154623-0.0451078j 0.0676357+0.119397j -0.0634493-0.0597749j -0.0202489+0.159671j 0.151717-0.0429385j -0.0771186-0.0756658j -0.0363299-0.0827511j -0.0108121+0.0747593j 0.0298726-0.0936629j -0.00792397-0.0428264j -0.0771223+0.0868284j -0.0449555-0.0085618j -0.0386854+0.027748j -0.0409735+0.046536j -0.00173165-0.0264301j -0.101547+0.00257613j -0.0202672+0.0149937j -0.045226-0.0337574j -0.0256375-0.0261784j -0.0377449-0.00356206j -0.0390116+0.00219333j 0.0115976-0.0145954j -0.0820521+0.0131172j -0.00959333+0.029522j 0.0498365-0.00735153j 0.0384415+0.00573933j -0.0407921-0.0172856j 0.0690463+0.0167536j 0.00846053-0.000757913j -0.00145831-0.0186046j 0.00822226+0.0317162j -0.0010731-0.00336255j -0.00128107+0.0183152j 0.0347124-0.0587692j -0.0151488+0.0282505j 0.00974028-0.00563835j 0.0110966+0.0049394j 0.00798594-0.00708181j 0.0636015+0.0136147j 1.04654e-05+0.0088924j 0.0777453+0.0675894j 0.0184779+0.014637j 0.0268414+0.0218625j -0.019533-0.0292109j -0.0342195-0.0712214j -0.0252422-0.00377417j 0.0107142-0.00344984j 0.0139882+0.00973843j -0.0125617-0.0232119j 0.0170443-0.0145955j -0.05116-0.0178645j 0.0594919+0.0433482j -0.0206888+0.00796881j 0.0538387+0.0728493j 0.0224962-0.0740532j 0.0178372+0.0559574j -0.0277013-0.0156458j 0.018586+0.013316j -0.0159469+0.107557j -0.0596113+0.0827117j 0.012341-0.0671229j -0.0207594+0.0538243j 0.0778912-0.0532095j -0.0938163+0.0308793j -0.141469-0.0702287j 0.00266402+0.151811j 0.0572438-0.0563012j -0.0782129+0.0973366j -0.140595-0.0554288j 8.6345e-05+0.217779j 0.211167-0.00113567j 0.0292393+0.178191j -0.178013+0.029271j 
-0.0285921-0.0198326j -0.0199484+0.0286989j 0.0520901+0.00844366j -0.00886032+0.0537932j 0.0425914-0.00609687j 0.00984596+0.0323204j -0.0224058-0.00932192j -0.00115294+0.053484j 0.0522233-0.0117437j -0.0162188-0.0252625j -0.0117304-0.019023j -0.00477726+0.0211545j 0.00292273-0.0330802j -0.00175804-0.0229355j -0.0308434+0.0323279j -0.00903295-0.000223627j -0.013441+0.00471686j -0.0173064+0.0115641j 0.00380649-0.0056918j -0.030528+0.00192366j -0.00550431+0.000477695j -0.0126313-0.00692133j -0.0100012-0.00266576j -0.0141221-0.000880573j -0.0162845+0.00313517j 0.00417155-0.00623476j -0.0334144+0.000934547j -0.00232778+0.00419733j 0.0173694-0.000371344j 0.0122313+0.0055951j -0.0154503-0.00378884j 0.0204392+0.00509787j 0.00172373+0.000666174j 0.00131073-0.00618157j 0.00611688+0.00625709j -8.71183e-05-0.00302048j 0.000731119+0.00603864j 0.0101644-0.0119048j -0.00290033+0.00115051j 0.00193415-0.00161201j 0.00705794-0.000246933j 0.00148366+0.000576786j 0.0179223+0.00666336j 0.00319754+0.00454315j 0.0261288+0.0223597j 0.0079272+0.00559455j 0.0111928+0.00960792j -0.00832603-0.00740107j -0.0190212-0.0259862j -0.00885395-0.00842943j 0.00142472+0.0025039j 0.00924293+0.00236921j -0.00517305-0.011488j 0.00321611-0.00393019j -0.0129769-0.011574j 0.0146328+0.0187038j -0.00515903-0.000653498j 0.0127781+0.0214291j -0.000383919-0.0233702j 0.00429523+0.0180652j -0.00794481-0.00173857j -0.00203445+0.00490089j -0.00612491+0.0406725j -0.0250982+0.0326021j 0.0115528-0.0172094j -0.00541703+0.0114634j 0.022904-0.0110974j -0.0216713+0.0126602j -0.0488096-0.0208013j -0.00403669+0.0535623j 0.0220167-0.00577612j -0.00849882+0.0309924j -0.0455808-0.00508371j 0.00777775+0.0520086j 0.0493695-0.00787741j 0.017617+0.0205486j -0.0204387+0.0177301j 
0.00607549+0.0156476j 0.0156163-0.00622108j -0.031073-0.0146781j 0.0149651-0.03231j -0.0279135-0.000627868j -0.0033231-0.0204272j 0.018221+0.00831238j 0.00444427-0.0393988j -0.0381163+0.0051845j 0.00741307+0.0193127j 0.00861975+0.0110436j 0.00217213-0.0158755j 0.000165671+0.0254432j 0.00205531+0.0197127j 0.0252164-0.0260794j 0.00200269+0.00202852j 0.0122033-0.000800857j 0.0140873-0.00996024j -0.00387897+0.00509434j 0.0214509-0.00304628j 0.00328349-0.000118411j 0.00680687+0.00180807j 0.00657454+0.000886858j 0.0133804-0.000805043j 0.0145252-0.00292424j -0.00365606+0.00589404j 0.0310003-0.000157382j 0.00074323+0.000855609j -0.0146106-0.000213226j -0.00997735-0.0024828j 0.0124404+0.00215884j -0.0133021-0.00371849j -0.00237029+0.000561248j -0.00266351+0.0020139j -0.00240758-0.00371981j 0.00120974+0.00362715j -0.00229134-0.00346113j -0.00565955+0.00538987j 0.00159631+0.00118099j -0.00241949-0.000625997j -0.00614774-0.000947148j -0.00168628-0.000569979j -0.0135246-0.00658468j -0.00354522-0.0039628j -0.0209534-0.0165586j -0.00441678-0.00443919j -0.0112841-0.0091487j 0.00739205+0.00480247j 0.0166183+0.0219987j 0.00975626+0.0112902j -0.00214307-0.00299971j -0.00542411-0.00175384j 0.00532017+0.0111552j -0.000923971+0.00115893j 0.00753592+0.0119886j -0.00988897-0.0130242j 0.00131084+0.00394005j -0.00738357-0.0174691j 0.00262231+0.0184346j -0.00230763-0.0140047j 0.00307635-0.000243677j 0.00389135-0.00738008j 0.00543681-0.035048j 0.0205988-0.0282366j -0.0153158+0.00989308j 0.00295974-0.00340939j -0.018539+0.00629198j 0.0142348-0.00815655j 0.0373445+0.0121639j -0.00511964-0.0358487j -0.0121342+0.0136377j 0.010961-0.0212584j 0.0283675+0.00342876j -0.0167301-0.0230406j -0.0217831+0.0164174j -0.0173445-0.00193875j 0.00190181-0.0172967j 
