0.000129485-0.00200773j 0.0019156+7.5291e-05j -0.000922946-0.000420515j -0.000557603+0.00089599j -0.000142193-0.0010599j 0.000162121+0.000779087j 0.000190404-0.00146609j -0.00129684+0.000534922j -0.000917179-0.000419954j -3.64676e-05+0.000301245j 0.00076749-0.000508704j -0.000139566+0.000933567j -0.001472+0.000244314j 6.39038e-05-0.000570385j -0.000511075+0.000264939j -0.000236028-0.000167133j 0.000975266+7.46301e-05j 0.000208513+0.000129478j -0.000691042-0.000501738j -0.000778102+0.000515856j -0.000323644-0.000362014j 0.000127772-0.000363501j -0.000816119+0.000290113j -0.000605673-0.00107198j 0.000502962-0.000122159j 0.000583374+0.000402074j 5.03544e-05+0.000273089j 0.000514925+0.000676663j 0.000157026-0.000113747j 0.00106031+0.000269291j -0.000759968+0.000296491j 6.44901e-05-0.000495892j 0.000231543-0.000378222j -0.000238562+0.000389782j 0.000402086+0.000836883j 0.000213282-1.48427e-05j 0.000422709+0.00130789j 0.000303167-2.27636e-05j 0.000371001+0.000935683j -0.000270601-0.000688031j 0.000513881+0.000334801j -0.000503591-0.000871387j 0.000542437-5.97427e-05j -0.000750661-0.000161313j -0.00086094+0.000605869j -0.000337657-0.00219872j 0.000419134-8.82345e-05j -0.000608032-0.000346831j -0.00033229+4.47642e-05j 0.000989706-3.03263e-05j 0.000174148-0.000109922j 6.79642e-05-0.000668175j 0.000641586-0.000537198j -0.00117625+0.00118111j 0.000190008+0.00086925j -0.000816759+0.000970426j -0.000333612+0.00031034j -0.000482709+0.000219267j -0.000456154+0.000951163j -0.000226155+0.000178661j -2.17028e-05+8.5606e-05j -0.000953386-0.000220176j 0.00043321-2.55431e-05j -0.000458597-0.000465707j -0.00066874+0.000226853j -0.000402361-5.40664e-05j 0.000929742-0.00105569j 0.000768182-0.000695218j -0.00165258+6.78649e-06j -0.000835903-0.000405152j 0.00118738-0.000533004j -0.00178247-0.0007343j 0.000702511+0.00112531j -0.000785246+0.00066524j -0.000487702-0.000698743j 0.00443871+0.00382522j 0.00373486-0.00441132j 
0.000160676-0.000168628j 0.00022185+0.000274657j -0.000279039+0.0012945j 0.00122636+0.000387076j -0.000503288+0.000773759j 0.000986878-0.00106403j -0.00123758-0.000537647j -0.000984518+0.000586334j -6.83718e-05-0.000508267j -2.49452e-05+0.000390151j -0.000462131-0.000698149j 0.00153302+0.00107272j -0.000409367+0.000265301j -0.000247287-0.000699081j -0.000420009-0.000159041j 0.000327471-2.12657e-05j 0.000785305-0.000620756j 0.000184858+0.000521314j 0.000507579+1.84567e-05j 7.87897e-05+0.000739584j 0.000298562-0.000362676j 0.000464357-0.000165725j 0.000185916+0.000392479j 0.000201501-0.000827234j 0.000609573-0.000141541j 0.000150364+0.000346648j 0.000141347-0.000723652j -2.70687e-05-3.6955e-06j -0.000307927-0.00018502j 0.000405042-0.00102131j -0.000886139+0.00116528j 0.00100852+0.000905448j -0.000181149-0.000362283j -0.000877161+0.000148797j -0.000668163+0.000585737j -0.00025656+4.13014e-05j 0.000100726+2.19318e-05j 0.000491899-0.00100039j 0.000331881-0.000334628j -7.85171e-05-0.00144543j -0.000920573+0.000437227j 0.000933891+0.0013222j -0.00119976+0.000203013j 3.93997e-05+4.59538e-06j -0.000454765-0.000777064j -0.000810113-7.29138e-05j 0.000732703-0.00122392j 0.000213097-0.000493804j 0.000184-0.000407942j 0.00131119+9.40196e-05j 0.000612006+0.000564382j -0.000650959+0.000759612j 0.000686029-0.000604143j -0.000546982-0.000982772j 0.000510042+0.00020286j -0.00050195+0.000179284j 0.000124854-0.000395961j -0.000466783-0.000420914j 0.00136307-0.000282844j -0.00011495+0.000290599j 0.000159239-0.0010385j -0.000340091-0.000408826j 0.000118829-0.000151721j 0.000461409-0.000286765j 0.000233438-0.000801929j -0.00101579-0.000686336j -0.00147098-0.000168546j -0.000179267-0.000775254j 4.57005e-05-0.0006077j 0.00095725-0.000118585j -0.00138327-0.00126793j -0.00032798+0.000537647j -0.000438115+0.000820021j 0.000780065+0.00133482j -0.00138101+0.000946133j 0.00278309+0.00437785j 0.00458408-0.00286746j 
-0.000284338+0.00216542j -0.00191811-0.000246942j 0.00219332+0.0014924j 0.00177974-0.00188398j 0.000165901+0.00224883j -0.000447828-0.00178934j -0.00100712+0.00231621j 0.0017971+0.000760752j 0.000595951+0.000699501j 0.000832343-0.000210483j -0.00150008+0.00100057j 0.00154591-0.00171469j 0.00131425+0.000433264j -0.000342092+0.000728858j 0.000145357+6.52382e-05j 0.000480877+0.000358027j -0.0014434-0.000917634j 0.000415106+0.000130578j 0.000706737+0.000220991j 0.00167602-0.000707265j -4.1738e-05-5.85526e-05j -0.00035067+0.00017525j 0.00129864-0.000922547j 0.000113164+0.000859883j -0.000688029+4.87517e-05j -0.000466481-0.000228951j -0.000575377-0.00072037j -0.000368127-0.000717278j -0.000620972+0.000298185j -0.00150031-0.000292596j 0.00158234+0.000707306j 0.000397084-0.000573911j -0.00105869+0.00063207j 0.000381527+0.000917716j -0.000166565-0.000660519j -0.00019824+0.000123331j -0.000842867-0.000226218j -0.00089233-0.00030972j -0.00145696-0.00155992j -0.000798553+0.000538001j -0.000302436+0.000792243j 0.00215942+0.000284975j 0.000100933+0.000901455j 0.000519241-0.000218072j -0.000386341+2.66161e-05j 0.000737717+0.0024992j -0.00176561-0.000682897j 0.000291191-0.000795296j -0.000154356-0.000123193j -0.000594945-0.00166081j 0.000913723-0.000433192j 0.00113658+0.00107649j -0.000959694-0.000193514j 0.000273773-0.000906268j -7.92391e-05-0.00155432j 0.000970512-0.000973196j 0.000465755-0.000307395j 9.63102e-05+0.00027307j 5.2189e-05-0.00290647j 2.70182e-05-9.72464e-06j -0.00141696-0.000159193j 0.000100903+0.000491346j -0.000407753+0.000125506j -0.000111782-0.000217198j -0.000182727-0.00051026j -0.000756718+0.000816689j -0.00113532+0.00288708j -0.00156213+0.000456025j 0.000779889+4.93895e-06j 0.000552986-0.000129728j -0.00242635+0.00163736j 0.00169839+0.00117804j 0.000726496-0.000322457j 0.00516269-0.00138429j 0.00153138+0.00523981j -0.00116356-0.00541712j -0.0054077+0.000827701j 
0.000715697+0.0036274j -0.00365445+0.000784538j 0.000348651+0.0040273j 0.00417425-0.000509974j 0.00129326+0.00205774j 0.000714192-0.00228671j -0.0013046+0.00120617j 0.00187924-0.00142925j 0.0023815+0.00044186j -0.00106938-0.00056277j -0.00186912-0.00142412j -0.000237298-0.00203555j 0.00191655-0.00113466j -0.000502522+0.00168866j 0.00113261-0.00178166j 2.65351e-05+0.000260988j -0.000756199+0.000126743j -0.00131257+0.000452351j 0.000676064+0.00254826j 0.00181141-0.00149281j 0.00177788+0.000587348j 0.000817781+0.000535398j 0.00149617+0.000135392j 0.00188417+0.00186268j -0.000606761-8.92333e-05j -0.000892278-0.000978519j 0.00120453-3.88077e-05j -0.000599155+0.000290937j 0.000448321-3.38692e-05j -0.00201228+0.000552632j -1.51001e-05-0.000435587j -0.000661744+0.00179198j -0.000770713+2.68073e-05j 0.000658775-0.000564336j -0.00141875-0.00211261j 0.00125386-0.000540823j -0.000880785-0.0020071j -0.00167693-0.000150339j -0.00117899-0.00108219j -2.90009e-05+0.00097237j -0.00129721-0.00164396j 0.000558332+0.00161007j -0.000675078-0.00051569j 0.0012574+0.00125107j 0.000750272-0.00147846j 0.000953702+0.00343106j 3.92091e-05-0.000299791j 0.000567719+0.000938931j 0.000759412-0.000166375j -0.00175323+0.000211289j -0.000325887-0.00026432j -0.000134502+0.00138078j -0.000886612+0.000993356j 0.00205395-0.00255743j 0.000772403-0.00115019j 0.00128918-0.00203558j 0.000572903-0.000688646j 0.00244411+0.000344464j 0.000340152-0.00178398j 0.000334468-0.000715934j 0.000257518-0.000731753j 0.00181681-9.07309e-05j -0.000102726+7.82934e-05j 0.000560752+7.55162e-05j 0.00126638-0.000453801j 0.00102067+0.001313j -0.00212404+0.00199771j -0.00103146+0.00175633j 0.00312547-0.00137916j 0.00282799+0.000147916j -0.00281716+4.10748e-05j 0.00327468+0.00211228j -0.000601872-0.00297396j 0.00429993+0.00342282j -0.00388865+0.00413797j -0.00802092-0.00300736j -0.00277832+0.00803014j 
-0.00049294-0.000774392j 0.000796782-0.000263429j 0.00157317-0.00156425j -0.00169764-0.0012629j -0.00229377-0.000736013j -0.000159624+0.00134896j 0.000189813+0.0015793j 0.00173264-7.29484e-05j 0.000174338+0.00185262j 0.000831899+0.000679301j -0.000503255+0.00091985j -0.00115098+0.00121898j 0.000508222+0.000514628j 0.000672174+0.000870103j 0.000530753+0.000343882j -0.00045837+0.00135322j -0.000593588-9.41874e-05j -0.000161266+0.000202483j 0.000346721+8.36809e-05j -0.000404176+0.000118784j -0.00029406+0.000150807j -0.00084975+0.000515582j 0.000842378-0.000629613j -0.000106388+0.00122115j -0.00144084+0.000642895j -0.000768577-0.00029201j 0.000341761-0.000368825j 0.000980421-0.00161492j -0.00026696-0.000289125j 0.000931423-0.000103805j 0.000638341-0.000685009j -0.00130959-0.000242668j -0.000444284+0.000549062j 6.65423e-05-0.000658252j -0.000313062-0.00139842j -0.00151254-0.000510984j -0.000310014-0.00059464j 0.00139927+0.00126694j 0.00109703-0.00116321j 0.00166837+0.00163053j -0.000546326-0.00133742j -0.00131674+0.00159107j 7.08083e-05-0.00142897j 0.000875502-0.00015111j 0.00153434+0.000533013j -0.000126539+0.000780721j -0.000518301+0.000914105j 0.00188767+0.000663076j 9.4821e-05+0.00022747j -0.000344374+0.000895367j -0.000574201+0.000830569j -0.000555345-0.000620961j -0.000543795+0.000927677j 0.00262177+6.73969e-05j -0.000733899-0.000923899j 0.00128085-0.000402329j 0.0011125+0.000794468j 0.000244271-0.00149148j 0.000694302+0.000856718j -0.000314675-0.000695393j 0.000281637+0.000604845j 0.000731873+2.33845e-05j -0.000455995+0.000264708j 0.000133089+0.00137201j 0.000594507+0.000757638j 0.00153193-0.00218413j -0.00013901-0.000527331j 0.00014235-0.000512615j 0.00126257+0.00198921j -0.00163418+0.00192262j 0.00111613+0.000733322j 0.00158347+1.7525e-05j -0.00127222-0.0018391j 0.000804023-0.00359775j 0.00354073+0.00061669j -0.00411978-0.00502915j -0.00494044+0.00426328j 
0.00135705+9.57724e-05j -0.000196793+0.00133205j -0.000131184-0.00036891j -0.0007347-4.99482e-05j 0.000659834-0.00200948j -0.00104938+0.000577595j 0.000594862-0.000189005j -0.000678189-0.00038409j -0.00046166-0.000539572j -0.000818639+0.000367307j -2.69469e-05+0.000399003j -0.00222282-0.000634672j -0.000621122-0.00147876j 0.000336027+0.000912369j -0.000113621-0.000518711j -0.000842124-9.75664e-05j -0.000357458+0.000834321j -0.000562003+0.000153742j -0.000174858-0.000495216j 0.000151951-0.000622658j 0.000265595-0.000437292j -0.000349633-0.000784908j 0.000814043-0.000132433j 0.000418288-6.32093e-05j -0.00095132-0.000459717j -0.000944292-0.000465405j 0.000135192+0.000607272j 0.000247303+0.000657765j 0.000432895-0.000356176j -0.000899691+0.00170244j 0.000221018-0.000710877j 0.000412814-0.0012603j -5.30717e-05-0.000578852j -0.0004834+0.000444301j 0.000857691-0.0011944j 0.000507233-0.000875457j -0.0023195+0.000255591j -0.00110275+0.00172021j 0.00068605-7.92543e-05j -0.000185744+0.00134979j 0.000723373-5.02462e-05j -0.00095695-0.000885438j 0.00192709+0.000772841j 0.000731901-0.000653384j -0.00158258+3.21274e-05j 0.00263611-0.000113886j -0.000612453+9.35111e-05j 0.000986235+0.00087234j -0.000259543-9.1812e-05j 0.000459938+0.000837638j -0.000309467+0.000550099j 0.0017254+0.000352223j 0.000557495+0.000130543j -0.000981556+0.000962772j 0.000785712-0.000322368j 0.000248389-0.000211979j -0.000607779+0.00122467j 0.000333197+0.00016172j -0.0012313-0.000390182j -0.000260877-0.00154158j -0.00056483-0.00038069j -0.000661237-0.00101812j -0.000292035+0.00035803j -0.00123484-0.00128365j -0.00045223-0.000196051j 0.0017963+0.000319898j 0.000971548+0.00141606j 0.00120644+0.000308328j -0.00177074-0.00209447j -0.000654-0.0032526j -0.000114291+0.00128964j 2.37626e-05-0.00175859j -0.00118035+0.0016202j -0.00282022+0.0043292j -0.00459653-0.00240153j -0.00453717-0.00548183j -0.00543832+0.00454554j 
0.000376222-4.58792e-05j -5.87492e-05+0.000447633j -0.000871845-0.000538913j -0.000409875+0.000597304j -0.000187087+0.000632655j 0.00113981+0.000336503j 3.33398e-05+4.36062e-05j 0.00130057-0.00112283j 0.00135723+0.000831932j -0.000424399-0.000613813j 0.000296704-0.000840046j -0.00088148+0.000319732j 0.00079069-0.000440843j 0.000297815+0.000448649j 0.00079732-0.000739915j 0.000246085+0.000465021j 0.000431938+0.000306963j -0.000322975+0.000253398j 0.000391067+0.0010354j -0.000618849-8.0569e-05j 0.000662817+0.000508341j 0.000298946+0.00035657j 0.000206252+0.000186196j 0.000549885+0.000676376j -0.000139109+0.000466629j -0.000146315-0.00066913j 0.00047582+0.000542528j -7.04081e-05-0.000656569j 0.0005083-0.000477952j -9.16169e-05-0.000403914j -0.00167425-0.000544523j -0.00107871+0.0016927j -0.000129023-0.000280411j -0.00062732-0.00112603j -0.00131733-0.000543317j -0.000498796-0.000221334j 4.43503e-05-0.00126586j 3.48547e-05+0.000580672j 0.00132224-0.000336179j 0.00134375-0.000290379j -0.00110462-0.00167197j -0.0013435+0.00238091j -0.000964071-0.00134196j 0.000586417+0.000340905j 0.000891137-0.000938579j -0.000400105-0.00044225j 0.00140832+0.000282265j 0.00094414+0.00117963j 3.13528e-05-0.000533701j 0.000912815+0.00240689j -0.00178046+0.00131672j -0.00155411+0.000950412j 0.00056087+0.000994219j 0.00180192-0.00221347j -0.000209673+0.000418597j 0.000202419-0.000272321j 0.000376551-0.000234443j 0.000717969-0.00169133j 0.00153138+0.00194216j -0.000121328-0.000999326j 0.00296714-0.000588428j 0.00164705-0.00129528j -0.00025776+0.000242746j 0.000794403+0.000649552j 0.00214589+0.00107351j 0.00227593-0.000865011j -0.000598103-0.00176778j 0.000693767+0.000525605j 0.0029531+0.000490731j 0.00160486+0.00237907j 0.00102782-0.00146703j 0.00140541+0.00171467j 0.0005346-0.00262679j -0.00568419-0.000654757j 0.000831465-0.00610636j -0.00729642+0.00125777j 0.00136681+0.00767417j 
-0.000800676-0.00455118j 0.00448149-0.000723552j -0.000963387-0.00558972j -0.00610491+0.00133803j -0.00347829-0.00420475j -0.000195198+0.00407266j 0.00187462-0.00277193j -0.00399923+0.00102953j -0.00295342-0.00137296j 0.000373067+0.00144168j 0.00255793+0.00209512j -0.00174904+0.00473906j -0.00293906+0.000212244j 0.0018485-0.00249375j -0.00152196+0.00180715j -0.000200515+0.000279077j 0.00156134+0.00110804j 0.000739316+0.000137128j -0.000276327-0.00244356j -0.00280559+0.00165241j -0.00152415-0.000277084j -0.000396047-0.000271022j -0.00184284+0.000382162j -0.000981812-0.00234964j 0.000928349+0.000288782j 0.000173813+0.00116463j -0.000791676+0.000106953j 0.000569109-0.00053648j -0.000806947-0.000291822j 0.00376325-0.000504778j -0.000415609-0.000364419j -4.66766e-05-0.000621789j 0.0016409-0.000213199j -0.0010861-0.000734134j 0.00151936+0.0015789j -0.00220989+0.000855708j 0.00124182+0.00195243j 0.00337347+0.000541704j 0.00252359+0.00190893j 0.00156379-0.00126752j 0.00106443+0.0012048j -0.00175295-0.00121763j -0.000464471-0.000427232j -0.00127986-0.00107947j 0.00159648+0.00138001j -0.00188956-0.00357443j 0.00150292+0.0015922j 0.000526363-0.000165047j 0.000148074+0.00105937j 0.00112631+0.000642501j 0.000857197+0.00129313j -0.00133089-0.00282794j 0.00155516-0.000512042j -0.000800574+0.00331694j -0.00101154+0.00109584j -0.000709897+0.00222933j -0.000265849+0.000971927j -0.00203476-0.00174778j -0.000232523+0.00472484j -0.000492992+0.00190101j -7.88192e-05+0.00130683j -0.00159753+0.0011503j 0.000203026-0.000435115j 0.000242317+0.000747398j -0.000884343+0.000333333j -0.000386927-0.00295726j 0.00263918-0.0043473j 0.00253887-0.00216042j -0.00475228+0.0027532j -0.00675594+0.00135801j 0.00546981-0.000129147j -0.00621903-0.00420163j -0.000623341+0.00729672j -0.00555745-0.00141548j 0.00167361-0.00444146j 0.0045131+0.00693724j 0.00685125-0.00441557j 
0.00174451+0.0037533j -0.00366746+0.00171838j 0.000979599+0.00515263j 0.00572734-0.00100707j 0.00194631+0.00440518j 0.00141739-0.00379002j -0.00281173+0.00147445j 0.0030768+0.000484005j 0.00229567+0.00117886j -0.000133748-0.00131492j -0.00196782-0.00107111j 0.00128917-0.00317008j 0.00198039-1.61876e-05j -0.00088008+0.00181781j 0.00105997-0.00099859j 0.000777269+0.000910356j -0.000384933-0.00126303j -5.9082e-05+0.00129422j 0.000749934+0.00256572j 0.00226662-0.0018224j 0.00133651+0.000592145j 0.000405004+0.000611921j 0.00207266-0.000614777j 0.000520693+0.00140449j -0.000467081+2.54891e-05j -0.000144438-0.00122164j 0.000277789+0.000232822j -7.47456e-05+0.000303504j -2.31549e-05-0.000112145j -0.00232154+0.000592307j -1.20893e-05+0.0011845j -0.000748077+0.000801714j -0.00244294-0.000168364j 0.000844563+0.000564246j -0.00118754-0.00152605j 0.00123487-2.26814e-05j -0.000675014-0.000355187j -0.003217+0.00031312j -0.00211799-0.00139182j -0.00112641+0.000180463j -0.000830799-0.000763579j 0.00210936+0.00132079j 0.000126546-5.75017e-05j 0.00024928+0.0011916j -0.000884051-0.000356992j 0.000615269+0.0023516j -0.000886698-0.00172498j -0.000251291-0.000561568j -0.000326625-0.000715164j -0.000545963-0.00135997j -0.000255845-0.000508773j 0.000968707+0.00192264j -0.00070597-0.000179387j 0.00116158-0.00237873j 0.000320383-0.00195085j 0.00151573-0.00129939j 0.00111268-0.000674603j 0.00263442+0.000609518j -6.42256e-05-0.00280245j -9.43537e-06-0.000610002j 0.000134626-0.000876247j 0.000983819+0.00022326j -0.00023589+0.000142409j -0.000398976-0.000339247j 0.000957506+0.000445753j 0.00062832+0.00305971j -0.00180495+0.00306145j -0.00177432+0.00203868j 0.00214947-0.000437948j 0.0018129-0.000479391j -0.00577742+0.000857858j 0.00183109+0.00622349j 0.004321-0.00133983j 0.0061757+0.00198238j -0.00156325+0.00627797j -0.00746624-0.00185868j -0.00184228+0.0072388j 
-0.00047236+0.00121134j -0.00119023-0.000468812j 0.000597965+0.00299033j 0.0032867-0.000477403j 0.000348758+0.00230355j 0.000637822-0.000918745j -0.000372105+0.00136661j 0.00293923-0.00119742j 0.00284331+0.00186443j 0.000227431-0.000307877j -0.00181773-0.00264574j 0.00040527-0.00178926j -0.000404862-0.000180053j -0.000555795+0.00246739j 0.00096859-0.00257759j 0.00016028+0.000624253j -0.000380547-0.000110531j -0.000572192+0.00109454j -0.00143935+0.00195848j 0.00196524-0.00167522j 0.00160036-0.000763963j 0.00142287-0.000403475j 0.000673439-0.000392646j 0.00149699+0.000735945j -0.00101106+0.000489728j -0.000320307-0.000204492j 0.00123736+0.000789079j 0.00029013-2.03883e-05j 0.00110391+0.000169439j -0.000688817+0.000322488j -0.000344891-0.000133007j -0.00210339+0.000555164j -0.000586228+0.000366864j 0.000970596+0.00217913j -0.00232115-0.00261605j 0.000561527-0.001351j 7.32421e-05+0.00130327j -0.00226385-0.000976073j -0.000336389-0.000554218j -0.00104878-3.31531e-05j -0.000703661-0.00134619j -0.000581015+0.000329018j 0.00115633-0.00164316j 0.000442536+0.000529326j -0.00103645+0.00112787j 0.000949995-0.000344249j -0.00128699+0.000602438j -0.000136527+0.000942553j -0.000767051-0.000330343j 0.000408249-0.00101625j 0.0010339-0.00214226j 7.02917e-05+0.000620287j -0.000790862+0.000335867j 0.00166704-0.000918761j 0.00217825-0.000896453j 0.000415924-0.000664958j 0.000613047-0.000812418j 0.00227955+0.000700934j -0.00120157-0.000221048j -0.00112754-0.00131962j -0.00036135+0.000107374j 0.000775574-0.000941092j 0.00170868+0.000604379j -0.000968164-0.00102097j -0.000177492+0.00176982j 0.000316022+0.00187652j 0.000575477+0.00164424j -0.000398793+0.000881223j 0.00138178-0.00064002j 0.00195932+0.00375056j 0.0030186+0.00128722j 0.00300371-8.23171e-06j 0.00430127-0.00383028j 0.00706185+0.00536149j -0.00443605+0.00677173j -0.00285364+0.00316361j 0.0030891+0.00275664j 
0.00119759+0.0102046j -0.0102336+0.00109523j 0.0013076+0.0106495j 0.0119471-0.00189614j 0.00493443+0.00947221j 0.00456844-0.00695574j -0.00515927+0.00168274j 0.00716255-0.000188183j 0.00580055+0.00216921j -0.00243649-0.00439343j -0.00283645-0.004j 0.00187508-0.00758866j 0.00397259-0.00259208j -0.00151786+0.00300471j 0.00150046-0.0028796j 0.00094272+0.00158145j -0.00201291-0.000107392j -0.00269995+0.0024811j 0.00107494+0.00704057j 0.00613731-0.0040897j 0.00253885+0.00169477j 0.00108708+0.00115671j 0.00442823+0.00036764j 0.00425416+0.00342945j 0.000545389-5.24454e-05j -0.000889227-0.00287799j 0.000559433+0.000459931j -0.000287086+0.00190304j 0.000288211-0.00114197j -0.00364222+0.00122907j -0.00319858+0.00138425j -0.00219591+0.00246008j -0.00511766-0.00114829j 0.000638938+0.00131741j -0.00349923-0.00507335j 0.00312657-0.00276038j -0.00249989+0.000752027j -0.00580925+0.000227154j -0.00484859-0.000287087j -0.00317278-5.04232e-06j -0.000311352-0.00158319j 0.00281477+0.00448366j 0.0022609-0.00167674j 0.000109398+0.00319335j -0.00253733-0.0016487j 0.00233379+0.00391231j -7.21113e-05-0.00209163j -0.00288491+2.31876e-06j 0.000296983+0.000195065j -0.00181734-0.000922235j 0.000329188-0.000427144j 0.00177192+0.00330849j 0.000533092+0.000766457j 0.00168787-0.00586901j 0.00295542-0.00127405j 0.00150341-0.00331204j 0.00164359-0.000437677j 0.00598084+0.00094875j -0.000854118-0.00729654j -7.92299e-05-0.000584236j 0.000788626-0.00210544j 0.00191254-0.0011138j 0.00073436+0.00221946j -0.000804688-0.00401243j 0.00433281-0.002338j 0.00313501+0.00727454j -0.0060574+0.005453j -0.000317345+0.00407033j 0.00819464-0.0037154j 0.0106091+0.00267782j -0.00462381-0.00618652j 0.000963226+0.00677356j 0.00457839-0.00777172j 0.0151395+0.00223032j -0.00193285+0.0141845j -0.0144267-0.00442649j -0.00440332+0.0143477j 
