-5.87442e-05+0.00019836j 0.000743666-0.000773937j -0.00151734+0.00104234j 0.00145695-0.000574528j 0.000177435-0.00136821j -0.00151625-0.00135037j 0.00187432-0.00136837j 0.00104402-0.00181992j -0.00168051-0.000979362j 0.000789809+0.000951289j -0.000598699-0.00189505j -0.00151858+0.00131961j 0.000621648+0.00182695j 0.00276207+0.00121671j 0.00109692-0.00219658j 0.00120386-0.000678164j -0.00120208-0.00222816j -0.00207068+0.00104689j -3.35814e-05-0.000126079j 0.000119249+0.000251581j 0.00257841+0.00197418j -0.00113162-0.00137022j -0.000984807+0.00203406j 4.3552e-05-7.62513e-05j -4.47708e-05+9.73435e-05j -0.000515158-0.000368507j 0.00162577+0.000633451j -0.00210533+0.00114112j 0.00114746+0.00355074j 0.00161445-2.75023e-05j -0.000166322-0.000431989j 9.34023e-05-0.000360308j 0.00309866+0.00209483j 0.00463636-0.00090934j 0.00250469-0.00218674j -0.000309978+0.000597944j 0.00155632-0.00124117j -0.0015378+0.00553642j 0.00159678+0.0041335j 0.00437661+0.000358j 
-0.00124223-0.000352797j 0.00168544+0.00316336j -0.00311657-0.00328192j 0.0017161+0.00393526j 0.0029693-0.000113166j 0.00310527-0.00409645j 0.00286833+0.00549038j 0.0051943+0.00432346j 0.00288125-0.00478125j -0.00296628+0.00277997j 0.00671482-0.00171188j -0.00386195-0.00553129j -0.00643284+0.00208192j -0.00466962+0.0102865j 0.00868013+0.00450925j -0.000828702+0.00226477j 0.00288956-0.00048231j -0.000240588-0.00512166j 0.000232972+9.96934e-05j -0.000805997+2.8623e-05j -0.00494534+0.00105997j 0.00335119-0.00284174j -0.00317442-0.00443411j 0.000279882+0.000185872j 6.05348e-05-0.000322579j 0.00124948-0.000825659j -0.00210577+0.00479939j 0.000669127-0.00268305j -0.0105219-0.0042613j -0.00173193+0.0010167j 0.00115587+0.000538392j 0.000819818+0.000336137j -0.0100975+0.00803012j -0.00507321+0.0118419j -0.00315629+0.00774546j 0.000264954-0.00135352j -0.00149756+0.00472403j -0.0135024-0.0110262j -0.0101766-0.00540561j -0.00682927+0.0096869j 
0.000319511+7.84873e-05j 0.00118272-0.000336165j -0.00362226-0.00276224j 0.0016771+6.20285e-05j 0.00375332-0.00303301j -0.00162192-0.00417177j 0.0021381+0.00824959j 0.00810804+0.00227553j 0.00647808-0.00313798j -0.00285509-2.91949e-05j 0.00594146-0.00784676j -0.00257899-0.00217464j -0.0032977-0.000156j 0.00317285+0.0099747j 0.00696588-0.000150555j -0.00386031+0.00541405j 0.00761499+0.00449275j 0.00411323-0.00381269j -0.00128959+0.00229757j -0.000290806-0.000201951j -0.00985289+0.000428187j 0.00245223+0.00289418j 0.000118574-0.00357815j 0.00344207+0.00153334j -0.00222463-0.00115042j 0.00135275+2.48608e-05j -0.00349249-0.00169015j 0.00544006-0.00839142j -0.00250272+0.00268144j -0.00396501+0.00487944j 7.51238e-06+0.00257618j 0.000572789-0.00253024j -0.00236262-0.00442293j -0.00091195+0.00321446j 0.00626969+0.0091631j -0.00134337-0.00205193j -3.2972e-05+0.00419156j -0.000294009-0.00539924j -0.00860255+0.000224975j -0.00368964+0.00409734j 
0.000227819-0.00408775j -0.00922623+0.00956523j 0.00691783-0.00218788j -0.0125468+0.00285293j -0.0071213+0.00466967j 0.00634141+0.0158702j 0.000124858+0.00344146j -0.000533233-0.00134478j 0.00642794-0.0018228j -0.0063644-0.00304027j -0.00609599-0.00388026j 0.00991241+0.00124885j -0.0014393-0.012674j 0.00531858-0.0156541j -0.0140569-0.000554728j 0.00104513+0.00273819j 0.00519524+0.00127934j 0.00102998-0.00432505j 0.000141248-0.00123561j -0.000112954-6.17312e-06j -0.00835324+0.000411951j 0.00470007+0.000146162j -0.00119829-0.00464271j -0.00263652+0.000270467j 0.000238974-7.82348e-05j 0.00164251-0.000958101j -0.00846486+0.000173038j 0.00730387-0.0100332j 0.00684273+0.00637142j -0.0017025+0.00819176j -0.000597626-0.00210281j -0.00108175+0.00269478j -0.00431593-0.0170758j 0.00418026-0.00677561j 0.0126798+0.00388399j -0.00253845-0.00186541j 0.00741774+0.00104427j 0.0124392-0.00390015j -0.00153831+0.00871433j -0.000865628-0.00293798j 
-0.00143094-0.00160073j -0.00402632+0.00652755j 0.00663934-0.00103592j -0.00763079+0.0015142j -0.00448549+0.00549182j 0.00562579+0.0102684j -0.0023485-0.00347047j -0.004568-0.00552993j -0.000121784+0.00345304j 0.00241634-0.00260986j -0.00964843+0.00316653j 0.00417919+0.000257662j 0.00218224-0.00216107j -0.000589517-0.0125977j -0.00891926+0.00040799j -3.33858e-05-0.00141816j -0.000170924+3.23576e-05j 0.00122371+0.00645009j -0.00015053+0.00498645j 0.000841303-0.000740473j 0.00740133+0.00163988j -0.00459534+0.00492707j 0.00350121+0.00206573j 0.00742047-0.000821449j -0.00335365+0.000743713j -0.00100949+0.00106429j 0.000964008-0.00255364j -0.00583159+0.00273719j 0.00894798-0.00392057j 0.00223764-0.00461293j 0.000188095+0.00567786j -0.00144485-0.00616043j 0.00233299-0.00462624j -0.003273-0.00938933j -0.0012417-0.0120812j 0.000882457+0.00250355j -0.00651858-0.00420993j 0.0103323+0.00147246j 0.0117498-0.00166899j 0.000763236-0.00906354j 
0.0008861+0.000288557j 0.00440789-0.0131101j -0.0172574+0.0037819j 0.00125756+0.00499887j -0.00276934-0.0157971j -0.00537867-0.00424004j 0.00330655+0.0044256j 0.00112583-0.00252196j 0.00633519-0.00557766j -0.00470386-0.000443548j -0.00307871-0.00441204j 0.00510554-0.00306017j -0.00438073-0.00600957j 0.000889882-0.00453124j -0.00340872+0.00160584j -0.000315463-0.00189017j -0.0034349-0.00314982j -2.20739e-05+0.00183682j 0.00365775+0.0117118j -0.000783743-0.00111813j 0.00369136-0.00268153j 0.000175305-0.00266566j 0.000938107+0.00126633j 0.0168546-0.00802489j -0.00787601+0.00420181j -0.000231155-0.00024348j -0.000266761+2.69017e-05j 0.000536518+0.000533354j 0.00277318+0.00130008j 0.00225399-0.00172506j 0.00738036+0.0109669j -0.00931968-0.0132772j -3.47685e-05-0.00144302j 0.00231518-0.00355776j 0.00258325-0.00665727j 0.00138194+0.000534516j -0.00884608+0.00601882j 0.00126875+0.000793879j 0.00380699-0.000154984j 0.000590788-0.00155095j 
-0.000131482+1.8679e-05j 0.00135577-0.00607348j -0.00396543-0.000659671j 0.00243297+0.000871764j 0.00231193-0.00256478j -0.00110952-0.00363042j 0.00132321-0.000504629j 0.00661334+0.0021332j -0.00403481+0.000638292j 0.00259401+0.00393291j 0.00983506-0.00688913j -0.00780238+0.00444412j 0.000974539+0.00781055j 0.00698438+0.018153j 0.014288-0.00314824j -0.000206953+0.000865942j -0.00118307-0.0017519j 0.000159145-0.00239773j 0.00066171+0.00275998j -0.000587016-0.000348443j -0.000812647-0.00388875j 0.00222557-0.00379663j -0.00376439-0.00963073j 0.00369818-0.00278056j -0.00275136+0.00100491j 0.00236562-0.00343255j -0.0131149+0.0134765j 0.0127376-0.00724772j 0.0217234+0.00526835j -0.00444755+0.00729972j 0.000966764+0.00288855j -0.00520328-0.00196696j -0.0182211-0.0232022j 0.00248189-0.02257j 0.010306-0.00653801j -0.000898932-0.00170614j 0.00237563-0.0015275j 0.0181551-0.0104636j 0.010447+0.00321484j -0.00113898-0.00889156j 
-0.0224634-0.00516534j -0.00226741+0.0136772j -0.00890575+0.00462892j 0.00564404-0.00245732j 0.000486867-0.010506j -0.0084303-0.00672633j 0.00347636+0.00175074j 0.00933989+0.00465801j -0.00210864-0.00573204j -0.00712652+0.0127207j 0.00208782-0.0160697j 0.0134288-0.00312696j -0.0150839-0.0100475j 0.00643033-0.00535422j -0.00359351+0.00313283j -0.0013591-0.0018695j -0.00478106-0.00138326j -0.000261268+0.00259864j -0.00327866-0.00928253j 0.00058044+0.00104294j 0.00551017-0.00454908j -0.00204311-0.00204708j -0.00343246-0.0028658j -0.0134873+0.00712965j 0.00601641-0.00361931j 0.000562645-0.00224753j -0.00248893+0.0103685j 0.00782662+0.00497037j 0.00596497+0.000669751j -0.00441704-8.24216e-05j -0.00712289-0.00856488j 0.00669188+0.00918412j -0.00827037-0.00543935j 0.00267068-0.00907329j -0.00328388+0.00277149j 0.000515092-0.00137877j 0.00592913-0.00710346j 0.0050877-0.00298324j 0.00495398-3.91724e-05j -0.000110533-0.00356555j 
-0.0271008-0.00475112j -0.00485028+0.0117436j -0.00334933+0.000218341j -0.011538+0.0171799j -0.0125214+0.00163289j 0.0149679+0.0150924j -0.00308734-0.00352283j 0.000707434+0.00285762j -0.00527786+0.00488982j 0.00374965+0.00252677j 0.0064369+0.000834719j -0.00318754+0.00336455j 0.00273943+0.00314635j 0.00269285+0.00621161j 0.00431497-0.00321008j 0.00185458-0.00168441j -0.00421097-0.00171299j -0.002547-0.000764924j 0.00214558+0.00685057j -0.000906397-0.000613397j 0.00130979-0.00417722j 0.000383772-0.0040146j -0.00453859-0.000876708j 0.0101649-0.00493116j -0.00454596+0.00182857j -8.38517e-05-0.0013018j 0.00267339+0.00471251j 0.00392344+0.00176692j -0.00726956+0.00411371j -0.00267723+0.000643537j 0.00522728+0.00675431j -0.00527469-0.00805919j 0.000829439+0.00860306j 0.00494426+0.00657669j 0.00062901+0.00450312j 0.00118738-0.00145297j -0.00508577+0.00823473j -0.0104058+0.00339326j -0.00667225-0.000421503j 0.00112887+0.00609277j 
-0.00851687-0.000993954j -0.000808726+0.0178848j -0.00485847+0.00345158j 0.00191566-0.000973225j -0.00218288-0.00608064j -0.0046509-0.00158834j 0.00626377+0.00977778j -0.00520546-0.0102659j 0.0174171-0.00911878j -0.00317212-0.0184269j -0.00733774+0.00732718j -0.0127375-0.00203506j 0.00883263+0.00354808j -0.00432551+0.00393817j 0.00193691-0.000941474j -0.00316051+0.00232419j 0.00656207+0.000546554j 0.00080003+0.00368169j 0.00125742+0.00239981j 2.26623e-05-0.000142585j 5.72077e-05+0.00158501j -0.00353327+0.00501681j -0.0101332-0.00567718j 0.00392101-0.00274799j -0.00279878+0.0014188j 0.000839226-0.00325847j -0.00139405+0.0121526j 0.00371078-0.00806606j 0.00435866+0.00483895j -0.00693732+0.00619445j 0.00270269+0.00246487j -0.00357899-0.00288589j -0.00901792-0.00173239j 0.0019968-0.00327281j 0.00949503+0.00226852j -0.0018863-0.0019573j 0.00230461+0.00405638j -0.000391765-0.00414538j -0.00355383+0.00498844j -0.000545495+0.0025112j 
0.000178975-0.000448936j 0.000550978+0.0308304j 0.00898885-0.00282297j 0.00412217-0.0161916j 0.00951638+0.0020995j -0.0108289-0.00544644j 0.00448017+0.00122472j 0.00513615-0.00190071j 0.000775706-0.00375819j -0.000831376+0.0017588j -0.00116634-0.00565897j -0.00183584-0.00178129j -0.00248391+0.00182053j 0.00297485+0.00365237j 0.00340024-0.00140705j 0.000478432+0.000763885j -0.00100614+0.000942795j 0.000332161-0.0084298j -0.000236297+0.00133556j -0.000335793+8.21697e-05j -0.00877728+0.00487994j 0.00738432-0.0061697j 0.0188487+0.00899148j 0.00145408+0.00023407j 0.000459517+0.000220902j -0.000444496+0.00644202j -0.00115757-0.0274468j -0.0102061+0.00228611j -0.00838602-0.00442491j 0.0155336-0.00745005j -2.34091e-05+0.000206424j 0.00133036-0.000513711j 0.0174099-0.00045906j -0.00285766+0.00989411j -0.0055913-0.00345008j 0.001018+0.00362119j -0.00299564-0.00164279j -0.000103717+0.00593704j 0.000115904-0.00257914j 0.00126548-0.000174628j 
