0.0202443-0.0741386j 0.212759+0.0473559j -0.0442397+0.149133j -0.000936618-0.345818j 0.0402235+0.192364j 0.135216+0.0144506j -0.0469029+0.0089381j 0.319889-0.106812j -0.301053+0.205046j -0.0136171+0.15845j 0.00342214-0.00895452j -0.00382621-0.0118273j -0.0224135-0.15905j 0.313386+0.203054j 0.312881+0.0968844j -0.0472629-0.00875771j -0.134125+0.0149259j 0.039338-0.194249j 0.000590995+0.345154j -0.0445232-0.148423j 0.212572-0.0476606j 0.0202982+0.0740786j 
-0.0237213+0.00805223j -0.0157892-0.0478506j 0.00765442-0.0106993j -0.0436352+0.0086421j 0.0289281-0.0147346j -0.00403799+0.0196185j 0.00849998-0.0261932j 0.0146333-0.0217504j 0.00125931+0.0283838j 0.0285991+0.0152139j 0.0353055-0.00158978j 0.0135008-0.001358j 0.0251943-0.0158104j 0.000337659+0.028524j 0.0159993+0.020171j 0.00915838+0.0271798j 0.00409869+0.0208681j 0.0297911+0.0152122j -0.0444218-0.0085015j 0.00700067+0.0108951j -0.0174075+0.0495317j -0.024861-0.00924868j 
0.00955698-0.00685747j 0.00877013+0.0108222j 0.0119536+0.0122928j 0.00251455+0.00561738j -0.00362537+0.00295012j 0.00939728-0.014452j -0.0167157+0.0137561j -0.00889408-0.00218233j 0.00356849+0.00551487j 0.000841166+0.00231269j -0.0109249-0.0171936j -6.30642e-05-0.00299568j -0.00444152-0.00651275j 0.000748186+0.00409667j 0.0121111-0.00122174j 0.00267662-0.00443446j -0.0070067+0.00578149j 0.00861886+0.0112398j -0.00838981-0.00380513j -0.00201652-0.00147884j -0.021664+0.0124775j -0.00731705-0.0171401j 
0.00038508-0.000246906j -0.00030104-0.00511028j 0.0214875+0.0156405j -0.00396447+0.0103177j 0.00769476-0.00422791j 0.0159984-0.0188329j -0.0191866+0.0341834j -0.00213972+0.0036531j 0.00752411+0.0115455j -0.00505649+0.0107467j -0.0395507-0.00608399j -0.00116988-0.00204897j -0.0071827-0.0127169j -0.00354703+0.0106557j 0.00728601-0.00668368j -0.0139467-0.0283472j -0.0161996-0.00810153j 0.0141097+0.0101638j -0.00996459-0.00948999j 0.0151825-0.0124709j -0.014136+0.0181784j -0.00916149-0.0103922j 
0.0154204-0.0157376j 0.0203564+0.0229849j 0.00850459+0.00144323j 0.0134093-0.000128874j -0.0136296+0.00990205j -0.00499642-0.0161048j -0.00332473+0.00533198j -0.0151922-0.00257687j 0.00371896-0.00376499j 0.00720155-0.00570383j 0.00593831-0.0151607j -0.00125687-0.00335412j -0.00736327+0.00278455j 0.00737255-0.00341699j 0.0127274-0.00304441j 0.0101942+0.0166958j 0.00208045+0.02086j 0.00699915+0.00532962j -0.00708047+0.0058685j -0.0187826+0.00607852j -0.0176052+0.0148476j -0.0124742-0.0156119j 
-0.00924581+0.0155981j -0.0219031-0.0153217j 0.000930385+0.00239753j -0.0096921+0.00612563j 0.00992327-0.0128196j 0.00946816+0.00399327j 0.000696218+0.00784225j 0.0126355+0.0011458j 0.00102368+0.00529471j -0.00561864+0.00971849j -0.0147849+0.0176237j 0.000618882+0.0022337j 0.00129465-0.00555727j -0.00512561+0.00739808j -0.00931594+0.00192878j -0.020089-0.0184175j -0.0120563-0.0171782j -0.0021757-0.0022724j 0.00161916-0.00730018j 0.0157964-0.0148994j 0.0100894-0.0105325j 0.0103717+0.0082285j 
-0.00218071+0.00201859j -0.00112804-0.00012702j -0.00352862-0.00371997j 0.00177838-0.0027218j -0.00045848+6.01366e-05j -0.0014001-0.000100979j 0.000526962+0.00196661j 0.000327995+0.00118993j -0.000489698+0.00160257j 0.0028793-0.00468228j -0.00490248-0.0022849j -0.00267805-0.000296588j -0.00109855-0.0002488j 0.0031258+0.00373854j 0.00162057-0.00276837j 0.00184377-0.00044964j 0.000898597+0.000868645j 0.000895029+0.000710188j -0.00192338+0.000279224j -0.000755383-0.00141736j -0.00598329-0.000998678j 0.00264786-0.00667804j 
0.00713393-0.0106601j 0.0070119+0.00121183j 0.0205838+0.0103766j -0.000915402+0.0115086j 0.00133264-0.000750756j 0.0056359-0.00676465j -0.00745412+3.02531e-05j -0.00481098-0.00092975j -0.000578005-0.00402307j -0.000108083+0.019481j 0.0140091-0.004181j 0.00704024-0.00356559j 0.00318022-2.40274e-05j -0.0175388-0.0044853j 0.00125675+0.00897619j -0.00330425+0.00476418j -0.00500719+0.00233872j -0.000176491+0.00189122j 0.00408136-0.00386755j 0.000452116+0.00635974j 0.0182448-0.00202285j -0.0014796+0.025871j 
0.000890626-0.00136041j 0.00144647+0.00293326j -0.00376856-0.0066172j -0.00179523-0.00541722j -0.00606465+0.000160187j -0.00119939-0.000280824j 0.00283676+0.000958959j 0.00502799-0.00904049j 0.0014918+0.00202512j 0.00292112-0.0130321j -0.0037223+0.00438935j -0.000601757+0.0042691j -0.00245592-0.00382318j 0.0131695+0.00433557j -0.00654518-0.00016921j 0.000935905-0.00392575j 0.0047541-0.00655697j -0.00295609-0.00430856j -0.00334072-0.00473127j 0.0110404+0.00175611j -0.00881961+0.00223555j 0.00115179-0.00798799j 
0.0004924+0.000586797j -0.00109336-0.00415511j 0.0135084-0.0037644j -0.0137825-0.00041559j -0.0157403+0.00538112j -0.00283149-0.0138654j 0.00313983+0.00550021j -0.00655895-0.0220919j -0.0161807+0.000390411j -0.0041423-0.0156065j -0.00143091-4.97356e-05j 0.00437916+0.000550899j -0.00800258+0.0153842j 0.0148434+0.00391291j -0.00964425+0.021116j 0.00368296-0.00449763j 0.00537966-0.0132487j -0.0157492-0.00872269j -0.0145378-0.00271649j 0.0133774+0.00598576j -0.00171681+0.00347162j 0.00144774+0.000295379j 
-0.00716328+0.0190497j -0.0138805-0.00442166j -0.0179097+0.00437429j 0.00122966-0.00704299j 0.00641482-0.00268912j -0.000606655+0.00864101j 0.00263833-0.00192252j 0.00436396+0.0136683j -0.00328004+0.000216943j -0.00457726-0.00214831j -0.0119882+0.00110444j -0.00763345+0.000300394j -0.000493327+0.00610654j -0.000244636+0.000637787j 0.00271357-0.0119703j 0.00239729-0.00128846j 0.00138599+0.00685385j 0.00590332+0.000986484j 0.00389448+0.0102123j -0.0209952-0.00437217j -0.00868508-0.000254687j -0.00488551-0.0186469j 
-0.000559507+0.00411729j -0.00560223-0.00566974j 0.0157999+0.0114642j 0.00249326+0.00777631j 0.0064729-0.00479514j 0.00391856-0.00451259j -0.00642036+0.00291032j -0.00132831+0.013325j -0.00772379-0.00359615j 0.00235249+0.0214117j 0.00193213-0.00939451j -0.000236722-0.00627816j 0.00346556+0.0077367j -0.0224479+0.00342169j 0.0065793+0.000361907j 0.00176832+0.00559553j -0.00177468+0.0124052j 0.00653741+0.0016734j 0.00575128+0.00455206j -0.0198619+0.00767802j 0.0123656-0.00707208j 0.00063448+0.0133138j 
7.24387e-05-0.0164019j 0.0175035+0.0070315j -0.0188656-0.0020311j 0.0110839-0.00629245j 0.00876928-0.00466871j 0.00574916+0.0141412j -0.00208465-0.0068403j 0.00964743+0.00236168j 0.0268463-0.00592427j 0.00787172-0.000552896j 0.00870527+0.00500805j 0.00151852+0.00432352j -0.00307482-0.0299246j -0.000631741-0.00569887j -0.00294164-0.0187348j -0.00642999+0.00263727j -0.00370629+0.00199679j 0.0122623+0.00362573j 0.00676656-0.0117557j 0.0125089-0.0131962j -0.00244917+0.00360709j 0.00110137+0.000729111j 
-0.0021757+0.0177348j -0.0133119-0.00190773j -0.00717013+0.00687824j -0.000420434-0.00470499j 0.00303486-0.00361797j 0.000799126+0.00282394j 0.00121361+0.001062j 0.00491364+0.00956454j -0.00686128+0.000884576j -0.00228706+0.000631564j -0.0103212+0.000567247j -0.00594689-6.61135e-05j 0.000286704+0.00856497j -0.00150322+0.00340821j 0.000576092-0.00685716j 0.00262254-0.000747414j 0.00341276+0.00592523j 0.00329281-0.00174437j 0.0035785+0.00722824j -0.0184366+0.00404142j -0.00606473-0.00038058j -0.005702-0.0115238j 
