-0.108131-0.206342j -0.151743+0.111903j -0.0724788-0.014577j 0.26053+0.195407j 0.368527-0.395215j 0.103055+0.00224851j 0.413366+0.411956j -0.282444+0.290298j 
-0.0534134+0.0494936j -0.0233224+0.0124575j -0.000845478-0.0481554j 0.120039-0.0519415j 0.0101404-0.0992157j -0.0536872-0.00588313j 0.00297889+0.118146j -0.0934896-0.0268156j 
-0.0150697-0.052003j 0.0177027+0.00381303j 0.00494824+0.0653473j 0.0298997-0.0973459j -0.0410704-0.000155693j -0.062254+0.00914749j -0.0377869+0.020079j -0.0377417-0.0591308j 
-4.41319e-05-0.012108j -0.0288661+0.0080249j 0.00194244+0.0314314j 0.0199839+0.013774j 0.0359988+0.033347j 0.07813-0.0103723j 0.0134428+0.0225341j 0.03009+0.075583j 
-0.0108962+0.0162209j -0.0152425-0.0136547j 0.00015507+0.0249147j 0.00343784-0.0110432j -0.0170922+0.0407628j -0.0628361-0.034335j -0.0172871-0.00371201j 0.00537908+0.0140394j 
-0.0224036-0.00523149j 0.0145905-0.0437477j -0.0288892-0.0111519j -0.0103811+0.0226569j -0.00777331+0.0164843j -0.0414577-0.00485685j -0.0115057-0.0206652j 0.00598678+0.0229198j 
0.017592-0.0192914j 0.0183318+0.0355374j 0.0163898-0.023921j 0.0212324+0.03016j 0.0112669-0.00138889j -0.0544446+0.0116396j 0.0111536-0.0139864j -0.0248059+0.0226442j 
-0.0032951+0.00052203j 0.0289689-0.014991j -0.00845475-0.0245548j -0.00239605-0.0420269j -0.00536405+0.00936767j 0.0250476-0.0336191j -0.0184456+0.0165151j 0.0106973-0.00506317j 
-0.00408444-0.0135017j 0.00849197-0.00130719j -0.00758197-0.0195458j 0.0168892-0.00237134j 0.0624683+0.019948j -0.0146493-0.0081614j 0.0207919+0.0303445j 0.0408976+0.0723953j 
