0.0344366+0.0181263j 0.0376841-0.0317632j 0.025128+0.0307908j 0.0182615+0.0188747j 0.00473373+0.0324469j 0.0671849+0.00935475j -0.0020367+0.00816595j -0.000487265-0.0750842j 0.0551792+0.0485185j 0.0046338+0.0412266j 0.0385306+0.021274j 0.0103716-0.00547508j 0.0226396+0.022561j 0.0267945-0.0185654j 0.0141839-0.0160611j 0.0186346+0.0163239j -0.0173675+0.0176753j -0.0434946-0.00947539j 0.00173381+0.00499924j 0.039754+0.0124909j 0.0188517+0.00898992j 0.00710313+0.0073593j 0.00782438-0.0214725j -0.0385774+0.0346206j 0.00414269+0.0259641j -0.0389716-0.0309123j 0.066458+0.00647368j -0.0748843+0.061473j -0.0441967+0.0482013j 0.0533975-0.0384506j -0.0180578-0.0663841j -0.00175311-0.0174229j 0.024955-0.00247498j -0.0702389-0.0153507j 0.0181013-0.0555361j -0.0489618-0.0209732j -0.00570961+0.0289924j 0.0198151-0.0172811j -0.0341817+0.0154272j -0.0137393-0.0173422j -0.00624648-0.0487526j -0.00556297+2.9558e-05j -0.011626-0.00578759j -0.032842+0.0187149j 0.0225679-0.0198689j -0.0104765-0.0349048j 0.0149234+0.00262211j 0.0181525-0.0453496j 0.0256034+0.000406297j 0.0100937-0.0419832j -0.0477363-0.00950813j -0.0182729+0.0282989j -0.00407384-0.0347382j -0.0132672+0.0386597j -0.00119428+0.029484j -0.00862312-0.00538205j -0.0281466-0.0294811j -0.000864884-0.00776349j -0.020633+0.000907501j 0.0696737+0.0823735j -0.00476558-0.0110746j 0.0595871+0.00513375j 0.0368842-0.0470621j 0.06144+0.0349133j 0.040234+0.000324631j 0.0225201-0.00621055j 0.0145145-0.0280371j -0.0584718-0.0166812j -0.00672666-0.00245095j -0.0433347-0.0210572j -0.0192773-0.0174135j -0.00632591-0.0272713j 0.018959-0.0128996j 0.00294861-0.00178584j -0.02962+0.00911766j 0.0421173-0.00842521j -0.0489862-0.0252934j -0.0485906+0.0135004j 0.00584746+0.0224096j -0.0441055-0.0185242j -0.0346145+0.0302662j 0.036824+0.0153955j 0.0538049-0.0161407j -0.0303968-0.00479324j 0.0186648+0.00312861j 0.0343224-0.0106706j -0.15454+0.0543426j 0.0286363-0.0584675j -0.0121927+0.0192703j -0.0735867-0.0303088j 0.057778+0.0377768j -0.0192817+0.0449988j 
0.034326-0.0444247j -0.0402682-0.0101647j 0.0123533-0.0262611j 0.0421924+0.0242667j -0.0167407+0.0492105j -0.0583811-0.00430478j -0.0286629+0.0271182j 0.0168076-0.052082j 0.0223995+0.0662195j -0.0101999-0.0176701j -0.0130109-0.031541j 0.0201108-0.0171486j 0.0289464+0.0450393j 0.00510834-0.0236866j 0.0063528+0.0397185j -0.0244732-0.00868335j -0.014815-0.0166916j 0.00802631-0.0419011j 0.00893543+0.0132593j 0.0117515-0.0111808j -0.00499915+0.00112664j 0.00953935+0.00370024j -0.0153802+0.0579233j 0.0309644+0.0111877j -0.0089587-0.0347326j 0.0432312+0.0590554j 0.0348012+0.0370698j 0.0599947-0.0271738j 0.0288228-0.00871817j 0.0119822+0.0147348j -0.0308204+0.0252095j -0.0250893-0.0465877j -0.0614762+0.00904432j 0.000557448+0.0162221j 0.0319921+0.0062013j -0.00274448-0.0180001j 0.0279396+0.0223639j 0.00761867+0.013794j -0.0164601+0.0148197j -0.00646866+0.0137222j 0.0177087+0.0118243j 0.00196679-0.0256805j 9.74719e-05+8.14917e-05j 8.00449e-05+0.047661j -0.00066486+0.0152072j -0.00689942+0.00644416j 0.00210485-0.0119139j -0.00325689-0.00411262j -0.0205386+0.00017084j -0.00161374+0.0268856j -0.0139776+0.0495028j 0.0155736-0.0454248j -0.00339686+0.00741959j 0.0298043-0.0133772j 0.0104724+0.0100862j 0.0211828+0.0164169j -0.046775-0.0376143j 0.0386733-0.0087017j 0.0242183+0.00859207j 0.077906-0.098904j -0.0033043+0.00181158j -0.0200912+0.0236255j -0.0247135-0.0332248j 0.0204521+0.0200785j -0.046658+0.0326766j 0.0277006-0.0083369j 0.0162748+0.0300707j 0.0464158+0.0410401j -0.0100796-0.0301344j -0.0296533+0.0300785j 0.00757492-0.0413883j -0.0597849-0.0639928j -0.00816079+0.00134942j 0.0169122+0.00532344j 0.0347068+0.00587368j 0.000372799+0.00389179j 0.0489971-0.0569796j 0.00335294+0.0316987j -0.00529553+0.0175123j -0.00498284-0.0412087j -0.0288595-0.0687302j -0.0546199+0.0252454j -0.0120166+0.0184704j -0.0220727-0.078466j 0.00757909+0.0404852j -0.0368017+0.064287j -0.00201874-0.0889136j -0.0303096+0.00658118j -0.0291066+0.00275692j -0.00439239-0.0936296j 0.0360359-0.0623476j 0.0577262+0.043535j 
0.0279037-0.0335384j -0.0415008-0.0167913j -0.00807174-0.0360995j -0.0126483+0.00786978j -0.0047944-0.036478j -0.224807-0.0131366j 0.0250627+0.0636266j -0.105046+0.0945954j -0.0712948-0.0269266j -0.00256108-0.112768j -0.0242844-0.127157j -0.010819-0.0805531j 0.0608063+0.104804j -0.0651781-0.00574595j -0.0604682+0.181022j -0.218396-0.105696j -0.0836167-0.0154745j 0.0297214-0.111015j 0.039078+0.0467023j -0.0262187-0.0478503j 0.138941-0.028239j -0.045757-0.063553j -0.136608+0.0894375j -0.0189196-0.0110928j -0.103854-0.101066j 0.0550176-0.0256293j 0.0130057+0.0294207j 0.0941238-0.0364179j 0.0359145-0.0449213j -0.0550566-0.0182379j -0.0930325+0.129946j -0.0334068-0.0223452j -0.141242+0.0322092j 0.115984+0.0593311j 0.0541615-0.00615011j 0.0785492+0.0301927j -0.118952-0.0884903j 0.194061+0.0500714j 0.041101-0.0121772j -0.051914+0.0354883j 0.0859105+0.17407j 0.00122539-0.0556287j 0.00236962-0.157633j 0.0173388+0.115919j -0.133192+0.0301736j -0.00593178-0.088688j 0.0299491+0.000489127j 0.0423644+0.0175091j -0.141327+0.0950753j -0.0631256+0.122499j -0.0554686-0.0609033j -0.106872+0.136961j -0.0395179-0.0617874j 0.0200164-0.155787j 0.0611949-0.0744399j 0.0386989+0.0407504j 0.106042-0.146868j 0.0625493+0.150844j 0.0774493-0.017549j 0.0139427-0.148697j -0.0585178+0.0484474j 0.088632-0.0661416j -0.142533-0.0677705j -0.0203294+0.0548363j -0.0349653+0.104824j -0.0234285+0.109496j 0.0440444+0.0413666j 0.0102737-0.00163328j -0.0152314-0.0248572j -0.00659935-0.0705008j -0.010198+0.0569307j -0.0088765+0.0167611j -0.0213581-0.00901208j 0.0362563-0.0601481j 0.0343768-0.00334635j -0.020365-0.0124331j -0.000179061-0.00145197j -0.00616377+0.00551774j -0.021614+0.0374883j -0.0146121+0.0147727j 0.0097203-0.0288947j -0.0062485-0.0157198j 0.0222794+0.000595497j 0.0218455-0.0142407j -0.0221982-0.00351428j 0.0235628-0.0368466j -0.0137993-0.0317476j 0.00757103+0.0186979j -0.0196706-0.0345117j 0.0300082-0.00845824j -0.0145538-0.0240732j 0.0203241-0.0127648j 
0.0539718+0.0423875j 0.0660676-0.0570479j -0.0395847-0.00451249j 0.0585254-0.0546861j -0.0737155+0.0719003j -0.0429207+0.0551786j 0.0238874+0.122083j -0.0540054-0.114065j 0.107857+0.0667388j -0.0525742+0.00335594j 0.0341973+0.044963j -0.0802084+0.017634j -0.0253806+0.149857j -0.0668385+0.0131661j -0.129444-0.0197147j -0.101294+0.111771j 0.0321394-0.0746455j -0.142558-0.0956667j -0.00281106-0.0100894j 0.21454-0.105325j 0.148155-0.121852j 0.0163343-0.0716558j -0.0800297-0.0601813j -0.181876-0.0519503j 0.0379848+0.122214j 0.099974+0.0524237j 0.0330425-0.0803705j -0.118558+0.029201j 0.0102927-0.00132305j 0.0937822+0.036679j -0.100609-0.186525j 0.0269973+0.0088504j 0.043069-0.0475813j -0.0270654-0.120145j -0.0557996+0.102601j 0.0391176+0.13243j 0.0181086+0.0584725j 0.128187+0.134724j 0.0276659+0.136667j -0.0238953-0.0134573j -0.0363917+0.0803889j -0.0188453-0.0801172j -0.00704759-0.168994j -0.0128799+0.0904523j 0.16209-0.0436611j -0.0373089-0.0409891j -0.0845127+0.0184081j 0.0436721-0.0678487j -0.0696706+0.134291j -0.178824-0.159929j -0.00654182-0.0260729j 0.0408291+0.118986j 0.0470629-0.117711j -0.095738+0.127509j -0.163376+0.0315746j -0.0863904-0.00374752j -0.13734-0.0976334j 0.0584667-0.097749j -0.0536729+0.0244082j 0.103767-0.0657156j 0.0443018+0.088225j -0.0699109-0.00690491j 0.0890159-0.0455416j -0.00343444-0.0338701j -0.00203823-0.0277937j 0.0595006+0.0134319j -0.0169248+0.0061262j 0.0106226-0.0268055j -0.0302111-0.0148575j 0.0674663+0.0151205j 0.00716826-0.0110788j -0.0487359+0.00580119j 0.037792+0.0610224j -0.0309537-0.0186216j 0.00599085-0.000232711j 0.0101102-0.0678866j 0.0272091-0.0202243j 0.00436969+0.0254841j 0.0301125+0.0114807j -0.0128044-0.0241759j -0.0130298+0.0208219j 0.00105916+0.010468j 0.00466845+0.0197873j -0.0140073+0.00364695j 0.00744997+0.0168349j 0.0321141-0.0279787j -0.00809644-0.0297878j 0.0393981-0.00830062j 0.0359008-0.00169184j -0.000399958+0.0246592j 0.0208392-0.00402598j 0.000728643+0.015357j 
-0.00898425+0.0289639j 0.0395756-0.0291665j -0.0595142-0.0071513j -0.021466-0.0887727j 0.143993-0.0460099j 0.0782854-0.0485129j -0.108391-0.088955j -0.101961+0.00246673j -0.0141142-0.0707627j 0.0325978-0.0258113j -0.0196715-0.0141689j -0.088906-0.0453154j 0.0375384+0.0360501j -0.102134+0.0486002j 0.0122335+0.00922426j -0.0366534+0.0136742j 0.0179299+0.105562j -0.00759262-0.013884j -0.00431759-0.0650601j -0.0218219+0.0185541j -0.0271856-0.0561441j -0.0320559-0.00637906j 0.0218245+0.00248445j 0.066301-0.0122667j 0.106071-0.0490325j 0.0276634+0.143091j -0.0619029+0.0360984j 0.0080258+0.0828313j 0.026917-0.136349j -0.0199148+0.137172j 0.0298046+0.00141944j -0.0220573+0.0193639j -0.00139244+0.00947513j 0.0633824+0.0702961j 0.046546+0.0251574j 0.0211593-0.0555962j 0.0839038+0.0420084j 0.00768086-0.018798j 0.0872693+0.00412816j -0.0134759+0.0237466j 0.0689579+0.0239618j 0.0280204-0.030011j -0.000433195+0.0363188j -0.16616+0.00563755j 0.00633546+0.0262042j -0.0144861-0.0576524j 0.067759+0.0227865j -0.0326292+0.0214199j 0.00360235+0.03599j 0.053665-0.0322525j -0.0615958-0.0237737j -0.0943339-0.0945157j -0.0120363+0.0648389j 0.031095+0.0433196j -0.0384174-0.0608526j -0.0593452+0.0349407j -0.0262641-0.0553951j 0.0525714-0.0231678j -0.120941+0.0285075j 0.0154168+0.00671091j -0.0419968-0.0409526j -0.04884-0.0623659j -0.0117481+0.0444845j 0.0892656+0.0629373j -0.0626638+0.0373043j 0.20819-0.0539376j 0.0218465+0.0961768j 0.125095+0.113497j -0.0432904-0.0509916j -0.127594-0.00549167j -0.0151454-0.142783j -0.047653-0.124448j 0.0221255-0.0434945j 0.0682489+0.0110533j -0.105316-0.0649151j 0.0565465+0.0340562j -0.0166209-0.0943346j -0.0693624-0.033342j -0.039419+0.0358547j -0.0571379-0.0338431j 0.0199441+0.0488961j -0.0978072-0.00848255j 0.0877726+0.00869971j -0.122613-0.126276j 0.0794992-0.0292674j 0.003429+0.0680781j -0.0530552-0.0563114j -0.05197-0.0336771j 0.17979-0.126549j 0.0610998+0.134784j -0.0123042+0.00624732j -0.02009-0.00228951j 
0.0445976+0.0123093j 0.0150979-0.0330327j 0.0818563+0.0120265j -0.00338282+0.0891033j 0.00540142+0.118287j 0.00483647-0.0214745j 0.0478611+0.00639598j 0.0512535-0.0144058j 0.108707+0.145835j -0.0937414+0.0278119j -0.0131297-0.124573j 0.00701591+0.034078j 0.0645309+0.0614422j 0.0462885+0.00623824j 0.0104137+0.0273303j 0.0411621-0.0369941j -0.0767937+0.00751584j -0.0655644-0.0495472j 0.000629918+0.00895089j 0.0382695-0.0468689j 0.0506995+0.0854429j 0.0956541-0.0218751j 0.0497037+0.0440527j 0.171817+0.0125099j -0.0561084+0.013373j -0.00326549+0.0516376j 0.0923188+0.078034j 0.0634698-0.0735806j -0.0588337+0.0770657j 0.024295-0.167067j -0.146631+0.0164436j -0.0196417-0.0848559j -0.0127566-0.0262207j 0.0537644+0.00946973j 0.0300689-0.00703215j -0.0143206-0.0239382j 0.165193+0.0180518j -0.0747637-0.0806527j -0.120159+0.0702673j 0.0176486-0.0190162j 0.0776398-0.0266059j 0.109774-0.0801418j 0.0075561+0.0611402j -0.0962156+0.0521142j -0.0203266+0.0118541j 0.0387534+0.000508952j 0.0293957-0.0678033j 0.00933221-0.0215669j 0.0544727-0.0264326j 0.0487977+0.0168475j -0.0557549+0.160186j 0.0184424-0.130041j 0.0131249+0.0625525j 0.0909606+0.07331j 0.090536+0.0451223j 0.0369922-0.0313345j -0.117012+0.00012577j 0.0158478+0.048876j -0.00917867-0.0590885j 0.0697267+0.026317j 0.0701632-0.0654362j 0.0823833-0.0376209j -0.0098903-0.00988729j 0.0682014-0.0531081j 0.00327002-0.0305189j 0.0605829+0.0323987j 0.0269218+0.0348219j -0.00675446-0.00537593j -0.131547-0.0908302j -0.036232-0.0121039j 0.0077744-0.0719548j -0.0945528-0.0771881j -0.0167186-0.0531182j 0.0186977-0.0305412j 0.0525564+0.0619463j 0.025745-0.070241j 0.224682+0.0254363j -0.00671604+0.0723655j -0.00216526-0.0133491j -0.114284+0.0772402j -0.0368799-0.150523j -0.0705804+0.0614897j 0.116516+0.0481437j -0.0321489-0.018256j 0.0711359+0.0992251j 0.0771006-0.128548j -0.0514421-0.17934j 0.188272+0.0799902j -0.0460145+0.0138637j -0.00399196-0.0396507j 0.0693804-0.0597422j 0.055194+0.0852535j 
0.0179694-0.0390544j -0.0381983+0.00212327j -0.0143525+0.0515898j 0.0619678+0.00138242j 0.0445304+0.0869782j 0.0306505-0.164528j -0.220629-0.0527111j 0.0842701+0.0088006j -0.0464202+0.163514j -0.0920408-0.00610572j 0.0474902+0.00757161j 0.0552533-0.02542j 0.0300394+0.0875171j 0.137021+0.0660707j 0.0685087+0.031192j -0.0457483-0.0366437j 0.00279136-0.0224975j 0.0104816-0.0332866j 0.0165902+0.02845j -0.022546-0.0210195j 0.0645515+0.0255195j -0.100491-0.100313j -0.133876+0.0795201j 0.0197654+0.0649461j -0.0920532-0.0105405j -0.00411309-0.106031j 0.0488504+0.0132074j -0.0592189-0.0381907j -0.0086454-0.0179251j -0.00249976+0.100338j -0.160986-0.0675961j -8.86646e-05+0.0673109j 0.0525265-0.00238189j -0.142788+0.0818353j 0.0343164-0.0744911j -0.0587285-0.0301091j -0.0350861-0.0609112j 0.0197703-0.0960119j -0.144511+0.135127j 0.0121997-0.0893534j 0.0197182-0.0512896j -0.0160022+0.0958744j 0.0243269-0.057411j -0.0500628+0.0506067j -0.0220753-0.0228409j 0.0765163-0.0569876j -0.0933423-0.0566278j 0.0526748-0.0682978j -0.0109809-0.00223267j 0.0243409-0.0407664j 0.0681084+0.161855j 0.135222+0.00110079j -0.0647667+0.0417357j 0.0509439+0.0107998j 0.0287988+0.0383084j 0.132889+0.0396968j -0.0406393-0.036868j 0.0556648+0.00332292j -0.0262864-0.0532319j -0.0201955+0.077167j 0.0981553-0.00496931j 0.10558-0.0112173j 0.0410453-0.123997j -0.00337488+0.0631818j -0.147903+0.137163j 0.0139831-0.0695086j 0.0197029-0.00905083j -0.0489842+0.0512982j -0.0160035+0.0274324j 0.0594024+0.0149932j -0.0316262+0.0680328j 0.00097553+0.0127664j 0.0616011+0.00789893j 0.0611556+0.019363j -0.141246-0.0935352j -0.0230227-0.0237049j -0.104088-0.0323991j -0.0380385-0.264368j -0.0166867-0.0788961j 0.0208454+0.0409953j -0.0143837+0.0622681j 0.0086052+0.0248279j -0.0666049-0.0524645j -0.0931906-0.105169j 0.0431548+0.00514913j -0.0441668+0.122925j -0.0712445+0.158901j -0.138677-0.0395278j 0.0427504-0.0147969j -0.0242082+0.0179195j 0.00864747+0.020692j 0.00156737+0.00234194j 
-0.00326291+0.0145751j 0.0284086+0.00342132j 0.0663124-0.0258648j 0.0532338+0.0179534j 0.0847161+0.113756j -0.0401905-0.0346038j -0.0265083+0.0313908j 0.0188588+0.0485447j -0.0407862-0.0376875j -0.154512-0.00789872j 0.0168394+0.037259j -0.00389471+0.00745105j 0.0964112+0.124007j -0.0546921+0.0311692j -0.0851366-0.0251226j 0.0036302-0.0247549j 0.125464+0.102359j -0.0579186-0.0614155j 0.048334-0.152348j -0.0788374+0.00936819j 0.115165+0.0301273j -0.0337529-0.120732j 0.0839502-0.0469425j 0.0222826-0.0266505j -0.00895393-0.0458338j -0.145457+0.0169657j 0.0131047-0.0591199j 9.18394e-05+0.0377136j 0.12137-0.0945059j 0.0718072+0.054226j 0.0233611+0.0456956j 0.037526+0.127538j 0.0551958+0.0609596j -0.0141071+0.0957946j 0.120689+0.0237915j 0.0277822-0.0331208j 0.156174+0.0210022j 0.0582099-0.178077j 0.0634636+0.0978268j 0.133101-0.0647473j 0.109457+0.0209716j -0.0153842-0.0556358j 0.0613122-0.0291105j -0.235975+0.0754605j -0.00223493-0.0141632j 0.0144756-0.0641516j 0.00892743-0.0775424j -0.0145796+0.0898167j 0.0367899-0.0500679j 0.0444624+0.00398754j 0.0137051-0.07464j 0.00308098-0.0595077j -0.0678713+0.0124901j -0.0549584-0.044144j 0.0153939-0.0384778j -0.016808+0.183371j -0.00268614+0.0734947j -0.024977-0.0546228j -0.0488747-0.185123j 0.0119853+0.140875j -0.0955898+0.07579j -0.0176928+0.0808797j -0.00406464+0.0195842j -0.136416+0.00871071j 0.0893057-0.117058j 0.00384691+0.106117j 0.0599937-0.0321911j 0.0178909+0.00194313j 0.0527374+0.101151j 0.0856587-0.0157724j -0.0682549+0.0251035j -0.03819+0.102301j 0.183936+0.0258237j 0.081917-0.0641746j -0.0308365+0.0782185j -0.0191247-0.0950864j -0.00866074+0.100404j 0.0871936+0.0838218j 0.0217524+0.00757451j 0.10293-0.0916968j 0.081311-0.0351112j 0.098631+0.0337176j 0.0374038-0.132937j -0.0291191+0.106891j -0.0866693-0.0408657j -0.0439027-0.0227944j 0.0776417-0.0368047j 0.0589262-0.013654j -0.0188765+0.0611741j -0.0312969-0.0188769j -0.00193937-0.00111299j -0.00639286-0.0175043j 
0.0120034+0.00972495j 0.0245541-0.000707112j 0.0526327-0.0458423j 0.0966052+0.106204j -0.178412+0.0084413j 0.0328013+0.0108181j 0.0195609+0.0615699j -0.114234-0.0100032j -0.0405424-0.0714348j 0.0685528+0.0338681j 0.0625541+0.0969932j 0.110048-0.102145j -0.0454126-0.0544744j 0.0674126+0.0533075j 0.127244+0.100515j 0.000640194+0.0342907j -0.0735492+0.0189195j -0.0209525+0.0406163j -0.0636351+0.243897j 0.0521431+0.00488181j -0.0328807-0.0172694j 0.060091-0.024551j 0.0189991+0.0308375j -0.0116204-0.022122j -0.10969+0.0913768j 0.0273706+0.0181119j -0.0584505-0.0216195j -0.0920091+0.138171j 0.0612558-0.0416064j 0.053621+0.00699489j 0.00147673-0.0762084j 0.00677335-0.0777762j -0.0183337+0.0101505j -0.00603884+0.0971595j 0.110782+0.00145708j 0.0304918-0.00600806j 0.00872176-0.0128831j 0.0160269+0.102081j 0.0652873-0.0232807j -0.142017+0.130571j 0.0821775-0.0808962j -0.0225307+0.0316261j -0.123938-0.0103789j 0.00746276-0.0120039j 0.12248-0.028435j 0.0338447+0.0462123j 0.0921611+0.136717j -0.0759815-0.0288676j -0.147838-0.0466959j 0.124158+0.0109827j -0.130677+0.0550794j -0.055092+0.156165j 0.0730039+0.165189j 0.141473-0.0809798j 0.146647+0.153222j 0.124363-0.0709523j -0.0941089+0.00854058j 0.0631877+0.0268095j -0.0957469-0.0440981j 0.0563068-0.00423157j -0.0218293-0.0255333j 0.0341168+0.0149128j 0.0296328+0.00905431j -0.0746995+0.103747j 0.0377567-0.0930569j 0.0632393+0.0961133j 0.114904-0.000696671j 0.127479+0.0117747j 0.0278956+0.0812282j 0.0610505-0.0269469j -0.0412302-0.0696819j 0.0646083+0.0628568j -0.0450249+0.0411697j -0.0145534-0.0330883j -0.0745912+0.069139j 0.104223-0.0904143j -0.078082+0.0616212j 0.000610235-0.0626885j -0.0592181-0.0336152j 0.00629614-0.0704861j -0.012735-0.0249539j 0.01769+0.0553782j 0.0990472-0.144185j -0.0607805-0.0141347j -0.0362236-0.0704522j -0.0564046-0.00426016j 0.0340587-0.012085j 0.0700955-0.0108714j 0.0257706+0.0731055j -0.0557291+0.0014024j 0.0169337+0.00656099j -0.00443841+0.0062773j 
0.0266688-0.0297535j -0.029683-0.0249683j -0.146681+0.0645643j 0.00717512-0.111257j -0.165756+0.0956082j 0.117123-0.0500933j -0.129444+0.0571293j 0.0208224+0.0397066j -0.0737019-0.0350565j -0.0535994-0.00553619j -0.00514492+0.215928j 0.0274629-0.0340178j 0.0868233-0.0363347j -0.161061-0.0751057j -0.106232+0.114606j -0.029149+0.0666255j 0.120912-0.0551402j 0.0210581-0.0784917j -0.00469092+0.126425j -0.123497+0.0605981j 0.162709-0.115281j -0.025003-0.00908109j 0.0136576-0.0191614j 0.127172+0.0129519j -0.0686405-0.014269j -0.0139767+0.070304j 0.0945892+0.101966j 0.0175446-0.0364598j 0.0530279+0.0267253j 0.0400654-0.0950839j 0.085317+0.0787587j 0.0331638+0.112304j 0.033683+0.00121313j -0.0370256+0.0942155j 0.0284271+0.119343j -0.0248308-0.206851j -0.0192574+0.0119378j -0.0563851+0.0399038j 0.0649791+0.0766713j -0.0149954+0.123173j -0.097256-0.0163687j 0.0187833-0.00896101j -0.164441-0.0701499j 0.217012+0.0341379j 0.0732523+0.0491036j -0.00559138+0.0513759j 0.13108+0.14373j -0.0692415+0.103355j -0.0404155-0.156588j -0.0409975-0.070651j -0.0195365+0.172012j 0.00591908+0.0165308j 0.0868828-0.0366353j 0.135752+0.175258j 0.0751157-0.127909j -0.0629426+0.0205693j -0.0106959-0.0456659j -0.0625128-0.0712266j 0.0064228-0.10692j -0.0337199+0.0224216j 0.024257-0.0170518j -0.0424407+0.0542109j 0.0214496+0.058441j -0.00046364-0.0383831j -0.0200429+0.0548356j -0.0180506-0.0227078j -0.0503289+0.00225155j -0.0789196+0.00578135j 0.0613538-0.0137479j -0.0434564-0.00427312j -0.0406815+0.0571496j -0.029132-0.0279094j 0.0867667-0.0169914j 0.152383-0.00494176j -0.021738-0.0371777j -0.0885018+0.00662474j 0.117106-0.00228105j 0.0356022+0.0326078j 0.0252611+0.0426339j 0.00793793-0.00941588j 0.0463314-0.0164378j -0.0034472+0.023984j -0.0357184+0.0582446j -0.00285354+0.00693551j 0.0272011+0.0512046j 0.024758+0.00130917j -0.0166443-0.00257861j -0.0264558+0.00608831j -0.0194408-0.0364537j 0.0261437-0.0187279j -0.0035387-0.016209j 0.0136448-0.0012054j 
-0.0822296+0.0875852j 0.070062+0.0638576j 0.00995407+0.0112697j -0.0343847-0.0115065j 0.0397638-0.0597544j 0.0946145-0.0823434j -0.00996581-0.0751874j -0.0946364+0.111504j 0.0563505-0.0518429j -0.0403975+0.0422514j 0.0683735-0.010212j -0.025656+0.0878544j 0.0544827+0.0205423j -0.0310328-0.00605374j -0.030844-0.0233354j -0.0500983-0.0227591j -0.0269143+0.00516147j -0.00966121+0.0628692j 0.0307582-0.0062345j -0.0142127+0.0322189j 0.0444491-0.062911j -0.061151-0.0198932j 0.0279056-0.0391525j -0.0169096+0.00256051j -0.0406344+0.0100654j -0.0350574-0.0419438j 0.0578611+0.0783661j -0.0413538+0.0417648j -0.109572+0.0800977j 0.0424534-0.232636j 0.044434+0.0142468j -0.0018114+0.0523399j -0.0165839-0.00158125j -0.0813252-0.0237756j 0.0430814+0.0157307j -0.0136319+0.0652324j -0.0904154-0.0215033j 0.073817-0.0259256j -0.0355154-0.0580907j -0.0550081-0.0348644j 0.044132-0.00801613j 0.0959944+0.0632397j -0.0336996-0.0846307j -0.0583679+0.0187133j -0.0195714-0.0321981j 0.0598743-0.138865j 0.0276662+0.0435524j 0.0223585+0.0167477j -0.0687905+0.0364785j 0.0297989-0.0406707j -0.0564363+0.0141288j -0.0888394+0.140982j -0.0498438-0.0118866j 0.0183095-0.0041674j -0.0611447-0.0814036j -0.0590875+0.0172759j 0.109049-0.0504106j -0.0809215+0.0772537j 0.0598991-0.0687148j -0.059388+0.126455j 0.090811-0.0524771j 0.0940256-0.0888816j -0.025934+0.0539714j 0.0242662-0.0874339j 0.0940978-0.0152927j 0.0447725-0.0542868j -0.0956394-0.0596951j 0.000761578-0.0929871j -0.0923489-0.0421955j -0.0273192-0.167895j -0.0197874-0.0144541j 0.132264+0.065859j 0.0150334+0.0159138j 0.0145657-0.0724327j -0.157875+0.0486862j 0.052702-0.0541665j 0.206881+0.021582j -0.0520196-0.0535433j -0.0472086-0.0421462j -0.0657548+0.148852j -0.109363+0.135912j -0.029485-0.125251j 0.122814+0.00927462j -0.0207078+0.149787j 0.0502293-0.026189j 0.0978302+0.045755j -0.0608761+0.0832554j 0.029551+0.0368059j 0.00449654+0.046946j -0.059773+0.0487747j -0.00543798+0.0913869j -0.0647096+0.0144539j 
