-0.0332008-0j 0.0454353-0j 0.00376459-0j 0.137561-0j 0.0560101-0j -0.0390736-0j -0.0432466-0j -0.00996511-0j -0.0130188-0j -0.0110294-0j -0.0144091-0j -0.0941636-0j -0.10422-0j 0.020413-0j 0.022593-0j 0.00167303-0j 0.00226787-0j 0.00144919-0j 0.119431-0j -0.00575564-0j 0.161894-0j 0.00787658-0j 0.103452-0j -0.00780202-0j 0.0397928-0j 0.0106771-0j -0.00498557-0j -0.0856332-0j 0.0539409-0j 0.00611965-0j 0.00682274-0j -0.11608-0j 0.0344687-0j -0.074176-0j 0.00829545-0j 0.00530088-0j 
0.00278592-0j 0.0302902-0j -0.06505-0j -0.0115429-0j 0.03734-0j 0.00153207-0j 0.00169569-0j 0.172192-0j 0.000513871-0j 0.190581-0j 0.00056875-0j 0.00790137-0j 0.00874521-0j 0.0136087-0j 0.015062-0j 0.00111535-0j 0.00151191-0j 0.000966125-0j -0.00468286-0j -0.012518-0j -0.00634783-0j -0.136103-0j -0.00405632-0j -0.0169687-0j -0.00157068-0j -0.184494-0j -0.0108432-0j 0.00718558-0j -0.00212913-0j 0.00407977-0j -0.117893-0j 0.00974037-0j -0.00136053-0j 0.00622419-0j 0.0055303-0j 0.00353392-0j 
-0.000809236-0j -0.0782539-0j -0.000729009-0j 0.00712935-0j 0.169785-0j 0.00756658-0j 0.00837467-0j 0.00410322-0j -0.000149266-0j 0.00454143-0j -0.000165207-0j -0.020413-0j -0.022593-0j -0.0452937-0j -0.050131-0j -0.000323981-0j -0.00043917-0j -0.000280634-0j -0.0491768-0j -0.000140288-0j -0.0666614-0j -0.013566-0j -0.0425973-0j -0.000190166-0j 0.000970112-0j -0.0183893-0j -0.000121518-0j 0.0326728-0j 0.00131503-0j -0.095222-0j -0.0117509-0j 0.0442894-0j 0.000840317-0j 0.0283013-0j -0.129078-0j -0.0824818-0j 
-0.0576287-0j -0.0128132-0j -0.038298-0j 0.104307-0j -0.00605194-0j 0.00187639-0j 0.00207678-0j 0.044286-0j 0.0788232-0j 0.0490156-0j 0.0872413-0j 0.0564526-0j 0.0624816-0j -0.00137626-0j -0.00152324-0j 0.00136602-0j 0.0018517-0j 0.00118326-0j -0.00250544-0j 0.124477-0j -0.00339623-0j 0.0276762-0j -0.00217022-0j 0.168734-0j -0.105248-0j 0.0375163-0j 0.107822-0j 0.0196701-0j -0.142668-0j -0.000300564-0j 0.0239733-0j 0.0266637-0j -0.0911665-0j 0.0170384-0j -0.000407428-0j -0.00026035-0j 
-0.0296674-0j 0.000404618-0j 0.000768443-0j -0.0155265-0j 0.000122259-0j 0.000469097-0j 0.000519196-0j 0.000256935-0j 0.139966-0j 0.000284375-0j 0.154914-0j -0.00367089-0j -0.00406293-0j 2.04391e-05-0j 2.26219e-05-0j 0.000341506-0j 0.000462926-0j 0.000295814-0j 0.000181111-0j -0.00514309-0j 0.000245504-0j 7.01439e-05-0j 0.000156879-0j -0.00697168-0j 0.0540387-0j 9.50832e-05-0j -0.00445497-0j -0.000818261-0j 0.0732519-0j 3.52905e-06-0j 6.07591e-05-0j -0.00110919-0j 0.0468087-0j -0.000708782-0j 4.78378e-06-0j 3.05688e-06-0j 
0.010499-0j -0.0586181-0j 0.0148327-0j -0.0679984-0j 0.0403552-0j -0.000726723-0j -0.000804335-0j -0.0613746-0j 0.0041169-0j -0.0679292-0j 0.00455657-0j 0.121485-0j 0.134459-0j 0.0463516-0j 0.0513019-0j -0.000529059-0j -0.000717162-0j -0.000458274-0j 0.0034722-0j -0.0226776-0j 0.00470673-0j 0.126614-0j 0.00300764-0j -0.0307405-0j -0.0196701-0j 0.17163-0j -0.0196435-0j -0.0616986-0j -0.0266637-0j 0.0229107-0j 0.109673-0j -0.0836352-0j -0.0170384-0j -0.0534437-0j 0.0310565-0j 0.0198454-0j 
0.0209064-0j -0.0087985-0j -0.000729009-0j -0.0866218-0j -0.0108463-0j -0.000445025-0j -0.000492552-0j 0.00192974-0j -0.0637962-0j 0.00213583-0j -0.0706094-0j 0.0592944-0j 0.0656268-0j -0.00395296-0j -0.00437512-0j -0.000323981-0j -0.00043917-0j -0.000280634-0j 0.00136025-0j 0.0036243-0j 0.00184388-0j -0.00152529-0j 0.00117826-0j 0.0049129-0j 0.194997-0j -0.0020676-0j 0.00313939-0j 0.0539228-0j 0.264328-0j -0.00118506-0j -0.00132122-0j 0.0730948-0j 0.168908-0j 0.0467083-0j -0.00160641-0j -0.00102651-0j 
0.000198221-0j 0.0332817-0j -0.00222491-0j -0.00220884-0j -0.119056-0j 0.000109008-0j 0.00012065-0j 0.0158396-0j 3.65625e-05-0j 0.0175312-0j 4.04673e-05-0j 0.00868172-0j 0.00960891-0j 0.135088-0j 0.149515-0j 7.93588e-05-0j 0.000107574-0j 6.8741e-05-0j -0.000896109-0j -0.000428153-0j -0.00121471-0j -0.0718876-0j -0.000776214-0j -0.000580381-0j -0.000300564-0j -0.0974468-0j -0.000370869-0j -0.0229107-0j -0.000407428-0j -0.0193788-0j -0.0622695-0j -0.0310565-0j -0.00026035-0j -0.0198454-0j -0.0262688-0j -0.016786-0j 
-0.00458434-0j 0.0262472-0j 0.000244517-0j 0.0403879-0j -0.0569476-0j 0.000149266-0j 0.000165207-0j -0.00137626-0j 0.00627035-0j -0.00152324-0j 0.00694-0j -0.11564-0j -0.12799-0j 0.015192-0j 0.0168144-0j 0.000108666-0j 0.000147302-0j 9.41275e-05-0j -0.000970112-0j -0.000794734-0j -0.00131503-0j 0.00455017-0j -0.000840317-0j -0.0010773-0j -0.0407524-0j 0.00616795-0j -0.000688403-0j 0.185092-0j -0.0552416-0j 0.0319384-0j 0.00394138-0j 0.2509-0j -0.0352999-0j 0.160328-0j 0.0432939-0j 0.0276652-0j 
0.000373509-0j -0.0121273-0j -4.23516e-05-0j -0.00503365-0j 0.0601376-0j -2.58536e-05-0j -2.86147e-05-0j 0.000364644-0j 0.000146461-0j 0.000403587-0j 0.000162103-0j 0.0251335-0j 0.0278177-0j -0.116224-0j -0.128637-0j -1.88216e-05-0j -2.55135e-05-0j -1.63034e-05-0j 0.000257033-0j 6.47509e-05-0j 0.00034842-0j -0.00210237-0j 0.000222644-0j 8.77728e-05-0j -0.0014561-0j -0.00284985-0j 5.60876e-05-0j -0.0919438-0j -0.00197381-0j 0.127914-0j -0.00182108-0j -0.124634-0j -0.00126128-0j -0.0796422-0j 0.173393-0j 0.1108-0j 
4.21429e-06-0j 0.00208459-0j 3.79649e-06-0j -7.64611e-05-0j -0.0160329-0j 2.31757e-06-0j 2.56508e-06-0j -4.40064e-05-0j 7.77338e-07-0j -4.87062e-05-0j 8.60355e-07-0j 0.000543778-0j 0.000601851-0j 0.0556625-0j 0.061607-0j 1.68721e-06-0j 2.28708e-06-0j 1.46147e-06-0j -3.10196e-05-0j 7.30582e-07-0j -4.20485e-05-0j 0.000361381-0j -2.68694e-05-0j 9.90336e-07-0j -1.04043e-05-0j 0.000489868-0j 6.32835e-07-0j -0.00308532-0j -1.41035e-05-0j -0.153532-0j 0.000313031-0j -0.00418229-0j -9.01226e-06-0j -0.00267252-0j -0.208119-0j -0.13299-0j 
