0.0113492+0.0182502j 0.0488738-0.0196268j -0.03002-0.0691049j 0.023707-0.0143672j -0.0252157+0.0268818j -0.0244031-0.00239096j -0.0219505-0.00254271j -0.0390877-0.0197354j 0.0137302+0.0214884j 0.0602385-0.0153909j 0.0842029-0.0083555j -0.0478581+0.0548488j 0.0177968-0.054565j -0.000270364+0.0665226j -0.044942+0.0387742j -0.0702543-0.017314j -0.038093-0.0236139j 0.00762269-0.0394802j 0.0513104-0.0441012j -0.00639149+0.0304629j 0.0534511+0.00113951j -0.0224441-0.0580385j 0.0280958+0.0412367j 0.0677405+0.0146652j 0.0425624+0.00357563j -0.0695364+0.0715395j -0.0530451-0.120733j -0.0223538+0.0318774j 0.0595863+0.0394887j -0.0669446-0.0369325j 0.0450175-0.0207035j -0.0332068-0.012932j 0.0319908+0.0227584j 0.0100904+0.0138633j 0.044985+0.0324969j 0.0232838+0.0335888j -0.0131046+0.0167441j 0.12521+0.0151133j 0.0148159+0.0148407j 0.0599274-0.0261005j 0.0117672+0.0094755j -0.0214636-0.0151125j -0.0352788-0.0153933j 0.0514164-0.0207777j -0.0522888+0.00291102j -0.15213+0.0673849j 0.0332262-0.0349844j 0.0628637-0.0648577j 0.00355773-0.0216482j 0.0838721+0.0176159j 0.0279235+0.06201j 0.0398086-0.0157694j 
0.0297966-0.0454255j -0.0196824-0.0137573j -0.0147009-0.00832869j 0.0140843+0.0137626j -0.0379236-0.0581871j 0.0272061-0.0423378j 0.0620966+0.024876j -0.00649966-0.0260107j 0.0514312+0.11007j 0.00793689-0.0221257j -0.10515-0.0384329j 0.0115789-0.002119j 0.00836911+0.0496767j -0.0172762-0.0728885j 0.0599393+0.0450364j 0.0517129-0.0192213j -0.0255443+0.0422131j -0.0510785-0.018973j -0.000916189+0.0282228j -0.0224047-0.0109034j 0.0355504+0.0638836j -0.0188904-0.000899859j 0.0403054-0.0972832j 0.0184711-0.0148011j -0.0518885+0.0416173j 0.0648425-0.0423875j -0.068275+0.011296j -0.0142258-0.089449j 0.00986772-0.073668j -0.0779855+0.0562641j 0.0110725-0.0029809j 0.0488661+0.0112206j -0.000298811-0.0537586j -0.0351196-0.076096j 0.0214214+0.0270537j -0.0216921+0.061576j 0.0600008+0.0814971j -0.0609754+0.0638209j -0.0137763-0.0454151j 0.0509795+0.0680726j 0.0497027-0.0712415j 0.0799187-0.0245576j -0.0400749-0.0893384j -0.0282361-0.013024j -0.0247536-0.0690825j 0.0197321-0.0781745j -0.0412139+0.0244392j -0.0240661+0.0566034j -0.0076218+0.0580048j -0.0280219+0.0486399j 0.0483163-0.0550378j -0.0365298-0.0692597j 
0.032807+0.0166055j 0.0225757-0.0103737j 0.0278037-0.0307469j 0.12743+0.0407399j 0.152619-0.0472804j 0.0890173+0.057275j -0.0357523-0.110212j 1.82894e-06-0.0812241j 0.180396+0.0392338j 0.038256+0.179142j 0.0128617-0.00721314j 0.0660021+0.0930422j 0.144744-0.187211j 0.0980293-0.158965j 0.0164211+0.0376049j 0.00336679-0.0795721j -0.0537922+0.0683002j 0.0668775-0.00672348j 0.0532745-0.0589346j 0.00474713+0.0590358j -0.02299+0.0568574j -0.0486793-0.0904455j -0.0873591-0.0261354j 0.0448765-0.0479352j 0.0593819+0.00044298j -0.0279148+0.0860589j -0.206479-0.0189992j 0.0544849+0.0956884j 0.0432499-0.0722413j 0.078173+0.0501759j -0.035996+0.0434873j -0.125875+0.009173j 0.0449282+0.138232j 0.0312478+0.0867341j 0.0328747+0.032008j -0.0673782-0.0357552j 0.0927861+0.0716143j -0.153102-0.13149j 0.0305262-0.0803958j 0.110328+0.021223j 0.0427763-0.145507j -0.0102536+0.0237112j 0.0786197+0.104662j 0.0946245+0.102463j -0.0238216-0.160697j -0.065686-0.102438j 0.159452-0.196728j 0.132229+0.094213j 0.121851-0.0405933j 0.0215289+0.0318855j 0.0838356+0.000820492j 0.00743738-0.0841128j 
0.0122856-0.0227564j -0.063307+0.0132938j 0.0989503+0.0665022j -0.0838431+0.0459671j 0.157898+0.0308494j 0.0554689+0.100214j -0.061285-0.0701005j 0.0692299+0.058509j -0.0610942-0.102811j -0.0239651+0.0408917j -0.0162541+0.14766j 0.0643232-0.0534298j -0.0125861-0.125037j 0.116476-0.0235755j 0.00606786-0.166531j -0.0774542+0.00889749j 0.121658+0.0214742j 0.228894+0.0397489j -0.00351576-0.0521303j 0.0782988+0.0964916j -0.170969-0.0832725j 0.0894417-0.00531598j -0.136822+0.0602023j -0.0848858-0.00839049j 0.0594675-0.0295884j 0.0425273-0.0784609j 0.0893478-0.0106736j 0.0374554+0.127399j -0.0435008+0.047751j 0.188672+0.0112671j -0.156843-0.0123621j -0.14129-0.00398196j 0.0403035+0.0394777j 0.0828541+0.126614j -0.12519-0.0941123j 0.00852055-0.169352j 0.0170019-0.111198j 0.013199-0.0491085j 0.0593237-0.0581685j -0.210343-0.0189688j -0.142429+0.0245339j -0.125295-0.0251375j 0.210433+0.139581j -0.088524+0.0565861j 0.0624556+0.00571126j 0.0887757+0.0793981j -0.00295802-0.0535865j -0.0618221+0.0177845j 0.111183-0.0743595j -0.00695313+0.046363j -0.0387221-0.0183675j -0.0062498+0.0502027j 
0.0018183+0.0425158j 0.0701434+0.00996812j -0.075585-0.00523636j -0.0157739-0.153524j 0.121563-0.0895331j 0.145003-0.031743j 0.0360463-0.115262j 0.0954927+0.115462j 0.0265891+0.0743858j 0.087406-0.172533j 0.0576464+0.0622623j -0.152549-0.0292534j -0.0161978+0.0709692j -0.169095+0.0532805j 0.00499668+0.0726886j 0.0961192+0.0295979j 0.058979+0.0974049j -0.267618-0.0803738j 0.134071+0.155044j -0.047411-0.0228349j 0.089463-0.173214j 0.0170283-0.0859362j 0.114386+0.126949j 0.12303+0.0680784j 0.048909-0.0590511j 0.156876-0.11517j -0.0289135+0.0107657j -0.0996594-0.102612j -0.0744243+0.059332j 0.165657-0.0243722j 0.16491+0.0482336j -0.058073+0.195286j -0.126096+0.165521j -0.0106534+0.0691775j -0.0730231-0.154437j 0.0334043+0.0436454j 0.00546836+0.0207417j 0.0254628-0.15965j -0.0194666-0.0214129j -0.171181+0.131947j -0.0159326-0.0364595j -0.027658-0.1224j -0.0136604+0.156339j 0.114935-0.0958623j 0.115779+0.0174511j 0.0895936-0.0919788j -0.0622945-0.131545j 0.106174+0.0315171j 0.0539394-0.0921549j 0.0118334+0.023474j 0.0156342-0.034328j -0.00126455-0.00153592j 
-0.0296471+0.0250698j -0.0268489+0.0238266j 0.00726085+0.0944991j 0.101816-0.00511944j 0.0172819-0.0658007j 0.0725716+0.00911735j 0.0564854-0.000639492j 0.0876598-0.0236152j 0.122636-0.000726002j -0.0716858+0.0856299j -0.0958592-0.0642481j 0.0644347+0.0649606j 0.0504888+0.0116861j 0.00320574-0.155853j 0.0583396+0.039941j 0.151489+0.00601542j 0.00693687+0.047094j -0.0721652+0.077283j -0.0726049+0.0517862j -0.0149223-0.0842915j -0.0137929+0.0786719j -0.0284861+0.0638533j -0.0383832-0.030028j -0.0611486-0.0538179j -0.0624139-0.0176692j 0.0440552-0.0374752j -0.0661372+0.182753j 0.0435474-0.100787j -0.0611584-0.0637509j 0.0179131+0.125458j -0.0434748+0.0461598j 0.0434117+0.0158228j -0.0659508+0.0263776j -0.0282987-0.0164678j 0.0314099+0.0571383j -0.0916089-0.0280132j -0.00183165+0.0606492j -0.275151-0.0935601j -0.0289684-0.0672813j 0.0842001-0.00441128j 0.0937246-0.0904312j 0.0843856+0.0537573j 0.022345+0.0427244j 0.0220311+0.0860916j -0.0240964-0.0592331j 0.12446-0.185861j 0.0487395+0.00459029j 0.0256543+0.139523j 0.0220697+0.0412314j -0.0921946-0.033936j -0.00700811-0.0713838j -0.0580938-0.0296491j 
-0.146963+0.120503j 0.0791914+0.102218j -0.0843902+0.0754272j 0.030076-0.0789435j -0.052174+0.036137j -0.0706269+0.0211682j -0.025053+0.0446639j 0.0746251+0.0133436j 0.0552021-0.14319j 0.070946+0.14303j 0.166139-0.0419137j -0.0667339+0.176856j 0.0418404-0.08453j -0.0773879+0.0839791j -0.16556+0.0830387j -0.0616463+0.0831304j -0.060483-0.173841j -0.0540203+0.0921538j -0.0559775-0.00344785j 0.0238275-0.0680002j 0.0342752-0.0988372j 0.0913125+0.00551008j -0.0492601+0.145621j -0.0052165+0.025758j -0.00548268-0.0628029j -0.180229+0.131063j 0.0273286+0.125569j 0.0456108+0.033912j 0.041728+0.135435j -0.00906106+0.0172637j 0.0665571-0.0235537j 0.0251266+0.00462868j -0.157964+0.130909j 0.0108234+0.101304j 0.0920503+0.0832496j -0.0501638-0.0211062j -0.260197-0.0390291j -0.10534-0.121357j -0.0581017+0.0942187j 0.173858-0.170104j 0.00352947+0.104529j 0.0287496+0.11751j -0.0167333+0.165213j 0.115956+0.00287827j -0.0378487+0.0751342j 0.00815656+0.0502359j 0.0552804+0.110376j 0.0669962+0.0181729j 0.0248039-0.150563j 0.0646131-0.0157913j -0.0403885+0.0819295j 0.029478+0.0144815j 
0.0584481+0.0148547j 0.0747754-0.0743573j 0.000832185-0.134451j 0.0802006+0.00618209j 0.0369476+0.0457443j -0.00730782-0.00273545j -0.0531108-0.0940725j -0.101834-0.0518858j 0.0208943+0.0409677j 0.0228341-0.04176j 0.11883+0.0138406j -0.0330644+0.0265395j 0.0496243-0.0977968j 0.0446383+0.0799126j -0.0211625+0.00896546j -0.0395041-0.0900151j -0.023405+0.0509033j 0.0288451-0.0960175j 0.132777-0.0718058j -0.0904943+0.0360997j 0.0749159+0.0824049j -0.152769-0.0527572j 0.0527447+0.026191j 0.0646434+0.0248311j 0.0734364-0.0108922j -0.0315479+0.084908j -0.111335-0.192899j -0.0280274+0.0810039j -0.0207259-0.041598j -0.0533452-0.0897231j 0.0331342+0.0214379j -0.0914786-0.0614609j 0.0776805+0.0585343j 0.0352606+0.0193594j 0.041745+0.0257999j 0.0239893+0.0478709j 0.0746123+0.0278917j 0.171753-0.0075516j 0.062391-0.0227203j 0.0506889+0.0232538j 0.0393012-0.0488649j -0.0330093-0.0254712j -0.0166587-0.031288j 0.0765751+0.0142741j -0.0546357-0.056607j -0.168621+0.0348205j 0.103076-0.190132j 0.110855-0.0916045j -0.0324137+0.0274635j 0.0398252-0.0742151j 0.023041+0.0657302j 0.0761604+0.0252747j 
-0.0221646+0.0404841j 0.00215887-0.0288783j 0.0186795+0.0211575j 0.0608381-0.0222626j 0.0360904+0.0713595j -0.0344985+0.0142896j -0.0393019-0.0692687j -0.0455267-0.0104439j -0.0209302-0.0965839j -0.0957508-0.0246649j 0.0452842-0.035264j 0.0371911-0.0344291j -0.00768381+0.00719861j -0.00338826+0.0243898j 0.0160788-0.0412797j 0.1149-0.0170361j 0.0458855+0.00733245j -0.0223387+0.0055733j 0.0352193+0.0399403j -0.0523887-0.0623457j -0.00772664+0.0484406j -0.121549+0.0759093j 0.0133391+0.0212585j -0.0722175-0.00942893j 0.0367477-0.0411397j -0.0149968-0.0113836j 0.0362829+0.0198084j 0.0708598-0.00433377j -0.108075-0.0451851j 0.0373125-0.0427271j -0.0161719+0.0586355j -0.0282886-0.019389j -0.028352+0.0382698j -0.0222834+0.0388724j -0.00787467-0.0132715j 0.033263-0.0181903j 0.00267564-0.0402341j 0.0201055-0.0546084j 0.0278596+0.0038915j -0.0117824+0.00781501j 0.0201123+0.00604048j -0.0139042+0.0453567j 0.04316+0.0242701j 0.0542916+0.0622587j -0.0202528+0.0219028j 0.0290892-0.0681018j 0.0609055-0.0710923j 0.0208154-0.0353168j -0.102983+0.0727197j -0.080027-0.149465j -0.0857238+0.0151001j 0.0271787+0.102376j 
0.000723837-0.0133788j 0.0135255+0.0267575j -0.0527096-0.0120175j -0.050286+0.00268847j -0.0237374-0.0433542j 0.00897604-0.00838217j 0.0180243+0.0419988j 0.0349699+0.016424j 0.0574898+0.103277j 0.107031+0.0179158j -0.0130003+0.00669856j -0.0434709+0.0333184j 0.0362027-0.0205414j 0.0344124-0.0216048j -0.0123998+0.0184502j -0.0548487-0.00384626j -0.0595417-0.00494152j -0.0150986-0.0673194j 0.00521343-0.0240377j 0.0350932+0.033053j 0.00461743-0.000428975j 0.126735-0.066805j -0.000566952-0.0264525j 0.0698766-0.0143349j 0.0138454-0.00662108j 0.0229237+0.00148648j 0.00759187-0.0141034j -0.0314331+0.0232741j 0.0891045+0.0519947j -0.0192346+0.00523045j 0.0250464-0.0212415j -0.00251565+0.0429659j 0.0132228+0.00135504j -0.011041-0.0128876j 0.0373308-0.00338412j -0.00257503-0.0234783j -0.00175894+0.0443339j -0.0180707+0.0282872j -0.0107097+0.059394j 0.0238918-0.00331161j -0.0176537-0.050111j 0.00180399-0.0154601j -0.00135786+0.00581825j 0.00648869-0.0142102j -0.000872583-0.0239465j -0.0476715+0.0564891j -0.0429079+0.0448726j -0.00294549+0.00254955j 0.0784039-0.0725226j 0.0691327+0.111001j 0.0629323-0.00250155j -0.0240055-0.0678238j 
-0.00933601+0.0294184j 0.0120331-0.018304j -0.0018153+0.0167065j 0.0171867-0.0264944j 0.000867299+0.035j -0.0260461-0.0121747j -0.0308256-0.0226074j -0.0235027+0.0285546j -0.0151346-0.0671029j -0.0381538-0.0194792j 0.0258251-0.00463349j 0.00489211-0.0232229j 0.0201636+0.0468117j -0.0236188+0.00806063j -0.0138008-0.0106995j 0.0599484+0.024511j 0.036915-0.0360871j -0.0247007-0.00634338j 0.0317865-0.023284j -0.0148449-0.0405702j -0.00968989+0.031822j -0.0690959+0.0283098j -0.0175796+0.0435546j -0.0193159+0.0197222j -0.0205101-0.0245639j 0.00763298+0.0163876j 0.0195456+0.0154073j 0.00908857+0.00683419j -0.0402476-0.00944568j 0.0122936-0.0190151j -0.00509574+0.0131247j 0.012639-0.0108022j -0.00897579+0.00499095j -0.00737015-0.0176059j 0.0226982-0.0558164j 0.0329619-0.0128934j -0.0191016-0.024422j 0.00457786-0.024809j 0.0309353+0.0255859j -0.0216407+0.0036934j -0.0133942-0.0175592j 0.0126963+0.031016j -0.00162169-0.000700435j 0.0218811+0.0155711j -0.00780762-0.00251498j 0.0121031-0.0437464j 0.0330947-0.0251756j 0.0159027-0.00292448j -0.0455504+0.036478j -0.0331125-0.0672865j -0.0421199+0.00807581j 0.0187837+0.0441198j 
