-0.0544315-0j -0.00553797-0j -0.00559536-0j -0.00318732-0j -0.00046005-0j -0.0039441-0j -0.00230073-0j -0.000569282-0j -0.000332081-0j -0.0022467-0j -0.000397165-0j -0.00262115-0j -3.30971e-05-0j -0.00160512-0j -0.00229351-0j -0.000463359-0j -0.000283748-0j -0.000946025-0j -3.86133e-05-0j -0.000405439-0j -2.36457e-05-0j -0.000167235-0j -3.37866e-05-0j -1.39363e-05-0j -0.00173483-0j -0.000289138-0j -0.0019597-0j -0.00017706-0j -3.61423e-05-0j -0.00160009-0j -2.12971e-06-0j -0.00161667-0j -0.000326617-0j -0.00140008-0j -0.000200011-0j -0.000266681-0j -0.001155-0j -4.08271e-05-0j -0.000163308-0j -0.000269445-0j -2.40576e-06-0j -0.00036903-0j -3.33352e-05-0j -0.000165001-0j -0.000233346-0j -0.000142895-0j -1.96429e-06-0j -0.000192501-0j -3.36806e-05-0j -2.91683e-05-0j -0.000117882-0j -1.98465e-06-0j -6.15049e-05-0j -2.40626e-05-0j -3.76639e-05-0j -1.71876e-06-0j -7.68812e-06-0j -1.4179e-06-0j -4.53027e-07-0j 
0.008486-0j -0.0407094-0j -0.0411312-0j 0.00049691-0j -0.00683533-0j 0.000614895-0j 0.000358689-0j -0.00845829-0j -0.00493401-0j 0.000350267-0j -0.00291954-0j 0.000408644-0j -0.000740206-0j 0.000250243-0j 0.000357564-0j -0.00340613-0j -0.00208582-0j 0.000147488-0j -0.000863573-0j -0.00298037-0j -0.000528828-0j -0.00122934-0j -0.000755627-0j -0.00031168-0j 0.000270464-0j -0.00212545-0j 0.000305522-0j 2.76041e-05-0j -0.000536996-0j 0.000249458-0j -6.36176e-05-0j 0.000252043-0j -0.00240095-0j 0.000218275-0j 3.11822e-05-0j -0.00196036-0j 0.000180068-0j -0.000606601-0j 2.54602e-05-0j -0.00198068-0j -7.18637e-05-0j 5.75326e-05-0j -0.000495288-0j 2.5724e-05-0j -0.00171532-0j 2.22776e-05-0j -5.86765e-05-0j -0.00141507-0j -0.000500421-0j -0.000433377-0j 1.83781e-05-0j -5.92846e-05-0j -0.00045212-0j -0.000357518-0j 5.8719e-06-0j -5.13419e-05-0j -0.000114229-0j -4.23549e-05-0j -1.35326e-05-0j 
0.00657323-0j 0.000668773-0j 0.000675703-0j -0.0367989-0j 5.55563e-05-0j -0.0455363-0j -0.0265628-0j 6.87474e-05-0j 4.01026e-05-0j 0.000271315-0j -0.00458543-0j 0.000316535-0j 3.99685e-06-0j 0.000193837-0j 0.000276968-0j -0.00534967-0j -0.00327599-0j 0.000114243-0j 4.66299e-06-0j -0.00468096-0j 2.85549e-06-0j -0.0019308-0j 4.08012e-06-0j 1.68296e-06-0j 0.000209501-0j 3.49168e-05-0j 0.000236656-0j -0.00410985-0j -0.000417278-0j 0.000193229-0j 2.57186e-07-0j 0.000195231-0j 3.94427e-05-0j 0.000169075-0j -0.00464257-0j 3.22048e-05-0j 0.00013948-0j -0.000471365-0j -0.00379064-0j 3.25386e-05-0j 2.90523e-07-0j 4.45646e-05-0j -0.000384868-0j -0.00382993-0j 2.81792e-05-0j -0.00331681-0j 2.37211e-07-0j 2.32467e-05-0j -0.000388857-0j -0.00033676-0j -0.00273623-0j 2.39669e-07-0j 7.42743e-06-0j -0.000277813-0j -0.000874239-0j 2.0756e-07-0j -8.87625e-05-0j 1.71228e-07-0j 5.47082e-08-0j 
-0.000948764-0j 0.00919942-0j 0.00929475-0j -5.55563e-05-0j -0.0356473-0j -6.87474e-05-0j -4.01026e-05-0j -0.0441113-0j -0.0257316-0j -3.9161e-05-0j 0.000659752-0j -4.56878e-05-0j -0.00785918-0j -2.7978e-05-0j -3.99768e-05-0j 0.000769711-0j 0.00047135-0j -1.64896e-05-0j -0.00916905-0j 0.000673497-0j -0.00561487-0j 0.000277803-0j -0.00802292-0j -0.00330928-0j -3.02388e-05-0j 0.000480304-0j -3.41584e-05-0j -3.08624e-06-0j -0.00280052-0j -2.78902e-05-0j -0.00101855-0j -2.81792e-05-0j 0.000542561-0j -2.44039e-05-0j -3.48628e-06-0j 0.000442999-0j -2.01322e-05-0j -0.00316352-0j -2.84653e-06-0j 0.00044759-0j -0.00115057-0j -6.43234e-06-0j -0.002583-0j -2.87603e-06-0j 0.000387624-0j -2.49072e-06-0j -0.000939437-0j 0.000319774-0j -0.00260977-0j -0.00226013-0j -2.05474e-06-0j -0.000949172-0j 0.000102169-0j -0.00186451-0j -6.56498e-07-0j -0.000822007-0j -0.00059572-0j -0.000678121-0j -0.000216663-0j 
0.00600051-0j 0.000610503-0j 0.00061683-0j 0.000351369-0j 5.07157e-05-0j 0.000434797-0j 0.000253631-0j 6.27575e-05-0j 3.66085e-05-0j -0.0357554-0j 4.37833e-05-0j -0.0417146-0j 3.64861e-06-0j -0.0255449-0j -0.0365003-0j 5.10805e-05-0j 3.12803e-05-0j -0.0150556-0j 4.25671e-06-0j 4.46955e-05-0j 2.60669e-06-0j 1.84359e-05-0j 3.72462e-06-0j 1.53633e-06-0j -0.0369925-0j -0.00460152-0j -0.0417875-0j 1.95191e-05-0j 3.98432e-06-0j -0.0341194-0j 2.34778e-07-0j -0.0344729-0j -0.00519797-0j -0.0298544-0j 2.20491e-05-0j -0.00424412-0j -0.0246287-0j 4.50076e-06-0j 1.80031e-05-0j -0.00428811-0j 2.6521e-07-0j -0.00786898-0j 3.67486e-06-0j 1.81896e-05-0j -0.00371361-0j 1.57527e-05-0j 2.16543e-07-0j -0.00306357-0j 3.71294e-06-0j 3.2155e-06-0j 1.29953e-05-0j 2.18787e-07-0j -0.000978826-0j 2.65265e-06-0j 4.15206e-06-0j 1.89475e-07-0j 8.47535e-07-0j 1.56309e-07-0j 4.99415e-08-0j 
-0.00106075-0j 0.00508867-0j 0.0051414-0j 0.00593839-0j 0.000854417-0j 0.00734839-0j 0.00428656-0j 0.00105729-0j 0.000616751-0j -4.37833e-05-0j -0.0348904-0j -5.10805e-05-0j 9.25257e-05-0j -3.12803e-05-0j -4.46955e-05-0j -0.0407055-0j -0.0249269-0j -1.84359e-05-0j 0.000107947-0j -0.0356173-0j 6.61036e-05-0j -0.0146914-0j 9.44533e-05-0j 3.896e-05-0j 0.00653942-0j 0.000265681-0j 0.00738706-0j 0.000663225-0j -0.00641744-0j 0.00603151-0j 7.9522e-06-0j 0.00609401-0j 0.000300118-0j 0.00527757-0j 0.000749192-0j 0.000245045-0j 0.00435377-0j -0.00724927-0j 0.000611713-0j 0.000247585-0j 8.98297e-06-0j 0.00139105-0j -0.00591901-0j 0.000618052-0j 0.000214415-0j 0.000535249-0j 7.33456e-06-0j 0.000176883-0j -0.00598034-0j -0.00517913-0j 0.000441558-0j 7.41057e-06-0j 5.6515e-05-0j -0.00427256-0j 0.00014108-0j 6.41774e-06-0j -0.00136511-0j 5.29437e-06-0j 1.69158e-06-0j 
-0.000707167-0j 0.00339245-0j 0.0034276-0j -4.14092e-05-0j 0.000569611-0j -5.12413e-05-0j -2.98907e-05-0j 0.000704858-0j 0.000411167-0j 0.00845681-0j 0.000243295-0j 0.00986628-0j 6.16838e-05-0j 0.00604184-0j 0.008633-0j 0.000283844-0j 0.000173819-0j 0.00356093-0j 7.19644e-05-0j 0.000248364-0j 4.4069e-05-0j 0.000102445-0j 6.29689e-05-0j 2.59733e-05-0j -2.25387e-05-0j -0.0513166-0j -2.54602e-05-0j -2.30035e-06-0j 4.47497e-05-0j -2.07881e-05-0j 5.30147e-06-0j -2.10036e-05-0j -0.0579683-0j -1.81896e-05-0j -2.59852e-06-0j -0.0473309-0j -1.50057e-05-0j 5.05501e-05-0j -2.12168e-06-0j -0.0478214-0j 5.98864e-06-0j -4.79438e-06-0j 4.1274e-05-0j -2.14367e-06-0j -0.0414145-0j -1.85647e-06-0j 4.88971e-06-0j -0.0341652-0j 4.17017e-05-0j 3.61148e-05-0j -1.53151e-06-0j 4.94038e-06-0j -0.010916-0j 2.97931e-05-0j -4.89325e-07-0j 4.27849e-06-0j 9.51905e-06-0j 3.52958e-06-0j 1.12772e-06-0j 
8.83958e-05-0j -0.00129015-0j -0.00130352-0j 5.17615e-06-0j 0.0101781-0j 6.40516e-06-0j 3.73634e-06-0j 0.0125947-0j 0.00734693-0j 3.64861e-06-0j -9.25257e-05-0j 4.25671e-06-0j -0.0337832-0j 2.60669e-06-0j 3.72462e-06-0j -0.000107947-0j -6.61036e-05-0j 1.53633e-06-0j -0.0394137-0j -9.44533e-05-0j -0.0241359-0j -3.896e-05-0j -0.034487-0j -0.0142252-0j -0.000544952-0j -6.73593e-05-0j -0.000615588-0j 2.87543e-07-0j 0.000799609-0j -0.000502626-0j -0.00898011-0j -0.000507834-0j -7.60904e-05-0j -0.000439798-0j 3.24815e-07-0j -6.21275e-05-0j -0.000362814-0j 0.000903254-0j 2.6521e-07-0j -6.27714e-05-0j -0.0101441-0j -0.000115921-0j 0.000737504-0j 2.67958e-07-0j -5.43616e-05-0j 2.32059e-07-0j -0.00828263-0j -4.4846e-05-0j 0.000745146-0j 0.000645316-0j 1.91439e-07-0j -0.00836846-0j -1.43285e-05-0j 0.000532358-0j 6.11656e-08-0j -0.0072473-0j 0.000170091-0j -0.00597872-0j -0.00191023-0j 
-0.000612424-0j -6.23092e-05-0j -6.29549e-05-0j 0.00689293-0j -5.17615e-06-0j 0.00852956-0j 0.00497558-0j -6.40516e-06-0j -3.73634e-06-0j 0.00364927-0j 0.000858914-0j 0.00425748-0j -3.72385e-07-0j 0.00260716-0j 0.00372529-0j 0.00100207-0j 0.000613637-0j 0.00153661-0j -4.34449e-07-0j 0.000876808-0j -2.66044e-07-0j 0.000361665-0j -3.80143e-07-0j -1.56801e-07-0j -1.95191e-05-0j 0.000469641-0j -2.20491e-05-0j -0.036416-0j 7.81618e-05-0j -1.80031e-05-0j -2.39619e-08-0j -1.81896e-05-0j 0.000530516-0j -1.57527e-05-0j -0.0411362-0j 0.000433164-0j -1.29953e-05-0j 8.82931e-05-0j -0.0335876-0j 0.000437653-0j -2.70679e-08-0j -4.15206e-06-0j 7.2091e-05-0j -0.0339356-0j 0.000379019-0j -0.0293891-0j -2.21008e-08-0j 0.000312674-0j 7.28381e-05-0j 6.30797e-05-0j -0.0242448-0j -2.23299e-08-0j 9.9901e-05-0j 5.20381e-05-0j -0.00774633-0j -1.93382e-08-0j 1.66264e-05-0j -1.59532e-08-0j -5.09713e-09-0j 
0.000125011-0j -0.00121213-0j -0.00122469-0j -0.000699847-0j 0.00469695-0j -0.000866016-0j -0.000505176-0j 0.00581218-0j 0.00339044-0j -0.000744904-0j 0.00831095-0j -0.000869054-0j 0.00103554-0j -0.000532185-0j -0.000760422-0j 0.00969611-0j 0.00593763-0j -0.000313658-0j 0.00120813-0j 0.0084841-0j 0.000739824-0j 0.00349951-0j 0.00105711-0j 0.000436036-0j 3.98432e-06-0j 0.00913613-0j 4.50076e-06-0j -7.81618e-05-0j -0.0352783-0j 3.67486e-06-0j 0.000134205-0j 3.71294e-06-0j 0.0103204-0j 3.2155e-06-0j -8.82931e-05-0j 0.00842654-0j 2.65265e-06-0j -0.0398511-0j -7.2091e-05-0j 0.00851386-0j 0.000151601-0j 8.47535e-07-0j -0.0325383-0j -7.28381e-05-0j 0.00737322-0j -6.30797e-05-0j 0.000123782-0j 0.0060826-0j -0.0328755-0j -0.028471-0j -5.20381e-05-0j 0.000125064-0j 0.00194342-0j -0.0234874-0j -1.66264e-05-0j 0.000108309-0j -0.00750434-0j 8.93503e-05-0j 2.85479e-05-0j 
6.25053e-05-0j -0.000299853-0j -0.00030296-0j -0.00105709-0j -5.0347e-05-0j -0.00130808-0j -0.000763048-0j -6.23012e-05-0j -3.63424e-05-0j 2.57996e-06-0j 0.00621082-0j 3.00995e-06-0j -5.45213e-06-0j 1.84321e-06-0j 2.63371e-06-0j 0.00724595-0j 0.00443722-0j 1.08635e-06-0j -6.36082e-06-0j 0.00634021-0j -3.89519e-06-0j 0.0026152-0j -5.56572e-06-0j -2.29574e-06-0j 1.99216e-06-0j -1.56554e-05-0j 2.25038e-06-0j 0.0112675-0j 0.00114237-0j 1.83743e-06-0j -4.68588e-07-0j 1.85647e-06-0j -1.76846e-05-0j 1.60775e-06-0j 0.012728-0j -1.44394e-05-0j 1.32633e-06-0j 0.00129044-0j 0.0103924-0j -1.45891e-05-0j -5.29326e-07-0j 4.23768e-07-0j 0.00105364-0j 0.0105001-0j -1.26345e-05-0j 0.00909333-0j -4.32193e-07-0j -1.04229e-05-0j 0.00106456-0j 0.000921934-0j 0.00750162-0j -4.36672e-07-0j -3.33018e-06-0j 0.000760557-0j 0.0023968-0j -3.78169e-07-0j 0.000243002-0j -3.11974e-07-0j -9.9677e-08-0j 
