-0.215466+0.11175j 0.11221+0.209542j 0.255889+0.000126971j -0.131054-0.322598j -0.142522+0.0386555j 0.072584-0.187279j 0.175845+0.102169j -0.0406989-0.291028j 0.201517-0.168719j 0.136381-0.0634314j -0.0692625+0.0105316j -0.286351+0.228627j -0.242836-0.230676j 0.267215-0.0164853j 0.0591757+0.217594j 0.082999+0.0706146j -0.102102+0.113246j -0.0109222-0.0588552j 0.0585584-0.0662316j -0.0235401+0.0242507j -0.0278057-0.0580575j 0.0545536-0.00651245j 0.0545909-0.0240746j 0.0427614+0.0249185j -0.0827412+0.0398268j 0.0425449+0.0841612j 
0.168068-0.202666j -0.194813-0.150261j 0.0953446-0.0352541j -0.059309-0.172429j 0.0539575+0.0648138j -0.0134342-0.0908828j 0.0395127-0.129144j -0.0889317-0.0499531j 0.107388-0.0577764j 0.0956204-0.0421027j -0.0526842+0.0785346j -0.0896637+0.0218691j 0.0406918-0.0962634j 0.0511245-0.0216731j 0.048434-0.0809647j 0.163951+0.021951j -0.0703977-0.125082j 0.00813115-0.0798429j -0.234575-0.0266179j -0.0321199-0.0996518j 0.0163515-0.136152j -0.153122+0.00323471j 0.0180585-0.216524j 0.0979555+0.00407514j 0.251579-0.182256j -0.194152-0.257405j 
-0.125597+0.09469j 0.095424+0.114544j -0.0593725-0.00623833j -0.00200429+0.0992943j -0.0407906-0.0290517j -0.000235185+0.0386951j -0.0344244+0.0901919j 0.0268768+0.024371j -0.057717+0.022015j -0.0408018+0.0106881j 0.0440102-0.0539914j 0.0212295+0.0429455j -0.0693779+0.0200645j -0.0202216+0.0632965j -0.0847057+0.0567376j -0.109769-0.0221834j 0.021249+0.103655j 0.0137672+0.0514899j 0.155346+0.0324259j -0.0294482+0.0869229j -0.00760106+0.0895511j 0.12356+0.0138889j 0.0332+0.125926j -0.016989+0.0775134j -0.0942183+0.14824j 0.155253+0.103119j 
0.0273297-0.00766481j -0.00615502-0.0335135j -0.00559557-0.0275664j -0.036541+0.00448507j -0.0117358-0.0152842j -0.00393886-0.00383346j 0.0175993+0.0228584j 0.0126631-0.0129257j 0.0134093+0.012125j -0.0116128+0.0109042j 0.0150375-0.0106447j 0.00362034+0.0178606j 0.0236163-0.000735732j 0.029402+0.0262541j -0.0382762+0.027556j -0.00687294-0.0283425j 0.0048152-0.0190197j -0.0208121-0.00279084j 0.00436695+0.00851697j -0.0326808+0.00622491j 0.0282163+0.0141067j -0.0221326+0.0275411j -0.0299269-0.0367712j 0.0316267-0.0457045j -0.011319+0.0261005j 0.0360982+0.00308357j 
-0.00537406-0.0293202j -0.0266244+0.00476974j 0.0217537-0.0371109j -0.0297071-0.021106j 0.0177929-0.0219205j -0.00799961+0.0135936j -0.0374066-0.0230547j -0.00947642+0.0210395j -0.00661432+0.00117781j -0.0243335-0.0142168j 0.00239383+0.0464593j 0.0142385-0.0175389j 0.0410967+0.00613189j 0.0414583-0.000520371j 0.0173845-0.00256144j -7.62613e-05+0.0272539j -0.00145682+0.0162522j 0.0469453+0.00482597j -0.0120153-0.0137022j 0.01344+0.0154523j -0.0174228-0.0108554j 0.0231452-0.0446991j 0.0543311+0.0321392j -0.0357195+0.0391633j 0.0226633-0.0321851j -0.0244648-0.0268832j 
-0.017003-0.021693j -0.0196036+0.0156343j 0.0290939+0.0135753j 0.0273479-0.0179171j -0.0122202+0.0177353j -0.0286426+0.0150651j 0.0153219+0.0203574j 0.000934063-0.00190834j -0.0446192+0.0346658j 0.00578338+0.0361329j 0.0476714+0.0357533j -0.00940934+0.0424799j -0.00976154+0.0195386j 0.00914952-0.0242512j 0.00492874-0.0121717j 0.00971111+0.00534833j 0.009914+0.0189401j 0.0239907+0.00132923j 0.000254381+0.00565875j 0.0155106+0.00184632j -0.0126014-0.00538324j 0.00950416-0.0298082j 0.0246396+0.0300822j -0.0167268+0.00960947j 0.00200424-0.0115728j -0.0048334-0.00144912j 
-0.01835-0.0141381j -0.0112717+0.0211299j -0.0120257+0.0155901j 0.0123984-0.000642943j 0.00665213+0.0353441j -0.00468095-0.00321932j -0.00916984-0.0194315j -0.0182802+0.00233187j -0.0102496-0.0192328j 0.0211117+0.000448575j -0.000358071-0.00122839j -0.01545-0.0132664j -0.00108705-0.00579705j -0.000128209-0.0112741j 0.0517338-0.0148671j -0.0234105+0.0272049j -0.00340625+0.00304092j 0.0331639+0.0298036j -0.00967088-0.0162936j 0.0253966+0.0187705j 0.00782046+0.00322286j 0.0272287-0.0392066j -0.00286159+0.0432834j -0.0304021-0.01829j 0.00317006-0.0288436j -0.0155786+0.000836503j 
-0.00715817-0.0246206j -0.0201941+1.9989e-07j -0.0205589-0.0272499j -0.0326332+0.0125077j 0.00478287+0.00975571j -0.00859956-0.0122158j -0.0193342+0.0123023j -0.0250996+0.00512886j 0.00640643-0.0016635j 0.0127032-0.0141073j 0.00775983-0.0165633j -0.0240879+0.0332939j -0.0130491-0.0271651j 0.00104631+0.0645563j -0.0396192-0.0169501j -0.0214248-0.0165766j 0.0162438+0.0239453j 0.0179276+0.0155619j -0.0012052-0.00700935j -0.0546979+0.0224999j 0.0168945+0.0282324j 0.0136841-0.00225045j 0.0264754-0.010447j 0.0193128+0.0143194j 0.0315345+0.0122855j 0.0300604-0.0324814j 
0.00590436+0.0181515j 0.0145255+0.000216619j -0.0233103+0.0237525j -0.000290021+0.0125681j 0.0080333+0.0137468j 0.0054859-0.00876205j 0.0227203+0.0105446j 0.0178781-0.00681175j 0.00104879-0.0058339j 0.0127175-0.00464284j -0.00725559-0.0248315j -0.00296405-0.00350063j 0.00814652+0.00331095j 0.0123111+0.00462778j 0.00126301-0.00942063j 0.00538624-0.0140368j 0.0210811-0.0171287j -0.0276101-0.00668627j -0.00321463-0.0128886j -0.0152232-0.00679618j 0.00893751+0.0121922j -0.0202453+0.0208402j -0.0221105-0.0137221j -0.0216891-0.0335321j -0.0272849+0.000418846j 0.0100753+0.0191166j 
0.0299362-0.0368502j -0.0352391-0.0280648j 0.0191874-0.00552322j 0.001363-0.00733195j 0.000172627+0.0230684j -0.0192876+0.00221648j 0.00182504-0.00640997j -0.00507677+0.0102229j -0.00133593-0.0165022j 0.023078+0.00945701j -0.00887348+0.018907j 0.0137634-0.00961359j 0.01847-0.0123993j 0.00618152+0.00250042j -0.0182717-0.0256061j 0.015316-0.0221783j 0.0348637-0.0157302j 0.00303445+0.0139217j -0.0557431-0.0124041j -0.0369028+0.00539908j -0.00580742+0.00747874j 0.00189998+0.00167567j 0.0154986-0.0506393j -0.0135685+0.0423947j 0.0348641-0.0335248j -0.0385853-0.0476423j 
0.00385791-0.00786511j -0.00683789-0.00309129j 0.00707464-0.00721775j 0.0160398+0.0219872j 0.0180633-0.00833466j 0.022057-0.00665724j 0.0305879-0.00454798j -0.00938107-0.0184519j -0.0171997+0.0111061j -0.00846512-0.0232956j -0.00715966-0.0110745j -0.00136783-0.0136315j -0.00536289-0.0174799j 0.00237046-0.00650062j -0.019825+0.000826678j 0.0173948+0.00748952j 0.0217292+0.0306577j 0.0198707-0.010192j 0.0239417+0.00852459j -0.012566-0.0198156j -0.046276+0.00797568j -0.0068988-0.0224819j -0.0109107+0.00137495j -0.00611755-0.0113084j 0.00765441+0.000798602j -0.00370923-0.00757878j 
