0.00630025+0.005868j 0.00504882-0.0204147j 0.0032189-0.0015172j 0.000123339+0.0053083j 0.0143887-0.0063844j 0.0176805-0.00631862j 0.00260728+0.0151311j -0.0048908-0.00857856j 0.000428835+0.00274874j -0.00300663-0.0056444j 0.00175209+0.00505583j -0.00372685-0.00142121j 0.00543209+0.00759987j 0.0051775-0.00901594j 0.0165932+0.00640545j -0.0126549-0.00781498j -0.0036265+0.00243991j -0.00656106-0.00378332j -0.000247143-0.0112122j -0.00206843+0.00282723j 0.00927171+0.00661369j -0.0130457-0.0018443j 0.0043142+0.00070731j 0.0104953+0.0118156j -0.00706863-0.00211647j 0.000358619+0.00112815j 0.00448365-0.000479951j 0.00289404-0.00718779j -0.000579845-0.0190484j 0.00181342-0.0162905j 0.00477035-0.00181328j 0.00433195-0.00273786j -0.00694694-0.0065994j 0.00914395+0.00490819j 0.00976467-0.000228273j 0.00428689-0.00419714j -0.00529809+0.0156396j 0.0381812-0.012316j -0.0290016-0.0321832j -0.0211032+0.0246732j 
0.00262885+0.0135895j -0.0136644+0.00691261j -0.0126113-0.00945101j 0.0125442-0.00946544j -0.0198616-0.00125088j -0.00609547-0.000365251j -0.00460785+0.00676159j -0.00540529+0.00314397j 0.000267086-0.0198874j 0.00163934+0.0155561j -0.00428444-0.00138189j 0.00324426+0.000675934j 0.0218787-0.00140648j 0.012025+0.00493937j -0.0206286-0.000838923j 0.0112328+0.000535965j -0.00554598-0.00332373j -0.000847249+0.00173422j 0.00308954-0.00453621j -0.00592567+0.000882884j 0.0131577-0.00776745j -0.000389819+0.00164588j -0.00174193+0.00541678j -0.0048211-0.00361877j 0.000954997-0.0014219j -0.00622926-0.00543j 0.00726313+0.00572383j 0.000982807-0.00646409j -0.000645729-0.00136206j -0.00266488-0.0133087j 0.000550568-0.00549967j -0.0021923+0.0154606j 0.00324612+1.89753e-05j -0.00435744-0.0206492j 0.00368668+0.000505193j 0.0134815-0.0138238j -0.0268706-0.00212722j -0.013222-0.00744917j -0.0396017+0.0100504j 0.0221399+0.0438255j 
0.0230469+0.0118134j 0.00240997-0.0182278j -0.0071681+0.00514597j 0.021421+0.00162285j -0.000644812+0.00412651j 0.0117417-0.014428j -0.00574263+0.00268538j -0.00439214+0.0049993j -0.00653244-0.0149291j -0.00119095+0.00054299j 0.00906005-0.000275946j -0.00674742-0.00869418j 0.0159994+0.0108841j 0.0194518-0.0158304j 0.0142647-0.00387843j 0.00543627+0.00145542j -0.00919287-0.00476578j 0.003671+0.00316249j 0.00280962+0.00527533j 0.000419958+0.00854323j 1.32342e-05-0.0114194j 0.00406963+0.0082828j 0.000391286-0.00567281j -0.00685536-0.00882077j -0.00283911+0.00625661j 0.0100468+0.0185003j -0.0138447-0.00965636j -0.00418612-0.00237986j -0.00217588+0.0102916j -0.00455295-0.00599098j -0.00848934+0.00818777j 0.029443-0.0248233j 0.0143107+0.0187559j 0.0092996-0.00192737j 0.0163768-0.00470944j 0.0153202+0.0205462j 0.0513622+0.0221184j 0.0114421-0.0202805j 0.0179977-0.0098551j 0.00100973-0.0358665j 
-0.0346281-0.0186706j -0.00300796-0.00832945j 0.0027292-0.00245084j -0.00975081+0.017582j -0.00480574-0.00513752j -0.0109163+0.0159079j 2.06305e-05+0.0149032j -0.00182877-0.00333088j 0.00639178-0.0124268j -0.0184421-0.008121j 0.00229403+0.0229616j -0.0099682+0.00669204j 0.00750802-0.00480661j 0.0150537+0.00966227j -0.0187004-0.00175771j -0.00463822-0.00261195j 0.000386878-0.00540581j 0.0121531+0.00888103j 0.0129064+0.00997669j 0.012608+0.00422982j 0.0151729+0.0180407j 0.00261172-0.00912447j -0.0249578-0.0146874j 0.0114837+0.000645452j -0.013875+0.0104515j 0.021397-0.00490346j -0.00277488-0.0038146j 0.00340579+0.00294548j 0.00280296-0.00192232j -0.0101049+0.0385794j 0.00663183-0.0170484j -0.00877272-0.0275331j -0.00625528+9.56452e-05j 0.00873588+0.0131703j -0.00966049-0.0135217j -0.020279+0.0222203j 0.0314935+0.00960075j 0.0205517-0.00330817j 0.00511757-0.0144849j 0.000925656-0.00792168j 
-0.00360246-0.00831415j -0.0186646+0.0315516j -0.00663993-0.0318725j 0.0146898-0.0138649j -0.00351034+0.020275j 0.00347641-0.0103353j -0.0161503-0.000241287j -0.0224922-0.0124573j 0.00245534-0.00760271j 0.00344953-0.00468802j -0.00776134+0.00577933j 0.00408197-0.00245445j 0.00336029-0.0122976j -0.00255345+0.00396311j -0.00369298+0.00860048j -0.00214699-0.00428654j 0.00940208+0.00272228j -0.0052765+0.000873301j 0.0197966+0.00365121j 0.0153451-0.00270392j 0.00581035+0.018176j -0.00802285+0.0120253j 0.0157287+0.000868866j -0.0284986+0.00562309j 0.0100774+0.0267592j 0.0184772+0.0159733j -0.0269935+0.00591332j -0.00946137-0.0012318j 0.00520795-0.0382437j -0.00464429-0.0147489j -0.0242371+0.0362259j 0.00349237-0.0307941j 0.00535884+0.0318171j -0.00991403+0.00508142j 0.0338177+0.00262281j 0.0290407+0.0241687j 0.0238513+0.0114604j 0.0234514-0.00428196j 0.00612491-0.0251267j -0.0164854-0.0127639j 
-0.0115224+0.000389468j 0.00602991-0.00883705j 0.00173918+0.0161923j 0.0024827+0.0130392j 0.0110689+0.00422815j 0.0212964-0.0170894j -0.00590376-0.0140109j 0.0115583+0.0182076j -0.0190771+0.0122581j -0.0081438-0.0228176j -0.0197677+0.0302889j 0.00280881+0.0344474j -0.00712605-0.0159574j -0.0308094+0.0321478j -0.0229278-0.009536j 0.0119007+0.00542879j -0.00618853-0.00600878j 0.0043415+0.012006j -0.00590315-0.0138416j 0.0137783-0.00850989j 0.0129853-0.0160084j -0.0179001+0.0229314j 0.0174092+0.00669777j -0.0206402+0.0041679j 0.0139046+0.0332284j 0.017739+0.0105527j -0.0204185+0.00023527j -0.00742214-0.00255827j -0.0126562-0.0335395j 0.0105029-0.0232731j -0.0248355+0.0384157j 0.00286402-0.0045928j -0.00510631+0.0388098j -0.00981342-0.00353933j 0.0342128+0.00333945j 0.0196687+0.0235453j -0.00701682+0.00373535j 0.00517308+0.00285001j -0.00638602+0.00739905j 0.005413+0.0143585j 
0.036107-0.00119406j 0.00697105-0.00726212j -0.0040469+0.0165418j -0.00229311+0.00756356j -0.00130662+0.0119349j -0.0113952-0.00524072j -0.00470984-0.0216814j -0.00452049+0.00231519j -0.00399372-0.0113386j 0.00569532-0.00860022j 0.0100623-0.00381349j -0.00506419-0.016134j -0.00853671-0.0132827j 0.0194826-0.00354009j -0.0177785+0.00859125j -0.00749423-0.00171727j 0.0193882-0.000181034j 0.00637403+0.00263809j 0.0146795+0.0154845j 0.00777393-0.00270894j 0.00506462+0.0332857j 0.00562555-0.00807962j -0.0132479-0.000797153j 0.00104821+0.0012401j -0.00126305-0.00168681j 0.0184284+0.00849582j -0.0329216+0.00791262j 0.00149738+0.00265398j 0.00902349-0.0158715j -0.00238602+0.00816785j -0.00533945+0.00366879j -0.00158905-0.0227223j -0.00522869-0.00223021j -0.0016146+0.0124246j 0.0083304-0.0134493j -0.00508481+0.0324655j -0.00452145-0.00471737j 0.019129+0.0171841j -2.71572e-05-0.0111643j -0.00424979+0.0157038j 
0.0165902-0.00317791j 0.00228403-0.015975j 0.00391493+0.0018862j 0.00261667+0.00337412j -0.00462396+0.00824772j -0.00353248+0.0118293j -0.0090739+0.0187564j -0.012556-0.0111091j 0.00457539-0.00719342j -0.0185011-0.00938251j -0.0149466+0.031278j 0.00478221+0.0318078j 0.00604432-0.0288977j -0.0182709+0.0266221j -0.0281149+0.00875553j -0.0245841-0.0195149j 0.0248186-0.000568038j -0.00463287+0.00321831j -0.0124339-0.00744931j -0.00681136-0.00588432j 0.00525961+0.0108192j -0.0174236+0.00879597j 0.00733838+0.0128056j 0.00812479+0.00261311j -0.000475813-0.00464614j -0.0084624-0.0159075j 0.0117389+0.010347j 0.00132897-0.00201673j 0.00107661-0.0106091j 0.00238554-0.0101056j -0.00102158+0.000813792j -0.0207924+0.00920658j -0.0196727-0.0125032j 0.00584286+0.00434339j -0.021147+0.00998389j 0.00350477-0.0177063j -0.0148774-0.0121726j -0.00516348-0.0122922j -0.00355645+0.0117938j 0.00488536-0.00359857j 
0.0148304+0.00390087j 0.0039179+0.0141208j 0.00637037+0.000782066j -0.0137659+0.000123212j 0.0127207-0.0252498j -0.0118407-0.00277566j 0.0173206-0.0164661j 0.0136111-0.0088021j 0.00113928-0.00102858j 0.0517828+0.0131812j -0.0309932-0.00500191j 0.0218508-0.0150539j 0.0078885-0.0181942j -0.00106883+0.01779j -0.0158501+0.0191019j -0.00877887+0.0159478j -0.00310757-0.000898143j 0.0134935-0.00573594j 0.0205185+0.0221678j 0.0200492-0.024456j 0.0165392+0.0273788j 0.00518191+0.00427103j 0.00185305+0.00305843j -0.0140528+0.00331053j 0.00706594+0.0260298j -0.0249284-0.00955617j 0.00350019+0.00387125j -0.00342218+0.00829873j 4.32482e-05-0.0231336j -0.00801447+0.0384016j -0.00604624-0.00321619j -0.0340875+0.00653146j -0.00392761+0.0214373j -0.0181196+0.00733928j -0.00962142+0.0150409j -0.0123179-0.0011489j 0.00951431+0.00104256j -0.0060694-0.000100032j 0.00929835+0.00132519j 0.00154198-0.010207j 
-0.01149-0.00283444j 0.00329518-0.0148476j 0.00896749+0.0144163j -0.0119252+0.00831148j -0.0146565-0.0076346j -0.00219202+0.0268203j 0.0170055+0.00888746j 0.0133028-0.00249459j 0.0197728+0.000937295j 0.00123818+0.0261459j 0.0106804-0.0342897j -0.00501366-0.0201889j -0.00494179+0.0210546j 0.013546-0.0182059j 0.0118843+0.0108535j 0.00660599-6.62493e-05j 0.00742249+0.0152335j -0.0381333-0.00309412j 0.0368905-0.0266928j 0.0382841+0.0177063j 0.0148401+0.0120062j -0.0222051+0.00587309j 0.0130392-0.0410998j -0.0464034+0.0131812j 0.0279129+0.0325831j 0.0312361-0.00816916j 0.0198529-0.019689j -0.0119227+0.00561092j -0.0134066-0.0476123j -0.00482676-0.00622554j -0.0262129+0.0468281j -0.0155795+0.00143971j 0.00426818+0.0359277j -0.0240114+0.00273463j 0.0326525+0.0118353j 0.0264647-0.00150355j -0.00653228-0.00287958j -0.00267769-0.0138803j -0.0112437+0.00562846j 0.00380469+0.00928347j 
0.00816369-0.0210045j 0.00714598+0.0188464j 0.0063562-0.013593j 0.000606753+0.0184598j 0.0289078+0.00502445j 0.00258919-0.0246336j -0.00863734-0.00436433j 0.00420006-0.0135172j 0.0129364+0.00345829j 0.00050811+0.00753748j 0.0015854-0.0303556j -0.0164629-0.0181437j -0.000408793+0.0211647j 0.00426807-0.0146338j 0.00507873-0.00397244j -0.00728441+0.0143649j -0.0111557+0.0033332j -0.0102658-0.0115963j -0.0155754-0.00375363j -0.0168029-0.00725957j 0.0180106-0.0153899j -0.0102865+0.00604276j 0.020071+0.0149465j 0.0192332-0.00429055j -0.00223998-0.00543575j -0.00465398+0.00497518j -0.00939678+0.0144216j 0.0042911-0.00956298j -0.0200451-0.00285076j 0.0112167-0.0252446j 0.00130422+0.0059115j 0.000661117+0.0142731j -0.0212893-0.00421291j 0.0199607+0.00163893j -0.00467652-0.00571694j 0.00122175+0.00212501j -0.0184252+0.0018123j 0.00856044-0.0136655j -0.0246313+0.0149651j 0.0135125+0.0219047j 
