0.00425875+8.50015e-17j -0.00866424+8.79902e-06j 0.0090355+0.00142028j -0.0122932-0.00184978j -0.00546928-0.000181518j -0.0139227+0.000858835j 0.0127715+0.00411156j 0.0115444+0.00190962j 0.00356629+0.00196258j -0.011212-0.00315855j 0.025473-0.00152758j -0.0188698-0.00466162j 0.0153663+0.00305724j -0.00761009+0.00366957j -0.0151639-0.00101717j -0.00428134+0.000414392j 0.0156406+0.00306803j 0.00621995-0.00245595j 0.0134949-0.00098809j -0.0105483-0.00195931j 0.00120503-0.00201878j -0.0116094-0.00213298j 0.000194455+0.00203856j 0.0132378-0.000667945j -0.0158542-0.00177022j -0.00168268-0.00160886j 0.00563123+0.00183599j -0.0147733-0.00227322j 0.000644385-0.000760507j 0.00257812+0.00478827j 0.00564159+0.000642971j 0.00970075-0.000780251j 0.000155552+0.00219678j 0.00401836+0.00179967j 0.00150642-0.00213206j 0.0086602+0.000641982j 0.0110353+0.00124973j 0.00251186+0.000381668j 0.00116359-0.00287752j 0.00489983+0.000383394j 0.00150992-0.000117304j -0.0036462-0.00188516j -0.0025693+0.00106962j -0.00826842+0.00341236j -0.0123913-1.78763e-05j 0.00224402+0.00010048j -0.00588904+0.000186716j -0.00323448+0.0020939j 0.0106821-0.000623674j 0.0061078-0.00222112j -0.00445068-0.00312449j 0.0139173+0.0049626j 0.0104621+0.00578987j 0.0148715+0.00100915j 0.00489362-0.000231693j 0.0102674-0.00101013j 0.00845313-0.00182416j 0.00474483+0.00328865j 0.00370728-0.0033374j -0.0169252-0.000152451j 0.0171214-0.00183343j -0.000349247+0.00121621j -0.00533529-0.00115224j 0.00481343+0.00177058j -0.00710278-0.00167687j -0.0037152+0.00726538j 0.000234633-0.000687623j 0.0170776+0.00403973j 0.000959257-0.00819018j -0.0227738-0.00300814j 0.00392202+0.00546961j -0.0183652-0.00088974j -0.0046601-0.00232255j 0.0188707+0.00750961j 0.0233758+0.00568486j -0.00931922+0.00718658j -0.0605736-2.16669e-05j -0.0152686-0.00372638j -0.014974-0.00918463j -0.0145024-0.0223985j 0.0128242+0.00227074j 0.0144939+0.00510558j -0.133832-0.0111621j 0.0267347-0.0270465j 0.0517646+0.0123918j 0.0297769+0.000268713j 0.00676863-0.0099515j -0.0363425+0.00216937j 0.0168346+0.0128527j 0.0269223-0.00373355j 0.0146776-0.000633008j -0.0152327-0.010913j -0.025896+0.0053409j -0.0203994-0.010431j -0.0143557-0.0109606j -0.0648854+0.00690604j -0.00266164-0.00320287j -0.118761+0.0136988j 
-0.00866424-8.79902e-06j -0.00436421+3.20924e-16j 0.0123898+0.0017894j 0.010624+0.00181692j -0.00680101+0.00121563j -0.0038381-0.00262979j -0.0178263-0.00061733j 0.0119514+0.00218317j -0.00938931-0.00175736j 0.0132995-0.00175869j 0.0141765+0.00472222j 0.0115951-0.00156397j -0.0206046+0.00214277j -0.0212394-0.00276462j -0.0140688-0.00357087j -0.00768996-0.00165711j -0.00953912+0.0025808j 0.0101201+0.00164585j 0.00769704+0.00273344j -0.00107247-0.00165363j 0.00666132+0.000584771j 0.00767205-0.00120492j -0.00697765-0.000390976j 0.00915234+0.00255549j 0.00378803-0.00449078j 0.00604083+5.01777e-05j -0.00618546+0.00049882j 0.0111055-0.00231563j -0.00375045-5.21623e-05j -0.020026-0.001584j 0.00611064+0.00187897j 0.00512999+0.00251661j -0.00583557+1.51761e-05j 0.000463157+0.000544689j 0.0117978+0.000823245j -0.00168996+0.00168167j 0.00558325+0.00395238j 0.00394751+0.00142875j 0.00970428+0.0016098j -0.00142723+0.000671436j -0.00182271+1.52135e-05j 0.00677771-0.0011644j -0.00370506-0.000756646j -0.0148563-0.00360401j -0.00233847-0.00365765j -0.00197758+0.0017351j -0.00331105-0.00222824j -0.0086067-0.000662799j 0.00452129+0.00405376j 0.0100428+0.00244928j 0.00837763-0.000484148j -0.00862593+0.00360212j -0.012893+0.00124015j 0.0046025+0.00537276j -0.00603357+0.00103779j 0.006805+0.00300429j 0.01315+0.00275521j -0.0106437+6.51999e-05j 0.00543704+0.001028j -0.010754-0.00857217j 0.0080615+0.00545112j -0.0079487-0.00276529j -0.00673811-0.00230538j -0.00697348+0.00329407j -0.00407167-0.00386303j -0.0236283-0.0034897j -0.000686723-0.000466704j 0.0015307+0.00233404j 0.0339876+0.00397513j 0.0100989-0.00334876j -0.0225449+0.00033736j -0.00564694-0.00536427j 0.0144688-0.000769648j -0.0286888+0.00193183j -0.0162734+0.00348246j -0.0314335-0.00491507j -0.0176544-0.0148373j 0.0077423-0.00331116j 0.0355503-0.00160301j 0.0886223+0.00266157j -0.00549765+0.00113426j -0.0148936+0.000370091j 0.00570829-0.0323557j 0.116911+0.0160604j -0.0282501+0.0123598j 0.0144317+0.008961j 0.0367566+0.0047267j -0.00977304-0.0124081j -0.0396625+0.00562435j 0.00329412+0.00571384j 0.0129233+0.00158206j 0.0269909-0.00212707j -0.0192426-0.0150755j 0.0122152-0.00506855j -0.0657342+0.0053972j 0.0143443+0.0123137j 0.118078-0.0134442j -0.00245048-0.00289147j 
0.0090355-0.00142028j 0.0123898-0.0017894j -0.0137882-1.04083e-17j -0.00148948-0.000620578j 0.00987649-0.00451994j 0.0193011+0.00203315j 0.0189499-0.00103207j -0.000485945+0.00401645j 0.0106602+0.00137275j -0.0190827+0.00443105j -0.02828-0.00550619j -0.021706-0.00214514j 0.00133381-0.0057497j 0.0177294-0.00037594j -0.000470651-0.00402565j 0.00656827+0.000152438j 0.0210557+0.00215119j -0.000777418-0.0028198j 0.00207623-0.00227786j -0.00285689+0.00251816j -0.015864-9.94307e-05j -0.0232423-0.00131966j 0.0114191+0.00132455j -0.00819674+2.23533e-06j 0.00325781+0.00195585j -0.00339753+0.00134003j 0.0090664-0.00161418j 0.00159352+0.0012876j -0.000723974-0.00448956j 0.00906283-0.00121519j -0.00912551+0.000306567j -0.00637623-0.00408908j -0.00526536+0.00214703j 0.0015693-0.000994178j -0.012153-0.00166669j -0.00114285-0.00220818j 0.0157938-0.00497364j 0.0097876+0.00114656j 0.000178525+0.00216309j -0.0137618-0.00216329j -0.0192886-0.000232852j -0.00443268+0.000155079j -0.0035808-0.00084265j -0.00872057+0.00219883j 0.0179762+0.004918j 0.0246664+0.00181883j -0.0186284+0.000752716j 0.00257338-0.00153438j -0.00571111+0.00133563j 0.00416615-0.000298116j -0.00239455-0.000307974j 0.0109594+0.00185587j 0.031081+0.0101427j 0.00180406-0.00552036j 0.0117443+0.00739441j -0.020439-0.00478315j 0.00914314+0.00409496j -0.00674756-0.00682579j -0.0200255-0.00388369j -0.063244-0.00733014j -0.0107943+0.0055102j 0.0504436+0.0051932j -0.0306941-0.00422488j 0.0116163+0.000109702j -0.036348+0.00379772j 0.0461656+0.00334154j -0.052855-0.00266403j 0.00871032+0.00570012j -0.0222692-0.0132131j -0.0414487-0.00308378j 0.0580765-0.00320005j -0.0250198+0.0139911j -0.0673262-0.000399809j 0.0160525+0.00471014j -0.137092-0.0128446j 0.0714895+0.00403536j 0.032116-0.00185424j 0.0474782-0.00568673j -0.0264823-0.00332728j 0.0670419+0.0176337j -0.0165763-0.002664j 0.0221366-0.00975485j 0.111346-0.00905574j 0.017794+0.0110612j -0.0561552+0.00445796j -0.0304471-0.00258749j -0.0356636+0.001437j 0.0333848+0.00546494j -0.0544065-0.000123237j 0.0417918+0.00793634j 0.0153365+0.00978269j -0.0538426+0.00897639j 0.00496953-0.00205613j 0.0711892-0.0122843j 0.00396796+0.00727888j -0.0796529+0.0199656j -0.013241-0.0108417j -0.0543328+0.00759435j 
-0.0122932+0.00184978j 0.010624-0.00181692j -0.00148948+0.000620578j 0.0110579+3.55618e-17j -0.0160848-0.00223814j 0.0212223-0.00299002j -0.013383-0.000982687j -0.000988515+0.00131527j 0.0136538-0.00290898j 0.0222414+0.00360689j -0.0294419+0.00372717j 0.0150401+0.00305153j -0.0225824-0.00135128j -0.0026073-0.00219104j 0.0101543+0.00211999j 0.015202-0.000279917j -0.000412616-0.0025281j -0.0175346-0.000987277j -0.00663209+0.00029411j 0.0207531+0.00228602j -0.0124699+0.00389455j -0.00739104+0.00365914j -0.0211624-0.00230197j -0.00898818-0.00104834j 0.000325922-0.00313062j 0.00412403+0.000274097j -0.0116369-0.00322276j -0.00703525-0.00184222j -0.00847242+0.00121395j 0.0128932+0.000537165j -0.00469661+0.00010541j -0.0133331+0.00128523j 0.00285434+0.00047653j -0.00161505-0.00326669j -0.0175844+0.000109877j -0.0138467-0.00204586j -0.0312037-0.00524445j -0.00223941-0.00333276j 0.000902573+0.000617319j -0.00358879+0.00246109j 4.53734e-05+0.00760731j 0.0033302-0.000191213j -0.00283625+0.000356405j 0.0118721+0.00381169j 0.014155-0.00185909j -0.00351112-0.000647833j -0.00082082+0.000557918j -0.00712069+0.000586649j -0.0209726+0.00169391j 0.00478463+0.000388821j -0.0152805+0.000574145j -0.00518134-0.00158215j 0.0190665-0.00536341j -0.0255505-0.000829867j 0.0316112+0.00153954j -0.0246101+0.0011426j 0.0030493-0.00250837j -0.0416056+1.54587e-05j -0.0309951+0.00260866j 0.00675834+0.00857484j 0.0137433+0.00107827j 0.0223648-0.0121777j -0.0143795+0.00461715j -0.00919377-0.000385037j 0.0246452+0.0062533j 0.029344-0.00242117j -0.00299828+0.0111496j 0.0614728+0.00303117j -0.107661-0.00636524j 0.0172817+0.00839269j -0.0597593-0.0092136j 0.132662+0.011988j 0.0542438+0.0128865j 0.00526736-0.00381048j -0.051209+0.0180347j -0.0368563-0.0125223j -0.0391064-0.00221782j -0.0366846-0.00922073j -0.00311408+0.00353964j 0.11364-0.00665215j 0.00053269+0.000263189j -0.0609-0.00292934j -0.040896-0.0129621j 0.112563-0.00604677j 0.00174086+0.00181147j -0.0342658-0.00218538j 0.0444545+0.00962637j -0.0190681-0.00160871j -0.00692516+0.00860545j 0.0321456-0.00140203j -0.0913069+0.00318018j 0.00353004-0.0137956j -0.021191-0.000123876j 0.0150217+0.0149091j 0.0584918-0.0129795j -0.000617643-0.000509608j -0.0543843+0.00619141j 0.0131583+0.00947338j 
-0.00546928+0.000181518j -0.00680101-0.00121563j 0.00987649+0.00451994j -0.0160848+0.00223814j -0.03094+1.73472e-18j -0.000806579-0.000642817j -0.000757072-0.0011395j 0.00885594+0.00509841j 0.00374672-0.0062653j 0.0140795-0.00184699j 0.0120989-0.00073003j 0.00147891+0.000290109j -0.0101638+0.000970557j -0.0179347-0.00161799j -0.000856511-0.00151216j 0.00764985-0.00260058j 0.0133612+0.000711081j -0.00424155-0.00261971j 0.00247208-0.00389521j 0.0249413-0.000391565j 0.00551111+0.00269448j 0.00250035+0.00409427j -0.0119702+0.000910015j 0.0133215-0.0032577j -0.0142615-0.00547722j -0.00343239-0.00244745j -0.0164273-0.00136772j -0.0114543-0.00173024j -0.00116653-0.00329158j -0.000415582+8.59374e-05j -0.0206801+0.00386851j -0.00216181-0.000314852j -0.000622356+0.00383894j -0.0148434-0.00031035j -0.0149302-0.000430218j 0.00172336+0.000204557j -0.0331172+0.00176362j 0.00353182+0.00301552j 0.0349447+0.00113071j -0.00375942-0.000961784j -0.00024607+0.000280395j -0.00755443-0.00359077j -0.00513825+0.00147608j -0.00332407+0.00197233j -0.0165828-0.0023645j 0.0105737+0.00205078j 0.0133627-0.00030509j -0.000798164+0.00141663j 0.0107192+0.00744271j 0.00273649+0.00120746j -0.000881659-0.00015777j -0.0254814+0.00919199j 0.00501303+0.000325959j -0.032718+0.00798623j 0.0765002-0.00262526j -0.00590826+0.00149767j -0.00371194+0.00429295j -0.0617375-0.00491658j 0.00798962-0.00386826j 0.0108479-0.0110786j 0.128672+0.0155592j 0.0352904-0.00436595j 0.0229641-0.00350747j 0.0309909+0.00553398j 0.0913326-0.00085649j -0.0780646-0.00604175j -0.0140959-0.00190087j -0.146183-0.0116642j 0.0390508+0.0146967j -0.00558701-0.00234518j -0.00446755+0.0114252j 0.0425282-0.0125228j -0.0238232-0.00879473j 0.0178258-0.000421806j 0.0522967-0.00411641j -0.076933-0.00372409j -0.0322072-0.00323204j -0.00842148-0.00135706j 0.00276914-0.0019804j -0.0794486+0.00204917j -0.0132317-0.0106826j 0.0214192+0.00250238j -0.0795969-0.0136825j -0.0585348+0.00715287j -0.0130945-0.00213952j -0.0292288+0.00715755j -0.0138746-0.00395174j -0.0769433+0.000302095j -0.00256419-0.00541649j -0.0558699+0.00306844j 0.00254268-0.00920984j -0.00291071+0.00471852j -0.00741642-0.0113605j 0.0724971-0.0200943j 0.0196399+0.0113889j -0.0616761+0.0124822j 0.00967504-0.00584909j 0.015256+0.00960548j 
-0.0139227-0.000858835j -0.0038381+0.00262979j 0.0193011-0.00203315j 0.0212223+0.00299002j -0.000806579+0.000642817j 0.00660268-2.68882e-17j -0.00841828-0.00209051j 0.0240022+0.000599183j -0.0136425-0.00300648j 0.0318941-0.000876849j -0.00236045-0.000578578j 0.000948353-0.000984235j -0.0331278-0.000528898j -0.0146018-0.00608395j -0.0239023+0.00245477j -0.00675886-0.00179193j -0.0216324+0.00263895j 0.0140229+0.00355664j -0.0187369+0.000433912j -0.00878176+0.00505981j -0.00405967+0.0037008j -0.00650521-0.00252789j 0.00360562-0.000231353j -0.0104438-0.00426192j 0.0209296-0.00156699j 0.0163059-0.000990364j 0.00125194-0.00103145j 0.00850717+0.000390623j -0.0129064-0.00153158j -0.0342063-0.00598408j 0.00595687-0.00463996j -0.0407592+0.00027599j -0.0238775-0.00354907j 0.00196286-0.00334134j 0.00849147-0.00235479j -0.00440404+0.000339199j -0.00346214-0.00107068j -0.0134711-0.00128449j -0.00916914+0.00666177j -0.00926088+0.00131376j -0.0188806+0.00416034j 0.0333274+0.00148693j -0.00117033-0.00384862j -0.0119474-0.00610171j 0.0332782+0.00207141j 0.000633818+0.00507021j -0.0179148-0.00116768j -0.0166704+0.00179909j 0.00991712+0.00130474j -0.00175042-0.0018411j -0.000431383-0.000302973j -0.0201869-0.00431258j -0.00850264-0.00125211j -0.084483-0.00694725j -0.0443861+0.00390148j -0.017831+0.0017525j 0.0539466+0.00135688j 0.026996-0.00393827j 0.00972572+0.0024188j 0.0980473-0.00032663j 0.00101934+0.0108346j 0.128151+0.00621592j 0.0439219+0.00649093j -0.127726+0.000153885j -9.39834e-05+0.0040407j -0.0215727-0.0177488j -0.00393013+0.00172311j 0.039294-0.00926148j 0.0397964+0.00550757j -0.0987009-0.0074033j -0.0424005-0.00676468j 0.00429395+0.00601783j 0.0106209-0.00572062j -0.00391392-0.00218228j -0.00277163-0.00544624j -0.0279493-0.00487033j -0.0746123-0.00044644j -0.00585827+0.00802036j 0.0530763+0.0114065j 0.0538775+0.013966j 0.0690942-0.0018726j 0.00241055-0.0100846j -0.138914+0.00243592j 0.0225169+0.00649457j 0.00209469-0.0108414j -0.0129608-0.00443684j 0.0532313-0.010713j 0.00201004-0.000237717j 0.0177482-0.00742992j 0.0237509+0.00832479j 0.0032681+0.0075626j 0.00476857+0.00815442j 0.0446611-0.013363j -0.00960929-0.00302279j -0.0239652-0.00104256j -0.0179816+0.00244057j -0.0165011-0.0138201j 0.0215526-0.00587708j 
0.0127715-0.00411156j -0.0178263+0.00061733j 0.0189499+0.00103207j -0.013383+0.000982687j -0.000757072+0.0011395j -0.00841828+0.00209051j 0.0192048-1.82146e-16j 0.030344-0.0011479j -0.0227615+0.00303831j -0.027583-0.00198306j 0.0410723-0.00272861j -0.0176556-0.000814418j 0.00600379+0.00609618j -0.0149497+0.00158555j -0.0261851+0.0013436j -0.00762346+0.00101543j 0.00968002+0.002678j 0.0432062+0.000136449j 0.0161773+0.00274964j -0.00228779+0.000759246j 0.00592362-0.00264301j -0.00189744-0.00321753j 0.0200113-0.00227008j 0.00982591+0.00282708j -0.0192601-0.00198737j -0.00405543+0.000606206j -0.00243001+0.00300178j 0.0102704-0.00112016j 0.00274337+0.000813916j -0.0362276+0.00251205j -0.00224923+0.000538719j 0.0132125+0.00545696j -0.0207701+0.00387179j -0.00362296+0.00138541j 0.0103631+0.000991157j 0.00720021+0.00417658j 0.0405731+0.00283435j -0.00339611+0.00313901j 0.0172683+8.58683e-05j -0.00159982+0.00348864j -0.00709055+0.000480493j -0.000827368-0.000933393j -0.000515085+0.000767391j -0.0195294-0.000196027j -0.0504581-0.0024001j 0.0339956-0.00562771j 0.0172859+0.00210313j 0.0373085+0.00422109j 0.0424914-0.00276779j -0.0234815-0.00423503j 0.0112878+0.00233399j -0.0448151+0.00136192j -0.0877606-0.00525981j -0.00535201+0.00530773j -0.0534914-0.000926912j 0.0583912+0.00688449j -0.0149361-0.00427371j -0.015621-0.00256508j 0.104234+0.0034845j -0.0857403-0.0105038j 0.0537475+0.000126198j 0.0464417-0.00700355j 0.129664+0.00193457j 0.0564017+0.0102228j -0.0888565-0.00141833j -0.0524274-0.00235904j 0.0449065+0.00411213j 0.103564+0.0094513j -0.100037-0.016794j -0.0774278+0.00587699j -0.00750989-0.00562631j -0.000172857+0.00713182j -0.104705+0.00578641j 0.030264-3.32933e-05j -0.0546647+0.00656737j 0.076082-0.00277764j -0.0203498-0.00600757j 0.00609577-0.00140224j -0.0397515-0.00695337j -0.0965399-0.00389648j -0.0110908-0.0112968j -0.0424876-0.00575282j -0.0222117-0.010148j -0.0955646+0.00723212j 0.00688446+0.00211142j 0.065571-0.00540711j 0.0122691+0.00853285j 0.0202798+0.0015083j 0.0401838+0.00726586j 0.030265+0.00201405j -0.00538862+0.00949699j 0.0198-0.0168505j 0.00621727+0.00151625j -0.00460108+0.00468837j 0.0163854-0.0125859j 0.0332812-0.0113298j 0.0234825-0.00206613j 0.0154626+0.0101293j 
0.0115444-0.00190962j 0.0119514-0.00218317j -0.000485945-0.00401645j -0.000988515-0.00131527j 0.00885594-0.00509841j 0.0240022-0.000599183j 0.030344+0.0011479j -0.00241129-4.16334e-17j 0.0358899+0.005725j -0.0286797+0.0053054j -0.00356126-0.00273589j -0.0202945-0.00199282j 0.01241-0.00267674j 0.0198153-0.000528505j -0.0108047-0.0015327j 0.0119604+0.0034729j 0.0162397+0.00579881j 0.0174737-0.00263281j 0.0260979+0.00163111j -0.0127623+0.0027919j -0.0405702+0.000676584j -0.0402632-0.00185294j -0.00129081+0.00150761j 0.00864108+0.00221279j 0.0119218+0.000850924j 0.000411941+0.000873798j 0.0161435+0.000564905j 0.0141259+0.00277099j -0.00253382-0.00564479j 0.00602616-0.000543918j 0.0189356+0.0013918j 0.0306852-0.00301847j -0.000639009-0.000902112j 0.0480151-0.00282213j 0.00655067-0.00228009j -0.00145666-0.00397843j 0.0549303-0.00656303j -0.00434952+0.00187667j -0.046127-0.00150202j 0.0073623+0.000254285j -0.0220371-0.00106201j 0.0247365-0.0030553j 0.00901317-0.00320441j -0.00270766+0.00191041j -0.0212216-0.000196532j -0.0475425-0.00312454j 0.0252888-0.00126697j 0.0152263-0.00126752j -0.052895-0.00410202j -0.0204025-0.000183122j -0.0271666+0.000239162j -0.0275444+0.00196929j -0.0226804+0.00789629j 0.0328524-0.00342897j -0.0306157+0.0106206j 0.0685619-0.00355288j -0.0638675+0.00140743j -0.000652292-0.00336597j -0.00138383-0.00302019j -0.0768785-0.00397129j -0.120625+0.00311548j 0.20222+0.00449567j -0.0445102-0.0104486j 0.0170436+0.001327j 0.145733+0.0130592j -0.00826977-0.00306881j -0.0312892-0.0103132j -0.015794-0.021144j -0.161794+0.00806884j 0.0940633+0.00463732j -0.116058+8.00547e-05j 0.121645-0.000982526j 0.0659316+0.00521373j -0.0112125-0.00139656j 0.073547+0.00793669j 0.0643297-0.00285365j 0.06626+0.00361334j -0.03479+0.00216168j -0.0291307+0.000828865j 0.0391594-0.000206519j -0.0266711-0.00364002j 0.00868709+0.00497897j -0.0111666-0.0012018j -0.0623214+0.000268557j -0.0629816-0.00882792j 0.00356199+0.0074738j -0.0372742+0.00689364j -0.00875159+0.00911009j 0.00167217+0.00723661j 0.00233284+0.00574586j -0.0258476-0.00740703j -9.89965e-05+0.00475293j 0.00675776+0.00638756j 0.00137903-0.00651553j -0.0565905+0.00601303j -0.00790175-0.00727309j 0.0153289+0.00177748j -0.0140925+0.000770355j 
0.00356629-0.00196258j -0.00938931+0.00175736j 0.0106602-0.00137275j 0.0136538+0.00290898j 0.00374672+0.0062653j -0.0136425+0.00300648j -0.0227615-0.00303831j 0.0358899-0.005725j -0.0253086+3.71881e-17j -0.0339947+0.000238761j -0.0115097+0.00147983j 0.00267373+0.000446819j -0.013207+0.0019973j 0.00767465+0.00345113j -0.0189352+0.00102457j -0.0140224-0.00234878j 0.0150549-0.00316789j 0.000151443+0.00176932j 0.00638962+0.0024275j -0.00298714-0.00310305j 0.0335293-0.00267561j 0.0263385-0.00428296j 0.0373423-0.00136304j -0.0106644+0.00253198j -0.0150396+0.00404532j -0.0247483+0.00368183j 0.00253439+0.00143158j 0.0215625+0.00242694j -0.0374483-0.000139522j -0.0133108-0.00159726j 0.0288017+0.00263528j -0.0134319+0.00354928j 0.0186106+0.0019299j 0.00960796+0.00130171j -0.00480029+0.00333344j -0.00975632+0.00076331j 0.0186713+0.00634482j 0.0362733+0.00108155j -0.0193751-0.00169296j -0.0149437-0.00295503j -0.0487246-0.00394574j -0.0590333+0.00459295j -0.0186941+0.00522688j 0.0099613-0.00177606j -0.0252821+0.00580919j 0.00229209-0.00393174j 0.0286735+0.00503555j 0.0376936-0.00189905j -0.0155655+0.00269042j -0.0338596+0.00133452j 0.0113058+0.00591687j 0.039585-0.00607788j -0.0126233-9.05316e-05j 0.104982+0.00309651j -0.265083-0.00864178j -0.0231886+0.000158195j -0.0349983+0.00315161j -0.0229353-9.99932e-05j -0.105067+0.00101827j 0.0296886+6.96347e-05j 0.129472-0.00382418j 0.0629752+0.0145307j -0.0160775-0.00479749j 0.0240952-0.00553122j -0.105184+0.00593532j 0.047812+0.00391159j -0.102492-0.00608187j 0.151714-0.00238707j -0.0581369+0.00588383j -0.0264735+0.00281837j -0.0462686-0.00315299j 0.0502328-0.00354203j -0.0149109-0.00757205j 0.0619705+0.00401186j -0.0610848-0.00226763j -0.00881329+0.00214177j -0.105159+0.0038382j -0.057175+0.00248228j 0.0100011+0.00367817j 0.0571928+0.00346898j 0.00683871-0.00234201j -0.0308017+0.00191731j -0.177739+0.00751045j 0.119973-0.00497994j 0.0801427+0.0030987j 0.0429957-0.00262087j 0.0197629-0.00292492j -0.0248624-0.00095419j -0.00772815-0.0107296j 0.046622+0.00114668j -0.00686527+0.00240058j -0.0318582-0.00526465j -0.0463143-0.00513092j 0.038589-0.00673916j -0.0509934+0.000471368j -0.00723631+0.00938846j -0.0110473-0.0127776j 0.037356-0.00568398j 
-0.011212+0.00315855j 0.0132995+0.00175869j -0.0190827-0.00443105j 0.0222414-0.00360689j 0.0140795+0.00184699j 0.0318941+0.000876849j -0.027583+0.00198306j -0.0286797-0.0053054j -0.0339947-0.000238761j -0.0219762-3.18755e-17j -0.0238716-0.000785957j 0.0161076+0.00269786j 0.0315897+0.00097832j -0.0140241+0.00349818j 0.0456684+0.00675329j -0.00359179-0.00101305j 0.00764247-0.00202377j 0.0258542-5.27431e-05j -0.0273534+0.00152686j 0.0317035+0.00251675j 0.021163+0.002871j -0.0284176+0.00173882j 0.00879949+0.00238638j -0.0493291-0.000209472j -0.0147911+0.00240962j -0.0376658-0.0020477j 0.00433127-0.000938059j -0.00613081+0.0038263j -0.00964603+0.00208936j 0.00556046+0.00165171j -0.0249557-0.00407609j 0.0161986+0.00285054j -0.0427607+0.00259283j -0.000647428-0.00071895j -0.0285016+0.00248909j 0.0224436+0.00278661j 0.00973626-0.00157679j -0.0139594+0.00248069j 0.0346884+0.00188084j 0.00345703-0.000132327j 0.0439492+0.000229027j -0.00686305+0.000343957j 0.0109012-0.00150287j 0.0223553+0.00437238j -0.0274907+0.000563822j 0.035092-0.003804j -0.0265187+0.00680632j 0.0142043+0.0055438j -0.0664894-0.00593288j -0.0226053-0.0079137j -0.151093-0.00176522j 0.0481594+0.00190822j 0.0565456-0.00414425j -0.110686-0.00049945j -0.0112497-0.00929238j 0.0941367+0.000713615j -0.00448219-0.0101354j 0.0219238-0.00443001j -0.0944714-0.00537914j -0.105795+0.00573966j 0.00544552+0.00508954j 0.00206781-0.00613876j -0.035159+0.0059251j 0.0270198+0.00429343j -0.136427-9.49257e-05j -0.0516503+0.00119848j -0.0869231-0.00536326j -0.0268693-0.00430726j 0.0727918-0.000674591j 0.0169651+0.00269046j -0.0368931+0.00200725j -0.0130927+0.00189187j 0.0433353+0.00202113j -0.145708-0.000864213j -0.206631-0.00400053j -0.0259087-4.83697e-05j 0.0187044+0.00642457j 0.0758388+0.000528302j 0.0554155-0.000799194j 0.294539-0.0120676j -0.0111205+0.00534153j -0.0757151+0.00483185j 0.233772-0.00205j 0.260486-0.00372032j -0.142316-0.0042604j -0.00877856-0.00284959j 0.0504692-0.00446664j 0.0300391+0.00334981j -0.108682-0.0042836j 0.0012618+0.000522733j 0.016759+0.00455287j 0.0607728+0.00434421j 0.00721109-0.0141291j 0.063439-0.00245976j -0.0706393+0.0130848j 0.0909035+0.00667312j -0.0610564+0.0103275j -0.0366054-0.0275501j 
0.025473+0.00152758j 0.0141765-0.00472222j -0.02828+0.00550619j -0.0294419-0.00372717j 0.0120989+0.00073003j -0.00236045+0.000578578j 0.0410723+0.00272861j -0.00356126+0.00273589j -0.0115097-0.00147983j -0.0238716+0.000785957j 0.0254823+2.47198e-17j -0.027768-0.00329371j -0.00115367+0.00240522j 0.00706452+0.00635022j 0.0428978-0.00223289j -0.0263806-0.00305508j -0.0026723-0.00323176j 0.00978521-0.000702594j 0.0476773-0.00380627j -0.0163893-0.00238861j 0.045055-0.00220317j -0.0087418-0.00305836j 0.0224944+0.00297576j -0.020852-0.00128641j -0.0506758-0.00170645j -0.0138757+0.000789864j 0.000130106+0.00179228j 0.00834702-0.00336682j 0.0351601+0.000398413j 0.025185+0.00189963j -0.0352639+8.36287e-05j 0.0241034-0.00156725j -0.0246342+0.003107j -0.0259591+0.00284966j -0.00245114-0.00112345j -0.0199147+0.00293674j 0.0548138+0.00553708j 0.0235162-0.00104553j 0.0363321+0.00141128j 0.0359433-0.000129926j 0.06567-0.00104567j -0.0289325+0.00122583j -0.0170843+0.00308436j -0.0420425-0.00109705j -0.0417945-0.00017604j 0.116134+0.0030226j -0.103649+0.000708557j 0.107678+0.00261876j 0.036637+0.00373037j 0.0233204-0.00364485j -0.039451-0.00423856j -0.0234628+0.00135742j -0.0700642+0.00288363j 0.100529-0.00262721j 0.00714948-0.00286364j -0.100529+0.00578553j -0.0299692+0.000759723j 0.0297746+0.00342313j 0.00377414-0.003005j 0.0949493+0.00276305j -0.0804568+0.00232205j 0.106405+0.016619j 0.0298+0.00746225j 0.0429991-0.00027741j -0.0733086-0.00344512j 0.0892849-0.00354919j -0.0354501+0.000514067j -0.0338854-0.00554973j -0.037335+0.000759186j 0.0562769-0.00602638j 0.0980216+0.0057724j -0.0296786-0.00255757j -0.0981736-0.00538525j -0.00517173+0.0024198j -0.107941+0.00131747j 0.119969-0.000485894j 0.193928-0.00479992j 0.0902193-0.00165855j -0.00191351+0.00160878j -0.147329+0.000772634j -0.0256901+0.000478883j 0.031728+0.000936221j 0.380302-0.00385178j -0.270717-0.00307582j -0.0869834+0.00351594j -0.0698758-0.00272289j -0.0947377-0.00943001j 0.112249-0.000748555j 0.0102607-0.00875069j -0.0530458+0.00376841j -0.0263794+0.000604015j -0.0385507+0.0116178j 0.0924664-0.00388716j 0.0544878+0.00406834j 0.0944301+0.0141818j 0.0999501-0.00751271j 0.0485884+0.0300782j -0.0590253+0.0108142j 
