-0.0140405-1.97758e-16j -0.00354831+2.47485e-06j -0.00736325-0.00061008j 0.0133875+0.000753935j -0.00457238+2.26233e-07j 0.00131778+0.000401488j 0.0152849+0.000749634j 0.00547703+0.000637404j 0.00460081+0.000683783j -0.00171112+0.000423344j -0.00674979-0.0007465j -0.0129931-0.000633936j -0.000356448-0.000222507j 0.00941814+0.000445866j 0.00180223+0.000105976j -0.000835774-5.70295e-05j -0.000489136+0.000306151j 0.00114118-6.73884e-05j -0.00654462-0.000672898j -0.00408689+0.000122726j -0.000489044-0.000958787j 0.012376+0.000650395j 0.000196876+0.000201248j -0.00538823-0.000227814j -0.00292073-0.000750386j 0.00625759+0.000502688j -0.00307428+0.00026039j 0.0113386+0.00129078j -0.00341598-0.000190531j 0.00973182+0.000847644j -0.00971176-0.0012625j -0.000754556-9.15335e-05j 0.00165933-3.09218e-07j 0.00027488-0.000715791j 0.00564139+0.000834625j -0.00799491-0.00094244j -0.00733544+0.000143339j 0.0082726-1.0853e-05j -6.05281e-05+0.00104955j 0.00121511-4.04721e-06j -0.00865337-0.000405885j -0.0039333-0.000915961j -0.00109564+0.000347284j 0.00377647-0.00032758j 0.0191424+0.000648314j -0.0106451-0.000389303j -0.000574774-0.00166682j -0.0100298-0.00210408j -0.0116297+0.000129171j -0.00227665+0.000171145j 0.0354109+0.00123897j -0.011776+0.00100452j 0.0200436-0.00876061j -0.0679196-0.00526833j -0.0112646+0.000272442j -0.842364+0.00841554j 
-0.00354831-2.47485e-06j 0.0140715-1.92736e-14j 0.0127489+0.000707437j 0.00733518+0.000643854j 0.00564465+0.000802723j 0.0107357+0.000197269j 0.00484225+0.000377955j -0.0121994-0.00102654j 0.0024194+0.000316818j 0.00398587+0.000204084j -0.00643423+0.00038228j -0.000708032+4.57018e-06j 0.0135507+0.00103173j -0.0091962-0.000978805j 0.00196768+0.000209699j 0.00551889+0.000477374j 0.00315961+0.000343327j -0.00508889+4.28646e-05j -0.0105001-0.000454429j 0.0023736+0.000330775j -0.00483806-0.000508664j -0.00296142-0.00041697j 0.0107482+0.000830774j 0.00414073+0.000336794j -0.00293008+2.07345e-05j -0.0066068-0.00054118j 0.00563606+0.000979447j 0.00421505-0.000238059j -0.00340985-0.000175025j 0.00135256-0.000641644j 0.0012239+0.000329109j -0.00405305-0.00061904j -0.00345167+0.000100332j -0.00495452+0.000175215j 0.0142424+0.000676292j -0.00220479+0.000452881j 0.00487371+0.00117869j -0.00857728-0.000384164j 0.00109931-9.66395e-05j 0.00428347-3.59104e-05j -0.00274598+0.000409472j -0.00461014-0.000966407j 0.00971347+0.000816407j -0.00225976+0.000670839j 0.00821381-0.000657792j 0.0163631+0.00128077j -0.0148709-0.0018664j -0.000951218+0.000500574j 0.00210159-0.00163631j -0.0308795-0.000485168j 0.00417551-0.00101075j 0.0221407+0.000670573j 0.0675769+0.00497781j 0.0190578-0.00910547j 0.842731-0.00834065j -0.0113565+0.000384449j 
-0.00736325+0.00061008j 0.0127489-0.000707437j 0.00424402-1.9082e-17j 0.000942668+8.12495e-05j -0.0105795+0.000243082j 0.0122047-0.000286276j 0.00324094-0.000417466j -0.00246956-0.000351861j -0.00914528-0.00060887j 0.00123692+0.000315192j -0.0160517+0.000723208j -0.00317529+0.000337462j 0.0092326+0.000721601j 0.00985461+0.000365891j -0.00691289-0.00101167j -0.00754863-0.0007797j -0.00624884-0.000179211j -0.00821508+2.29001e-07j -0.00886861+0.000356503j -0.0106839-0.000809849j 0.024177+0.00157104j -0.000145641-0.000765475j 0.00192344+0.000449018j 0.0116686+0.000919158j 0.00880648+0.00130585j -0.00323618-0.000334377j -0.0154654+0.000413914j -0.00697738-0.00158898j -0.000717367+0.000338682j 0.00414915-0.00145665j 0.00997564+0.000752858j 0.000728519-1.61097e-06j -0.00602509+0.000631819j 0.00364858+5.29951e-05j 0.0104158-0.000684952j -0.000150111-0.00128368j -0.0210146-0.00233742j 0.00137226-0.000266637j -0.00941033-0.00121029j -0.00594356-0.000765537j 0.00203647-0.00180848j 0.0188979+0.00249817j 0.00904157-0.00295992j -0.00909427+0.00147483j 0.0335693-0.00140907j -0.00542882+0.00185077j 0.0444314+0.00236779j 0.038349+0.00156911j 0.0255933-0.00688169j -0.0638667-0.00202609j 0.014879-0.00192767j -0.0962273-0.0084703j 0.012668-0.000756817j -0.837866+0.0110736j -0.0114126+0.00896577j -0.0182602-0.00569432j 
0.0133875-0.000753935j 0.00733518-0.000643854j 0.000942668-8.12495e-05j -0.00400472+3.46945e-18j 0.00580107-0.000466987j 0.0129286-5.86138e-05j -0.0118477-1.36399e-06j 0.00808819+0.000900206j 0.010419+0.000904958j 0.0144814-0.000206602j -0.0127363-0.000263753j 0.0120039+6.14438e-05j -0.00693486-0.00076596j 0.00206118+0.000413575j -0.00410494+0.000480292j -0.00178968+0.000565427j 0.0085713-9.93696e-06j -0.00769198+0.000263653j 0.000575712+0.000519416j 0.00828935+0.000766536j -0.0153396-0.000698885j -0.00682159+0.000574968j 0.0052931-0.000182617j 0.00523345-0.00077254j -0.00772108-0.000217186j -0.0011135+0.000156098j 0.0045121+0.000208033j 0.0108998+0.000854248j 0.00994516+0.000283964j 0.00589646+0.000778488j -0.00395928-0.000207507j 0.00928261+0.000791638j 0.00622062+0.000380811j -0.0207642-0.000196489j 0.00101366-0.000607323j -0.0220529-4.17285e-05j -0.0122976-0.000364285j -0.0129608-0.000277168j 0.013171-0.000163282j 0.000724413+0.000707285j -0.00967052-0.00260166j 0.0209623+0.000870484j -0.00436733-0.00173048j -0.0284539-0.000316244j -0.00256929+0.000879256j 0.00421122-0.00172806j -0.00620628+0.00179729j -0.0518369+0.00188216j 0.104366+0.00436729j -0.0035095-0.00643198j 0.0322043+0.00416243j 0.0219752-0.00917117j 0.850097-0.00839827j 0.0082474+0.0026206j 0.0177986+0.00533348j -0.0110002+0.00853529j 
-0.00457238-2.26233e-07j 0.00564465-0.000802723j -0.0105795-0.000243082j 0.00580107+0.000466987j -0.00786403-3.20924e-17j 0.0198436+5.09101e-05j -0.000825362+0.000197204j 0.0146054+0.00080087j 0.00702757+0.00140341j 0.00299378+6.04037e-05j -0.020988+2.54706e-05j -0.000678295-0.000178792j -0.00837373-0.000391243j 0.0144401-0.000402723j 0.0046625+0.000735155j -0.00690382+0.000724666j 0.00674273+0.000478503j -0.00809824+9.63363e-05j -0.00252134-0.000211206j -0.00646422+0.000600209j 0.01037-0.00114595j 0.00782185+0.000974627j 0.00495817+0.000603821j 0.00560597-0.00067463j 0.0109028+0.000720015j 0.00430287+0.000909595j -0.0237124-0.000868967j 0.00531397-0.000227691j 0.0208999+0.000507075j 0.0141276-0.000264256j 0.0220764+0.00112015j 0.00616374-0.000142443j 0.0158248+0.000400514j 0.0101162+0.000396279j 0.0019926+0.000274927j 0.0135428+0.00213352j 0.00464239+0.00360161j 0.0247434+0.000248016j -0.0165876+3.99985e-05j -0.0109527+0.00157009j 0.0453163-0.000650551j 0.0150399-0.00259583j 0.0805062+0.000302468j -0.0261133-0.000448659j 0.0363069+0.00106485j -0.0750285-0.00312027j -0.0150013-0.00184259j 0.0932166+0.0037685j -0.0348449-0.00505477j 0.0979225+0.00308049j 0.0238459-0.00272736j -0.831863+0.0129303j 0.00272091+0.00919483j 0.0193664-0.00997538j -0.000709188-0.00165514j 0.00223953+0.00182576j 
0.00131778-0.000401488j 0.0107357-0.000197269j 0.0122047+0.000286276j 0.0129286+5.86138e-05j 0.0198436-5.09101e-05j 0.00142052-1.59161e-16j 0.00215564+0.00031705j -0.00477658-3.94341e-05j 0.00846641+0.000419474j 0.00297357-0.000231325j -0.0132155-0.000360987j -0.00108184+8.1907e-05j -0.00559184-0.000192907j -0.00577568-0.000579639j -0.0110308+7.38719e-05j 0.00992163+0.000829187j 0.00406241+1.09582e-05j -0.01938+1.62885e-05j -0.00379932-0.000188872j -0.0204521+0.0005057j -0.0187747-0.000927709j 0.00358769+0.000106609j 0.00307409-0.000464448j -0.0185685-4.29356e-05j -0.00800811-0.000764997j 0.00488724+2.77544e-05j -0.0269866-0.000543701j -0.00415379-0.000426464j -0.0132511-0.00084637j -0.00571024-0.000395217j 0.00956057+0.000467609j -0.00114712-0.000362519j -0.00619587-0.000744487j -0.0198357+0.0015561j -0.000743004-0.00150365j -0.0196334+0.00182285j -0.00567585+0.000237115j 0.0219846-0.000519351j -0.0223877-0.000744895j 0.0606651+0.00133997j 0.0342949+0.000858224j 0.0212343-0.000498974j 0.00701868+0.00141839j -0.0199291+0.000377725j 0.0483243+0.00401379j 0.0324619-0.000475244j 0.0483732+0.00250112j -0.0411563+0.00407242j 0.0263144+0.00104859j -0.0530531+0.00258664j 0.87292-0.00668656j 0.00651755+0.00430583j -0.0199834+0.00525215j 0.0152257+0.00183953j -0.00277551-0.0016059j -0.0022685-0.00181623j 
0.0152849-0.000749634j 0.00484225-0.000377955j 0.00324094+0.000417466j -0.0118477+1.36399e-06j -0.000825362-0.000197204j 0.00215564-0.00031705j -0.00561049-4.42354e-17j -0.00211466+3.09323e-05j -0.00838098+8.11933e-05j 0.0211169-0.000124238j -0.00427873+0.000368364j 0.00741283-0.000116047j 0.00290695-0.000289867j 0.00272558+0.000473141j -0.0183945+0.000345868j -0.0180204+0.000204343j -0.000737057+0.000113992j -0.00790552+0.000288799j -0.0173577+0.000155995j 0.0130752+0.00114744j 0.000589604-0.000271144j 0.00530371+0.00119974j -0.0184173-0.000833765j 0.0224957-0.000754084j -0.0152067-0.000436752j 0.0199423+0.000537927j -0.0333396-0.00100937j -0.00609401+0.000931091j -0.00818373+1.23439e-05j -0.00693514+0.000769848j -0.0204644-0.000428042j -0.00440862-0.000364027j -0.0369016-0.000867074j -0.00864355+0.000727244j 0.00293373+0.000396014j -0.0114183+0.0019744j -0.0263876+0.00275144j -0.0119541+0.00041161j 0.0441178+0.000696352j -0.00302527-5.38797e-05j 0.0548583+0.000844894j -0.0473048-0.00185635j 0.01921+0.00251178j -0.100199-0.0026448j 0.0127133+0.0035914j -0.00732117+0.000367019j -0.027242+0.0025183j 0.00144888+0.000634797j -0.00448426-0.00237231j -0.856717+0.00864264j -0.040704-0.0018807j -0.0601764+0.00561586j -0.0257606+0.00726865j -0.0100463-0.0033317j 0.00444898+7.46148e-05j 0.000994212+0.000383545j 
0.00547703-0.000637404j -0.0121994+0.00102654j -0.00246956+0.000351861j 0.00808819-0.000900206j 0.0146054-0.00080087j -0.00477658+3.94341e-05j -0.00211466-3.09323e-05j 0.00400958-1.37477e-16j 0.0150121-0.000947682j 0.011669-0.000426296j 0.0144275-0.000963346j 0.00169713-0.000118427j 0.00690114+0.000266764j 0.0152691+0.000995003j -0.0160832-0.000376933j -0.0090869-0.000224264j 0.0123859-0.000885159j 0.00377178-0.000132482j 0.00914901+0.000274648j -0.00444248-0.000626117j -0.00342719+0.000926085j -0.00337273-0.00101184j 0.0175609-0.00020336j -0.000798995-0.00012461j 0.0191352-0.000375849j 0.00425907-0.00117873j 0.0183925+0.000622793j -0.00736655+0.000877601j 0.00993307-0.000378122j -0.025697+0.00179544j 0.000370775-0.000516534j -0.0218309+0.000521544j 0.024456-0.000271162j -0.0187884-0.000285976j 0.0171122+0.0010943j -0.0439811+9.04797e-05j 0.014442-0.000196831j -0.00466159+0.000206007j 0.0221965+0.00115958j -0.0321625-0.000820782j -0.0223858+0.00381774j 0.00353042-0.000114112j -0.0092226+0.00360224j 0.0656994-0.00364304j -0.0653075-8.16627e-05j 0.0189738-0.00313587j -0.0727371-0.00359161j -0.109239+0.0029155j 0.869293-0.00560808j -0.0165027+0.00385441j -0.0103459+7.17973e-05j -0.0533589+0.00880277j -0.00648902+0.00528104j -0.016462+0.00546912j -0.0041118-0.00205693j 0.00563753-0.00104329j 
0.00460081-0.000683783j 0.0024194-0.000316818j -0.00914528+0.00060887j 0.010419-0.000904958j 0.00702757-0.00140341j 0.00846641-0.000419474j -0.00838098-8.11933e-05j 0.0150121+0.000947682j -0.00539506-2.27682e-18j 0.0137884-0.000139556j -0.0218759-0.00108472j -0.00218861-7.35852e-05j -0.00681947-0.000134658j 0.0389156+0.00124437j -0.0389872-0.000303928j -0.0277019+0.000747021j 0.0191668-0.000679266j -0.0286853+0.000518986j -0.0032533+0.000541122j -0.0461742+0.000896511j 0.0231357-0.000731214j 0.0196831-0.000291475j -0.00836253-0.00023774j 0.0114144-0.000657403j 0.0211654-0.000677775j 0.019543-0.000626703j -0.0536061+0.000386151j -0.0296246+0.00125758j 0.00824804-0.000869808j -0.0146616+0.00207251j 0.0260159-0.00070841j -0.0323159+0.000633088j 0.00168964+0.000125695j -0.0144264+0.00106781j 0.0303121-0.000142549j -0.0526449+0.00257052j -0.0138755+0.00113623j 0.0841051-0.00119709j 0.0143269+0.000841728j -0.0192972-0.00072441j 0.162492-0.00120058j 0.0249499+0.000803326j 0.144655-0.000467845j -0.0224073-0.00244439j 0.0559502+0.00193179j -0.173358-0.00154824j 0.132566-0.00120521j 0.836186-0.00116744j 0.0943414+0.00451109j 0.0169397-0.00183882j 0.00959788+0.00513704j 0.0680216-0.00466611j 0.0148455+0.000409143j 0.00253235+0.0011379j 0.0062446-0.000360058j 0.00263591+0.00249168j 
-0.00171112-0.000423344j 0.00398587-0.000204084j 0.00123692-0.000315192j 0.0144814+0.000206602j 0.00299378-6.04037e-05j 0.00297357+0.000231325j 0.0211169+0.000124238j 0.011669+0.000426296j 0.0137884+0.000139556j 0.034104-1.12757e-16j -0.0279457-0.000422397j -0.00534464-5.93439e-05j -0.0069991-0.000614286j 0.0259218+0.00128602j -0.025547-4.66905e-05j -0.0114286-0.000197586j -0.0261651-0.000204732j -0.00775487+1.2856e-05j 0.00706972+0.000347416j -0.00565068+0.000291712j 0.00418575-0.000552014j -0.00652003-5.61128e-05j -0.000816079-0.00012429j -0.00779324-0.000701528j -0.0281978-0.00206245j 0.00015838-0.00074964j -0.0430116+0.00132179j 0.00706278+0.00246115j -0.0305539-0.000189078j -0.0320476+0.00061404j 0.00219039-0.0014579j 0.0194216-9.73867e-05j 0.0514069+0.000390279j -0.0181148+0.00015822j 0.0673832+4.29468e-05j -0.0224481-0.00064835j -0.0988458+0.000628972j 0.0497011+0.00238375j -0.0389064+5.07836e-05j -0.0543883+0.00183882j 0.0946465+0.00274704j -0.0448361-0.00242862j 0.0632176+0.0034287j -0.00356314+0.000922723j 0.0444551-0.00199762j -0.367967+0.00126828j 0.766704-0.0062541j -0.225699+0.000110981j 0.0125636-0.00204381j 0.00293323-0.00215477j -0.0274358+0.00203815j 0.025139+0.00169433j 0.00737844+0.00142945j 0.00966552-0.00106289j -0.000704171-0.00282856j 0.00558463+0.000845721j 
-0.00674979+0.0007465j -0.00643423-0.00038228j -0.0160517-0.000723208j -0.0127363+0.000263753j -0.020988-2.54706e-05j -0.0132155+0.000360987j -0.00427873-0.000368364j 0.0144275+0.000963346j -0.0218759+0.00108472j -0.0279457+0.000422397j -0.0129222-1.61329e-16j 0.00250392+0.000160079j -0.0273943-0.00110612j -0.0124131-0.000274767j 0.0163246+0.000498069j 0.0307144+0.000228637j -0.0083878+0.000991327j 0.0179315+0.000156463j 0.022475-0.000153919j -0.00622709+6.10928e-05j -0.00863467-0.00130189j -0.00127643+0.00130902j -0.0256691+0.000491646j 0.00835536+3.31607e-05j -0.0244584-5.63121e-05j -0.0328857+0.00145197j 0.0827708-0.00121909j -0.0147834-0.000335218j -0.017299+0.000598432j 0.0323119-0.00174277j -0.0284791+0.00045611j 0.0259016-0.00149817j 0.0234132+0.00123935j 0.0479128+0.000125879j -0.0126064+4.23124e-05j 0.0979704+0.000415795j 0.116841+0.0032135j -0.0354793+0.000552185j 0.0384699+0.000840366j -0.00742011+0.00131287j -0.07131-0.00113168j -0.0470015+0.00134142j -0.13083-0.000380161j 0.124578+0.00085311j -0.673936+0.00310314j 0.422827-0.00342452j 0.312443-0.00242427j 0.125654-0.00213308j -0.00269062-0.00414422j -0.0284942+0.00200882j 0.0383592-0.00209664j -0.0214131+0.00281046j 0.000298442+0.000873723j -0.0158331-0.00419939j 0.00186116+0.000772771j 0.000208453+0.00197244j 
