-0.01787+0.0375118j 0.0362537+0.020902j 0.0215107-0.0321028j -0.0305102-0.0143558j -0.0034603+0.00247533j -0.00598334-0.00323766j 0.00184531-0.00323835j -0.0127596-0.0118219j 0.0021335-0.00569163j 0.000101313-0.00809281j 0.00113257-0.00579359j 0.0110751-0.00642286j -0.00993361+0.00660943j -0.00472299+0.000126357j -0.00549501-0.00235813j 0.00511263+0.00726475j 0.0114254-0.000221668j -0.00668588+0.004823j -0.0057648-0.00194865j -0.00254829-0.0145864j -0.00608344-0.000298455j 0.00697782+0.00520973j 0.00756164-0.00158795j 0.00109378+0.00251649j -0.00622865-0.00408743j -0.0029223+0.00230621j 0.00906377-0.0027569j -0.000789827+0.00930228j -0.00765999+0.00285378j 0.00544524-0.0112004j -0.00856345+0.00104058j -0.00475078-0.00231978j -0.00421186-0.00285918j 0.00807619-0.00528588j 0.00352375+0.00508889j 0.00377886-0.00223708j -0.00489343+0.00263984j 0.00488264+0.00283461j 0.00675934+0.00231301j 0.00065101+0.00546514j -0.00721667-0.00382326j -0.00482994-0.000236612j -0.00164928+0.00370766j 0.00579287+0.00521381j -0.00140468-0.00132241j -0.00242453-0.00224396j 0.0102202+0.00457482j 0.00276465-0.00026356j -0.000654604-0.00217729j -0.00115038+0.00403408j -0.00146041-0.00179103j 0.00111635+0.0038029j 0.010425+0.00302622j -0.00101426-0.00160606j 0.00467205+0.00413531j 0.00385422+8.95512e-05j 0.00268071-0.00148753j -0.00283224+0.00554891j -0.00351613-0.0038494j 0.00976822+0.00165859j 0.00414243-0.00781221j -0.00473382-0.00689932j -0.00323612+0.0037429j 0.00836293-0.0006256j 0.00442389+0.00174234j 0.0157658+0.00147657j -0.00275805-0.00215564j -0.00477121-0.00481996j -0.0016576-0.00523953j -0.001048+0.00686203j 0.00138538-0.00493726j -0.00135305+0.00747736j 0.00654159+0.00321804j -0.00119019+0.00460296j 0.00861517-0.00522121j 0.000852684-0.0146464j 0.00948516+0.00232152j -0.000680164-0.0109022j 0.00818821-0.00642126j 0.00510164-0.00484497j 0.014978+0.00493721j -0.0152873+0.00152645j -0.00070235+0.00820836j -0.0057898-0.017761j -0.0025606+0.0215601j 0.00239852-0.000412371j 0.0014157+0.0109652j -0.00935662+0.00408888j -0.0190169+0.0240915j -0.0240888-0.0229935j -0.0401864+0.000676311j 0.000972234-0.0407251j 
-0.0126259-0.0176437j -0.0153451+0.0106219j -0.0136485-0.00933765j -0.0078541+0.00948235j -0.0160231+0.00432587j -0.00737935-0.0124446j 0.00115608-0.0180439j -0.00837474+0.0113069j -0.00276897+0.00617047j -0.0112304+0.00641027j -0.00361133-0.00372219j -0.0072116-0.00208186j 0.00557982+0.00592188j 0.00669274+0.00122937j 0.000119611+0.000829559j 0.00684863+0.00460004j -0.00294704+0.00122587j 0.0030313-0.00767826j -0.00271775+0.000129587j 0.00327156+0.00374836j -0.000456897-0.000546549j 0.00288931-0.00125043j 0.00133786-0.00693223j -0.000114959-0.00219304j -0.00323096+0.00203431j 0.00159556-0.000349166j -0.00468169-0.0041474j -0.00318889+0.00070439j 0.00397069+0.00456903j -0.00489217+0.00385839j -0.00291151-0.00567408j 0.000838608-0.00294008j -0.00574255-0.00179421j -0.00359367+0.00333684j -0.00314027+0.00157515j -0.00510405+0.0043937j 0.00309383-0.00094262j -0.000527239+0.00046436j -0.00115377-0.00131766j -0.00342609-0.000670393j 0.00451868-0.000120541j 0.00120569+0.00276488j -0.00316366-0.0030232j -0.000173973+0.000203452j -0.00203875+0.00160386j 0.00084561+0.0033685j -0.00339832+0.00344397j 0.00315685-0.00197473j -0.00360905+0.00529857j 0.00133255-0.00398718j 0.00190293-0.00312257j 0.00204091-0.000940052j -0.0026991-0.00160825j -0.000891153-0.00224003j -0.00302401-0.000626109j -0.00546612-0.000403214j -0.00138885-0.00324542j -0.00375789-0.0051076j -0.000128292-0.00152289j -0.00300033-0.00155625j -0.00448747+0.00225552j -0.00345915+0.00196757j -0.00193344+0.00489553j -0.00545324+0.00275002j -0.00157917+0.00174193j -0.00735516-0.00237721j -0.00312383-0.00145236j -0.000909559+0.00268348j -0.00325362+0.00256104j -0.00467896-0.00837307j -0.00840871+0.00017876j -4.70247e-05+0.000195226j 0.000650063+0.00246447j -0.00340513-0.0035257j 0.00331207-0.00243319j -0.000644126+0.00170647j -0.00616+0.00949195j 0.00929273-0.0044924j 0.00471809-0.00134593j -0.00156027+0.000999841j 0.00314677-0.00823028j -0.000506069+0.00683073j 0.00946327+0.0130558j -3.09415e-05-0.00340811j 0.0169911+0.00130401j 0.00161151+0.0107882j -0.00420656+0.0111691j -0.00741903-0.00025927j 0.0220877+0.00581268j -0.00977008+0.0170799j 0.0171169-0.0194661j 0.0206062+0.0186405j 
0.0190332-0.00661096j -0.00705944-0.0176874j 0.00216098+0.017684j 0.0151274-0.00145993j 0.00742645+0.00701463j -0.0014477+0.0100303j -0.00832752+0.00745231j 0.00806157+0.00499916j -0.003781+0.00101588j 0.00411436-0.00283137j 0.000346136+0.00341467j -0.00127818+0.00775443j 0.00690814-0.00267313j -0.00124564-0.00505425j 0.00918676-0.00272459j -0.00865987-0.0115212j -0.00579589+0.0009426j -0.000931764+0.00361922j 0.00592253+0.000695444j 0.000565618+0.00572628j 0.0019568+0.00144316j -0.010219-0.00695423j -0.00610978+0.00190566j -0.00272791-0.000824071j 0.00801605+0.00569846j -0.000462982-0.000202077j -0.00129648+0.00590714j -0.00105945-0.00622728j -0.00179515-0.00197934j -0.000685745+0.00412509j 0.00717997+0.00309835j 0.00334429+0.004433j 0.00435687-0.000409205j -0.00326482+0.000752369j 0.000907333-0.00179408j -0.00249486-0.00243979j 0.00262725-0.00210276j -0.000173059-0.00278894j -0.00166931-0.000687399j 0.0062846-0.00549659j -0.000649483+0.00378643j 0.000726082-0.00312899j 0.00335988+0.00316723j -0.000116207-0.00491446j -9.88805e-05-0.00151568j -0.00103828-0.00182447j -0.00198919-0.00304252j -0.00543003+0.000923081j 0.00562889-0.0062971j -0.00244013-0.00152672j -0.000712259+0.00218922j -0.00120284+0.000657994j -0.00408791-0.000475124j -0.000840339+0.00657574j -0.00225964-0.00459362j 0.000114194-0.00153709j -0.00210873+0.00414256j 0.00630008-0.00072204j 0.00410856+0.00217541j -0.00677359-0.00194802j -0.00196445+0.00342525j 0.000455958+0.00538225j 0.00875019-0.00608396j 0.0022401-0.00221886j 0.00532227-0.00623296j -0.00352584-0.00104994j 0.00217064+0.00356839j 0.000590055+0.000937428j -0.000287656-0.00156984j 0.00488916+0.00166115j -0.000269578-0.000369846j -0.0068751-0.00194692j -0.00397865-0.00356698j -0.00199544+0.00304388j -0.00528135-0.00246323j -0.00247876+0.00622164j 0.000940266-0.00661949j -0.00746749+0.00510299j -0.00627387+0.0030748j 0.000797694+0.00252772j -0.0144149+0.001638j 0.0102103-0.00513098j 0.000765275-0.00470805j 0.0125168+0.00617759j -0.0153129-0.0155137j -0.00349821-0.0169197j 0.0105998-0.00688319j -0.000236317+0.00872962j -0.0213851-0.0110537j 0.010598-0.0173234j 0.00654106+0.00891878j -0.013616+0.00724304j 
0.0121216-0.0562127j -0.0513115-0.017953j -0.0410544+0.0213572j 0.0228633+0.0290145j -0.0100568-8.40956e-05j 0.000859343-0.00433912j 0.000973394-0.0170804j -0.00240498+0.0226338j -0.00469677+0.00152918j -0.00294685+0.0169393j -0.006526+0.00877439j -0.0184464+0.00812596j 0.0182176+0.00687809j 0.0192469+0.00150283j 0.00889067+0.00667201j -0.00253365-0.00934304j -0.0166726+0.00582673j 0.0115932-0.0115778j 0.00759804-0.000182912j 0.0124673+0.0181717j 0.00230275-0.00219202j -0.00560666-0.00994743j -0.00829899-0.00339907j -0.00344309-0.00581503j 0.00228279+0.00699087j 0.00878902-0.00428473j -0.013321-0.00305199j 0.000927901-0.0140991j 0.00864313+0.00536721j -0.0096525+0.018086j 0.00634041-0.00905415j 0.00744077-0.0010909j -0.00403467+0.000688515j -0.0169438+0.0145749j -0.00423303-0.0057893j -0.0111744+0.00817867j 0.00693223-0.00543443j -0.0102721-0.00380495j -0.0109151-0.00601124j -0.00556057-0.0135913j 0.00965095+0.0075645j 0.00701774+0.00190481j -0.00154665-0.00963317j -0.00991304-0.0101271j -0.00417845+0.00276328j 0.00400718+0.009462j -0.011419+0.00107239j -0.00316938-0.00189402j -0.00103042+0.0100022j 0.00139288-0.0076414j 0.00315973-0.00250594j 0.00196282-0.004839j -0.0133933-0.00437038j 0.00515521-0.00134546j -0.0114516-0.00631872j -0.0102056-5.45339e-05j -0.00727457+0.000287755j -0.00164317-0.0147581j 0.0055051+0.00522234j -0.0141336-0.00131233j -0.0111505+0.0164221j -0.000932768+0.0103148j 0.0073899+0.000432947j -0.0181338+0.00478537j -0.000418856-0.00268698j -0.0218294-0.00448049j 0.00317164+0.00104488j 0.0041721+0.00552686j 0.00339421+0.00713752j 0.00362494-0.0167519j -0.0147865+0.00595806j -0.00331126-0.00507833j -0.00711787-0.00187176j -0.00077577-0.00638275j -0.00452277+0.00930415j 0.000624078+0.0181085j -0.0245692+0.00604999j 0.00212863+0.00921127j -0.000859128-0.00451149j -0.0188899+0.00470366j -0.0214216-0.0210136j 0.0153158+0.000959584j 0.0150033-0.00949293j 0.00399005+0.0157735j 0.00178329-0.025079j 0.000672665-0.0073379j -0.00259095+0.00512408j -0.0034047-0.0112704j 0.0326973-0.0171696j 0.0176222+0.0258733j 0.0512271-0.022283j 0.0200234+0.0539634j 
0.0214307-0.00538134j -0.00289825-0.0226521j 0.00543397+0.0129154j 0.0151162-0.00749229j 0.0121921+0.00121501j -0.0013803+0.0159167j -0.00560515-0.00278087j -0.00593211+0.00221954j -0.00444117-0.00487959j 0.0117595-1.14719e-05j -0.00144522+0.00398582j -0.00486712+0.0125549j 0.00906765-0.00461627j 0.00267667-0.00880636j 0.0191722+5.31231e-05j -0.0175437-0.0168228j -0.0104699-0.000736946j 0.00451476+0.00408777j 0.00842652-0.00307582j 9.47372e-05+0.00725937j 0.00225639+0.00234105j -0.00883755-0.00680736j -0.00422898+0.00605939j -0.00755349-0.00495202j 0.00900439+0.00559331j 0.000267945+0.00251857j -0.00637479+0.00424306j 0.00592311-0.00501599j -0.00206774+0.00150778j -0.000186847+0.00655051j 0.0127067+0.0051448j -0.00117132+0.00403138j 0.00479114+0.00233143j -0.00255534+0.0041905j 0.00416998-0.00462991j -0.00100284+0.000191533j 0.00129912+0.000255813j -0.0049976-0.00303734j -0.00398624-0.00282236j 0.00510987-0.013116j -0.00304094+0.0110973j 0.00235985-0.00258802j 0.00107065-0.00427643j -0.00521304-0.00529257j -0.0016512-0.00492781j 0.00112554+0.00183229j -0.00247421+0.00164156j -0.00410714+0.00025888j 0.00491466-0.00316534j 0.00103742+0.000916571j -0.00190592+0.000800264j -0.000506688-3.12514e-05j -0.00615522-0.000631511j 0.00161615+0.00839826j -0.00500171-0.00653502j 0.005997-0.00181259j -0.00326689+0.00564934j 0.00875216+0.00141378j 0.00580182+0.00149165j -0.00794903-0.00399585j -0.00011594-0.00337433j 0.00141991+0.00583393j 0.00644366-0.000521653j -0.0024321-0.00097834j 0.00484101-0.0142228j -0.00288595-0.000741956j 0.00789784+0.0157888j -0.000536629+0.00507171j 0.00434118-0.00558795j 0.00156335+0.000440125j -0.00345513+0.00947305j -0.00833354+0.00216098j -0.00302914-0.000408206j -0.00230315+0.00343727j 0.00375345-0.00671584j 0.00451282-0.000777474j 0.00493406-0.0134817j -0.0124791+0.0108507j -0.010005-0.00469554j -0.00211498+0.00456995j -0.00822866+0.00565677j 0.00272958-0.00547874j -0.00777122-0.000216022j 0.00865294+0.0061566j -0.00686511-0.0215484j 0.000435464-0.0110898j 0.00688667-0.00889969j 0.0274606-0.00173259j -0.00750375-0.0260013j 0.0319683-0.018103j 0.0128687+0.0103485j -0.010096+0.0154753j 
-0.0288839-0.021383j -0.0185168+0.0262692j -0.0142891-0.0389538j -0.0407777+0.0130372j -0.0340326+0.0129264j -0.0205345-0.0367646j 0.0114057-0.0352363j -0.0149656+0.00908518j -0.0156125+0.0123828j -0.026986+0.0038217j -0.00454823+0.00291929j -0.00347393-0.00989394j 0.0106339+0.0176423j 0.0127276+0.00506933j -0.0149552+0.00228223j 0.0242629+0.00831302j -0.00438256+0.00649522j -0.000495239-0.0165854j -0.0035921+0.0067577j 0.0166285+0.00110181j -0.00478822-0.0017996j 0.011448-0.00192799j 0.00688775-0.015306j -0.00122859-0.00409364j -0.0115991-0.00284023j 0.00779305+0.00240763j 0.000740417-0.00751623j -0.0118038+0.00965711j 9.84123e-05+0.00978309j -0.00598589+0.00348781j -0.0190039-0.0219504j -0.00468857-0.0103066j -0.0156217-0.00879079j -0.00365555+0.00386574j -0.00652832+0.00838179j -0.00962378+0.00975159j -0.00297148-0.00655274j 0.00370372+0.00495423j -0.00258857-0.00422102j -0.0131941-0.000137114j 0.00744129-0.00644554j 0.00246146+0.00750525j -0.00875985-0.00148543j -0.00112273+0.00580985j -0.00528087+0.00918562j 0.00033733+0.00412282j -0.000209129+0.00896653j 0.00979854-0.00211158j 0.00138354+0.00578687j -0.000446091-0.00420834j 0.00398779-0.00285633j 0.00290988-0.000183619j 0.00638443-0.00376964j -0.00672834-0.0135j -0.00471929+0.00982922j -0.0186034+0.000423485j -0.00170058-0.0151165j -0.0124527-0.00847023j 0.000723511-0.0124619j -0.0025269+0.00492654j -0.0070981-0.00268474j -0.0124775+0.000249578j -0.00367586+0.016883j -0.0118381+0.00770803j -0.00255566+0.00885812j -0.00523939-0.00220143j -0.00332107-0.00888659j -0.0131732-0.000533708j -0.00466953-0.000870194j -0.00306537-0.0234001j -0.0164128-0.00272724j -0.000912511+0.00211746j 0.00878772-0.0054271j -0.00853401-0.00446477j 0.0176004+0.00290046j -0.00251983+0.00410542j -0.019411+0.0325004j 0.02667-0.00926894j 0.0171019-0.00993888j -0.0177518-0.00356034j 0.00788965-0.0183637j 0.000199408+0.0162318j 0.0305972+0.0172427j -0.00592681-0.0176477j 0.0265542+0.00263426j 0.0221132+0.00768923j 0.00640956+0.0326317j -0.017578+0.0198143j 0.0170884+0.0393271j -0.0363912+0.0184411j 0.00432002-0.0341581j 0.0371968+0.00704016j 
-0.0243476+0.0471805j 0.0411021+0.0304338j 0.0405113-0.0327709j -0.0408831-0.0260907j -0.0158279+0.0155439j -0.0167761-0.0184805j -0.00398521+0.0042291j 0.000906053-0.0126823j -0.00757988+0.014898j -0.0152395-0.0252878j 0.010421-0.0158274j 0.0155297-0.0126014j -0.0146108+0.00385309j -0.0163899-0.00473058j -0.0123024-0.00734005j 0.0118921+0.0126532j 0.0188404-0.00241578j -0.0132248+0.00143081j -0.011191+0.00619736j -0.0101434-0.017619j -0.003555+0.00517288j 0.00623524+0.00735386j 0.00822147-0.0051569j 0.00778095+0.00351247j -0.0048117-0.00292438j -0.00911294+0.00122449j 0.0163018+0.000703123j -0.0104528+0.0177092j -0.010888-0.00479457j 0.00536317-0.0199879j -0.0153564+0.00323505j -0.00737652-0.00287175j -0.00253778-0.00826861j 0.0153876-0.0124519j 0.00303726+0.0148995j 0.00375039-0.00519815j -0.00823252+0.000681066j 0.0178957+0.00555764j 0.0122911+0.00527103j 0.00224855+0.0159735j -0.00760264-0.0147898j -0.00690596+0.00023366j 0.00140966+0.017423j 0.010685+0.0092398j 0.00498175+0.000210142j -0.00681056-0.00967774j 0.0170907-0.00161768j 0.00471489+0.00411711j 0.00203991-0.00957325j -0.00337258+0.00491181j 0.000696258-0.000340004j -0.000597006+0.00671363j 0.0153661+0.005006j -0.0130351+0.000241734j 0.0112746+0.00605038j 0.00239549+0.0023177j 0.0105835-0.00148486j -0.00624621+0.0144718j 0.000550715-0.00920248j 0.0135008-0.00212618j 0.0137858-0.0142549j -0.00343603-0.00976583j -0.00933354-0.000545969j 0.0202395-0.00156086j 0.00296806+0.00396684j 0.0246022-0.00289749j 0.0012716-0.00709541j -0.00513907-0.00795763j -0.0116364-0.00601583j -0.00330497+0.00997452j -0.0021197-0.00738741j -0.000649804+0.00730176j 0.0123923+0.00663989j -0.00399533+0.00521062j 0.0142759-0.01043j 0.000197843-0.0158228j 0.0240104+0.0187761j 0.0130812-0.0167206j 0.0110406+0.00750104j 0.0142539-0.0043202j 0.023011+0.0148578j -0.0118585+0.00332162j -0.00523724+0.027185j 0.00418511-0.0152346j 0.0211274+0.0210714j 0.0109591-0.00128494j 0.0103097+0.00426986j 0.00757365+0.0159847j -0.0337754+0.0405259j -0.0336516-0.0308736j -0.0491402+0.0165099j -0.0113504-0.0556506j 
-0.0471474+0.0204868j 0.0170335+0.0450683j -0.0109763-0.0453927j -0.0459984+0.0163832j -0.0218171-0.0136156j 0.0112319-0.0386265j 0.0261972+0.00344924j -0.00255422-0.00816911j 0.0102341+0.00527424j -0.0210188+0.00509285j 0.00423063-0.0138928j 0.00835416-0.0247031j -0.0106348+0.00997521j -0.00651483+0.00702915j -0.0338181+0.00174756j 0.0293582+0.0364737j 0.0263938-0.00171418j 0.00428765-0.00918944j -0.0190402+0.00331311j -0.00282551-0.0151825j -0.00225403+0.000204464j 0.0297753+0.015905j 0.00804271-0.00752763j 0.0155655+0.0069976j -0.0215923-0.0142857j -0.00648308-0.000835371j 0.00814392-0.0152964j -0.00633142+0.0183994j 0.00662853-0.000331823j 0.0064879-0.0137501j -0.0255899-0.00363374j 0.00173352-0.0143981j -0.0120146+0.000227176j 0.00323371-0.00522004j -0.00735138+0.0142162j 0.00543452+0.00838578j 0.000529985+0.00586345j 0.0071901+0.00927512j 0.00759052+0.00170446j -0.0158315+0.0213026j 0.00734825-0.0214563j 1.57279e-05+0.0120624j -0.0063681+0.00792807j 0.00656809+0.00807555j 0.0034549+0.0163741j 0.00360401-0.00122725j 0.00697639+0.00255672j 0.00945635-0.00196815j -0.0153051+0.0160452j 0.00182822+0.00645899j 0.000514738-0.00336656j 0.0018311-0.0050157j 0.0103682-0.00129716j -0.00418697-0.0144852j 0.00647379+0.0187313j -0.0115532+0.00864168j 0.0082588-0.00921234j -0.0255727+0.00285739j -0.00915042-0.00859496j 0.0170577+0.00890138j 0.0141104-0.000673307j 0.00153438-0.0117181j -0.0264576+0.00729239j 0.0060253+0.00170074j -0.0075255+0.0166408j 0.00989904-0.00536408j -0.00880439-0.0152979j -0.00661463-0.005575j 0.00143215+0.00399309j -0.00393165-0.00880305j -0.00135907-0.00932445j 0.00828439-0.00219666j 0.0111469+0.0158509j -0.00608517-0.0124151j 0.012458+0.0208177j 0.00161825-0.0209667j 0.00420757+0.0186814j 0.0289678-0.0208761j 0.025405-0.00114239j -0.00963329+0.00361989j 0.0196269-0.010621j -0.0160954+0.0208855j 0.00708246+0.00835313j -0.0361787-0.0216437j 0.0299118+0.029604j 0.000255873+0.0265027j -0.0290859+0.0262076j -0.0208679-0.0366045j 0.0303873+0.0362499j -0.0452095+0.0161508j -0.0341453-0.0181141j 0.0219573-0.0404692j 
-0.0157019+0.0545597j 0.0464098+0.0211542j 0.0247002-0.00950447j -0.0121187-0.0161926j 0.00341951-0.0162818j 0.0138882+0.00522002j -0.00069923+0.027876j 0.00147754-0.0198278j 0.0276329-0.0127324j 0.0137852-0.00382018j 0.00842462-0.021274j 0.0102796-0.00644959j -0.0224455-0.000224335j -0.0145035-0.00957616j -0.000991908-0.00447873j -0.00112098+0.0145407j 0.033017-0.00395719j -0.00819616+0.0153702j -0.009478-0.0102827j -0.0180054-0.0196079j -0.00792516+0.00440754j 0.000976317+0.0108841j 0.0009428+0.0115485j 0.0105459+0.00516665j -0.00782886-0.00609276j -0.0105642+0.000898181j 0.00930886-0.000831263j 0.0100708+0.00500992j 0.0012436-0.00698225j 0.00912665-0.0176756j 0.00121888+0.0236069j 0.00184576+0.000541179j -0.000718163+0.00454199j 0.0122978-0.00347314j 0.0126107+0.00151412j 0.0136206-0.00623393j -0.000527153+0.0102929j 0.0069701-0.000162796j 0.00981546+0.00917134j 0.0041062+0.0176276j -0.0144067-0.0127766j -0.00316936-0.00609529j 0.00717219+0.0135517j 0.0058023+0.00222985j 0.00530151-0.00676573j 0.00059521-0.00487443j 0.0187308-0.00497313j -0.00152075+0.00705262j -0.00591253-0.00439713j 0.00427872+0.00461907j -0.00476676-0.00234677j -0.00223863+0.00305506j 0.00776559+0.00446468j 0.00957411+0.00723934j 0.00961095-0.00599232j 0.0122954+0.00595641j 0.00378699+0.0074592j -0.0016993+0.0120025j -0.00739987+0.00721088j 0.0168299-0.00388484j 0.0142672-0.000686015j 0.00663215-0.00798523j -0.00683663-0.00157131j 0.0225049-0.00154018j 0.00459078+0.0037231j 0.0226763-0.000404049j 0.00326737-0.00743629j 0.0129562-0.0145723j 0.00237866+0.00301781j -0.00132945+0.0275849j 0.0150559-0.00225912j -0.0019819+0.00328863j -0.000654249+0.00919203j 0.0118089+0.00526784j 0.000865739+0.00443814j -0.00273762-0.0181713j 0.0217009-0.00982561j -0.00420393-0.0180788j 0.00526437+0.0102254j 0.0154947-0.010015j 0.0173517+0.0128632j -0.0109169+0.00364344j -0.0120475-0.0115648j -0.0261208-0.00666904j -0.020171+0.0463864j -0.0167793+0.0102926j -0.017563-0.0166095j 0.00267198-0.0182493j -0.0356478+0.014161j -0.00894469-0.0213192j -0.0463374+0.0271582j -0.0232028-0.0539883j 
-0.0234978-0.0210163j -0.0189358+0.0213325j -0.0179494-0.0204435j -0.0215119+0.0203181j -0.0265327+0.00933595j -0.00932493-0.0273897j 0.00614203-0.0165593j -0.00704569+0.00750735j -0.013543+0.0259008j -0.0343489-0.00273787j 0.00702808+0.00269446j 0.00618273-0.0185838j -0.000351462+0.0117241j 0.00286912+0.0117806j -0.029409+0.00307482j 0.021212+0.0207908j -0.000514076-0.00155729j 0.00678863-0.0180025j -0.00908222+0.0131353j 0.00776527-0.00136735j 0.00534117-0.00730877j 0.0224371+0.0078641j 0.00489897-0.0159046j 0.00778635+0.0103137j -0.00930194-0.00736672j 0.000437151-0.0102269j 0.00730837-0.00754365j -0.0169551+0.0085951j -0.0014815+0.000864511j -0.00243144+0.00416916j -0.0231007-0.0194841j -0.00117079-0.0160039j -0.0107748-0.0049489j -0.00349639+0.0015298j -0.0135919+0.012074j -0.00626736+0.00764194j -0.00578215-0.00813011j 0.00693199+0.00819713j -0.000515502+0.00147321j -0.0124703+0.00523096j 0.0110337-0.0119685j 0.00169719+0.00973232j -0.00512005+0.00206094j 0.00136157+0.00457787j 0.00738239+0.0134765j 0.00165944-0.00147968j 0.00455035-0.00398731j 0.00988263-0.00328773j -0.00455325+0.0139131j 9.862e-05+0.00387487j 0.00702449+0.00171653j -0.000604956-0.00512151j 0.00379319-0.00308365j -0.0067707-0.0118064j -0.00681944+0.017233j -0.0123967+0.00014059j 0.00496007-0.0105757j -0.0164118-0.00430552j 0.00444713-0.0115492j 0.00198684+0.00596146j 0.00208778-7.45988e-05j -0.00723971-0.00318878j -0.0138642+0.00173871j -0.00572045+0.00142491j -0.00773894+0.0078209j -0.00516744-0.00266115j -0.00872501-0.013898j -0.00398617-0.000806514j -0.00039178+0.00834273j -0.00204433-0.0217625j -0.00816637-0.000892499j 2.2191e-05-0.000400391j 0.0105547+0.00332662j -0.00645804-0.00389415j -0.00312879+0.00341924j 0.00624096-0.00610084j -0.0110853+0.0294875j 0.0315022-0.00793301j 0.018466+0.0116971j -0.0140159+0.000701061j 0.0164955-0.0176188j 0.0061096+0.00311465j 0.0113366+0.0232751j -0.00233753-0.00164681j 0.0280579+0.00593549j 0.0285845+0.00521513j 0.00400995+0.0458416j -0.018271+0.00182098j 0.0380466+0.0381135j -0.0245969+0.0231461j 0.00265437-0.0250767j 0.02722+0.00177731j 
0.0302725-0.0018785j -0.00137239-0.0276125j 0.0100802+0.0419735j 0.042595-0.0132223j 0.0183814+0.0096999j -0.000983679+0.0273681j -0.0234258+0.00495131j 0.0166441+0.0196044j -0.00478489+0.0160709j -0.00199576-0.00913136j -0.0012291-0.00922132j -0.0142108+0.00904028j 0.00216303-0.0183948j -0.00948214-0.00177284j 0.0143304-0.0108793j -0.0253146-0.0125916j -0.00378914-0.00274574j -0.0108879+0.0148195j 0.00473093-0.0078666j -0.01302+0.00818946j 0.00564711+0.0118087j -0.0280541-0.00562509j -0.00657048+0.00139584j 0.00327995+0.000239683j 0.0188242+0.0174644j -0.00421268+0.000180478j -0.00344667+0.00995277j -0.000504149-0.0032339j 0.00282851-0.016661j -0.00762301+0.00493357j 0.0303753+0.0133276j -0.00224229+0.00808056j 0.0190504+0.00212801j 0.00410741-0.0097582j 0.00489425-0.00415972j 0.00100536-0.0148746j 0.0121847+0.00208429j 0.000880129-0.000459674j -0.00652052-0.00169344j 0.0176653-0.000968024j 0.00612788+0.0103721j -0.000699629-0.00469662j 0.00466092+6.15463e-05j 0.00589011-0.0103998j 0.0128223-0.0125406j -0.00593612-0.00170545j -0.00879082-0.00960339j -0.00539103+0.00561664j 0.00089255-0.0183614j -0.00543413-0.0105934j 0.000972039+0.0129673j 0.00123744+0.00071011j -0.0148935+0.00468961j -0.00946725+0.0167674j 0.00809401-0.024291j 0.0120169-0.00431423j -0.00829324+0.0109469j 0.0121632+0.0144913j 0.00368199+0.0179036j -0.00790519-0.0085263j -0.00478321+0.00653484j 0.000742023+0.00718429j 0.00934415-0.02677j 0.0130655-0.00684646j 0.00182225-0.0132222j -0.00698082+0.00377733j -0.00323222+0.00368644j 0.01914+0.0106726j -0.0100707+0.00407735j -0.00222942+0.0090956j 0.00468657-0.00519851j -0.0069786-0.000229341j -0.0171377-0.00774624j 0.00653713+0.0110041j -0.0247226-0.0172773j 0.00309396+0.0235243j 0.00846711-0.015658j -0.0163386+0.00159608j -0.0203942+0.0168915j 0.0381854+0.0104258j -0.0107781+0.00354899j 0.0161166-0.0197619j -0.00219152+0.0125312j 0.0341255+0.0116683j 0.00321026-0.00493784j -0.0186982+0.00778657j 0.00515723-0.0308562j 0.00155549+0.00774629j -0.0159607-0.0355352j 0.0259042-0.0157152j 0.0228372+0.0154791j -0.020901+0.0245913j 
