-0.0839282-0.0897145j 0.0918786-0.0853445j 0.0152098+0.0635794j 0.087173-0.0253418j -0.051908-0.0302878j -0.0159839-0.0479382j -0.0171818+0.00226813j -0.000669792-0.031762j 0.0246679+0.0485948j -0.00213199+0.0191537j 0.0384564+0.00123623j -0.00881161+0.00120872j 0.010087+0.0236088j 0.0243799-0.0455979j -0.00255872-0.0279386j -0.0147755+0.00193477j -0.00609392+0.0552385j -0.0475699+0.0262228j -0.0805088-0.0167197j 0.0153661-0.0640287j 0.0904989+0.096331j 0.0956171-0.0902824j 
-0.192361-0.273044j 0.277744-0.195343j 0.0449506+0.205997j 0.271031-0.0687439j -0.170865-0.100628j -0.0419492-0.137957j -0.0291427-0.00813739j -0.0195611-0.105904j 0.0758884+0.171298j -0.0152297+0.0579653j 0.0930176+0.000635456j -0.0259508-0.00133514j 0.0107783+0.0584983j 0.0804013-0.174541j 0.0191122-0.103961j -0.0296752+0.00583908j -0.0461784+0.136249j -0.172582+0.0965534j -0.269958-0.0769445j 0.0510408-0.204555j 0.275046+0.196415j 0.193262-0.270278j 
0.00651355+0.00346637j -0.00371393+0.00720913j 0.00386789+0.000757115j 0.00178359+0.000189411j -0.00399241+0.000169112j 0.000340881+0.00204391j 0.0029235-0.00181378j -0.00614605+0.000662684j 0.00382225+0.00299301j -0.000111922-0.00358156j -0.01099+0.000913938j 0.00318309+0.00474103j 0.000319469-0.00164509j -0.0029425-0.00837031j 0.000669901-0.002152j 0.00693831+0.000441721j -0.00411958-0.00233633j 0.00321119+0.0099156j 0.00815062+0.0104338j -0.00895386+0.0190077j 0.00771067+0.014482j 0.0157514-0.00666693j 
-0.033671+0.0149865j -0.0160221-0.0343819j -0.0059634-0.0210976j -0.032102+0.00946648j 0.0298586+0.0210924j 0.00966803-0.00257048j -0.0147244+0.00957007j 0.0185585+0.0207547j -0.00868737-0.0404364j -0.00341354-0.0012055j 0.0151828-0.00196564j 0.00341714-0.000435924j 0.00532231+0.000375411j -0.00881859+0.0400537j -0.0223338+0.0200434j -0.0158151-0.00915824j 0.0184923+0.00550496j 0.0341308-0.0223469j 0.0308644+0.0109594j 0.000177466+0.0164245j -0.0181073+0.0354007j 0.0347153+0.0160039j 
-8.73234e-05-0.00545812j 0.00635037-0.000486848j -0.00704381-0.00302536j 0.000904941+0.00461202j 0.0023508-0.00549371j -0.00505476-0.00118611j -0.00321479+0.00358868j 0.00334783-0.0066276j -0.00351006+0.00650205j 0.00185048+0.000131101j -1.904e-05-0.00642089j 0.00150998-0.00230354j 0.00212332+0.00100936j 0.0105002+6.55685e-05j 0.0014745+0.000132493j -0.00499294-0.00174979j 0.00610888-0.000288894j -0.00551786-0.00738553j -0.025669-0.00164106j 0.00288378-0.0342498j -0.00782922-0.0165195j -0.0181164+0.00727755j 
-0.0229427-0.0333201j 0.0328002-0.0225585j -0.0157468+0.0124771j 0.0112218+0.0242731j 0.0124358+0.00159111j -0.00267137-0.0183335j -0.0174822+0.0169807j 0.0107798-0.00451414j 0.00311446-0.00170085j -0.00837434+0.0150188j 0.0147824-0.000555351j 0.0134157-0.000827023j 0.00203907+0.0106616j 0.00921218+0.000366602j -0.00439006-0.0041418j -0.0202-0.0246654j -0.0180655+0.00918851j 0.00760261-0.00519096j -0.0216398+0.0184237j -0.0211944-0.0179593j 0.0313009+0.0123358j 0.0118685-0.0297023j 
-0.0111525+0.0172811j -0.015906-0.00924778j -0.00831027+0.00758665j 0.0123018+0.014469j -0.000411378-0.0073994j -0.00559199+0.00559042j 0.00237429-0.0118791j -0.00205286+0.000451929j -0.0057537+0.00892246j 0.00838974+0.00883642j -0.0195616-0.00296461j -0.0122384+0.00246478j -0.00416762+0.0106698j -0.00568877-0.00844228j 0.000749965-0.00150013j 0.00355491+0.0116959j -0.00836073-0.00190599j -0.000717411+0.0108337j -0.0122673+0.0119886j -0.00896021-0.00172937j -0.0149097+0.0104419j 0.0123785+0.0164337j 
0.0233559+0.00301094j -0.00113585+0.0231794j -0.0104607+0.0108623j 0.0168492+0.0128972j 0.0075628+0.000828554j -0.00561417+0.0069764j -0.0121974+0.0133045j -0.00069866-0.00265594j 0.00766979+0.005181j 0.00521102+0.00195937j -0.00961211+0.0119921j 0.0152479+0.00502988j 0.00895288+0.007779j -0.000828228-1.59198e-05j 5.3748e-05-0.0028102j -0.00509275-0.017256j -0.0142927+0.00382285j 0.0193768-0.00662195j 0.00562791+0.0313183j -0.0207275+0.00619149j 0.00871625-0.00752666j -0.0058202-0.00892719j 
-0.0035773-0.0059757j 0.00480802-0.00164454j -0.0107878-0.0108389j -0.0149387+0.0183395j 0.00818416+0.00846464j -0.0139809-0.00270267j 0.00640153+0.00665361j -0.00432338-0.00246461j -0.0025453-0.000338005j -0.0131583+0.00884631j -0.006228-0.0206307j 0.00701358-0.010072j -0.00854887-0.00361249j 0.00744313-0.00768428j 0.00219792+0.00142226j -0.00976895-0.00853605j 0.00100228-0.00715462j 0.00360558+0.00642104j -0.0122767-0.00364715j 0.00217157-0.00137968j -0.00517084-0.0108461j -0.0112742+0.00699287j 
-0.0247195-0.0099093j 0.00900367-0.0243135j 0.00524721+0.00284218j 0.00182191-0.00563881j -0.00761777-0.0102321j 0.0104758-0.0093024j 0.00371822-0.0144464j 0.00457582+0.00166988j -0.00650498-0.00241526j 0.00254044+0.00320789j 0.00903774+0.00339304j -0.0151664+0.00257316j -0.00582145+0.00328627j -0.00374145-0.00108258j -0.000501187-0.00210391j 0.00577597+0.0125755j -0.00516474-8.45826e-05j -0.0144925+0.00537367j -0.00424558-0.00821168j -0.0017002-0.0030742j 0.00988316+0.0173867j 0.0173214-0.00894175j 
-0.00477139+0.00518176j -0.00644979-0.0042279j 0.00861493+0.0038673j 0.000454599-0.00566712j -0.00512683-0.00663331j 0.00734266-0.0167853j -0.0124457+0.00356803j 0.00272464+0.00138116j -0.00782064+0.00145135j 0.000431913-0.00433884j 0.0166588+0.00502979j 0.00582562+0.0175953j 0.00752877+0.0121189j 0.00596436-0.0014961j -0.000530667-0.00592793j 0.00824766-0.0112663j -0.0274309+0.00110998j -0.00843836-0.0056513j 0.00585181-0.00481201j -0.00920708+0.0104574j -0.00330801-0.0078587j -0.00753241+0.00445351j 
0.00278566+0.0112024j -0.0111082+0.0025237j 0.00758727-0.00275501j -0.00502859-0.0106299j 0.00523477+0.0156801j -0.0150622+0.0209939j 0.00209478+0.0108302j -0.0207682+0.00109782j 0.0142799+0.0105136j -0.0112827+0.0123313j -0.0108569-0.0049085j 0.000603243-0.00683879j 0.00573584+0.00653491j 0.0122602-0.0113807j 0.0156054+0.00655008j -0.00697229-0.0177861j -0.00156541-0.0146065j 0.0202496-0.00855071j 0.00783771-0.00878116j 0.0156299+0.00823869j -0.00964763+0.00552083j 0.00548096+0.00883355j 
