-0.00674733-0.00642097j -0.00531058+0.00254789j -0.0100266-0.00181773j -0.00476187+0.00583653j -0.00764838-0.00465122j 0.00498646+0.00749432j -0.0117041+0.00161821j -0.00619364-0.00709279j -0.00511151+0.0109487j -0.00797182+0.00780351j 0.00258146-0.00321206j -0.000412822-0.0021867j -0.00801356+0.00165637j 0.00442733-0.00133984j -0.0064207+0.000224701j 0.00269927+0.00475729j -0.00142007+0.00364573j 0.011966+0.000527012j -0.00368638+0.00208747j -0.00237309+0.00271599j 0.00499817+0.00358234j -0.00216199-0.00321176j -0.00776234-0.00121254j 0.00378693-0.00424459j 0.00179934-0.00203649j -0.00221947-0.00402788j -0.00275171-0.00315315j 0.00170481-0.00307119j 0.00225925-0.000644736j -0.000717838+0.0108413j 0.00114858-0.0020162j -0.000998322+0.00604277j -0.0019321-0.00111372j -0.00445316+0.00269732j -0.00121516+0.0035993j -0.0100245+0.00741817j 0.0108525+0.00165335j -0.00619416-0.00600482j 0.0106407-0.00794229j 0.00928988+0.00970025j 
0.00454247-0.00573949j -0.00846525-0.00225077j 0.00221364-0.00811894j 0.00311855-0.0152483j 0.0045949+0.00235113j -0.00452284-0.00276145j 0.00187907-0.0059408j -7.80451e-05+0.00658643j 0.00469913+0.00110758j -0.00332659-0.00486797j 0.00745278+0.00360438j -0.00607145+9.04176e-05j -0.000820207-0.00172703j 0.00536586-0.00798385j -0.00730485+0.00617829j 0.0079846+0.00172115j -0.00088427-0.000338756j 0.0024415-0.00238416j -0.00217828-0.00475432j -0.00014951+0.00709689j 0.00343089+0.00828378j -0.000964057+0.00376743j -0.00365749-0.00361827j 0.00491721+0.00707207j -0.00429079-0.00702565j 0.00354134+0.000402885j 0.000803297+0.00187561j 0.000307361-0.00165625j 0.0100648+0.001699j 0.00195382+0.00889544j -0.000126748-0.00114845j 0.00322495-0.00181828j -0.00680416-0.0054403j 0.00112499-0.00814886j 0.00488673-0.00258618j -0.00139633-0.00289772j 0.00588567-0.00487048j 0.0176838-0.00530609j 0.0153664+0.00837681j -0.0053241+0.0148301j 
0.00717917-0.00319195j 0.00345825-0.000140064j 0.00165456-0.00505165j 0.000556791-0.00674026j 1.16882e-05-0.000616182j -0.00190127-0.00464146j 5.96113e-05+0.000198055j -0.00059755+0.0019055j 0.00246418+0.00231834j -0.0013044-0.00355957j 0.000288386+0.0048872j -0.00363638+0.00207337j -0.00284951+0.00268771j 0.00412182-0.00340802j -0.00117029+0.00368645j 0.00384018-0.00270769j -0.0037278-0.00129801j -0.00465922-0.00438055j -0.00352425-0.00409564j 0.00110022+0.00339481j -0.00466689+0.00037798j 0.00392234+0.00379055j 0.00473085+0.00176902j 0.00281173+0.0091433j -0.00495301-0.00230351j 0.00471826+0.00591407j 0.00371998+0.00615964j -0.00187208+0.000722983j 4.23067e-05-0.00163312j 0.00617691-0.00664461j 0.00061452+0.00137914j 0.00740182-0.00797876j -0.000313412+0.00391463j 0.00183689-0.00504599j 0.00504624-0.00439941j 0.00829513-0.00957066j -0.0119964-0.0104058j 0.00854178-0.00221978j -0.00553274+0.00182765j 0.00077395-0.00585108j 
0.00426328+0.0141463j 0.0145366+0.00123982j 0.0104095+0.00517091j -0.00197893+0.00835864j 0.00172381-0.00179428j -4.13163e-05-0.00417011j 0.000648451+0.00309774j 0.00988284-0.00955932j -0.00945338-0.0105434j 0.00285595+0.00552356j -0.00535334-0.00604072j 0.00615519+0.0039986j -0.00130552+0.000420345j -0.00675449+0.00733917j -0.00648787+0.00984438j -0.00128195+0.0044103j -0.00774915+0.00296814j 0.00498677-0.00297627j 0.00195943-0.00394151j -0.000653549-0.0033953j 0.00353659+0.00499362j 0.000180685+0.00795884j -0.00432613-0.00909279j 0.00409765+0.00377442j -0.00175842-0.00680322j -0.00608105-0.00352498j -0.00471405-0.00373505j 0.00263958+0.00301756j 0.00831136-0.0012123j 0.00561136-0.00280427j -0.00665007+0.00741077j -0.00719144+0.00571812j -0.00948048-0.00693475j 0.00384051-0.00494835j -0.00754365+0.000701624j 0.00837225+0.00966633j 0.0128599-0.00394879j 0.00640952+0.00144208j 0.0099936-0.00239787j 0.00236962+0.0110789j 
-0.00704236-0.00201101j -0.0165688-0.00353367j -0.0025301+0.00353095j 0.00471385-0.00821505j 0.00736701+0.000651541j 0.00185345+0.00328938j 0.0041949-0.00289294j 0.00237672+0.00665588j 0.000953247-0.00700766j 0.00763293+0.00394488j 0.00255858-0.0098255j 0.00678038-0.00483831j 0.00271678-0.00443761j -0.00532639+0.0024429j 0.00498423+0.00274766j 0.000127527+5.48194e-05j 0.00998137+0.000521581j 0.00849691+0.00699113j 0.00319927+0.00632183j 0.000351816+0.00100044j 0.007052+0.00584787j 0.00438389+0.00272555j -0.00294295+0.0037581j 0.000963636-0.00604898j 0.000321769-0.00736489j 0.00432094+0.0054779j 0.00948737+0.00152788j 0.000876056-0.00338805j -0.00775844-0.00447502j -0.00398589+0.0129053j -0.00502355-0.000698679j 0.0150139-0.0035555j 0.0029636-0.00485366j -0.00431899-0.00604077j 0.00350889-0.00818511j -0.000545991-0.00474416j -0.00172496-0.00579677j 0.00763032+0.000687915j -0.000930882+0.00240016j -0.0014862-0.000361773j 
0.0130408-0.00417669j 0.00950477+0.00293118j 0.00143064-0.00741026j 0.000687477-0.00840229j 0.00182474-0.000958941j -0.00305055-0.0096144j 0.00543767+0.00512528j 0.00484537+0.00647697j 0.00765044-0.00324476j 0.00221551-0.00338907j -0.00740159+0.00629817j 0.00212221+0.0105787j -0.00214852+0.00180718j -0.0052021+0.00711307j 0.000474207-0.000199151j -0.00498977-0.00293876j -0.00229167-0.00011528j -0.00434471+0.001098j 0.0030423+0.00222976j -0.000862907-0.00314046j 0.00116061+0.00101814j 0.001808+0.000764211j 0.00525198+0.00415115j 0.000421792-0.00188887j -0.000710754+6.32544e-05j -0.00182472-0.00557119j -0.0113136-0.000624017j 0.0019065+0.00447517j -0.0084023-0.00472255j -0.0045846-0.0111044j -0.00394154+0.00777718j -0.00604+0.00725396j 0.00256524-0.00289379j -0.00102952+0.00245078j -0.00982155+0.00198166j 0.0024842+0.00638517j 0.000811554+0.00872201j -0.0113014+0.00117398j -0.00440783-0.006701j 0.00170365-0.00251686j 
-0.00138973+0.00805384j 0.00105943-0.00236552j 0.00116092-0.00116476j 0.000265585+0.0108024j 0.00819997+0.00550132j -0.0033289+0.0146323j 0.00370867-0.0122766j -0.0064414+0.00761583j 0.0067591+0.000526895j 0.00147265-0.00784283j -0.00632222+0.0010265j -0.000434317+0.00413079j 0.00447744-0.000716254j -0.00596209+0.00363251j 0.00436989-0.00504555j -0.00257279-0.000215833j -0.00224426-0.00119143j -0.00416706-0.00464043j -0.00773617-0.00192549j 0.0118319-0.00236285j -2.2264e-06-0.00742982j -0.0126601-0.00756297j -0.0079164+0.000668221j -0.00476511+0.00293319j 0.00722197+0.0172919j -0.000648067+0.000937681j 0.000235831+0.00195577j -0.00523149-0.00105574j 0.018733+0.00098855j 0.00130361+0.00173536j 0.00846066-0.0157721j -0.00728698+0.00360821j -0.00375609+0.0150426j 0.00522024+0.00482226j 0.01107+0.00398089j -0.00471033-0.00220302j 0.00271875-0.0018647j -6.03455e-06-0.000590239j 0.00517681-0.00207916j -0.000114465+0.00354023j 
0.0032999-0.0063478j 0.0116461+0.00347809j -0.00309063-0.00236743j -0.00184959-0.00289889j -0.00632401+0.00157712j -0.000970408-0.00482142j -0.00456955+0.00477393j -0.000312567-0.00164862j 0.00307461+0.00349481j -0.00679702+0.000227796j -0.00860763+0.00351189j 0.00461549+0.0111817j -0.00932272+0.00672638j -0.0053937+0.0111819j -0.00773344+0.00195901j -0.00227809+0.00296314j -0.00572517+0.000278186j 0.0157187-0.00137729j -0.00536662+0.00588671j 0.00621782+0.000911472j 0.0105834+0.00958437j -0.00556923-0.0062529j -0.00456251-0.000267119j 0.00817127+0.00158701j 0.00201019+0.000847912j 0.0123745+0.00569126j 0.0108842+0.00665624j -0.00117859-0.00442752j 0.00338491+0.00324867j -0.00571605+0.0141168j 0.00539575-0.00882589j 0.0138577-0.00815614j 0.00159885+0.00313391j -0.00117626-0.0044196j 0.011487-0.004171j -0.0041491-0.012368j -0.00347449-0.00582543j 0.009745+0.00132983j -0.00250607+0.00512728j -0.00114294-0.00143026j 
0.00700234-0.000842697j 0.0189907+0.00174791j -0.00354272-0.00650395j -0.000931418+0.00913329j 0.00135206+0.00227101j -0.00323808+0.0060172j -0.00301354-0.00170216j -0.00152019-0.00129581j 0.00223043+0.00107101j -0.0096011+0.00182223j 0.0063534+0.00757404j -0.00150582-0.00179882j 0.00320062-0.0044757j 0.00584794-1.37433e-05j -0.00187076-0.00292798j 0.00476882+0.00253369j 0.0094002-0.000594371j 0.00805496-0.000223052j -0.000289415+0.00314689j 0.00101929+0.0103631j 0.00259936+0.0091433j 0.000330537-0.003378j -9.89762e-06+0.0116233j 0.00140119+0.00403944j -0.00166578-0.00591703j 0.00203692-0.00453877j -0.0180848+0.00571095j 9.67513e-05+0.000581682j -0.00323742-0.00185655j 0.000352779+0.00115415j -0.00205059+0.00423059j 0.00264991+0.00979334j -0.00219792-0.00616143j 0.000539478+0.00104396j -0.001469+0.00434105j 0.000945926+0.0113745j 0.0109355-0.00154336j -0.0038082+0.00257456j 0.00548186-0.00548324j 0.00555462+0.0053211j 
-0.00629784+0.00128312j -0.00314479+0.000104817j 0.00102676+0.00203896j 0.00053906+0.00611893j -0.00614683+0.00532616j 0.0005358+0.00284559j -0.0119188-0.00612773j -0.00624497-0.0036303j 0.00353738+0.00797777j -0.0157353-0.00816887j -0.000670764+0.00576311j -0.00681721+0.011617j -0.00815752+0.000641485j -0.00709279-0.00292814j -0.00607738+0.00391981j 0.000736702-0.00806774j -0.00818371-0.00471181j -0.00784862-0.00132169j 0.00676415-0.00385688j -0.0126223-0.00448291j 0.00627759-0.011404j -0.00079761+0.0127698j -0.00296102-0.00862895j -0.00325628-0.0147093j -0.00449538-0.00138355j -0.00203936+0.00626927j 0.0172824-0.00553981j 0.00123924-0.00592775j 0.00062465-0.00106442j 0.00164134+0.0122874j -0.00151057-0.00420984j 0.00851213-0.00594512j -0.00114352-0.00191882j -0.0038954-0.00697086j 0.00662082-0.00614744j -0.00162499-0.00554736j -0.00327366-0.00692876j 0.00905031-0.00330536j 0.00387164+0.00484326j -0.000877203+0.00124251j 
0.00219003-0.00767925j 0.00127688+0.00122281j 0.00383225-0.00411802j 0.00552899-0.0203815j 0.00501651+0.0124596j -0.00719231-0.00697469j 0.00176083+0.000655338j -0.00115309+0.00354044j 0.00508046-0.00227848j -0.00797471-0.00667879j -0.00443341+0.0108124j 0.00401649+0.00917145j 0.00327414-0.00371251j -0.00367899+0.0130248j 0.00153456-0.00491492j -0.00420282-0.000726123j 0.00276058-0.00607705j 0.00153202-0.00328452j 0.00578885+0.00389962j 0.00706992-0.000640521j 0.0110395-0.00242679j -0.00612545-0.00589292j 0.00402601+0.00909686j -0.0012422-0.00272869j -0.00130429+0.0056061j 1.22971e-06-0.00973445j -0.0140881+0.00458945j -0.000663489+0.00220738j -0.00139287+0.00108625j -0.00251715-0.00270087j 0.000952079+0.00245713j -0.00654148+0.0060211j -0.00425146-0.00114254j -0.000283022+0.00476553j -0.00504167+0.00602589j 0.00164682+0.00937404j 0.00792139+0.0065583j -0.00875195+0.00169332j 0.000607914-0.00544854j 0.00216414+0.00303591j 
