0.000923617-0.115354j -0.11448-0.311328j 0.0003975-0.0463572j -0.00392289+0.0142035j 0.00435712+0.0134615j -0.0167814+0.0105111j 0.00551255-0.0116379j 0.0126231+0.00630401j -0.00290621-0.0119668j 0.00175946-0.0112669j -0.00244135+0.0245929j -0.000885093+0.00352379j 0.000577816+0.0066509j 0.00190885-0.00574092j 0.00146274+0.0146181j 0.0052235-0.00386262j -0.0101083+0.004137j -0.00355408-0.0022792j 0.00209414-0.00490451j -5.56388e-05+0.00194408j -0.000732061-0.0040021j -0.00143067+0.000516428j -0.00269396-0.00358835j 0.0014371-0.00696933j 0.000568906-0.00746181j 0.00120422+0.00193836j 0.00254073-0.0100153j -0.00104166+0.0074869j -0.0064714-0.00552722j -2.56185e-05+0.000302266j 0.00612331-0.00157947j 0.00253049-0.00502754j -0.00223385+0.00843128j -0.00209424-0.00618608j 0.00169878-0.0096247j -0.00213483+0.00216665j -0.00512512+0.0153743j -0.00190621-0.00268075j 0.000101373+0.00590816j -0.00162239+0.00674329j 
0.13085-0.00132953j 0.36587-0.106461j 0.0502261-0.000233496j -0.0135898-0.00299805j -0.0149086+0.00858174j -0.0054108-0.0227261j 0.00884361+0.00414982j -0.00540282+0.00965591j 0.0102187-0.00183764j 0.0101943+0.00199516j -0.0246176-0.00363919j -0.00195594-0.000543822j -0.00505351-0.000786746j 0.00465762+0.00180578j -0.0114144+0.0043181j 0.00443797+0.00441923j -0.00582443-0.0107559j -0.00148071-0.00291083j 0.0031689-0.00115671j 0.000899673+0.00494098j 0.003896+0.000497254j -0.00289758+0.000203246j 0.00147901+0.000679502j 0.0032864-0.00109984j 0.00513315+0.00125908j -0.000385556-0.000362115j 0.0112986-0.00167061j -0.00440338+0.00306168j -0.00233286-0.00577364j -0.00198889-0.00242471j -0.00170004+0.00350707j 0.00528378-0.000356796j -0.00761885-0.000774437j 0.00480049+0.00434996j 0.00602803+0.00355416j -0.00238426-0.00138736j -0.0123384-0.00580567j 0.000872012+0.00490705j -0.00306312+0.00542844j -0.00601429-0.00523393j 
-0.0210535+0.0340704j -0.130205+0.0520167j -0.000299697+0.0151167j -0.00728728-0.0071859j -0.00995841-0.0158371j 0.00267828+0.0219118j 0.0164743+0.00313013j -0.00641808+0.0149088j 0.00583853-0.00430557j -0.00375431+0.000203871j 0.0053715-0.00174852j -0.0072019-0.00111185j -0.00468925+0.00220967j 0.00629372+0.00403467j -0.0160232-0.00795572j 0.0071354-0.00235743j 0.0041532+0.0103756j 0.00777166-0.0165632j 0.010346+0.00211201j -0.012618+0.000838288j 0.00510256-0.00182548j 0.00845401-0.000377159j -0.00809324-0.00721044j 0.00100274-0.00212232j 0.00139972-0.00505098j -0.00486488+0.000347948j -0.00632748-0.000259168j -0.00557693+0.00435109j 0.00258139-0.0119454j 0.00458533+0.00502609j 0.00289085-7.47334e-05j 0.00512786-0.00231213j -0.00424453-0.00168242j -0.00510072-0.00777476j -0.00635137-0.00119865j 0.00495842-0.00137335j 0.00179058+0.00825688j -0.0111164-0.00391066j -0.0104877+0.00327769j 0.00390331-0.000283686j 
-0.0199742+0.0157193j -0.0568424+0.0727998j -0.0113227+0.00435126j 0.00313727+0.000821181j 0.012396+0.00105229j -0.0251457-0.00720822j -0.00423015+0.00349663j 0.0029863+0.000807463j 0.00104105+0.000321748j 0.0047627-0.000816186j -0.00978202-0.00103944j 0.00280699-0.00079785j -0.00381463+0.00345216j 0.00214822+7.51203e-05j -0.0053767-0.00270955j 0.00110295-0.00248133j 0.0177852+0.00670668j 0.00124421-0.00304552j 0.00611379-4.73154e-05j -0.00534199+0.00164626j 0.00762689-0.00278551j 0.00455369+0.000132247j -0.0039456-0.00234424j -0.0089072-0.00607616j 0.00670629+0.000674083j -0.00467896+0.0020462j -0.00933223-0.00613511j -0.00238315+0.00566916j 0.002191-0.00782904j -0.00997533-0.0095271j 0.00370899-0.00361936j 0.0135616+0.00405939j -0.0034604+0.00559564j 0.00297875+0.00620201j -0.024222-0.00552859j -0.0130338+0.00572663j 0.00579276-0.00745135j -0.0110932-0.00296992j -0.00851166+0.00175053j 0.00672185+0.000241172j 
-0.00827699+0.0405577j -0.0889885+0.227855j 0.00159497+0.00500642j -0.00285611+0.0133333j -0.0100676+0.0102492j 0.0161077-0.00266559j -0.000686385-0.0205767j 0.0164284+0.00868383j -0.00378694-0.00307192j 0.00381123+0.0109199j -0.000221053-0.015143j -0.00102498+0.00699385j -0.00261038+0.000418684j 0.00562835-0.00433832j -0.00818988+0.00927524j -0.0050935-0.00487374j 0.013632+0.0014054j -0.0143691-0.00160175j 0.00119754-0.00413201j 0.0023786+0.00663904j 0.000101852-0.00330785j 0.00538461-0.00469204j 0.00307021+0.00947545j 0.00478461+0.00379184j 0.000514644+0.00560718j -0.00208167+3.05578e-05j -0.00206129+0.00625623j 0.00074813-0.00368065j -0.00127445+0.00176798j 0.00383601-0.00375172j -0.00157519+0.00631613j -0.00269394+0.00164017j -0.00601825-0.00194089j 0.00479157+0.00365182j -0.0029584+0.00434495j -0.00144681-0.00722694j 0.00904743-0.00806121j 0.00319745+0.0078723j 0.00411294+0.00283475j -0.00326641-0.00308408j 
-0.0168962+0.0159557j -0.0263793+0.0926335j -0.00746374+0.00442128j -0.00486429+0.00114526j -0.00541316+0.000369479j 0.0049728-0.007602j 0.00593141-0.00541114j 0.000734129+0.00594965j -0.00274343-0.000133354j -0.0116917+0.00412093j 0.0181279-0.00535856j -0.00196358+0.0045137j 0.00618176-0.00243666j 0.00150053-0.000729117j -0.00405442+0.00919501j -0.00118558+0.00163839j -0.00666756-0.0157239j -0.0117971-0.00462713j 0.00485319-0.00300381j -0.00879372+0.00769139j -0.000555292-0.000595911j -0.00386409-0.000171129j -4.73271e-05+0.0117378j 0.00191698+0.0051053j 0.00066863+0.00364486j 0.005112-0.00431559j 0.00768723+0.0124549j -0.00517436-0.00761386j 0.00235974-0.010859j -0.00149229-0.00458942j -0.00674484-0.00391131j 0.00366465+0.00595498j 0.00810734-0.015961j 0.000950078+0.00228577j 0.00735829-0.0179861j 0.00606731+0.00875174j -0.0121751+0.00458125j -0.0100903+0.000771576j -0.0096256+0.00524394j 0.00616565-0.00247683j 
0.00866278-0.0175762j 0.0334247-0.102116j 0.00521331-0.00287112j -0.00249875+0.000315539j 0.00332598-0.00639501j -0.0206706+0.0172992j 0.00494623+0.000491121j 0.00274143+0.00251098j 0.00219391-0.00143566j 0.000614808+0.00806378j -0.00572519+0.00560238j -0.000296903-0.00207062j 0.00211419+0.00194197j -0.000988969-0.00328999j -0.00450254+0.00430799j -0.0131382+0.00141305j 0.0195657-0.0128588j -0.00065375+0.0119589j -0.00258068-0.00210341j 0.00534833-0.00136477j -0.00281385-0.0084193j 0.00419997-0.00514549j 0.0116176+0.00086082j 0.00234654+0.013803j 0.00558195-0.00489241j -0.00454816+0.00487823j -0.00131922+0.0132616j -0.00253104-0.00565578j 0.00216536+0.00108155j -0.00667461+0.00781425j -0.000835098+0.00659408j 0.00238651-0.00318795j -0.00431912-0.00838763j 0.00828784-0.00949687j -0.00398209-0.00118782j 0.00840066+0.00251524j -0.00758236+0.00846806j 0.00499518+0.00139421j 0.00246715+0.000833572j -0.00391137-0.000323573j 
-0.0200807-0.0146673j -0.0352571-0.16792j -0.0125663+0.000598158j 0.00980995+0.00684295j 0.0120133+0.00548133j -0.0177795+0.00380794j -0.015184-0.00968066j 0.0162106-0.00423867j -0.002094-0.00264609j 0.00120396+0.0159996j 7.35474e-07-0.013694j 0.00126533+0.00987542j -0.000838735-0.00328799j 0.00252252+0.000409957j 0.000123461+0.00565718j 0.00659166-0.00608704j -0.0130303+0.00747384j -0.0120581-0.0112427j 0.00195414-0.00103977j -0.00445921+0.0036977j -0.00373775-0.0021634j -0.00458716+0.00375476j -0.0061881+0.00699249j -0.00311805+0.00806829j -0.00277507+0.00270151j 0.00477318-0.0017834j -0.0018303+0.00187586j 0.00528492-0.00525522j 0.00289348+0.00267908j -0.00141684+0.00688129j -0.0044423-0.00595653j -0.00160064-0.00278546j 0.0102571-0.000888951j 0.0006583+0.00308025j 0.00548715+0.0102153j 0.00203871+0.00675651j -0.00392793-0.00423629j -0.000581435+0.000971052j 0.00022695-0.00130083j 0.00143021-0.000126855j 
-0.0386615-0.0259345j -0.0960981-0.0914467j -0.0146652-0.00141397j 0.00244916-0.00463934j 0.00504883-0.00235409j -0.00510509+0.000364554j 0.00270186+0.00485954j -0.0073173-0.000749223j -0.00258073+0.00341319j -0.0096914-0.000748037j 0.00927433+0.00222405j 0.00366264-0.00498098j 0.00229128-0.00147629j -0.00138265-0.00148654j 0.00742638-0.00544431j -0.00281569-0.00581111j -0.0047348+0.0179309j -0.00229329+0.011829j 0.000440457-0.00597805j 0.00193869+0.00830443j 0.0022424-0.00025221j 0.00524003+0.00281155j 0.00893679+0.00581744j 0.00365715+0.00273714j 0.00596496+0.000561928j -0.00400061+0.00137287j -0.00400901-0.00425662j -0.00640511+0.00557603j -0.00795227-0.00967778j 0.00785271-0.00586329j -0.0082086+0.00687924j -0.000977934-0.00312646j -0.000935219-0.00276826j 0.0078413+0.0131868j 0.00797325+0.00115352j -0.000402007-0.00481805j 0.00109083-0.00305937j -0.00763919+0.0131147j -0.00235796+0.0128633j 0.00422494-0.00952929j 
0.00717208-0.00840249j -0.0284227-0.087553j 0.00400392-0.00152009j 0.00148778-0.00183578j -0.000352374+0.00396508j 0.0104628-0.00793003j -0.00109483-0.00368717j 0.0015441+0.000417814j -0.00196944-0.000226079j -0.00959049-0.0029741j 0.00780276-0.000717853j -0.00436621+0.00150809j 0.00479811+0.00180664j -0.00125636-0.00362449j -0.000835305-0.00370016j -0.00051249-0.00427469j -0.0167567+0.0123087j 0.000752574-0.00204605j -0.000993583-0.000667076j -0.00145035-0.00328703j -0.00765082-0.00449553j -0.00710652-0.00566033j 0.00478-0.000813949j 0.00803931+0.0133894j 0.000355718-0.000971238j 0.00407114+0.0146723j 0.0119175+0.00883969j -0.00386818-0.00334575j 0.00785242+0.00305862j 0.000474472-0.000646667j 0.00183876+0.00269342j 0.000942549+0.00169444j -0.0105712+0.00323274j -0.000364001+0.00424943j -0.011659+0.00696942j -0.00662958-0.00757319j 0.0132883-0.00655089j 0.00294871-0.00232834j 0.0011937-0.00513817j -0.00111316+0.00206544j 
0.00423733+0.0681696j 0.0744405+0.220791j -0.0027039+0.024542j 0.0116259-0.00658558j 0.00454926-0.0030409j 0.00628747+0.00686628j -0.0172959+0.00462866j 0.00882494-0.0143985j -0.00158975+0.0027931j 0.0175713-0.00639201j -0.0163443-0.00730488j 0.00609547-2.77239e-05j -0.00172321+0.00557117j -0.000179719-0.00511062j 0.00296138+0.00121602j 0.0040388-0.00142924j -0.00749181-0.000201949j 0.00230166-0.000397009j 0.00393311-0.00773244j -0.00354688+0.0069297j -0.00587678-0.00610558j -0.00394331-0.0133029j -0.000116462-0.00669258j 0.00470882-0.00304543j 0.00378497-0.0113674j -0.00109542+0.0104992j 0.00609943+0.0133061j -0.00791231+0.00856992j -0.00854563-0.0137489j 0.0022368-0.00519189j 0.00739785-0.00313152j 0.00556473-0.00297815j -0.00255658+0.00133379j -0.00484116-0.009824j 0.00248621-0.00208284j -0.000399498+0.00253122j -0.00844048+0.0014418j -0.00608587+0.00404301j -0.00326024+0.00988327j 0.00231909-0.00340434j 
