0.0338001-0.0362864j -0.25783-0.0427655j -0.175863-0.0282422j 0.198215+0.195586j -0.277924+0.11863j -0.105968+0.319842j 0.128145-0.290291j -0.232852-0.185278j 0.191541-0.123675j -0.218303+0.103497j -0.00692669+0.0772259j -0.0454232+0.0150697j -0.0810448-0.0280784j 0.100085+0.0209715j -0.195009-0.0189679j -0.0992617+0.0290303j 0.00600055+0.0236565j -0.047208-0.0154366j 0.0114554+0.0232061j -0.0821774+0.0128081j 0.124083-0.0359658j -0.0659261+0.0176185j -0.0651266-0.0161207j 0.0312401-0.0529061j 0.037993-0.0430408j 0.0174564-0.00642757j 0.0244264-0.0137524j 0.0431101-0.012923j -0.0716388+0.0256528j 0.0426258-0.00428143j 0.0540691+0.0214239j -0.0344463+0.00693135j -0.0544381+0.0286621j -0.0858767-0.00829129j 0.0524929+0.0828277j 0.0171428+0.0313619j -0.00517725-0.0625024j -0.0624859+0.010084j -0.00751788+0.130858j 0.240333+0.0526056j 
0.0165715+0.113775j -0.202766-0.00802236j -0.170143-0.0527547j -0.279619+0.0799385j 0.237113+0.408724j 0.177027-0.442131j 0.363143+0.0636643j -0.307873-0.0805971j -0.0664812-0.125784j -0.0553588-0.176042j 0.0290724-0.11556j 0.0061707-0.0649596j -0.0753677-0.0277026j 0.0830698+0.0227306j 0.0526855+0.00379976j -0.0644769+0.00932841j -0.0211255+0.0214194j -0.0826703+0.0144767j -0.0893093-0.024311j 0.00269833+0.111588j 0.00941456+0.0138479j 0.018738+0.00558437j 0.0351929+0.0277518j 0.0220339+0.0351864j -0.0739202+0.0513344j -0.0155091+0.0183995j -0.0334887-0.0266698j -0.00260615-0.0229788j -0.0983264+0.00317017j 0.0218006-0.0131291j -0.0190617+0.0371766j 0.0457987+0.00894246j 0.066704-0.00763717j 0.00859787-0.027649j 0.0159632+0.0224177j -0.0353192-0.014804j 0.0499188+0.0225711j -0.0662424+0.0412383j 0.0959044+0.0237144j 0.0194906-0.0250169j 
-0.00794688+0.029688j 0.137043+0.0112451j 0.0176896+0.00646523j 0.0242921-0.174661j 0.119136-0.100219j 0.0833011-0.280374j 0.0488362+0.211353j 0.186436+0.0688026j -0.278499+0.0773987j 0.0545559+0.00532272j 0.00155031+0.149008j -0.0760328+0.0377341j 0.0377875+0.0681585j 0.10343-0.030898j -0.22944+0.0112384j -0.11421-0.141084j -0.0491687-0.0566615j 0.0703338+0.084009j 0.0587764-0.0829509j -0.0128068+0.0527373j 0.127087-0.0499934j -0.0585278-0.0203019j -0.0270658-0.0914756j -0.00970141-0.0487639j -0.0419367+0.0332663j -0.00751288+0.0678212j 0.0241733+0.0598425j 0.0279285+0.0143916j -0.0897001+0.0495568j -0.0160687+0.00706327j 0.0697422-0.000909127j -0.0420047+0.00855287j 0.00815474+0.0394994j -0.0588116+0.0846977j 0.0980883+0.0456469j 0.0388243+0.00854319j 0.0535025-0.10713j 0.0679159+0.0274953j -0.118205+0.151343j 0.287203+0.144356j 
-0.0322475-0.0482003j -0.00882147+0.0380174j -0.113117+0.0502369j 0.0817555-0.159453j -0.0594078-0.181786j -0.0484714+0.0288095j -0.0642693+0.0334924j 0.220235+0.00458884j -0.134899+0.0602336j 0.0594548+0.0689142j 0.04983-0.153549j 0.132035+0.0198217j -0.266179-0.0588996j 0.0929755-0.0339961j 0.125204-0.032647j 0.068635-0.0772344j -0.223515-0.0642047j 0.0377+0.0307477j -0.0163558-0.0293864j 0.00600676-0.0353446j 0.0859007+0.00904149j 0.00816263+0.00595874j 0.00707172+0.0111809j 0.0842044-0.0974414j -0.0491181-0.0116648j -0.00671741-0.124943j -0.0374571-0.103246j 0.0540171+0.0213477j -0.109142+0.0225291j 0.0307129-0.0290695j 0.070967+0.0703071j 0.115858+0.00120318j 0.0375797-0.0543348j 0.0260739-0.112987j -0.0747918+0.00586316j 0.0171768-0.0113231j 0.165382+0.124682j -0.175438+0.147521j 0.285282+0.110598j 0.028291-0.0876237j 
0.0992577+0.00392927j -0.0908793+0.0343165j -0.156051+0.0419364j -0.178572-0.0497196j 0.0925672-0.0337958j 0.0769267-0.00761849j -0.0906742-0.0600287j 0.146955-0.0165077j 0.226716+0.0044663j 0.0340717-0.0117786j 0.0298306-0.0913493j -0.517419-0.000823627j 0.294815+0.0399432j 0.0998733+0.00588786j -0.39879-0.0067658j 0.256279+0.0275165j -0.345889-0.0383371j -0.0647781-0.0162619j -0.0247444+0.0331888j -0.0112353-0.0197025j -0.0970937+0.00614782j -0.00889181-0.0324489j -0.051931+0.0253216j 0.0244498+0.0222018j 0.0120884-0.0260733j 0.016288+0.0115996j -0.00303575+0.0311903j -0.024474+0.00439239j 0.119569-0.0729754j 0.0210968+0.0085849j -0.0191883+0.0239358j -0.0119122-0.0606483j 0.0707633-0.0813037j -0.00557478+0.0497297j 0.0147274+0.00630216j 0.0438735+0.0388998j -0.0211107-0.00382006j 0.0312764+0.037778j 0.0497997+0.0139677j 0.00267872-0.0222085j 
-0.0078495-0.00977893j -0.0969177-0.0120092j -0.0716775+0.0120334j -0.101528+0.0118632j 0.0429291-0.0424769j 0.00665148+0.100857j -0.0448457-0.071253j 0.0515242-0.0284769j 0.151074-0.0168876j 0.0352542+0.0320841j 0.130887-0.309848j 0.0739453+0.00786541j -0.181828-0.0287617j -0.00941647+0.0165342j 0.410634+0.00234883j 0.282931+0.0240538j -0.279344-0.0172282j -0.0391345+0.00419428j -0.0802269-0.0198452j 0.0364365-0.00225438j -0.100605-0.00264624j 0.0259861-0.0836683j 0.0622542-0.00107075j 0.028395-0.0613869j -0.020542-0.0164131j -0.0262641+0.0679607j 0.00685943+0.0668074j -0.00308019-0.00861358j -0.0642946+0.0330606j 0.0768247+0.0138128j 0.00890911+0.00366519j -0.117254+0.00541353j 0.0204756+0.108745j -0.00149225+0.0620193j 0.0538406-0.0227692j -0.0834778+0.0706429j 0.122198-0.0889249j 0.108207+8.02971e-05j -0.105354-0.000842595j 0.113803+0.0776841j 
0.0172097-0.00371838j 0.115478-0.00807142j 0.192943-0.0286922j -0.0585917+0.0480642j 0.0650785+0.0751511j -0.0141823+0.0315002j 0.0190013-0.0966632j -0.0568-0.0558242j 0.0854298-0.032677j 0.0910555+0.0298237j -0.0110177+0.0439445j -0.015084+0.0112682j 0.387735+0.0761072j -0.22298-0.016204j 0.167535-0.00442594j 0.159339+0.00861542j 0.314638-0.00175049j -0.0866803+0.0241936j 0.0252012+0.00362314j 0.0199632+0.0121524j -0.397486-0.00118049j 0.00328189-0.0394313j 0.0867238-0.040533j -0.0131963-0.00765122j 0.0945558-0.00724185j -0.00499729-0.0398515j -0.0304182-0.0451338j 0.0267867+0.00316737j -0.00891009-0.000285435j 0.20293-0.0403299j 0.031422+0.0225986j -0.0142062+0.0457419j 0.036977-0.0656314j 0.000741362-0.0139638j -0.0909861+0.0332293j 0.0301319-0.0529503j 0.193044+0.0267265j -0.0395082+0.0490705j 0.0921731+0.0653229j 0.0506258+0.0210258j 
-0.0287277+0.00884173j 0.00317462+0.0405996j 0.020185+0.0502539j -0.0238548-0.00073093j -0.072582+0.00692157j -0.0297683+0.0147715j -0.0363308-0.0480529j -0.0250196-0.0222277j -0.137796+0.0322444j 0.0567552-0.0411566j -0.0480313+0.0438687j 0.107001-0.0169204j -0.0259318-0.0356657j -0.0454529+0.0335276j 0.0122344-0.0100761j -0.14312-0.00950636j 0.160567-0.0207955j 0.0242357+0.00396188j -0.0285794-0.0208675j 0.0332799-0.0161977j -0.120928+0.00332165j -0.029922+0.132267j -0.0178614+0.0634197j 0.135433+0.0296504j 0.0136925-0.0679396j -0.0245277+0.0759966j 0.00296663+0.0723022j 0.0471848+0.163087j 0.131853-0.190756j -0.0432772+0.0607906j -0.0938836+0.249969j -0.0882093-0.0444195j 0.148295-0.0529796j -0.244901+0.0722887j -0.00901066+0.0306484j 0.0915141+0.150594j -0.0701422-0.106273j 0.267219+0.0279319j 0.0962907-0.00490262j 0.078108-0.0731534j 
0.00796685+0.0112161j 0.0673761-0.0118896j 0.0317801+0.0278082j -0.0535713-0.0322985j 0.0976046+0.010538j 0.034804-0.017319j 0.00464339+0.031589j 0.0557949+0.0409386j 0.0124007+0.0101857j 0.0720314-0.000804951j 0.0279219-0.113031j 0.0539921-0.00208594j 0.0326396-0.0189046j -0.0510288-0.0412578j 0.142452-0.0128034j 0.0779626+0.0414412j -0.0277589+0.0375509j 0.018674-0.0221846j -0.0557695-0.0418274j 0.053737-0.0185387j -0.123949+0.0102829j 0.0232815+0.0216854j -0.0295085+0.000471275j -0.0717563+0.0239039j -0.0122059+0.0579235j 0.19058+0.0173208j 0.160525-0.0729988j -0.0136544-0.0532991j 0.0173263+0.0197358j 0.0746669-0.00205617j -0.0180731-0.105381j 0.00701823-0.22686j -0.274089-0.102678j -0.207948-0.214007j -0.0141203+0.409932j 0.0740014+0.229014j -0.248387+0.0411007j -0.0912795-0.178083j 0.0129101+0.05393j 0.100289-0.0695584j 
-0.015759-0.0331379j 0.0552467-0.0269576j 0.103777-0.0360936j 0.030175+0.0418766j 0.0494+0.0246568j -0.0404559+0.0311518j -0.112976+0.0131189j -0.0291839+0.0567022j 0.125115+0.0128804j 0.063025-0.028452j 0.00570984-0.0389131j -0.00353408+0.00329766j 0.13165+0.0216056j -0.0316944-0.0468881j -0.090732+0.0159235j -0.0576774+0.0289172j -0.0588834+0.059676j 0.0811926-0.0243908j -0.0339355-0.0190127j 0.0859455-0.0630204j 0.0154337-0.0161192j -0.0798774-0.0520361j -0.0808063-0.125211j -0.15261+0.09726j -0.0727721+0.0713614j -0.0908842-0.0813763j -0.0457679-0.0411128j -0.0889613-0.0980565j -0.232486-0.178845j 0.00169598+0.0884719j 0.162583+0.332167j 0.137093+0.0531684j 0.229117+0.195283j -0.0105758-0.230263j 0.202808+0.144194j -0.205333-0.0884558j 0.00251242-0.0359289j -0.0347329-0.0759994j 0.128131-0.0282655j 0.0486134-0.0438547j 
-0.0115687+0.0175622j -0.0362828+0.0113282j -0.0528325+0.0537764j 0.0645724-0.0750408j -0.0736768+0.0173237j -0.0813569-0.0622137j 0.0233679-0.0130698j 0.11611-0.0423252j -0.106098-0.0367192j -0.0244087-0.0047616j -0.0198958+0.0337695j 0.0832812-0.0150294j -0.0634009-0.0480004j -0.00188089-0.0158257j -0.0425896-0.00883977j -0.00868786+0.00678792j 0.13457-0.0162883j -0.0725535-0.00610691j 0.029349+0.124432j -0.048909-0.0995996j -0.121813+0.0445938j -0.0748635+0.0304598j -0.00587711-0.036462j -0.0817122+0.118278j -0.198252-0.111404j -0.0379441+0.0744298j -0.0543758+0.0344121j -0.0269711-0.581835j 0.198955-0.0915366j 0.130008+0.16359j 0.0368509+0.0306096j -0.214612-0.10757j 0.102063-0.108155j 0.194994-0.0407523j 0.221574-0.00613647j -0.0924037+0.0647021j -0.0189232+0.000503969j 0.0161401+0.0216105j -0.0904257+0.0148021j -0.0272205+0.0141649j 
