0.208559-0.554601j 0.624183+0.231899j -0.188316+0.329476j -0.173843-0.203079j -0.0160017+0.1061j 0.0959642-0.00382172j 0.00273477-0.0270305j 0.0122577+0.0534733j 0.058065-0.0761464j -0.0583568-0.0612747j -0.00343782+0.0131703j 0.00239543+0.0668033j -0.0101511-0.00739509j 0.0412951-0.0331664j 0.00104132-0.00878382j -0.0279373+0.00136714j -0.0173762-0.0301567j -0.00355263-0.00325779j -0.00485172-0.00138502j 0.00824107+0.0339286j -0.05619+0.0193338j 0.0134485-0.00889577j -0.0157226-0.0460641j -0.0142877-0.039582j 0.00133635-0.00172636j 0.000774505+0.0361333j -0.023378-0.00509965j -0.0243304+0.0306032j 0.029152-0.0196254j -0.00510314-0.0123676j -0.0198953+0.00991941j -0.00178795-0.00587293j 0.00121596-0.0154948j -0.0271446-0.00256023j 0.0256743+0.029734j -0.00571275+0.0266207j 
0.064355+0.182324j 0.161846-0.00130525j 0.0507404+0.305902j 0.066702-0.116911j 0.0103928-0.518457j 0.0951856-0.115464j 0.00937996-0.347794j -0.0108609-0.210251j 0.0642433+0.0986886j 0.024857-0.0620884j 0.0246493+0.010069j 0.0472912-0.0808916j 0.0091363-0.127121j 0.00841077+0.0165032j -0.154046+0.0466659j 0.111427-0.0684326j 0.011343+0.0914011j -0.00135011+0.0364893j 0.0175039+0.0445011j -0.0132758-0.0411365j -0.0258241-0.00890629j -0.0804023-0.0403121j -0.0185437-0.0482949j -0.0129052+0.0777999j -0.0291732+0.0874591j 0.00524389-0.0679949j 0.0448948+0.00895654j 0.0172293+0.00926895j 0.00512172+0.0561151j -0.0297641+0.0541698j -0.0276809-0.0407298j -0.0496723+0.0203333j -0.0421177+0.0287915j 0.100808+0.0126378j -0.163285-0.146143j 0.0966445-0.151339j 
-0.00170634-0.126771j -0.0362913+0.0265018j 0.0893908-0.0691125j 0.0832767-0.0230529j 0.0259552+0.416465j 0.0681587+0.0927314j 0.0410124+0.417617j -0.0120907+0.0446842j 0.0729569-0.0748338j 0.00961755+0.0895449j 0.0159387+0.145096j 0.0321742-0.080139j 0.0331779-0.17506j -0.00580993-0.0618412j -0.0579249-0.0603824j 0.0973955-0.200144j 0.0547336-0.0682667j -0.058892+0.0944884j 0.0253952+0.0604696j -0.000373752+0.0775077j 0.0337729-0.0514321j -0.0993305-0.0734012j -0.0421759-0.0428619j 0.0255499+0.0965511j 0.00914854-0.0259344j -0.0221881-0.0546461j 0.0403015+0.0729616j 0.0144597-0.00762406j 0.0154862+0.0214908j 0.0163745+0.0607698j -0.0709559+0.00855901j -0.109404+0.00963694j -0.0265835-0.0379675j 0.0415041+0.0439638j -0.181842-0.126468j 0.125209-0.161423j 
-0.0936365-0.00815268j 0.0107117+0.0637701j -0.0537929+0.0538587j 0.0684752+0.112542j -0.0464355+0.0403632j 0.0499893+0.0174137j -0.0283647-0.00465739j -0.0640462-0.139939j 0.158656+0.0924598j -0.183131+0.168502j 0.116343-0.0856682j -0.191538+0.136959j -0.191751-0.19711j -0.131765+0.116265j 0.0786963-0.111125j 0.0328227-0.0204216j -0.0425071+0.00223196j 0.112825+0.0455089j -0.0904795-0.182785j -0.0405923-0.0829147j 0.0731513-0.0364412j 0.0554024-0.0312604j -0.144308+0.0199573j -0.103824-0.0877747j -0.00974273-0.0153364j -0.0484819-0.0830096j 0.0136509-0.0560899j -0.0450265+0.00613491j 0.0207181+0.0185987j 0.0104825+0.00228813j 0.0985426+0.11511j -0.0335996+0.0610912j -0.0871661+0.0287054j 0.0621368+0.122565j 0.153594-0.158463j 0.183792+0.138148j 
0.0497256+0.11507j 0.0372553-0.0561358j 0.0550222+0.11053j 0.108556-0.0126386j 0.0152478-0.042255j 0.0671214+0.0635041j 0.0237972+0.0465346j 0.00312909+0.133414j -0.125996+0.119115j -0.0871363-0.0932889j -0.182265+0.184867j -0.324706-0.0842483j -0.42018+0.0868471j 0.167996-0.262001j 0.00498495-0.218975j 0.0361471+0.159174j 0.108011-0.0151779j 0.0949625+0.181906j -0.0064545+0.118942j -0.0333535+0.123579j 0.0132456+0.0176978j 0.12323+0.0942663j 0.0741212-0.0565369j -0.110726+0.0150919j -0.00494653-0.012591j 0.0262682+0.0618681j -0.111348-0.0262737j 0.00969638-0.0450349j 0.013687-0.0265052j 0.00839928-0.0234029j -0.0465251-0.0384094j 0.0258363-0.0595179j 0.122907-0.0879556j -0.0447557-0.0971199j -0.000113517-0.0751573j 0.0647527+0.0496368j 
0.018214+0.0178508j -0.030415+0.012624j 0.0323907+0.125813j 0.1005-0.00862582j -0.007861+0.0230466j 0.0245599+0.0129559j -0.0119435+0.0260807j -0.113896+0.16536j -0.136963-0.279947j -0.221556-0.0277012j 0.583873+0.0575038j -0.0267105-0.111337j 0.300551+0.136284j 0.119743+0.178905j -0.022094-0.15365j -0.0358452+0.0148792j 0.00996116+0.15681j 0.0819819+0.158724j -0.0914855+0.141751j -0.236939-0.0293406j 0.0293565+0.0443267j 0.0863069+0.066455j -0.0646346-0.0355926j 0.0626361-0.0255015j 0.00141258-0.0398386j -0.0105561-0.00417552j 0.0184805+0.0349729j 0.000999935+0.0256267j 0.0140712+0.0114549j -0.00867716-0.0353762j 0.0257385-0.0208112j 0.067207-0.0342766j 0.0736053+0.046919j 0.044212-0.0742616j -0.00529991-0.0402189j 0.0177993+0.0231222j 
0.0196415+0.0101499j 0.0318719-0.0522435j 0.00168161-0.0359649j 0.0367125-0.0502364j 0.0423279-0.00827752j 0.0322081+0.00748442j -0.0576245-0.0208324j 0.0415501+0.157788j -0.0319509-0.135412j 0.243504-0.0129818j -0.142379-0.0718295j 0.227777+0.00119893j 0.0192466+0.378642j 0.227309-0.0417874j -0.0682757+0.0937112j -0.0542-0.0210218j 0.127925+0.0261578j -0.00156063-0.0217305j -0.0188549+0.255684j 0.0627979+0.0397951j 0.0208821-0.0341251j -0.216422-0.00666805j 0.053076-0.127407j 0.0310135+0.00726496j -0.0133777+0.0227661j 0.0482054-0.0297667j 0.100039-0.0325032j 0.0333289-0.0475522j 0.0389363-0.00292991j -0.00152814+0.0370837j 0.0303977+0.055897j 0.0255775-0.043772j -0.0596831+0.0474855j -0.0164822+0.0599278j 0.140425-0.0487714j 0.0607681+0.151692j 
0.0176306+0.0278801j 0.0159499+0.00696291j 0.0832616+0.0735146j 0.0630394-0.100208j 0.0326476+0.0613726j 0.0333833+0.0621886j -0.0579397+0.108585j 0.0858299-0.0759836j 0.106001+0.0738583j 0.117589+0.107751j -0.0470636+0.132641j 0.196209-0.0589248j 0.0641301-0.272327j -0.0464337-0.0406266j -0.206896+0.101881j 0.167375-0.335434j -0.022242+0.018153j 0.0683545+0.236924j -0.0686135-0.000307902j 0.0897452+0.108482j -0.0554174-0.0218054j -0.00844475-0.0248205j 0.10805-0.0186094j 0.0400791+0.15392j -0.0407679+0.0631779j 0.0566626-0.177257j 0.0242227-0.0621851j 0.0201593-0.01055j 0.0112871-0.102536j 0.0170359-0.0830929j -8.32199e-05+0.0346462j 0.0960261+0.00751892j 0.0685111+0.123216j -0.00555394-0.118425j 0.0533514-0.0167759j -0.00619773+0.0989563j 
0.00787874-0.00453614j -0.00776548+0.0224133j 0.0265656-0.0527228j -0.0104506-0.0495405j 0.0555361-0.0169791j 0.0908819-0.0518069j 0.0144837+0.0113111j -0.0213946-0.13354j 0.102916-0.000837304j 0.0368329+0.0753436j -0.0056332-0.143471j 0.130692+0.154255j 0.168108+0.0299105j -0.084139+0.122595j 0.190914+0.120734j 0.00774787+0.00830261j 0.00230865+0.023342j -0.131908-0.260514j 0.0653372-0.0733879j 0.0517503-0.0878941j 0.00740992+0.0934662j 0.0272031+0.0064329j 0.0956134+0.0849317j 0.121977-0.0672399j 0.00251485-0.0140087j 0.070537+0.144971j -0.0823409-0.0253378j 0.00488362+0.0167644j 0.0674584-0.0930328j 0.0585781-0.153697j -0.0834451-0.0676272j 0.0677046-0.1151j 0.190999-0.14321j -0.111743-0.152848j -0.0294098-0.0887651j 0.103703+0.107558j 
-0.00489915+0.0914061j -0.0543412-0.0159536j -0.00605926+0.0571668j -0.00170101-0.0217188j 0.0224088-0.110638j -0.0129544+0.0222301j 0.0175564-0.0882782j 0.0203957-0.0338764j 0.0253872-0.0204318j -0.0609139+0.0224051j 0.195184+0.122019j 0.035435-0.123065j 0.0656545-0.0507261j 0.048096+0.0424744j -0.123504-0.00910375j 0.0792865-0.150473j 0.0841537+0.0844438j 0.0409874+0.0985865j -0.0899333+0.107457j 0.0382468+0.040586j 0.193428-0.0730669j -0.0587055-0.159085j -0.0134604-0.0414775j 0.0362241+0.0849187j 0.0284136+0.0477483j -0.0177791+0.128424j -0.0927426-0.125315j -0.0249266-0.0312621j 0.060328-0.0593041j 0.0727958-0.0285266j -0.163614+0.0473368j -0.0695992-0.00134539j -0.0836518-0.225253j -0.192478+0.0782857j 0.0606821+0.0535191j 0.00583333+0.057109j 
-0.0227502+0.0158028j -0.0397578-0.00780879j 0.0161303-0.0153411j -0.0279154+0.0313933j -0.0168438-0.0536855j 0.03161+0.0133161j 0.00405278-0.0110288j -0.012157-0.01729j -0.0288013-0.0303924j 0.0268173-0.0139549j 0.0810219-0.0041531j -0.0595848+0.00380824j 0.0497561-0.00735239j -0.0545277-0.0659377j -0.0141169+0.0298645j -0.0144205-0.0112787j -0.0110374-0.0671854j -0.0443619-0.00383342j 0.0638624+0.0801935j 0.0184397-0.0147593j -0.219172+0.106536j 0.0129825-0.00610524j 0.217144+0.0532826j -0.132278-0.0611881j 0.172375-0.24144j 0.0750657-0.197153j 0.00458279+0.243324j 0.138281+0.112061j -0.0633443+0.0891652j -0.245174-0.23816j 0.10135-0.067578j 0.0478289-0.0350134j -0.0397641+0.078443j 0.0570639+0.00171425j -0.025754+0.0225886j 0.0159303-0.00534052j 
