-0.069593-0.0165114j 0.00702755+0.0120201j -0.013223-0.0425725j 0.0217983+0.0548923j 0.00327384+0.0237466j 0.0225264-0.0289267j 0.00515018+0.0278492j 0.0188004-0.0429627j -0.0198696+0.0173417j -0.00384195-0.00123858j 0.0405296+0.00180817j -0.0094267+0.00496798j -0.00755191-0.0328231j 0.0056675+0.0123209j -0.0533876+0.0172912j -0.00961053-0.00977331j 0.00770035-0.0154402j -0.0147983+0.00589281j 0.000795178+0.00416408j -0.0144754-0.00426295j -0.0049706-0.00922702j -0.0169073-0.00327519j -0.0028034+0.00629634j -0.0275205+0.0104271j -0.0190244-0.00039077j -0.0161534-0.000418955j -0.0251665-0.00823482j -0.000708407-0.0100743j 0.0153844+0.00838277j -0.0139216+0.0194996j -0.0212047+0.00379265j -0.0123689+0.00907374j 0.000793339+0.00425165j 0.00129198-0.00821661j -0.00368144+0.00679855j 0.00249448+0.000646225j -0.0057092-0.00515621j 0.00339344-0.00495366j -0.0163596+0.00857654j -0.00162819+0.000749066j 0.0105454+0.0031353j -0.00780968+0.0154751j -0.00717522+0.0128375j -0.0045377-8.11739e-05j 0.0109574+0.00229852j 0.00785413+0.00372624j 0.000995439+0.00180026j -0.000385028+0.00776092j -0.00407627-0.00149881j 0.0287846-0.00888826j -0.00536872+0.00931909j 0.0154457+0.000532479j -0.00819123-0.00344729j 0.00930937-0.00711765j -0.00827037+0.00450911j 0.00359602-0.00767633j 0.00768359-0.00433429j 0.00106416+0.000995149j -0.00398128+0.00353207j -0.00399999-0.00177448j -0.0245007+0.00176517j -0.0119329-0.0116991j -0.0128953-0.0178094j -0.0146478-0.00550144j 0.0204559+0.00646272j -0.0216627-0.00821692j 0.00889255-0.0237915j 0.00637851-0.00256138j 0.00659729+0.0154953j 0.00776148-0.0232785j 0.0281629+0.0106669j -0.0320303-0.0603889j -0.0151024+0.00331321j 0.00934131-0.012399j 0.0192666-0.0136723j -0.0540783+0.00665177j 0.0136433+0.0227671j 0.0410256+0.0435628j -0.0826413+0.0060048j -0.0523074+0.0774379j 0.0396353-0.070063j 0.0637362-0.0300255j 0.0714566+0.0477508j 0.0384175-0.0916514j 0.0028177-0.0786309j -0.059025+0.00660117j -0.0545741+0.0816671j 0.0784572-0.0368143j -0.0627743+0.00250818j 0.100112-0.113751j -0.199729-0.135079j 0.0699297+0.146966j 
-0.0133417-0.00783928j -0.07622-0.00530959j 0.0263124+0.0370665j 0.0136301+0.0364242j 0.00226964-0.00828315j 0.00951873+0.0130789j -0.0193563+0.0631428j -0.00870156+0.0183182j -0.0288886+0.0236107j -0.0121703+0.00377429j -0.0452622+0.0375969j -0.0113322+0.000610741j -0.000853254+0.0136037j -0.00274889+0.0482385j 0.00256461-0.015484j 4.89831e-05-0.00609759j -0.00491335+0.00150738j 0.0110184+0.00726263j -0.00813829+0.00299541j 0.0100786-0.0103861j 0.0147082+0.00230248j -0.00030623-0.0300356j 0.0141301-0.0213546j 0.00740614+0.00624566j -0.0107151+0.0007163j 0.00948605-0.00797489j -0.00956059-0.014342j -0.00205313-0.000101577j 0.0154028+0.00328911j -0.0168563-0.00337769j -0.000366768-0.0149154j 0.00863146-0.0109165j 0.00470047+0.0055863j -0.0175034-0.0012347j -0.000525642+0.00376822j -0.00712095+0.00978106j 0.00803615+0.00298521j 0.00268174-0.00219597j 0.00145196-0.00252164j -0.00440956-0.00801392j 0.00303883-0.000375739j 0.00588114+0.00158044j 0.00822151+0.00758524j -0.00253938-0.00855586j -0.00187253+0.00432426j 0.00330646+0.00893549j -0.0158206-0.00608989j -0.0138929-0.0191256j -0.00389209-0.00795046j 0.00803941+0.00431631j -0.0130784+0.0158355j 0.00232749+0.00446669j 0.00790282-0.00430615j -0.00843953+0.00131889j -0.00652327-0.00578661j -0.00908408-0.00546039j 0.0226512+0.000891232j 0.0124337-0.00342415j -0.00329266-9.80085e-05j -0.00888523+0.00531103j -0.00462077+0.00807308j 0.00194917-0.0176616j 0.0191841-0.0144377j 0.00254519-0.0144073j 0.0254562-2.13514e-05j -0.00874097-0.0187566j 0.0226287+0.0310457j -0.01884-0.0195959j 0.0153439+0.0255988j 0.00624314+0.00969524j -0.00669033+0.040398j 0.0374715-0.00963507j 0.022868-0.00198751j 0.0106963+0.030481j 0.0191273+0.024367j -0.0136718-0.0458597j -0.00156036+0.000639767j -0.0128863+0.0643581j 0.0455043-0.10026j -0.0795394-0.0152494j 0.0632814+0.00363801j -0.00439271+0.0840555j -0.0383903+0.0422455j 0.112523+0.0644689j 0.0570134-0.0141335j 0.0268231-0.0891729j -0.110759-0.00850367j -0.0240618+0.0512187j -0.0952557+0.0948531j -0.0273395+0.0132628j 0.0722297+0.131458j 0.200243+0.123286j 
0.0438892-0.00121989j 0.0378977-0.0193277j -0.00633308-0.00611957j 0.0107283-0.00878722j -0.0321333-0.0428203j 0.00589549-0.0138247j 0.00549438-0.0390784j -0.00991324-0.00760474j 0.0267757+0.0138862j -0.00749644-0.0297792j 0.0450369-0.0347951j -0.0124185-0.0588358j 0.00805305+0.0121257j -0.0147629-0.0428689j -0.034654+0.0394048j 0.0135208-0.0412955j -0.0241588-0.0262226j 0.00357447+0.000828922j -0.000814812-0.0107514j -0.0131206-0.0118985j -0.0115194+0.0012546j -0.00951355+0.014638j -0.0173447+0.0233478j 0.00559853-0.0199598j -0.0233647-0.0021727j 0.00649988+0.0244972j -0.0286738+0.0234688j -0.00878064-0.0159561j 0.0318374-0.0141782j -0.0215316+0.0248498j -0.0236289+0.00818147j -0.000374433-0.0163962j 0.0361368-0.00259131j 0.006003+0.00769558j -0.00712595+0.00818901j 0.00685841-0.00234321j 0.0293195-0.0124139j 0.0155124+0.0129068j -0.00183249-0.00527073j 0.00422417+0.010589j 0.0211711-0.00831505j 0.0128728+0.00406615j 0.00473139-0.015644j -0.00881286-0.014007j 0.0201618+0.00297544j 0.0190714+0.00517436j -0.0184008+0.000276638j -0.0199643+0.0132136j 0.00765494-0.0183244j 0.0231169+0.0118194j 0.0117327-0.0216579j 0.0155603-0.0119895j -0.00964298+0.00584898j -0.000239293+0.0236544j 0.00171511+0.0152475j -0.00112025-0.000971631j 0.0170264+0.00400365j 0.0167735+0.00399864j -0.0206929+0.000115196j 0.0198504+0.0173934j -0.0379278-0.0217916j -0.0211461+0.00340311j -0.0382942+0.0154238j -0.0200501-0.0183701j 0.0118101+0.0102241j -0.0307006+0.0327623j 0.0337692-0.0300499j -0.0190361-0.0341916j 0.0299279-0.00233171j 0.0201055-0.0603502j 0.0475548-0.0611357j -0.00367917-0.018327j 0.020802+0.0051724j -0.0211991+0.0689076j -0.00380379+0.0286239j 0.0196371+0.0317459j 0.0221836-0.084251j 0.00354596-0.0633707j 0.0440566+0.0278862j 0.00171684-0.0167852j 0.0555251-0.0311488j 0.0208817-0.0796795j -0.16046+0.0316926j 0.0397388+0.016864j 0.0927974-0.0372548j -0.0030913+0.104899j -0.114984+0.031269j -0.101067-0.0157463j 0.0566168+0.0651146j 0.0897549-0.0233287j 0.207547+0.0633283j -0.0411011-0.163296j 
-0.0305263+0.0245826j 0.0516392+0.0133836j -0.0101238-0.0386199j -0.03711+0.00721148j 0.0255079+0.0247219j -0.0743132-0.0481396j 0.00361132+0.0456736j 0.00393028+0.029647j 0.0076644+0.0393962j 0.00685314-0.0300961j 0.00880132+0.0196204j 0.00622516+0.0475746j -0.0296968-0.0264076j 0.0141627-0.0105187j 0.0165975-0.0392841j 0.0189426-0.00466055j 0.0155858+0.00926222j 0.0194631-0.0107262j -0.0185955+0.0141478j 0.00154304-0.0276184j 0.00179659+0.0125535j -0.00850273-0.0182624j -0.00289872+0.00919418j 0.00933334-0.0246078j 0.0018787-0.00859126j -0.0157508-0.0108012j -0.0216009-0.0287355j -0.0141475-0.0278174j 0.0153048+0.00964862j -0.012472-0.00680212j 0.00536995-0.0108575j 0.013416+0.0170628j -0.00706242+0.00234255j 0.00144134-0.000547296j -0.00597522-0.00317832j -0.0130196-0.0136335j -0.00172204-0.012426j -0.0114588-0.0114909j -0.00315411-0.00533917j -0.00139471-0.00592165j 0.00695994+0.0222239j 0.012114-0.00923915j 0.014589+0.0179422j 0.000752233-0.000445868j 0.00410309+0.01347j 0.00901578+0.0190968j -0.0145938-0.0115267j -0.0167237-0.010786j 0.0107263-0.00879465j -0.00305683-0.00364129j 0.000969713-0.0058913j 0.00544506+0.033087j -0.0102258+0.00507635j -0.018586+0.000861301j -0.00550165+0.00913707j 0.0146663+0.0345694j 0.00414993-0.00676033j 0.00734609+0.00616795j -0.0315645-0.0031374j -0.0078354+0.0423764j 0.00713381-0.0192636j 0.00336973-0.0289857j -0.0414422-0.0428766j 0.0118222-0.0174414j -0.0121962-0.0199111j -0.025697-0.0323236j 0.0459764+0.0120541j 0.0126536-0.0435715j -0.0444922+0.0511085j 0.0552866+0.0294183j 0.0763817+0.0298231j -0.00239876+0.0188711j -0.0332352+0.000281861j -0.00735234+0.0255547j -0.0037417-0.0337602j -0.0140519+0.0118887j 0.0748048-0.0086896j 0.0486023+0.039708j -0.0146609+0.0630697j 0.0243748+0.0203728j 0.0151976+0.0677541j 0.0685777+0.015318j -0.0546462-0.145974j -0.0548608+0.0105506j 0.103102-0.00199724j 0.0358724-0.031915j 0.102529+0.0322905j -0.0349721-0.0290698j -0.0524735-0.0403525j 0.0742668+0.0945414j -0.0383028-0.158236j -0.202007-0.0656714j 
0.00260767+0.00864796j -0.033472+0.010173j 0.0220059+0.0134903j 0.0165193+0.0160807j 0.00130658-0.0137869j -0.0200224-0.00378926j 0.0118013+0.0485107j -0.00149942+0.0201395j -0.00831457+0.0118356j 0.0127537-0.0215763j -0.00332993+0.0340961j 0.0221688+0.00180249j 0.0273829-0.000954999j -0.0171002+0.0099496j 0.00213174+0.00332228j -5.38518e-05-0.00687664j 0.0142676+0.0034209j 0.00448891+0.00405401j 0.00465823+0.000593418j 0.0112835+0.000242554j -0.00197399+0.0310253j 0.00985521-0.0205902j -0.0235504-0.0114311j -0.00767034+0.00410638j -0.00205297+0.00167156j -0.0178741-0.0101748j -0.00898684-0.00754327j -0.00241372-0.0152309j 0.0232284-0.00509694j -0.007854-0.00303207j -0.018377-0.00861499j -0.00181711+0.00520687j 0.0163416-0.014768j 0.00461819+4.98942e-05j -0.00430849-0.0202309j -0.0116542-0.00818022j -0.00695882-0.00147354j -0.00250952-0.00675879j -0.00270858-0.000490536j 0.00117298-0.00818704j 0.0147972-0.0171237j 0.0135284-0.0024926j -0.0082521+0.0143779j 0.0149686+0.0156085j -0.0563117-0.00138781j 0.0131877-0.00651049j -0.0370731-0.0165241j -0.0298507-0.0116145j 0.0012945+0.0104688j 0.0190814+0.0176212j -0.00845765-0.00261451j -0.00832945-0.0368555j -0.0324812-0.00416875j -0.0167763+0.00377449j -0.00249569-0.0022078j -0.00379614-0.00720448j 0.00488153-0.0294107j -0.00596848+0.0115374j -0.031737+0.0122181j -0.0380978-0.00981963j 0.010779-0.02709j 0.0110234+0.0214091j -0.021629+0.0291682j -0.0412113+0.00175869j -0.0147655+0.0217045j -0.0020089-0.020976j -0.027919+0.0019916j -0.0230369-0.0356771j 0.034833+0.0198471j -0.0425578+0.0115494j -0.00453826+0.00865114j 0.0210329-0.0133619j -0.0151144+0.0178601j 0.0360392+0.0209965j -0.0213617+0.0318535j 0.0130147-0.0135357j -0.0196621-0.0356848j -0.00658952-0.000811971j 0.0893538+0.0425255j -0.0818031-0.00957506j 0.0247675+0.046815j 0.0701117+0.106793j -0.0270805+0.0615525j 0.0360807+0.0467332j 0.00156746-0.00198615j 0.0116575-0.0197424j 0.0590333+0.0182138j -0.0176282-0.00118546j -0.0258732+0.0576522j -0.0429812+0.0258656j 0.0565061+0.0657708j 0.052784+0.0120562j 
0.0413729+0.00235772j -0.0035423+0.00396881j 0.0224757+0.0179296j -0.0245855-0.0297195j -0.0070971-0.0148781j -0.0160444+0.0108471j 0.00573554-0.00286704j 0.00533952+0.043856j -0.00541557-0.0110876j 4.3978e-05-0.02402j 0.0130871+0.0118499j 0.000767491+0.00647493j -0.0102022+0.00374816j -0.0265953+0.0079431j 0.0435887-0.0294363j 0.00478749+0.0223994j -0.00456005+0.0108303j -0.00566723-0.0202948j -0.00528713+0.0122502j 0.0192608+0.00496261j -0.000954938+0.00194782j 0.0190115-0.00294267j 0.00636522+0.00348368j -0.00228147-0.00444099j -0.00313431-0.00358172j -0.00021138-0.0184881j 0.0132048+0.013833j 0.00532888+0.0145052j 0.0147159+0.00390215j 0.0124257-0.0128892j 0.0138087-0.00247233j 0.00300985-0.00542771j 0.000879313+0.0186676j -0.0134629+0.00540089j 0.017103+0.0052432j -0.00352523-0.0030139j 0.00160998+0.00820063j -0.0148045+0.000184405j -0.0132004-0.000297361j -0.00780256+0.00643605j 0.0140413+0.0234111j 0.0322694+0.00888221j -0.00461203-0.00548047j -0.0141017+0.00510698j -0.0174845-0.0442432j 0.00989604+0.0189952j -0.0018957-0.0140764j 0.0059461-0.010039j -0.0203994-0.00636749j -0.0223528+0.0182506j 0.0103664-0.00804058j 0.0398214-0.0188634j 0.0162715-0.0273917j -0.0196267-0.00491419j -0.0138938+0.00936743j -0.0123465+0.0241549j 0.0374964-0.00990775j -0.0114427+0.00393456j 0.0202439-0.0188484j 0.027588-0.0441748j 0.0341211-0.00678688j -0.0157396-0.010089j -0.039736+0.010976j -0.0054087-0.018373j -0.025248-0.00597874j 0.0533846+0.00139063j 0.0189602-0.0353224j 0.0179016-0.00272105j 0.0216176-0.00462576j 0.0151554+0.00430525j -0.0152027-0.02443j -0.00975703+0.0659346j -0.046718-0.00689793j -0.0164226+0.0274071j -0.020741+0.0316335j -0.0294748-0.000203582j 0.0188864-0.0044968j -0.0386973+0.0138256j 0.0734835+0.0226494j 0.0957892+0.0395676j -0.00648881+0.062392j -0.0339442-0.0361189j -0.00116414-0.00550901j -0.00123731+0.099739j -0.0512729+0.0107918j -0.0395895-0.0490744j 0.069824-0.00013058j 0.0418176+0.0572721j 0.0600332+0.00934307j -0.0529297+0.0604656j 0.0769942+0.0330696j -0.045732-0.0828883j 
0.0446664+0.00452902j 0.0148347-0.00504605j 0.0110229-0.0179676j -0.0275251+0.00742473j 0.00808018-0.0047025j -0.0871519-0.00575171j 0.0225463+0.0427884j -0.00172235+0.0349836j 0.00105797+0.000866017j -0.0111851-0.0474802j 0.0189204+0.00950775j 0.0332341+0.0285428j -0.0144294+0.0193667j 0.0190861-0.0147951j 0.0131031-0.0408467j 0.00983321+0.0109952j 0.00782629+0.00368337j 0.00953428+0.00735627j -0.0111384-0.0198542j -0.00382563+0.00250105j -0.0249151+0.0202402j -0.00983158+0.00365759j -0.0279756-0.0075388j -0.00288295+0.0149555j -0.00246856-0.005705j -0.0482165-0.00165615j -0.00914012-0.0100159j -0.0220215-0.0161683j -0.00990425+0.0284664j 0.0234394-0.0205416j 0.0134358-0.00140178j 0.00150617+0.0238007j -0.0168313+0.0090441j -0.00301586-0.0139151j 0.00516337-0.0119009j -0.00190175-0.0203901j -0.0147229+0.0278069j -0.0227997+0.000685991j 0.00499938-0.00075899j -0.00761779-0.0066173j -0.0128462+0.0253305j 0.0159891-0.0080298j 0.0221875+0.00664053j 0.00035914+0.0219119j 0.0146115+0.0110258j 0.0106203+0.0076841j 0.0250571-0.0172534j -0.0125599-0.000145071j -0.0106443+0.00662158j -0.0109737+0.00444922j 0.022598-0.0190048j -0.0197808+0.0454171j -0.00197613+0.0142071j -0.0156535+0.000324627j -0.00312658-0.00618309j -0.0284973+0.0416963j 0.0116907+0.0145492j 0.0163683+0.000965713j -0.0134551+0.0360022j 0.00422373+0.0338984j 0.0235593-0.00319586j -0.0202632-0.0272156j -0.0428103+0.0230615j -0.00604354+0.0155126j -0.0285281-0.0213276j -0.00730276+0.0014117j -0.0292716-0.0473309j -0.00695319-0.0179722j 0.0461976-0.00942906j -0.0206465-0.0400427j 0.0203036-0.0341686j -0.00797151-0.0129461j -0.00950558+0.0425319j 0.0881532-0.0151327j -0.0151851+0.00739025j -0.00168999-0.0239695j 0.00583443-0.0805135j 0.00313261+0.0155538j -0.0488165-0.0280863j -0.0334266-0.026718j -0.0417625-0.064241j -0.0473193+0.0203359j 0.033971+0.00337005j 0.0495782+0.101771j -0.0799479-0.0583874j -0.0308473-0.151419j 0.149204-0.0618875j 0.155448+0.0973162j 0.0796589+0.0854003j -0.0624418+0.0797603j 0.0603565+0.047938j -0.0235816-0.00434347j 
0.0291725-0.0274069j 0.0414193-0.0110494j -0.0284444+0.0243206j -0.0364926-0.0243443j 0.050624-0.00161341j 0.0261282+0.0162395j 0.0323185-0.0103551j -0.0211013+0.0206815j -0.0101653-0.0196551j 0.00533406-0.0278094j 0.0196001-0.000200595j 0.0188841+0.0461982j 0.00412874+0.00223968j 0.0128622-0.00363177j 0.0475436-0.00671537j -0.0211342+0.052963j -0.0128828-0.0148018j -0.0196197+0.0362361j 0.0119619+0.0171394j 0.0107951-0.00656277j -0.0507336-0.033978j 0.0100279+0.0460699j -0.0156967-0.00927887j 0.000494098-0.0134118j 0.000186993-0.0359552j -0.022945-0.0201274j -0.00240316-0.000175123j 0.0289009+0.00268991j 0.0134678-0.000259861j 0.0180055+0.053636j 0.0107352+0.00547738j -0.0196452+0.0198657j 0.024217-0.017409j -0.0235675+0.0382599j 0.0242155-0.018944j 0.0262443+0.000862844j -0.0332698+0.0318638j -0.0286775+0.0104949j -0.0102524+0.0191984j 0.0234561+0.0348018j -0.0376709+0.00270225j 0.00357663+0.0284672j -0.0354654-0.00383617j -0.0213981-0.0195464j -0.0225829-0.0312148j -0.00706342+0.00531609j 0.019104-0.015326j 0.00478082+0.0123309j -0.0192962-0.00792013j -0.0220509+0.00846124j 0.015879+0.0407103j -0.0142217-0.00875618j 0.00852097+0.0104318j 0.0272236-0.0165576j -0.0295128+0.0214336j -0.053014+0.0215276j -0.0421254+0.0342037j -0.0475814+0.0298119j -0.0430581-0.062737j -0.0298129-0.00281257j -0.0224616+0.0220662j 0.0233682+0.0121507j -0.0118477-0.0229246j 0.0145947+0.0543079j 0.00633187-0.0570428j -0.0139249+0.0231711j 0.0219337-0.0520017j 0.0572595+0.00207845j -0.0161262+0.0207681j -0.0111623-0.0527775j 0.00818081-0.00777249j 0.0412984-0.0126384j -0.0356575-0.06218j -0.0649762+0.105506j 0.0231589+0.0504967j -0.0849924-0.0747646j -0.0171881+0.0197804j -0.0480515+0.00527139j 0.0204974+0.0274058j -0.041209-0.00303673j 0.0178998-0.0312456j -0.0428227+0.0115142j -0.0436161-0.0309521j -0.00974832+0.0103854j -0.0349295+0.0280749j -0.0160384-0.0518707j -0.0548137-0.0257516j 0.0364119+0.0602951j 0.00870714-0.0729754j -0.0675449+0.0190443j 0.00942082+0.0485687j -0.0424483-0.0266369j 
-0.0187883+0.0343315j 0.0510472-0.0349029j -0.00561299-0.0501333j -0.00650513-0.0135503j -0.0119702+0.032214j -0.00543715-0.0123202j -0.00777667+0.00114151j -0.0113746-0.0464573j 0.0572359+0.0401972j -0.0117349+0.000299559j 0.0133294+0.0559224j 0.000308958+0.041851j -0.0176632-0.0105163j 0.00208636+0.0142143j 0.0177144+0.0012928j 0.01201+0.0129295j 0.0206919+0.0278509j 0.0165013+0.00236078j -0.0326406+0.0416479j 0.0190435+0.00777969j 0.02146-0.0632228j -0.0358228-0.0228206j 0.00836043-0.0138625j -0.0100759-0.0101862j 0.00994178-0.00698223j -0.0106672-0.0437703j 0.02114-0.036138j 0.0125301+0.0138435j -0.0177497+0.00591679j 0.000976857+0.00966919j -0.0209313-0.00275097j 0.00824449+0.0210358j 0.00370931-0.00946611j -0.0247195-0.0205813j -0.00473126+0.00593604j -0.0011258+0.0183962j -0.027686-0.0487515j -0.005811-0.0248297j -0.00649038-0.00957998j -0.0237495+0.0206729j -0.00575162-0.00618368j -0.0307163-0.00684046j 0.0289967-0.000403319j -0.0109711-0.031079j 0.0212692-0.00767647j -0.0269599+0.00475205j 0.0388905+0.020514j -0.00305987+0.0142708j -0.0174264-0.024361j -0.00492358-0.0183674j 0.0174268+0.00692036j 0.0112982-0.00344169j 0.00958456+0.00723917j 0.0199406+0.00723256j -0.0055673-0.0121254j -0.0310733-0.0293609j -0.0389818-0.0316691j -0.0336791-0.029489j 0.0700589-0.0492717j 0.00899305+0.00502804j -0.0189044-0.032308j 0.0028739-0.0203961j 0.0214703-0.0330571j -0.0642299-0.0487095j 0.0180518+0.000773879j -0.00713543+0.00790884j 0.00734213+0.015879j -0.0292263+0.0476794j 0.0536922+0.00290787j 0.0459652-0.00268207j 0.0482119+0.00112621j 0.0279759+0.0264595j 0.0097082-0.0407209j -0.0709079-0.0408304j -0.034079+0.0554257j 0.101306-0.0384301j 0.000381779-0.0108095j -0.0596179-0.0567486j 0.00107145-0.00128378j 0.0388446+0.0149543j -0.0331007-0.0405279j -0.018166-0.0297263j -0.0125134-0.02251j -0.0442197+0.0154102j -0.0596876+0.0285513j -0.00761959-0.0147571j 0.0115108-0.138951j 0.0493571+0.0277793j 0.134333+0.0126766j 0.0638458-0.00061266j -0.0159659-0.0095964j -0.0723503-0.0738371j 
-0.0363742+0.0112367j 0.0240061+0.00352918j 0.0175451+0.0383074j -0.0398405+0.00678681j 0.0294938+0.00819323j 0.0273046-0.0266544j -0.00687458-0.00963008j 0.0385831+0.0119979j 0.0231009+0.0235582j 0.0237736+0.0264328j -0.0426037+0.0056069j -0.0548328+0.0231398j -0.00653282-0.0212936j -0.00940849+0.00782227j 0.00858328+0.0471948j -0.00229205-0.0238657j -0.0185661-0.0375745j 0.00441988+0.0108498j 0.0343115+0.0140008j -0.0178766-0.0408208j 0.031644-0.00671264j 0.0290535-0.00854801j 0.00874548+0.0111615j 0.0116406-0.0495996j 0.0189914-0.0137575j 0.0358772-0.0175607j -0.0127323-0.0160225j 0.00817421+0.000279528j -0.00530323-0.0179909j 0.00211181+0.0127322j 0.0142601-0.00576306j 0.00730644+0.0146507j -0.00836184-0.0369945j 0.00267618+0.0205069j 0.00887363-0.00629728j 0.00697158-0.00661583j -0.0044754-0.0444295j 0.00632402-0.0166629j 0.0207315-0.000102911j 0.0109458-0.0158547j -0.0134479+0.00430845j 0.0268135-0.00254813j 0.00840842+0.0117689j 0.00281202-0.00134407j -0.0116434+0.0213626j 0.011801-0.0348021j -0.0198255+0.0010971j 0.0224079-0.0269823j 0.047507+0.000856717j -0.0108236+0.0231943j -0.00794408+0.0241293j -0.0350531-0.0142435j 0.00598875-0.00453809j 0.0201474-0.00836566j 0.00630694-0.00712256j -0.00300373-0.0262281j 0.0335937-0.0038107j 0.0224004+0.0248904j -0.0258223+0.00945222j -0.0353578+0.0377659j 0.029232+0.0027768j 0.0561605-0.0233015j -0.0137286-0.0540273j -0.00887897-0.0323169j -0.0121279-0.0234494j -0.0275174+0.0492726j -0.00926066-0.0100962j 0.0413312-0.0706935j -0.00581034+0.0600245j 0.0281592+0.0290838j -0.0154404+0.0549252j 0.0416983-0.0188204j -0.0397677-0.0145835j 0.0321664+0.0296588j -0.0307388-0.000223262j 0.0385489+0.0839882j 0.0793559-0.0403678j 0.00655329-0.0364029j -0.0303019-0.0475782j 0.00234206+0.0179013j 0.019092-0.0333609j 0.0238269-0.00199465j -0.00965617+0.0574317j -0.112235+0.0170683j -0.0122679+0.0467578j -0.0544687+0.116592j -0.109102-0.0428049j 0.0585066+0.0260253j -0.0419987-0.0209549j 0.128668+0.0697339j -0.0228998+0.0132116j -0.0237977+0.00622991j 
0.0119813-0.00876756j 0.00189589-0.00588215j 0.0112317+0.00755521j 0.00594588-0.00109248j -0.0168673-0.0160368j 0.029235-0.0105546j -0.00168103-0.0148232j -0.0116866-0.0130795j 0.0111753+0.0225232j -0.0155888-0.0052024j 0.0297802-0.00902579j -0.0221712-0.0338191j 0.00225596+0.0127217j -0.025865+0.00883253j -0.00227339+0.0335248j 0.0263434-0.0167336j -0.00567217-0.0174443j 0.0115776-0.014586j 0.0158627+0.0111699j -0.00104686-0.000960754j -0.00544232-0.00484973j 0.00126966+0.00975296j -0.0157469-0.0122267j -0.0174042-0.0297583j 0.00544314+0.00879419j 0.0127907+0.00180199j 0.00124807+0.00387362j -0.0192341+0.00527725j 0.00803364+0.0105285j -0.0131282-0.0258821j -0.00933059+0.0228101j -0.0213812-0.0336837j 0.0115733+0.0322355j -0.000632582+0.0240374j 0.00600694+0.00917401j -0.00956508-0.0264778j -0.0277273+0.00497945j -0.00884395-0.0190988j -0.00400533-0.0183422j 0.00908704+0.0329135j 0.00620762+0.0399897j -0.0186656-0.00490002j -0.00876649+0.000836332j 0.00695289-0.0055861j 0.0406998+0.00376919j -0.00141975-0.00869383j -0.00811068-0.0239552j 0.00508216-0.000682098j 0.0261039-0.0206436j 0.00224805+0.00128103j -0.00742394+0.00193753j -0.0100301+0.0168328j -0.0193397+0.00563243j 0.00970251-0.0169894j -0.0253153+0.00650731j -0.0313592-0.000300203j 0.00765837-0.0123238j 0.0131251-0.0367139j -0.00558919-0.0157565j -0.0688513+0.0640449j -0.049707-0.0165811j -0.047415+0.0189162j 0.0117225-0.0250378j -0.0422645-0.0373927j -0.0391173+0.00714138j -0.0237718+0.0442453j 0.00604253-0.020835j -0.00782424-0.0378667j 0.101342+0.0318988j -0.0149983-0.0160205j -0.00254416-0.033073j 0.0058974-0.0539367j 0.00681403+0.0225531j 0.0373049+0.0147202j -0.00278719+0.0228295j 0.046617-0.0158454j 0.0341414-0.042852j -0.0540035-0.027504j 0.0586072-0.0146565j 0.0389505+0.0539656j 0.0718456+0.0200756j 0.0458559+0.00888683j -0.0201921+0.067823j -0.0387684+0.0244444j -0.00665005+0.00985458j -0.0455523+0.0258139j -0.0593116-0.0260306j -0.0117135-0.00670405j 0.0265849+0.0340765j 0.0302342+0.0119469j 0.0315064+0.0231604j -0.00564749+0.00449556j 
