0.0155086-0.0120888j -0.0144733+0.0960594j -0.0609097+0.045545j 0.0426365-0.0175778j -0.00889936+0.0179075j -0.00217634+0.00121173j -0.0370165+0.0235192j 0.0163594+0.0135075j -0.0748574-0.0450949j -0.0183273-0.0019871j 0.00794246-0.0167374j 0.00813034-0.0071871j 0.00845596-0.000608558j -0.0284035-0.0170485j 0.0215945+0.0498324j 0.017055-0.00866704j -0.0169899-0.046203j 0.047092-0.00390179j 0.0430945+0.0162143j -0.0246018+0.000912232j 0.0114102+0.0152287j -0.00395263-0.00139824j -0.00262558+0.0204827j 0.0129264-0.00814288j -0.0162159+0.0151954j -0.00763689+0.00241481j 0.0146061+0.0114575j 0.00169869-0.014538j 0.00995881-0.0102938j 0.00716109+0.000572398j 0.0171549+0.00618758j -0.000209119-0.0126213j 0.00249646+0.00626946j -0.00515353+0.00627067j 0.0139324+0.0216055j -0.00763875-0.00458198j -0.0151285+0.0061938j -0.0125858-0.0200986j 0.0200607-0.0111186j -0.0240659-0.0112457j 0.00345432-0.0192464j 0.00514583+0.0145482j -0.0230319-0.00794901j -0.0126307-0.00605895j -0.0124436-0.0150812j -0.00239199-0.00932609j -0.000329326-0.0150831j 0.00793823-0.00591347j -0.0110402-0.0148755j -0.0123293+0.0188598j 0.0128088-0.005221j 0.0149902+0.000461975j 0.000840266-0.000647584j 0.0114645-0.00808422j 0.00429771+0.00733877j -0.00183795+0.0300406j 0.0173294-0.00173706j 0.0186156+0.0111267j 0.00371246+0.0120746j 0.000999204-0.00230502j 0.00921966+0.0165885j -0.00860443-0.00660356j -0.0104259+0.0122369j 0.00369397+0.0160883j -0.0222916-0.0126602j -0.000693497+0.0122063j -0.00263309+0.0104016j -0.00946343-0.000153211j -0.0380219-0.039481j -0.0196521+0.0332439j 0.0182136-0.00486197j 0.0313572-0.0229702j 0.0147581+0.051791j -0.0724373-0.0414371j 0.00405623-0.00874659j -0.00588859+0.0278418j -0.00869276+0.0306396j -0.0102444-0.054962j 0.0404734+0.0931175j -0.0778091-0.00482577j 0.0375603+0.100255j 0.0468328+0.00636862j 0.065202-0.017044j 0.125661+0.00750189j -0.00276852-0.00405009j -0.0876049-0.0190374j 0.0159821+0.0744048j -0.0929801-0.0878621j 0.00927391-0.0547075j 0.00383576-0.0404852j -0.0236715+0.00638799j 0.0435254+0.0372694j -0.073663-0.108032j -0.177083+0.243974j 0.195583-0.0650348j 
0.00272781-0.0979276j 0.00839277-0.0210126j -0.0498666+0.0199202j -0.0643713+0.0276219j 0.0112545-0.0144855j -0.00295982-0.0172162j -0.0163732-0.00422773j -0.0590139-0.000994491j 0.0489236-0.0104573j -0.0238079-0.0162284j -0.00138469-0.00314177j 0.055016+0.025822j -0.0190726+0.0300735j -0.00839559-0.0447958j -0.0191585-0.00162736j 0.00174343-0.00633972j 0.0253371-0.0185295j -0.0281781-0.00420259j -0.00261888+0.0220028j 0.00172355-0.0163908j 0.00721806-0.00662945j 0.0398413+0.00307821j -0.0283979+0.0128966j -0.0132637+0.01356j -0.0116131-0.0183662j 0.000149763-0.00139971j -0.0267328-0.00643813j 0.00176762+0.00265264j 0.0158486+0.00399392j 0.00665429+0.0150513j -0.00808484+0.0222632j 0.000386464-0.00332538j -0.0106077+0.014292j -0.00289719-0.00530802j -0.0191502+0.0162333j -0.0123986-0.00436782j -0.024369-0.00986607j 0.0140228-0.00415592j 0.0133795+0.0112833j -0.0074437-0.0176316j 0.0036559+0.00571466j 0.00359765-0.00136744j -0.0173488+0.00497856j -0.0202978-0.00633775j -0.0093223-0.00688134j 0.00487903-0.000521844j 0.00669432+0.0037882j -0.000663913+0.00698484j 0.0185195-0.0112974j -0.0172926-0.00532539j 0.0303789+0.00710734j 0.0217484+0.0108142j -0.0141865+0.00660032j -0.0159252+0.013262j -0.0167828+0.00398125j -0.0410121+0.000992983j 0.0212924+0.0114718j -0.00861172+0.0177037j -0.00104904+0.00975794j -0.00627527-0.00345334j -0.0290469+0.00909125j -0.00438124-0.013303j 0.00192412-0.000926982j -0.0169214+0.00437884j 0.0105185-0.0167261j 0.00378982+0.0057377j 0.00201218+0.0140394j 0.0253636-0.0165927j 0.0213886-0.0372176j -0.0227508-0.0133218j -0.0114575+0.0120127j 0.0505228+0.034717j -0.0545297-0.00407149j -0.00673773-0.0687884j -0.0103812-0.00464195j -0.0423721-0.0291413j -0.0499351-0.00984712j 0.0287909+0.0335024j -0.0889183+0.018593j 0.00343942-0.112658j -0.0844498+0.0380391j -0.0103586+0.0258893j -0.0239869+0.098917j -0.00779274+0.0663781j 0.0110869+0.0193655j -0.0300853-0.0624807j -0.0411503-0.0460628j 0.0637376-0.119612j 0.0312439-0.0276964j 0.0168608-0.0262569j 0.0257521-0.0293508j 0.0530044+0.121062j 0.0295219+0.0250453j 0.211686-0.0694457j 0.172556-0.261852j 
0.030508+0.0820206j -0.0197531-0.0314055j 0.0412202-0.0180869j -0.00646777+0.00342078j -0.00509865+0.0339142j 0.0309135+0.00884628j 0.0276121+0.0043347j 0.0748801-0.0598704j -0.0233257-0.00306915j -0.0130477+0.020216j -0.0012409-0.0223192j 0.0123656-0.0360459j -0.0396396-0.0124832j -0.0507254-0.0135813j 0.0100139+0.000383644j 0.0520119-0.0264383j -0.0209641+0.0222522j -0.00118183+0.00722541j 0.0674284+0.0172947j 0.0189814+0.0296674j 0.0266839+0.00964123j -0.031428+0.0346324j -0.0154939+0.0124982j -0.0114989+0.00237599j 0.0117758+0.00257597j 0.00418567+0.00118212j 0.0388123-0.0122617j -0.0206941+0.00396513j 0.00486523-0.0187658j 0.00443871+0.0106721j 0.0129393-0.0121074j -0.0199471-0.00700376j 0.00837485+0.0290099j 0.0167647+0.00225142j 0.0265158+0.0275683j 0.0140162+0.0155633j 0.0119122-0.0164927j -0.0251237+0.0131261j 0.00663995+0.0237737j -0.00965758-0.000327578j -0.00788294-0.00217988j 0.0124176-0.0161772j -0.0146837+0.00103886j 0.0214091-0.00571821j 0.0153995-0.00980946j -0.00299101+0.0119398j 0.00718918+0.013154j 0.00972325-0.00746293j -0.027943-0.015385j -0.008452+0.0181277j -0.00954445-0.00482373j 0.00859006+0.00821619j 0.022753-0.00733542j 0.00123742-0.013508j 0.0042707+0.0304869j 0.0219512+0.0234009j -0.0169001+0.00255964j 0.0238621+0.00689673j -0.00943054+0.0351907j 0.0196962-0.0166038j 0.0342944+0.0122517j -0.0131476-0.00353373j 0.00970504+0.017842j 0.0118215+0.0444552j -0.0554615-0.0459863j -0.00447559-0.0156165j 0.0348009+0.0421485j 0.0305933+0.0357054j 0.0229793+0.0221208j -0.0426261-0.0598293j 0.0255438+0.0304221j -0.0136697-0.00947744j 0.0631338-0.0452373j 0.0244719+0.00051796j -0.0665179-0.0133586j -0.0187074-0.0239524j 0.051052-0.00488987j -0.0298955-0.0175491j 0.0526833-0.0268442j 0.015986-0.0754463j -0.0306595-0.0597547j 0.0448002+0.0946177j -0.068762-0.0381257j -0.0129319+0.057054j -0.0153128-0.000194029j -0.0199537-0.0539639j 0.102741-0.0145567j -0.0442372-0.151055j -0.046636+0.1094j -0.0183763+0.00127665j 0.044661-0.0412376j 0.0464891-0.00879393j -0.0194579-0.0954558j 0.0678466-0.171934j -0.152319+0.0615845j 
0.0065769+0.0401136j 0.0251121+0.0782035j -0.0216546+0.00355823j 0.0360363-0.0485975j 0.013299-0.0191922j -0.0141026-0.0424165j 0.0112364-0.00652037j -0.00814618+0.0716403j -0.00247122+0.0234893j 0.0220699-0.0139522j 0.0231844+0.00582544j 0.0321325+0.00198631j 0.0247561-0.0167918j 0.0148153+0.0129642j 0.0402813+0.0270964j -0.00642896+0.028757j 0.00806841-0.0234749j 0.000832351-0.0222434j -0.0278183-0.00206551j -0.0446782+0.00926531j -0.000569789-0.0108425j -0.00902545-0.0339273j 0.00675151-0.0238767j 0.0221701-0.0318548j -0.0208004-0.00256212j 0.024294+0.0258394j 0.0132763+0.0184965j 0.0174992-0.0197957j 0.00569316-0.00917154j -0.037701-0.018141j 0.00491462+0.00389384j 0.0332761+0.0173001j -0.0270267+0.00190694j -0.0193072+0.00990335j -0.0291329+0.0223623j 0.00259819+0.0262119j -0.0148715-0.00436457j 0.029217+0.0100075j -0.00106475+0.0107062j -0.00639001-0.0256011j -0.00334777-0.0074892j -0.0188774+0.000882639j 0.00673938+0.0125806j 0.00507047+0.0142363j 0.0110789+0.00319052j -0.00723145-0.0106787j -0.0261492-0.00244593j -0.00689238-0.00715021j 0.0178848-0.0129694j -0.00101496-0.000469797j -0.00761936-0.0192192j 0.00078636+0.0090987j 0.0205093+0.000439082j 0.0203395+0.00429711j -0.00189586+0.0219858j -0.0338852+0.00201058j 0.0141404+0.00796255j 0.00350725+0.0262024j 0.014397+0.00547541j 0.0379363+0.016226j -0.0411447+0.00224095j -0.00970088-0.00600265j -0.00858757+0.00359892j -0.0377804+0.0108759j 0.0440458-0.0774293j 0.0228096+0.0193026j -0.0268312+0.0363107j -0.0291872+0.0084791j -0.0294335+0.0553765j 0.0434908-0.0239001j 0.0253227+0.0060351j 0.0199286-0.0330817j 0.0364602+0.0694284j -0.00708644+0.0126266j -0.0314952-0.0529986j 0.0285213+0.0307776j 0.0321557-0.0122562j 0.0326396-0.00714274j 0.0371205+0.0532806j 0.0273762+0.0163513j 0.064967+0.00330535j -0.0422636-0.00671391j 0.0544989-0.0802088j -0.0550386+0.00659643j 0.00947797+0.0339967j 0.0748557-0.0503187j -0.00901661+0.040078j 0.0429561-0.0504973j -0.0513106+0.00139808j -0.109187+0.0225497j 0.0558444-0.0951708j -0.0527633+0.0867904j 0.0704492-0.0829449j -0.135621+0.0821247j -0.0466662+0.138261j 
0.0128807-0.0112914j -0.00304364+0.0101975j -0.00232929+0.0341533j -0.00324922-0.0140739j 0.00562263-0.0611365j -0.00707795+0.00854175j -0.0255241+0.025965j 0.0372502-0.0404988j -0.0432691-0.0180647j -0.00450786+0.000667248j -0.0552241+0.0210334j -0.00111042-0.00583566j -0.0188627+0.00941416j -0.0572108-0.0150887j -0.0169509+0.00874997j 0.00834098-0.00696971j -0.0411871+0.00983694j 0.00726996+0.000249137j -0.000712863-0.00914077j -0.0124871-0.0265652j 0.0311263+0.0357116j 0.0199494+0.00226353j -0.027468-0.00113553j 0.00930314+0.0139812j -0.0292264+0.00836716j -0.00823206+0.00615275j 0.00355029-0.0284994j 0.00395685-0.017714j 0.0137625-0.00537812j -0.00218429+0.00697114j 0.0453162-0.00939232j 0.0052301+0.0166827j -0.0199102+0.0187441j -0.0118264-0.0353488j 0.00224365-0.0395465j 0.0124956-0.00434689j 0.00603836-0.00151521j 0.020292+0.0304178j 0.0273729-0.0268609j -0.0299306+0.0264021j -0.0294321-0.00242485j -0.0110915-0.00621544j -0.00782085+0.025683j -0.025863+0.00773915j -0.0085161-0.00754841j -0.0213671-0.0210667j 0.0134914-0.014747j 0.00683769+0.00976484j -0.017152+0.0321503j -0.0162826+0.0197379j -0.00134307-0.0333204j 0.0021994+0.0115824j -0.0178654-0.00374906j -0.0183084-0.0106219j -0.0256978+0.00343119j -0.0168965+0.0191833j -0.0218247+0.0102497j 0.0240028-0.0370077j 0.0259769+0.0138595j 0.0261972-0.00645172j 0.00769379-0.0271955j -0.00551954+0.0138068j -0.0114864+0.00417447j 0.00128038-0.0290579j 0.025393+0.0331249j -0.035752-0.000637968j -0.0268932-0.0190367j 0.0419474+0.0411874j -0.0484777+0.0600075j 0.0113378+0.0799365j -0.00547469+0.0524871j 0.0686875-0.000949555j -0.026647+0.0236461j 0.0148221-0.0855372j 0.00496517-0.0301871j -0.033031+0.0870014j 0.0183476+0.0466664j -0.0297574+0.0202977j -0.0496519-0.0606785j -0.00803413-0.021638j -0.0802284+0.0858188j 0.0183972+0.0185032j 0.0146443-0.00932995j 0.0600083+0.0600816j 0.00328738+0.0616479j -0.0147267+0.0277786j 0.0289249-0.043112j 0.0485477-0.0417184j 0.0364133-0.0211094j -0.183915+0.18604j -0.0749712-0.0439065j -0.00617945+0.0351923j -0.0286536-0.020681j 0.058986+0.0053094j 0.0654437-0.0865829j 
8.45047e-05-0.000663297j -0.0214441-0.0248632j 0.00675844-0.018807j 0.0159383-0.0291067j 0.0100958+0.00862681j 0.0152066-0.0620482j -0.024596+0.0290358j 0.00930605-0.0330662j -0.0186234+0.011809j 0.0457314-0.0255326j 0.0300365-0.0131394j 0.00285564-0.0102696j 0.00447939-0.00400807j 0.0203732+0.0236454j -0.0145956-0.0229385j -0.0274561-0.0173344j 0.026159+0.0448642j -0.0321349-0.00898914j -0.0120907-0.0142015j -0.0263307+0.00395165j 0.027118+0.0266594j 0.00297352-0.0165436j -0.0221594-0.0166439j -0.000816074-0.0189731j 0.0144446+0.0192022j 0.0184753+0.0233003j -0.00481257-0.0115215j 0.00272166-0.0161381j -0.0193161-0.0285118j 0.00890525-0.00655235j -4.58016e-05-0.0338277j 0.00595326+0.0278335j 0.0155397-0.00977262j -0.00253031+0.00123087j -0.0157505-0.0188407j 0.00754972-0.0108224j 0.0155177+0.00689475j -0.00267514-0.00671805j -0.0115072-0.014337j 0.037276+0.0405714j 0.00485457+0.0107399j -0.0193497+0.029491j -0.0010237-0.00420892j -0.000218119+0.00332236j 0.0136473-0.00653342j -0.00398067+0.0236248j 0.00805336-0.0211561j 0.00434444-0.0141183j -0.000669373+0.0239891j 0.00223581+0.0180895j -0.00303256+0.000742105j 0.0052844-0.0201336j -0.00924049+0.00449409j -0.029776-0.0135529j 0.0275713+0.00877336j 0.0299418+0.0125818j -0.0129202-0.0188694j -0.0537021-0.0355289j 0.00016238-0.0480024j -0.0115145-0.0195678j -0.0250402-0.0604066j 0.0291145+0.0265289j -0.0112179+0.020971j 0.00467941-0.0227765j -0.035215-0.0403527j 0.0189505+0.0215497j -0.0108465+0.0572151j 0.0714553-0.00956459j 0.0503912+0.0234822j 0.0577013+0.0242763j 0.0947654+0.00897504j 0.00573326-0.0436626j -0.0302618+0.00839248j -0.0257419+0.0298478j -0.0319869+0.030963j 0.0408764+0.069824j 0.0179116-0.00295913j 0.000393138-0.0375957j -0.0263803+0.0275846j 0.0198819-0.00857041j 0.0756731+0.062792j 0.0202328-0.012842j 0.0167074+0.00473588j 0.0902745-0.0375661j 0.0381937+0.0706943j -0.023082-0.0136145j -0.0595709+0.00134574j -0.0580005+0.0195158j 0.0599798+0.0206246j -0.0151371-0.0676437j 0.191357-0.159379j -0.0303568-0.0463786j -0.0188489+0.00938201j -0.0126272+0.0434083j 0.0683622-0.0412836j 
-0.0264872-0.0768473j 0.012995+0.0364155j -0.00397785+0.0215751j 0.018406-0.0154291j -0.0117065+0.0135306j 0.00333432+0.0261894j -0.0308746+0.0491626j 0.000316263-0.0569817j -0.0555872-0.0428661j -0.00487208-0.0116232j -0.0192336-0.00778339j -0.0167084+0.0116683j 0.0389177-0.000743155j 0.0364077-0.0127855j -0.0688335-0.00302032j -0.0355915-0.0363779j 0.00948043+0.0273146j 0.0431821-0.0111316j 0.0207432-0.0324471j 0.0208466-0.0521522j 0.0150409+0.00141107j -0.0276515-0.0227937j -0.0333946+0.0316821j -0.00393193+0.0294167j 0.0531594+0.0145667j -0.00359934+0.0149785j -0.00559545-0.0336398j -0.019959-0.00495353j -0.0128488+0.00273593j 0.0288446-0.0042408j -0.028389-0.0100715j 0.01346-0.00221768j 0.029512-0.00202072j -0.0179476-0.0171409j -0.0108966-0.0283915j 0.0132852+0.0241502j -0.0300048-0.00478278j -0.00690979+0.0164693j 0.000457205+0.0231985j 0.0415219-0.00145995j 0.0440933-0.0186718j -0.0117996-0.00987248j -0.010104-0.0037058j -0.0266925+0.0133932j 0.00502861-0.0196766j 0.0266545-0.00796803j 0.00791999-0.00982129j 0.00971576-0.000264874j -0.00814025+0.00715024j -0.00231976-0.0136743j -0.00228094-0.0202087j -0.0281556+0.0201579j -0.0113961-0.000345268j 0.0167003+0.0116118j 0.0053131-0.00471052j 0.0383562-0.0451413j -0.0134005+0.00573254j -0.0306762+0.00335735j -0.0159427-0.0117076j -0.033047-0.0102787j -0.00749105+0.00418597j 0.000553256-0.0444101j 0.00479594+0.0129133j 0.0225628-0.0220954j 0.0265956+0.06353j -0.0196403+0.0473929j -0.00348671-0.0197964j -0.0332934-0.0552933j -0.00129745-0.0255131j 0.0504291+0.00983588j 0.0333926+0.0116748j 0.0219039+0.0201587j -0.0189594+0.0386639j 0.0278069+0.00431069j 0.0184067+0.0297508j 0.00978701-0.0289727j 0.0428435-0.0245719j -0.00168594-0.000605274j 0.00874228+0.0412879j -0.00302517+0.00527319j -0.00634902+0.021279j 7.81349e-05-0.0162801j 0.0824267-0.0122793j 0.0368401-0.0280386j 0.00940578-0.026447j 0.0526937-0.026257j 0.143345-0.0725536j -0.0734124-0.153428j -0.0351417+0.0933845j -0.0072845+0.0330952j -0.0513629+0.0192929j -0.0584599+0.0853173j -0.0687506-0.0222637j -0.0733514+0.0692486j 0.0346652-0.052163j 
-0.0198303-0.00265452j -0.0451837-0.0464768j -0.00670658-0.0129478j -0.0477973+0.00587888j -0.00923614+0.00363898j 0.0262018+0.0439485j 0.0110656+0.00134839j -0.035851+0.0650633j 0.0653238+0.0234047j 0.0487675-0.0299205j -0.00604175-0.00551524j -0.0516402+0.0583548j -0.0667266-0.0101797j 0.0381797+0.0227628j 0.0168527+0.0107707j -0.00134387+0.0221602j -0.0390959-0.0179179j 0.00601883+0.0170416j -0.0549501-0.012597j 0.0156287+0.00485999j -0.00404617+0.00618078j 0.021771+0.00627603j 0.0274755+0.0177719j -0.027057-0.00705383j 0.0216388-0.0169666j -0.0311566-0.0211988j 0.0384434+0.014423j 0.00573005+0.0144855j -0.0095239+0.00987891j -0.0211692-0.0123579j -0.0314715-0.0366376j 0.00977734-0.00595415j 0.00190918-0.0304327j 0.0523261+0.0244192j -0.00952565-0.00939921j -0.0107817-0.00217475j 0.0180792-0.00337837j -0.0378255-0.0125537j -0.024006-0.0315451j 0.0269184-0.00360241j -0.0129422+0.0287904j 0.00139162+0.0234537j -0.0156225-0.039888j 0.001975+0.0199646j 0.021095-0.023778j 0.0112706-0.0442761j -0.0103861-0.0304132j 0.00582443-0.017557j 0.0112356+0.00481646j 0.0143947-0.0136284j 0.00246451+0.0109569j 0.000298738-0.00140067j 0.00837794+0.0341454j -0.0247046+0.00089067j 0.023383+0.0281415j 0.0463265+0.014469j -0.022393-0.0204043j 0.0133362-0.0140074j 0.0162876-0.0116745j 0.0266617+0.0267241j -0.00264981-0.0102844j -0.0306029-0.0264381j 0.0337901-0.00279562j 0.00491611+0.00805894j -0.0194407-0.00544292j 0.00971761+0.020626j 0.0354226+0.0523472j 0.0532629-0.0207855j -0.0607889+0.00881328j -0.0360766+0.0393567j -0.0278268+0.0562313j -0.0150317+0.0341667j -0.0148067+0.0400684j -0.0320072-0.0459368j 0.0376555-0.0282868j 0.047294-0.0078063j -0.0309988-0.00285923j -0.0371339+0.0486282j 0.0185573-0.0306215j -0.0561468-0.0257897j 0.00978348+0.0208783j -0.00986324+0.0298236j -0.0205189+0.0761468j -0.0264915+0.00858563j 0.028069+0.0236495j 0.0186253-0.00212412j -0.0418471+0.0254699j 0.00186491+0.0194673j 0.0343609-0.0728855j 0.0254725+0.0333942j -0.0739286+0.0606935j -0.0610311+0.0183994j 0.00572577+0.0793455j 0.0450529-0.0358565j 0.00249917-0.012076j 
0.0336987+0.0571789j -0.000558711+0.0133299j 0.0445251-0.0156714j 0.0141847-0.0347149j -0.0033325-0.027018j -0.0037788+0.0248675j 0.0144607+0.0353353j 0.0175811+0.00882609j 0.013987-0.0281644j 0.0281942+0.0238252j -0.0110531+0.0190175j -0.0498063-0.011869j 0.0235112-0.0235315j 0.0414064+0.0203774j 0.00358929+0.029801j -0.0246511-0.0158446j -0.0169554-0.0162447j -0.0110295-0.0131569j -0.0282812-0.0307827j 0.0182801+0.012943j -0.0234442+0.0259636j 0.0200972-0.00378902j 0.0800461+0.0385738j -0.000928956-0.0272164j -0.0282426+0.00324346j 0.014025-0.0480557j -0.0387634-0.00636784j -0.0294378+0.0360257j 0.0286631+0.0216269j -0.0141234-0.028062j 0.0539825-0.0174608j -0.00831315+0.000327906j 0.02824-0.0143573j 0.0105504+0.0334328j -0.000945823+0.00735592j 0.0142779-0.000498729j 0.00639751+0.0124455j 0.0162653-0.0176146j 0.00263197+0.022465j 0.0124032-0.0204994j -0.03802-0.0131813j -0.00708073-0.00394613j 0.0225491-0.0330203j -0.0198732+0.0390329j -0.0116036+0.0248368j 0.0171618-0.0112881j -0.0200757-0.00764683j -0.00714164+0.0095849j -0.0165901+0.0185916j 0.00782056-0.0204961j -0.0432626+0.0068626j -0.00373274+0.0191097j -0.0160356+0.0569372j -0.00339264+0.0300315j -0.0174376+0.0220782j -0.0117866-0.00178887j -0.0115195+0.012347j 0.017094+0.0384913j 0.0244379-0.0522507j -0.0389038+0.0324189j 0.0417454-0.011742j 0.0192478-0.0266438j -0.0137907-0.0228248j 0.0106686-0.00478656j 0.068531-0.00194131j 0.0353944-0.000902704j -0.0510945+0.0230216j -0.0455868-0.052822j -0.0357241+0.0172273j 0.0019053-0.024088j -0.0342229-0.02857j -0.0547178-0.00428499j 0.0117481-0.0200221j 0.0192909-0.033801j 0.0386769+0.0312627j 7.07814e-05-0.00861581j -0.0181315+0.0115427j 0.00744084-0.0237664j 0.0552547+0.0315476j 0.0678354-0.0564j 0.100589+0.035967j -0.00533189-0.0571073j -0.0394001+0.0504414j -0.06652-0.0133508j -0.0432902-0.0233698j 0.0159639+0.0459681j -0.0485744-0.0195643j 0.0158458-0.0081786j 0.0414929-0.0115476j -0.030718+0.0328948j -0.000854499-0.0454137j -0.0562908-0.0474632j -0.0511865+0.0227076j -0.00236152-0.00727715j -0.0816847+0.0543515j 
0.023899+0.0181383j 0.0110976+0.0215004j 0.00599739-0.0170082j 0.0239635-0.0213638j 0.0278529+0.0739343j -0.00292609-0.0135584j -0.00197432+0.0401959j 0.00938577-0.0219632j -0.00557362-0.0121746j -0.0378176+0.0232391j 0.0203766-0.0250705j 0.0202452-0.0155068j 0.00304674-0.00630201j 0.0208211+0.00550979j -0.0173785+0.00551559j -0.0371789+0.00992552j 0.0375386-0.00191146j -0.038362-0.00682709j 0.0157903-0.0279918j -0.000794295+0.0280688j 0.0357986+0.00346995j 0.00375928-0.0185918j -0.02282+0.000290126j 0.0197447-0.0365181j 0.00044338+0.00654861j 0.0164109-0.0135035j -0.00198664+0.0292427j -0.0197908+0.0155635j -0.0389657+0.00363759j 0.00717328-0.0094322j -0.0160323-0.000901446j 0.00899631+0.00949814j 0.025696+0.00327437j -0.0282772+0.0061858j 0.0110612+0.00799226j -0.00445462-0.0330929j 0.0055668-0.0132243j 0.0134888+0.0199986j -0.00970372-0.0414727j 0.0215617+0.0177992j 0.0146094+0.0116148j -0.011797-0.019799j 0.0366507+0.0172748j -0.0119179-0.00275545j 0.005377+0.0245154j 0.00905847+0.00120332j 0.0169565-0.0322172j 0.0317594+0.0161442j 0.00843613+0.0151352j 0.00785112+0.0296543j -0.006121-0.00658786j -0.011661-0.0189507j -0.0265274+0.0113421j -0.00295993-0.010777j -0.0356293+0.030544j -0.0341667+0.0246517j 0.0190723+0.00236105j -0.0335518+0.00251424j -0.044318+0.0330403j 0.018941+0.0109866j 0.0385472+0.022383j 0.0483389-0.0137074j -0.00683818+0.0278285j -0.00674862+0.0464198j -0.0632306-0.0196615j -0.013536-0.00555499j -0.00921936+0.031014j 0.00808786+0.0686743j 0.00133914-0.0826506j -0.0122219-0.012371j -0.0379256+0.0359624j -0.0180817-0.0121461j 0.075351+0.0255364j 0.0687295+0.0280733j 0.0089428-0.0368682j 0.00365473+0.0644189j -4.33374e-05-0.0367434j 0.0640779-0.00742285j 0.0434797-0.0131397j -0.0425665-0.0205752j -0.0112648+0.0177436j -0.0365802+0.0331453j -0.055833+0.00899844j -0.04924-0.0223338j -0.0126826+0.0615828j 0.0493518+0.0535173j 0.0615452+0.0372706j 0.0752654-0.108224j -0.0678699+0.00762298j 0.0904388-0.0867926j 0.000163684+0.0804228j 0.0081396-0.0348356j -0.0182093-0.0305607j -0.0139169+0.0274829j -0.0179919+0.0282734j 
-0.01351-0.0118249j -0.0364395-0.0546783j 0.03426+0.0108655j 0.0239995+0.0331802j -0.00274503+0.0281896j 0.00301343+0.0216299j -0.0121614+0.00148969j 0.0457384-0.0698528j -0.0496793-0.0192611j 2.92689e-05+0.0164426j 0.0127302-0.0051938j -0.0553729-0.00379628j 0.00289815+0.00266355j -0.0176482+0.0333228j -0.00213187-0.0517272j 0.0135925+0.0297189j 0.00586815-0.010344j 0.0390454-0.00211997j -0.0149403+0.0237995j 0.00587763+0.0547626j -0.0316332+0.0334451j 0.0608324+0.0343348j -0.0114423-0.0196003j -0.013873-0.023614j -0.0399081+0.033056j 0.00887193-0.0398084j -0.0027406-0.00634227j 0.0441633+0.0139153j -0.0169125-0.0156261j -0.0019214-0.0271133j 0.0539135+0.00595899j -0.00893378-0.00452681j -0.021267+0.0188646j -0.0071708+0.0102629j 0.0249288+0.0184842j -0.0412118-0.0104965j 0.00642895+0.0129242j 0.00176474-0.0121767j -0.0175829+0.0124114j 0.0076139+0.0207085j 0.0293423+0.0410464j -0.00972873-0.0226358j 0.0181644+0.0190393j 0.0234039-0.0286806j 0.00992543+0.0191265j 0.0191227+0.0160134j 0.0243738-0.00296205j -0.0170538+0.0162491j -0.00578331-0.029647j 0.0144348-0.0119615j 0.0302684-0.0163243j -0.00275376-0.0399201j -0.0219627-0.00395205j 0.00195495-0.0209352j 0.0134332+0.0116191j 0.0407787+0.0429941j -0.0210592+0.0129679j -0.00393046-0.0175885j -0.00761849-0.0523742j -0.0260075-0.0191544j 0.00609426-0.00406525j 0.0333189-0.00246576j -0.00746141+0.0287909j 0.0268518-0.00179732j -0.0243756+0.0332995j -0.0700298-0.0064968j -0.0154256-0.00603605j 0.0170624-0.0572321j -0.00474673-0.0163801j -0.0162857+0.039712j -0.0527668+0.0094685j 0.00204012-0.0315717j -0.0801896-0.0631651j -0.0422007+0.0478458j 0.0588018+0.044459j 0.0042354-0.0468656j -0.032921+0.0764508j -0.0175871-0.0557814j -0.000821468+0.0383325j 0.0727946-0.00506736j 0.0606623-0.00905589j -0.102837-0.0604138j -0.00841509+0.040509j 0.0490603+0.0148122j 0.00570711-0.0137528j -0.00476781-0.0544011j -0.0581551-0.0979723j -0.0942462+0.0988932j 0.000913161+0.0713318j 0.017947+0.0111345j -0.0458336+0.044084j -0.00693973-0.0653075j -0.0402579+0.0504245j -0.0477182-0.0127506j 0.0168888+0.00105826j 
