-0.108578-0.181961j -0.0414649+0.0356999j 0.0796046+0.155922j -0.00136827+0.0559345j -0.0489291-0.0541935j 0.0165814-0.0457056j 0.0634251-0.00337652j 0.0162116+0.0494243j 0.0407876+0.179352j 0.0480256+0.125246j -0.00871263-0.0995701j 0.0596275+0.0637448j -0.00105594+0.0993779j -0.0363663-0.0342588j 6.95118e-06+0.0134809j -0.00555843-0.0125013j 0.00928865+0.0119147j 0.00249019-0.00965632j -0.00330464-0.00966538j 0.0160174+0.00701021j -0.0504175+0.0131695j 0.0243964+0.0240917j 0.0224253+0.0227739j -0.00455853+0.1861j 
-0.206207+0.100221j 0.0334368+0.103695j 0.075062-0.0115228j 0.0583718+0.00011246j -0.0788142+0.0241659j -0.048698-0.068953j -0.052227-0.159402j -0.0721648-0.00837105j 0.0792137+0.0363399j 0.0358469-0.0168812j -0.0760259-0.0275649j -0.0356877-0.0379457j 0.106126+0.0717021j -0.000614502+0.0503556j 0.0424847+0.0275355j 0.0131706-0.0136096j 0.0229948+0.0217635j 0.0186908+0.0159586j 0.00796864-0.00870314j -0.0269077+0.0054289j -0.015242-0.0519869j 0.0585567-0.0131241j 0.0223355+0.101623j 0.0132702+0.0263001j 
0.0781948-0.0556804j 0.0860762+0.0633227j -0.0414108+0.030248j 0.0692813+0.0658723j 0.00102196+0.0395063j -0.00603495-0.0852583j -0.00374322-0.0456337j 0.0470854+0.00091971j 0.00312219+0.0270184j 0.0135038+0.0234375j -0.0177502-0.052254j -0.00499342+0.0314723j 0.0131182+0.0675845j 0.0343649+0.0180309j 0.00543532+0.000471812j -0.0216092+0.00447598j 0.00482288+0.00775774j 0.00990129+0.00635718j 0.00434051-0.00538782j -0.0223368-0.0137305j -0.013477+0.00142954j -0.00583737-0.0324079j 0.0161122+0.0389346j -0.00283979+0.0710812j 
0.00698111-0.022248j 0.0155377-0.0340502j 0.034538-0.0669199j -0.0234928-0.0210199j -0.0407722+0.0226273j -0.00447198-0.0193956j -0.0338531+0.00267738j 0.0840199-0.059085j 0.0318413+0.00539557j -0.0194089-0.0416982j 0.00359431+0.0272567j -0.0188646-0.00998269j 0.00903067-0.00753968j 0.00253879-0.00239367j -0.024179+0.00532144j -0.00723782+0.0206521j 0.00592002+0.0018126j 0.0222671-0.00735623j -0.00561206-0.0187683j -0.0114059+0.0025642j -0.00748625-0.0297484j -0.0119188+0.00983167j -0.0133648+0.000101152j -0.00562032-0.0309395j 
0.320144-0.0365679j 0.188864+0.105782j -0.0408066+0.167493j 0.0299767-0.0540423j -0.073052-0.0186345j -0.0742399-0.0970262j -0.110977-0.00944329j 0.0731803+0.141836j -0.00514658+0.146245j -0.0435031+0.00113446j 0.0633454-0.0978499j -0.0682244+0.104116j 0.0430188+0.146655j 0.0630447-0.00705036j 0.0116544+0.0197742j 0.0122004-0.0239294j 0.0353253+0.0308335j 0.0126585-0.0200703j -0.0100092-0.00817193j -0.0352636-0.00161317j -0.0402367-0.008013j -0.0176364-0.0167754j 0.00888127+0.0401804j -0.00339201+0.168295j 
0.158536-0.270383j 0.0889561-0.119984j -0.00572553-0.146948j 0.0201729-0.0513856j 0.100256+0.0930748j -0.0103353-0.0949919j 0.041245-0.0890344j 0.0571032-0.0878881j -0.0488573-0.10706j -0.0179142-0.124238j -0.0364134+0.0144296j 0.0944273-0.0704552j 0.0314315+0.000124827j 0.0283981+0.0685004j -0.0108786+0.00640624j -0.0296517+0.0245688j -0.0053057-0.0127837j -0.00237428-0.0378547j -0.0371713+0.0233166j -0.00355866+0.00104271j 0.0171705+0.0122006j 0.00198805-0.026618j -0.0299012+0.0834008j 0.00863978-0.0385672j 
-0.0282461-0.406211j -0.0714571-0.308166j 0.0682353-0.00979227j -0.0664643-0.114833j -0.0569353-0.0538423j -0.0475178+0.0367014j -0.0218369+0.0876449j 0.0324982-0.0382321j 0.096807+0.0455491j 0.0366377+0.0211174j 0.0513613+0.0429614j -0.026436-0.00769992j 0.0156651-0.0274033j -0.0108059-0.00546594j 0.000543455+0.00780184j 0.000420094-0.0022926j 0.0129643+0.0105144j 0.012507-0.00668996j 0.00827269+0.0033075j 0.0159842-0.0388186j -0.011121-0.0437855j 0.0225055+0.0562337j -0.00754306-0.0520221j 0.0011878-0.00724503j 
-0.329803+0.0532511j -0.208074-0.0145585j -0.0219027+0.105226j -0.0500866-0.0934176j -0.0038139-0.0445848j -0.030961+0.0445611j -0.0373867+0.0372134j -0.136177+0.156171j 0.0656939+0.177821j -0.0067546+0.0492374j -0.0146024+0.0086796j -0.0853257+0.0864378j 0.0121807+0.0205511j -0.0114994-0.0278428j 0.0149422-0.0253477j 0.00113391-0.037941j -0.00447809-0.0111895j 0.0042267-0.0116463j -0.0155135-0.0173003j -0.00878577+0.0051047j -0.0300955-0.00901082j 0.0533571+0.0167255j 0.0471741-0.0537557j 0.0357609+0.0760285j 
-0.21219-0.211113j -0.0446566-0.0386013j -0.227308-0.0423882j 0.174393+0.0129042j 0.0675731-0.0451722j -0.0999306-0.0771763j 0.017854+0.0376614j -0.0125643+0.0335354j -0.0576039-0.111628j -0.0175552-0.0636247j 0.0343988+0.0115326j -0.0368402-0.00401624j 0.00191967+0.00340077j 0.0341544+0.00597705j 0.0474808+0.00248723j 0.00130951-0.0193095j -0.0233133+0.0212471j 0.00562079-0.0137314j -0.0112787+0.00120288j -0.0312547-0.00864684j 0.0048919+0.0302907j -0.0415883-0.0378207j 0.0226022+0.0126342j -0.013403-0.0274732j 
0.0065064+0.284115j 0.0808627-0.0985012j 0.0474091-0.0867409j -0.00596438-0.2018j 0.102415-0.00250833j -0.0230937+0.0658903j 0.105342-0.0676062j 0.0814109-0.025559j -0.0895341+0.0491595j -0.057401-0.07052j -0.0788347+0.114867j 0.158689-0.0981332j -0.00247851-0.0478593j 0.0086885-0.0025532j -0.00670315-0.011942j -0.0265554-0.00418599j -0.0244562-0.00249799j 0.0215491-0.0259787j 0.00234505-0.0245067j 0.0137735-0.0077326j 0.0644146-0.0410636j 0.034778-0.0486062j -0.020492-0.0481522j 0.00160904-0.0832592j 
0.137877+0.0346346j 0.125401-0.196577j 0.057686+0.184832j -0.0503635-0.248818j -0.00697164-0.143653j 0.108759+0.0716558j -0.0405172+0.0400551j -0.202995+0.129482j 0.0401319+0.0977741j -0.0197049+0.025256j -0.0649606+0.0901992j -0.0244439+0.0221844j 0.00539688-0.0559836j -0.0268534-0.0249738j -0.00121529-0.0384685j 0.0293388-0.0266466j -0.0202649+0.0326969j -0.00256799+0.0123288j 0.00359857-0.000527694j -0.0326059+0.049228j 0.00977838-0.0341449j 0.0274126+0.0265716j 0.0125613-0.0927118j 0.0278274+0.00252291j 
0.098325+0.073266j 0.0200635+0.128053j -0.056703+0.0592843j 0.0330577+0.0202659j -0.0535479-0.111074j 0.0019233+0.0424921j -0.0812414+0.0370881j -0.115747-0.10711j 0.119209-0.132038j 0.0286756-0.059103j 0.065951+0.0188636j -0.118486-0.0362258j 0.00584236-0.0650579j 0.0521769+0.0208866j 0.0324586+0.00726013j 0.0276308-0.0135396j -0.011977-0.0424345j 0.00240649+0.0163562j -0.0119203-0.0323772j 0.00902175+0.0302506j -0.0517807+0.0172249j -0.0127196+0.0148428j 0.00597147+0.0148555j 0.0272377-0.054582j 
-0.0312454+0.0575441j -0.285177+0.0416273j -0.0307325+0.00566217j -0.296037-0.122167j 0.207278+0.127256j -0.0356029-0.0935735j -0.0743688-0.0508426j 0.0051034+0.0122509j 0.0582128+0.0329594j -0.130392-0.0823659j 0.0302043-0.0771845j 0.0339758+0.0417936j 0.0618867+0.0607749j 0.036544+0.0316013j 0.0218594-0.00151432j -0.0139929+0.0111317j 0.0284242+0.0227588j 0.0011983-0.022943j -0.00436856+0.00168998j 0.0125085+0.0423717j -0.0145268-0.00136179j -0.0268039-0.0514967j -0.022171+0.067497j -0.0273129+0.0552143j 
-0.0648783+0.0153195j 0.0451677-0.0635574j -0.0125063+0.0515479j 0.0375628-0.109705j 0.0171684+0.0465821j -0.0201393-0.060674j 0.11608-0.0261762j -0.0330856-0.017878j 0.00574586+0.0025659j 0.00644035-0.0553845j -0.0746181-0.0157892j 0.0436515-0.0190065j -0.000571346+0.0201492j -0.0164882+0.0403799j 0.025539+0.017179j 0.0255331+0.0444351j -0.0805117-0.00167086j -0.0114526+0.0154102j -0.0164244+0.00776769j -0.0116144+0.0466916j 0.0053846-0.0161175j 0.0121051+0.00440716j -0.0136767+0.0161867j -0.00808151+0.00829369j 
