0.00207478-0.00339639j 0.00570239-0.00100528j -0.00462356+0.00117869j -0.0232846+0.00694635j 0.0039686-0.00164142j -0.020748+0.00353484j -0.0155124+0.00123035j -0.020546+0.00292156j -0.00907711+0.00136435j 0.00210083+0.00153859j -0.0149576-0.001041j 0.0186418+0.000809142j -0.0169849-0.00356688j 0.015681+0.00957362j 0.00761682-0.00461869j 0.00185004+0.00059461j 0.000598021-0.00414848j -0.00354314-0.00913089j 0.00267775+0.00328524j 0.0066068+0.0183103j 0.0022846+0.00822399j -0.00144762-0.00708633j 0.00413873+0.0186046j 0.00265701+0.0112412j -0.000389225-0.00862608j 0.00096098-0.00177228j -0.000698426-0.00484005j 0.000295001+0.000377922j 0.00182335+0.0206426j -0.000101727-0.00965898j -0.00102251-0.0107532j -0.000918105-0.00383722j 0.00150127-0.0122239j -0.00260288+0.0167164j -0.0059752+0.0114442j -0.00724055+0.00753244j 0.00172726+0.00879798j -0.000966977-0.00758892j 0.00620097-0.00182546j -0.00322977-0.00344176j 0.00151724-0.00233182j -0.00400925-0.0013376j 0.00401906-0.00561292j 0.00602623-0.00321281j 0.00916089-0.00340851j 0.000772253+0.00478139j 0.00178338+0.00618616j -0.00429321+0.00333825j -0.0081743+0.00191294j 0.00654634+0.00659127j -0.00742062+0.00312572j -0.00376981-0.00231239j -0.00393341-0.00938174j 0.00167614-0.00180817j 0.00613566-0.0054984j -0.00176325-0.00630065j 0.000451699+0.00820459j -0.00173175+0.00811662j 0.00237889+0.00446517j -0.00159954+0.00061236j -0.00303675+0.00224098j -0.00323864+0.00267191j 0.00496379+0.00407493j -0.00464937-0.00148112j 0.000654577+0.00325649j 0.0068498+0.00991163j 0.0012544+0.00250352j 0.00242419-0.0030863j 0.00477841-0.00501571j -0.0044786+0.00858923j -0.00503666+0.0026635j 0.00328854-0.00583768j -0.00674964-0.0010811j -0.00476983+0.000100398j -0.000409849-0.00128164j -0.000917853+0.00545258j 0.00280943+0.00930041j 0.00225265-0.00747384j 0.002354+0.00737179j -8.89111e-05-0.000282277j 0.00689302-0.00251869j 0.000671058-0.00875703j 0.00727771-0.00292453j 0.0068481-0.000130763j 0.000294422+0.00567776j -0.0109184+0.00120622j 0.00645243+0.00233535j -0.00164912-0.00810622j -0.00342495-0.000322024j 0.0056567-7.2099e-05j -0.00345013+0.00116107j 0.003708-0.000269238j 0.00134253-0.00541124j -0.00681829-0.00145322j -0.00234773+0.00148807j 0.00332349+0.000520048j -0.00144006+0.00108786j 
0.000232447+0.00116149j 0.00592644+0.00648554j 0.00543424+0.00907538j -0.00651708-0.0194354j 0.00701362+0.0176908j -0.000361704+0.000121319j -0.000700463+0.0230805j -0.00525636-0.0136417j -0.000503771-0.00779028j -0.00167455-0.0258771j -0.00213392+0.00935259j 0.00253418+0.00550283j 0.00460481-0.00410706j 0.0113932-0.0303602j -0.0118307+0.00519506j -0.00025787-0.00294171j -0.00313766+0.00822039j 0.00190724+0.00290162j 0.00143346+0.0021706j -0.00040698-0.000166597j 0.000767608-0.000885149j 0.00020794-0.00138746j -0.00110554+8.22785e-05j -0.000576757-0.000604905j -0.000288447-0.00197555j 0.00102916+0.000175446j -0.00054351-0.000554455j 0.00101504+0.000584204j -0.000507602-0.000314573j 0.000515382-0.00194553j 9.10392e-05-0.00262999j -0.000311102-1.94453e-05j 0.00158084+0.00023108j 0.000870668+0.00137613j -0.000533961+0.00205963j -0.00101308-0.00413381j -0.00428412+0.00481857j 0.000483775-0.00769102j 9.63532e-06-0.00107679j 0.0041582+0.00158212j -0.00802751+0.00164696j -0.00151023-0.00217353j -0.00363269-0.00635214j -0.00155133-0.00496054j -0.0044504-0.00407165j -0.00725047+0.00189778j 0.00165047+0.00250156j 0.00237993-0.00566833j -0.00153971-0.00253232j -0.00557011+0.00336768j 0.0029791+0.00841908j 0.00490725-0.00583851j 0.00213366+0.00202008j -0.0075651-0.00210871j 0.00162539+0.0020821j -0.00316686+0.000883035j 0.00764892+0.00811324j -0.0027055+0.00424731j -0.00867606+0.00390821j 0.000536072+0.00569598j 0.000215884-0.00332791j 0.00399842-0.0006696j -0.00839779+0.00699026j -0.00658087+0.00647797j 0.00322407-0.000194396j -0.000502719-0.00060201j -0.00140535-0.000913923j -0.00224743-0.0012136j -0.0047256-0.000916562j -0.00382502-0.00193933j -0.00725119-0.00459796j -0.00453171-0.00294906j 0.00749369+0.00129088j 0.00108401+0.00319488j -0.00396676-0.00446303j 0.00857121+0.00140897j -0.00301236+0.00673485j 0.0044272-0.00424693j -0.00471735-0.0016688j -0.00678565+0.0038879j 0.00161167-0.00292434j -0.00523233+0.00251161j -0.00504509-0.00860155j -0.00288189+0.00911512j 0.00460974+0.000332672j 0.00177708+0.00100548j -0.00762024-0.0030296j -0.00216506-0.0013704j -0.00660406+0.0023992j -0.000295962+0.00599644j 0.00200877-0.00655855j -0.00966938-0.00232817j -0.0021789+0.00121822j -0.00583381-0.00105285j 0.00233013-0.00906025j 0.00900784+0.00129385j 0.00210545-0.0115333j 
0.00168197-0.00674592j -0.00852392+0.00274813j -0.0114639+0.0116777j 0.0012094+0.00855361j -0.0147494+0.0121042j -0.00782755+0.00639245j 0.000667473-0.00647538j 0.00392999-0.00618652j -0.00481855+0.00669757j 0.0126174-0.0020275j -0.00535721-0.000383552j -0.00548176-0.00644336j -0.0242114-0.0101426j -0.0280334-0.00708635j 0.00774037+0.0258388j 0.00757778+0.0235484j 0.0174087-0.000440905j -0.000783451+0.0150513j -0.00604154-0.00174722j 0.00272709-0.000324097j -0.00628017-0.0128345j -0.00571715+0.0080601j 0.00429146+0.00311086j 0.00125279+0.00550344j 0.0020528+0.0115399j -0.00207177-0.0108027j 0.00412264-0.00498887j -0.00324894-0.00839624j -0.000131482+0.00783266j -0.00125824+0.00570151j -0.00196471+0.00890096j -0.000640298-0.0024333j -0.00414798-0.00658077j -0.00960865+0.00127964j 0.00471893-0.00945194j -0.00847309+0.0148842j 0.0177395+0.000402391j -0.00343676-0.00361153j 0.0031539-0.00657678j 0.000334034-0.00346088j -0.00319958-0.00263185j -0.00345061-0.0075145j 0.00657978-0.00650272j 0.00371519+0.00094187j 0.00143851+0.00098339j -0.00237121-0.00267157j -0.00206024+0.00547829j 0.00551232-0.00632662j 0.000883348-0.00292858j -0.00314446-0.000872717j -0.00390426+0.00329326j 0.00434393+0.00389899j -0.00454589-0.000290958j -0.00134322-0.00143373j -0.00166158+0.00637969j 0.000199359+0.000593869j -0.00094759+0.00327839j -0.00304964-0.00138165j -0.00183002-0.00183334j -0.00222999+0.00322235j 0.00418192+0.00312582j 0.00337067+0.000529063j -0.00249216+0.00116411j -0.00721999-0.00502959j 0.0050477-0.00664245j 0.00313166-0.00118328j -0.00549393+0.00111502j -0.00639579+0.00163601j -0.00188481-0.00271667j -0.00292594-0.00553275j 0.000914942-0.000117947j 0.00332536-0.00264045j 0.00186412-0.00149326j 0.000267994-0.00225688j 0.00140759-0.00701373j 0.00231649+0.000233506j 0.00532212+0.000786748j 3.16739e-05-0.000229353j 0.00194197-0.00148107j -0.00353519+0.00242259j -0.00242733-0.0030569j 0.00477548-0.00153459j -0.00304684+0.00501382j -0.00268863+0.000737418j 0.00235603+0.0003312j -0.00398859-0.00248209j -0.00244937-0.000503918j -0.00445927-0.00560024j 0.00707832+0.00106968j -0.00313332-0.000803716j -0.000527546-0.00212478j -0.000838013+0.00430348j 0.00264285-0.00772107j 0.00515241+0.00297187j -0.00339585-0.000610076j -0.0215142+0.00100183j 0.00374151+0.0124558j 
0.00718826+0.006075j -0.00283086-0.00151392j -0.00526569-0.010989j -0.0165438+0.00360479j -0.0106123-0.0100961j -0.00106708-0.00733839j -0.00965241+0.00505162j 0.00635645+0.00458211j -0.0166112-0.0025563j -0.000427019+0.00891401j -0.00696055-0.00513352j -0.00526515-0.0039713j 0.0171169-0.0124414j -0.0083353-0.02009j -0.0174367+0.0125215j -0.00780095-0.00521904j -0.000776927+0.0134666j -0.000537656+0.00015256j 0.00139088-0.0119011j 0.00364169-0.00751054j -0.00579029+0.00465729j 0.00441911+0.00775044j 0.00457307+0.00356843j 0.00417101-0.00145717j 0.00877895-0.00719671j -0.00872024-0.00417839j -0.00045538+0.00954514j -0.00814883+0.00400147j 0.00636376+0.00437097j 0.000414519+0.0055916j 0.00195746+0.00700328j -0.000822544-0.00551672j -0.00792888-0.00232304j -0.00265712+0.0146922j -0.0158061+0.00519233j 0.0026579-0.00034997j -0.0134964-0.00558616j 0.00599387-0.00277391j -0.00140107+0.00442075j -0.00617719+0.00267146j -0.0068644+0.000472703j 0.00339138+0.000628091j -0.00539479+0.00622475j -0.00566552+0.000878073j 0.00143644+0.000925566j 0.00330885+0.0005106j 0.00488142+0.00841859j 0.00244178-0.00560041j 0.00749451+0.00177663j -1.06529e-05+0.00658254j -0.000604962+0.000696637j 0.00782295+0.00137739j -0.00294602+0.00221946j -0.000339362-0.00351496j 0.00333211-0.000990845j 0.000393379-0.00544378j 0.00337711+0.00203362j -0.00184237+0.00407838j 0.0019416-0.00529154j 0.00198325-0.00287917j 0.00775058-0.00211105j -0.00198587-0.0023679j 0.00205172+0.00209964j -0.00474391-0.00247234j -0.00481617-0.00277654j -0.00216658-0.00435186j 0.00104754+0.00471237j -0.000469075+0.00460094j -0.0004021-0.00377587j -0.00316401+0.00779533j 0.00549781-0.000439514j -0.00130262-0.000669255j 0.001548-0.00298568j -0.00416852-0.00411196j -0.00177642-0.00498433j -0.00186423+0.000876364j -0.000650419-0.00328955j -0.00474439+0.0019712j -0.00340608-0.00487261j 0.00148136-0.000455508j -0.00444784+0.000986677j 0.00168153-0.00385394j 0.00450053+0.00361142j -0.00354041-0.00159965j 0.00190788-0.00473962j -0.00507657+0.00270785j -4.65207e-05+0.00508528j -0.00532414+0.0074819j -0.00253934-0.00540379j -0.00088142+0.000614614j -0.00759858-0.000185609j 0.00545487+0.00630411j -0.000123412-0.00386799j -0.000901757+1.93305e-05j -0.00694233+1.4256e-06j -0.00331533+0.00137707j -0.00869708+0.00345999j 
0.00389451+0.00518191j -0.00452895+0.00393352j -0.00535046-0.00118037j 0.008927-0.0104273j -0.00380972-0.0163249j -0.00547189+0.000446868j 0.0138639-0.00312487j -0.00154498+0.0077304j 0.00897572-0.0118045j 0.00307105+0.00754646j 0.00780334-0.00280857j 0.0127237-0.0144487j -0.015191-0.0123004j 0.00556558-0.00804176j -0.00906173+0.0128426j 0.00233401+0.000656956j 0.000586104+0.00141014j 0.00204761-0.00447569j 0.000347728+0.00517036j 1.37962e-05+0.0068843j -0.00841584+0.00265472j 0.00784926-0.0132316j 0.00522441-0.00446158j 0.00523518-0.000315656j 0.00755999+0.00153948j -0.00527758-0.000237292j 0.00687099-0.0149513j -0.00568812-0.00389956j 0.00955867-0.0022032j 0.00841914-0.00706678j 0.00914229-0.00605868j -0.00678814+0.00401975j 0.00228922-0.00133499j 0.00711604-0.00628498j 0.00210537-0.0059645j 0.015869-0.00303818j -0.0119623-0.012039j 0.00310727-0.000920952j -0.00197776+0.00140069j -0.00623227+0.00194685j -0.00507268-0.00195015j -0.00196194-0.00336646j 0.00365243-0.00210605j 0.00403594+0.000347837j -0.000432107-0.00157387j -0.000318582-0.00444497j 0.0058158-0.000232774j -0.0045292-0.000775246j -0.00479098-0.00101681j 0.000556845-0.00462313j 0.00287344+0.00520341j 0.000114332-0.00247388j -0.00296885+0.00149667j -0.00666703+0.00531456j 0.00597988+0.00317653j -0.000243433+0.000162295j -0.00306559-0.00162073j 0.000833962+0.0049625j -0.00737573+0.002871j 0.00398619+0.00514716j -0.000665445-0.00101182j 0.00255141+0.000891026j 0.00249612-0.00606077j -0.00270708+0.00688281j -0.00446497-0.00573387j -0.00152944+0.00195156j -0.00135374+0.0032289j -0.000190029+0.00415719j -0.00653704+0.00359219j -0.0036481-0.00133074j -0.00197218+0.00212314j 0.00361715-0.00497689j -0.00581013-0.00160032j -0.000947384+0.00344506j -0.00629423+0.000413465j -0.000714829-0.00543801j 0.00239218-0.00163153j 0.00765225+0.00381847j -0.00113766+0.00335024j -2.44618e-05+0.00854068j -0.00272274+0.00102305j -0.00178718-0.003023j -0.000765945-0.00287607j 0.00639268-0.000231036j -0.00233049-0.00043645j 0.000553345+0.00373171j 0.00070317-0.000517915j 0.00140671-0.000297006j 0.00386217-0.00105941j 0.00261491+0.00360119j 0.00246883+0.00523867j 0.00401558+0.00230037j -0.0010139-0.0044569j 0.00239241-0.00248842j 0.00325451+0.00428704j -0.00459194+0.00668041j 0.00120302+0.00588419j 
-0.00111862-0.00444626j 0.00403545+0.00160773j 0.00379688+0.00428525j -0.0115471-0.015026j -0.00324342-0.00106445j 0.0036684+0.00687318j -0.00813365-0.0207947j 0.00133328+0.00446294j -0.00690933-0.0148661j -0.00101464-0.00241748j 0.000835836-0.010857j -0.00878631-0.0105749j -0.0010644+0.0235374j 0.00129032-0.0102171j 0.000426034-0.00298743j 0.000699557-7.67884e-05j 0.000819544-0.00363607j 0.00417591+0.000163381j -0.00703113+0.00332764j -0.0087001+0.00168493j 0.00422758-0.00166164j 0.0137243+0.00208168j 0.00223076+0.00297817j -0.00291256+0.00155732j -0.00681048+0.00152889j 0.000218865+0.00111894j 0.0185709+0.00442323j 0.00867436+0.00164854j 9.92298e-05+0.00251997j 0.00881319+0.00431661j 0.00881649+0.00429054j -0.00809315-0.0047528j 0.00366429+0.00688701j 0.0130543+0.00276759j 0.013735+0.00799027j 0.00342122+0.00692436j 0.00766129+0.000937314j -0.00231836+0.00178563j -0.000474338-0.000221619j 0.000920803-0.00229156j 0.00578332-0.000536139j 0.00330542-0.00152032j 0.00481444+0.00607387j -0.00036563+0.00670093j 0.000406718-0.00200237j 0.00510364+0.000361094j 0.00311937-6.37141e-05j -0.00449921-0.00349901j 0.00254679-0.00732477j 0.00826927+0.000509149j -0.003145+0.00304771j 0.00154718-0.0049477j 0.0012143-0.00139324j -0.00535474-0.00620175j -0.0050748-8.00565e-06j -0.00337883+0.000598592j 0.00248611-0.0054546j -0.000822506+0.00128536j -0.00490288-0.00593587j -0.00727193+0.00175109j -0.00245025-0.00417107j -0.00196859+0.00431841j 0.00548653+0.0018208j -0.00638796+0.000469567j 0.0040309+0.000671663j -0.00514891+0.000859402j -0.000328862-0.00302513j -0.000732725-0.000854026j -0.00243204-0.00507841j 0.00584515-0.00117901j -0.00324125-0.00528851j 0.00425415+0.00406119j -0.0010357-0.0049048j -0.00394733+0.0035017j -0.00257153-0.00388546j 0.00522028+0.00121884j -0.00133271+0.00142913j -0.00229212+0.00786574j -0.00500967+0.000491827j -0.00604133-0.00299115j 0.000735185-0.000478299j 7.52174e-05-6.69771e-05j 0.003619-0.00340417j -0.00112774+0.00740483j -0.00243166-0.00424544j -0.00179936+0.00294657j 0.00262562-0.000946676j 0.00420634+0.0043273j -0.00381682+0.00519336j -0.00315868+0.00274084j -0.0027521+0.00586346j -0.000585736-0.000588507j 0.00228679+0.00182423j -0.000341366+0.00567723j -0.00390088+0.00419265j 0.000958834-0.0047822j -0.00157947+0.000659651j 
0.00776815+0.00468274j 0.00425263-0.00719125j 0.00109182-0.0119432j -0.00614919-0.0134859j -0.0113823-0.00330851j -0.00202325-0.00559485j 0.0190991+0.0161698j 0.0086499+0.00299786j -0.00846649-0.00710582j 0.000718449-0.00739118j 0.00562081+0.00788941j -0.0091945+0.0088847j 0.00118438+0.0148172j 0.0208408+0.00716701j 0.0282095-0.0171814j -0.00572824-0.016368j -0.021711+0.0115364j -0.000470278-0.00926232j 0.0126129+0.00658192j -0.000850939+0.00286704j 0.00638698-0.00794146j 0.0104118-0.0012404j -0.00408755+0.00745447j 0.00110399+0.00384982j 1.93313e-05+0.00678449j 0.0043266-0.00348575j -0.00558337+0.00586349j 0.0053751-0.00769385j -0.00321421+0.00690414j 0.00147698-0.00139436j -0.00157082+0.000427074j 0.000627425+0.00103147j 0.00797167-0.000256501j 0.00748034+0.00280935j -0.00734086-0.00696882j 0.0110219+0.0042544j 9.39461e-05-0.0271413j 0.0108513+0.0098206j -0.00446718+0.00846876j -0.000699797-0.00631155j -0.000103492-0.00663606j 0.00704216+0.00819034j -0.0105751+0.00390055j -0.00198854-0.00582095j -0.00227992+0.000349795j 0.00406742+0.000462157j -0.00369749+0.00308538j 0.00432187+0.00692832j -0.00543233+0.00673671j 0.00128274-0.0012962j -0.00179331+0.000174326j -0.00488333+0.000946575j 0.000217975-0.0038094j -0.00620543-0.0030162j -0.000102056+0.00622358j 0.00486386-0.000121061j 0.000940556-0.00135672j -0.00477716+0.00109001j 0.00262977-0.00422437j 0.00334165+0.00388381j -0.00193656+0.00400726j 0.00113426-0.00205128j 0.00426932+0.000494503j 0.00367113+5.05835e-05j 0.00291508-0.00343805j 0.000402231-0.001006j 0.000427207-0.000567805j 0.00201226-0.00313173j 0.000867677-0.00445477j -0.00358478-0.0038744j -0.000489097+0.00376005j 0.000427396+0.0039228j 0.00141836+0.000586687j 0.000230646-0.00341236j 0.00325979-0.000348216j 0.00240487-0.00537626j 0.000525037+0.00290668j -0.00236703+0.0040562j 9.25574e-05-0.000604295j -0.00471441+0.00242139j -0.00052864-0.00683784j 0.000193265-0.0011998j 0.00400798-0.000442076j 0.00412413+0.00235657j 0.00258164-0.00053315j -0.0012094+0.000194787j -0.00325138+0.00451562j 0.000410334-0.000474272j 0.00156264+0.00091544j 1.83537e-05+0.000951623j -0.00103564-0.00313902j -0.00433085+0.0026944j -0.000585712-0.00252714j 0.000670406-0.00741014j 0.00690618+0.00105582j 0.0134005-0.0084715j -0.0126386-0.0183726j 
0.0142702-0.007239j -0.00136278-0.0150061j -0.00748037-0.0179451j -0.0160685-0.00250466j -0.0046684+0.00117139j -0.0074364-0.010543j 0.0290914-0.00526179j 0.00347577-0.0026777j -0.00761384+0.00380497j -0.0106294-0.00366776j 0.0126431-0.00124555j 0.00381429+0.0159928j 0.0159259-0.00213383j 0.026312-0.0258545j -0.0172958-0.0332094j -0.0268554-0.0109839j -0.0081439+0.0230618j -0.0155782-0.00478934j -0.000490499-0.00826299j 0.00828804+0.0024518j 0.00927732+0.00295782j 0.00321404-0.0104475j -0.00239196+0.00543696j -0.00222607+0.000524866j -0.000499266-0.004097j -0.000423618-0.0067981j 0.00917034-0.00575181j 0.00293978-0.000907485j -0.00486841-0.00251723j -0.00238113-0.00385062j -0.00513842-0.00453449j -0.00833332-0.00155198j 0.00390646-0.00652425j -0.00040639-0.00141405j 0.00120927-0.00357209j 0.000760672-0.0226379j -0.0102657+0.00141616j 0.0103934+0.00206573j -0.00197663+0.0148206j -0.00433639+0.00768182j -0.00206116-0.00763167j 0.00800212-0.000953611j 0.00269972+0.00614674j -0.000347126+0.00451211j -0.0034532+0.00332283j 0.0109242+0.0013855j -0.00530954+0.00224398j -0.00227088+0.00582626j 0.00501106+0.00070985j -0.00109469+0.00192807j 0.00170558-0.00150576j 0.00216731+0.000370114j 0.00100831+0.00142273j -0.000661859-0.00289748j -0.00484127-0.00474944j 0.00296415+0.00150833j -0.00466544-0.00484971j 0.00109229-0.00156228j 0.00298784+0.00297309j 0.00131353+0.00180311j 3.67114e-05+0.00247949j 0.00320706+0.00410951j 0.0051523-0.0037j -0.00290953+0.0014706j 0.000606099+0.000426891j -7.02918e-05+0.00193358j -0.00546781+0.00494659j -0.00268107+0.00473729j 0.00260392-0.000716489j 0.00129015+0.00418398j -0.00127387+0.00494361j 0.00034993-0.00488736j -0.0044915-0.000486927j 0.00543234+0.00266159j -0.00414459+0.00145028j 0.00309747-0.000814553j -0.00259201-0.00165441j -0.00289688-0.000334906j -0.00166129-0.00063386j 0.00131275-0.00341449j 0.00135687-0.00064678j 0.00412337+0.000373069j -0.00259515+0.00210513j 0.00178631-0.00380589j -0.00396765+0.00132401j -0.000601479-0.000182867j -0.00235265-0.00818107j -0.00477418+0.00159238j -0.00501689+0.00323754j 0.00329541+0.00820061j 0.00388248-0.000476899j 0.00128358+0.004986j 0.0112894-0.000734707j 0.00317337+0.00785774j -0.00616996+0.000505312j 0.00633999-0.0192449j -0.0185694-0.0116406j 
0.000693604+0.0114625j 0.00814647+0.00268126j 0.0072124-0.0050613j 0.0069533-0.00279739j 0.00846514-0.00574332j 0.000242021-0.0138925j -0.0100901+0.00641812j -0.00618764+0.00676945j 0.0147549-0.00107754j -0.00364423-0.00662004j -0.00242676+0.0053661j -0.0251399+0.00991153j -0.0124946+0.0170255j 0.0122316+0.00281527j 0.011673+0.00782568j 0.00336023-0.00807784j -0.0077457-0.00452786j 0.000246044-0.000468671j -0.0104826+0.00457694j 0.0106438-0.00391788j 0.00230706+0.00245073j 0.000259418+0.000105024j 0.00664096+0.000786927j -0.00169893+0.00261191j 0.00534866-0.000947029j -0.0199117+0.00148029j 0.00348532-0.00708769j -0.00209228-0.00173151j -0.00434073+0.00205786j -0.0019387-9.80769e-05j 0.00613471+0.000195154j -0.0127059+0.00215289j -0.00954337-0.00170067j -0.0109908+7.06866e-05j -0.00729107-0.0144964j -0.00363104-0.002206j 0.00408314+0.00717496j -0.000608303-0.00406888j 0.0054059-0.000166776j 0.000237638-0.0115721j 0.00621984-0.000734689j 0.00232148-0.00114737j 0.000833877-0.000277786j -0.0010477+0.00224148j 0.000750262+0.00682058j -0.0017133-7.05973e-05j -0.00018594-0.00137071j -1.82824e-05+0.000555408j 0.00657849-0.000847759j -0.00392963-0.00166211j 0.00331776+0.000875643j 0.00176656-0.00228742j 0.00453823-0.00251365j -0.00299965+0.00130248j -0.0014835+0.0042111j -0.00204999+0.00410491j -0.00332334-0.00104091j 0.00471861-0.00107457j -0.00203083-0.00215993j 0.00224771+0.000277536j 0.000435386+0.00707252j -0.00167167-0.00365818j 0.001117-0.000255684j -7.70085e-06+0.000355284j -0.00311835+1.72196e-05j -0.000788309-0.000515866j 0.00662716-0.00317914j 0.00394103-0.00720431j -0.00064871-0.00293674j 0.00117683+0.000614228j 0.00150298-0.000468074j 0.000750908+0.000498525j 0.002803+0.00300126j 0.000690825+0.00445567j -0.00597957-0.00165441j -0.00336276-0.00315273j 0.00254687+0.000457657j 0.00215637-0.00193945j 0.00252175+0.00111301j 0.000647556-0.00104663j -0.00672878-0.00191869j -0.00145331-0.000946554j 0.00270178-5.45916e-05j 0.000997319+0.000958803j -0.00756812+0.00138922j -0.00551288+0.00113409j -0.000968425+0.000594647j -0.0013988-0.00331897j -0.005593+0.00198708j -0.0013944-0.00219316j -0.000731573-0.00431197j -0.00777935-0.00539252j -0.0108138+0.00895698j -0.00262775+0.00697513j -0.00977418+0.000622593j -0.00340733-0.00701263j 0.00224987+0.00705024j 
0.00252807+0.00526757j 0.00521615-0.00149563j 0.0108974-0.00546587j -0.00586814+0.00208633j -0.00429744+0.00555609j 0.0137812-0.0137913j 0.0153729-0.00767971j -0.00723293-0.00124196j -0.0148762+0.0129992j 0.0103887-0.00478242j 0.00431668+0.000966265j -0.013603-0.00770886j -0.0130851-0.00488441j 0.0166048-0.00412823j -0.0198276-0.014263j 0.00841427-0.00561503j -0.00294718-0.00840856j 0.00402452-0.00208866j 0.0031595-0.00423201j 0.00144756+0.00334646j -0.00325995+0.0029612j -0.00398458+0.00235059j 0.0033031+0.000952609j -0.000963559+0.00121294j 0.00320931-0.000664372j 0.00640806-0.000110282j 0.00371582-0.00233544j 0.00136046+0.00258197j 0.00119762+0.000403906j -0.000590373+0.00202051j 0.00356432-0.00213299j 0.00279758-0.00264189j 0.00465995+0.00222213j -0.0112415-0.00755382j 0.00665634+0.000848219j 0.00135311+0.000331009j -0.00165093-0.000689209j -0.00668975+0.00293657j -0.00188059-0.00640293j -0.00280265-0.00286833j 0.00108113-0.00520337j -0.00697103+0.0019322j -0.00528766-0.0015554j 0.00254213+0.00267485j 0.00804555-0.00212998j 0.000494913-0.00386092j 0.00169153+0.00560238j 0.00111239+0.00535765j -0.00111029-0.00367743j 0.00154422+0.00399485j -0.000118735+0.003863j -0.00175294-0.00603818j 0.00545016-0.00606312j -0.00332941+0.00161475j 9.17461e-06-0.00216334j 0.00530064-0.000483338j 0.000430955+0.00526768j -0.00484733-0.00330451j 0.00486469-0.00161332j 0.000793236-0.00449406j 0.00730818-0.00200911j -0.000736838-0.00177885j 4.8049e-05-0.00803138j 0.00127261+0.00724994j 0.001224+0.000339706j -0.00474302-0.00166038j 0.0015215-0.00352387j -0.000945394+3.72843e-05j -0.00303929-0.000440869j -0.000418275-0.00175694j 0.00448682-0.00736052j 0.00104758-0.00044115j 0.00301074-0.00229467j 0.00509372-0.00276754j -0.00329818+0.00944169j -0.00693644-0.00415782j 0.00726848+0.000914576j 2.76473e-05+0.000387206j -0.00351372-0.00265599j -0.00452559-0.00481975j -0.00147772-0.0031537j -0.00448715-0.000149132j 0.00469838-0.00346576j -0.0036062+0.000644617j 0.00599118-0.000506584j -0.00314569-0.00149095j -0.00863285+0.00449107j -9.82108e-05+0.00466838j 0.00349687+0.00540638j 0.0036159-0.00282662j -0.00171027+0.0035848j -0.00682254+0.00592323j 0.00638954+0.00276255j -0.00749304-0.00184866j 0.00264165+0.0022038j 0.00279792+0.00329514j 0.00350659+0.00508739j 
0.0087042-0.00290785j 0.00325018+0.00211944j 6.45168e-06-0.000683347j 0.00282303+0.00213013j -0.00589657-0.00686904j 0.00606496+0.00230035j 0.00949499+0.00934053j 0.00220764+0.00584503j -0.0189914-0.0166764j -0.00916092-0.000812598j -0.000930741-0.00565351j 0.00539454+0.0133897j 0.00599176-0.00586389j 0.00971644-0.00288315j 0.00231754-0.0196984j -0.00324225-0.00345648j 0.00235687-0.00135668j -0.000471283+0.00168746j -0.0111167+0.00671601j -0.00294175+1.68608e-05j -0.0124608+0.0047873j -0.00136564+0.00375633j -0.010692-0.00257018j 0.008566-0.00451702j 0.00837081-0.000650077j 0.00349759+0.00171449j 0.0072685-0.00392457j -0.0186434+0.00324416j -0.00212373-0.00346655j 0.000889094+0.0037027j -0.0168738-0.00244155j -0.00374412-0.00344607j -0.0121212-0.00291555j -0.00354937+0.00217891j 0.00625559-0.000692736j 0.00340209+0.00409022j 0.0131217+0.00300669j 0.000834189-0.00484564j 0.00419558+0.00325359j 0.00353921+0.00117494j -0.00229901+0.000284269j 0.00117842-0.000412453j 0.00474404-0.00154226j 0.00248702-0.00381226j 0.00395039-0.00354683j 0.000344747+2.8157e-05j 0.00510093+0.00255243j 0.000784892+0.000302275j 0.00034195+0.00315906j 0.00554491-0.00174049j 0.000193915+0.00011281j 3.40586e-05-0.00113033j -0.00325044-0.00334969j 0.00217744-0.00151942j -0.00303775+0.00407861j -0.00182353-0.00569922j 0.00454186-0.00259287j -0.00316085+0.00326462j 0.0014767-0.00153533j 0.00292343+0.00385676j -0.00358647-0.00412042j -0.00229708-0.00349361j -0.00259397-0.0026404j 0.00396344-0.00175947j 9.55565e-05-0.001026j -0.000444327+0.00349265j 0.00264911+0.00111712j 0.00244692+0.000272911j 0.000831632+0.00195608j -0.00191759-0.00196659j -0.00165519-0.00130988j -0.00437485-0.0011759j -0.000228821-0.00105155j -0.00624495-0.00418555j 0.00504527+0.0020415j -0.00308436+0.00136415j 0.00110737+0.00050427j 0.000177614+0.0054736j -0.00718562+0.00290754j -0.000783331+0.00166597j -0.000319824-0.0026588j -0.000702745+0.00518857j -0.0014232-0.000543314j -0.000495391+0.000789829j -0.00240776-0.00548882j 0.00418333-0.00365915j -0.000568393+0.00368818j 0.0042345-0.000280956j 0.000655626-0.00173232j -0.00457947-0.00404355j 0.00493167-0.0010348j -0.00174749-0.00124463j -0.00680062-0.000971724j 0.00233863-0.000208783j 0.00321483+2.83935e-05j 0.000895212-0.00668615j 0.000849602+0.00579219j 
