2.05797e-05+0.00933362j -0.0188495+0.00719448j 0.013533-0.00387371j -0.00149889-0.00699938j -0.000206935-0.00101308j 0.00060754-0.000495654j -0.00773408+0.00011539j 0.00611368-0.000611537j 0.00134428+0.000462171j 0.00120471-0.00111481j 0.00120215-0.00228386j -0.00895758-0.000762243j -0.0102983+0.00679169j 0.00592832-0.00162118j -0.000317098+0.0012899j 0.00609027-0.00741575j 0.00523-0.00360498j -0.00119109+0.00277299j 0.00085926-0.00329525j 0.00115642+0.00461906j -6.49277e-05+0.00229349j 0.00865538-0.00344278j -0.00248939+0.00208851j 0.00324995+0.000301071j 0.00272154-0.00184433j -0.00842779+0.00642361j -0.000193615+0.000999877j 0.00288363-0.000694446j 0.00798615-0.00179232j 0.000371562-0.00239749j -0.00109739+0.000661249j 0.00932475+0.000225637j -0.00173897-0.00152178j -0.00662185+0.00269776j -0.0042504-0.00255189j -0.00776452+0.00335669j 0.00682277+0.00651726j -0.00130812-0.00220225j -0.000104104+0.000264414j -0.00399805+0.000832755j -0.00498818-0.00412814j -0.00673311-0.00368777j -0.00193223-0.000157217j -0.0102244+1.18875e-05j 0.00371954-0.00262219j 0.000432593+0.00205287j 0.00451217+0.00365648j 0.000270771+0.00435461j 0.00145665-0.00197292j -0.0004929-0.00238523j -0.00205716+0.00432847j 0.00203056+0.00427593j -0.0110812-0.00415924j 0.00133784-0.0108152j -0.0062012-0.018612j -0.0173062-0.00438237j 
0.0108225-0.0020774j -0.0056623+0.00801142j -0.0101213+0.00263957j -0.00162957+0.00370682j 0.0121618+0.000215891j -0.00688607+0.00702615j -0.00724571+0.00295204j -0.00718474-0.000923317j -0.000813303+0.00586656j -0.00444333-0.000133324j 0.00345833-0.000447043j 0.00214747-0.00294349j -0.0019739+0.000777711j 0.00711652+0.000175689j 0.00819991-0.00112243j 0.00469978-0.00401005j -0.0128231+0.00267458j -0.00540648-0.000708976j 5.24643e-05+0.00344023j -0.00261918+0.00360871j -0.00476664-0.00363067j -0.0026604-0.00519047j 0.000153137-0.00108716j -0.00722183+0.00114265j 0.00469773-0.00167579j 0.00763376-0.00551841j 0.00664182-0.00198945j 0.00906281-0.00264814j 0.0136795-0.00133128j 0.00193782-0.00163275j 0.0106885-0.000103955j -0.00247627+0.0044503j -0.00104408-0.000509342j 0.000733818+0.000208343j -0.00722082-0.00299943j 0.00602243-0.00303618j -0.00434064+0.00147497j -0.0101647+0.000670722j 0.00980166+0.00399681j 0.00479045+0.00192268j 0.000619038-0.000565074j -0.000419884-0.00037943j 0.00182149+0.00183662j -0.00328101-0.00250179j 0.00132622+0.0014291j -0.00505283-0.00450102j -0.00969829-0.0018028j -0.00818523-0.0014301j -0.00226858-0.00797485j -0.00229533-0.00657901j 0.0109153-0.0016012j 0.00187873+0.00724201j 0.0089361+0.00505871j 0.00523003+0.00759957j -0.0138785-0.00587004j 0.000403602+0.0119703j 
0.00560483-0.00098299j -0.00491142+0.00416924j -0.00342587+0.0038801j 0.00737319-0.0018017j 0.00569097-0.00208911j 0.00210897+0.00101158j -0.00404052+0.00166687j 0.00710276-0.00314693j 0.00110747-5.86554e-05j 0.0104665-0.0045858j -0.0081438+0.00136497j 0.00233678+0.0004529j 0.00314953-0.00237885j -0.00965852-0.000548192j -0.00269142-0.0024981j 0.00391182-0.00111212j -0.00550369-0.000608479j 0.00922973-0.00370667j -0.000762219-3.73278e-05j -0.0105306+0.00473091j -0.00706542-0.000698807j 0.000464886-0.000702025j -0.0222836+0.00211287j 0.00386573-0.00281856j 0.000574835-0.000898977j 0.00096272+0.000171443j -0.010645-0.000836039j -0.0106934+0.00177431j -0.00282388+0.000370011j -0.0100172+0.00162014j 0.0152578+0.00295495j 0.00174445+0.000985285j 0.00210126+0.000209136j 0.00536883+0.000440482j -0.00314628-0.00271097j -0.00290923-0.00194755j -0.00154488-0.000170225j 0.0162215+0.00187238j -0.00509892+0.00186494j 0.00858765+0.00334662j -0.00482437-0.000624543j 0.00137414-0.00140553j -0.00523046-0.00516543j 0.00881941+0.00310816j 0.00541969+0.00288917j 0.00650902+0.00206254j -0.000569878-0.00352622j 0.00163757+0.00322502j 0.00935316+0.00451825j -0.00575782-0.00230065j 0.00265938+0.00155172j -0.0063989+0.000141226j -0.00445724-0.00430907j 0.00802262+0.00106153j -0.00588301-0.00237586j 0.000630019+0.00353192j 
-0.00299689+0.000706457j 0.002039-0.00188462j 0.00356854-0.00160532j -0.000901728-0.000604917j 0.00230066-0.00175862j 0.0010718+0.00244212j -0.0117634+0.00224094j 0.00525598-0.00296204j 0.00313674-0.00208583j -0.0118871+0.00542691j 0.000178024+0.00335928j 0.00188068+0.00157547j 0.0225671-0.0058429j -0.00653631+0.00131582j 0.00675151-0.00041735j 0.00303382-0.00165601j 0.00343936-0.0020228j -0.00453489+0.00144752j -0.00454997+0.000854639j -0.0012002-0.00148715j -0.00185613+0.000743884j 0.00318293-0.000234727j 0.000330933+0.00228397j -0.00768012-0.000242809j -0.00644127-0.00154945j -0.017046+0.00157939j 0.012676-0.00126485j -0.00438863-0.000237166j 0.00451001-0.000105155j -0.00396356-0.00214475j 0.010188-0.000778807j -0.0025346+0.0027597j 0.00525807-0.000728114j -0.0116486-0.00315974j -0.000376081+0.000881757j -0.0029166+0.00101658j 0.00370987+0.000142326j -0.00131846-0.00015349j -0.000613344-0.000378188j -0.0043625+0.000640393j -0.00605248-0.00221705j -0.00256401-0.000787505j 0.0130379+0.00387937j 0.0182762+0.00655447j -0.00765304-0.000994919j -0.00164767-0.00459866j -0.00638803-0.00272968j -0.00346815-0.00238433j 0.00316834+0.00342793j -0.0107718-0.00224122j 0.000570515-0.00375883j 0.00669316+0.00214569j -0.000399602-3.7507e-05j -0.00201625-0.000821068j 0.00254283+0.00101401j -0.000526165-0.0016113j 
-0.00450279+0.00236047j 0.000125875-0.00138726j 0.00260332-0.00388634j -0.0103907+0.00331438j 0.00554928-0.00202864j 0.00233116+0.0016339j -0.000381391+0.000833846j -0.0101399+0.00587986j 0.00750278-0.00381855j -0.00774896+3.40906e-05j -0.0118617+0.00367864j 3.48205e-06+0.000836988j -0.00195752+0.00159797j -0.00743118+0.0041967j -0.000960638-0.000302495j -0.00175767+0.0017287j -0.00636518+0.000500047j 0.00548318+0.000269819j 0.0215585-0.00277108j -0.00425166-0.00073572j 0.00994672+0.000837054j 0.00400279-0.000340646j -0.00230225+0.00100152j 0.00118787+0.0014251j -0.00591386-0.00178221j -0.000974185-0.00059469j -0.00461441-0.000947756j 0.00982317+0.00157622j 0.0117419+0.00163762j -0.0172476-0.00341046j -0.00494187-0.00290559j -2.53206e-05+0.000178791j 0.00860882+0.00198127j 0.0129678+0.00278858j 0.00499514-0.000247765j -0.000456138+0.000949688j -0.00559646-0.00206832j 0.00315388+0.00270217j 0.00522434+0.000458099j -0.00299844-0.00271308j -0.0103419-0.00236865j 0.00559983-0.000950746j -0.0070685+0.000874737j 0.00134787-0.000441454j 0.000255163-0.00282859j 0.00845629+0.00115178j -0.00968966-0.00391943j -0.00145996+0.000599747j -0.00773553-0.00154039j -0.0028469+0.000372933j -0.00647992-0.00309254j 0.0045321-0.000591725j 0.00508029+0.00284188j -0.00499887-0.00040658j 0.00251791-0.000268642j -0.00239602-0.00215966j 
0.00708488+0.00875926j -0.000746537-0.000661229j -0.000770978-0.00388125j -0.00612417-0.00962504j -0.00299489+0.000108279j -0.00622732-0.000895191j 0.00234569-0.00797885j 0.00397658-0.00241006j -0.000667081-0.00363269j 0.000471906+0.00232939j 0.000605486-0.00125254j 0.00294497-0.00328778j 0.00261047+0.0040707j -0.000381081+0.00223435j 0.00310405-0.00208716j -0.00580333-0.00239788j -0.0034477+0.00174398j 0.00447676+0.00176681j -0.00696586-0.00233188j 0.00428482+0.00110421j 0.00286239+0.00206764j -0.00736582+0.00715643j -0.00541077+0.00363004j -0.00500015+0.00184303j -0.0014963-0.00112436j 0.0110429+0.00577555j -0.00152619-0.00138394j 0.0061384-0.00166834j -0.00345601-0.00577632j 1.02041e-06-0.000150135j 0.0108555+0.00255884j -0.00375014-0.0019872j -0.000415079+0.000749375j 0.00637292+0.00363749j -0.000698418-0.000807891j 0.00213453-0.00079196j -0.00314053+0.00089836j -0.00244769-0.00282074j -0.000337258-0.00219943j 0.00522219-5.11108e-05j 0.00682789+0.00500554j 0.00242959-0.00426003j 0.00753973+0.00452731j 0.00447206+0.00340374j 0.00447726+0.00127642j -0.000976048+0.00533003j -0.00500243-0.000988532j 0.00106068-0.0012645j -0.004281-0.00589178j 0.00880725+0.00375928j -0.00190182+0.00254518j -0.00516225-0.00359659j -0.00427419-0.00665082j 0.011916-0.00592852j 0.0254264-0.00861279j -0.00504749-0.0131916j 
-0.00653475-0.0014952j -0.00966997-0.00823722j 0.000584026+0.00523832j 0.00417067-0.00388214j -0.00240132-0.00252236j -0.0035982-0.0099033j 0.0007436-0.00191054j 0.00415806+0.000842209j -0.00038797-0.00600365j 0.00201139-0.00140104j -0.00071893+0.00564978j 0.00707192-0.00112519j -0.0066824-0.00249142j -0.00125374-0.00515501j 0.00195741-0.00513461j 0.00863891+0.00180475j -0.00338775+0.00169423j -3.48817e-06+0.00293075j 0.00291493-0.00374537j -0.00602425-0.00415574j -0.0043957+0.00210541j 0.00451433+0.00167927j -0.00153505-0.00230528j -0.00363088-0.00225816j 0.00559282+1.95778e-05j 0.000969934+0.00361101j 0.00610038-0.0019312j 0.00985967+0.00198222j 0.00735301-0.00136743j -0.00423908+0.00234117j 0.0024908+0.0027371j 0.0034484-0.00291664j 0.00118102+0.00459j 0.000205887-9.73304e-05j -0.0142227-0.00390148j 0.00378684+0.00341684j 0.00625073-0.00142073j -0.00409654-0.000747501j 0.00282501+0.00323518j 0.00197375+0.00182589j -0.00169791+0.00121483j -0.0091643-0.00261213j -0.000806696-0.00661134j -0.00404085+0.000928229j 0.00288579-0.00162337j -0.00287343+4.82153e-05j 7.04737e-05+0.00453525j 0.00136272-0.00508772j -0.00455747+0.00398874j -0.00856809+0.0010164j -0.00983593-0.00175477j 0.0035253-0.0124022j 0.00183997-0.00360172j 0.0123199-0.000339504j 0.00265597+0.0148272j 0.0218132-0.0110211j 
0.00390136+0.00252618j 0.00336813+0.0077407j 0.00647958+0.00843672j -0.000109078-0.00518457j -0.00024421-0.00878553j 0.00417295+0.00570855j 0.000742467+0.000275155j -0.000193723+0.0018649j -0.000332746-0.00954522j -0.00132696-0.00443645j -0.00342678-0.00351101j -0.00103423+0.000431244j 0.000189116-0.00204168j -0.00550315-0.0088104j -0.00326218-0.00999473j -0.00293167-0.000153832j -0.000771949+0.00088555j -0.00477438-0.0134939j -0.000471442+0.00124972j 0.00349133+0.000361513j 0.000582748+0.00774845j -0.00138783-0.00759019j 0.00531751-0.005689j -0.00439378-0.00764222j -0.00180997-0.00405174j 0.00335762+0.00863267j 0.00339273-0.00967448j 0.0012553-0.00102652j 0.000553925+0.0114584j -0.00144338+0.0108512j -0.00657063+0.00826347j 0.000221976+0.00668709j 0.00529688+0.0141719j -0.00276679-0.00763714j 0.00244341-0.00843994j 0.00219737+0.00450592j -0.00122337-0.00704853j -0.000465867-0.0151231j -0.00373104+0.004182j -0.00323139-0.00157696j 0.000876601-1.59708e-05j 0.000788636+0.00136588j -0.000682033-0.0128584j 0.00233018+0.00298554j -0.00589631+0.00185446j -0.00279278+0.00515173j 0.00194917-0.00698068j -0.0105828+0.00176269j -0.0126387+0.00753102j -0.00243778-0.000221492j -0.00225919-0.00085411j -0.00213921-0.00292842j 0.0089137-0.0193248j 0.0108331-0.00187451j -0.00185986-0.00248892j -0.00466134+0.00642494j 
-0.000640545-0.00118235j 0.000685366-0.00100035j 0.0024329+0.00428696j -0.000391039-0.00524747j -0.00174509-0.00748272j 0.00629712+0.0110753j -0.00288592+0.000633353j -0.00332044-0.0127383j -0.000920077-0.00616447j 0.00269429+0.0100279j 0.00552124+0.0140011j -0.000109609-0.00240807j -0.0025383+0.00376016j -0.00283784-0.00319742j -0.000252089+0.00228987j -0.000712911+0.00548297j 0.00250628+0.00338443j 0.00281004+0.00681849j 0.00319831+0.0118544j -0.00240767+0.00104311j -0.000916944-0.0172662j -0.00184272-0.00434213j 0.00254519+0.00273115j 0.000752344-0.00306266j -0.00219099-0.00458745j 0.003282+0.0135447j -0.00377719+0.000420939j 0.00377559+0.00356952j -0.00388607-0.00203154j 0.000527198-0.00340755j -0.0015463+0.0109184j -0.00033429+0.0145598j 0.00124162-0.00939767j 0.00397159+0.00379104j 0.00061423+0.00587716j -0.00491141+0.0155098j 0.000754438+0.00391961j -0.00235568+0.00651799j -0.00160097+0.000730946j 0.00335096-0.00684246j 0.00436224+0.0023397j 0.00145991+0.00861828j -0.00268253+0.00279669j -0.00396644+0.00247384j -0.00265905-0.00135974j 0.0069083-0.0159635j -0.00082213-0.000187387j 0.00515682-0.00573125j -0.00313769+0.00923116j -0.00214136-0.00608065j 0.00997761-0.0125587j -0.00358773+0.0116098j 0.0003818-0.00411729j 0.003836-0.00325998j -0.00067811+0.000305567j 0.000780204+0.00100166j 
-0.00129222+0.0022281j -0.00320442-0.00457633j -0.0035833-0.00752432j 0.000422855+0.00380937j -0.000798563+0.000310939j 0.0012334+0.0041397j -0.000646598-0.000880552j 0.00424178+0.00303896j 0.00229617+0.00234505j 0.00653282+0.0179367j 0.00283854+0.000913013j -0.00155691-0.000428734j 0.00101349+0.00975527j 0.00216744-0.000875189j 1.30582e-08-0.00258071j 0.000170837+0.00145682j -0.00109248-0.000333445j -0.00165746-0.0025935j 0.000978933+0.00631685j -0.0020916-0.00872812j 0.000867918+0.0163992j -0.00149979-0.0198482j -0.000629965+0.0021157j -0.00150201-0.0073238j 0.0015186+0.00664833j 0.00322696-0.00824475j -0.00323329+0.000642919j -0.00759791-0.00016619j -9.49782e-06+0.000949177j 0.000556649+0.000878482j 0.00236694-0.014874j 0.00217216+0.0182842j -0.0010722+0.000715038j -0.00113726+0.0050265j 0.000178753-0.00570568j -9.8592e-05-0.00647725j -0.000556301-0.00332697j 0.00444647-0.0160134j -0.00243031+0.00629182j 0.00257054-0.00687805j 0.00269424+0.00170881j -0.00452447+0.00511209j -0.0040489+0.00696287j -0.00548539+0.0101326j -0.00583987+0.00992601j 0.000583588-0.00317867j 0.00136324+0.000801517j -0.00146092+0.0116076j -0.00250963+0.00308939j 0.000168309-0.00652432j 0.00335723-0.00900743j 0.00406804-0.00317483j -0.000126381+0.00658843j -0.00528003+0.00678689j 0.00257362+0.00107072j 0.00171624-0.00328642j 
1.33525e-05-0.00170913j 0.00243213+0.00203296j 0.00149829+0.00640619j 0.00105581-0.000330773j 0.000888745+0.00338818j -0.00467082-0.00996313j 0.000643437-0.00654205j 0.000916193+0.00566168j 0.000249923-0.00651319j 0.000444407+0.00278761j -0.000450207-0.00547088j -0.00575047-0.0165404j 0.00334989+0.00894944j -0.00539178-0.00530105j 0.00297927+0.00466666j -0.00178707-0.0112889j -0.00108764-0.00894081j 0.000799162+0.00129746j 0.00199718+0.0131227j -0.00216379+0.00016241j 0.00320224-0.00246602j 0.000161467+0.00486363j -0.000497416+0.00243407j -3.27989e-05+0.00294588j -0.000847076+0.0253174j -0.00123704+0.00492508j -0.00098587-0.00423607j 0.00299196+0.0036656j 0.00137507+0.00109357j -0.00389037+0.00123021j 0.00165105+0.00581916j -0.00028143+0.00610468j -0.000257481+0.00117283j 0.00139886-0.000677196j -0.00338456+0.022656j -0.00041017+0.00243268j -0.00291685+0.00565742j 0.00183514-0.0078876j -0.00403379+0.00787029j -0.00107289+0.00235206j -0.0026382-0.000764404j 5.97648e-05-0.00220807j -0.000330097+0.00242301j -0.000460529+0.00860977j -0.00461781+0.00495447j -0.00236334-0.00139477j -0.00814986+0.0195812j 0.00133527+0.000156771j -0.000865248-0.00394562j 0.00298385+0.000269455j -0.00420051+0.00947325j -0.00121403-0.0011498j 0.00122695-0.00329246j 0.00188755-0.00246906j -0.00131696-0.000663033j -0.000532467+0.00299006j 
