-0.175276+0.132617j -0.0829669+0.233268j -0.0194529+0.00544696j -0.176855+0.108653j -0.0998467-0.0107571j -0.0331776+0.0418976j -0.0585384-0.060449j 0.0704026-0.0340805j -0.107193+0.0193086j -0.162039+0.0487306j 0.0210043+0.0426758j 0.00191821-0.0202519j 0.00843525-0.0293555j 0.0481613-0.00587724j -0.00806042-0.0263107j 0.0104597-0.0142755j -0.0199454+0.00324394j 0.0508428-0.0192237j -0.0113479+0.00893583j -0.0248017-0.0128432j 0.00510325+0.00395912j -0.0119738+0.0029259j -0.028308-0.0189948j 0.0938429-0.0100696j -0.0022597-0.0149705j 0.000265597-9.91798e-05j 0.00972644-0.00291808j 0.0234741-0.00356812j -0.00643183-0.000377245j 0.0303801+0.00920342j -0.0137016+0.0105552j -0.00185704-0.00695499j 0.0266311-0.00666889j -0.0186743-0.0143555j -0.000770269+0.0109053j -0.0239882+0.0109804j 0.020789-0.0284975j -0.0319143+0.0204948j 0.00765001+0.0326123j 0.0797698-0.00129286j 
0.0967606+0.137688j 0.31374+0.163794j 0.0491935-0.00587156j 0.025784+0.13721j -0.0556876+0.0157693j 0.070904+0.00221939j 0.0794839+0.0969516j 0.0103982-0.0712898j -0.0636221+0.0330964j -0.03309+0.128027j 0.00623844-0.0258628j 0.00399656-0.0187248j 0.0294536+0.0226398j -0.00185173+0.0115707j 0.0216527+0.028222j 0.0120074-0.018754j -0.000834909+0.00511924j 0.0127432-0.0179922j 0.032653+0.00622516j -0.0118542-0.0129887j 0.0172199-0.030796j -0.00456186-0.012499j -0.021107-0.0192135j -0.0130906-0.0343806j 0.0231718-0.0102753j -0.00184617-0.0144596j 0.00422955-0.0210087j -0.00626208+0.000703316j 0.0134264-0.0221099j 0.013127+0.0259842j -0.00755318-0.0100984j 0.0190519+0.0193506j 0.0113901+0.0166919j -0.00315868-0.00825638j -0.00266637+0.0112453j 0.00477287-0.0227714j 0.00860845-0.0290638j -0.00565042+0.0169726j -0.0446848+0.00676201j -0.000401328-0.0102081j 
-0.18637-0.0314464j -0.347456-0.233346j 0.0419837+0.0111197j 0.0424921+0.0952205j -0.0820648+0.0236428j 0.00457664+0.0280451j 0.00715589+0.0812304j -0.0553811+0.0104016j -0.0643547+0.0653078j -0.0875408+0.0527857j -0.00102333-0.0285519j -0.0401652+0.0036715j 0.0157247+0.0137024j 0.0107363+0.017984j -0.0120109+0.00532688j -0.00663776-0.000396997j -0.0151391+0.0167193j 0.0558216-0.0280819j 0.0217012+0.02458j -0.00843902+0.023439j 0.0212217+0.00995509j 0.00730943+0.00186931j -1.39086e-05+0.0107669j 0.0542184+0.000274681j -0.0129932-0.0185385j -0.0056024-0.00928279j -0.00717597+0.00778644j 0.00817525+0.000935581j -0.0115537+0.0032751j 0.0110498+0.011499j 0.00568834+0.000409589j -0.00487062-0.0170405j 0.000157014-0.00273222j -0.00892259-0.00781137j 0.0103912-0.0010829j -0.00133158-0.0113494j 0.0160192-0.0161817j -0.0119566+0.00651143j -0.0157092+0.0204093j 0.0386232-0.00117278j 
0.0411263+0.140786j -0.221549+0.545731j -0.00382837+0.0194139j 0.121901-0.133787j 0.0646459+0.022422j 0.000296207-0.0232777j -0.048552-0.000614356j 0.0229501-0.016769j 0.0476198-0.0320469j 0.10521+0.00352223j 0.00541491-0.00694216j -0.0102313-0.031291j -0.00573841-0.0277613j -0.0299834+0.00844348j -0.0139096-0.0118177j -0.0193564-0.0139973j 0.00956277+0.00767565j -0.0324919+0.0267469j -0.0145792+0.00644509j 0.0440192-0.0365231j -0.00226457+0.0096099j -0.0148064-0.0139672j 0.0295435+0.00226864j -0.0329044-0.0270068j 0.0174392-0.00936504j -0.00098276+0.0135856j 0.0189085+0.00621142j -0.00484211-0.00554847j -0.0136494-0.0192715j -0.0228308+0.0111021j -0.0117066+0.00976056j 0.00230203+0.00205641j -0.00512378-0.0111487j -0.00775005+0.0125017j -0.0273023+0.0113901j -0.00841896+0.0134062j -0.00118339-0.000261089j 0.000319861+0.00337287j 0.00130596-0.0176528j -0.0364757-0.00805221j 
-0.065815+0.00573984j -0.428646+0.0158153j 0.0207871-0.0118539j 0.103496+0.0308294j 0.0325809+0.0398815j -0.0368478+0.0442646j 0.0660214+0.0204245j -0.0187063-0.0427755j 0.00199549+0.0698723j 0.0478751-0.0020248j -0.00666403+0.00508127j 0.0209256+0.00714097j -0.0252438+0.00586867j 0.00962261+0.00271842j 0.025391+0.00525461j -0.0253086+0.000962628j -0.0130837-0.0180675j 0.00390152+0.0219515j -0.00330678+0.00260197j 0.00670021+0.0204967j -0.0140809-0.00552517j 0.0048252+0.0176803j 0.0299564+0.00882059j -0.0321252-0.00691744j 0.0267434-0.00901055j -0.00814921-0.00401464j 0.0129406+0.00836598j -0.00852756-0.0102378j -0.0118783+0.00409452j -0.0246183+0.0137199j 0.00648193+0.00232344j 0.00897486-0.0124316j 0.000642078-0.00124273j 0.00939434+0.0072403j -0.00372886+0.0088225j -0.00284702-0.0226687j 0.021523+0.0122384j 0.0109054-0.00335304j -0.00748929-0.00861611j -0.0306181+0.001899j 
0.2111+0.00900933j -0.0297057-0.12576j 0.042993+0.0887185j 0.337062-0.045587j 0.0150815-0.0190255j 0.0986206-0.0647869j -0.153844+0.183441j 0.0231983+0.171627j 0.0476622-0.0587068j 0.148101+0.0429727j 0.0618705+0.00055277j -0.00569583+0.01492j -0.012781+0.0289763j -0.00106975+0.0249688j -0.0614688+0.00391161j -0.0242353-0.0414576j 0.0108413-0.0272231j -0.082614-0.0282428j 0.0159498+0.045717j 0.00983986-0.0142059j 0.0108575-0.0075476j -0.00493196+0.00436577j 0.0278152+0.0103137j -0.0747869+0.00162117j 0.0189423+0.00088113j -0.00646003+0.000391672j -0.0186884+0.0164146j -0.0175971+0.0222131j 0.0183735-0.013076j -0.0081822+0.00554861j 0.00781533+0.000409811j 6.23534e-05-0.00148061j -0.00802091-0.016765j -0.0123573-0.00480754j 0.00254922-0.0261178j 0.00285625+0.0226177j -0.0178974-0.00259004j 0.0367171+0.0243879j -0.029617-0.0171558j -0.0717095-0.013415j 
0.00510159-0.0642579j 0.0236994-0.0553264j 0.0200863-0.0123009j -0.101345-0.0385734j 0.106213+0.0315936j -0.0245281-0.0789322j 0.0798982+0.00980194j 0.0372409-0.111243j 0.0770214+0.0441304j 0.0883796-0.0131725j -0.00442204-0.0438268j 0.0295729+0.0107043j -0.00445406-0.00404611j -0.00809424-0.0318551j 0.026612+0.00267507j 0.000567737+0.005082j 0.0246667-0.0105573j 0.0206661-0.0099619j 0.00730061+0.00833455j 0.037575-0.0038105j -0.00285453+0.0115823j -0.0059508-0.0222487j 0.00316877+0.00421052j -0.0246686-0.0110982j -0.0033015-0.0222368j 0.000438761+0.00274326j -0.0131669+0.00157294j -0.00436511+0.00883626j -0.00734167-0.000160925j 0.00287314-0.0106433j -0.0052447-0.00242965j 0.0030502-0.00774752j -0.00331767-0.00572718j -0.00291749-0.00169553j -0.00774867+0.0128899j -0.000293743-0.00856306j 0.0149816-0.00447306j 0.00286496-0.0149474j 0.00511383+0.00447436j -0.00538003+0.00486281j 
-0.0680296-0.0832577j 0.0922798+0.123918j 0.0427699-0.0191365j 0.0787905-0.363242j -0.129243+0.127217j 0.0476525-0.0911287j 0.100502+0.032622j -0.138481+0.117034j -0.0828327+0.123133j -0.159373+0.0258633j -0.0175322-0.0339633j -0.0337514+0.0174445j 0.0312723+0.00574627j 0.0548997-0.00980352j 0.048812+0.0213625j 0.0269237-0.0382353j -0.0103103-0.0107479j 0.0324078-0.00273646j 0.0209771-0.00230385j -0.0396635+0.0353443j 0.0116854-0.00699648j 0.00194392+0.00460423j -0.0245024+0.00492792j 0.0609917+0.0295915j -0.0250356-0.00373101j -0.0045495+0.00937804j -0.00717487+0.00620206j 0.00637056-0.0173879j -0.0141845-0.0197613j 0.0330339+0.00899676j 0.00201536-0.0145089j -0.0128351-0.00418051j -0.00843495-0.00950919j -0.00757842+0.0187315j 0.01459-0.0161467j 0.0146252-0.0215327j 0.00564169-0.0170056j -0.0164837-0.0205702j -0.0242329+0.0120951j 0.0639381+0.00761759j 
-0.0380533-0.140707j 0.00789495-0.0131482j -0.0526747-0.0532172j -0.22025-0.304979j 0.0375541+0.0523709j -0.106619-0.119721j 0.0758144-0.146195j 0.0201886+0.0032343j 0.0056564+0.027848j -0.0149606-0.0585235j -0.0137806+0.0227094j 0.00558455-0.0112531j 0.00196849-0.00896688j 0.00398804+0.00856422j 0.0352827-0.0185812j 0.0302564+0.0450717j -0.00226464+0.0175843j 0.0392325+0.0293184j -0.0357877-0.0516626j -0.00248418-0.00164745j -0.0337005+0.00247587j 0.00217275-0.0013424j 0.0364737+0.0226013j 0.00317153+0.0273537j -0.0107721-0.0153514j 0.0035471+0.0143844j -0.0187325-0.010422j -0.00386184-0.00970676j -0.0137924-1.61806e-06j 0.00870773+0.0163086j 0.00425245-0.00618865j -0.0172277-0.00450879j 0.00714633+0.00233506j 0.00875277+0.00245531j 0.000833842+0.0136373j -0.00502978-0.0188091j 0.0302413+0.0293606j -0.012374-0.0257432j 0.0220573+0.00734442j 0.0104447+0.0354629j 
-0.0353253+0.0665254j 0.00529972+0.0763385j 0.0862639+0.00479045j -0.00376977+0.0474966j 0.0527598-0.0553781j -0.0883364+0.106793j 0.0517093+0.177399j -0.183219+0.195372j 0.0711335-0.0628521j 0.0520627-0.0621291j 0.0431696-0.03361j -0.0186371-0.0036952j -0.000291731+0.00469063j 0.00869009-0.00165575j 0.0109593+0.0335246j 0.0164418-0.0264786j 0.0254124+0.00216982j -0.0115454-0.0397103j 0.0301149+0.00412966j -0.00476674-0.0122433j 0.018594-0.0128718j 0.0122628+0.00555991j -0.00189826+0.0126551j 0.00697094+0.0145229j -0.0186718+0.0322131j -0.0102936-0.00771934j -0.0156671-0.0236772j -0.0260459+0.0202507j -0.0230364+0.008619j 0.0109984-0.0120957j -0.00569379-0.0354103j -0.00315881-0.00569126j -0.0209979-0.00959491j -0.00520477-0.00114526j 0.0159551-0.0466678j 0.0197101-0.00425982j -0.0387927+0.0173261j -0.00606941-0.000502009j -0.0179304+0.00853384j -0.00869321+8.53267e-05j 
0.0288011+0.0433093j 0.0554787+0.0354306j 0.0142867-0.0436155j -0.106024+0.267669j 0.107244+0.0255383j -0.0220876+0.240683j 0.164141-0.00218259j -0.0134691-0.114652j 0.0692034+0.0848445j 0.0120417-0.084945j -0.00555224-0.0446434j -0.0161463-0.0397975j -0.00891803-0.00926753j -0.0157738-0.0101529j 0.015855+0.0306977j 0.0467971+0.0392168j -0.0125631-0.0138342j -0.0174936-0.0275477j -0.00196813-0.0147609j 0.0144845+0.0174799j -0.0235215-0.00480755j 0.0149311+0.00909315j 0.0427775-0.00354702j -0.0561091-0.0263845j 0.00620655+0.0106195j 0.0101167-0.00911315j 0.0163504+0.00170607j -0.00650234-0.00525075j -0.0160088+0.00803124j 0.00256613+0.00364883j -0.00837276-0.0259657j 0.0160267+0.00688488j 0.0111118+0.00205455j -0.00894418+0.00886568j 0.0163888+0.0101564j 0.0120973-0.0134887j 0.00520305-0.0100755j 0.0117648+0.010539j 0.019053+0.00198272j -0.0239759-0.00783824j 
