0.000911812-0.00333209j -0.00459248-0.00124759j -0.019323-0.0278637j 0.000342957-0.0118437j 0.00132355+0.0120379j 0.00485118+0.0184808j -0.000379198+0.00787795j 0.00260066+0.0117097j 0.00157369+1.39918e-05j 0.000741448-0.00365269j 0.00245075-0.0126769j -0.00153692+0.000929546j 0.000413558+0.000328761j 0.00580615-0.00283068j 0.0010045+0.00322182j 0.00381523-0.00288979j -0.00208357+0.00796982j 0.0129248+0.000521481j -0.0110945+0.000664659j 0.0258+0.00466312j 0.00861095+0.00506826j -0.00159172+0.00188523j -0.0167945-0.00669017j -0.00534981+5.88581e-06j -0.00435791-0.0073938j 0.00478118+0.00106305j -0.00624168-0.00467822j 0.0129572+0.00971904j 0.000668252+0.00173071j 0.00497189+0.0057684j -0.00469156-0.00144223j -0.000319867+0.00189807j 0.004468+0.0136289j 0.00169046+0.00437822j -0.000157859-0.00776822j -0.00568574+0.00523613j -0.00268648+0.00352498j 0.00785317-0.00238011j -0.00228913-0.00715031j -0.00841218-0.00272018j -0.00331367-0.00795745j 0.00112525-0.00617434j -0.00232016+0.00512353j -0.0137667-0.00512111j -0.00503323+0.00719205j -0.00646941-0.000224663j -0.000147753-0.0044596j 0.00220716+0.00222415j -0.00967218-0.00473986j 0.00186973-0.00721826j 0.00308338-0.00536316j -0.00233693+0.000961297j 0.00450715+0.00304883j 0.000456403-0.000420083j -0.0064825+0.00210584j 0.00324051+0.000464525j -0.00351416-0.00354515j -0.000378476-3.92374e-05j 0.0011576+0.000199561j 2.64445e-06+7.24832e-05j -0.00030741+0.00241225j 0.00278023+0.00273687j -0.000364451+0.000336931j -0.00224741-0.0084455j 0.000922354+0.00329276j 8.33243e-05-0.00132766j -0.00443955+0.00244187j -0.00618419+0.00434517j 0.00281306-0.000745079j 0.00134996-0.000407116j -9.76807e-05-0.00273933j 0.000717891+0.00496378j 0.00225872-0.00107425j 0.0017349-0.00112189j -0.000222272-0.00304922j 0.000479653+0.000143953j 0.00234905+0.00504516j 0.00209837-0.000663753j 0.00165066+0.00236753j 0.000493875-0.00278032j -0.00346241+0.0047778j -0.002494-0.00145607j 0.000159738+0.00182109j 0.00221311-0.00366722j -0.0011207+0.00363273j -0.00408166+0.00657917j -0.00159486+0.00158232j 0.00246518+0.00138558j 0.00111435-0.00212024j -0.0020083+0.00233877j 0.00387229-0.00194152j 0.000874639+0.0011008j 0.0025162-5.4613e-06j 0.000770801-0.00482532j -0.00288808+0.0025069j -0.00226295-0.00285102j -0.00247528+0.00447384j 
-0.00213198+0.0024876j -0.00448763+0.0024455j -0.0293733+0.0188786j -0.0111283+0.00337867j 0.011167-0.00102199j 0.0180887-0.00601767j 0.00788201-0.00109209j 0.0110227-0.00305241j -9.745e-05-0.0013101j -0.00392585-0.00150225j -0.0128875-0.00366036j 0.000911242+0.000972908j 0.00155796+0.000406982j -0.00350926-0.00704179j 0.00466279-0.00231933j -0.00348492-0.00379527j 0.00408583-0.00657805j -0.000152032+0.00995632j 0.00071989-0.00853168j -0.00284619+0.0233342j -0.00305045+0.00661511j 2.08483e-05-0.00101845j 0.00449431-0.018088j 0.000318446-0.00667896j 0.0053477-0.00411278j -0.00156977+0.00471947j 0.00350388-0.00823355j -0.00798461+0.0142929j -0.000692162+0.00135524j -0.00513653+0.00610958j 0.00200863-0.00579532j -0.00133631+0.000365903j -0.0120172+0.0063307j -0.00326828+0.00189056j 0.00627296-0.00103846j -0.00376484-0.00292493j -0.00319357-0.00201171j 0.00377935+0.00621479j 0.00476483-0.00318851j 0.00217453-0.0081252j 0.0068682-0.00446775j 0.00733231-0.000656082j -0.00800534-0.00359192j 0.00621821-0.0156596j -0.00774575-0.0068383j 0.00130574-0.00735726j 0.00605072+0.00171794j -0.00322756+0.00370178j 0.00594-0.0098037j 0.00665717+0.00390966j 0.00571789+0.00337903j -0.000658635-0.00220819j -0.0046752+0.00557398j 0.000448093+0.000780898j -0.000618854-0.00665424j -0.000406384+0.00345146j 0.00465567-0.00261047j 0.00192231-0.000715032j 1.04738e-06+0.000538862j -3.83626e-05-0.000156596j -0.00202869-0.00131994j -0.00264907+0.00201466j -0.000839937-0.00100022j 0.00941087-0.000320487j -0.00410246+0.00119858j 0.00109127-3.28597e-05j -0.00189769-0.00414859j -0.00221045-0.00599529j -0.00055651+0.0024431j -0.000426945+0.00116072j 0.00253756+0.000663816j -0.00504548-0.000658424j 0.000881938+0.00175403j 0.000536631+0.0014804j 0.0023293+0.000292842j -0.000394755+0.000380251j -0.00493028+0.00137177j 0.000186057+0.00141308j -0.00345113+0.000759756j 0.00300528+0.000966119j -0.00473708-0.00296116j 0.00143694-0.00138786j -0.00214268-0.000581827j 0.00331127+0.00195544j -0.00345542-0.00153453j -0.00608052-0.00426095j -0.00107657-0.00252773j -0.00227952+0.00160357j 0.00233484+0.00161328j -0.00189846-0.00200206j 0.000567775+0.00296556j -0.00104469-0.000713795j -0.00154543+0.00213462j 0.00530822+0.00244331j -0.000772601-0.00271758j 0.00365881+0.00216529j 9.0497e-05-0.00247357j 
0.00050915+0.00252182j 0.00273286-0.0016738j 0.00434021-0.012917j 0.000866047+0.00521317j 0.00603215-0.00623717j -0.000603769+0.00686554j 0.00987414-7.13595e-05j -0.00541079+0.00436336j -0.00476294+0.00277943j -0.00540997+0.00100611j -0.00630388+0.000511701j 0.00424722+0.000404744j -0.00266554-0.000443824j -0.00503873-0.0119229j 0.00643833-0.000939763j -0.0271433-0.00362154j -0.0013686-0.0238582j -0.0103772-0.00233677j -0.00485361-0.0167341j 0.00301101+0.000414846j -0.00565908-0.0117446j 0.00317364-0.0110526j -0.00943545+0.00288951j -0.00301396-0.00726597j -0.00350215+0.0114177j -0.0029197+0.00454343j -0.00743527+0.00263864j 0.00466649+0.000505536j 0.00257382-0.00288124j 0.00231079-0.00157849j -0.000947674-0.00754794j 0.00173812-0.00284118j 0.00514328-1.03479e-05j -0.000559028-0.000792492j 0.000604592+0.00321007j 0.0101998-0.00160948j 0.00579799-0.00374641j -0.00901969-0.00855597j -0.00939326+0.0106643j 0.000145594-0.00132692j -0.00282189+0.00453474j -0.0115028-0.00495129j -0.00608322+0.0125684j -0.0045171-0.00194253j -0.00519821+0.000641229j -0.00214697-0.00010122j 0.00951837-0.00590513j 0.00947668+0.00286246j 1.19983e-06-0.000366487j 0.00736021+0.00665965j -0.00205231-0.00218377j 0.000281614+0.00476953j 0.00517436+0.00240114j 0.00272776-0.00321488j -0.00410434-0.00334846j -0.000618758+0.000363002j 0.00303613-0.00126229j -0.00139732-0.00896846j -0.00210936-0.00377983j 0.0015118-0.000954172j -0.00139875-0.00103099j -0.000284741-0.00308439j -0.00129909+0.00353716j 0.00173988+0.0020794j 0.00180043+0.00191879j -0.00311626+0.0013922j -0.0027417+0.000881426j -0.00202166-0.00733176j -0.00158311+0.00509057j -0.000803654+0.00431084j 0.000639121+0.000761265j -0.00261511-0.0002056j -0.000970193+0.000343986j -0.00230628+0.000437064j -0.00137701+0.0036487j 0.00141066+0.000323914j 0.00212105-0.00293767j -0.00180038+0.000528169j -0.000666514+0.001895j -0.00108293-0.000379824j 0.000877852+0.00197797j 4.43102e-05+0.00169883j -0.00228111+0.00136838j -0.00109716+0.00252332j 0.00317075-0.00137776j 0.00105168-0.000565128j 4.36762e-06-0.00190123j -0.00126711-0.000965861j 0.00134909-0.0031096j -0.00225207-0.001564j -0.00385634+0.00234624j -0.000339614-0.00406056j -0.00258372+0.0016401j 0.00249797-0.000134548j -9.81589e-05-0.00363352j 0.0220732-0.00187464j 0.00105079-0.0219924j 
-0.000475141-0.00556415j -0.00924203-0.000428805j -0.0132196-0.00823869j 0.0108198+0.00293797j -0.0138632-0.0147547j 0.00535217-0.000244333j -0.000350628-0.014507j 0.00330642+0.00860783j 0.00179534+0.00761395j 0.00262041+0.00991303j 0.00316227+0.0101429j -0.000124788-0.00326007j -0.00248174+0.00357757j -0.0154391+0.0115184j -0.00183164-0.0072016j 0.0054284+0.0277013j -0.0236765+0.00837587j 0.000169103+0.00946354j -0.00987547+0.000948219j -0.000522225+0.0059465j -0.000742101+0.00378752j -0.00269317-0.00109134j 0.00584736-0.000224971j 6.34022e-05+0.000410323j 0.00146252+0.00108511j 0.00121849+0.00299603j -0.000544437+0.00253199j -0.00356152+0.000933869j -0.0017449-0.00113308j 0.000248706+0.000904825j 0.000448372-0.00105521j -5.57631e-05-0.00115445j 0.00117884-0.000460983j -0.00271521+0.00181544j 0.00403444+0.000692748j 0.00852458-0.00986352j 0.00607208+0.00432803j -0.00319293+0.00292547j 0.00536044+0.00380698j 0.0114422-0.00852675j 0.00515019+0.00605309j -0.005938+0.00425345j 0.00775434+0.00242376j 0.00381261+0.00216247j 0.00460143+0.00544368j -0.00819329+0.00159885j -0.00516761+0.000697346j 0.00498618+0.00219958j -9.45443e-05-0.00337166j -0.0033008-0.00108127j -0.00228208-0.00664034j -0.0132478-0.00331828j 0.00321666+0.00215888j 0.00308881+0.000803133j 0.00144441-0.00602158j -0.00400045-0.00596248j -0.00235011-0.00126043j 0.00351648+0.00141324j 0.00123762-0.00363501j 0.000425965-0.00129945j -0.00478724-0.00400496j -9.22896e-05-0.00489464j 0.000798198+0.00529325j -0.00251236-0.0103221j -0.000372257+0.000697882j 0.00100481-0.00230799j -0.000632651-0.000252275j -1.83828e-05-0.00245873j -0.00160518+0.00208516j -0.00392622+0.000349311j -8.20016e-05-0.00222651j -0.00144475-0.00116318j 0.000560512+0.00262202j 0.00233125-0.00278935j -0.00170591-0.00213619j -0.000385531+0.00383904j 0.00202516-0.000300215j 0.00023809-0.000579942j 0.000329175-0.000374847j 0.00122125-0.00700664j -0.00362667-0.00085335j 0.00226469-0.00372229j -0.00132954+0.00250917j -0.00502289+0.00417032j 0.000598479+0.00147245j 0.00129476+0.000754234j 0.00261503+0.0042212j 0.00543301+0.000566818j 0.002652-0.0035501j -0.000291709-0.00384947j -0.00419429+0.00250753j 0.00318657+0.0118734j 0.0104416-0.00295142j 0.00103546-0.00283848j -8.83566e-05-0.00109373j 0.00822482-0.0130289j -0.00945545-0.00704915j 
0.00470475+0.00299306j -0.00113915+0.00903512j -0.0069513+0.011815j 0.00944601-0.0052715j -0.018903+0.0114038j 0.000801257-0.00234692j -0.0101915+0.00146368j 0.00819578-0.00193299j 0.00561821-0.000290755j 0.00812341-0.00297943j 0.00356102-0.00419884j 0.00090416+0.000353722j 0.00632601+0.00467442j 0.0177182+0.00510045j -0.00106306+0.00693542j 0.00394377-0.0118469j 0.00483696+0.00367046j 0.00171415-0.00155913j -0.00714726-0.0115867j 0.00567276+0.0025218j -0.00551551-0.0179069j -0.000393813-0.0111633j -0.00580717-0.00308867j -0.00245005-0.0115883j 0.0014266+0.0197501j -0.00251724+0.00396966j -0.00106879+0.00683837j 0.000967408+0.00270467j 0.0023106-0.00121336j -0.000498474-0.0065133j 0.0045581-0.0113466j 0.00150594-0.00485593j 0.00228362-0.00905513j -0.00229436+0.0013838j -3.40686e-05+0.00688759j 0.00938827-0.00550534j -0.00448044+0.00401751j -0.000999436+0.00742814j 0.00437724+0.00363995j 0.00251925+0.00572451j -0.00132041+0.00186866j 0.00088305-0.00534563j -0.00142687+0.00323048j 0.000862086+0.00183049j -0.00263322+0.00286424j -8.39358e-05-0.00495524j -0.00451719-0.00145553j -0.00553992+0.00224336j 0.00127797+4.04023e-05j -0.00107333-0.00267792j 0.00575249-0.0016245j 0.00293638-0.00983903j -0.00407352+0.00365596j -6.75868e-06+0.00267967j 0.00371068+0.00292841j 0.00334868-0.00326134j -0.00311391-0.00247132j 0.00232777+0.00421722j 0.00312104-0.00146404j 0.00164174+0.00217382j 0.00502042-0.00401441j 0.00211324-0.00188705j -0.00298654+0.000795808j 0.00529314-0.00328602j -0.000378352+0.000190136j 0.000737657+0.000375425j 0.00126309-0.000392492j 0.00293084+0.00116197j -0.00130777-0.00115426j -0.000807917-0.00461256j -0.000910443-0.00222801j 0.00154723-0.000555197j -0.000352283+0.00154217j 0.00273046+0.00164735j 0.000346623-0.00373094j -0.00351371+0.00113318j 0.00139159+0.00132927j 0.00119502-0.00156002j 5.343e-05+0.00048749j 0.00553336-0.000493022j -0.000104554+0.000635773j 0.00207614-0.00358707j -0.00223865-0.00170102j -0.00395832-0.00272301j -0.00153374+0.00251021j 0.00136914+0.00198982j -0.00253354+0.00314576j 0.00141192+0.00175471j 0.0014893-0.00201778j 0.00299069+0.00190388j -0.00427992-0.00240237j -0.00259539+0.00362969j 0.00138071+0.00119496j 0.00205636-0.00138817j 0.00429663+0.00203237j 0.00101793+0.000697272j 0.00647944+0.00207515j 
-0.00288937-0.00504485j -0.00552799+0.00397269j 0.00106636+0.00757927j 0.00606756-0.0147312j -0.00627632+0.025432j -0.00218101-0.00453224j -0.00352321+0.00116744j 0.000176383-0.00664952j 0.00259771-0.00113629j 0.00387908-0.00627544j 0.00245372+0.000829456j 0.001619-0.00265478j 0.00227348-0.0071082j -0.00290169-0.0161824j 0.0124418-0.00447183j -0.00420581+0.0170036j -0.0208603-0.0101825j -0.00100295+0.0120549j -0.00375671+0.00425475j -0.00280159+0.00117918j 0.000449569+0.0103294j -0.0012785-0.000362116j 0.00451329+0.00607938j -0.000394677+0.00541347j 9.74428e-05-0.00611716j 0.00019225+0.000111466j -0.00234859+0.000490276j -0.00211109-0.00315985j -0.00120473-0.000571769j -0.00072083+0.00238448j -0.00331471+0.00780557j -0.00123644+0.00193523j -0.000827297+0.00550105j -0.00140349-0.000908168j 0.00521746-0.00183923j 0.0021681+0.00314531j -0.00770928-0.00665469j -0.0121135-0.000179707j 0.00395933+0.0125668j 0.00121203+0.00382633j 0.00527567+0.00339127j -0.000448744+0.0082014j 0.00573856+0.00671592j -0.00427877+0.00430183j -0.00264399+0.00147334j 0.00136196-0.00332564j -0.00257156-0.0141365j 0.00268203-0.00573222j -0.000216867-0.00137165j 0.00428741-0.00221118j 0.000807179+0.00290136j 0.0077502-0.00211685j -0.00291181-0.00355451j -0.000412265-0.000949644j -0.00107214+0.000635834j 0.00385734-0.00235457j 0.00336603-0.00874656j -0.00574466+0.00392544j 0.00261998+0.00121697j -0.00098408+6.88286e-05j 0.00304737+0.00319407j 0.00324692-0.00320203j -0.00237666+0.00143738j 0.00782115-9.25287e-06j 0.000346455-0.00036975j -0.00022842+0.000693682j -0.000773179+0.00348837j -0.00135357+0.00117866j -0.000578246+0.00113918j 0.00180209-0.00063591j 0.00286657-0.00303992j 0.000172013-0.000158523j -0.00334742+0.00276023j -0.00062994+0.00271958j 0.00296907+5.57075e-05j -0.00210068-0.00194004j 0.00146608+0.000913476j -0.000126185+0.00194132j 0.000275172-0.000921971j 0.00195719+0.0039045j -0.00347323-0.00200642j 0.00693221+0.0025882j -0.000309611-0.00291068j -0.00203193-0.00304606j -0.00112343-0.00311564j -0.000562525+0.00291678j -0.00138081-0.00019237j -0.000779517+0.00276821j 0.00461423-0.00053659j -0.00216209+0.000408749j -0.00144701-0.00435952j -0.00480704+0.00319578j 0.00422903+0.00257626j -0.00119055+0.00205814j -0.00319833+0.0065112j 0.0154579-0.0115993j -0.0124311-0.00834702j 
-0.00979599+0.00171363j 0.00362771+0.00813205j 0.00604147+0.000182604j -0.0111565-0.00723807j 0.0184444+0.0101054j -0.00376284+0.000516974j 0.000346097+0.00161554j -0.00483592-0.00017671j -7.90642e-05-0.000791541j -0.0034713-0.00455835j 0.00226097-0.00131012j -0.00107855-0.00219414j -0.00624781-0.0019437j -0.0178619+0.00220136j -0.00436486-0.014494j 0.012705+0.0045542j -0.00907004+0.0151945j 0.00685631+0.00628057j -0.00503441-0.00471232j 0.00358531+0.00659081j 0.00332101-0.0130769j -0.00144963-0.00663965j 0.00205642-0.0040303j -0.000464694-0.00765664j 0.000417677+0.0176285j 0.00427953+0.00316514j -0.00112581+0.0105932j 3.15967e-05+0.00119046j -0.00129886-0.000898386j 0.00303096-0.00510103j 0.00198865-0.00717024j 0.00135559-0.00417803j 0.00482753-0.0105319j -0.000611589+0.00249073j 0.00100107+0.00335506j 0.00319367-0.0138337j 0.0042884-0.00186834j -0.000721841+0.0108594j 0.00998768+0.0081111j -0.00843338-0.00807386j 0.00540403+0.00306113j 0.00288733+0.010923j 0.0065027-0.0039728j -0.00246193-0.00250752j 0.00442321+0.00252104j 0.00199406+0.00534038j 0.00241388-0.000118692j 0.000610071-0.00567413j -0.00176146-0.00323249j 0.000666629-0.00536166j -0.00369993+0.00165599j 0.000993053+0.00836725j -7.34521e-05-0.00446634j -0.00319134+0.00046342j -0.00347184-0.000886279j -0.000780514+0.00211855j 0.00514535-0.000517304j -0.00506924+0.00109164j -0.00149926+0.00443722j -0.00358689-0.00216857j -0.00422081+0.00641359j -0.000650413+0.00212817j 0.0029184-0.00329039j -0.00123999-7.71536e-05j -0.00121051-0.000328387j 0.00199507-0.0016961j -0.000840618+0.00118005j -0.00431808+0.00441812j 0.00313821-0.00128479j 0.00261245+0.00177642j 0.00289742+0.00125867j 0.000514144+0.00125919j -0.000234294-0.00162755j -0.00182731-0.00158522j 0.00233604+0.00212692j 0.000854046-0.000929265j -0.00304007+0.000565618j -6.95771e-05+0.000879311j -0.000461243-0.00102366j -0.002975+0.000312812j -0.00253043-0.0021804j 0.000968715+0.00267293j 0.00379378+0.00121038j 0.00371837+0.000458588j -0.00204697-0.00245904j -0.00350739-0.000649298j 0.00174574-0.00356164j -0.000555463-0.000620007j 0.000383886+0.00332748j -0.0027561-0.000676233j 0.00462562+0.00274775j 0.00123268+0.0020419j 0.00366333-0.00242664j 0.00231365-0.00154074j -0.00478361-0.00108781j -0.00934685-0.00988571j -0.0145904+0.0107209j 
-0.0111999+0.00533022j 0.00788334+0.00287334j 0.00157818+0.00476072j -0.0106348-0.0034527j 0.0116624-0.00149087j -0.00346437+0.00200769j -0.0109018-0.0132222j 0.00265633+0.00400311j 0.00493128-0.00304995j -0.00195216-0.00426427j 0.00178775-0.011287j -0.000458513+0.000318398j -0.00679215+0.0160167j 0.00787454+0.011091j -0.00349229+0.00642936j 0.0146736-0.00494896j 0.00496329+0.0172355j -0.000158725-0.000541728j 0.00714523+0.00338466j -0.00095297-0.00401893j -0.00513165+0.0104674j -0.00843873-0.00221005j -0.00809438+0.00268328j -0.000440499-0.000850355j -0.00455882-0.00227762j -0.00775816+0.0084097j 0.00356236-0.000600779j 0.00660203+0.00327233j 0.00291399-0.00337246j -0.00638+0.00308809j -0.000271165-0.00149187j -0.00397531+0.00281073j 0.00547308+0.00845986j 0.00313798+0.00587229j 0.00879063-0.00842007j 0.00517353-0.00109499j -0.000177046-0.00271584j -0.0100551-0.00141576j 0.00226893+0.00361926j -0.00362773-0.00449869j 0.00512909-0.0059477j -0.00203754-0.00171762j 0.000311771+0.0056944j 0.00491195-0.000208375j -0.0040038-0.00376762j 0.000255299-0.000903456j 0.00207656-0.00350804j -0.00111728-0.00923222j -0.00221179+0.00145609j 0.000414857+0.00412871j 0.000839713+0.00689376j 0.0044986-0.000551128j 0.000135128-0.000971473j 0.00126845+0.00408927j -0.00230662-0.00237357j -0.000876703+0.000258416j 0.000513108-0.000950699j 0.000190641-0.00215061j 0.000427919-0.00661415j 0.00328692+0.00455264j 0.00180498+7.48969e-05j -0.00310378-0.0062858j -0.00271261-0.00171101j -0.00169519+0.00155489j 0.00489415+0.000685328j -0.00309018-1.15452e-05j 0.000700187-0.000991583j 0.00367722-0.00230021j -0.00384861+0.00310886j 0.000124732-0.000994235j -0.000667337-0.00302361j 0.00123199-0.00134329j -5.42483e-05+0.00185488j -0.00275577+0.00725253j -0.00146055+0.00139025j -0.00034723+0.000681242j 0.00481852-0.00294939j -0.000539216-0.00369509j 0.00212835+0.000500376j 0.00104921+0.00282675j -0.00233044+0.00432047j 0.00325234-0.00384944j -0.00134328-0.00566971j -0.00192795-0.000594583j 0.00198632-0.00157862j 0.00486015-0.00177537j 0.00183015+0.0018534j 0.00203949-0.00370969j -0.00248556-0.00290273j -0.00541485+0.00388496j -0.00622195+0.000735449j 0.00942785+0.00216423j 0.00120796-0.0111414j -0.000450129+0.0103833j 0.00641611+0.00259205j 0.00990609+0.000245316j -0.000660028-0.0041837j 
-0.00242421+0.0024732j 0.00251187-0.00155949j -0.0065847+0.00285502j -0.00431638+0.00224342j 0.0116455-0.00408066j -0.0130215+0.00265723j 0.00249358+0.000505571j 0.000225673-0.0015424j 0.0119657-0.00156957j -0.00735184+0.00103224j 0.0103763+0.000697591j -0.0103227-0.00570696j 0.00411465-0.00403217j 0.0125941+0.00955632j -0.00262391+0.0138779j -0.000611932-0.000794991j 0.00272433+0.000378866j 0.00429022-0.000188462j -0.00486795+0.0112647j 0.00527414+0.00103638j 0.00135171-0.00669106j 0.0132891-0.0103268j 0.00325185-0.003935j 0.000582107+0.00297872j 0.00302073-0.00738412j -0.00573063-0.00137547j -0.0101663+0.00374167j -0.00747733+0.00118464j 0.00375648-0.00147918j 0.00495274-0.0029065j 0.00239574+0.00128655j 0.00223116-0.00357804j -0.00839085+0.00287148j -0.0127809+0.000302617j 0.00797168+0.00417612j -0.00306115+0.00107662j -0.00400746-0.00940872j -0.00756522+0.00250358j 0.00145132+0.00232625j -6.06276e-05+0.00438781j 0.00136412+0.000913392j -0.00223362+0.00964762j 0.00350655-0.00719532j -0.00335877-0.00251101j 0.00260631-0.000833081j 0.00357057+0.00345955j -0.00126593-0.000413496j -0.000276919+0.0125173j -4.9058e-06+0.00536709j -0.00174498+0.00555772j 8.26921e-05-0.0125641j -0.0016257-0.00251401j -0.00114341-0.00257818j 0.00630825-0.00279751j -0.00247421+0.000571148j -0.000195628-0.00549501j -0.000130987-0.00576264j 0.000623658+0.00282742j 0.000453963-0.000904619j 0.00469183-0.00749081j 0.00221904+0.00428633j -0.00117861+0.00288467j -0.00415666+0.00871899j 0.00112059-0.000305176j 0.000967323-0.00833236j -0.00280434-0.00193167j -0.00479103+0.00233485j -0.00196985-0.000284827j -0.000320191+0.000583525j -0.00230201+0.00175778j -0.00132302-0.00113058j -0.00107529-0.00374869j -0.000145597+0.00142208j 0.00421799-0.00544627j 0.00121367-0.00294342j 1.24215e-05+0.00251315j 0.000524838+0.000725904j -0.00557231+0.00487595j 0.00238129-0.00526745j 0.00102129-0.00220384j -0.00206558+0.000500557j -0.00339259+0.0032709j -0.00489945+0.0022238j -0.00195852+0.00222372j 0.00041394+0.000536367j -0.00466336+0.00478425j 0.00427584-0.000220419j -5.1221e-05-0.00306515j 0.00791592-0.000603639j 0.00150947-0.00486001j 0.00622133-0.00542156j 0.00706405-0.006177j -0.00627372-0.00641138j -0.00259242-0.00680296j -0.00953497+0.004074j 0.00291955-0.0031288j -0.00463308-0.00149031j 
-0.00057012+0.0026355j -0.000300236-0.00284943j -0.0058776-0.00931049j -0.00240331+0.00107051j 0.00772104+0.00785367j -0.0105488-0.0157176j -0.00626434+0.0108939j 0.00378065-0.00232375j 0.00358013+0.012797j -0.00496089-0.0064363j -0.00264093+0.0136511j 0.00233153-0.0137191j 0.0147178+0.00228576j -0.00166044+0.0128642j -0.00989467+0.00508154j -0.00165317-0.00480703j 0.00447463-0.000815434j 0.00421831+0.00432539j -0.00653699-0.0057639j 0.00189499+0.0049813j 0.00238495+0.0106185j 0.00726099+0.0125627j 0.00252138+0.00864602j -0.00105543+0.00126794j 0.00411181+0.00329502j -0.000726755+0.00262582j -0.00199544-0.0111707j -0.00131501-0.00941484j 0.00120423-0.000227551j -0.00206832+0.00755184j 0.00116595+0.00092574j -0.00013009+0.00345175j -0.00031684-0.0105617j 0.00330741-0.00834788j -0.00488567+0.00219773j 0.00725765-0.00593846j 0.00388617+0.000728553j -0.00315902-0.00211938j 0.00478931-0.000120248j 0.000932291+0.00243438j 0.000606425-0.000298346j 0.00182907-0.00517261j -0.00468744+0.00276399j 0.0001399+0.0059664j 0.00178625+0.00175934j 0.00102397+0.000226729j 0.00213812-0.0044174j 0.00704524+0.000741695j 0.00014545-0.0026112j 0.0036385+0.00110448j -0.00321563+0.00400571j 0.00365+0.00847436j -0.00120923+0.00711181j 0.000122217-0.00512523j -0.00428105+3.72128e-05j -0.00359326+0.00208812j -0.0014824-0.0027967j 0.00375491+0.000138313j 0.00148291+0.00519099j -0.00598464-0.000571602j 0.00220291-0.00174619j 0.00124551-0.00453082j 0.00345751-2.6748e-06j 0.000255617-0.00131872j -0.00495683+0.00669174j -0.00216479-0.0011662j 0.00090246-3.75516e-05j 0.00044848-0.00117617j 0.000207532-0.00134995j -0.000170694+0.00321763j -0.000163964-0.000279485j -0.00384881+0.000160378j -0.000815472+0.0040298j -0.00461859-0.000198474j -0.00171636+0.00258093j 0.00120532+0.000705383j -0.00052567+0.00311664j 0.00344361+0.00158572j -0.00675725+0.00201298j -0.00262595-0.00137703j -0.000767094+0.00389234j 0.00442669-0.00294884j 0.000198755-0.00201071j -0.00169305+0.00248203j -0.00198119+0.00545356j 0.00322752+0.00176437j -0.00574906+9.95434e-05j -6.1361e-05+0.00268072j 0.000167766-0.00124879j -0.00247832+0.00112152j -0.00465666-0.000951122j 0.000340194+0.00131511j -0.000107253-0.00254171j 0.0045427-0.00233443j 0.00260417-0.00153287j 0.00298039+0.000247421j 0.00242396+0.000612646j 
0.00107776-0.00330005j -0.00282868+0.00509428j -0.0135405+0.00747847j 0.00349134-0.00414702j 0.00643331+0.00339587j -0.0172202+0.00355126j 0.0232522-0.00145636j -0.00583396-0.000894561j 0.0134921+0.00214963j 0.0011118+0.0010313j 0.0214137+0.00101442j -0.00977945+0.000135301j -0.015647-0.0138126j 0.00528245+0.00901366j -0.000885593+0.00247403j 0.00218941+0.00489503j -0.006853+0.000305125j -0.00402547+0.00052085j 0.000649775-0.00500419j -0.000269712+0.000781337j -0.00501482+0.000972286j -0.00895934+0.00616747j -0.00504113-0.0017943j 0.00159866-0.00400683j -0.00255606+0.00338299j -0.00132094-0.00277933j 0.00953906-0.00560978j 0.00487423+0.000743368j -0.00286942+0.00357253j -0.00552912-0.000503124j -0.000361887+0.000671487j -0.003966+0.000661729j 0.00401215-0.00195701j 0.00539992-0.00048745j -0.00451178+0.00251179j 0.000700552+0.00335771j -0.000187822+0.00159367j 0.00186937-0.000588309j -0.00460966-0.000538604j 0.00206815-0.00328929j 0.00117873-0.00118946j -0.000101168-0.00489413j -0.00327004+0.00248342j 0.0084229-0.000824421j -0.00015855-0.00269491j -2.43591e-05+2.4841e-05j 0.000264265+0.00188568j 0.00163611-0.00543424j -0.000311817-8.76278e-06j 0.00212725-0.000331676j 0.00249298+0.00344256j 0.00685413-0.00141084j 0.00510234+0.00091012j -0.00689573-0.00177745j 0.0013111+0.00206739j 0.00106526+0.00388872j -0.00288536+0.00417942j -0.000428839-0.00215741j 0.00341516+0.000577681j -0.000445377+0.00272936j -0.00153117-0.00329851j -0.00296567+0.00068861j 0.00199955-0.002149j -0.00181047+0.000941966j 0.0050003+0.00358407j 0.000571325+0.00235672j 0.00149796-0.000947274j -0.00110767-0.000910074j -0.000399565-0.000909522j 0.00382143+0.00101518j -0.000238883+0.00242018j 0.00178111+0.00380619j 0.00356418+0.00122628j -0.0017463+0.00167811j 0.000812402+0.000900662j 0.000570188-0.00245033j 0.00191931+0.00181126j 0.0031286-0.00147165j 0.00265206+0.00439777j -0.000726993+0.00252522j 0.00361131-0.000392844j -0.00183632-0.00272723j 0.000827173+0.0027526j 0.00343986+0.000980512j 0.00346744+0.00268426j 0.00290754-0.000954875j -0.00112835+0.00436153j 0.00217044+0.00148437j -0.00501025-0.0015511j 0.000427348+0.00096013j -0.00213043+0.000200171j -0.000871908+0.00176635j 0.00130559+0.00249632j -0.00345162+0.000716732j 0.00292826+0.000753488j -0.00324805+0.00138427j 0.00276333+3.04356e-05j 
