0.00253785-0j 0.00050698-0j 5.67087e-05-0j 5.85685e-05-0j -0.107226-0j -0.0528813-0j -0.00981726-0j -0.0101392-0j -0.00150713-0j 0.0116576-0j -0.020306-0j -0.0209719-0j -0.000172814-0j -0.000178481-0j -0.00120214-0j 0.00305841-0j 0.00103269-0j 0.00106656-0j -0.000878104-0j 0.00465026-0j 0.00480277-0j 1.21255e-05-0j 1.25232e-05-0j -0.00836102-0j 0.0646725-0j -0.11265-0j -0.116345-0j 0.0323432-0j 0.0334039-0j 0.000126806-0j -0.000671539-0j -0.000693562-0j 8.13403e-05-0j 8.40079e-05-0j 
-2.65844e-06-0j -3.15052e-07-0j -2.33355e-08-0j -2.41008e-08-0j 0.00150713-0j 0.000230584-0j 2.09175e-05-0j 2.16035e-05-0j -0.119163-0j -0.0315779-0j -0.00405115-0j -0.00418401-0j -0.0281225-0j -0.0290448-0j -0.000112788-0j -2.11343e-05-0j -2.2138e-06-0j -2.2864e-06-0j 0.00489143-0j 0.000887455-0j 0.00091656-0j -3.3207e-05-0j -3.42961e-05-0j 0.0228976-0j 0.00606778-0j 0.00077844-0j 0.00080397-0j -0.180166-0j -0.186074-0j -0.000347273-0j -6.30059e-05-0j -6.50722e-05-0j -0.000222759-0j -0.000230065-0j 
0.000257774-0j 3.83146e-05-0j 3.41312e-06-0j 3.52505e-06-0j 0.00120214-0j 0.000279033-0j 3.39406e-05-0j 3.50537e-05-0j -0.000112788-0j 0.000421264-0j 0.000111923-0j 0.000115594-0j -8.57402e-06-0j -8.85521e-06-0j -0.116445-0j -0.0451873-0j -0.00718108-0j -0.00741658-0j 0.00599573-0j -0.0153322-0j -0.015835-0j 0.00491906-0j 0.00508038-0j 0.0373916-0j -0.139658-0j -0.0371048-0j -0.0383217-0j 0.00492329-0j 0.00508475-0j -0.000567094-0j 0.00145016-0j 0.00149772-0j -0.000363765-0j -0.000375695-0j 
1.02961e-05-0j 1.22019e-06-0j 9.03781e-08-0j 9.33421e-08-0j 9.76775e-05-0j 1.49442e-05-0j 1.35567e-06-0j 1.40013e-06-0j 0.000267501-0j 7.08867e-05-0j 9.09412e-06-0j 9.39236e-06-0j 2.03351e-05-0j 2.1002e-05-0j 0.000436827-0j 8.18529e-05-0j 8.57402e-06-0j 8.85521e-06-0j 0.000317015-0j 5.75163e-05-0j 5.94025e-05-0j 0.00012861-0j 0.000132828-0j -0.178829-0j -0.0473891-0j -0.00607958-0j -0.00627897-0j -0.0235461-0j -0.0243183-0j 0.00134498-0j 0.000244021-0j 0.000252024-0j 0.000862744-0j 0.000891038-0j 
-0.0528279-0j -0.0162069-0j -0.00244227-0j -0.00252237-0j 0.00859171-0j -0.0171516-0j -0.00695576-0j -0.00718388-0j 1.84182e-05-0j -0.000216138-0j 0.000799919-0j 0.000826153-0j 1.40013e-06-0j 1.44605e-06-0j -0.00133191-0j 0.00719979-0j -0.00984047-0j -0.0101632-0j 2.18275e-05-0j -0.000175371-0j -0.000181122-0j 8.85521e-06-0j 9.14562e-06-0j 0.000100881-0j -0.00118384-0j 0.00438134-0j 0.00452503-0j 1.32828e-05-0j 1.37184e-05-0j -0.00707451-0j 0.0568395-0j 0.0587036-0j 5.94025e-05-0j 6.13507e-05-0j 
0.000282377-0j 4.19715e-05-0j 3.73888e-06-0j 3.8615e-06-0j -0.0386889-0j -0.00898026-0j -0.00109233-0j -0.00112815-0j 0.00738339-0j -0.027577-0j -0.00732676-0j -0.00756704-0j 0.00084661-0j 0.000874375-0j 0.00284374-0j 0.00110353-0j 0.000175371-0j 0.000181122-0j 0.00430182-0j -0.0110005-0j -0.0113613-0j -5.94025e-05-0j -6.13507e-05-0j -0.000676729-0j 0.00252759-0j 0.000671539-0j 0.000693562-0j 0.00261781-0j 0.00270367-0j 0.0474572-0j -0.121357-0j -0.125337-0j -0.000398484-0j -0.000411553-0j 
1.50384e-05-0j 1.7822e-06-0j 1.32006e-07-0j 1.36335e-07-0j 0.000142667-0j 2.18275e-05-0j 1.98008e-06-0j 2.04502e-06-0j 0.00039071-0j 0.000103537-0j 1.32828e-05-0j 1.37184e-05-0j 2.97013e-05-0j 3.06753e-05-0j -0.0286195-0j -0.00536274-0j -0.000561742-0j -0.000580165-0j -0.0207698-0j -0.00376828-0j -0.00389186-0j -0.0170401-0j -0.0175989-0j 0.00214001-0j 0.000567094-0j 7.27529e-05-0j 7.51389e-05-0j 0.000281771-0j 0.000291012-0j -0.150073-0j -0.0272278-0j -0.0281208-0j 0.00126012-0j 0.00130144-0j 
-0.0113496-0j -0.00226728-0j -0.000253609-0j -0.000261926-0j -0.0163219-0j -0.00804961-0j -0.00149439-0j -0.0015434-0j -0.000112788-0j 0.000872417-0j -0.00151963-0j -0.00156946-0j -8.57402e-06-0j -8.85521e-06-0j 0.00537612-0j -0.0136776-0j -0.00461834-0j -0.0047698-0j -0.000133665-0j 0.000707864-0j 0.000731079-0j -5.42268e-05-0j -5.60052e-05-0j -0.000617766-0j 0.00477843-0j -0.00832334-0j -0.00859631-0j -8.13403e-05-0j -8.40079e-05-0j -0.000567094-0j 0.00300321-0j 0.0031017-0j 0.0336328-0j 0.0347359-0j 
1.68135e-05-0j 1.99256e-06-0j 1.47587e-07-0j 1.52427e-07-0j -0.0046862-0j -0.000716969-0j -6.50401e-05-0j -6.71731e-05-0j -0.0261042-0j -0.00691753-0j -0.000887455-0j -0.00091656-0j -0.00299322-0j -0.00309138-0j 0.000713335-0j 0.000133665-0j 1.40013e-05-0j 1.44605e-05-0j -0.0152092-0j -0.00275942-0j -0.00284991-0j 0.00021002-0j 0.000216907-0j 0.0023926-0j 0.00063403-0j 8.13403e-05-0j 8.40079e-05-0j -0.00925537-0j -0.0095589-0j 0.00219635-0j 0.000398484-0j 0.000411553-0j -0.130259-0j -0.134531-0j 
-0.00130715-0j -0.00019429-0j -1.73077e-05-0j -1.78753e-05-0j -0.00609594-0j -0.00141496-0j -0.00017211-0j -0.000177755-0j 0.000571941-0j -0.0021362-0j -0.000567554-0j -0.000586167-0j 4.34782e-05-0j 4.49041e-05-0j -0.013164-0j -0.00510835-0j -0.000811808-0j -0.000838432-0j 0.000677807-0j -0.00173328-0j -0.00179012-0j 0.00027498-0j 0.000283998-0j 0.00313265-0j -0.0117005-0j -0.00310862-0j -0.00321057-0j 0.00041247-0j 0.000425998-0j 0.00287569-0j -0.00735367-0j -0.00759483-0j 0.00184462-0j 0.00190512-0j 
-7.97533e-05-0j -9.45156e-06-0j -7.00066e-07-0j -7.23025e-07-0j -0.000756606-0j -0.000115758-0j -1.0501e-05-0j -1.08454e-05-0j -0.00207205-0j -0.000549086-0j -7.04427e-05-0j -7.27529e-05-0j -0.000157515-0j -0.000162681-0j -0.00338365-0j -0.00063403-0j -6.6414e-05-0j -6.85921e-05-0j -0.00245559-0j -0.000445519-0j -0.00046013-0j -0.000996211-0j -0.00102888-0j -0.0113491-0j -0.00300747-0j -0.000385831-0j -0.000398484-0j -0.00149432-0j -0.00154332-0j -0.0104182-0j -0.00189018-0j -0.00195217-0j -0.00668278-0j -0.00690195-0j 
