0.00509179-0j -0.0396476-0j 0.139153-0j 0.143716-0j 5.15233e-06-0j -8.63332e-05-0j 0.000670428-0j 0.000692415-0j -2.52622e-08-0j 4.797e-07-0j 4.95432e-07-0j -1.55674e-07-0j 4.31761e-06-0j -4.95323e-05-0j -5.11568e-05-0j -2.04973e-08-0j -2.11695e-08-0j -1.38367e-07-0j 2.62743e-06-0j 2.71359e-06-0j -8.69627e-08-0j -8.98146e-08-0j 
-0.0251255-0j 0.0937289-0j -0.0908799-0j -0.0938604-0j 0.00191166-0j -0.0211971-0j 0.0971937-0j 0.100381-0j -2.67934e-05-0j 0.000362022-0j 0.000373895-0j 2.76293e-06-0j -5.45265e-05-0j 0.000413948-0j 0.000427523-0j -1.06879e-05-0j -1.10385e-05-0j 2.45577e-06-0j -3.31814e-05-0j -3.42696e-05-0j 1.54343e-06-0j 1.59405e-06-0j 
0.018802-0j 0.0111371-0j 0.00233927-0j 0.00241599-0j -0.0200238-0j 0.108241-0j -0.14794-0j -0.152792-0j -0.00669916-0j 0.0538238-0j 0.0555889-0j -2.39277e-05-0j 0.000280792-0j -0.0010392-0j -0.00107328-0j 0.000188271-0j 0.000194446-0j -2.12675e-05-0j 0.000170872-0j 0.000176476-0j -1.33665e-05-0j -1.38049e-05-0j 
-0.000193457-0j -3.43698e-05-0j -3.49763e-06-0j -3.61233e-06-0j 0.0372311-0j 0.0144478-0j 0.00229601-0j 0.00237131-0j 0.0805482-0j -0.205977-0j -0.212732-0j 9.26716e-05-0j -0.000346129-0j -9.19609e-05-0j -9.49768e-05-0j -0.00109986-0j -0.00113593-0j 8.23689e-05-0j -0.000210632-0j -0.00021754-0j 5.17684e-05-0j 5.34661e-05-0j 
0.0686304-0j -0.113721-0j -0.0537755-0j -0.0555391-0j 0.000366845-0j -0.00302657-0j 0.00903644-0j 0.0093328-0j -3.17038e-06-0j 3.41546e-05-0j 3.52747e-05-0j 0.000876352-0j -0.0137894-0j 0.0778905-0j 0.0804449-0j 0.000115388-0j 0.000119172-0j -1.73649e-05-0j 0.000187072-0j 0.000193207-0j -1.09137e-05-0j -1.12716e-05-0j 
0.0111618-0j 0.00302657-0j 0.000413948-0j 0.000427523-0j 0.050262-0j -0.127874-0j -0.0431774-0j -0.0445934-0j -0.00179736-0j 0.00951842-0j 0.00983059-0j -0.00831381-0j 0.0643073-0j -0.112014-0j -0.115688-0j 0.0321606-0j 0.0332153-0j 0.000164738-0j -0.000872417-0j -0.000901029-0j 0.000103537-0j 0.000106932-0j 
-2.39277e-05-0j -3.17038e-06-0j -2.57239e-07-0j -2.65675e-07-0j 0.00959199-0j 0.00179736-0j 0.000188271-0j 0.000194446-0j -0.142111-0j -0.0257832-0j -0.0266288-0j 0.0227683-0j 0.00603352-0j 0.000774045-0j 0.00079943-0j -0.179149-0j -0.185024-0j -0.000451153-0j -8.18529e-05-0j -8.45374e-05-0j -0.000283547-0j -0.000292846-0j 
0.00122353-0j 0.000217374-0j 2.21209e-05-0j 2.28464e-05-0j 0.00261233-0j 0.00101373-0j 0.0001611-0j 0.000166383-0j -9.51114e-05-0j 0.000243217-0j 0.000251194-0j 0.0531673-0j -0.19858-0j -0.0527595-0j -0.0544897-0j 0.00700044-0j 0.00723003-0j -0.000520946-0j 0.00133215-0j 0.00137584-0j -0.000327412-0j -0.000338149-0j 
-0.102983-0j -0.0610004-0j -0.0128127-0j -0.0132329-0j -0.00183529-0j 0.00992086-0j -0.0135596-0j -0.0140042-0j 2.12675e-05-0j -0.000170872-0j -0.000176476-0j 0.000131057-0j -0.00153796-0j 0.00569193-0j 0.0058786-0j 1.72561e-05-0j 1.7822e-05-0j -0.00705063-0j 0.0566476-0j 0.0585054-0j 7.32115e-05-0j 7.56125e-05-0j 
0.00183529-0j 0.000326061-0j 3.31814e-05-0j 3.42696e-05-0j -0.115123-0j -0.0446741-0j -0.00709952-0j -0.00733235-0j 0.0085256-0j -0.0218015-0j -0.0225165-0j -0.00087916-0j 0.00328367-0j 0.000872417-0j 0.000901029-0j 0.00340088-0j 0.00351242-0j 0.047297-0j -0.120947-0j -0.124914-0j -0.000491118-0j -0.000507224-0j 
0.000131057-0j 1.73649e-05-0j 1.40896e-06-0j 1.45516e-06-0j 0.00087916-0j 0.000164738-0j 1.72561e-05-0j 1.7822e-05-0j 0.000451153-0j 8.18529e-05-0j 8.45374e-05-0j -0.124707-0j -0.0330469-0j -0.00423962-0j -0.00437866-0j -0.01642-0j -0.0169585-0j -0.149566-0j -0.0271359-0j -0.0280259-0j 0.00155305-0j 0.00160398-0j 
