-0.00429453-0.0163855j 0.0129642-0.0129027j 0.0603407-0.0059433j 0.0208505+0.000280586j 0.0325398+0.00191922j 0.0428719+0.0383799j 0.00677242+0.0224299j 0.0336366+0.025653j 0.0199358+0.030618j -0.0051045-0.0181035j 0.000922936+0.0354562j 0.00232816+0.0360474j -0.0199684+0.0177361j -0.011177+0.0234883j -0.0164307+0.00827057j 0.0108242+0.0186565j 0.00117461-0.00118189j 0.000883899+0.0172604j 0.0080433+0.0162795j 0.0143159+0.00459226j 0.000131474-0.00811887j -0.006171+0.023176j -0.00715918-0.000562864j -0.000161161+0.00976801j -0.00465933-0.0166901j 0.0123824+0.00581905j -0.000443577-0.0145957j -0.00859389+0.0204593j -0.0200996-0.000410545j -0.00576693+0.0211363j 0.0114505+0.00298955j -0.0168079-0.00148571j 0.00169008-0.00360627j 0.00939953-0.00373747j 
0.00443609+0.0331755j 0.0502991+0.0341384j -0.0520167-0.0267352j -0.00869008+0.03229j -0.0523039-0.0217245j 0.128564-0.087951j 0.0285998-0.0969227j -0.0547934+0.0186967j -0.0188257+0.00338707j 0.0240419+0.0136141j 0.0109938+0.0138339j -0.0108324+0.00557783j 0.0272521+0.0119101j 0.0160271+0.00869456j 0.0108696-0.0273068j -0.0198482-0.00446451j 0.0125698-0.0147221j -0.0113145-0.0126868j 0.00172295+0.00557337j -0.00438507-0.0117288j 0.0170347-0.0123581j -0.000317191+0.0106919j 0.0327387+0.0125606j 0.0157486+0.000948307j -0.00222013-0.0148947j 0.000884696-0.0126727j 0.006701-0.00592737j -0.00517339-0.0214563j -0.0164783+0.010377j 0.0140235+0.00848745j -0.026693+0.00135504j 0.000941117+0.0149382j -0.0315062+0.0104098j 0.0418921+0.0306768j 
0.00449042+0.00814272j 0.0500115-0.00312124j -0.0980249-0.0252976j -0.02011-0.0561046j -0.0573403+0.0193768j 0.157503+0.019178j 0.0275199-0.0244441j -0.0633616+0.036439j -0.0211671-0.00689882j 0.0329564+0.028553j -0.000338948-0.0308102j -0.013474-0.0034164j 0.0252812+0.0143037j 0.0561881+0.0179502j -0.0117507-0.00243146j -0.0172406-0.0201171j -0.00137286-0.0344327j -0.0279961-0.0203372j -0.00650153+0.000617274j -0.000194413-0.00753391j 0.000346815+0.0033197j -0.0038645+0.00940068j 0.0101405+0.00233194j 0.0130312-0.0101226j -0.025169-0.00615231j -0.01744+0.0130213j -0.00854223+0.00734133j -0.0264445-0.00244938j -0.0323571-0.000390206j -0.0217309+0.0015309j -0.0121985+0.00518576j 0.0184733+0.0314493j -0.0117426-0.0145614j 0.0635497+0.0264228j 
0.0474743+0.0118816j 0.0279292-0.0446036j -0.0422131+0.0735176j -0.0604433+0.0410519j -0.0470395+0.105699j -0.0594472-0.16702j -0.131185-0.0387024j 0.00762929+0.0844778j 0.0309679+0.0197748j 0.026837+0.0208394j -0.00915188-0.0214423j -0.0402793+0.0244234j 0.0442911-0.0192574j 0.00627297-0.00370419j -0.0176649+0.00614803j 0.00424164+0.0155977j -0.0286549-0.00501585j 0.0108248+0.0173388j 6.16259e-05+0.0120475j -0.0245088+0.000710597j 0.00865263+0.00239723j -0.0112239+0.0292631j 0.0036973-0.00631703j 0.0100929+0.00262311j -0.00256509+0.0197935j -0.020321-0.0169478j 0.00864536+0.010328j 0.0349937+0.0123582j -0.00290131+0.00268305j -0.0295067+0.000437777j 0.00678727+0.0355079j -0.0140369+0.00126551j 0.0462356-0.0155551j 0.0196248-0.0152809j 
0.00951524+0.0167751j 0.0357025+0.027889j -0.0236351-0.094756j -0.0413197+0.0523461j -0.0507344-0.00837989j 0.0106731+0.0695884j -0.0421341+0.0169826j -0.00997463-0.0676952j -0.00809203+0.01357j -0.0317379+0.0222841j 0.0133052-0.0116304j -0.00492262+0.0384397j -0.00191095-0.0200818j -0.017789-0.002032j -0.0320137-0.0239714j -0.0297155+0.0143019j -0.0300869-0.0251287j 0.00288121+0.00496112j -0.0310963-0.00757117j -0.0222157-0.00178398j -0.0105286+0.00637657j 0.0161474-0.0109712j -0.00854438-0.00353095j -0.0153833-0.00184882j -0.00328676-0.00674844j -0.00577996-0.00802331j 0.0124969+0.0223593j 0.0164417+0.0101827j 0.00482145-0.00459841j -0.00355818+0.00380846j 0.0142849-0.0242862j -0.0180076-0.0019241j 0.0020013+0.037029j 0.00878064+0.00902449j 
-0.00329125+0.0160793j 0.0173747+0.0327773j 0.0269887-0.0197612j -0.0538844-0.0741113j -0.0386701-0.0801499j -0.0177022-0.0150936j -0.00963256-0.0808597j -0.0214452-0.0245172j -0.0114975-0.015161j 0.0151006+0.00676492j -0.00275433-0.00110867j 0.0338585+0.0251075j -0.0266748-0.0114284j 0.0239082-0.00703802j -0.0135863-0.0155025j 0.01377+0.0199731j 0.00951496+0.00489634j 0.015917-0.00362218j 0.00492321+0.0150542j -0.00182375-0.00360691j 0.0244477-8.11096e-05j 0.0113035-0.0108263j -0.00834234-0.000836839j 0.00305371+0.0131796j 0.00837267+0.00751501j -0.00835674+0.00606039j 0.0278444+0.00820345j 0.0155935-0.0213968j 0.00720984+0.0155577j -0.00544052-0.011681j 0.00443328-0.00906711j -0.0181155+0.0236242j 0.000522972+0.0164966j -0.000754937-0.0182434j 
0.0437088-0.0151042j 0.0731462-0.0185103j -0.101976+0.0404449j 0.0494559+0.0345421j -0.0234363+0.0292585j 0.0819216-0.126975j -0.0483416-0.0254291j -0.036617+0.0882447j 0.011821+0.0126665j 0.0202241-0.0146557j -0.0266531-0.0116728j 0.00187413+0.00772059j 0.0113382-0.0270232j 0.0392479-0.0428952j -0.0191189-0.00809297j -0.00165937-0.0127811j -0.0278053-0.0559131j -0.0193833+0.00490424j 0.00563684+0.00893742j -0.00996459-0.00925774j -0.00119267-0.0180198j -0.0108114+0.00738215j 0.00787634-0.0125076j 0.0118344-0.0150437j -0.0123206+0.0168142j 0.00591572-0.0189822j -0.00756619-0.00329271j 0.00955546+0.0164305j 0.0237722+0.0119642j -0.0308896+0.00853175j -0.0139194+0.00222168j -0.000848615+0.0111731j 0.0254605+0.0284107j 0.0231481-0.00616571j 
-0.0106593+0.0481575j -0.0358101+0.0266149j 0.0365747-0.0386803j 0.0277636-0.00721243j 0.0384068-0.0143161j -0.0742107-0.00464022j 0.00231558-0.0956956j 0.0118783-0.0345125j 0.0215705-0.0133865j -0.036607-0.0453307j 0.0210124+0.0144091j -0.0130717+0.054995j -0.0137613-0.0211146j -0.0204323-0.0552438j 0.00485217-0.0488151j 0.0150496+0.00403005j 0.0515505-0.013346j 0.011875+0.00731257j -0.0231705-0.015191j 0.00472665+0.000558161j -0.00273699-0.0171665j 0.00178075+0.00108584j -0.0176788-0.02248j -0.00311048-0.0206415j 0.0253549-0.000221406j 0.00209694-0.0121467j -0.00504089-0.00357105j 0.0256403+0.00219722j 0.0175981+0.0123734j 0.00331679-0.0151906j 0.0302949-0.0161911j -0.0397532-0.0177071j -0.00908679+0.0053829j -0.0541786-0.0542904j 
0.0446409+0.0417555j 0.0435956+0.0900917j -0.0612376-0.117625j 0.0203418-0.0181713j -0.0203096-0.0984005j 0.0341322+0.109238j -0.113049-0.0506607j -0.045899-0.0460754j 0.0291105-0.00131346j -0.0106565+0.0378304j 0.00379725+0.0137504j -0.0163444-0.0260755j 0.012984+0.0168909j -0.0101028+0.00328876j -0.0180985-0.0270176j 0.00225546+0.0051102j -0.014813-0.0269875j 0.00771139-0.020778j -0.0211268-0.0271343j -0.0354195-0.0233684j -0.0041891+0.00272138j 0.0143922-0.0315449j -0.0077588+0.00436911j 0.00282216+0.00516733j 0.00624694-0.0176313j -0.00262809-0.00528823j 0.00592734-0.000958939j 0.00527093+0.000692143j 0.000761115-0.0121859j -0.00625412+0.00137135j 0.0339839-0.0101644j -0.00219937+0.0154008j 0.0308098+0.0483649j 0.0106115+0.0119996j 
0.0307718-0.0882176j 0.0246879-0.0472185j -0.00372497+0.0406416j 0.0163203-0.0458529j -0.00754757+0.0177001j -0.0535993+0.0929778j -0.0564339+0.219779j 0.0185913+0.0205187j 0.0120603-0.0189615j 0.0114388-0.0105166j -0.0191095-0.00481455j 0.0158709-0.00264648j -0.0107996-0.0291484j -0.00853821+0.0235207j -0.00680959+0.0263681j 0.0150778-0.0324215j -0.0286023+0.00968773j 0.0151628-0.0166762j 0.00347682+0.00517371j -0.0212419-0.00041672j -0.00781143+0.00919743j 0.0146839-0.00121894j 0.0116728-0.00790174j -0.0071499+0.0220723j 0.00661857+0.0201139j 0.03061+0.00952139j -0.0129055-0.0114126j -0.00946755+0.0216251j 0.0245266+0.00966137j -0.0305881+0.0180337j 0.0314787-0.0132695j 0.0104292-0.0383318j 0.015448-0.00145303j -0.00999937+0.0314792j 
0.054965+0.0337973j -0.0114314+0.016842j 0.00815565+0.00910852j -0.0208178-0.0619383j 0.0395168+0.0235804j -0.0145917+0.107245j -0.0946682+0.0472693j 0.00548139-0.0181982j -0.01641+0.0519911j 0.0142982-0.030751j 0.00175778-0.0320604j 0.0123943-0.0184927j 0.0370437-0.00896745j 0.00179402-0.00289295j -0.00180472+0.0075227j -0.00367317+0.0174901j -0.000665749-0.00138409j -0.0145548+0.000777496j 0.00832246-0.0129468j -0.00192761-0.00831952j 0.00963757+0.0199878j -0.00968857+0.00763876j -0.0321138+0.00623832j 0.021494+0.00893539j -0.00921621-0.0323788j -0.00286668-0.0159472j -0.00643787+0.0107418j 0.00359978+0.0249422j -0.0206093+0.0136678j 0.0091193+0.000701331j -0.00894297-0.00431939j 0.0055268+0.0124712j -0.0160868+0.00281408j 0.00602033+0.00319883j 
