0.00580052-0.0073513j 0.0072736+0.00345287j 0.00457145+0.00416172j 0.00633293-0.00497562j 0.00285327-0.000444561j 0.00392386+0.000494536j 0.00537206-0.00670894j -0.00545024-0.00484474j -0.00487297-0.00298374j 0.000299239-0.00213939j -0.00269048-0.0013059j -0.000258843-0.00933109j -0.00486666-0.00267965j -0.00267499-0.000883176j 0.000871757-0.0012031j -0.000710997+0.00105534j 0.000612611+0.00402483j 0.000409133+0.00590086j 0.00370476+0.00251018j 0.00355951+0.00310857j 0.00377604-0.00154702j -0.00283021-0.00148228j 0.00276265+0.00208824j 0.000248585-0.00174424j -0.00099784+0.000371356j -0.000428755-0.000255346j 0.000136851-0.00103705j -0.000373166-0.000921815j 0.00481794-0.000332185j -0.00121647-0.00348455j 0.00125998-0.00404957j 0.00304903-0.00475905j 0.00498729-0.00563971j -0.00121743+0.00419355j 0.00159735+0.0042884j 0.00391336+0.00434261j 0.00125473+0.00148846j 0.00570973-0.00347672j -0.00533406+0.00491869j 0.0014448-0.000565514j -0.00905162-0.0108168j 0.001827+0.00569046j 0.00610044-0.0024592j -0.00416983-0.01772j -0.000998756+0.00271301j -0.0234982+0.00635009j 0.00773664-0.00249037j -0.0264064-0.00203797j -0.0428263+0.00487437j -0.0122088+0.00153989j -0.0623033+0.0128522j -0.0131345-0.0498237j 
-0.00569265-0.00453974j 0.00535309-0.00898187j 0.00603205-0.00536418j -0.00218604-0.00514384j 0.000270306-0.000391346j 0.00361847-0.00759887j -0.0039791-0.000949378j -0.0050129+0.00278579j 2.53412e-05+0.000803321j 0.00123744+0.00390081j -0.000548977+0.00661503j -0.00810419+0.00226173j -0.000737097+0.00296803j -0.00112024+0.00269479j -0.00144703-0.00076973j -0.00132163+6.85223e-05j 0.00286634-0.00220775j 0.00588811-0.0050816j 0.00172422-0.00092869j 0.00581609-0.00070134j -0.00103252-0.00677088j -0.00117616-0.000492647j 0.00445422-0.00408164j -9.67674e-05-0.000594395j 0.00138984-0.000378385j -0.00391639+0.00457867j 0.00178355+0.00117115j 0.000259551-0.00112961j -0.00164813-0.00451342j -0.00191616+0.000745254j -0.00373379+0.00133084j -0.00354023-0.00698385j -0.00583108+0.000837623j 1.76507e-05-0.00254532j 0.00440734+0.00167325j 0.00617015-0.00299361j -0.0039386+0.00223821j -0.000903678-0.00583938j 0.00698101+0.00113217j -0.00119524+0.000512175j -0.00110797+0.00448457j 0.00992885+0.00944773j -0.00384653-0.0131992j -0.00462192-0.000317241j -0.00300185+0.00636511j 0.00125435-0.00282238j 0.0411114+0.00315255j 0.0141572-0.0121158j 0.0125083+0.000602089j -0.0374939+0.0111781j 0.0130486+0.0513281j -0.0605639+0.0126311j 
-0.00308363-0.00396255j 0.0047463-0.00685026j 0.00242921+0.00205568j 0.00643028-0.00366855j -0.00405714+0.00580733j 0.00222973-0.00874116j 0.00474378-9.77162e-06j -0.00160784-0.0113671j -0.00772193+0.0052597j 0.00691249+0.000435533j 0.00501915+0.00524105j 0.00119609-0.000274207j -0.00672884-0.00886348j -0.000348029-0.00148376j 0.000827942-0.00520489j 0.000267448-0.00246329j 0.00179251+0.00133018j -0.000720204+0.00445503j 0.00819154-0.00235731j 0.00608687-0.00238619j -0.00307532-0.00305465j -0.0122436+0.00170205j -0.00330293-0.00197832j -0.00606417-0.0016518j -0.00448925-0.00124629j 0.00308439+0.00031073j 0.007541-0.0106644j 0.000915064+0.00366313j 0.00490777+0.00200588j -0.00647172-0.00150157j 0.00791259-0.0062516j -0.00587319-0.00606956j 0.0123058-0.00388638j 0.00247541+0.00194758j -0.000638869+0.000539798j 0.00223333+0.00131074j 0.0099548+0.00237459j 0.0143785-0.0017018j -0.00902354+0.000705983j -0.00022659+0.00197978j -0.0191615+0.010325j 0.0133704-0.0011514j 0.0156014+0.00326496j 0.00846709+0.0140165j 0.0329648-0.00344446j 0.0101095-0.00309398j 0.00543075+0.00857763j -0.0135202+0.010316j 0.0342271-0.0369587j 0.0559104+0.0248821j -0.0101193+0.00945328j -0.00601576+0.000124411j 
-0.00400012+0.00590123j -0.00254453-0.00412923j 0.00318273+0.0017657j 0.0029259-0.00522006j -0.00175243+0.00715405j -0.00413793-0.00113395j -0.000317723+0.00131074j -0.00628409-0.00247273j 0.00145829+0.00514263j 0.000709164-0.00398064j 0.00430085+0.00161799j -0.0041707+0.00716162j -0.00715487+0.00147647j 0.00241519+0.00323032j -0.00312792+0.00250275j -1.28345e-05-0.000133491j -0.000870569-0.00463592j 0.0059628-0.00666811j 0.000332669+0.00034278j -5.4247e-05-0.00119285j -0.0007841-0.00186178j -0.00130973+0.00499161j 0.00314111-0.000817692j -0.00191246+0.00539031j 0.00298556+0.00630188j -0.00923515+0.00227499j -0.00466417-0.00177543j 0.00508344+0.000406339j -0.000196998-0.00497908j 0.00136219+0.00271809j -0.0038476-0.0017249j -0.00592267-0.00110461j 0.00225514-0.000188459j -0.00705136-0.0112114j 1.73169e-05+0.00343979j 0.00530646-0.000130619j -0.00416159-0.0069125j 0.00770326-0.011387j 0.0133602+0.00522351j -0.00172315+0.0128096j 0.0137958-0.0072099j 0.0309132-0.00677084j 0.0109186+0.00674777j -0.00489606-0.00114026j -0.0107665+0.00536209j -0.0351022+0.018843j -0.0265215-0.00450345j 0.0444794-0.00833302j -0.0387837-0.0382705j 0.0209584-0.031534j 0.0053696-0.00267134j -0.0081442+0.00437949j 
0.000913511+0.0019822j -0.00133182+0.00617732j -0.00145275+0.00522333j -0.000894947+0.00394469j -0.000166861+0.00165618j 0.00142298+0.00335253j -0.000655206+0.00177058j -0.000297018-0.00559453j -0.0046134-0.00144402j 0.00229435-0.00109928j 0.00162056-0.00343544j -0.00237521-0.00406573j 7.96701e-05-0.00376552j 0.00383902-0.00401055j 0.00278072-0.00112687j 0.00128851-0.00106587j -0.000321628+0.00307135j -0.0004781+0.00562483j 0.00361312+0.000860782j 0.00260048+0.00440891j -0.00467252+0.0037356j -0.0033386-0.000523173j -0.00226328+0.00352529j -0.00238185+0.00127927j -0.000631821-0.000462077j -0.000991367-0.00376677j 0.00080121+0.000142677j -0.00137393+0.000745384j -0.00101939+0.00241409j -0.000930261-0.000973206j 0.00152431-0.00492775j -0.00658721+0.000945289j 0.00719215-0.00605415j -0.00371543+0.00241811j -0.00136688+0.00370481j -0.00119974+0.00563182j 0.00545903-0.00143599j 0.00486309+0.00153768j -0.00162482+0.00150548j -0.00522012+0.000468969j -0.012355-0.00322865j 0.00840182+0.00058385j -0.0104514+0.00377131j -0.00772535-0.00535829j 0.00582766-0.00159895j 0.00995473-0.0119426j 0.00739174+0.00992269j -0.00705066-0.00347382j 0.0340888-0.031646j -0.0149984-0.0459101j -0.00481525-0.0203317j 0.00544804-0.0376918j 
-0.00142512+0.00424798j -0.000398111-0.00122069j -0.000336932-0.00296067j -0.00359426+0.00579718j 0.00314927-0.00148835j 0.00326108-6.43964e-05j 0.000110893+0.00414189j -0.000289157+0.00156937j 0.000679425-0.000466861j -0.00267052+0.00133231j -0.0061598-0.000847983j 0.00107735+0.00334839j -0.000536225-0.00153134j -0.00268203-0.00143473j -0.00234397-0.000295336j -0.00322659+0.00114083j 0.00500574-0.00157027j 0.000342764-0.000871634j -0.00278684-7.8918e-05j -0.00332097-0.0012106j -0.000152787+0.00376249j 0.00326414-0.00168458j 0.000382404-0.00012184j 0.000451182-0.000950208j -0.0006654-0.00380257j 0.00459795-0.00221428j 0.000878993+0.00211808j -0.00383273-0.00089048j 0.00168991+0.00350247j -0.00599455+0.002602j -0.00138822+0.00439045j -0.000104915+0.00459286j -0.00228706+0.00721454j 0.00432617-0.000238137j -0.00464434-0.00303393j -0.00262843-0.0001902j -0.00853043+0.00428945j -0.00632085+0.00664909j -0.00680148-0.00694829j -0.00038331-0.000729753j -0.0159618+0.0071179j -0.0107741-0.00426379j 0.00747472+0.00728292j -0.00691162+0.00571813j 0.00479493-0.00345679j -0.0017959-0.00852785j 0.00889002-0.0181875j 0.000314556+0.00372574j -0.00796649-0.0429123j -0.033714+0.0307907j 0.00380088-0.0378445j 0.00515033+0.0203461j 
-0.000657387-0.00348754j 0.00164524-0.000283068j -0.00167607-0.00294747j -0.00486059+0.00644059j 0.00298867-0.00580243j 0.0056369+0.00212558j 0.000436901-0.00223533j 0.00263691+0.00209746j 0.00293953+0.000700423j 0.000881229+0.00510724j -0.00635765-0.000811496j 0.00307178-0.0080109j 0.00420282-0.000693473j -0.00532333-0.000397871j -0.00323501-0.00372126j -0.00713038+0.00284717j 0.00725522+0.00162905j 0.00394186+0.00512219j -0.00918422+0.00180949j -0.00361569+0.00196105j 0.000261003+0.000877441j 0.00750995-0.00534501j 0.00211035+0.0014271j 0.00300051-0.00573987j -0.00232531-0.00737021j 0.00617173-0.00715076j -0.000210822+0.0109276j -0.00721727-0.00455512j 0.000878158-0.00121229j -0.00578044+0.00178733j -0.00424262+0.00345553j 0.000390885-0.00518769j -0.00871409+0.00575496j 0.00117907-0.00271659j -0.00820205+0.0100544j -0.0049362+0.0116686j -0.0341035+0.012879j -0.0218142-0.00448703j -0.0138921+0.00216315j -0.0139636+0.00306989j 0.000535397-0.00174934j 0.00140568+0.00787035j 0.0129608-0.00549455j 0.010558+0.00795198j 0.0252185-0.00856686j -0.0375925+0.0168272j 0.0368793-0.00472711j 0.034485+0.037853j 0.0060488+0.0115061j -0.00665496+0.00129779j -0.00640192+0.00616543j -0.00309794-0.0110132j 
-0.00199565-0.00249724j 0.00252355-0.00430805j 0.00510027-0.00227481j 0.00057673-0.00732054j 0.00495081+0.00347607j -0.00273752+0.00419115j 0.00554826-0.000383836j -0.0030268+0.000989819j 0.00298612+0.000303825j 0.00403378+0.001451j -0.00307231+0.000903731j 0.00527846-0.00708441j -0.00218688-0.00307883j -0.00870722+0.00589522j -0.010854+0.00328328j -0.00609566-0.00524516j 0.000461803-0.00293917j -0.0069455+0.00357983j -0.00276922+0.00180219j -0.000597333-0.00333227j 0.00365994-0.00459808j -0.00234658-0.00283422j 0.00828076+0.00475348j 0.00315029-0.00564654j -0.0050803+0.00392388j 0.00482686+0.00426068j -0.00833485-0.0126463j -0.0047877+0.00201963j 0.00799729-0.00137275j -0.00514676-0.00284754j 0.0103922+0.00566436j 0.0174937+0.00635054j 0.00478555+0.0138599j 0.0139802-0.0058415j 0.00962572-0.00641016j 0.0106313-0.00604386j -0.0142101-0.00401171j -0.017365+0.00621917j -0.0118141-0.00556027j 0.037901-0.00407804j 0.027901-0.00714591j 0.00501657-0.00877336j 0.00401043-0.00387529j -0.026385-0.00450529j -0.04696+0.00241529j -0.0236646+0.0231691j 0.0181482+0.0400989j -0.0259433+0.0120532j -0.000832727-0.00400621j 0.00310194-0.0109242j -0.009486-0.00111143j 0.000678424-0.00477921j 
0.00429978-0.00554264j 0.00174034+0.00605066j -0.00148331+0.00147412j 0.00118591+0.00405866j -0.0016826-0.000410813j -0.00451859-0.00373781j -0.00214537+0.00474913j -0.000937598+0.00415485j -0.00425226-0.00543199j -0.00424631+0.00437282j -0.00150113-0.00228164j 0.000726643-0.00151963j 0.00108067+0.00237645j -0.00552928+0.000629425j -0.000577382-0.000947276j 0.00468033-0.00347407j -0.000148896+0.00525123j -0.00540893+0.00030847j -0.00396915+0.0013706j -0.00115831+0.00313781j 0.0111428+0.000922627j -0.000275092+0.00104267j 0.00189951+0.00632148j 0.00398125+0.000634059j 0.00247041+0.00476525j -0.00217191+0.00581023j -0.000344011-0.011974j 0.00305302+0.00685574j -0.000795745+0.0112j 0.0102969-0.0076675j -0.00565594-0.00683826j 0.0169155-0.00418538j -0.0123121+0.0116409j 0.00667176-0.00294238j 0.0216884-0.0015063j -0.00546676+0.00312339j 0.0273659-0.00398182j -0.0119945-0.00166651j 0.00782895+0.0033885j -0.00543848-0.000443453j 0.0192219-0.0231927j 0.0315329+0.000158329j 0.0317395-0.0138766j 0.00130229+0.0121111j 0.0159806-0.0164916j -0.0470046-0.0326293j -0.0335498+0.0243129j -0.00444329-0.00932305j 0.000943209-0.00237743j -0.0111651+0.0100837j -0.000773366-0.00953328j 0.0080104-0.00350458j 
-0.00086817-0.000768337j 0.000767503-0.00329284j -0.00193289+0.000350857j 0.00318498-0.000444287j -9.16553e-05-0.000191921j 0.00334692-0.0040484j 0.00175357-0.00579649j 0.000240085+0.0015914j 0.000737115+0.00670055j -0.0033598-0.00266989j -0.00646026-0.0014695j 0.00555347-0.00115451j -0.00134496+0.00221685j -0.00216683+0.00468798j -0.00148424-0.0042625j -0.00391507+0.00851704j 0.0060528-0.00307589j 0.00299663-0.00478055j -0.00968742+0.00632386j -0.00819972-0.000618234j 0.00147349+0.00354506j 0.00444686+0.000535838j -0.00745509+0.00119107j -0.000518662-0.000558245j -0.00377606+0.00314469j 0.00877074-0.0129376j 0.00474276+0.00102867j -0.00711125+0.004768j 0.0032379+0.00335204j -0.00592704+0.00971864j -0.00568569+0.00636144j 0.00294496+0.00021723j -0.0163453+0.0110165j -0.00935971-0.00931853j -0.00523059+0.000369142j -0.021679+0.00666582j 0.0159133-0.00661977j 0.00754454-0.00664819j 0.0056092+0.0146874j -0.00409933+0.0158487j 0.00397987-0.00941697j 0.00974254-0.011488j 0.0186763-0.00267632j 0.0180581-0.0115985j 0.0086235-0.0602234j 0.0137022+0.0365257j 0.01284-0.0103232j -0.00402795-0.0374j 0.00172935-0.00125338j 0.00538432-0.0151843j -0.00387052+0.00135988j 0.00445124+0.00853324j 
-0.000906603-0.00291017j 0.00177632-0.00189531j -0.00143603+0.00183621j 0.00345676+0.000161105j -0.00471265+0.00108847j -0.00188064-0.00464101j 0.000271281-0.0022198j 0.0062081-0.00588493j 0.00205106+0.0039222j -0.00352307+0.00061654j 3.64948e-05+0.00205353j 0.00193603-0.00220396j 0.00264544-0.00413623j 0.00265455+0.000452955j 0.00155627-0.00572532j 0.00127791-0.000767488j -0.000293552+0.000615035j -0.00129547+0.00345733j -0.00378331-0.00237671j -0.00308611-0.00200143j 0.00182122-0.000291927j 0.000147017+0.00417705j -0.00170239+0.0037606j 0.00263121+0.000272965j 0.0057566+0.0033226j -0.00589543-0.00412425j -1.83446e-05-0.00367191j 0.000291414+0.00383282j -0.00332234+0.0010753j 0.00253772+0.0019608j -0.00336736-0.00702022j 0.00201697-0.00220303j -0.0021642-0.0064261j -0.00432407-0.00239205j -0.0052506+0.00639817j -0.00887664+0.00278437j -0.00765468-0.0109807j -0.0118838-0.00263671j 0.00920709+0.0154537j 0.00483109-0.00244821j 0.00336406+0.0162834j -0.000885492+0.00985199j 0.0138887-0.0047373j -0.00184398+0.00704522j -0.0305013-0.0323389j 0.00610312-0.0455155j 0.0101429-0.0270811j -0.0167583+0.0485715j -0.00754606-0.0381157j 0.00660656-0.0114002j 0.00204101+0.0119024j 0.00134251-0.0019052j 
