-0.585687-0j -0.0595889-0j -0.0602064-0j 0.0674462-0j 0.00973502-0j -0.0424388-0j -0.024756-0j -0.00612552-0j -0.00357322-0j -0.0241747-0j -0.00427352-0j 0.0554657-0j -0.000356127-0j -0.0172712-0j -0.0246783-0j 0.00980505-0j -0.00305315-0j -0.0101793-0j 0.000817087-0j -0.00436256-0j -0.000254429-0j -0.00179946-0j -0.000363546-0j -0.000149955-0j -0.0186669-0j -0.00311115-0j -0.0210865-0j -0.00190518-0j -0.000388894-0j 0.0338591-0j -2.29158e-05-0j 0.03421-0j -0.00351442-0j -0.0150649-0j -0.00215213-0j 0.00564319-0j -0.0124279-0j -0.000439302-0j 0.00345573-0j 0.00570167-0j -2.58861e-05-0j -0.00397079-0j 0.000705399-0j 0.00349155-0j -0.00251082-0j -0.00153756-0j 4.1566e-05-0j -0.00207132-0j 0.000712709-0j -0.000313853-0j -0.00126842-0j 4.19968e-05-0j -0.000661798-0j -0.000258915-0j -0.000405267-0j -1.8494e-05-0j -8.27247e-05-0j -1.52567e-05-0j -4.8746e-06-0j 
0.0125569-0j -0.0716384-0j -0.0719201-0j 0.0424388-0j 0.00612552-0j -0.000883972-0j -0.0596757-0j -0.00012759-0j -0.00861344-0j 0.0299147-0j 0.00528822-0j 0.00060468-0j 0.000440685-0j -0.0628994-0j 0.0286405-0j 0.000106893-0j -0.0111191-0j -0.0369157-0j 8.90777e-06-0j 0.00506297-0j -0.000926595-0j -0.00652584-0j 0.000421914-0j -0.00054382-0j 0.0230991-0j 0.00384985-0j 0.000452087-0j 0.00235754-0j 0.000481232-0j -0.0206985-0j 2.83568e-05-0j -0.0207799-0j 7.53479e-05-0j -0.000950571-0j 4.6141e-05-0j -0.00344975-0j 0.0291054-0j 9.41848e-06-0j -0.00211253-0j -0.00346332-0j 5.5499e-07-0j -0.0192287-0j -0.000431219-0j -0.00212084-0j -0.000158428-0j -9.70172e-05-0j -2.54098e-05-0j 0.0048509-0j -0.000432915-0j -1.98036e-05-0j 0.00297056-0j -2.55097e-05-0j -0.00320479-0j 0.000606362-0j -0.00196252-0j -1.16694e-06-0j -0.000400598-0j 3.57302e-05-0j -2.36055e-05-0j 
0.823568-0j -0.0430136-0j -0.0390198-0j -0.024756-0j -0.00357322-0j 0.0596757-0j -0.0686933-0j 0.00861344-0j -0.00991503-0j -0.0174502-0j -0.00308479-0j 0.039659-0j -0.000257066-0j -0.012467-0j -0.015994-0j 0.00701079-0j -0.00220388-0j -0.008797-0j 0.000584232-0j -0.00282737-0j -0.000183657-0j -0.0015551-0j -0.000235614-0j -0.000129592-0j -0.0134745-0j -0.00224575-0j 0.0296509-0j -0.00137523-0j -0.000280718-0j -0.0124279-0j -1.65415e-05-0j -0.011274-0j 0.00494182-0j 0.0211837-0j 0.00302624-0j -0.00207132-0j -0.0344852-0j 0.000617728-0j -0.00126842-0j -0.001879-0j 3.64e-05-0j 0.0365055-0j -0.000258915-0j -0.00115065-0j 0.00353061-0j 0.00216205-0j -1.52567e-05-0j -0.00574754-0j -0.000234875-0j 0.000441326-0j -0.00351964-0j -1.38401e-05-0j 0.00608425-0j -0.000718443-0j 0.00372583-0j 2.60054e-05-0j 0.000760532-0j -4.23346e-05-0j 4.48148e-05-0j 
0.0729812-0j -0.350108-0j -0.353736-0j 0.00427352-0j -0.0587852-0j 0.00528822-0j 0.00308479-0j -0.0727429-0j -0.0424334-0j -0.00894043-0j 0.0745203-0j 0.00351442-0j 0.0188935-0j 0.00215213-0j 0.00307512-0j -0.0292934-0j -0.0179385-0j 0.00126842-0j -0.00742689-0j -0.0256317-0j -0.00454803-0j -0.0105725-0j -0.00649853-0j -0.00268051-0j 0.00232604-0j -0.0182792-0j -0.00779834-0j 0.000237401-0j -0.00461827-0j 0.00214538-0j -0.000547124-0j 0.00216762-0j 0.0612833-0j 0.00187721-0j -0.000795915-0j -0.0168595-0j 0.00154862-0j 0.0154833-0j 0.000218962-0j -0.0170342-0j 0.0018343-0j 0.000494791-0j -0.00425957-0j 0.000221231-0j -0.0147521-0j 0.000191592-0j -0.000504629-0j -0.0121698-0j -0.00430371-0j -0.00372712-0j 0.000158055-0j -0.000509858-0j -0.00388832-0j -0.00307472-0j 5.04994e-05-0j -0.00044155-0j -0.000982388-0j -0.00036426-0j -0.000116383-0j 
-0.0014752-0j 0.40846-0j -0.398392-0j 0.00980505-0j -0.134875-0j -0.000106893-0j 0.00701079-0j 0.00147039-0j -0.096438-0j -0.00351442-0j 0.0292934-0j 0.000139705-0j 0.00742689-0j -0.00251082-0j 0.00346332-0j -0.00116447-0j 0.0209282-0j 0.00433692-0j -0.000295233-0j -0.0288675-0j 0.00530603-0j -0.0361491-0j -0.0073189-0j -0.00916505-0j -0.00271372-0j 0.0213258-0j -5.31119e-05-0j -0.000276968-0j 0.00538798-0j 0.0049223-0j 0.000638311-0j -0.00480098-0j 0.00041738-0j -3.7945e-05-0j -5.42071e-06-0j -0.038682-0j 0.00351954-0j 0.000105451-0j 0.000502381-0j 0.0377285-0j 1.24928e-05-0j 0.00225902-0j -0.00977304-0j -0.000489998-0j 0.000298191-0j -3.87274e-06-0j -0.00115781-0j -0.0276583-0j 0.00953215-0j 7.53382e-05-0j 0.000359211-0j 0.00112927-0j -0.0177525-0j -0.0069879-0j 0.00023056-0j 8.92527e-06-0j -0.00448519-0j -0.000827852-0j -0.000531358-0j 
-0.0521403-0j -0.736147-0j 0.252721-0j -0.00305315-0j 0.0419982-0j 0.0111191-0j -0.00220388-0j -0.152951-0j 0.0303159-0j -0.00215213-0j 0.0179385-0j -0.00251082-0j 0.00454803-0j -0.00136497-0j 0.00646582-0j 0.0209282-0j 0.0113773-0j -0.000906204-0j 0.00530603-0j -0.053894-0j 0.00288454-0j 0.00755339-0j -0.013664-0j 0.00191505-0j -0.00166181-0j 0.0130593-0j -0.00187721-0j -0.000169607-0j 0.00329945-0j 0.00451094-0j 0.000390884-0j -0.00154862-0j 0.0147521-0j -0.0011906-0j -0.000191592-0j -0.0354492-0j 0.00325617-0j 0.00372712-0j 0.000460396-0j 0.0121698-0j 0.00044155-0j -0.000353496-0j -0.00895629-0j -0.000158055-0j 0.00935634-0j -0.000121515-0j -0.00106105-0j -0.0255886-0j 0.00307472-0j 0.00236389-0j 0.000332331-0j 0.00036426-0j 0.00277795-0j -0.00646499-0j -3.60785e-05-0j 0.000280049-0j 0.000701852-0j -0.000765904-0j 8.3148e-05-0j 
-0.0719201-0j 0.347228-0j 0.360889-0j 0.00436256-0j -0.0600099-0j 0.00506297-0j 0.00282737-0j -0.0696445-0j -0.0388924-0j 0.00307512-0j -0.0256317-0j -0.00346332-0j -0.00649853-0j -0.00646582-0j 0.00304799-0j 0.0288675-0j 0.053894-0j 0.00611995-0j 0.0073189-0j -0.0254056-0j 0.013664-0j -0.051011-0j -0.0064412-0j -0.0129331-0j 0.0023745-0j -0.01866-0j -0.00258934-0j 0.000242347-0j -0.00471448-0j -0.00212773-0j -0.000558522-0j -0.00221145-0j 0.0203484-0j 0.00544442-0j -0.000264274-0j 0.0167208-0j -0.00137898-0j 0.00514103-0j -0.000217161-0j 0.0173787-0j 0.000609055-0j 0.00529659-0j 0.00422453-0j -0.000225705-0j -0.042785-0j 0.000555669-0j 0.000500477-0j 0.0108367-0j 0.00439074-0j -0.0108097-0j -0.000140742-0j 0.000520168-0j -0.0416233-0j 0.00273791-0j 0.000540581-0j -0.00128062-0j -0.0105162-0j 0.000324359-0j -0.00124584-0j 
0.0900614-0j 0.147421-0j 0.703989-0j -0.00179946-0j 0.0247528-0j 0.00652584-0j -0.0015551-0j -0.0897673-0j 0.0213915-0j -0.00126842-0j 0.0105725-0j 0.00433692-0j 0.00268051-0j -0.000906204-0j -0.00611995-0j -0.0361491-0j 0.00755339-0j 0.00743076-0j -0.00916505-0j 0.051011-0j 0.00191505-0j -0.0619369-0j 0.0129331-0j -0.0157032-0j -0.000979433-0j 0.00769688-0j 0.00324248-0j -9.99629e-05-0j 0.00194462-0j -0.000903361-0j 0.000230379-0j -0.00431388-0j -0.0254811-0j 0.00231654-0j 0.000330935-0j 0.00709907-0j -0.000780689-0j -0.00643782-0j -9.21989e-05-0j 0.0339007-0j -0.000762685-0j 0.00387907-0j 0.00179359-0j -0.000440284-0j -0.0182046-0j 0.000236431-0j 0.000212485-0j 0.00613505-0j 0.00856504-0j -0.0045994-0j -7.96788e-05-0j 0.0010147-0j -0.0304837-0j 0.00155003-0j 0.000395906-0j -0.000544889-0j -0.00770174-0j 0.000183631-0j -0.000912421-0j 
0.0460126-0j 0.00468141-0j 0.00472992-0j -0.257592-0j 0.000388894-0j -0.318754-0j -0.18594-0j 0.000481232-0j 0.000280718-0j 0.00189921-0j -0.032098-0j 0.00221574-0j 2.7978e-05-0j 0.00135686-0j 0.00193877-0j -0.0374477-0j -0.0229319-0j 0.000799703-0j 3.2641e-05-0j -0.0327667-0j 1.99884e-05-0j -0.0135156-0j 2.85608e-05-0j 1.17807e-05-0j -0.0058301-0j -0.000971683-0j 0.00165659-0j 0.114371-0j 0.0116122-0j 0.0013526-0j -7.15712e-06-0j 0.00136662-0j 0.000276099-0j 0.00118353-0j -0.032498-0j 0.000225434-0j 0.000976361-0j -0.00329956-0j -0.0265345-0j 0.00022777-0j 2.03366e-06-0j 0.000311952-0j -0.00269408-0j -0.0268095-0j 0.000197255-0j -0.0232177-0j 1.66048e-06-0j 0.000162727-0j -0.002722-0j -0.00235732-0j -0.0191536-0j 1.67768e-06-0j 5.1992e-05-0j -0.00194469-0j -0.00611968-0j 1.45292e-06-0j -0.000621337-0j 1.1986e-06-0j 3.82957e-07-0j 
-0.00664135-0j 0.0643959-0j 0.0650633-0j -0.000388894-0j -0.249531-0j -0.000481232-0j -0.000280718-0j -0.308779-0j -0.180121-0j -0.000274127-0j 0.00461827-0j -0.000319815-0j -0.0550143-0j -0.000195846-0j -0.000279838-0j 0.00538798-0j 0.00329945-0j -0.000115427-0j -0.0641833-0j 0.00471448-0j -0.0393041-0j 0.00194462-0j -0.0561604-0j -0.023165-0j 0.000841502-0j -0.0133661-0j -0.000239109-0j 8.58854e-05-0j 0.0779343-0j -0.000195231-0j 0.0283446-0j -0.000197255-0j 0.00379793-0j -0.000170828-0j -2.44039e-05-0j 0.00310099-0j -0.000140926-0j -0.0221447-0j -1.99257e-05-0j 0.00313313-0j -0.00805399-0j -4.50264e-05-0j -0.018081-0j -2.01322e-05-0j 0.00271337-0j -1.7435e-05-0j -0.00657606-0j 0.00223842-0j -0.0182684-0j -0.0158209-0j -1.43831e-05-0j -0.00664421-0j 0.000715185-0j -0.0130516-0j -4.59549e-06-0j -0.00575405-0j -0.00417004-0j -0.00474685-0j -0.00151664-0j 
-0.000900541-0j -0.00528822-0j 0.00515787-0j 0.290981-0j -0.000439302-0j 0.00623854-0j -0.409165-0j -9.41848e-06-0j 0.000617728-0j 0.00636732-0j -0.107612-0j -4.33657e-05-0j 9.37995e-05-0j -0.00153274-0j 0.00211419-0j 0.000732912-0j 0.0259044-0j 0.00264748-0j -6.38837e-07-0j -0.0357314-0j -2.25793e-05-0j -0.0447444-0j 3.11449e-05-0j 3.9001e-05-0j -0.00165659-0j -0.000276099-0j 9.62265e-05-0j 0.032498-0j 0.00329956-0j -0.00152793-0j -2.03366e-06-0j 0.00149027-0j 1.60378e-05-0j -2.31636e-05-0j -0.00188771-0j -0.000254655-0j 0.00214851-0j -0.000191661-0j 0.0299739-0j 0.000248378-0j 1.18129e-07-0j 0.00137902-0j 0.00304328-0j -0.0292351-0j -3.86059e-06-0j 0.000454408-0j -1.87571e-06-0j 0.000358084-0j -0.00296827-0j 4.61365e-05-0j -0.042148-0j 1.82948e-06-0j 0.000229837-0j -0.00427934-0j -0.0270528-0j -2.8436e-08-0j -0.0027467-0j 2.63754e-06-0j 1.69291e-06-0j 
