-0.00418631-0j -0.000661914-0j 0.101219-0j -0.000348859-0j 0.0146097-0j -8.72148e-05-0j -3.08351e-05-0j -7.2679e-06-0j -7.70877e-06-0j -6.42397e-07-0j -2.39407e-08-0j -0.00390365-0j -0.000608588-0j -0.000471411-0j -6.80423e-05-0j 0.0832392-0j 0.0147148-0j -5.07157e-05-0j 0.00122623-0j -4.39211e-05-0j -8.96535e-06-0j -4.48268e-06-0j -5.28289e-07-0j -6.47019e-07-0j -4.17649e-08-0j -1.31547e-09-0j -0.00257392-0j -0.0026006-0j -0.000397165-0j -0.000401281-0j -0.00030334-0j -0.000306483-0j -4.37833e-05-0j -4.4237e-05-0j -0.000271315-0j 0.0720469-0j -0.000274127-0j 0.0727935-0j -4.79622e-05-0j -4.84593e-05-0j -3.99685e-06-0j 0.00846892-0j -4.03827e-06-0j 0.00518613-0j 0.00855668-0j -2.52783e-05-0j 0.00523988-0j 0.00105861-0j -2.55403e-05-0j -3.64861e-06-0j 0.00106959-0j 6.23795e-05-0j -4.46862e-06-0j -3.68642e-06-0j 6.30259e-05-0j -1.11715e-06-0j -4.51492e-06-0j -5.26631e-07-0j -3.22495e-07-0j -1.12873e-06-0j -5.32089e-07-0j -2.40373e-08-0j -3.25837e-07-0j -3.29145e-08-0j -2.42864e-08-0j -3.32556e-08-0j -1.73474e-09-0j -1.75272e-09-0j -4.7319e-11-0j -4.78094e-11-0j 
0.000697718-0j -0.00520165-0j 8.72148e-05-0j -0.0168457-0j -0.0011997-0j 0.0989436-0j 5.13918e-06-0j 0.0250856-0j -0.000122444-0j -2.05143e-05-0j -1.14878e-06-0j 0.000650608-0j -0.0047826-0j 7.85684e-05-0j -0.00108076-0j -0.0103542-0j -0.000597824-0j 0.115471-0j -0.000151569-0j -0.00105677-0j 0.0205578-0j -3.52271e-05-0j 0.00243547-0j -1.54695e-05-0j -1.66889e-06-0j -7.36789e-08-0j 0.000428987-0j 0.000433433-0j -0.00312112-0j -0.00315347-0j 5.05566e-05-0j 5.10805e-05-0j -0.00069544-0j -0.000702647-0j -0.00652801-0j 3.09595e-05-0j -0.00659566-0j 3.12803e-05-0j -0.000376911-0j -0.000380817-0j -9.55601e-05-0j 0.0496714-0j -9.65504e-05-0j 4.46862e-06-0j 0.0501861-0j -0.00122064-0j 4.51492e-06-0j -8.693e-05-0j -0.00123329-0j 0.0167907-0j -8.78309e-05-0j -1.02986e-05-0j 0.00506957-0j 0.0169647-0j -1.04053e-05-0j 1.86192e-07-0j 0.0051221-0j 0.0018177-0j -5.1224e-06-0j 1.88122e-07-0j 0.00183654-0j 0.000138663-0j -5.17548e-06-0j -1.05109e-06-0j 0.0001401-0j -1.06198e-06-0j -8.32406e-08-0j -8.41033e-08-0j -3.03006e-09-0j -3.06146e-09-0j 
0.000427263-0j 6.75563e-05-0j -0.0102655-0j 3.56053e-05-0j 7.70877e-06-0j -0.00171092-0j 0.174401-0j 7.41777e-07-0j 0.0143819-0j -1.26021e-05-0j 2.44344e-09-0j 0.000398415-0j 6.21138e-05-0j -0.00924783-0j 6.94453e-06-0j 4.39211e-05-0j -0.00149236-0j 5.17615e-06-0j 6.47019e-07-0j 0.0819418-0j -0.000175877-0j 0.0253537-0j 5.39182e-08-0j 0.00120712-0j -8.19317e-07-0j 1.3426e-10-0j 0.0002627-0j 0.000265422-0j 4.05355e-05-0j 4.09555e-05-0j -0.00595073-0j -0.00601239-0j 4.46862e-06-0j 4.51492e-06-0j 2.7691e-05-0j 1.89587e-05-0j 2.7978e-05-0j 1.91552e-05-0j -0.000940893-0j -0.000950643-0j 4.07927e-07-0j 4.46862e-06-0j 4.12154e-07-0j 0.0500215-0j 4.51492e-06-0j -0.000495894-0j 0.0505399-0j -0.000107364-0j -0.000501033-0j 3.72385e-07-0j -0.000108477-0j 3.29145e-08-0j 0.00833692-0j 3.76244e-07-0j 3.32556e-08-0j 0.012681-0j 0.00842332-0j -1.03311e-05-0j 0.00182401-0j 0.0128125-0j -1.04382e-05-0j 2.4533e-09-0j 0.00184291-0j 6.14072e-05-0j 2.47872e-09-0j 6.20436e-05-0j -3.40311e-08-0j -3.43838e-08-0j 4.82948e-12-0j 4.87953e-12-0j 
-8.72148e-05-0j 0.0013142-0j 0.00104227-0j -7.2679e-06-0j -0.0069951-0j -0.0165551-0j 0.000185534-0j -0.00206275-0j 0.137226-0j 0.0351073-0j -3.44043e-05-0j -8.1326e-05-0j 0.00120833-0j 0.000938943-0j -0.00630162-0j -8.96535e-06-0j -0.0144403-0j 0.000100694-0j -0.00179925-0j 0.000175877-0j 0.079382-0j -0.00257051-0j -0.000301984-0j 0.0352965-0j 0.00381741-0j -2.65026e-06-0j -5.36234e-05-0j -5.41791e-05-0j 0.000788555-0j 0.000796727-0j 0.000604184-0j 0.000610445-0j -0.00405492-0j -0.00409694-0j -5.6524e-06-0j -3.86994e-06-0j -5.71098e-06-0j -3.91004e-06-0j -0.00910419-0j -0.00919854-0j -0.00113438-0j 8.693e-05-0j -0.00114613-0j 0.000107364-0j 8.78309e-05-0j 5.03486e-05-0j 0.000108477-0j 0.0484589-0j 5.08704e-05-0j -0.00033791-0j 0.048961-0j -0.000184346-0j -0.00170534-0j -0.000341412-0j -0.000186257-0j 8.97029e-06-0j -0.00172301-0j 0.0142898-0j 0.00862613-0j 9.06325e-06-0j 0.0144379-0j -2.29807e-05-0j 0.00871552-0j 0.00361639-0j -2.32188e-05-0j 0.00365387-0j 0.000238337-0j 0.000240807-0j -1.27237e-07-0j -1.28555e-07-0j 
5.13918e-06-0j -0.000155693-0j 6.42397e-07-0j 4.28265e-07-0j 0.00254411-0j -2.05143e-05-0j 3.78536e-08-0j -0.023166-0j 0.000259658-0j 0.0934211-0j 0.0553128-0j 4.79218e-06-0j -0.00014315-0j 5.78711e-07-0j 0.00229189-0j 5.28289e-07-0j -1.78937e-05-0j -1.19292e-05-0j -0.0202067-0j 5.39182e-08-0j 0.000301984-0j -1.0544e-06-0j 0.0768267-0j -0.00206234-0j 0.0317138-0j 0.00714148-0j 3.15979e-06-0j 3.19253e-06-0j -9.34197e-05-0j -9.43878e-05-0j 3.72385e-07-0j 3.76244e-07-0j 0.00147477-0j 0.00149005-0j 3.33071e-07-0j 2.28038e-07-0j 3.36523e-07-0j 2.30401e-07-0j -1.12815e-05-0j -1.13984e-05-0j -0.0127397-0j -1.02986e-05-0j -0.0128718-0j 3.29145e-08-0j -1.04053e-05-0j 3.10321e-08-0j 3.32556e-08-0j 0.000184346-0j 3.13536e-08-0j 0.000122898-0j 0.000186257-0j 0.046899-0j -1.05109e-06-0j 0.000124171-0j 0.047385-0j 1.37144e-09-0j -1.06198e-06-0j -0.00167861-0j 1.08627e-05-0j 1.38565e-09-0j -0.001696-0j 0.0182525-0j 1.09753e-05-0j 0.00478661-0j 0.0184417-0j 0.00483621-0j 0.00400796-0j 0.0040495-0j 0.000515932-0j 0.000521278-0j 
0.00377128-0j -0.14478-0j 0.000471411-0j 0.000314274-0j 6.80423e-05-0j 7.85684e-05-0j 2.77781e-05-0j 6.54737e-06-0j 6.94453e-06-0j 5.78711e-07-0j 2.15673e-08-0j 6.09289e-05-0j 9.49896e-06-0j -0.00178649-0j -0.000257857-0j 6.71678e-06-0j 1.18737e-06-0j 7.9158e-07-0j 9.89475e-08-0j 6.85529e-07-0j 1.39933e-07-0j 6.99665e-08-0j 8.24563e-09-0j 1.00988e-08-0j 6.51874e-10-0j 2.05321e-11-0j 0.00231875-0j -0.0022616-0j 0.000357791-0j -0.000348972-0j 0.000273267-0j -0.000266532-0j 3.94427e-05-0j -3.84705e-05-0j -0.0593445-0j 0.000167341-0j 0.0578818-0j -0.000163217-0j -0.0104907-0j 0.0102322-0j -0.000874227-0j 3.94427e-05-0j 0.000852679-0j 2.41536e-05-0j -3.84705e-05-0j 2.27723e-05-0j -2.35583e-05-0j 4.93034e-06-0j -2.2211e-05-0j 3.28689e-06-0j -4.80882e-06-0j 2.90523e-07-0j 4.0256e-06-0j -3.20588e-06-0j -2.83362e-07-0j 1.0064e-06-0j -3.92638e-06-0j 4.74422e-07-0j 2.90523e-07-0j -9.81596e-07-0j -4.62729e-07-0j 2.16543e-08-0j -2.83362e-07-0j 2.96514e-08-0j -2.11206e-08-0j -2.89205e-08-0j 1.56276e-09-0j -1.52425e-09-0j 4.26279e-11-0j -4.15772e-11-0j 
-0.000608588-0j 0.00453717-0j 0.0147148-0j -5.07157e-05-0j -0.202411-0j 0.000597824-0j -4.48268e-06-0j 0.000151569-0j 0.000106802-0j 1.78937e-05-0j 1.00203e-06-0j -9.83236e-06-0j 7.22773e-05-0j -1.18737e-06-0j 1.63331e-05-0j 0.00020966-0j -0.00174756-0j 6.02311e-06-0j -0.000443066-0j -1.10627e-07-0j 2.15207e-06-0j 5.32372e-07-0j 2.54955e-07-0j 2.33783e-07-0j 2.52212e-08-0j 1.11348e-09-0j -0.000374186-0j 0.000364964-0j 0.00272242-0j -0.00265531-0j -4.40983e-05-0j 4.30114e-05-0j 0.000606601-0j -0.00059165-0j -3.94427e-05-0j 0.0104739-0j 3.84705e-05-0j -0.0102157-0j 0.000328763-0j -0.00032066-0j 8.33528e-05-0j -0.0580513-0j -8.12984e-05-0j 0.000753939-0j 0.0566204-0j -3.67486e-06-0j -0.000735356-0j -0.0146667-0j 3.58428e-06-0j 5.05501e-05-0j 0.0143052-0j -0.00173756-0j 3.06307e-05-0j -4.93042e-05-0j 0.00169473-0j -1.62407e-07-0j -2.98757e-05-0j 1.09827e-05-0j 4.46804e-06-0j 1.58404e-07-0j -1.0712e-05-0j 8.37812e-07-0j -4.35791e-06-0j 9.1682e-07-0j -8.17162e-07-0j -8.94223e-07-0j 7.26071e-08-0j -7.08175e-08-0j 2.64299e-09-0j -2.57784e-09-0j 
-0.00049691-0j -7.85684e-05-0j 0.00593839-0j 0.0119974-0j -8.96535e-06-0j -0.142881-0j 0.00105709-0j 0.000124541-0j 0.000175877-0j 7.29007e-06-0j -2.84174e-09-0j -8.02809e-06-0j -1.2516e-06-0j 9.26876e-05-0j -1.39933e-07-0j 0.000127764-0j 1.49574e-05-0j 3.02185e-05-0j -1.30375e-08-0j -0.00250639-0j -0.000254476-0j 2.66256e-06-0j 1.56845e-07-0j 2.55761e-07-0j 8.21171e-09-0j -2.70534e-12-0j -0.000305522-0j 0.000297991-0j -4.71431e-05-0j 4.59811e-05-0j 0.00344237-0j -0.00335752-0j -5.19703e-06-0j 5.06894e-06-0j 0.00464921-0j -2.20491e-05-0j -0.00453461-0j 2.15057e-05-0j 0.000544286-0j -0.00053087-0j -4.74422e-07-0j 0.000750262-0j 4.62729e-07-0j 0.000611713-0j -0.00073177-0j -0.0831123-0j -0.000596635-0j 6.21079e-05-0j 0.0810637-0j 0.000125477-0j -6.0577e-05-0j -3.82798e-08-0j -0.0147182-0j -0.000122384-0j 3.73363e-08-0j 5.11087e-05-0j 0.0143554-0j -0.000862765-0j 1.10558e-05-0j -4.98489e-05-0j 0.000841499-0j 4.11899e-07-0j -1.07833e-05-0j 7.50948e-07-0j -4.01747e-07-0j -7.32439e-07-0j 1.96863e-08-0j -1.9201e-08-0j -5.61672e-12-0j 5.47828e-12-0j 
7.17228e-05-0j -0.00108076-0j 8.96535e-06-0j -0.00173167-0j 0.00575257-0j 0.0205578-0j 5.28289e-07-0j -0.244891-0j 0.000587119-0j 0.000301984-0j 2.8293e-05-0j 1.15875e-06-0j -1.72166e-05-0j 1.39933e-07-0j 8.97871e-05-0j -1.84411e-05-0j -2.15207e-06-0j 0.000415676-0j 2.56362e-05-0j -1.88214e-06-0j -0.00170789-0j -1.26812e-07-0j -0.000621159-0j 2.61648e-06-0j 5.68917e-07-0j 3.77615e-08-0j 4.40983e-05-0j -4.30114e-05-0j -0.000648484-0j 0.000632501-0j 5.19703e-06-0j -5.06894e-06-0j 0.00333465-0j -0.00325245-0j -0.000671055-0j 3.18252e-06-0j 0.000654515-0j -3.10408e-06-0j -7.83119e-05-0j 7.63817e-05-0j 0.000932877-0j 0.0103204-0j -0.000909883-0j 4.59357e-07-0j -0.010066-0j -0.000125477-0j -4.48035e-07-0j 0.000416831-0j 0.000122384-0j -0.0805114-0j -0.000406557-0j 0.000151601-0j 0.00105332-0j 0.078527-0j -0.000147864-0j 1.91399e-08-0j -0.00102736-0j -0.0177448-0j 2.4562e-05-0j -1.86681e-08-0j 0.0173074-0j -0.00272827-0j -2.39566e-05-0j 1.54727e-05-0j 0.00266102-0j -1.50913e-05-0j 2.05011e-06-0j -1.99958e-06-0j 1.04636e-07-0j -1.02057e-07-0j 
6.21138e-05-0j -0.000463073-0j -0.00149236-0j 5.17615e-06-0j -0.000106802-0j 0.0117277-0j 0.0253537-0j -1.54695e-05-0j -0.199256-0j 0.000351028-0j -1.02269e-07-0j 1.00351e-06-0j -7.37677e-06-0j -2.32931e-05-0j -1.66699e-06-0j 1.10627e-07-0j 0.000177236-0j -6.14731e-07-0j -2.33783e-07-0j 0.000206392-0j 4.2218e-05-0j -0.00301106-0j -2.60212e-08-0j -0.00043616-0j 4.94774e-07-0j -1.13644e-10-0j 3.81902e-05-0j -3.72489e-05-0j -0.000277855-0j 0.000271007-0j -0.000865092-0j 0.00084377-0j -6.1911e-05-0j 6.0385e-05-0j 4.0256e-06-0j 2.75614e-06-0j -3.92638e-06-0j -2.68821e-06-0j 0.00644947-0j -0.0062905-0j -8.50716e-06-0j -3.06307e-05-0j 8.29748e-06-0j 0.00727192-0j 2.98757e-05-0j -7.2091e-05-0j -0.00709269-0j 0.00148749-0j 7.03141e-05-0j -5.15925e-06-0j -0.00145083-0j -9.1682e-07-0j -0.0571465-0j 5.03209e-06-0j 8.94223e-07-0j 0.00184352-0j 0.0557379-0j 0.000215452-0j -0.025271-0j -0.00179808-0j -0.000210141-0j -8.55088e-08-0j 0.0246481-0j -0.00171048-0j 8.34012e-08-0j 0.00166832-0j 1.42436e-06-0j -1.38925e-06-0j -2.69749e-10-0j 2.631e-10-0j 
-7.32018e-06-0j 0.000166036-0j 8.74808e-05-0j -6.10015e-07-0j -0.00179925-0j -0.00209157-0j 1.55724e-05-0j 0.00798782-0j 0.0352965-0j -0.27884-0j 0.000552124-0j -1.18265e-07-0j 2.64496e-06-0j 1.36542e-06-0j -2.8083e-05-0j -1.30375e-08-0j -3.16089e-05-0j 2.20413e-07-0j 0.000120716-0j 2.55761e-07-0j 0.000353764-0j -5.62668e-06-0j 4.15563e-05-0j -0.00236814-0j -0.000793558-0j 9.22732e-07-0j -4.50076e-06-0j 4.38983e-06-0j 9.96257e-05-0j -9.71702e-05-0j 5.07108e-05-0j -4.94609e-05-0j -0.00104299-0j 0.00101728-0j -4.74422e-07-0j -3.24815e-07-0j 4.62729e-07-0j 3.16809e-07-0j -0.00115022-0j 0.00112187-0j 0.00439276-0j 1.09827e-05-0j -0.00428449-0j 9.01138e-06-0j -1.0712e-05-0j 4.2259e-06-0j -8.78927e-06-0j 0.0124644-0j -4.12174e-06-0j -8.69156e-05-0j -0.0121571-0j 0.00146418-0j -0.000215452-0j 8.47734e-05-0j -0.00142809-0j 7.52902e-07-0j 0.000210141-0j -0.055336-0j 0.00221877-0j -7.34344e-07-0j 0.053972-0j 0.000275726-0j -0.00216409-0j -0.0287233-0j -0.00026893-0j 0.0280153-0j -0.00382486-0j 0.00373059-0j 3.07159e-06-0j -2.99588e-06-0j 
