0.00478819-0.00936796j -0.00829859-0.00325358j 0.00871443+0.00127094j -0.00232979+0.00825718j -0.00621288+0.000954368j 0.00589591+0.00292359j -0.00134009+0.0112768j 0.00839436+0.00287888j -0.00477838-0.00483798j -0.00428107-0.00065707j 0.00359107+0.0134611j -0.0015264+0.00404725j 0.00397346-0.000385475j 0.000856082+0.00687512j -0.00949655-0.0042271j -0.00296257+0.000129053j 0.00145539-0.00135836j 0.00136494-0.00116288j 0.000832334+0.00522212j -0.00170925-0.00492024j -0.003001-0.00824182j 0.00295052-0.000221983j -0.00754727-0.00826589j -0.00540761+0.000426502j -0.00417004+0.00402737j -0.0075215-0.00271503j -0.0046061-0.00456687j -0.000640864+0.00313661j 0.00409736-0.00131887j -0.000787509-0.000911624j -0.00345114-0.0043538j 0.00133531-0.00147191j -0.00153161+0.000486785j 0.00115236-0.000129628j -0.0021276-0.000118394j 0.00290683+0.00434606j -0.00156881-0.000433944j 0.000619871+0.00070835j -0.00532277-0.000757184j 0.00150306-0.00148123j -0.00190547-0.00141455j 0.00273389-0.00269363j -0.00408644-0.0030597j -0.00196581+0.00401336j -0.00384765+0.00110977j 0.00341525-0.00260661j 0.00125549+0.00135521j -5.16024e-05+0.00109559j -0.000709705+0.00292468j 0.00736731+0.00209317j -0.000515552+0.000213404j 0.00170712+0.00420174j -0.00168758-0.00167569j 0.00241291+0.00217939j -0.00687951-0.00530161j -0.00277686+0.00743943j 0.0039674-0.00119336j -0.00189369-0.00755016j -0.00833423-0.00141934j -0.000241386+0.00677567j -0.0070667+0.0141992j 0.000954232+0.00287161j 0.00534936+0.0017772j -0.00081781+0.0120379j 0.00643608-0.00381146j -0.0046288+0.00406102j 0.00184505-0.0162404j 0.000913553+0.00531543j -0.000865418-0.00518854j -0.0157019-0.00653482j 0.0128122+0.0143379j 0.0045297-0.00745185j -0.0130292+0.0216062j 0.00375898+0.00199249j 0.0069782+0.00747121j 0.00277716+0.00370352j -0.00112918-0.0245563j -0.0113552-0.0180892j 0.0533585+0.00838655j -0.000327996-0.0654774j 0.00792538-0.0219982j 0.0244633+0.0257255j 0.0102172-0.0125008j 0.00287671-0.0156564j -0.0108055-0.00337809j 0.0176928+0.00104557j -0.00499158+0.0125489j -0.0283704-0.0134032j 0.0438009+0.000369696j 0.00807993+0.020841j 0.0825412-0.0149216j 0.0239076+0.0783999j 
-0.00624506-0.00436056j -0.00388786+0.0118441j 0.00246153-0.00952688j 0.00784812+0.00229695j -0.00169398+0.00276726j 0.00432997-0.00971546j 0.010576+0.00069103j 0.00428708-0.00328024j -0.00109281+0.00444284j 0.00129831+0.0076633j 0.0105354-0.00351548j 0.00349305+0.0052173j 0.00028136-0.00545099j 0.00699039-0.00377673j -0.00372039+0.00534066j 0.000476694+0.00350122j 0.00032858+0.000159795j -0.001492-0.00442633j 0.00365357-0.000789271j -0.00481281+0.0028554j -0.0066423+0.00413925j -0.00146956-0.00200054j -0.00738356+0.00586939j 0.00192344+0.00948165j 0.00368687+0.00576601j -0.00192901+0.0110289j -0.00431165+0.00487158j 0.00231268+0.000869601j -0.00209998-0.00279448j -0.0021003-0.000351496j -0.00328699+0.00390168j -0.00315495-0.000486365j -0.00191816+0.00406031j 0.000863965-0.00270437j -0.000873579+0.00213311j 0.00282155-0.00314365j -0.00156478+0.00624346j -0.000564564-0.000911012j -0.00197854+0.00466494j -0.00255756-0.00197657j -0.00305951+0.00313682j -0.00321401-0.00206469j -0.00247086+0.00507687j 0.00328647+0.00562596j -0.00174232+0.00562976j 0.0016593-0.00401002j 0.00281725+0.000216579j -0.000969691+0.00105804j 0.00254325+0.00408828j -0.000195546-0.00736436j 0.00144058+0.000816131j 0.00277565-0.000526702j -0.00085126+0.000930611j 0.00131049-0.00390944j -0.00575798+0.00645733j 0.00400889+0.00729025j -0.000218399-0.00502165j -0.00517954+0.00305072j 0.00263932+0.00497062j 0.0047493-0.000469541j 0.0111655+0.00457533j 0.00124638-0.00337654j 0.0022083-0.00125261j 0.0108639+0.00637379j -0.00598868-0.00874678j 0.00281034+0.00244821j -0.0127454-0.00344698j 0.00438521+0.00516672j -0.00589202-0.000909144j -0.00137612+0.0211336j 0.0120336-0.0124329j -0.0045829-0.00407047j 0.0163048+0.0192082j 0.000724882+0.00258885j 0.00962253-0.00787261j 0.0055315+0.000236648j -0.0197333-0.000284829j -0.0134022+0.0165929j -0.00431078-0.0656128j -0.0532668-0.0184987j -0.0116331-0.0162564j 0.0128263-0.0369668j -0.00657014-0.0202652j -0.0139768+0.00319288j -0.00285671+0.0027117j 0.00834733+0.0148891j -0.0388309-0.0103602j 0.0144964-0.0119919j 0.00108039+0.015209j -0.0406814+0.00468666j -0.0232886-0.0794291j 0.0805144-0.015018j 
0.0029851+0.00163539j 0.00341878-0.00618829j -0.00327235-0.00210434j 0.000877942-0.00443464j 0.000170994+0.00863581j -0.00415865+0.00738838j -0.00466825-0.00862581j -0.0101061-0.0144961j 0.00539322-0.0115677j -0.00378154-0.000139958j -0.00580748-0.00538786j -0.00579707-0.00421783j 0.00137039+0.00401585j -0.00277072+0.00582526j 0.0158811+0.0139491j -0.00508882-0.00328975j 0.000194924-0.00328595j -0.00147191+0.0073969j -0.00624913-0.00639872j 0.00531844+0.00537186j 0.00688495-0.000308162j -8.31084e-05+0.00413421j 0.0113225-0.00151312j 0.000972121-0.00189889j 0.00168089-0.000166323j -0.00248257-0.00663659j 0.0110253+0.0046713j -0.00121337+0.00165194j 0.000202333+0.00351972j 0.00792558+0.000347138j 0.00501707-0.000875672j 8.85755e-06+0.0051183j 0.000482042-0.00416349j -0.00813786+0.00531682j 0.00120918-0.00380744j -0.00716172+0.00105424j -0.00400189-0.00814732j 0.000986396+0.0104939j 0.00367017+0.00480704j -0.00301128+0.00173923j -0.00342677-0.00701336j -0.00334516-0.00387641j 0.00855622-0.00400672j 0.00116588-0.00637019j 0.0092236-0.00838408j -0.00843653+0.00323636j -0.000356027-0.000574619j 0.0029815-0.00285819j -0.00421693-0.00835902j -0.00609872-0.000859612j -0.00708786-0.00156399j -0.00331867-0.00659826j 0.00718891+0.00243203j 0.00146811+0.00703467j 0.0140157+0.0127718j 0.0106718-0.0058094j -0.00622753-0.00322479j 0.0011818+0.000269062j 0.0145826+0.00787058j 0.0189911+0.00653984j 0.00883292-0.000962668j 0.00762858+0.00699347j -0.00936236-0.0101512j -0.0139612-0.0317262j -0.012637-0.000125013j 0.0330869+0.00779868j 0.0135036-0.0066937j -0.01816-0.0139877j 0.014047-0.00645238j 0.0119275-0.0155352j -0.0235126-0.0139726j -0.0336485-0.00477073j 0.0055168-0.0275071j -0.0281192-0.0169727j -0.0182176-0.0375311j -0.0142752-0.0038662j 0.0128367-0.0069986j -0.0030598+0.000402165j -0.0183767-0.00517142j 0.0351628-0.00962319j 0.00219901-0.00351934j 0.0133752+0.00798913j 0.0181075+0.000276885j 0.0164222+0.0145035j 0.0212001-0.00287209j 0.024402+0.0120122j -0.00295248+0.0236467j 0.0246947+0.0114658j 0.0645764-0.0258862j -0.0648519-0.0716652j -0.0157754-0.00462422j -0.0167238-0.00211819j 
-0.00416282+0.00326348j 0.00514517+0.00259699j -0.000606096+0.000871057j 0.00324284+0.00928155j 0.00108981-0.00637591j -0.00848119-0.00223367j 0.0112011+0.00356421j 0.00820508+0.00177306j 0.00751546+0.0105753j -0.000790436-0.00468098j 0.00365057-0.0039654j 0.00703473+0.00193433j -0.00463147+0.00189813j 0.00366407-0.00636965j -0.00661997+0.00288369j 0.0061519+0.000922155j -0.00122876+0.00591609j 0.000883106-0.00317853j 0.00558472-0.00283393j -0.00415338+0.00997264j 0.000578669+0.0042334j -0.00787114-0.00114575j 0.000362568+0.00592355j 0.00209045+0.00713496j 0.00174996+0.00035431j 0.00291412+0.00148611j -0.00512587+0.00614341j 0.00381591+0.000295919j -0.0101206+0.0025026j 0.00059322-0.000414284j -0.00080737+0.00566456j -0.00154833-8.36003e-05j -0.00488782-0.0033509j -0.00146501-0.0055317j 0.00192252-0.00121852j -0.000322792-0.0121778j 4.68427e-05-0.00387876j -0.0110514-0.00894202j -0.00194938-0.00528879j -0.00437734-0.00623315j 0.00532826-0.00210703j 0.000281449-0.00436679j 0.00309427+0.00436888j 0.00418081+0.00707211j 0.0021148+0.0124816j -0.00086743-0.00229614j 0.00251333+0.00656893j -0.00201326-9.00002e-05j 0.00492224+6.72992e-05j -0.00449878-0.00739885j 0.00441181-0.00627861j -0.00341907+0.000549306j -0.00425501+0.00310482j -0.0102509-0.00540979j -0.0070272-2.54195e-05j 0.00330069+0.0106764j 0.00134397+0.00232172j 0.005776+0.00735506j 0.00695206+0.0177729j -0.0156266+0.00284541j 0.00930991+0.00153035j -0.00264337+0.00417674j -0.0021606-0.00461822j 0.0285096-3.2924e-05j -0.000156971-0.0191574j -0.00348932+0.0295547j 0.00593852+0.0103647j 0.00773539-0.004159j -0.00242442+0.0146366j 0.0283995+0.031081j 0.00439464-0.0127876j 0.001309-0.0385183j 0.0223693+0.0146368j 0.0094455-0.0110907j 0.0357187+0.0120271j -0.00136164-0.0232495j -0.00430827+0.000852954j 0.00148168-0.0161054j -0.0445404+0.0071563j 0.0139299-0.00564223j 0.0258307+0.00235353j -0.044846+0.00462294j -0.00601207-0.00956225j 0.0264515-0.00419785j 0.00458268-0.0164375j 0.0345966-0.0235317j 0.0145188+0.00692138j 0.0412135+0.0085336j 0.0377209+0.0614115j 0.0379279-0.0178246j -0.0235075-0.0126722j 0.00682178+0.0114303j 
0.00327209-0.00188519j 0.000251169+0.00648406j 0.00140535-0.00508429j -0.00475189+0.00286949j -0.00136666+0.00276083j -0.00090346-0.00469876j -0.0063189+0.000617831j 0.00346373-0.00633041j -0.00720268+0.00519708j -0.00134503+0.00137739j -0.000210087-0.00316631j -0.00217131+0.00268277j -0.0049023+0.00277154j -0.00361714+0.000562936j -0.00318348+0.00595096j 0.00149877-0.00205627j -0.00160398+0.000912364j 0.00140294+0.00129244j -0.00304509-0.00154723j 0.00205407+0.00222412j 0.000169783+0.00317753j 0.0006087+0.000531025j 0.00129911-0.00164466j -0.00426053+0.00331796j -0.00370884+0.00336565j -0.00236201+0.000580432j -0.00413208+0.00590646j 0.00113218+0.000295423j 0.00846918-0.00559591j -0.00124456+0.00222357j -0.000898833+0.00108846j 0.00482141+0.000327195j 0.000538391-0.00355803j -2.139e-05+0.00193219j -0.00107301-0.00345938j -0.000328763-0.00503568j -0.000742563+0.00059805j -0.000640036-0.00100115j -0.00171176-0.00112481j 0.00137331-0.00191779j 0.00451727-0.00300188j 0.0079567-0.00455524j 0.000353169+0.000618721j -0.00149723+0.0026559j -0.00661185-0.00458854j -0.00190849-0.00201459j -0.00484173-0.00217079j -6.38544e-05-0.00188794j -0.00085869+0.00172908j 0.0056518-0.00246372j 0.0022708-0.00571834j 0.000963174+0.00178334j 4.75551e-05-0.00174955j -0.000161207-0.00337382j -0.0018339-0.0013958j -0.00607425+0.00832984j 0.010044-0.00219435j 0.00304777-0.000796118j -0.00389428+0.00274752j -0.00212049-0.000694146j -0.00975171+0.00855363j 0.00352206+0.00168561j -0.00317647-0.00425604j -0.00571826+0.0022413j 0.0148553-0.0111761j -0.000762521+0.00637374j 0.0142177-0.00608456j 0.00568739-0.00567305j 0.00819676+0.00322405j -0.0110015+0.0125445j 0.00816629-0.00715689j 0.0161124-0.0215434j -0.0338382+0.0197425j 0.00659459-0.000464679j 0.0094622+0.00457601j -0.00525569-0.0109339j 0.0133774-0.00412497j -0.0145011-7.58923e-05j 0.0855104-0.024485j 0.0708433-0.0210213j 0.0549749-0.0151195j 0.0239582-0.011778j 0.0724944-0.0209636j 0.0128783-0.0117507j -0.0152119-0.00224311j -0.0314655+0.000368758j 0.00624993+0.0109372j 0.00898464-0.0174056j -0.0431999+0.0171907j 0.00754159-0.0128964j 0.0237839-0.034088j -0.0242719-0.0192863j 
-0.000204839-0.00840929j 0.00209494-0.00204796j -0.00447912+0.00482396j -0.00144963+0.00179345j 0.00332915+4.93498e-06j -0.00017227+2.01872e-05j -0.0077818+0.00842764j -0.00933425+0.00738597j -0.0035489-0.00135996j -0.0018891+0.00254651j -0.0131317+0.0132053j -0.00478773+0.00429529j -0.00185404+0.000845909j 0.00171058+0.00230371j 0.00789763-0.00499793j -0.000129518+0.001182j -0.00251611+0.00170963j 0.00606071-0.00220709j -0.00671239+0.00929267j 0.00117873-0.00286954j 0.00308997-0.00222033j 0.00245558-0.00225558j 0.0059624-0.00553897j 0.00550459-0.00907056j -0.0015328+0.000778901j 0.00570579-0.00681173j 0.00175968-0.00394593j -0.0002153-0.000536474j 0.000573193-0.000120961j 0.00133984-0.00533488j 0.00242653-0.00234616j 0.00447-0.00119342j -0.00176319+0.000594444j -0.00293661+0.00616318j 0.00163202-0.000611832j 0.0011799+0.00475479j 0.00253892-0.00164581j 0.00444162+7.4212e-05j 0.00505032-0.00046914j 0.000506765+0.00169256j 0.00116719+0.0022048j 0.0022625+0.00172551j 0.00164871-0.00199454j -0.00365281-0.00229068j -0.00312399-0.00595812j 0.00633228+0.00142378j 0.00165302+0.000986034j 0.00025861+0.00153551j -0.00620552+0.00401312j -0.00635198+0.00409775j 0.00277424+0.00261852j -0.00567686+0.0010462j 0.00444424-0.00456475j 0.000379164-0.000592851j 0.0153903-0.0102942j -0.00392777-0.0100931j -0.00239761+0.00655435j 0.00704194-0.00259581j 0.00538443-0.00472544j -0.00239575-0.00472542j -0.011424+0.00518933j -0.00310399-0.00528119j -0.00350283+0.00824241j -0.0155299+0.00877745j 0.00570758+0.00635383j 0.00356812-0.017176j 0.0040203-0.0126215j -0.00605672+0.0103577j -0.00536026-0.00369429j 0.00534058-0.011124j -0.0231891+0.0223458j 0.00965224+0.0229247j -0.0231732+0.00607552j -0.00736764+0.0176845j -0.0304842+0.0179906j -0.00386156+0.0151893j 0.0318679-0.00938977j 0.0425644-0.00383946j -0.0411953+0.0175448j 0.0704673-0.0204134j 0.00153624-0.00403068j -0.0834611+0.0256541j 0.00358311+0.0100684j 0.0488655-0.0180277j 0.00538714+0.00453255j -0.0246067-0.0031292j -0.0433661+0.00405142j -0.00810456+0.00781202j -0.0211492-0.00483612j -0.0513401+0.028071j -0.016336-0.0181987j -0.027111+0.030331j 
1.28795e-05+0.00129525j 0.00428493-0.00390388j -0.000243566+0.00349791j 0.000631249+0.00659474j 0.00207463-0.00584542j -0.01223+0.000843387j 0.00475112-0.00637699j 0.00532971+0.00402069j 0.00210953-0.00037898j -0.00365172-0.00414098j -0.0036998-0.00706607j 0.00954263+0.00022809j -0.00431605-0.00290305j -0.000963854-0.00872747j -0.00343759-0.00933097j 0.00606485-0.00326582j -0.00145114+0.00600879j 0.00882693-0.00638946j 0.00198623-0.00542399j 0.00658447+0.00495819j 0.00615819-0.00328997j -0.00198831+0.00463639j -0.00192255-0.00163298j 0.00451393+0.00923403j 0.00156755-0.00140114j 0.00611246+0.007816j -0.0040265-0.00220654j 0.000587078-0.0034082j -0.00178847+0.00785457j -0.00149603-0.000225731j 0.00263582-0.00104201j 0.0109295-0.00243119j -0.0048907+0.00731092j 0.001688-0.00650899j -0.00387401+1.17925e-05j -0.00729131-0.00722014j 0.00517739+0.00368809j -0.0098381-0.00644921j 0.000587883-0.00973227j -0.00231794+0.000868745j 0.00789983+0.00287213j 0.00559157+0.00184483j 0.0086482-0.000302689j 0.00883985+0.00558589j 0.00578141+0.00453415j -0.00189196-0.00408572j 0.0110177-0.00732037j 0.004246-0.00695217j 0.00773185+0.00470886j -0.00387004+0.0103263j 0.00559612-0.00622297j 0.00531673+0.013122j -0.00147441-0.00159421j -0.0166625+0.00148029j -0.00514641-0.0146477j 0.00420984+0.000457278j 0.0139718+0.0107861j 0.0140104-0.00266277j 0.00794542-0.0131034j -0.0162808-0.00273111j 0.00369325-0.0186405j 0.000753961+0.00158735j -0.0114778+0.00589243j 0.0230436-0.000925552j 0.00944474+0.0020397j 0.00981317-0.0109144j 0.0174057+0.005333j 0.0205854+0.0288168j 0.0112037+0.0483994j 0.0211759-0.0154785j 0.00162324-0.00286926j 0.00362203+0.0173641j 0.00994025-0.0283595j 0.0348611+0.00246683j 0.0119291-0.0163238j -0.0439587+0.00585979j -0.0163882-0.015449j 0.00125181-0.00527993j -0.0116343+0.000696445j -0.00534064+0.0147362j -0.0190115+0.00176554j -0.0174156-6.11798e-05j 0.00555761+0.00162129j 0.00153524+0.00441968j 0.0405347-0.00691186j -0.0401197+0.00328361j 0.0362271-0.00324057j -0.0351814-0.0708994j 0.00242798-0.00972308j 0.0202849+0.00596404j -0.015281+0.00859141j -0.00401118-0.000354923j 
0.00359641-0.000393725j 0.00124667-0.00349376j -0.00235866+0.00364982j -0.0062607-0.00478439j 0.00559384-0.00146487j -0.00192095-0.0066442j -0.0075615-0.00451228j -0.00785145+0.00109836j -0.00806642-0.00362621j -0.00166935+0.00096727j -0.0115775-0.00455631j 0.00139503-0.00467001j -0.000228659-0.0030943j -0.00549355+0.000202257j 0.0147476+0.00216087j -0.000144943-0.00487667j -0.00123676-0.00955796j 0.00720905+0.00219359j 0.000200411+0.000337362j 0.0109496-0.00431657j 0.00585298+0.00281104j 0.00751856+0.00549134j 0.00862443-0.00434306j -0.000135118+0.000741991j 0.00306198+0.00139054j 0.00183722-0.00474344j 0.0105659+0.00485608j -0.00253019+0.00113933j 0.00602978+0.000188365j 0.00175815+0.00359053j 0.00727427+0.00335308j 0.0127775+0.000729266j 0.00357653+0.00191631j 0.00403213-3.84388e-05j -0.00193957-0.00301337j -0.00608103-0.00224933j 0.00359921+0.00310698j 0.00996761+0.000343205j 0.0168733-0.00221155j 0.00294849+0.00228369j 0.00168481-0.00248281j 0.00317451-0.00193533j 0.0081445+0.00109253j -0.000970547-0.000455748j -0.00433989-0.0208887j -0.00550593-0.0107357j -0.00795971-0.0131305j 9.75061e-05-0.00505501j -0.00609507+0.00852841j -0.0133574+0.00283779j 0.00712887-0.0083732j 0.00641858+0.0018048j 0.0134594-0.00171849j 0.00122287-0.00731421j 0.0234441-0.011021j 0.00782942+0.00775887j 0.00677984+0.0124528j -0.00944578-0.00688058j 0.0135832-0.00903306j 0.0392735+0.0182837j 0.0342224+0.0172696j 0.0137448+0.00737368j -0.0249932+0.00238524j -0.000697193-0.00402687j 0.0102707-0.00129363j 0.0447735+0.0131069j 0.00748454-0.0222164j -0.0167974+0.0210738j -0.0175422+0.0119787j -0.00467426+0.00271844j -0.0148899+0.0138658j 0.0115056+0.00751453j -0.0232853+0.0174256j -0.0184913+0.00519344j -0.0388636+0.00900435j -0.0248402+0.0006948j -0.00118834-0.00849097j -0.0259539-0.00424526j -0.0159784+0.006394j -0.0075815+0.000779743j -0.000245214-0.0165478j -0.0281067-0.0180679j -0.0198659+0.0169158j -0.0135084-0.0187194j -0.0533142-0.0152555j -0.00728431+0.0357874j 0.0572237+0.035284j 0.0369731-0.00561367j -0.00126495+0.0147897j -0.0293066+0.00542287j -0.014963-0.00254559j -0.0124395+0.00824987j 
0.00442831-0.0069986j -0.00140627+0.00102929j 0.00299351-0.00156172j -0.00279957+0.00460927j -0.00687028-0.0050932j -0.00470385+0.00183569j -0.0120572-0.000508071j 0.00130901+8.01114e-05j -0.00645512+0.000134579j -0.00248853+0.00473622j -0.00995722+0.00997071j -0.00829776+0.00300142j -0.000558608-2.93621e-05j -0.00814128+0.00554194j -0.00056438-0.000267754j -0.00827716+0.00512573j -0.00834106+0.00366467j 0.00343681-0.0071722j -0.0116174-0.000185932j 0.0010264-0.00435883j 0.011949-0.010047j 0.00507198-0.00310526j 0.000419597-0.00258072j -0.00389352+0.00313915j -0.00491137-0.00162516j -0.00256711-0.00609919j 0.00795732-0.000269403j -0.00782431+0.00825816j 0.00873941-0.00974996j -0.00224379-0.0026643j 0.00317835+0.000147783j -0.00434463-0.0162166j 0.00672668+0.00198892j 0.00218475-0.00236014j -0.00535768+0.00540924j -0.0139937+0.00378789j -0.000390683-0.0041249j 0.00544211-0.00471746j -0.00812191-0.0088201j 0.00198216+0.0006579j 0.00141909-0.00830564j -0.000364762-0.0103367j 0.00648769-0.0102991j -0.00209341+0.00165928j -0.0152735-0.00700759j -0.00587152+0.00774389j 0.00103501-0.0054537j -0.0037922-0.0151113j -0.00161892+0.00926635j 0.0165598+0.00811911j -0.00625067-0.0113909j 0.0101956-0.00690107j -0.00142314-0.0104088j -0.000531738+0.00622861j 0.00148059-0.0232662j 0.00279472+0.00300085j 0.0191979-0.00397372j 0.00343185-0.00631739j -0.00757472-0.014789j 0.0148259-0.0110552j 0.0052607-0.0142197j 0.0102752-0.00152277j -0.0058185+0.0219101j -0.0426247-0.00940471j 0.00787589-0.036353j 0.00701817-0.0348299j 0.0071025-0.00206397j -0.00352205+0.00341229j 0.0265112+0.00768267j -0.0110306+0.00481015j -0.0124863-8.18722e-05j -0.0234748-0.000172826j -0.00864208+0.0228175j 0.0257308+0.019401j -0.0371064+0.000448937j 0.00445595+0.0019859j -0.00480414-0.00498914j 0.0254523-0.010428j -0.0203296+0.0129913j 0.0126151-0.0128906j 0.0452909-0.00389454j 0.0188021-0.00953437j -0.0162298-0.0011295j 0.0413699-0.0108341j 0.00525771+0.00431513j 0.0593017+0.0298655j 0.0318727-0.0498952j -0.0184236-0.00676721j 0.00962899+0.0127548j -0.0134969+0.0110139j 0.00779247-0.00642317j -0.019877+0.00859961j 
-0.00311273-0.00654314j 0.00680154+0.00121104j -0.00309555+0.00616813j 0.00737376+0.00589079j -0.000727665+0.000608746j -0.00690501+0.00194789j 0.00271866+0.0083825j -0.000951605+0.0096972j 0.00214341+0.0044587j -0.00139449-0.00210714j 0.000880559+0.00766411j 0.00209868+0.0115399j -0.00945587+0.00566593j 0.00577796+0.000671434j 0.00453831-0.0151155j 0.000787099-0.00344207j 0.00341637+0.0122649j 0.00526424-0.00509591j -0.00906418+0.0102658j 2.461e-05+0.00116237j 0.00163557-0.00815381j -0.00416975-0.00225211j -0.00656755-0.00889296j 0.00562948-0.000561384j 0.00775954+0.00203621j 0.00102086-0.00173038j -0.0061557-0.00440671j 0.0030366-0.00408204j -0.00454435+0.000892183j 0.00427001-0.00156574j -0.00215864-0.00815171j 0.00758737+0.00282699j -0.0219996+0.00572881j -0.00177739+0.00303917j -0.00778689+0.000562986j -0.00366799+0.00574077j -0.00955205-0.00094918j -0.00882376+0.000625723j -0.0100019+0.000585334j -0.0104029+0.0014167j -0.00846615+0.0059637j -0.00226862+0.00192281j 0.00304595-0.0033619j 0.0103515-0.000195059j 0.00206157+0.00929398j 0.00659236-0.00140806j 0.0141439+0.00625938j -0.000680264+0.0070903j -0.000470857-0.000208745j -0.00875217+0.00284606j -0.000263108+0.00161607j -0.00615436+0.00793911j 0.00204159-0.00662993j -0.00128901+0.00417159j 0.00648716-0.00354197j 0.0111798-0.00611343j -0.00601102-0.00586555j 0.0136535-0.00175121j 0.0192505-0.00468315j -0.00706877-0.0132212j -0.0137392-0.00407597j 0.00424054-0.00846032j -0.00591338+0.00543976j -0.00528985+0.0290876j -0.0290458+0.0114727j 0.0313147-0.0299283j 0.0108076+0.00902814j -0.0115289+0.00734579j 0.00191586-0.00468737j 0.0321715-0.0216199j -0.0304496+0.0249296j -0.0762024+0.0229343j -0.009214-0.00180924j -0.0273455+0.0145763j -0.0210083+0.0138686j -0.0507587+0.0330818j 0.022489-0.0194218j -0.0215721+0.00113074j -0.0200635+0.0188196j -0.0155256-0.021486j 0.00916496-0.00600435j 0.0169449+0.030171j -0.00938019+0.00531474j 0.00230267-0.002859j -0.02445-0.0250294j 0.00322841-0.0312112j -0.000151998-0.00730963j 0.0320269-0.00751632j 0.0155425+0.00475889j -0.00917686+0.0325968j -0.0239742+0.00657079j 0.00895638+0.019718j 
0.003705+0.00241276j 0.00088512+0.00870956j -0.0026662-0.00428377j -0.0032217+0.00883613j 0.00124413-0.00151234j 0.00106234-0.00780109j -0.00483539+0.0075792j -0.00449883+0.00210444j -0.00309227+0.0124946j 0.00679871-0.00702551j 0.000491553-0.00892213j -0.00227559+0.0084956j -0.00195506-0.00120536j -0.00310306-0.00152312j 0.00453083-0.00551549j 0.00596058-0.0030862j -0.0074261+0.00926546j 0.00566192-0.00497032j -0.0053388+0.00164174j 0.000495518+0.001883j -0.0039871+0.00487454j -0.00128278+0.000319835j -0.000747361+0.00166568j -0.00176935+0.0102695j -0.00163691+0.00835563j 0.0063236+0.00949207j -0.00498896+0.00278816j 0.000142057-0.00130039j 0.00449987-0.0119678j -0.00183565+0.00779657j -0.00142749-0.00105996j -0.00387009+0.0106639j 0.00197695-0.00794895j 0.00982796-0.00903915j -0.00140853-0.0028077j 0.000932698-0.00384877j -0.00456992+0.00906583j 0.00263532-0.0048929j 0.00112726+0.00208945j 0.00341134-0.00682132j -0.00388573+0.00719059j 0.00101035+0.000247226j -0.00574751+0.0106859j -0.00752582+0.00952993j -0.0115506-0.00493354j 0.0152868-0.00475983j 0.00517209-0.00289305j -0.00496723-0.00155896j -0.00566477+0.00732744j -0.00183172-0.00992893j 0.00707576-0.00474559j -0.00508859+0.0065558j 0.00331207-0.00216003j 0.00201312-0.00801073j 0.000593019+0.00880251j -0.0145028+0.0143155j 0.00522109-0.00950431j -0.000189469+0.0112705j 0.0083044+0.0137292j -0.00571622-0.0121003j -0.0105943-0.00361949j 0.00718544-0.012753j -0.0106961+0.00225358j -0.0193482+0.0468058j 0.00534531-0.000588476j -0.0172159+0.0157114j -0.0019077+0.0163603j -0.000719782+0.00719951j -0.0138221+0.00454807j -0.0337024+0.0150302j -0.00391363-0.00761283j 0.0202613-0.0144844j -0.0746105+0.034856j -0.0168286+0.00584135j -0.0464507+0.0277297j 0.0270415-0.00328932j -0.0236012+0.00484366j 0.036269+0.00178013j -0.0151903-0.0397012j 0.022514-0.0201503j -0.0189331-0.0138558j 0.00765857-0.0160069j 0.00803492-0.014832j 0.00719712-0.00395764j 0.0462674-0.0293464j 0.00535106-0.0168689j 0.011473+0.00216319j 0.00609633-0.00818136j -0.0100162+0.0305943j -0.0133392+0.000941749j 0.000990245-0.0293555j -0.0242231+0.00132138j 
