-0.000531215+0.0312301j -0.0307154-0.000770861j -0.0174597+0.0220678j 0.0225987+0.0175288j -0.000334441+0.00578856j 0.0077098-0.00184945j -0.0028385+0.00774327j -0.00653905-0.00474699j 0.00245237-0.00740673j 0.00567492-0.00288058j -0.0020373+0.00487498j -0.0042392+0.00862843j -0.00960024+0.00640997j 0.0144371+0.00604081j -0.0018487-0.00166853j 0.00120069-0.0125309j 0.00206534-0.00275378j -0.00380483+0.000876885j 0.00645453-0.00213405j 0.000592686-0.00178859j 0.00156586-0.00962883j -0.00267632-0.00168375j 0.00133779-0.00592841j 0.00341076+0.00615567j -0.0034076-0.00216723j 0.000461908+0.00258994j 0.00045727+0.00282282j -0.00371819+0.000105599j 0.00870312+0.00524354j 0.00470467-0.00466431j 0.000565655-0.00518154j 0.00702073+0.00771816j -0.00420085-0.002107j -0.00115019-0.00188593j 0.00161821+0.00636087j 0.0120118-0.000394015j -0.00853429-0.00156803j 0.000273983-0.00177415j -0.000874785+0.00586361j -0.00219491-0.000915115j -0.00356501+0.000139041j 0.00398535-0.00406131j 2.02973e-05-0.00646376j -0.000889431-0.00259809j 0.00755391-0.000731094j 0.0126418-0.00312686j -0.000372911-0.00151835j -0.0023148-0.00415504j -0.000781142+0.00039731j 0.00629651-0.00582384j -0.00128465-0.0077016j 0.00890399+0.00092836j 0.000810187-0.00547421j -0.00338995-0.00966044j 0.00324672+0.00216166j 0.0031062-0.00791557j -0.00417513-0.0092781j -0.00609495+0.00140617j -0.00886883+0.00147921j 0.000431433-0.00215804j 0.00494753+0.00291941j -0.000485243+0.00755099j 0.00335543-0.00252767j 0.00580197-0.00189433j 0.000771949+0.0100915j -0.00945977+0.00582747j -0.00548762+0.00183426j 0.00135277-0.00216118j 0.00321442-0.0127967j 0.0108336+0.00607593j -0.000179935-0.00378772j 0.0134163+0.00693648j 0.00386734-0.0105551j -0.0263355+0.000117581j -0.000920659-0.0259356j 0.020761-0.0212165j -0.0216584-0.0205178j 
-0.0154863+0.0107395j -0.0106191-0.0159988j 0.00604203+0.00878666j 0.00867991-0.00619614j -0.00340726-0.0146196j -0.0175901-0.00153203j 0.00712074-0.00332964j -0.00641649+0.00873665j -0.00873518-0.0105827j 0.00744228-0.00489583j 0.00214538-0.00196576j 0.00392444+0.00148574j 0.00175191+0.00376659j 0.00294964-0.00430056j 0.000364885+0.0032542j 0.00508704+0.00248521j -0.00353696-0.00581146j 0.000373993+0.000235512j 0.00790441-0.00274505j 1.47797e-05-0.0030297j 0.00109082-0.00487077j 0.000849844-0.00722201j 0.00444607-0.00396486j -0.00114882+0.00458695j 0.00210977+0.000716586j -0.00381902+0.00119591j -0.000273022+0.00373745j -0.00702741+0.00521394j 0.00400217+0.00153778j 0.0019394-0.00166684j -0.000514126-0.00470538j 0.00485268+0.00355623j -0.00353786-0.00280813j 0.00361351-0.00177264j 0.0012915+0.00651565j 0.00303132+0.0042011j 0.00212981+0.00217215j -0.0037081-0.00474125j 0.00308459+0.00466285j 0.000469332-0.000702383j -0.00572291+0.00184805j 0.000119164-0.000487089j 0.000350658-0.0045708j -3.5782e-05+0.000725118j 0.00329508-0.000557771j 0.00188434-0.00227365j 0.000334782+0.0015954j -0.00305713-0.00319784j -0.00206189+0.00441632j 0.00691499-0.00483838j 0.00485516-8.03282e-05j -0.000900534+0.00537167j -0.000975323+0.00421316j 0.000154716-0.0026428j -0.000398359+0.00268409j 0.00260073+0.00270218j -0.000372169-0.00133366j -0.00483527-0.00247649j -0.000184932-0.00016543j -0.00286759+0.00354532j 0.0016578+0.0037451j 0.0009559-0.00467457j -0.000656886-0.000157845j 0.00477404-0.00698235j 0.00924719-0.00295686j 0.00366501+0.0057605j 0.00897719+0.00112694j 0.00512721+0.00921481j -0.0030638-0.00715175j 0.00874978-0.00756702j -0.000483045+0.00776746j -0.0060475-0.00556797j -0.0051479+0.00748399j -0.0104555+0.0131937j -0.0129597-0.00956278j 0.026844+0.00178031j 0.00200452-0.0264002j 
0.0259306-0.00172276j 0.0014891+0.0267437j -0.0171213-0.0133012j -0.0132785+0.0167243j 0.0141188+0.0167158j 0.0234381-0.0090458j -0.00502893+0.00982415j 0.00150146-0.0131396j 0.00988076+0.00560235j -0.00229145-0.00167041j -0.00788215-0.0010974j -0.00734569+0.00918422j -0.016331-0.00284674j 0.00523813+0.0122697j 0.00733318-0.00900215j -0.00824467-0.0149289j 0.00895255+0.00434625j 0.00120217+0.000671918j -0.00669507+0.00164178j 0.00545997-0.00155065j -0.00899704+0.00513235j -0.00223481+0.0181565j -0.00383197+0.00170894j 0.00477471-0.00915936j -0.00761042-0.00717632j 0.0100973+0.00298529j 0.00297606-0.00989075j 0.00738075-0.00689624j -0.000438351-0.00260423j -0.00657849-0.00175504j -0.000602888+0.000582662j -0.00346735+0.000469546j 0.00588748+0.00153167j -0.00506508+0.00439211j 0.0015798-0.00462924j -0.000160629-0.0115481j -0.0117497-8.12299e-05j 0.0115439+0.00306203j -0.0035095-0.00209589j -0.00577755+0.00202682j 0.0129197-0.00219118j -0.00306088-0.00634723j -0.00460185+0.00630213j 0.00266151+0.000567029j 0.0011836+0.00278928j 0.0023925+0.000835357j 0.0024678-0.00123122j 0.00211915+0.00366864j 0.00137809-0.010262j -0.00463269+0.00420204j -0.00624417-0.00300513j 0.00809908-0.0064391j -0.00111268-0.00929108j -0.00414551+0.00332937j -0.000375043-0.000306971j -0.00922918-0.00906279j -0.0043632+0.00349592j 0.00680921+0.00657767j -0.00328309+0.0011408j -0.00129819+0.00491413j -0.00618866-0.00606072j 0.00180384+0.0162495j 0.00957023+0.00582748j -0.00351421+0.0105931j -0.0144108+0.00980826j -0.0081042-0.00886411j -0.011069-0.00208073j 0.00302611-0.00364017j 0.0163218-0.00103589j -0.0103364+0.0131202j 0.0015183-0.0202683j 0.0194555+0.00687531j 0.0019147-0.0149569j 0.015546-0.0335957j 0.0324602+0.0157062j -0.0275091-0.0157481j -0.0159594+0.0269566j 
0.00091835-0.091007j 0.09027+0.00173439j 0.0311302-0.0652738j -0.0664385-0.0295843j 9.93613e-05-0.00606438j -0.00748734+0.0111866j -0.011305-0.0211104j 0.0258534-0.00560909j 0.00709289+0.0291232j -0.0153814+0.0175026j 0.00721335-0.0181365j 0.00822174-0.0248097j 0.0209138-0.0314954j -0.0525174-0.0127985j 0.00624839+0.00643888j -0.00928047+0.0427566j 0.00352974+0.0168545j 0.0165094-0.00567119j -0.0311381+0.0169423j -0.00219152+0.00705336j 0.0117256+0.0399704j 0.0132804+0.00189944j -0.00755166+0.0257152j -0.0166391-0.0242045j 0.00766976+0.0101538j -0.000193509-0.0160343j -0.0062607-0.012118j 0.0230195-0.00469116j -0.0421859-0.0111434j -0.011795+0.0182289j -0.000193543+0.0192273j -0.0302033-0.0243078j 0.016586+0.012768j 0.00463846+0.00601066j -0.00763254-0.02446j -0.0406103+0.0033893j 0.0291373-7.51964e-05j -0.00412905+0.0164544j 0.000739192-0.0325168j 0.0060568+0.00429825j 0.0143208-0.0106106j -0.0169483+0.0258518j 0.00215824+0.019068j 0.00132279+0.00207151j -0.0298718+0.00399244j -0.0328841+0.0170872j -8.40122e-06+0.000137349j 0.0194534+0.0106007j 0.00234531+0.00353924j -0.0331611+0.0206554j 0.0017032+0.0247117j -0.0272988-0.014225j -0.00896448+0.0178804j 0.00977374+0.0377604j -0.00737315-0.00650285j -0.00925193+0.0282272j 0.0145853+0.0240477j 0.00942979+0.00338509j 0.0346788+0.00329059j 0.0020645+0.00567389j -0.0135474-0.0221229j 6.49738e-05-0.0118013j -0.0183733-0.00078254j -0.0350514+0.00916681j -0.0111403-0.0304654j 0.0241148-0.010882j 0.00533229-0.0129882j -0.0112262-0.00479676j -0.0169798+0.0452566j -0.0227179-0.0261648j 0.0127318+0.0128161j -0.0290848-0.0140661j -0.0179557+0.0115159j 0.0696164+0.0121957j -0.0122273+0.0663238j -0.0745988+0.0428676j 0.0428667+0.0741855j 
0.0298122-0.0154965j 0.0157936+0.0302864j -0.0297231+0.00506351j 0.00582965+0.0311257j 0.00661909+0.0415189j 0.0524957-0.00174259j -0.0156008+0.0212698j 0.00876686-0.0235898j 0.0293433+0.0301223j -0.0215677+0.0238987j 0.00733208+0.00541645j -0.00532566+0.0121546j -0.0290562-0.00460617j -0.00831023+0.0180521j -0.000761005-0.0249313j -0.00792634-0.0112097j 0.0101023+0.0196647j -0.0169062-0.00591385j -0.0185825+0.0157161j -0.0022125+0.00519567j -0.00978834+0.00712089j -0.00138816+0.018105j -0.00760554+0.00355546j -0.00122702-0.00799249j -0.0189893+0.00115841j 0.0158708-0.00280042j -0.00275298-0.00852931j 0.0134395-0.00513046j -0.00782243-0.00980582j -0.00398388-0.00115427j 0.00515482+0.00170992j -0.0158711-0.00326893j 0.0015585+0.0156095j -0.0111187+0.0111115j -0.00407347-0.00696268j 0.000711483-0.0140461j -0.0139066+0.00045157j 0.0164912+0.0140325j -0.00666891-0.00720084j -0.00780421+0.00014961j 0.0131814-0.00800008j -0.0068505-0.00678443j -0.0025031+0.0147011j -0.00563912-0.0134536j -0.00514826+0.00626985j 0.00438174+0.0131737j -0.00058906-0.00592124j 0.0095967+0.0101083j 0.00587908-0.00824859j -0.0153531+0.00674762j -0.01678-0.00421474j 0.0119086-0.0148588j -0.00492481-0.0202662j -0.0127486+0.000958621j -0.00368132-0.00307856j -0.00942267-0.0178405j -0.00789104+0.00207396j 0.0171097+0.0141477j 0.00804605+0.00708076j 0.0138422-0.00216222j 0.0072434-0.0218933j -0.00970561+0.017402j 0.00334332+0.00614002j -0.01541+0.0242622j -0.0294825+0.00998022j -0.00990597-0.00542347j -0.0368106-0.00337675j -0.00955063-0.0321775j 0.00925832+0.0137245j -0.0256346+0.00641976j 0.0203058-0.0264488j 0.00594352+0.0339367j 0.0180068+0.00375044j -0.00371269-0.0208729j 0.0190625-0.00258178j -0.0422628-0.0173485j -0.0182804+0.0421692j 
0.0449757+0.006764j -0.0071047+0.0447621j -0.043997+0.0134299j 0.01571+0.043119j 0.00643825+0.0589134j 0.0675641-0.00954366j -0.00191801+0.0314633j 0.00810956-0.0173929j 0.0289355+0.0265607j -0.0225383+0.0192714j 0.00502433+0.0167033j -0.0131483+0.0272955j -0.0495666+0.0113512j 0.0179424+0.0296869j 0.00257169-0.0366581j -0.00133247-0.041444j 0.00978324+0.0132253j -0.0319051-0.000540311j -0.00849049+0.0104632j 0.00260028+0.0028323j -0.0285823-0.00993157j -0.00288781+0.0294101j -0.00534893-0.00911267j 0.015405-0.000149481j -0.0201356-0.00764569j 0.0217917+0.00734676j 0.000219782-0.00985084j 0.00214902-0.00788297j 0.0124926-0.00704505j -0.00539197-0.00610078j 0.00394979-0.00183j -0.00896386+0.00749614j 0.0065004+0.00796632j -0.0203469+0.0119008j 0.00202174-0.00227434j 0.0137471-0.015713j -0.0284647-0.000253356j 0.0280078-0.00146692j -0.011565+0.0148957j -0.017085+0.000245337j 0.0136117-0.00159574j -0.00281965-0.0225189j -0.0137172+0.0243158j -0.00556642-0.00933409j 0.00969092+0.011837j 0.0122351+0.00941791j 0.00344033-0.00300475j -0.00169209+0.0125403j -0.000610715-0.0160841j -0.00311474+0.0128087j -0.0136137-0.0109147j 0.0184127-0.00805375j -0.000960018-0.0264965j -0.0112675+0.000571151j -0.00584478-0.00148439j -0.0115446-0.0341428j -0.0116173-0.000570884j 0.027372+0.0237102j 0.00319081+0.00214246j 0.0114479+0.00307591j -0.00227302-0.028495j -0.00887492+0.0281047j 0.00934057+0.00922303j -0.0196908+0.0228896j -0.0406743+0.0205608j -0.0137046-0.0097264j -0.0414169-0.010204j -0.00360461-0.0274888j 0.00837464+0.00558455j -0.00780416+0.0178562j 0.0131078-0.0209744j 0.0312861+0.0482518j 0.0472155-0.0177666j -0.0423531-0.045093j 0.047747-0.0435408j -0.017444-0.0398246j -0.0386744+0.0175801j 
-0.0747039+0.126038j -0.125644-0.0773896j 0.0440667+0.15284j 0.152789-0.0474964j -0.0622421-0.0203749j -0.0500618+0.050761j 0.0122148-0.013992j -0.0279378+0.052304j -0.0553047-0.0531215j 0.0314517-0.00822806j 0.0449553+0.0213367j 0.0158552-0.000935549j 0.0621205+0.044827j 0.0496832-0.0523222j -0.0411528+0.0409852j 0.0471384-0.00914976j -0.032117-0.031858j -0.0309421+0.0148228j 0.0543498-0.0262196j -0.0267022-0.0084264j 0.015274-0.0785835j -0.0198198-0.0949045j 0.0268145-0.0519919j 0.000769041+0.0761918j 0.0300483+0.0235717j -0.0530067+0.0108064j 0.00453171+0.0550265j -0.058912+0.0429175j 0.0694667+0.0321352j 0.0494257-0.0185136j -0.00504413-0.0239461j 0.075259+0.0125192j -0.0427164-0.0176719j 0.0080094-0.0146891j 0.00304419+0.0462137j 0.0601911+0.0475261j 0.00368264+0.00403j -0.0584047-0.0332012j 0.0244962+0.0680881j 0.0235619-0.023549j -0.0799634+0.0253586j 0.0478804-0.0173495j 0.0195516-0.0704542j -0.0269977-0.0100979j 0.0393656-0.0283514j 0.0449679-0.0314353j -0.0094905+0.00103599j -0.0481016-0.037725j -0.0272234+0.0206284j 0.0702005-0.0351205j 0.0157053-0.0326318j -0.003018+0.0528879j 0.0101245+0.0080158j 0.00222965-0.0820082j 0.0238009+0.0138207j 0.0503043-0.00399393j 0.017102-0.0650172j -0.030416-0.0479743j -0.0652521-0.0058524j 0.0125176-0.0404194j 0.0521818+0.0597811j -0.0210935-0.0670796j -0.00826457-0.0356769j 0.0676212-0.043026j 0.0971192+0.0168371j 0.000986568+0.0532979j 0.00683332+0.0571688j -0.0103762+0.014348j 0.000185746-0.0350024j 0.035828+0.0183721j -0.0282527+0.0512166j -0.0686321-0.0168973j 0.00163144+0.0682596j -0.13487+0.0748872j -0.0775223-0.127297j 0.162022+0.029142j 0.0297452-0.161752j 
-0.067256-0.142396j 0.141846-0.0664349j 0.0988586+0.0273045j 0.0261765-0.0947125j -0.104616+0.036228j 0.0187323+0.147146j -0.0872633-0.0574537j 0.0898834-0.000809441j 0.00454335+0.0992042j -0.0376025+0.116424j 0.151628-0.0751448j 0.0830614+0.0329993j -0.00179933-0.0526462j -0.123374-0.0788944j -0.0253205-0.0055778j 0.0295267+0.11555j 0.0234422+0.0696719j -0.0587428-0.0109004j -0.0857094+0.0922568j -0.0364997+0.0256915j 0.0381966+0.0314892j 0.0311343-0.0855198j 0.0160354+0.0165609j -0.0825277+0.0323957j 0.0164195+0.107157j -0.0602992-0.0370037j -0.0163824+0.0229649j 0.0201237+0.0475189j -0.0796086-0.00126651j 0.0129067+0.0346344j 0.00394747+0.0153612j -0.0616723-0.0450552j -0.00742891+0.0593766j 0.0142512+0.0704648j -0.043802-0.0365021j -0.0408623+0.0567593j 0.0664871+0.0152019j -0.0649802+0.0382313j 0.0395509-0.00188742j 0.030635-0.0182779j -0.0600303-0.0255499j -0.0196411+0.0595586j 0.00668113+0.0256239j -0.0645129-0.0526259j -0.0646874-0.0173775j -0.028164+0.0585j 0.00500809-0.0115115j 0.00764002+0.00175399j -0.0316868+0.0377417j -0.0109889+0.0591667j 0.00904887+0.0237114j -0.0603642+0.010589j -0.0668158+0.0252406j 0.00423486+0.0291198j 0.0195196-0.0013356j -0.0157992+0.0722322j 0.0873747-0.0297411j 0.0312528-0.0286474j 0.0713303+0.0581345j 0.0703515-0.0124706j 0.0440135-0.0826065j -0.062639-0.111783j -0.0924669-0.0907795j -0.111278+0.0430504j 0.118877-0.0823627j 0.0603237+0.0990713j -0.064165+0.0245202j -0.100498-0.0821042j -0.0841766+0.147654j -0.0553343-0.0574686j 0.0528942+0.0733087j -0.172283+0.042991j 0.0315056+0.140524j -0.00415463+0.0963391j -0.0908445-0.00103225j -0.0946457+0.0974941j 0.0968683+0.0947267j 
-0.0838356-0.0285717j 0.027732-0.0828956j 0.0912008-0.141865j -0.149012-0.0898295j 0.0284198-0.191002j -0.21432-0.0265613j 0.0315543-0.0893442j -0.0372221+0.0362463j -0.0766105-0.100519j 0.0682236-0.120722j -0.12045-0.0175434j -0.0196688-0.15536j 0.204528-0.039781j -0.0400975-0.0497404j 0.00728575+0.144731j -0.0302821+0.10841j -0.040497-0.0694521j 0.163352+0.0075983j 0.0343374-0.0752537j -0.00380494-0.000272113j 0.109912+0.04732j -0.0251781-0.0399326j -0.0200455+0.0674004j -0.0144668-0.0481794j 0.0745065-0.0363732j -0.0465981-0.0311576j -0.00836656+0.0165715j 0.0238156-0.0465979j -0.0394819+0.0286251j 0.00195811+0.0148717j -0.0191638+0.0581033j 0.0150259-0.0360551j 0.0185243-0.0617793j 0.0561842-0.0935515j 0.0162633-0.0193875j -0.0718064+0.039119j 0.0944362-0.0469199j -0.0619128-0.0042855j 0.000325853-0.0971626j 0.039537+0.0191608j 0.0125821+0.00996801j 0.0130467+0.0865999j 0.0291195-0.0568304j 0.0693247+0.073282j -0.0202906-0.01895j -0.0585888-0.0350961j -0.0129654+0.0182377j 0.0241748-0.0232339j 0.0180749+0.0613505j -0.0216548-0.0252216j 0.0551311+0.050017j -0.0794295+0.0170959j 0.0647993+0.114279j 0.0917306+0.0458108j 0.00217758-0.00545977j 0.0415893+0.100552j 0.0101185+0.0428426j -0.0874272-0.0428885j -0.00372059-0.0373684j -0.0712194-0.0043796j -0.0635645+0.111251j 0.0638224-0.026731j -0.00715464-0.00414921j 0.0650719-0.114665j 0.0241669-0.0356726j 0.0281554-0.0724664j 0.193273+0.00782295j 0.0529093+0.102825j -0.0502124-0.0879809j 0.0890437-0.0210525j -0.102989+0.0521133j 0.0291346-0.173382j -0.121854-0.0674054j 0.159239+0.108274j -0.105926+0.156312j 0.00888016+0.0850825j 0.0844986-0.00911523j 
-0.0639395+0.0602664j -0.0614417-0.0654775j 0.0758256+0.117665j 0.116279-0.0798125j -0.0840355+0.015881j -0.0196492+0.0981685j -0.0224604-0.0374624j 0.0223062+0.0441369j -0.0565512-0.00857729j 0.0293895+0.0206116j 0.0943121-0.0267507j 0.0366448+0.0233574j 0.0426407+0.0101934j 0.00356081-0.0757031j -0.0347993+0.0379302j 0.0487701+0.0135889j -0.00974782-0.00200626j -0.0418789+0.0163456j 0.00921662+0.01621j -0.0408824-0.00848524j 0.0128135-0.0541696j -0.00463471-0.105292j 0.0306279-0.0426963j -0.0283279+0.0807829j 0.0375163+0.0602572j -0.0718794+0.00755965j 0.00846509+0.0541766j -0.0443999+0.0567207j 0.0373189+0.0337556j 0.0420575-0.00250005j -0.00830712-0.0123073j 0.0489225-0.00688767j -0.0239698+0.00179471j 0.0103008+0.0266449j -0.0105432+0.0157974j 0.0391786+0.0650848j 0.0189415+0.0111668j -0.0752422-0.0186936j 0.0336879+0.072004j 0.027396-0.0248713j -0.0916094+0.0107643j 0.0386727+0.00282894j 0.0138787-0.0506025j -0.0508477-0.0264025j 0.0143412-0.0348254j 0.0339903-0.0116293j -0.00136935-0.00536301j -0.0463047-0.0390638j -0.0411886+0.0166355j 0.0702994+0.00558325j 0.0200227-0.0225858j -0.0286264+0.0552802j -0.0277145+0.0203034j 0.00179264-0.0553337j 0.0355623+0.01791j 0.0300023+0.0187488j 0.0658103-0.0675709j -0.0105301-0.0609213j -0.0387005+0.01078j 0.0362924-0.0319146j 0.0428948+0.0117814j -0.038298-0.0950009j -0.0368544-0.0707346j 0.00315853-0.00661457j 0.130186-0.00744999j 0.0216767+0.0716024j -0.0223929+0.0547048j -0.040081-0.00840656j -0.0146867+0.0249122j 0.015978+0.0101417j -0.0200804+0.0751041j -0.104771-0.0192967j 0.00304249+0.0819825j -0.108536+0.0602339j -0.0611523-0.104049j 0.0868376+0.0523088j 0.0539402-0.087945j 
-0.00639164-0.113167j 0.113317-0.00417029j 0.0108245-0.0662844j -0.0670378-0.00530129j -0.00391634+0.0176946j 0.0242803+0.0224459j -0.0313157-0.0286419j 0.0575781-0.0179701j 0.0300018+0.0629737j -0.0140587+0.0528063j 0.0322133-0.0658961j 0.035543-0.00471981j -0.0186171-0.0591133j -0.0961425-0.0074909j 0.0151869-0.00944412j -0.00379311+0.0689411j 0.0324092+0.0458673j 0.00166087-0.0173456j -0.0679049+0.0627568j -0.00346567+0.0159417j 0.0275903+0.0591372j 0.0266024+0.000644672j -0.000607236+0.0354469j -0.044859-0.020694j -0.0062885+0.036096j -0.00038863-0.0268724j -0.00909469-0.0225365j 0.0438192-0.00311047j -0.0786785-0.00651034j -0.0212485+0.0268551j 0.00864123+0.0198659j -0.0635693-0.0299965j 0.0218643+0.041435j 0.0114118+0.0389129j -0.0154217-0.0369401j -0.049699+0.00511353j 0.0384026+0.0131921j -0.00634944+0.0323995j 0.00590499-0.0471562j 0.00213061+0.00823639j 0.0118365-0.037016j -0.0264622+0.0382631j -0.000353137+0.0308181j -0.0151617-0.0226479j -0.0564071+0.00585776j -0.0255577+0.0449047j 0.00204549-0.00579556j 0.033193+0.0157504j -0.0102801+0.0113184j -0.04654+0.0331443j -0.00568594+0.0290678j -0.0325907-0.0275987j -0.0484576+0.0184361j -0.00880227+0.0545412j -0.00209964-0.00736413j -0.0363947+0.0384649j 0.0279579+0.0142445j 0.0109595+0.0105597j 0.0646468+0.0359068j 0.0204888+0.0119473j 0.000971452-0.0777724j -0.0228369-0.006558j -0.0399973-0.0242491j -0.0920637+0.0249537j -0.0047407-0.0472847j 0.0151491+0.0107232j -0.0120248-0.030691j -0.0348477-0.0339372j -0.0387521+0.0823478j -0.0411-0.0326233j 0.0151715+0.00825522j -0.0486049-0.0144952j -0.0267913+0.029302j 0.0707549+0.026803j -0.0255535+0.0689756j -0.110183+0.022278j 0.0203549+0.11013j 
