-0.0151241-0.058297j 0.0580549-0.0161111j -0.0118567-0.0260783j -0.0294772+0.0110467j 0.00452705+0.0128412j -0.00126944-0.00751755j -0.0103968-0.00658753j -0.0112143+0.00658248j 0.00290377-0.000909414j -0.00425656+0.0093619j -0.0138021-0.0079514j -0.00982588+0.00809228j 0.00127393+0.000272456j 0.00121021+0.00328388j 0.00135898+0.0124446j 0.00177673+0.0141833j 0.00188142+0.014896j 0.01317+0.0035359j 0.014614-0.00289786j 0.00440192+0.00107027j 0.00785622-0.00795355j -0.00580627+0.00672228j -0.00549713-0.00140513j 0.00288052-0.00575585j -0.00119104-0.00711967j 0.0105061+0.00734416j -0.000211345-0.0064934j 0.00133414+0.000865269j -0.00441023+0.00559162j 0.0104336-0.003921j 0.00417543+0.00707365j 0.000807928+0.0049865j -0.00748083-0.00671233j -0.00209868-0.00404194j -0.00117766+0.00309339j -0.00558652-0.00861367j -0.008338-0.00328466j 0.00035899+0.00168782j -0.00556832-0.00249218j 0.00898434+0.00122853j 0.00688545-0.00109862j -0.00643398+0.00587894j -0.00309381-0.0150032j -0.00388513-0.00012359j 0.000924136-0.00513111j -0.00439294+0.00163394j -0.00203049-0.00296425j 0.000361494-0.00265809j -0.0150722-0.0062721j -0.00307889+0.00624792j 0.00689365-0.0121988j -0.00168212+0.00249314j -0.0132338+0.000447221j -0.00366415+0.00632496j 0.008557-0.00766811j -0.00443274+0.00195754j -0.00201379+0.0074969j 0.00250161-0.0104641j 0.00911703+0.00200602j 0.0151284-0.00170284j 0.0021753-0.00568504j -0.00414344+0.000460432j 0.00110339-0.00386168j 0.00916477-0.00597027j -0.00496224+0.0157341j -0.00411299-0.0099286j -0.00321757+0.00543847j 0.00693736-0.0080759j -0.012422+0.00316278j 0.00495035+0.00180774j -0.000691985+0.00492878j -0.00209618+0.00023475j -0.00188884+0.00221488j -0.00937183-0.00419474j -0.0084817-0.00643144j 0.016144+0.00678011j -0.000783644+0.00112619j -0.00480986-0.00768351j -0.00959259-0.0133752j 0.00837221-0.00459519j 0.00376709+0.00240262j 0.0080807-0.009079j -0.0225935-0.00242194j 0.00357573-0.00654143j -0.00650302+0.0231852j 0.00614941-0.0215729j -0.0120392-0.011858j -0.0201529-0.00864776j -0.00529626+0.00861281j -0.00183551-0.00706324j 0.00549434+0.00255994j -0.00457689-0.0192178j -0.0099145+0.00817019j 0.000239002+0.00654346j 0.0396522-0.000297014j -0.000919078+0.039209j -0.0536715-0.0290351j -0.030268+0.0535771j 
0.0142761-0.00139523j 0.000869579+0.0146729j -0.0207172+0.00636481j 0.00479275+0.0231085j 0.00184722+0.00825744j -0.0182493-0.00371649j -0.00364026+0.0110694j -0.00221883+0.00377033j 0.00364625-0.00712891j 0.00253627-0.00229573j 0.00869474-0.000527688j 0.00218494-0.00562023j 0.00286956+0.00541384j -0.0018242-0.00153949j 0.00605109+0.000286621j -0.00297257-0.00550484j 0.00559766-0.00118569j -0.00488212-0.00707775j 0.00211253-0.00438383j 0.00166402-0.0010256j 0.00115313+0.00285572j -0.00160948-0.00652865j 0.00243943+0.00071107j -0.000800486-0.00424435j 0.00155865-0.00628333j -0.00141843-0.00264515j 6.99401e-05+0.00112412j 0.000215548-0.00285187j 0.00714458-0.0059327j -0.00562645+0.000867948j -0.00674322-0.00109788j -0.00300341-0.00315376j 0.00239063+8.88016e-06j -0.00149771-0.00163013j 0.00209421-0.00206147j 0.00296079+0.00486988j -0.000238182+0.00147669j 0.00211266-0.00206346j 0.00203763+0.00118047j -0.00326786+0.000281025j -0.000168412-1.38452e-05j 0.00250149+0.000839192j -0.0017948+0.00421138j -0.00180299+0.000575166j 0.00422535+0.00427045j 0.00332958+0.00350017j -0.00321263+0.00157719j -0.000342432+0.00305275j 0.00208854+0.00362228j -0.00158789-0.00245363j 0.00169596+0.00676272j 0.00163191+0.00142091j 0.0010251-0.00460583j 0.000383251-0.00489976j -0.00102201-0.000606803j -0.000657196-0.000961469j -0.000974544+0.00203532j 0.00172547+0.00431121j -0.000241292+0.00104328j -0.000467498+0.00257332j -0.00464338-0.00316792j -0.0029095+0.0022363j -0.00240166-0.00337664j 0.00216588+0.00152287j 0.00929839-0.00464417j -0.00294913-0.000757564j 0.00536339-0.00536462j -0.00409888-0.00560179j -0.00396927+0.00563086j 0.00055163+0.00639747j -0.0043593+0.00589387j 0.00443084-0.0077239j -0.00916616+0.00265956j 0.00155509-0.000956991j 0.000927363+0.00402004j -0.00601284-0.00192102j -4.79833e-05+0.00608008j 0.00370531-0.00255732j 0.00638693-0.000991237j 0.00232492-0.000206262j -0.00448408-0.00946463j -0.00474311-0.000690403j -0.00279516-0.00216981j -0.000302527+0.00492547j -0.0039855+0.0049753j 0.0012289+0.00182323j 0.00273408+0.00108964j -0.00876492-0.00302032j 0.000698618+0.00464159j -0.00436024+0.00042712j 0.00728484-0.00601634j -0.0164024-0.013857j -0.0151118+0.00762772j 0.00340122-0.0157595j -0.00847678-0.0183417j 0.0179869-0.00743422j 0.0329602-0.00541654j -0.00558339-0.0318377j 
0.00993768+0.0592473j -0.0586928+0.0104178j 0.00335562+0.0223321j 0.0267309-0.0039704j 0.00292365-0.00578835j -0.00589922+0.0151587j 0.0121667+0.0141511j 0.0125355-0.00647471j -0.00771802+0.00589155j -0.00219684-0.0164092j 0.0205857+0.000446644j 0.00658365-0.00654349j 0.00487462+0.0126023j -0.0114815+0.00293648j -0.000648266-0.0132142j 0.00337464-0.0106802j -0.00360935-0.0183382j -0.00771315-0.00314174j -0.012327+0.00185809j -0.0102269+0.00218704j -0.0100816+0.00897512j 0.00857149-0.00907375j 0.000486414+0.00296311j -0.00083297-0.000698052j 0.000145709+0.00479284j -0.0118742-0.00609903j 3.97864e-05+0.00450851j -0.00497747-0.00516699j 0.0134189-0.00798852j -0.00779192+0.00140528j -0.0103994-0.00434932j 0.00564743-0.0104334j 0.00383195+0.0152241j 0.00475833+0.00560206j 0.00505724-0.00446678j 0.0148775+0.0101743j 0.0120149-0.000160687j -0.000579872-0.00183109j 0.012802+0.00547465j -0.00634072-0.00406147j -0.00333741-0.00111213j 0.0150373-0.0044435j -7.26535e-05+0.0190855j -0.000572917+0.00510062j 0.00131602+0.00738828j 0.00962671-0.00252352j 0.00139068+0.00317754j -0.00154726+0.00329396j 0.0170156+0.00798044j 0.00595207-0.00624234j -0.0156609+0.0120479j 0.00437264-0.00506317j 0.0216372+0.0142459j 0.00669238-0.0122764j -0.00170547+0.0177744j 0.00649372-0.00489935j 0.0034525-0.00551204j 0.00112137+0.0103304j -0.0127342-0.00668251j -0.0202785-0.00452144j -0.00275417+0.00222435j 0.00771682-0.0105103j -0.00976075-0.00108597j -0.00728764+0.00434351j 0.00638712-0.0204972j 0.000926524+0.0194724j -0.00234804-0.00524596j -0.0057991+0.0134475j 0.00851294-0.00565679j -0.00415518-0.000923911j -0.00116199-0.00571496j -0.00238962+0.00695504j -0.00170427-0.000293609j 0.0100346+0.00741018j 0.0133781+0.00161319j -0.0142325-0.00948237j -0.00278322+0.0002764j 0.00607272+0.00915389j 0.000536451+0.0170007j -0.0172315+0.00532181j -0.0109504-0.00920043j -0.00424749+0.0112777j 0.0222361+0.0053836j -0.00801676-0.000732607j 0.013732-0.0288783j -0.00865781+0.0171099j 0.00445524+0.000761754j 0.0227117+0.0112109j 0.00334691-0.00650571j 0.013689-0.00537984j -0.0266426-0.00355254j 0.00180285+0.0273494j 0.00143881+0.00882281j -0.0169938-0.0152261j -0.00627466+0.0108113j -0.00813027-0.00153145j 0.0394868+0.0157886j 0.0166875-0.0401023j 
0.0150819+0.1101j -0.110603+0.0160379j -0.00690985+0.0235356j 0.027778+0.0111905j 0.0068579-0.0167893j -0.0180639+0.0293831j 0.0349861+0.0403052j 0.0471058-0.0158299j -0.0193817+0.0332457j -0.0236546-0.0556312j 0.0599756-0.00780432j 0.000181433-0.00172494j 0.0115287+0.0450432j -0.0292832+0.00752167j 0.0143716-0.0181648j 0.0259641-0.0126571j 0.00966453-0.0522238j -0.021526-0.0113834j -0.0223197+0.0094992j -0.0299276+0.0143827j -0.0239862+0.0238768j 0.0254334-0.0394221j -0.00214372+0.00856609j -0.00140125-0.0167236j 0.0137519+0.0109765j -0.0475325-0.0221857j 0.00203552+0.0199561j -0.0188163-0.024947j 0.0488074-0.0192372j -0.017159+0.00444221j -0.0356254-0.0192205j 0.0187923-0.0245843j 0.0155839+0.0367656j 0.0179259+0.0182834j 0.0187591-0.0185404j 0.0410788+0.0349358j 0.0246259+0.00530231j -0.00227547-0.00437454j 0.02988+0.00803036j -0.0150686-0.00361251j -0.00506276-0.011256j 0.040276-0.0140055j -0.000543316+0.0442263j 0.0047365+0.000559931j -8.49937e-05+0.0275765j 0.0210686-0.0135589j 0.008558+0.0144768j 0.0020134+0.0134466j 0.041929+0.00932551j 0.0112103-0.0246473j -0.0219509+0.0341022j -0.00502562-0.0166879j 0.0404886+0.0310761j 0.0118875-0.0426193j 0.00346506+0.0403903j 0.021689-0.00803296j -0.00574914-0.00941354j 0.00771042+0.0296779j -0.0226516-0.00741095j -0.0436937-0.00426432j -0.0221946-0.00317861j 0.0219494-0.0297238j -0.0192563-0.00907192j -0.00791846+0.0125805j 0.0178204-0.0431507j -0.000355673+0.0366256j -0.00406852-0.0239788j -0.0230246-0.00124472j 0.0129166+0.0100392j -0.000812926+0.00591431j -0.00524506+0.00656524j 0.00215002+0.00820799j -0.0138857+0.00838668j 0.0248008+0.0135063j 0.0310888-0.0174683j -0.0239672-0.0082024j -0.00387802+0.0233734j 0.0218313+0.022794j 0.00500835+0.0329307j -0.0557522+0.0228093j -0.0246589-0.00968395j 0.00741455+0.01625j 0.0342814+0.0419847j -0.0513541+0.000811482j 0.0114552-0.0645735j -0.0109296+0.0151539j -0.00993012+0.00279043j 0.0350521+0.0197925j 0.0200992-0.0256381j 0.00323722-0.0103312j -0.0323714-0.0197505j -0.0187546+0.0400507j 0.0168944+0.0043302j 0.00648969-0.0227283j -0.0429051+0.0271356j -0.0284341-0.0388419j 0.107902+0.0274644j 0.0270266-0.107241j 
-0.030865+0.0158519j -0.0162294-0.0320555j 0.0406339-0.0175023j -0.0180432-0.0430168j 0.00563795-0.0159609j 0.0320141+0.0318967j 0.0434945-0.0198538j 0.00629023-0.0259674j -0.00897925+0.0144352j -0.0100274-0.0113687j -0.00664876+0.00066223j 0.00584175+0.0204819j 0.00156996+0.000735318j -0.00345477+0.00308843j 0.0078775-0.00831023j 0.0208692+0.0102505j -0.0140403-0.00800631j 0.00861648+0.0151094j -0.0105561+0.0113034j -0.0118104+0.0118555j -0.00632126-0.0017416j 0.0110209-0.00510031j -0.00462373-0.00318911j 0.00189914-0.00319797j 0.00239098+0.0150164j -0.013518-0.00794517j -0.00593748+0.0068671j 0.00248191-0.00564943j 0.00273271+0.00372762j 0.00334826-0.00271377j -0.00336865+0.00194218j 0.021911+0.00896019j -0.010299+0.0103324j 0.00220083+0.00741854j 0.000839526-0.0065644j 0.00705873-0.000728105j 0.00655262-0.00158578j -0.00358655+0.00102806j 0.00883669+0.00109038j 0.00179405-0.00272367j 0.0012166-0.00455122j 0.0134648-0.00920186j 0.000324256+0.0012183j 0.0104357-0.00450201j -0.0114849-0.00496974j 0.000185894-0.0114124j 0.00284188+0.00811022j 0.00460881-0.00656157j 0.00128153-0.00578479j 0.0046465+0.00725563j 0.00270188-0.00623993j -0.0113083-0.0125832j -0.0101314+0.0219504j 0.00120088+0.00287149j 0.00869266+0.0150234j 0.00807267+0.00318241j -0.0026677-0.00562372j -0.004481-0.00788951j 0.00297852-0.00113332j -0.00193592-0.0115684j -0.0078038-0.00749159j 0.0131695-0.0044719j 0.00395794+0.00390959j -0.000232758-0.00651666j -0.0145761-0.00166592j 0.0117415+0.00652825j -0.0109845-0.00211013j 0.00601665-0.00783107j 0.00369868+0.0112214j 0.00413118+0.00191988j 0.00507367-0.00993196j -0.0040756+0.0132993j 0.00594743-0.00685528j 0.00326565+0.017826j 0.00096463-0.0231402j 0.00503661+0.0110426j 0.00720706+0.010908j -0.00449246+0.00788903j -0.0075865+0.0116676j -0.0136934+0.0180144j -0.00422138+0.0210622j 0.0263463-0.00163933j 0.00463599+0.00877714j -0.00908192-0.00389778j 0.0131887-0.00743431j -0.0109155-0.0140344j -0.0227987+0.00531791j 0.00274469+0.00665825j -0.0174029+0.0108932j 0.00282486+0.0106298j 0.00473005+0.0222243j 0.0354891+0.0244153j 0.042306-0.0253661j 0.00697912+0.0263794j -0.00949886+0.0655039j -0.0670359-0.00919229j -0.0202187+0.0229479j 0.0206386+0.0198314j 
0.0207178+0.0633564j -0.0637879+0.021342j -0.041752-0.0564786j -0.0600541+0.0472759j 0.0437272+0.0385871j -0.0763886+0.0492945j 0.0238912+0.0808403j 0.0678961+0.0344447j -0.0904215+0.0959677j -0.0965671-0.155866j 0.152804-0.0870799j -0.133298+0.00327198j 0.0248998+0.183367j -0.107239+0.040399j 0.0215529+0.0468545j 0.0909282+0.0770845j 0.0199998-0.106401j -0.015847+0.0302452j 0.0317624+0.0411869j -0.0841469+0.0451108j -0.051421+0.0650358j 0.0509746-0.101243j -0.0754716+0.0384461j 0.0428787-0.113632j 0.0591552+0.00862729j -0.0879852-0.00238515j 0.0285341+0.0126552j -0.0681869-0.0640233j 0.144202-0.0369612j 0.0312602+0.00706209j -0.0962822-0.00215962j 0.0477605-0.0323386j 0.0378775+0.0815621j 0.0800367+0.0484083j 0.0793815-0.0230281j 0.132471+0.0700103j 0.0330928+0.00914589j -0.0285599+0.0335216j 0.0609342+0.0177694j 0.0165298-0.00443288j 0.044643-0.045831j 0.0939576+0.0161197j 0.0237047+0.0520588j -0.0260823-0.00155799j 0.0250782+0.0901766j 0.0290556-0.0507697j 0.0408781+0.0246248j -0.000605029+0.0294865j 0.0828442-0.00292249j 0.015926-0.0714344j -0.0532555+0.0385897j -0.0157971-0.0158719j 0.039596+0.147486j 0.0156722-0.128922j 0.0580018+0.104305j 0.0284872-0.0152029j -0.0510022+0.0379248j 0.0620965+0.051306j -0.0100685-0.0135228j -0.0611806-0.0187217j -0.0170103+0.00206067j 0.0676166-0.113539j -0.0428087-0.0587531j 0.0700241+0.0230866j 0.0439016-0.0400881j -0.0368177+0.0378957j -0.0290767-0.0209821j -0.0698733-0.0240936j -0.0114494+0.0210591j 0.0339035+0.0163994j 0.000778915+0.0571216j -0.0291702-0.0286555j -0.0250664+0.0185624j 0.00237333-0.0577689j 0.0643417-0.0684847j 0.0593218+0.0209293j 0.0557489+0.0735079j 0.0125747+0.0196409j -0.0345271-0.0118331j -0.120775+0.0632264j -0.0236363-0.026077j 0.0300581+0.0140696j 0.0176113+0.182081j -0.17816+0.00914458j -0.0130308-0.0732179j 0.0177851-0.0669845j -0.0737554-0.029049j 0.016656+0.0271005j 0.0463743-0.058836j -0.0217795-0.0484795j -0.025325-0.0300654j -0.0748919+0.00954229j 0.0114417+0.0719704j -0.0276365+0.0208056j 0.0640182-0.0198341j 0.0227385+0.0602005j 0.0631534-0.00917398j -0.00929752-0.0630445j 
0.0394905-0.0457873j 0.0460151+0.039421j -0.0701193+0.038345j 0.0390795+0.0733295j -0.010598+0.0120771j -0.0232725-0.0733389j -0.0938398+0.00830843j -0.0367773+0.0422036j 0.0597267-0.0689989j 0.0648294+0.0948491j -0.0596312+0.0370938j 0.0477877-0.0360531j -0.00740482-0.0764181j 0.0562342-0.0179334j -0.0168779+0.00323806j -0.0854109-0.0569774j 0.00906206+0.058545j -0.00896704-0.0408722j 0.00627715-0.0438398j 0.0581141-0.0352302j 0.0376823-0.0239107j -0.0372508+0.0489726j 0.0379056-0.0106131j -0.0334246+0.055018j -0.0291118-0.0391821j 0.0618211+0.0156025j -0.00198962-0.0141827j 0.0190639+0.0367058j -0.0594246+0.00469576j -0.0199369-0.000944629j 0.041803-0.00147028j -0.0554758-0.0121146j 0.0079894-0.0521401j -0.0348246-0.0305019j -0.0290816+0.0169963j -0.0638404-0.0217632j -0.0201093-0.0121422j 0.0244336-0.0237596j -0.0323662-0.0123655j -0.00498021+0.00967583j -0.0151665+0.0241138j -0.057344-0.00109239j -0.0215552-0.0141898j -0.011458+0.00490847j 0.0113862-0.0282365j -0.0117647+0.0398046j -0.0257836-0.0267118j -0.003778-8.22301e-05j -0.0447118+0.00620807j -0.0110713+0.0194292j 0.0128412+0.0018913j 0.0127744+0.0170862j -0.00843999-0.113075j -0.0110059+0.0435505j -0.0355646-0.0621343j -0.0207881-0.0142915j 0.0208702-0.00435435j -0.0100726-0.0166672j -0.00620225+0.0175451j 0.041109+0.0121041j 0.00226761+0.00158313j -0.0603917+0.0666491j 0.00405889+0.00651462j -0.0381066+0.00463037j 0.02029+0.031926j 0.00166791-0.0179978j 0.0356463-0.000420525j 0.029583+0.0024562j -0.00672531-0.00723749j -0.0246863-0.0138261j -0.0164983-0.00267939j 0.0293834-0.0067846j -0.0083492+0.00960777j 0.0126274-0.00768791j -0.0258894+0.050076j -0.0304507-0.0350464j -0.0435119-0.0339132j 0.0133065-0.0248476j 0.0228431-0.00714221j 0.0655075-0.0550307j -0.00952477-0.0213759j -0.0658868-0.00631261j -0.0226143-0.0918272j 0.0819112+0.00703645j -0.0331581+0.0439789j 0.0158175+0.0653039j 0.0644643-0.00575374j -0.010072-0.0397667j -0.00492619+0.0143927j 0.00756806+0.00815596j 0.0152971-0.0580057j -0.0682067-0.0501735j -0.0581082+0.0372653j 0.0146815-0.0321655j -0.0103568-0.0703443j 0.0648702-0.0078622j 0.00634814-0.0394279j -0.039323-0.00605222j 
-0.0321521+0.100693j -0.100776-0.0308086j 0.06467+0.0470796j 0.0534124-0.0640517j -0.0126973-0.0737181j 0.0682667+0.0481726j 0.0835848-0.0287931j 0.0290774-0.0697815j 0.0122262+0.00394244j 0.016414-0.000746796j -0.0165212+0.0397665j 0.0796346+0.027137j -0.00500609-0.0623283j 0.029501-0.027769j 0.0227316-0.0608004j 0.00776235-0.0512701j -0.00328027-0.0108615j -0.00858461-0.0231984j -0.0687708+0.00405973j -0.000638487-0.000304413j -0.00674883-0.00212468j 0.0142436+0.00131982j 0.0510147-0.0103119j -0.025156+0.0412849j -0.00476701+0.0258289j -0.0267011-0.0417018j -0.0258252+0.0268073j 0.0265881-0.00129731j -0.0195771+0.00051716j -0.0475869-0.00347878j 0.00356994-0.0281484j 0.0189691+0.00389158j -0.0107069-8.82809e-05j -0.0205703+0.000560597j -0.0275583-0.0159446j -0.0240259+0.00571947j 0.0202115+0.00967293j 0.0104909-0.0211054j 0.0127351+0.000338417j -0.029976-0.0021299j -0.0350774+0.00478303j 0.00973279-0.0303933j -0.0109856+0.0211985j 0.0302955-0.00314983j -0.0217754-0.0190557j 0.016773+0.00309233j -0.0140872+0.0157273j 0.0113572-0.00494048j 0.010444+0.0115497j 0.0100202+0.0126175j 0.0232803+0.0118557j -0.0023107-0.00438401j 0.0211219-0.0106975j 0.00836556+0.0376424j -0.0221596-0.0017518j 0.0145201+0.014383j 0.0307905-0.0333423j -0.0571071-0.00656241j -0.00845128-0.00563605j -0.0441894-0.00946233j -0.0136072-0.0125283j 0.00626588+0.0227247j 0.0131838+0.0342681j -0.0489718-0.0112358j -0.0209442-0.0402804j 0.039302+0.0268268j 0.0052168-0.0190656j 0.0129086+0.02007j 0.0223046-0.00190685j -0.014977+0.00236907j 0.0089702-0.0474894j 0.0168993+0.0413382j 0.012549-0.000123175j 0.0183878+0.0661309j -0.0102378+0.0250009j -0.0588216-0.0147147j -0.0138658-0.00391847j 0.00251416+0.02765j 0.0104711+0.0640407j -0.0103176+0.0187606j 0.000186283+0.0230756j 0.0123623+0.0201959j 0.0410464-0.0366752j 0.0298729-0.018458j 0.0539677-0.0540243j -0.0350173+0.0305601j 0.00787211+0.0458879j 0.0395291+0.0222926j 0.00253056+0.0292232j 0.0281192-0.00346465j -0.0311357+0.0569757j 0.0925768+0.0633544j 0.0394391-0.0582046j -0.0200133-0.015574j -0.0893052+0.0957197j -0.0817233-0.086473j 0.0882881+0.0465163j 0.0478043-0.0873245j 
-0.0705889+0.0163544j -0.016021-0.0710503j 0.131115-0.0187441j -0.0161979-0.138818j -0.00506121-0.0275583j 0.0779738+0.114625j 0.177188-0.0729212j -0.0117487-0.126406j -0.00755233-0.00620968j 0.002346-0.00971994j -0.0485292+0.0216864j 0.0749173+0.0740564j 0.00383747-0.0535036j 0.00254693-0.0180884j 0.0367129-0.0790753j 0.0560171+0.00867497j -0.045793+0.00273262j 0.0388914+0.040278j -0.0531974+0.0358526j -0.0249672+0.0120519j -0.00610368-0.0197073j 0.0161998-0.00596211j 0.0280712-0.0271885j 0.0151049+0.00895974j -0.0155611+0.0385886j -0.0206437-0.041381j -0.0399986+0.00479215j 0.047712-0.0148574j -0.0316356+0.00783842j -0.0215137-0.00733739j 0.000416967+0.0119664j 0.0490293+0.0570217j -0.059238+0.0195429j -0.0293299+0.000370364j -0.0259941-0.0166655j 0.000496169-0.0224584j 0.00890159+0.00991852j -0.00156978-0.00242671j 0.0189259+0.0152856j -0.0170851-0.0228986j -0.0251205-0.00139635j 0.0330149-0.00884846j 0.00505406-0.0110669j 0.0506502+0.00951074j -0.0363026-0.0534998j 0.00924976-0.020175j -0.00798947+0.0194038j 0.00299655-0.0233755j -0.000227048+0.00601761j 0.00321978+0.0507624j 0.0380536-0.0261333j 0.00497568-0.0165081j -0.0229367+0.0603922j 0.0239616+0.0559226j 0.00243687+0.0176179j 0.0131194+0.0379263j 0.0205028-0.0310031j -0.0507671-0.0258629j 0.0134683-0.0289065j -0.0206079-0.00618248j -0.00526245-0.0150772j 0.032035+0.0181433j 0.0289075+0.038679j -0.0183954-0.0351236j -0.0641319-0.0316673j 0.0416467+0.0103892j -0.0449073+0.0158732j 0.025772+0.0170245j 0.00560273+0.0165917j 0.00171746+0.0228684j 0.0107665-0.0623788j -0.0137452+0.0475877j 0.0279082-0.0228983j -0.035928+0.0994859j -0.00751824-0.0015322j -0.0047367+0.0268342j 0.0290253-0.00656063j -0.0482187+0.0315157j -0.00598552+0.0537997j 0.00421282+0.0323348j 0.0130587+0.0389248j 0.0711351+0.00828645j 0.0200133-0.0264924j 0.0461568-0.0258115j 0.0973355+0.000132704j -0.072656-0.0577666j -0.0286627+0.0461194j -0.0312286+0.0223778j -0.0487434+0.0787722j 0.00924129+0.0221099j -0.00183848+0.147902j 0.18194+0.0665957j 0.085098-0.0945448j -0.0318496+0.0498959j 0.00429167+0.160735j -0.151651-0.00191972j -0.0303169+0.0704269j 0.0700244+0.029231j 
0.0463518+0.191665j -0.192487+0.0475026j -0.0878484+0.126941j 0.136065+0.0952632j 0.00422277-0.0564504j -0.0214727-0.0396331j -0.0605243+0.06956j 0.0497431+0.0228131j 0.0389363-0.00634812j 0.02899+0.0186724j 0.0368453+0.0402441j 0.0725356-0.0603269j 0.00648869-0.0109924j 0.0147953-0.00879833j -0.00753122-0.0349347j -0.0729919-0.11781j 0.0231575-0.00400029j -0.0437609-0.0823099j -0.0518832-0.0512328j 0.0259213-0.0152739j -0.000436448+0.00564297j 0.0035266+0.000800087j 0.0548208+0.00662324j -0.0547888+0.0663434j -0.00149919-0.0164643j 0.0078364-0.0239281j -0.00203056+0.0421012j -0.00349403+0.0107875j 0.0140046-0.0170186j -0.0610565+0.00145463j 0.000715391-0.0508924j -0.0155661-0.0725782j 0.0349082-0.00351162j -0.0164373-0.00893361j 0.000908934-0.00805709j -0.0247464+0.0478227j 0.0423414-0.0172957j 0.0331999-0.0374084j 0.0192953+0.00308053j -0.0358539+0.0109458j -0.0307311+0.0105964j 0.00182341-0.0347353j -0.0396265+0.0617895j -0.020192+0.0139617j 0.00524461+0.0149432j 0.0348616+0.038772j -0.0295605-0.00407019j 0.0177768+0.0234502j 0.023144+0.0289489j 0.0134991-0.0268415j -0.0357225+0.0668342j 0.0021004-0.00313015j 0.0852165-0.0839264j 0.00559207-0.00747282j -0.0449926+0.00252069j 0.0161687-0.0232655j 0.0344215-0.023172j -0.0223104+0.0268001j -0.0586648+0.0165602j -0.0626248-0.0232983j -0.0325107-0.0103469j -0.0398657+0.00924564j -0.0364079+0.00247805j -0.0841955+0.0309292j 0.0481187-0.0583954j 0.0042501+0.0714493j 0.0415252-0.0486398j 0.00655735+0.0321458j 0.0366445-0.0246201j -0.03393-0.0269984j -0.0308055-0.002053j 0.0400992+0.036982j -0.0298049+0.0289776j 0.0671724+0.0237043j 0.0103145+0.0280636j -0.115758-0.0778712j -0.0842671-0.0137863j 0.0684517+0.0110165j 0.0388888+0.0745581j -0.0242177-0.0178271j -0.0598626-0.0308527j -0.0725682+0.038506j 0.0519946-0.0747219j 0.0243252-0.00107764j -0.0148439-0.0927927j 0.0232895+0.129049j 0.0468858-0.00671642j 0.0934023-0.0182021j 0.0234691-0.0259916j 0.0437459-0.0322277j -0.069544-0.0837981j -0.0901319+0.00731156j -0.0571991+0.0692987j -0.00355231-0.0875651j -0.11431-0.0218607j 0.0228762-0.103486j 0.207046-0.014514j -0.0164733-0.207863j 
0.0323237-0.0783164j 0.0785616+0.031723j -0.0703789-0.0415285j -0.0442839+0.073055j -0.000425142+0.0397665j -0.0452232-0.0742545j -0.107324+0.0255461j -0.00644695+0.0737299j 0.0127741-0.00789893j 0.00110921+0.0353112j -0.0129994-0.0198807j -0.0598167-0.0278209j -0.00388507+0.0179587j 0.00386174+0.0194979j -0.0330936+0.060028j -0.0363473+0.0151111j 0.0177012+0.0184408j -0.00825661+0.00081727j 0.0600746-0.0224807j 0.0155261-0.0119824j 0.0222415-0.0043433j -0.0270816+0.0151307j -0.0245275+0.0111309j -0.00165581-0.00626144j -0.00640962-0.0222318j 0.0256978+0.0328466j 0.0252816-0.0152857j -0.0328387+0.0133148j -0.00891946+0.00825823j 0.0322048+0.0079284j 0.0166589+0.00641516j -0.0367102-0.00729108j 0.0301926-0.0211599j 0.00806774-0.00936272j 0.0115081+0.0198999j -0.0109382-0.00842267j -0.0180339-0.00730565j 0.00365559+0.00529392j -0.0262694-0.0118676j 0.020519+0.0123414j 0.0198426+0.0106356j -0.0299999+0.00977242j 0.000395015-0.0196731j -0.0150955-0.0151936j 0.0169657+0.0182669j -0.022202+0.00548922j 0.0104846-0.0205931j -0.00355559+0.0118449j -0.0157415-0.00586516j -0.00570194-0.020352j -0.0183194-0.0154124j -0.00306832+0.0103855j -0.0138531-0.040141j -0.0194192-0.0389898j -0.00688976-0.0348225j -0.0113477-0.0203953j -0.0151383+0.0242847j 0.035814+0.0126142j -0.00761778+0.0198936j 0.0405744+0.0141565j 0.013213+0.01417j -0.014419+0.00118733j -0.0191979-0.0250931j 0.0220589+0.0159688j 0.0307866+0.0409397j -0.02354-0.0183487j 0.016195+0.0104882j -0.0116293-0.00236698j 0.00430612-0.0119466j 0.00347746-0.0167451j 0.00056854+0.0380723j -0.0055303-0.0316054j -0.00526019+0.0210704j 0.0116226-0.0617525j -9.31219e-05-0.000683382j 0.0453303-0.0100056j -0.00986112+0.00102279j 0.0158689-0.03034j -0.00276705-0.0572007j 0.0188357-0.0384962j 0.00404602-0.00570352j -0.0409578-0.0168567j -0.0434197+0.0113256j -0.00462779+0.00930166j -0.0635537+0.0470414j 0.0581245+0.0203394j 0.0271245-0.0409464j -0.00684281-0.0326399j 0.00800861-0.0386374j -0.0059032+0.00210732j 0.019964-0.0839587j -0.097585-0.0491826j -0.0310334+0.0558035j 0.00675836+0.0280526j 0.0451266-0.0868387j 0.0833936+0.0340796j -0.0682592-0.0420465j -0.0402589+0.0664397j 
