-0.00118555-0.0180143j -0.0180289+0.000765874j -0.00322721+0.00934935j 0.0116258+0.00236087j -0.000698651+0.00432948j 0.000848918-0.00162332j -0.00193384+0.00129984j 0.00377169+0.00173251j -0.00126303+0.000940698j 0.000551315+0.000439635j 0.00309712+0.00131702j -0.00337196+2.45032e-05j -0.00203443+0.00751592j -0.000658414+0.00140648j 0.000567512-0.00328028j 0.000225374+0.00343292j 0.00388693+0.00131642j 0.00214142-0.00129022j -0.000668191-0.00195573j 0.00350707+5.75253e-05j -0.00394318-0.000638879j 0.00454534+0.00164246j 0.0013603+0.00361925j 0.000531705-0.00143124j -0.000321776+0.00103797j 0.00417997-0.000258818j -0.000690442-0.00335977j 0.00215827-0.000911228j 5.29795e-05-0.00234103j -0.000475683-0.00194982j -0.00318405+0.00215066j -0.00275542-0.0021018j 6.47905e-05-0.000191532j -0.000616822-0.000681475j -0.00141165+0.00496052j -0.00561917+0.00251226j -0.000553352+0.00498965j 0.00199776+0.00350906j 0.00267817-0.00130264j -0.0010871-0.000567426j 0.00447495+0.000476111j -0.00209314-0.0049103j 0.002374+0.0036632j 0.00383664+0.00680742j -0.0027655+0.000876048j -0.00503536+0.00305859j -0.00427658-0.00262407j 0.00277544-0.00266495j -0.00331283-0.00046713j 0.00221913-0.0048685j 0.00221088+0.00255057j 0.00209103-0.000787611j -0.00948715-0.00219553j 0.0014243-0.0121875j 0.0165103-0.00431004j 0.0048026+0.0165514j 
-0.00447429+0.00362627j 0.00395967+0.00458662j -0.00462856-0.00134186j -0.00116648+0.00665915j -0.000509732+0.00206687j 0.00498536-0.00120908j 7.56405e-05-0.00322583j -0.00153926-8.96985e-05j 0.00284425+0.00112984j 5.06206e-05-0.000407782j -0.00261357+6.9228e-05j 0.00198085-0.000768753j 0.00121156-0.00436814j 0.00242202-0.00189352j 0.00024646+0.00264459j -0.0015086-0.000517216j -0.0010997+0.000411984j -7.94306e-05+0.000215045j -0.000125408+0.00135271j -0.00248326-0.000456941j 0.00272651-0.0012011j -0.00139485-0.00169676j 0.000730415-0.000352563j 0.00088176-0.000502658j -0.000661815-0.000241304j -0.00217444-0.00141093j 0.00140026+0.00208125j 0.0010743-0.0014152j 0.000919643+0.00170435j 0.000912972-0.00185737j 0.000903638+0.00144421j 0.000272082+0.000162691j 0.000908781+0.00128578j 0.000669201+0.00120712j 0.000499704-0.00280123j 0.00162625+0.000220263j 0.00149939+0.000467098j 0.00223014-0.000165891j -0.000847206-0.00188153j -0.000999502+0.00365915j -0.00189182+0.000447825j 0.000463153-0.00014535j 0.000453283+0.00130241j -0.000701855-0.000715324j 0.001171-0.00116262j -0.00214927+0.00137917j 0.00012672-0.00112357j 0.000887713+0.00128589j -0.00147216-0.00198978j 0.00366712-0.00230244j 0.00337767+0.000169642j 0.000365444+0.00453891j 0.00585648-0.00304096j 0.00580962+0.00551776j -0.0115618-0.00364442j 0.00351664-0.0110548j 
0.00715037+0.0138253j 0.0131381-0.00716285j 0.00425834-0.00815158j -0.0100211-0.00792153j 0.00046326-0.0040874j -0.00444653+0.00575295j 0.00393647+0.000178569j 0.000460388-0.00357126j 0.000344728-0.00184561j 0.00142313-0.00044513j -0.00106944-0.000366658j 0.00260615+0.000750996j -0.0035937-0.00313124j -0.00179497+0.000488551j -0.001195+0.000902813j -0.000280522-0.0024666j -0.00538775-0.0012329j -0.00143165+0.000721711j 0.00188856+0.00135871j 0.000199445+0.00126246j 0.00224247+0.00234268j -0.00455669+0.000906706j -0.00297831-0.00296468j -0.000769607+0.00275322j 0.00119512-0.00318128j -0.00279741+0.00108003j -0.000814253+0.00153345j -0.00339814+0.00390268j -0.000960069-0.000241132j -0.000439303+0.00392368j 0.00203086-0.0062232j 0.00247735-0.00114157j -0.00151815-0.00401413j 9.49641e-05-0.00189238j 0.00259069-0.000840793j 0.00418934-0.00488988j 0.000416195-0.00286417j -0.00697687-0.00447848j 0.00178076+0.00628514j -0.00215109-0.000272806j -0.00177752-0.00147323j -0.00114136+0.000479427j -0.00226658-0.0034856j -0.00499706-0.00692527j -0.000668021+0.00265595j 0.00684661-0.00443989j -0.00116497-0.0015218j -0.00439323-0.000377254j 0.00613273+0.00214376j -0.00615069+0.0108218j -0.00282694+0.00195181j -0.00275791+0.000509724j -0.00270892+0.00824618j -0.0122187-0.00349142j -0.00215378+0.00561956j -0.00569255-0.00305909j 
-0.00110784-0.041646j -0.0415231+0.00016164j 0.00640341+0.0204658j 0.0258766-0.00824349j -0.00189653+0.00742029j -0.00389189-0.00222983j -0.00208138+0.00967293j 0.0111804+0.00429584j -0.00727438+0.00398051j 0.00158493+0.00148754j 0.011082+0.00418345j -0.0112576+0.00305355j -0.00186593+0.0245923j -0.0030638+0.00594493j 9.68562e-05-0.010911j 0.00536455+0.00686878j 0.0118813+0.00240883j 0.00499259-0.00347583j -0.00189366-0.00939132j 0.0129727+0.00133479j -0.013995-0.000975734j 0.0134605+0.00535197j 0.00383989+0.00649363j 0.00123347-0.00262963j -0.000966339+0.0040521j 0.0139889+0.00290875j -0.00304758-0.0112637j 0.00394118-0.00225486j -0.00227183-0.00502306j -0.00311263-0.00207192j -0.00912523+0.00697743j -0.00682504-0.0014837j -0.00352188+0.000763878j -0.00362703-0.00110146j -0.00490658+0.0132702j -0.0165403+0.0107321j -0.00776771+0.011292j 0.00578588+0.00883348j 0.00387289-0.0056936j 0.00234535-0.00796611j 0.0104386+0.00168104j -0.00454955-0.00864264j 0.00532781+0.0099026j 0.0106097+0.0182769j -0.00663787-0.00119243j -0.0108114+0.00630586j -0.0104852-0.0048952j 0.00811724+0.00047561j -0.0144924+0.00399089j -0.00180431-0.0129431j -0.00321416+0.00074905j 0.00285116-0.0122384j -0.0180191-0.00277283j 0.00203228-0.0216394j 0.0421273+0.00123015j -0.000224054+0.0422383j 
0.00886761+0.0222987j 0.0224515-0.00867624j 0.00298922-0.00866262j -0.00975812-0.00213793j -0.000663664-0.00923392j -0.0040713+0.00559678j 0.00998933-0.00381991j -0.0108265-0.00825821j 0.00558819-0.00673253j -0.00266173+0.00227703j -0.00619622-0.000708913j 0.00570266-0.00464084j -0.00272001-0.0120364j 0.00106159-0.0030215j -0.00159669+0.0055812j -0.00382333-0.00820821j -0.0110104-0.00241189j -0.00218032+0.00443164j 0.0014427+0.00403402j -0.0108632-0.00192084j 0.0054325+0.00350611j -0.00807621-0.00365278j -0.00589205-0.00201837j -0.00542475+0.00545843j -0.00173159-0.000827259j -0.00560045-0.00254934j -0.00185832+0.0099228j -0.00193154-0.001044j -0.00210464+0.00429302j 0.00231477-0.00367991j 0.0036047-0.00453532j 0.00426395-0.00586648j 0.000721124-0.00143553j 0.00120177+0.00374715j 0.00276917-0.00604528j 0.00954271-0.00509934j 0.00726493-0.0020145j -0.00275863-0.00798184j 0.000122666+0.00559488j -0.00483729+0.000973558j -0.00237736-0.00116032j -0.00463788+0.00101967j -0.00159339-0.00335319j -0.00530682-0.0104295j -0.000864396-0.000985399j 0.00520864-0.0015492j -0.000931605-0.00137688j -0.00142513+0.00470596j 0.00124682-0.00204276j -0.00222308+0.00753042j -0.00673773-0.00588255j 0.00704494+0.000311169j 0.0167138+0.0197456j -0.0200693+0.0165575j -0.0243947+0.0035679j -0.00320519-0.0244299j 
0.0154923-0.00640485j -0.00645449-0.0157208j 0.0262608-0.00214797j -0.00119524-0.0284641j 0.000842413-0.00998422j -0.0169333+0.00820673j 0.0156632+0.0115412j -0.000273844-0.0112889j -0.00578831-0.00614268j -0.00468004+0.00520356j 0.0054007+0.00313391j -0.00498511-0.000744066j -0.0067203+0.0114645j -0.00872721+0.00659668j -0.00374207-0.00863524j 0.0069124-0.00512396j -0.00121273+7.69632e-05j 0.00085506+0.000844681j -0.00104828-0.0118899j 0.00277789+0.00360253j -0.00863929+0.00359423j 0.00404517+0.0060678j -0.00067316-0.00312747j -0.00378577+0.00826775j -0.000122446+0.000322698j 0.00920644+0.00634572j -0.00895628-0.000919118j -0.00456752+0.00067457j -0.00645084-0.000546341j -0.00421256+0.000267164j -0.00401871-7.70856e-05j -0.000937632-0.00232018j -0.00848249-0.00446083j -0.00219481+0.00412537j -0.00410325+0.00228141j -0.000988304+0.00449594j -0.00548351-0.00225724j -0.000942185-0.00236894j 0.00121224+0.00282135j 0.00699174-0.0117126j 0.00561946-0.00432109j -0.00956812+0.000734126j -0.00556625-0.00153103j -0.00367307+0.0031455j -0.00327576+0.000416545j 0.00265171-0.00500567j -0.00238044+0.00160603j 0.00189277+0.00520951j -0.00139928+0.0181873j -0.0230166+0.00497562j -0.0137075-0.0147072j -0.000398114-0.0112649j -0.00225859+0.0196229j -0.021792-0.00165542j 0.0174875+0.0176675j -0.0172367+0.0171376j 
0.00600451+0.0431476j 0.0433617-0.0050325j -0.00628754-0.0218033j -0.0254827+0.0111323j 0.000416407-0.0181565j -0.00401543+0.00148464j 0.00279324-0.00987207j -0.0203188-0.00353063j 0.0082905-0.0104934j -0.0064497+0.00296039j -0.0159572-0.00865228j 0.00906134-0.00752146j 0.00364721-0.0298854j 0.00537969-0.0117848j 0.000252356+0.0150787j -0.0084656-0.00735966j -0.0147569-0.00453331j -0.00469706+0.00641292j 0.00230799+0.0113967j -0.0230463-0.00305442j 0.0185193-0.00161161j -0.0170803-0.00732814j -0.00653578-0.00569491j -0.00467181+0.00203224j 0.000203229-0.00261244j -0.015821-0.00447019j 0.00166058+0.0169485j -0.00543437-0.000142046j -0.0026321+0.00599465j 0.00602229-0.00183794j 0.0101072-0.00696463j 0.00789555+0.00254748j 9.40458e-05+0.000925674j 0.00363075+0.00123439j 0.00140035-0.0169884j 0.020634-0.0125521j 0.0126753-0.012143j -0.00307209-0.00896953j -0.00472754+0.00638392j 0.000264902+0.00584902j -0.0106038-0.00635763j 0.00559579+0.00790416j -0.00948651-0.0109155j -0.00600997-0.0230828j 0.00486609-0.00301605j 0.0122446-0.00851816j 0.0181421+0.00181348j -0.0106247-0.00383416j 0.0140782-0.00340803j -0.00197953+0.0108024j 0.00424141-0.00566866j -0.0101801+0.0164434j 0.0312321+0.00953165j 0.000380882+0.0314268j -0.0516076-0.00703162j 0.00565023-0.0503174j 
-0.0386529-0.0740541j -0.0738056+0.0378287j -0.0197762+0.0377791j 0.0427869+0.0198084j 0.00496706+0.0337278j 0.0209143-0.0307902j -0.0454653+0.00576582j 0.0318952+0.0356554j -0.0147251+0.0209655j 0.00684396-0.00982028j 0.0207029+0.00306189j -0.0132167+0.0214921j 0.0217994+0.0369702j -0.00301048+0.00812753j 0.0101588-0.0210729j 0.013933+0.0250993j 0.0420046+0.000291668j 0.00655047-0.0149111j -0.00458438-0.00745126j 0.0351815-0.00697396j -0.0219932-0.00797787j 0.0302671+0.00163857j 0.0212241+0.0118046j 0.0171993-0.0238225j 0.00243238+0.00807087j 0.0181926-0.000132226j 0.0118953-0.0354347j 0.0141174-0.00771034j 0.00965913-0.0134168j -0.00115402+0.000392772j -0.0139033+0.0239808j -0.0117829+0.0135576j 0.00608955+0.0130738j -0.00969623-0.00811223j -0.000103905+0.0252456j -0.0330108+0.0283549j -0.0121526+0.0176627j 0.0160998+0.0332062j -5.75228e-05-0.0286443j 0.00449224+0.00232199j 0.0137242+0.023347j 0.00835958-0.0119143j 0.0260144+0.0186372j 0.0270883+0.0343633j -0.00199716+0.000582105j -0.0247323+0.013518j -0.00573544+0.00837658j 0.0181336-0.00315545j -0.0231605-0.0233599j 0.0353807-0.02704j 0.0160587+0.00627816j 0.0256952+0.00352605j -0.0247238-0.0608425j 0.0553269-0.0290425j 0.0659655-0.00962999j 0.0103521+0.0670379j 
-0.0157239+0.0565436j 0.0566092+0.0162563j -0.0592454-0.0176398j -0.0179994+0.0637415j -0.00735469-0.0019046j 0.0151972-0.020448j -0.0468347-0.0178628j -0.00761425+0.0379821j 0.0152103+0.0023936j 0.00397447-0.0151758j -0.0150268-0.0111741j 0.0133535+0.00120297j 0.0257146-0.043886j 0.0200902-0.030193j 0.0175472+0.0319407j -0.0141109+0.00510832j -0.00249187-0.0107644j -0.00377755+0.00432486j 0.0160618+0.0360851j -0.0172475-0.0174092j 0.0329986-0.0102555j -0.0216396-0.0263348j -0.0108802+0.00872816j -0.00363065-0.0175569j -0.0026079+0.00384432j -0.0309075-0.0141146j 0.0197696+0.0143494j 0.00478638-0.00598754j 0.00670079+0.00249782j 0.0123195-0.00130957j 0.0172375-0.00363585j 0.0119304+0.0125928j 0.022593+0.0145895j 0.00119007-0.0191147j 0.0128942-0.0104184j 0.0258756-0.0182856j 0.0319964+0.00400765j -0.00373126+0.00014266j -0.00498065+0.00363508j -0.0163448+0.0217171j -0.0165046+0.000518456j 0.0247606+0.00937321j 0.00676613-0.00806709j 0.0201239-0.034939j -0.00140667+0.00669339j 0.0134925+0.00297193j 0.0101776+0.00785496j -0.016277-0.00869394j 0.00977178-0.0496826j 0.0600141-0.00350647j 0.0243857+0.0343514j 0.00228652+0.0381733j 0.0482318-0.0308294j 0.0319572+0.0374058j -0.0666925-0.0385905j 0.0392338-0.0655516j 
-0.0335641+0.0707089j 0.0704015+0.0342523j -0.108974-0.0208102j -0.0231514+0.111128j -0.00016571+0.014877j 0.0365449-0.0514467j -0.0972276-0.0301785j -0.00097397+0.0722152j 0.0114404+0.00380322j 0.00560367-0.0313559j -0.0126852-0.00952996j 0.0244117+0.0125891j 0.0435938-0.0635047j 0.020693-0.0386124j 0.0323386+0.0337967j -0.0181109+0.0176127j 0.00942614-0.0147618j -0.00476184+0.00178762j 0.0280689+0.0565772j -0.018947-0.0321522j 0.0421698-0.0172014j -0.0208318-0.0402569j -0.0128453+0.0237613j -0.00120586-0.0337208j 0.0041706+0.00591954j -0.0461755-0.0265847j 0.043235+0.0157963j 0.00486017-0.00394186j 0.0254478+0.00122035j 0.0149323-0.00111555j 0.0244531-0.00939339j 0.0181799+0.0164314j 0.0496349+0.0261751j -0.00123817-0.0322011j 0.0234991-0.00340666j 0.0292492-0.0293898j 0.0590789-0.00297315j -0.0125809+0.00150823j -0.00870631+0.00105034j -0.0332081+0.0391291j -0.0284695+0.0135769j 0.0382752+0.0172093j 0.0208068-0.0210522j 0.0339329-0.0493972j -0.00379269+0.025031j 0.0247852+0.0125176j 0.0219687+0.0355197j -0.0279621-0.038289j 0.0454884-0.0917847j 0.101294-0.00292671j 0.0533319+0.0624277j 0.0157854+0.0513677j 0.0337571-0.0727834j 0.0619727+0.030726j -0.0589275-0.0622925j 0.0626684-0.0608448j 
-0.0735203-0.192737j -0.192722+0.0710415j 0.0280035+0.104972j 0.113128-0.0366003j 0.00918262+0.0733199j 0.0235657-0.0412192j -0.0595994+0.0429672j 0.0876324+0.0494081j -0.0556713+0.059197j 0.018001-0.0159916j 0.0788804+0.0156845j -0.0387589+0.0574326j 0.0443823+0.133138j -0.0172773+0.0465048j 0.00306216-0.0728005j 0.0518818+0.0423944j 0.103137+0.00381076j 0.013311-0.0378998j -0.01899-0.0549924j 0.111043-0.0075589j -0.0840096-0.0128727j 0.0797905+0.0193252j 0.0449233+0.0226988j 0.038797-0.0482929j -0.00574064+0.0232632j 0.0738742+0.022036j 0.00752703-0.101696j 0.0284897-0.00448429j 0.00126107-0.0305621j -0.0166474+0.0235571j -0.0530851+0.0552429j -0.0327077+0.0355215j -0.0197871+0.021926j -0.0371948-0.0131747j -0.0109038+0.070361j -0.111174+0.0727672j -0.0682479+0.0443262j 0.0348354+0.0757553j 0.00242913-0.0694305j 0.0352946-0.0346326j 0.0296975+0.0411029j 0.0111068-0.0194862j 0.0473187+0.0673138j 0.0578526+0.108735j 0.00814432-0.0136104j -0.0598159+0.0226291j -0.0353526+0.0073302j 0.0433299+0.0303897j -0.0806501-0.0211326j 0.038239-0.0616998j -0.00406046+0.00764889j 0.0251918-0.0596745j -0.0845539-0.107061j 0.0963713-0.0761103j 0.195072+0.0311533j -0.0318073+0.195217j 
