-0.0801182+4.23056e-16j -0.227729+7.83412e-05j -0.292393+0.000937651j 0.304549-0.000635562j 0.110825+0.000208933j -0.0922112+0.000238102j -0.102311+0.00026823j 0.0186709-2.58777e-06j 0.0230119+0.000941998j 0.119055-0.000537818j -0.0142488+0.00182301j -0.622612+0.00361694j 0.0950518+0.00204551j -0.205523-0.000207158j 0.424063-0.00233872j 
-0.227729-7.83412e-05j 0.014081+6.52256e-16j 0.123293+8.55274e-05j 0.0679139-0.00151356j -0.147069+0.000136998j 0.0274029-2.26014e-05j -0.112503+0.00098485j -0.11368-0.00122799j 0.050383-3.30232e-06j 0.0590392-0.00110636j 0.145425+0.000469641j -0.0443518+0.00355134j -0.354638+0.00131605j 0.701979-0.00462514j 0.332407+0.00050291j 
-0.292393-0.000937651j 0.123293-8.55274e-05j 0.324138+2.47035e-15j -0.0583891-0.000280382j -0.277899+0.00109151j 0.105697+0.000739477j -0.128373-0.000385718j -0.273425-3.4851e-05j 0.107962+0.00130102j -0.0278321+0.00169615j 0.454581+0.000213125j 0.122035-0.00371791j 0.264756-0.000940615j -0.321673+0.00344401j 0.293749-0.000562362j 
0.304549+0.000635562j 0.0679139+0.00151356j -0.0583891+0.000280382j -0.391141+1.65775e-16j 0.100585-0.00128865j -0.0238767+0.000358519j 0.317822-0.000740782j 0.140831-0.00025604j 0.198745-0.000534592j -0.403725+0.00121531j 0.0820879-0.000431012j -0.00951669-0.00110318j -0.236003-0.000591424j -0.097361+0.00214028j 0.46111-0.00120264j 
0.110825-0.000208933j -0.147069-0.000136998j -0.277899-0.00109151j 0.100585+0.00128865j 0.101523+2.42888e-16j -0.14034-0.000480974j 0.0263774-0.00050229j 0.326752-0.000752021j 0.387593+0.000318515j 0.273573+0.000156927j 0.27611+0.00041127j 0.40781-0.00225144j 0.36241+0.000112124j 0.233336+2.72035e-05j 0.142309-0.000165008j 
-0.0922112-0.000238102j 0.0274029+2.26014e-05j 0.105697-0.000739477j -0.0238767-0.000358519j -0.14034+0.000480974j 0.0412875-1.46465e-15j -0.0825337+0.000214998j -0.178593-0.000920694j 0.638843-0.000836266j -0.00410088-0.000873425j -0.653733+0.00194809j 0.0252712+6.74989e-05j 0.0569989+5.83643e-05j -0.0104038+0.00040461j 0.0666911-0.000682717j 
-0.102311-0.00026823j -0.112503-0.00098485j -0.128373+0.000385718j 0.317822+0.000740782j 0.0263774+0.00050229j -0.0825337-0.000214998j -0.354745+5.03048e-15j 0.0697379+0.00117912j 0.0613371+0.000124073j -0.777066+0.00153247j 0.0271352-0.00139812j 0.137706-0.000678735j 0.0945841-0.000135221j 0.070485+0.000434191j -0.0709231-0.000117315j 
0.0186709+2.58777e-06j -0.11368+0.00122799j -0.273425+3.4851e-05j 0.140831+0.00025604j 0.326752+0.000752021j -0.178593+0.000920694j 0.0697379-0.00117912j -0.671413+6.395e-15j 0.0433622+0.00158504j 0.0804243+0.00128434j 0.0625214+4.70727e-05j 0.30875-0.00163849j -0.321153-0.000482427j -0.127207+0.00233735j -0.0075685-0.000656809j 
0.0230119-0.000941998j 0.050383+3.30232e-06j 0.107962-0.00130102j 0.198745+0.000534592j 0.387593-0.000318515j 0.638843+0.000836266j 0.0613371-0.000124073j 0.0433622-0.00158504j 0.357054+2.30474e-16j -0.0231189+0.000330102j 0.256192+0.000294141j -0.162687+0.00154482j -0.146216+0.000465737j -0.0486462-0.00206412j -0.210095+0.00140138j 
0.119055+0.000537818j 0.0590392+0.00110636j -0.0278321-0.00169615j -0.403725-0.00121531j 0.273573-0.000156927j -0.00410088+0.000873425j -0.777066-0.00153247j 0.0804243-0.00128434j -0.0231189-0.000330102j 0.106843-3.93099e-15j -0.00245194+0.000325413j 0.0221906+0.00049866j -0.116051-0.000258456j -0.0707111-0.000310186j 0.0492896+0.000323967j 
-0.0142488-0.00182301j 0.145425-0.000469641j 0.454581-0.000213125j 0.0820879+0.000431012j 0.27611-0.00041127j -0.653733-0.00194809j 0.0271352+0.00139812j 0.0625214-4.70727e-05j 0.256192-0.000294141j -0.00245194-0.000325413j 0.174953-1.46568e-15j -0.210655+0.00102401j -0.0915112+0.000818276j -0.033199-0.00130296j -0.187055+0.000564224j 
