0.197511-0.130661j -0.170433-0.303831j 0.212254-0.032221j 0.0634738+0.165528j -0.0462927-0.0401469j 0.00206448-0.0072937j 0.00697001+0.0521129j -0.0143402-0.0795868j 0.00234961-0.0134588j 0.028836-0.0508474j -0.0321731-0.0408792j 0.0211812-0.00603242j 0.0162802-0.00359481j 0.0343313+0.043541j 0.0253545+0.0274579j 
0.321724+0.316749j 0.393163-0.292717j 0.0886155+0.203632j -0.0426901-0.100509j -0.00716727-0.106705j -0.00105626+0.00194303j -0.0595402+0.0318604j 0.0322443+0.0164637j 0.0479826+0.012661j 0.0390431-0.0569957j 0.0200034+0.0143793j -0.0449819+0.0335148j -0.0600802+0.000843501j -0.00834132-0.00830354j -0.043581-0.00184459j 
0.234045-0.24539j -0.252637-0.227454j 0.097345-0.122508j -0.132066-0.0704808j -0.107323+0.0127991j 0.0322146+0.024818j -0.0254923-0.0224161j 0.0647461-0.0326065j -0.011948-0.00680429j -0.00120434-0.0460089j -0.0261123-0.0470939j 0.0129223-0.00107138j 0.0104998-0.00721764j 0.028682+0.0126188j 0.0125119-0.00200713j 
0.136609-0.140889j -0.104015-0.0486202j 0.00180713-0.0747859j -0.13253-0.393452j 0.0508671+0.0786233j -0.167991-0.0145209j 0.00653532-0.0752058j 0.0553097+0.0264031j -0.0459612-0.015976j -0.0129062+0.0080228j -0.011168-0.0098142j -0.0384907+0.0270403j 0.0266778-0.00261016j -0.0152515-0.0448007j 0.00442931-0.0274828j 
-0.0140697+0.0169059j 0.0146338-0.114438j 0.236166+0.142383j 0.404442+0.0641839j 0.120527+0.175025j -0.185166-0.210737j 0.13244+0.0237355j -0.179736-0.0369267j -0.0429644-0.0795337j 0.0835764-0.0139531j -0.0102398+0.0544409j 0.00131224-0.0117907j 0.00980707+0.00166792j 0.00237987+0.0754839j 0.113138+0.0566307j 
0.161107-0.0519588j 0.118273+0.0944754j -0.179813+0.0693573j -0.208147-0.470213j -0.278443+0.295859j 0.252832-0.0892953j -0.0361964-0.181994j 0.0861291+0.174699j 0.0234521-0.00347957j -0.00169067-0.0769158j 0.0282747+0.0210267j 0.0245644-0.0440317j -0.0714883+0.00503368j 0.0555848-0.0528422j -0.033651-0.0335811j 
-0.156844+0.0891276j 0.00891408-0.0179146j 0.269413-0.138373j -0.047721-0.127053j 0.413242-0.129586j -0.254732+0.156589j -0.0459991-0.0930622j -0.0304026+0.137847j -0.0393353+0.0213397j -0.00613555-0.0866622j 0.0062659+0.00738429j -0.0133671-0.0508254j 0.0547966-0.0460933j -0.0323642-0.00918176j 0.0660736+0.025148j 
-0.00480432+0.0943599j 0.0186489-0.0830771j 0.0161312-0.106811j -0.155236+0.248737j 0.082093-0.256231j -0.013206+0.144223j -0.0480135+0.079787j 0.0491005-0.048292j -0.0359025-0.037298j -0.0259001+0.0326043j 0.0106952+0.0652015j -0.0436312+0.0390352j -0.0470119-0.0655382j -0.0908952+0.154326j 0.153204+0.00459432j 
