-0.0112386+0.00520903j -0.131552+0.0970549j -0.116186-0.0537303j -0.00421039+0.0308107j 0.0332466-0.0345558j -0.0545557-0.0178806j 6.06455e-05+0.00673715j -4.72099e-05-0.0151687j 0.00307162-0.0412177j 0.0304079-0.0193245j 0.0133003-0.0774443j 0.0165883+0.0151329j -0.00359684+0.0359874j -0.00453883-0.0113795j 0.0426472+0.00378471j -0.00905592+0.0199158j 0.0180462+0.0258852j -0.0367494-0.0142046j 0.0143483+0.00630815j -0.0116052-0.0851101j -0.00910845-0.0180236j 0.0553007-0.0126564j -0.00364903+0.00351841j 0.00957569+0.0281997j -0.0286711+0.00744433j 0.0455674-0.0367303j -0.0349521+0.0207709j -0.00214361-0.0637142j 0.0139581-0.0927934j -0.00620286-0.00949728j 0.0179986+0.030018j 0.0128494+0.0116437j -0.0180045-0.00922292j 0.0152403-0.0270595j -0.00853241-0.0314544j 0.00636139-0.0190037j -0.0217803-0.00375387j -0.00116895+0.0135244j -0.0331268+0.0105101j -0.0130874-0.00119903j -0.0227085-0.0594496j 0.00188687-0.0201139j 0.00795991+0.00307882j -0.00863181+0.00696225j -0.00725973-0.00241142j -0.0232268-0.0357325j 0.0287047+0.00082701j 0.00992224+0.0206584j 0.0374231+0.0124275j -0.0146822+0.00607465j -0.00135929+0.0396871j 0.0103782+0.0230277j -0.0514191+0.0424072j -0.00627156-0.00345092j -0.0396268+0.0082136j 0.00384573+0.00333081j -0.0143535+0.000502658j -0.0247733+0.0296338j 0.0924459-0.0304116j -0.10502-0.0481461j 5.54413e-05+0.073806j 0.0590697+0.0326389j 0.0508152+0.0149231j 0.0085324-0.0523861j 0.0562882-0.116149j 0.0470656-0.057732j 0.0125989+0.0623906j -0.0584756-0.0383761j -0.0604131+0.0378051j 0.102306-0.0524606j 0.00610193-0.0194154j 0.0134585+0.0188057j 0.0282629+0.0227991j -0.0103512-0.0201851j 0.0513007-0.0124424j 0.00983974+0.0362617j 0.0362359-0.00423349j 0.023505-0.0109448j -0.0206937+0.0377782j -0.0181863-0.00372662j 0.0138307+0.111948j -0.25874+0.038909j 0.0392438+0.102521j -0.0733546-0.141247j -0.108191+0.208736j -0.10433-0.0878027j -0.048096+0.082069j 0.0052703-0.0162108j 0.00470324-0.07251j -0.0289054-0.124469j 0.105195+0.0606071j -0.169401+0.126264j 
0.129489-0.108769j -0.0261003-0.00682414j 0.00549541+0.0136511j 0.126144+0.0547763j 0.0120153+0.0116691j -0.0283477-0.0252378j -0.0495502-0.0456155j -0.0490531-0.0845042j -0.000958013+0.0187098j 0.014233+0.0502165j 0.0335622-0.0228408j -0.00118158-0.0174458j 0.0617038+0.0234526j 0.0105607-0.00611822j 0.0107111-0.0204763j -0.00828805+0.00115011j -0.0266313-0.00813125j -0.0330348-0.0312356j 0.0101576-0.00329728j 0.050574-0.0112117j -0.0316254-0.00241185j 0.0656128+0.0259224j -0.0321263+4.6418e-05j -0.0053083-0.0204973j -0.0131794-0.0345985j 0.0377065+0.0076934j -0.0164331-0.0143101j -0.0181758+0.0107126j -0.0158218+0.0221727j -0.0129588-0.0359472j 0.0054111-0.0318033j -0.0183229+0.0336696j -0.00954521+0.0028707j 0.0150765+0.000171474j -0.00666995-0.0101385j 0.00985083+0.0282917j 0.0128263+0.005035j -0.0101137-0.00200561j 0.0280159-0.0201672j -0.00445451+0.022005j 0.0167098+0.0313473j -0.00524898+0.01082j -0.0214567+0.0335305j -0.003384+0.0192607j -0.017687+0.00355356j 0.0419328-0.0447371j 0.00647045+0.0208981j -0.0553447+0.0177145j -0.043757+0.0266633j -0.013989+0.00254136j -0.0440935+0.00137247j 0.0142857-0.0278165j -0.0102545+0.00565323j 0.0150435-0.0205514j -0.0521073-0.0039529j -0.000413591+0.00127521j 0.00401914+0.000297962j -0.0572708+0.0202504j 0.03279+0.0838471j 0.0263926-0.0772258j -0.0954929+0.100695j -0.00112944-0.0693147j -0.0228495+0.0596216j 0.0805074+0.012374j 0.139122+0.0460922j 0.000182161-0.0123507j -0.0621563-0.00882265j 0.0173137-0.0683838j -0.00109854-0.010008j 0.0739249+0.0557782j 0.0471598-0.0469582j -0.024691+0.0770355j -0.0172993-0.014175j 0.0148182-0.0297477j 0.0342976+0.0198793j -0.0710942-0.114624j 0.00991361+0.00125172j -0.0703526+0.0371206j 0.104284+0.0167813j -0.118078-0.097228j -0.125906+0.0786512j 0.0355814-0.220253j 0.00578245+0.00275223j 0.178289-0.0398019j -0.134784-0.0327887j 0.00686335-0.0816458j 0.030957-0.141314j -0.00940027-0.0336321j -0.0127329-0.0570795j 0.103627+0.0495482j -0.168954+0.131902j -0.0939591-0.0369643j 
0.00962494+0.102757j 0.0136818-0.0326287j -0.0669558+0.00913302j 0.00527894-0.0235282j 0.0534365-0.00810304j 0.0203462-0.00197915j -0.0704422-0.0317653j -0.0392066+0.0232867j -0.0631622-0.0393971j -0.0332654+0.0238551j -0.0388581-0.0597439j 0.00866589-0.000260512j -0.0180658+0.0394313j 0.000577624+0.0116332j 0.0538848+0.0333798j 0.0306704+0.0100071j -0.039143-0.0201215j 0.00100419-0.0113316j -0.027938-0.0353834j -0.00704618-0.0139088j -0.0439639-0.00060773j 0.111717+0.0833931j -0.0604191-0.0476791j -0.00511286-0.0271029j -0.107763-0.16966j 0.0150989+0.0157945j -0.0571417-0.0186027j 0.0545761+0.0171503j 0.00660267-0.0455028j 0.0583153-0.0258403j 0.0221074+0.00799451j -0.03889+0.00864263j -0.036698-0.0169019j 0.0233501-0.0581779j 0.0544037+0.027446j 0.0431137+0.0054442j 0.0431716-0.0330456j -0.0401944+0.00413757j -0.0120704+0.01441j -0.0032016+0.0148175j 0.0492201+0.00270225j 0.00852623+0.0269862j 0.00255994+0.0332836j -0.0115589+0.0388154j -0.0988934-0.0198965j 0.0931777+0.0230728j 0.0610434-0.116669j 0.0828555+0.0293405j -0.0395475+0.0386114j -0.0406073+0.0677751j 0.0282391-0.0540923j 0.0535176-0.0164039j -0.00712743-0.0240078j -0.0723747-0.106156j -0.14409-0.078322j 0.232792+0.125388j -0.0343888-0.0228595j -0.132672+0.0596662j -0.0128231-0.0812729j 0.0525246+0.069626j -0.0299415+0.0320779j -0.0146269-0.032399j -0.0115726-0.0674588j 0.0555677-0.0587032j 0.00591467-0.00331097j -0.0511144-0.0568521j -0.0152348-0.0178188j 0.0115375+0.0349752j 0.0952694+0.0946623j -0.0898354-0.0440815j 0.029334+0.0104669j 0.0371512-0.010221j 0.020011+0.0266132j -0.0602777+0.0635796j 0.111598+0.0728142j -0.0185077-0.0166258j 0.111941-0.101821j 0.036293-0.0332642j 0.0440274-0.0705827j 0.0257935+0.0631836j -0.174243-0.0499917j -0.0150743-0.034652j 0.0893778-0.0327824j 0.110519-0.136677j 0.0641214-0.00887028j 0.0297032+0.114977j -0.0929252-0.160132j 0.0103372+0.0308645j -0.274932-0.138991j 0.0483711+0.0295842j -0.182504-0.188946j -0.146913+0.202237j 
0.0157267+0.0498058j 0.0322321+0.0646641j -0.00561982+0.0212314j 0.0697685-0.0551995j 0.0595803+0.103122j 0.0051959-0.0712761j 0.0905459-0.0138203j -0.0695291-0.01277j -0.0388466+0.00317407j 0.00193124-0.0292942j -0.0811873+0.00408976j -0.0622197+0.0434227j -0.00451953-0.0536646j -0.108728-0.0053771j 0.044854+0.0248699j 0.0754389-0.0796752j 0.0720988-0.0491119j 0.0342856-0.0171271j 0.103961+0.0367111j -0.0361491+0.0260562j -0.0442123+0.0101392j -0.1183-0.0155891j 0.0610004-0.00617755j 0.0629524+0.074387j 0.113286+0.111827j -0.0321249+0.00356994j 0.0377538-0.00197595j -0.0298124+0.0585092j 0.130089+0.0828651j 0.0492797-0.0677775j -0.00206282-0.0230405j 0.0294933+0.00723998j -0.0157414+0.0540533j -0.0239661+0.0259295j -0.010798+0.0413452j -0.00991384-0.00913561j 0.0083932+0.0105136j 0.0508485+0.0136071j 0.0765175-0.0419776j 0.0306205-0.0107421j 0.00688367+0.043872j 0.0141341-0.00674288j -0.00466894-0.0635391j -0.0343693-0.0515553j 0.109957+0.015604j -0.0785472+0.0326698j -0.0206848+0.0151461j -0.00199526-0.0345776j 0.000118956-0.0322697j 0.0261793-0.0898498j -0.0281364+0.0413619j 0.00695526-0.0118489j 0.0657426-0.00785169j 0.0348365+0.0197551j 0.0671064+0.00534981j -0.0519797+0.0102095j 0.099472+0.0632843j -0.100344-0.0532623j -0.0199773+0.0536606j -0.0183012+0.0295817j 0.0274863+0.0700273j 0.105264+0.114625j -0.185742+0.00623129j 0.0679692-0.0566664j -0.0384501-0.119431j -0.0139049-0.0481541j 0.0497347+0.0786434j -0.0219041+0.00865581j -0.0200259+0.0149927j 0.0315838-0.0107727j 0.00209267+0.00423673j 0.0840624+0.0302762j 0.0389902+0.0540905j 0.0818635-0.0381093j 0.015532+0.0860158j 0.0158534+0.0138982j 0.133953+0.00914671j 0.0338797+0.063293j 0.0598615+0.0343836j 0.060503+0.075091j 0.094657-0.13636j 0.0791329-0.0853183j 0.010644+0.00184073j 0.0367126-0.0151114j 0.0272164+0.0335693j 0.020477-0.0374795j 0.0211594-0.0624881j -0.115688-0.039292j -0.00166739+0.0211646j 0.278277+0.095604j -0.234303+0.1634j 0.18647+0.221106j 
0.00203755+0.00922446j -0.0251329+0.0156381j 0.0372422+0.020474j -0.0234636-0.039115j 0.107907-0.0471661j 0.0126648-0.0438698j -0.0826388+0.0873916j 0.0452229-0.0145288j -0.0846178-0.0144703j -0.0828823-0.0489957j 0.0282186-0.0213413j 0.0112346+0.00614611j -0.0607425-0.0192005j -0.0424422-0.0228021j -0.0265329+0.026001j -0.123582-0.00565469j 0.0295315+0.0216431j -0.0337388-0.000201459j -0.071887-0.00209097j -0.0426634-0.0202094j -0.034087-0.129899j -0.061704-0.0622549j -0.00441846-0.015012j 0.0693627+0.00748787j 0.112328+0.0487292j -0.0464526-0.0158926j 0.0878706+0.03882j 0.0741458+0.0227891j 0.0649858-1.39248e-05j 0.0689404+0.0166155j -0.0132125-0.00727631j -0.0244525+0.0423757j 0.0841277-0.062505j 0.0093186+0.0517837j -0.0613969-0.0768825j 0.0229639+0.0606395j 0.0575669-0.0392765j 0.0130128+0.083262j 0.00597294-0.0707396j 0.0571717-0.0564317j 0.0208414-0.0181366j 0.0456478+0.0123987j -0.185917+0.0723524j -0.00715899-0.00357922j -0.10183+0.00792497j 0.0866419-0.0971673j -0.0148037-0.136796j -0.0493837+0.0488967j -0.0871342-0.093252j 0.0961666-0.0772809j 0.0553412+0.0471202j -0.13056-0.116116j -0.0941529+0.0611689j 0.177027-0.115827j -0.1445+0.205746j -0.0437979+0.0570815j 0.10952-0.00488292j -0.0471119+0.0236223j -0.0756862-0.0675928j -0.0598785+0.0709881j -0.132836-0.0187161j -0.0171536+0.0290007j -0.00142714-0.0954374j -0.0361659-0.0706961j 0.0221003-0.132875j -0.00950899+0.0647568j -0.0180171+0.0275424j 0.060218+0.0249161j 0.0158974-0.053922j -0.0702264-0.0264229j 4.92571e-05+0.0830068j 0.0204045-0.0372802j 0.0386948+0.050923j -0.0657434-0.0346499j -0.0448151-0.0830137j 0.0340575-0.0701158j -0.0361044-0.0294264j -0.0876272-0.00913283j 0.0608189+0.0306602j 0.13917-0.00487654j -0.0300255-0.0390234j 0.0468469+0.0743146j -0.0134364+0.0253647j 0.0610477-0.0324816j -0.0312742+0.0493694j -0.0128422-0.0428711j 0.110131+0.10656j -0.0866263+0.0694343j 0.0893468+0.0168919j 0.0814242-0.102107j -0.0831097-0.0575692j -0.0810599+0.108158j 
0.0122079+0.010892j -0.029731-0.0166122j -0.00710112+0.0234983j 0.00994231+0.00292221j -0.0161332+0.0193384j 0.0331866-0.00744951j 0.00574957+0.00792907j -0.037024+0.0630827j 0.0606174-0.0951216j -0.0110631+0.119874j -0.0467224+0.00268331j -0.128396+0.0272428j -0.0485112+0.0378138j 0.0381016+0.0792143j -0.00887612-0.00388678j 0.154271+0.0529798j 0.0264837-0.00293999j 0.00904327-0.0369314j 0.0369354-0.0239155j 0.0372724+0.0797251j -0.0923662+0.0156142j -0.0116108+0.124163j 0.01282+0.0320486j -0.113828-0.118367j -0.0224696-0.0778242j -0.027503+0.113871j -0.020289+0.00120844j -0.00744231-0.0289122j 0.077168+0.0342629j -0.0421081-0.0290799j -0.104482+0.0309558j 0.0418011+0.0308241j 0.07811+0.0193143j -0.100959+0.0308107j -0.117813+0.062485j 0.0252933-0.0381361j -0.0836911+0.0212836j 0.0319102+0.0280722j -0.045887-0.00461673j 0.0117936+0.0902029j -0.0358283+0.0618355j 0.0503348+0.0451818j 0.050163-0.0313953j -0.0425015+0.014488j 0.0573211-0.000913018j 0.112961+0.0154668j -0.0109435+0.0322951j -0.000504589-0.0422198j -0.0638217+0.098073j -0.109409-0.0310085j -0.0101585-0.0413397j -0.139149+0.0316848j -0.00310383-0.0647348j 0.0878284+0.0218739j -0.0551895-0.0772693j -0.0424515-0.104673j 0.0947962+0.0730769j -0.0562105+0.00386948j -0.106712+0.00436229j -0.0648888-0.110501j -0.0859215+0.0210481j 0.0474044-0.031915j -0.169035-0.101252j -0.0579499-0.00410994j 0.0178452-0.0595586j 0.0555703-0.00907848j -0.0381273-0.0518571j 0.028099+0.00980497j -0.0304873-0.11668j -0.104325-0.0904505j 0.00847631-0.0707506j -0.0318637+0.0919214j -0.0466742-0.0700845j -0.0306759+0.041583j -0.0573251+0.00661111j -0.046288+0.0933993j 0.0556844-0.00238175j -0.0467482-0.0574475j 0.0548205-0.0513959j 0.0726333-0.0999912j 0.0766016+0.0171993j -0.0429578+0.0660326j 0.00998121-0.0680429j 0.011472+0.0497022j -0.0528482+0.0879396j -0.0768071-0.0887762j 0.0813702+0.025725j -0.0305834-0.0408426j 0.062037+0.0250262j 0.0604503-0.0809681j -0.0155637-0.0471912j -0.0209434+0.0490604j 
0.019964-0.00976009j 0.00615602-0.0206195j -0.0257509-0.0286974j 0.0237996-0.00255718j -0.057731+0.0052418j 0.0901321-0.0193285j 0.0353978-0.00226036j -0.103911+0.0529652j -0.0463541+0.0484652j -0.0364586+0.0366543j 0.0672356-0.0227457j 0.0369946-0.00287128j -0.14618+0.0833412j -0.133121-0.0375092j 0.0283575-0.0743433j 0.0854774-0.0584009j 0.0499261+0.0125315j 0.0841137-0.0376572j -0.0970766-0.00543459j 0.0322864-0.0878129j 0.0480172+0.00868634j 0.0519221-0.0279268j 0.0104551-0.0170323j -0.0569458+0.0377269j 0.0674357-0.0939325j -0.0423818-0.0994827j 0.0741033-0.0374516j 0.0731636-0.0200917j -0.105662-0.00253403j -0.0555319+0.0242549j 0.0198918-0.00417694j -0.0662805-0.0405867j -0.0478436-0.0224159j -0.0959402-0.00867972j -0.0051489+0.0418785j 0.0411352+0.0391048j 0.020908-0.0382221j 0.0350506-0.0468114j 0.111163-0.013005j 0.0335395+0.048193j 0.0390091-0.108601j -0.0365444+0.0335279j -0.113295-0.0452553j -0.020171-0.0541203j 0.000478065+0.024118j 0.0691138+0.0217744j 0.139491-0.0243324j 0.0276294+0.0231134j 0.0349167+0.0496075j -0.162779+0.158115j 0.0153027-0.118411j 0.0319614-0.0454177j -0.0652295+0.00788658j 0.0588721+0.0564587j -0.156215-0.160428j 0.0532442+0.0538905j -0.0354056+0.0188586j -0.102943+0.00641431j -0.0424839-0.00711624j -0.0104202-0.03276j -0.0936119-0.02708j -0.0282537-0.0908252j -0.0739898+0.0254222j -0.029991-0.00265573j 0.0180848-0.00128379j 0.00379145+0.0477624j -0.00191682-0.0402236j 0.0114231-0.000930372j -0.00521532-0.0456119j -0.107243+0.0385906j -0.0105405-0.0109516j 0.0486706+0.0194766j 0.0117149+0.0467519j -0.017492+0.00724303j -0.0655224-0.0240269j -0.00687854-0.000517098j 0.0511971-0.0314886j -0.0170969-0.0135958j 0.00421581+0.00890268j 0.0183137+0.00495971j 0.0861884+0.0466081j 0.0371609+0.0162679j -0.0252178+0.00143222j 0.00228907+0.0501168j 0.0754974+0.00758536j -0.0291492+0.0157778j 0.012908+0.040461j -0.025402-0.03743j 0.0117547-0.0441445j -0.0406652+0.0206497j -0.0222189+0.0355395j 0.0604347-0.0298413j 
-0.0363021+0.0132718j 0.0243019-0.0034797j 0.0210635-0.0296771j 0.00398071+0.0238243j 0.0246511-0.0998958j -0.0280617+0.156998j -0.0638662+0.0367196j 0.0523846-0.0118414j 0.00966219+0.0328648j 0.00259657+0.0340199j 0.100583-0.0959358j 0.0431358-0.0487388j -0.00436993+0.0128561j -0.070091+0.0719602j 0.0418982+0.0108051j 0.0945049+0.0667426j 0.0632714-0.01641j -0.0682088+0.0532828j 0.0168181+0.0321578j 0.0347409-0.030831j 0.00636752-0.00403457j 0.100535-0.00395454j -0.00614138+0.105708j -0.131245-0.0516034j 0.232022+0.0474175j 0.0701705-0.0107566j -0.0856223+0.0106948j -0.0263548-0.038248j 0.112089+0.0477687j -0.0304148+0.0422837j -0.152404+0.0802364j 0.00409636+0.0277243j -0.0165853+0.048812j 0.0772461-0.0446283j 0.0415386-0.0466893j 0.0189129-0.0301758j -0.00894123+0.0226802j 0.137195+0.0396245j -0.0322054-0.0162047j 0.0112935+0.000932786j -0.114747-0.142899j 0.0883773-0.010372j 0.0218112-0.0939378j -0.0372409+0.0581047j 0.052263+0.0954225j -0.00203244+0.0163844j 0.0106446+0.0859989j -0.0255982-0.0491054j -0.0639736-0.0275393j 0.0525776+0.0780254j -0.0878904+0.0353381j 0.0552334+0.132094j 0.053028+0.118803j -0.0147972-0.0320877j -0.0282848+0.0632889j -0.154919-0.137121j 0.0915104-0.090947j -0.0630725+0.0297824j 0.154917-0.0289071j -0.00175406-0.0414654j -0.0840721+0.0342776j -0.045017-0.0215311j 0.0918636+0.0488149j 0.00307398+0.0787668j -0.0114515+0.0470418j -0.0274215+0.000276979j -0.0745256-0.034755j 0.0399723+0.00800859j 0.044375+0.0488229j -0.0424518-0.0144063j 0.0273048+0.0115746j -0.0689399+0.0182162j 0.146438-0.0589005j -0.0598752+0.00257851j -0.00467695+0.0376932j -0.00973753-0.00310736j 0.0300259+0.00797702j -0.00402595-0.00602808j 0.0814049-0.0551047j 0.0165864+0.029772j -0.0409103-0.0776492j 0.0176592+0.0160262j 0.042555-0.0378863j -0.0122798-0.045266j -0.0177536-0.0385287j 0.0599774+0.0492512j -0.012548-0.0761944j -0.0540097+0.053915j 0.0102519+0.0767098j 0.107543-0.0187857j -0.0465798-0.0922369j -0.0431169+0.0377318j 
0.00690053+0.0176312j -0.0270519-0.0168493j 0.00178367-0.0238778j -0.0337848+0.0437719j -0.0633227-0.122226j 0.0560095+0.0116302j 0.0733299-0.044414j -0.0362347-0.0409112j -0.0185715-0.01431j 0.106345-0.00109423j 0.0696953+0.0619888j 0.00898166-0.0424088j 0.0293151-0.064094j 0.0732211-0.0302973j -0.102461-0.0070038j -0.126317-0.0868577j -0.0139951-0.00735015j 0.0862946-0.0923933j -0.109771-0.0871586j -0.147189-0.0238426j -0.0996704-0.0222715j -0.0156521+0.0289582j 0.1003+0.0452813j -0.0094332-0.0589387j 0.172493+0.153667j 0.0341374+0.0215472j 0.01927+0.0214051j 0.0164783+0.00896623j -0.0182063-0.0229689j 0.0346132+0.042633j 0.0499595-0.000564553j -0.024186-0.0709398j 0.0417841+0.0124724j 0.029223-0.0641835j -0.0416647+0.0233265j -0.0645395+0.124965j 0.0423278-0.0114397j 0.164418-0.0472829j -0.0326018+0.0675008j 0.0012707+0.0652407j -0.00242126-0.0748295j 0.0186301+0.0328544j -0.067851-0.0844757j 0.0432455+0.0062064j 0.012935+0.0637498j 0.0532591-0.0866708j -0.0241895-0.072781j 0.0967837+0.0520759j -0.148279-0.0636271j -0.12065+0.0644606j 0.149585+0.032858j 0.054477+0.0559364j 0.00860671-0.105318j -0.072463+0.0800172j 0.0778312+0.0664339j -0.0368495-0.0787455j -0.093091-0.0199408j 0.0571022+0.0167066j -0.0317101+0.0301442j 0.0564605-0.0451666j 0.0287699+0.00420372j 0.0708336+0.0245671j -0.0794662+0.0377899j 0.00617229-0.0330021j -0.0218372+0.00352861j 0.00931098-0.0527926j 0.0260533-0.0162755j -0.00266604-0.0213623j 0.00763599+0.0439775j 0.0129698-0.0275203j -0.0305899+0.000573906j 0.0155196+0.000460243j -0.0319557+0.0264477j 0.0176572+0.0151876j -0.0018863-0.0258219j 0.0455404-0.0184982j 0.0623627-0.0192846j 0.0204281-0.00833698j -0.024415+0.0103867j -0.00700431-0.00632342j -0.0588588+0.0135141j -0.00653551-0.0383351j 0.0677808+0.0388101j 0.00912189-0.0534595j -0.00393848+0.000311138j -0.0458193-0.0148051j -0.0162682-0.0125429j 0.0668372-0.00571907j -0.0469872-0.0536016j -0.0278889-0.00444483j -0.0466138-0.0267622j -0.0407863+0.0489597j 
0.0111441-0.0151695j 0.0165857+0.0138032j 0.0144787-0.0513863j -0.100217-0.00196052j 0.122845-0.101448j 0.0319151+0.0134637j 0.0717439-0.0316577j 0.000876602-0.0226963j 0.0618536+0.0356331j 0.0212747-0.00429798j 0.00938373-0.0479974j 0.0314645-0.00106386j 0.111384+0.037403j -0.0279104-0.0821026j -0.047412+0.0845801j 0.0668717+0.0786623j 0.0391914+0.00789558j -0.0114091-0.0011195j 0.117202-0.0404044j 0.00561418+0.0469805j -0.110154-0.0169088j 0.0895102-0.0394747j -0.0617199+0.0162273j -0.0576504+0.0189639j -0.0522611-0.0210802j 0.0433559-0.00354706j -0.075902-9.72786e-05j 0.0715018+0.0158447j 0.0681729-0.00962019j 0.00496988+0.0368026j 0.119695-0.045472j -0.0261883+0.0109052j 0.0528437+0.0367524j -0.0233976-0.0141558j -0.000993196-0.00469152j 0.0946182+0.0700594j -0.0837665-0.0416002j 0.164769-0.024015j 0.0710386+0.00158345j 0.0571358+0.0391523j -0.137505-0.101497j -0.0211039+0.0189464j 0.0791704-0.0270734j -0.116741-0.0222661j -0.0822699+0.0930607j 0.0474629-0.10511j 0.195447-0.0965931j 0.0255614+0.0648792j -0.10715-0.0324815j -0.176081+0.0759486j -0.0583284-0.0976738j 0.00498727+0.0277717j -0.0434413-0.0024627j 0.132513+0.0820154j -0.0378677-0.013521j 0.0341328-0.0712175j -0.0692276-0.0460653j -0.0690038+0.0485784j 0.0542441-0.0187768j -0.0264375-0.00213124j -0.0123078+0.0209584j -0.00994719-0.0120854j 0.054928+0.00173356j 0.0364618-0.00718936j 0.00449866-0.0108405j -0.00809568+0.0232076j 0.0392823+0.0355859j -0.0529484-0.0166137j -0.0206084-0.0447841j 0.0119985+0.0198381j -0.0302291-0.0249244j -0.0100882+0.0227357j -0.0224229-0.0232267j 0.0213092+0.0106309j 0.00966257+0.00924309j -0.0696116-0.00545695j -0.0427833+0.0138151j 0.0263751+0.0315925j -0.0344646+0.0153933j -0.0263564-0.00878612j 0.0514047+0.0229214j 0.0595389-0.0237718j -0.0453136+0.0237001j 0.00890275+0.058615j 0.0438438-0.00616396j -0.00660767-0.0216941j 0.0522703+0.0378942j -0.0311126-0.0249738j 0.0165272-0.0148399j -0.0400875+0.0509094j 0.0247551+0.105968j 0.0821951-0.0507181j 
0.00351804+0.00663451j 0.00847771+0.0150932j 0.0137102-0.00774287j 0.0118209-0.00483405j -0.0145034-0.069776j -0.103844+0.082394j 0.0292861+0.0780242j -0.126289-0.0060516j 0.0437955+0.0499663j 0.0919627+0.0395696j 0.104432-0.00201766j -0.0274241+0.07284j -0.0712471-0.0148883j -0.0367912-0.0133982j 0.0752646-0.0602791j 0.186732-0.00945288j -0.0863723+0.0546898j 0.0973996-0.0392431j -0.00596999+0.168084j -0.126553+0.0820335j 0.0376154+0.00156158j -0.129105+0.107334j -0.0538265-0.0613214j 0.0233264-0.0470535j -0.0586824-0.0459681j -0.0274759+0.136574j 0.00499822-0.0273763j 0.00512618-0.0970708j -0.0498121-0.0187974j -0.0829729+0.111519j -0.054385-0.0899598j 0.0614425+0.0366959j -0.17212-0.0306227j 0.105726-0.0344111j 0.0769056-0.124247j -0.0873692+0.11997j 0.040863+0.0499501j 0.0584349+0.0716558j 0.126753-0.0408306j -0.0179714-0.193003j 0.0851371+0.049132j -0.0164399-0.0918876j -0.160246-0.0937471j 0.0437414+0.0896419j -0.0875817+0.0083475j -0.0107492-0.0544216j -0.00268625-0.122354j 0.0541587-0.0605041j -0.0501955-0.0242905j -0.0336349-0.119852j 0.120554-0.0474116j -0.0347299-0.0514163j 0.0276395+0.0322223j -0.0409443-0.0724413j -0.0536277+0.0447742j -0.0464899-0.0163902j 0.0101315-0.0503411j 0.0240424+0.0193684j -0.0438914-0.0174418j 0.10031+0.0174088j 0.00390237+0.0430426j -0.00569156-0.040577j 0.0114169-0.00140041j -0.0121876+0.0184178j -0.00621318+0.0431291j 0.0102038+0.018627j -0.0265878-0.0578862j 0.00955296-0.0483726j -0.00825927+0.0403412j 0.0391767-0.0109284j -0.0257594-0.031221j 0.0138632+0.0324845j -0.033007-0.0493131j 0.0768434+0.176699j 0.0371074-0.028071j 0.0100361+0.0237288j -0.0853616+0.0927363j 0.0288362+0.0505417j -0.0287882-0.0345237j -0.0367941-0.0157366j 0.0122029+0.0265057j -0.0384315+0.0596246j 0.0171186-0.0605219j -0.00241105-0.00568377j -0.0513752-0.0105719j 0.0447822+0.0123219j 0.0017829-0.0306053j 0.00620167+0.0315629j 0.0167804+0.061025j 0.005855-0.0233697j 0.0770628-0.0385193j -0.0343006-0.0531044j 
