1.68017e-13+0.0275736j 2.28998e-13+0.160709j -1.18729e-13-0.0876491j -7.81461e-15-0.00597353j -2.0825e-14-0.0155932j -4.85401e-14-0.0353028j 4.38998e-14+0.0325082j -5.15349e-14-0.037382j -2.61449e-15-0.0024562j -1.18779e-13-0.0799208j -8.21168e-15-0.00543519j 1.11023e-13+0.0797053j 3.21787e-14+0.0240249j 8.49416e-15+0.00637218j -7.00129e-14-0.0501786j -6.09363e-14-0.0424504j 4.72361e-14+0.0414547j -3.42768e-14-0.0203392j -1.38787e-13-0.109181j 4.67699e-14+0.0409449j -9.3133e-14-0.0562113j 1.29555e-13+0.0929821j -7.39279e-14-0.0588473j 1.08122e-13+0.0764676j -8.372e-14-0.0605514j -1.04954e-13-0.0647056j 2.35245e-14+0.0226562j -7.32924e-14-0.0865129j 3.31355e-14+0.0217377j 1.8034e-13+0.0988592j -3.26137e-14-0.00860356j -1.3795e-14-0.0211727j -1.27043e-13+0.013484j -9.29157e-15-0.0135674j -1.48883e-14-0.0237025j 5.9056e-13+0.0628636j -7.12488e-14-0.0456469j -2.036e-14-0.0246729j -1.85515e-14+0.0163144j -6.6982e-15-0.0469373j 8.37856e-15+0.00229431j -5.29397e-14-0.0995717j -2.84244e-14-0.0207711j 1.59258e-14+0.0160004j -1.43292e-13-0.105464j -6.76996e-14-0.0565026j 1.04429e-14-0.0159331j -1.24118e-13-0.0983279j 2.83323e-14+0.0204577j -2.83935e-14-0.00963147j -5.06034e-15-0.000384315j -4.80732e-15-0.00373587j -2.10969e-14-0.0125569j 3.03678e-16+0.000695997j -2.58327e-14-0.01695j 3.63362e-14+0.0264951j 6.57157e-13+0.0609416j 1.31344e-15+0.00218027j -6.84892e-14-0.04738j 3.17529e-14+0.0210463j -3.9438e-14-0.0283304j -7.23484e-14-0.047229j 4.46547e-14+0.0310724j -3.74495e-15-0.00270719j -5.05405e-14-0.0376149j -1.40781e-14-0.0110176j 1.88287e-14+0.0167306j 5.95177e-14+0.030151j -4.59077e-15-0.00322453j -5.28181e-14-0.0382523j -6.5359e-14-0.0460918j 4.24527e-14+0.0307356j 6.35028e-14+0.0461768j 1.63348e-13+0.11866j 1.33713e-14+0.010756j 4.86787e-14+0.0456792j 3.7188e-13+0.123515j 
5.04102e-13+0.147212j 3.29944e-14+0.00500447j -1.29054e-15+0.0676413j -2.18225e-16-0.00593844j -3.72223e-16+0.0831143j -7.77709e-17-0.0468479j 5.67218e-16-0.0125595j -4.17992e-17-0.0822062j 3.01232e-16-0.031274j -6.95823e-16-0.00844443j -1.75879e-15-0.0123007j -2.99341e-15-0.0316582j 5.45164e-16+0.0706207j -7.72956e-16-0.0872132j 1.58728e-15+0.0282964j 1.99207e-15+0.0636653j 1.77773e-15+0.0190386j -1.36423e-15-0.0384298j -6.83815e-15+0.0177627j 7.71257e-17-0.096583j -1.99683e-14-0.056168j -2.46898e-15+0.12124j 2.1563e-15+0.0175985j 3.54808e-15+0.00130795j -6.09245e-15-0.017872j -1.86742e-14-0.118231j 4.25801e-15-0.0538511j -3.1287e-14+0.0449087j -3.63921e-15+0.0153598j -3.93154e-14-0.072977j 1.66348e-14+0.0698155j 1.2165e-14+0.0607845j -3.18796e-13+0.0364491j -3.87208e-15-0.0697463j -1.53719e-14+0.0495731j 2.89622e-13+0.0367408j -8.4342e-15-0.0160576j 2.85114e-14-0.0267749j -4.928e-14+0.0282749j 1.47938e-14-0.00997665j -5.9951e-15+0.0105417j -1.94751e-14+0.026393j -3.99516e-16-0.0128527j 1.1144e-15+0.0122328j 1.93928e-16+0.0369693j -5.86304e-15+0.0348467j -6.62775e-17-0.018345j -2.43059e-15+0.0360107j 1.28132e-15+0.0247056j -1.66273e-14-0.0203406j -2.08679e-15+0.0261018j 6.32136e-15+0.0187878j 7.73884e-15+0.0632648j 1.77323e-14-0.0581814j 4.20347e-15+0.0107963j 1.23335e-15+0.111159j 3.46302e-13+0.0370443j 2.04241e-15-0.00320879j 5.12398e-15+0.0408491j 3.19081e-15+0.0254604j -1.68203e-16-0.0145708j -3.54101e-15-0.00866089j -1.40287e-16+0.0513201j 3.17843e-16+0.0555464j -2.82496e-16-0.0703792j -6.5285e-16+0.048611j -3.41213e-15+0.0152304j 9.79748e-15+0.0179915j -3.53076e-16-0.0833284j -3.74142e-16-0.00605337j 1.03199e-15+0.0225658j -8.54743e-16-0.0764026j -5.40279e-16-0.0436197j -1.49977e-16-0.00588977j 1.97819e-15+0.0223728j -9.59012e-15-0.109286j 1.44114e-13+0.078278j 
2.8528e-13+0.0807904j 1.85787e-14+0.0315523j 6.24715e-16-0.0719627j -4.79225e-15-0.28975j 7.4589e-16-0.096532j -1.57881e-15-0.0785304j -1.30281e-15+0.0654745j 2.02043e-15+0.105736j -3.08347e-15-0.139928j 1.29542e-14+0.0741925j -1.73554e-14-0.152555j 9.69275e-16-0.0394819j 2.35803e-15-0.14403j 5.99826e-15+0.0864428j 2.93292e-15+0.0507084j -1.4051e-15+0.0810916j -2.68924e-15-0.100218j -3.84335e-15+0.143318j 6.85027e-15-0.0115407j -2.55639e-15+0.03939j 8.969e-15+0.0285611j -1.04502e-14+0.00928596j -3.66328e-14+0.312684j 3.94211e-15-0.117564j 2.99141e-14-0.157631j 2.14066e-14+0.196841j -8.64547e-15+0.0793584j -4.04954e-14+0.0155983j -5.24017e-15+0.250053j -4.21607e-14-0.0620942j 1.26452e-14-0.02051j 7.89784e-15+0.153404j -4.99446e-14+0.0118119j 9.63855e-15+0.0535546j 1.6578e-14-0.0566916j -2.56049e-12-0.314422j -4.43941e-14-0.0278745j -1.28233e-13-0.000227592j 2.67803e-13-0.186915j 5.46463e-14-0.0663062j -1.44818e-14+0.0741778j -5.35586e-14+0.0455088j 1.47663e-14+0.0535192j 2.1156e-15+0.0771121j 1.05962e-14+0.0632118j 6.40389e-15-0.015869j 1.94927e-14-0.0713923j 4.59522e-15+0.0286596j 5.85409e-15+0.231008j 4.65719e-15-0.00243288j 1.83571e-14+0.00670558j 4.45055e-14+0.149704j 1.38254e-14+0.0110998j 2.71814e-14-0.0456749j 1.35267e-14-0.0901679j -9.11872e-16+0.000771795j 6.05579e-13+0.0644724j 1.16725e-14+0.00423554j 1.68686e-14+0.125482j 3.74326e-15-0.0457728j 2.44285e-15-0.00896375j -2.98517e-15-0.013229j -1.07563e-15-0.0700149j -4.40258e-15-0.128624j -6.98984e-16+0.0538604j -1.76481e-16-0.0276852j -1.00732e-14+0.0870163j 3.40968e-14+0.055076j 3.22128e-15+0.0981618j -1.3034e-15-0.128768j -9.05874e-16-0.00102399j -3.2542e-15-0.0900147j 2.58894e-15+0.138062j 5.38695e-15+0.0938436j -1.66364e-14-0.152245j -1.37502e-14-0.0978989j 1.64575e-13+0.0902898j 
-1.80031e-14-0.0043988j 3.9917e-16-0.00419383j -5.32514e-15+0.165807j 4.08533e-17+0.165278j 2.28193e-15-0.0933047j -2.0104e-15+0.00783537j 1.02472e-15+0.0724057j 5.15014e-16-0.0931952j 2.5258e-15-0.111864j -6.91112e-16+0.0215615j -8.18057e-15-0.125337j -4.03992e-15-0.0696604j -3.16993e-15-0.100096j 4.44203e-15-0.0974792j 6.18312e-15+0.213455j 8.27385e-15+0.0974391j 1.57219e-14-0.0383307j -3.45213e-15+0.0157562j -1.81955e-14+0.0664323j 4.8724e-15-0.315235j -2.59855e-14-0.0794071j -8.87912e-15+0.365281j -2.58344e-14+0.182282j 2.6784e-16-0.264465j 1.77513e-14-0.0967673j -1.73705e-14-0.0802301j 4.01482e-14-0.00687775j -2.78627e-13+0.439152j -6.46327e-14+0.203758j 3.64825e-14+0.0270821j 9.1474e-15-0.0872337j 1.34765e-13-0.071771j -2.21157e-12+0.222697j 5.53377e-14-0.118396j 9.46515e-14-0.144273j 2.30191e-12+0.285342j 4.91696e-14-0.042763j -7.4628e-14-0.230609j 2.42014e-13-0.261242j 9.76995e-14-0.0943151j 2.44806e-14-0.085766j 8.85987e-14-0.126508j 1.5471e-14+0.128773j -2.20919e-14-0.0726858j -1.49607e-14+0.268172j 1.76405e-14-0.0909527j -2.78933e-14-0.00707833j 2.63766e-16+0.0649946j -2.68193e-15+0.0559589j 3.29444e-14+0.0493532j 8.18859e-15-0.105177j -2.49306e-14-0.00793694j -1.09545e-14-0.111176j -2.2146e-14+0.0942982j -2.07776e-15-0.0343853j 4.95332e-15-0.0446512j -6.57074e-15-0.000615769j -3.03654e-15+0.0444652j -1.04114e-14-0.0758157j 3.39154e-15+0.0175882j 6.43137e-17-0.0325793j -1.25798e-15+0.0301742j -1.94506e-15+0.0126589j -7.04956e-15+0.0284856j 3.94628e-15-0.0167303j 1.86397e-15-0.0527866j -1.20506e-14+0.0496086j 3.50276e-14+0.0581723j 2.25272e-15-0.0802487j 4.78702e-17-0.0514718j -1.09068e-15-0.00715779j -1.16056e-15+0.0557494j 3.99292e-16-0.0862971j -2.4299e-15-0.120778j 1.32866e-14+0.157364j 1.4726e-15+0.0613196j 1.14968e-15+0.00561643j 
7.47751e-14+0.0234988j -2.0865e-14+0.0403462j 1.02894e-14-0.01073j 1.11836e-14-0.0120933j -1.2409e-13+0.169877j 1.57049e-13-0.216913j -9.77458e-14+0.131929j -7.39539e-14+0.096059j 2.53667e-14-0.0368633j 1.34997e-13-0.22846j -6.14046e-14+0.0932511j -5.12275e-16-0.010481j 7.60475e-14-0.102928j 9.67883e-14-0.13509j -8.23031e-14+0.117942j -2.51355e-14+0.0527433j -6.75307e-14+0.104128j 1.61376e-13-0.215191j -1.07465e-13+0.125736j 2.92488e-14-0.0384489j -2.66703e-15+0.000524397j 5.81042e-14-0.0539296j 7.34197e-14-0.0897192j 1.11576e-14-0.0307534j 1.30216e-13-0.196239j 8.03659e-14-0.165667j -1.09753e-13+0.127401j 1.30765e-13-0.0924716j -8.05339e-15+0.0120569j -5.499e-14+0.114355j -5.91071e-14+0.0601265j 7.05877e-14+0.0503899j -2.11845e-12+0.201187j 1.29958e-14-0.0632799j -1.73074e-13+0.15197j -1.25379e-12-0.166243j 8.25465e-15-0.122129j 1.43424e-13-0.148052j -2.06132e-13+0.0451018j 5.76033e-13-0.299335j 5.32838e-14-0.042821j 1.36046e-13-0.0851557j 4.93948e-14-0.0866626j -4.64881e-14+0.0435606j -6.52862e-14+0.09329j -1.30812e-13+0.141929j -4.07944e-14+0.0233954j -5.55123e-14+0.0529264j 1.04561e-14-0.00217125j -4.48036e-14-0.138357j -9.91713e-14+0.108125j 7.82109e-16+0.0316534j -4.14842e-14+0.0497289j -2.09919e-15-0.00913484j -7.96401e-14+0.111725j 5.13634e-14-0.0713029j -4.67927e-13-0.0548741j 2.5525e-14-0.0656194j 1.08798e-13-0.181543j -9.36704e-14+0.157064j 3.65471e-14-0.0456847j 1.72562e-14-0.0276406j 1.15008e-14-0.00679759j 1.08356e-13-0.154217j 7.67748e-14-0.115114j -3.44289e-14+0.0523814j 1.20739e-13-0.1425j -1.99749e-14+0.23696j -7.62172e-15+0.0138118j -6.74557e-14+0.0912633j 3.48335e-14-0.0533758j 1.36946e-13-0.187577j -4.59009e-14+0.0607929j -2.90107e-14+0.0399338j 1.45804e-14-0.0198754j -1.9958e-14+0.0254082j 1.48901e-14+0.0157664j 
1.07778e-13+0.031651j 5.76068e-15-0.01193j -4.48462e-16+0.0267301j -1.41194e-15+0.0202003j 5.74199e-15+0.0684441j -1.02529e-14-0.159815j 3.26038e-17-0.0528427j 1.04375e-15+0.01841j -3.7398e-15-0.0384464j -3.86449e-15-0.00280285j 2.00435e-14+0.109346j -2.0824e-14-0.24359j 2.33601e-15+0.11131j 3.32047e-15+0.0642819j 4.58413e-15+0.0208108j 4.69358e-15+0.153465j 3.17161e-14-0.230898j 1.19614e-14+0.0200614j -5.94685e-16-0.0638635j 2.38362e-14+0.14077j 1.01943e-13+0.216895j 1.818e-14+0.213684j -7.80616e-15-0.023088j -6.92873e-15-0.00623156j -5.08305e-15+0.0634456j -9.85225e-15-0.089318j 5.04846e-15+0.00457479j -7.23066e-14+0.128756j -2.64317e-14+0.0570546j -1.46955e-15+0.00987461j 1.24272e-14+0.0419363j 2.81565e-15+0.0830129j -5.27715e-13+0.0585332j -6.15134e-14-0.227739j -9.65726e-14+0.324383j 5.16074e-13+0.0625054j 6.44464e-14+0.124678j -2.73839e-14-0.072543j 1.01311e-13-0.109713j -1.92721e-13+0.159574j -2.05486e-14+0.102856j 1.39123e-14-0.0496157j 1.95487e-14+0.169613j -5.00079e-15+0.11238j -2.31553e-14-0.118662j -3.04075e-14+0.0558443j -4.97427e-14+0.162322j -6.73617e-15-0.0265359j 1.51787e-14+0.0718146j 1.31909e-13+0.0922617j 3.09125e-14+0.0831563j -6.23636e-14-0.11551j -2.66081e-14-0.258126j 6.74988e-14-0.152075j 2.14263e-14-0.17119j -3.3934e-15-0.102976j 8.80329e-13+0.092795j -1.75007e-15-0.0777145j 2.91445e-14+0.169142j 3.50486e-14+0.141819j -1.26911e-14+0.165225j -8.14625e-15-0.0260443j -1.37362e-14-0.0192055j 3.9792e-15+0.117075j 5.61484e-15+0.0459232j 5.84582e-15+0.0862504j 9.06519e-15-0.0976135j 7.79496e-14+0.111315j -1.69249e-15-0.033748j 6.27046e-15+0.100735j 7.45285e-15+0.0589252j -9.7073e-15-0.108197j 2.62255e-15+0.0419778j 5.49275e-16+0.00493175j 8.96626e-16+0.0277601j -3.02174e-15-0.00373797j 1.59597e-14+0.00952995j 
-1.69193e-13-0.0487105j 2.46291e-14+0.0857529j -3.47004e-14-0.0957242j -7.85574e-15-0.0317392j -4.36556e-14-0.118838j 4.16744e-14+0.135749j 8.07643e-15+0.0197066j -1.97825e-14-0.0637204j -5.49701e-15-0.0168244j -6.81897e-14-0.149972j 4.74769e-15-0.00112083j 1.01467e-14+0.020537j -3.94925e-14-0.10033j 5.31831e-14+0.135031j -3.57178e-14-0.113118j -4.72212e-15-0.00870343j 2.81571e-14+0.0799195j -7.0544e-14-0.16509j -1.9073e-14-0.0729241j 7.66337e-14+0.247487j -3.23129e-14-0.0732586j 9.91825e-14+0.232878j -3.83159e-14-0.118368j -6.31597e-14-0.141553j 2.33933e-14+0.0576511j 4.36367e-14+0.0862459j 6.02132e-14+0.160247j 1.90823e-14-0.00367783j -1.30822e-14+0.0142445j 2.52845e-13+0.256325j -1.7687e-13-0.264249j -5.66998e-14-0.0783801j 7.63914e-13-0.0870755j -1.62213e-14+0.0217532j -6.52466e-15+0.00975936j -8.19814e-13-0.0989094j 5.0153e-15+0.0254534j -5.98889e-15+0.000999981j -4.72145e-14+0.0197594j -3.62401e-15-0.00769497j -8.32938e-15-0.0156369j 6.20411e-15-0.0520177j -3.31137e-14-0.0758184j 1.13491e-14+0.00573369j -4.61047e-14-0.0341393j -1.8818e-14-0.0144119j -2.70826e-14+0.294482j 4.72254e-15+0.109712j 2.0296e-15-0.0117057j -1.90134e-13-0.129675j -9.61433e-15+0.0680763j -2.16816e-14-0.0291049j -1.23054e-13-0.248261j 1.0748e-15+0.171912j -2.5566e-15+0.0338444j 2.75988e-14+0.125426j 2.26153e-12+0.232204j 5.51139e-14+0.112261j -2.39039e-15-0.016008j 1.05137e-13+0.194815j -2.44868e-14-0.0753824j -3.43403e-14-0.0483361j 3.15104e-15+0.00653442j -4.49682e-14-0.121019j 3.83538e-14+0.10445j 1.12697e-14+0.0484069j -4.41402e-15+0.00614542j -2.84057e-14-0.028031j 1.7819e-14+0.0491019j -4.35122e-14-0.128163j -1.3929e-14-0.0325565j 6.56419e-14+0.180126j 6.16559e-16-0.0151997j 2.09828e-14+0.050087j -2.03635e-14-0.0470363j 1.56103e-14+0.0325188j 3.24786e-14+0.0176122j 
1.60417e-13+0.0466617j 2.13181e-15+0.00514986j -1.2636e-15+0.0897987j -2.34419e-15+0.0281215j 1.36886e-14-0.0629329j -1.64657e-14+0.125314j -5.87755e-16+0.0245371j 9.72849e-15-0.0467617j 5.60646e-15-0.0729729j 1.62359e-15-0.261896j 5.3765e-16-0.127259j 3.57943e-15-0.102458j -4.45898e-15+0.0708418j -2.51902e-15-0.162161j 6.53195e-15-0.0521152j -6.4504e-15-0.018037j -2.57395e-14-0.00341464j -3.8078e-14+0.152052j 8.73931e-15-0.0148017j -2.23738e-14+0.183509j 2.36112e-14+0.0905963j -2.66433e-14+0.0385677j 6.49216e-15-0.0458951j -2.88093e-15+0.00171574j 3.19604e-14-0.117499j -1.38959e-14+0.0173965j 1.35583e-14-0.157508j 6.10296e-14-0.112085j 3.18972e-14-0.156427j -4.78647e-14-0.0118735j -1.93768e-14+0.211372j -8.67327e-14+0.0626444j 1.33643e-12-0.13104j -4.70474e-14+0.179558j -8.8552e-14+0.11576j -3.50062e-13-0.0425782j -2.07135e-14+0.0460785j 2.41833e-14+0.0337893j -8.42686e-14+0.0831788j 1.86737e-13-0.128679j -2.39263e-15-0.0592807j -3.60956e-13+0.400456j -5.74661e-15-0.274721j 4.44249e-14-0.00327424j -8.14865e-15+0.0976715j 3.76445e-14-0.0364519j -1.27702e-14+0.0545438j 9.10094e-15-0.119866j -7.36529e-15-0.0285443j -1.94601e-13-0.115256j -6.42746e-14-0.142623j -1.34769e-14-0.0105982j 1.46218e-14-0.0979668j 7.16709e-14-0.141633j 2.34093e-14-0.0406116j 1.0822e-14+0.130833j 1.56826e-12+0.171785j 2.36995e-14-0.255074j -5.74578e-15+0.0937736j 1.19093e-14-0.063109j 3.03603e-14-0.0922375j -7.75181e-15+0.076744j -5.63181e-15+0.0332727j -6.21227e-15+0.0269166j -3.1938e-15-0.0841239j -2.43018e-14+0.140033j -3.0133e-14+0.108572j 1.18617e-13+0.220345j -1.05214e-14+0.0488475j 1.46851e-14-0.137698j 3.05797e-15-0.0723376j -2.38352e-14+0.137082j 5.92035e-15-0.0924964j 6.29207e-16-0.102939j 3.9854e-15+0.0510915j -5.34828e-15-0.0200594j 3.4624e-14+0.0217663j 
3.25495e-14+0.00476072j 3.57749e-15+0.0520626j 3.01193e-15-0.0923042j -7.93291e-16-0.0342126j 6.39314e-15+0.00898414j -2.70086e-15-0.0313425j 8.84398e-15-0.0551332j 1.50166e-15-0.0544532j -1.66065e-15+0.0506922j 1.1539e-14-0.0116946j 6.8356e-15-0.0477239j 1.64924e-14-0.0410912j -1.1647e-14+0.0554687j -1.8772e-14+0.172756j 1.12254e-14-0.00806895j -1.93975e-15+0.0037068j -6.6846e-14+0.163493j -4.51475e-14+0.128002j -3.86056e-14+0.154536j -1.79428e-15-0.000104166j 1.80771e-14+0.133134j -8.25823e-15+0.115953j 2.73785e-14-0.152103j 7.08023e-15-0.0191237j 6.58399e-14-0.324991j -2.42269e-14-0.11783j 2.11988e-14+0.00368021j -9.86601e-14+0.129691j -3.70192e-14+0.112145j -1.04413e-14+0.0554805j -1.87948e-14+0.158416j 5.01703e-14-0.0396817j -6.10092e-13+0.0625047j 1.19583e-14+0.0937904j 1.13985e-13-0.211037j 1.06501e-12+0.129032j 4.71348e-14+0.0594367j -1.87351e-14-0.102539j 1.43001e-13-0.138375j -2.8654e-13+0.176335j -8.56186e-14+0.192412j 1.96295e-13-0.245583j 5.73432e-14-0.18799j 4.72103e-14-0.210984j -7.5233e-15+0.0587236j 5.31751e-15-0.0801003j 1.18187e-14-0.00862705j 1.50835e-14-0.0574651j -5.34076e-15+0.098171j 2.42953e-13+0.153373j 7.05639e-14+0.104252j -3.04803e-15-0.0412444j -1.0715e-14+0.172341j 1.73727e-14-0.0406717j 7.56596e-15-0.0516372j 3.03868e-14-0.322989j 1.13473e-12+0.12411j 3.65308e-14-0.124209j 4.25163e-15-0.0868618j 3.12643e-15+0.115361j 5.19201e-14-0.204644j -1.48775e-14+0.0847276j 1.15974e-14-0.021797j -1.58831e-14+0.096883j -1.9354e-14+0.124328j -3.87742e-14+0.184998j -1.9565e-14+0.0661763j -3.44649e-14-0.0526969j -8.66878e-15+0.0237408j -1.78595e-15+0.0547258j -5.99493e-15+0.0719627j -9.84008e-15+0.0379351j -2.2019e-15+0.0353404j 2.98547e-15+0.110384j -6.38364e-15-0.0480327j -5.79364e-15-0.000367692j 4.55718e-14+0.024844j 
5.31861e-13+0.146325j 3.4896e-14+0.141227j -2.68297e-15-0.121772j -2.69669e-15-0.0986263j 2.77008e-15+0.0915319j -3.64431e-15+0.0406577j -2.05315e-15+0.000944102j -2.44478e-15-0.157498j 4.94148e-15+0.0664304j -1.28168e-14-0.10008j -6.46506e-15-0.0751964j -2.98739e-15+0.0592079j -2.47429e-15+0.00965948j 1.08411e-14-0.0628626j -2.00108e-15+0.00400269j -8.38079e-16+0.00571926j 7.29414e-15-0.0320763j -6.81053e-15+0.0396518j 3.153e-14-0.216706j -1.85639e-14-0.0819976j -5.05811e-14-0.182336j 7.49717e-16+0.208306j -7.5845e-15+0.0555152j 5.53861e-15+0.098102j -1.99912e-14-0.00408334j -1.60985e-14-0.119972j 7.26496e-15-0.0334778j -8.34288e-15+0.00356858j 1.90804e-14+5.353e-05j -1.68898e-14-0.100815j 1.55972e-14-0.0127365j 2.63551e-14+0.228019j -3.89866e-13+0.0529953j 4.20167e-14-0.154099j 3.91929e-14-0.0431377j 1.8251e-12+0.228729j 1.17705e-16-0.122951j -7.41734e-15-0.194296j 1.6957e-14-0.088818j 1.94393e-13-0.158366j 4.87144e-14-0.0807847j 1.74335e-13-0.234256j 1.8712e-16+0.0819584j -3.14845e-14-0.0523306j 2.78567e-15-0.0101275j 4.21537e-14-0.26161j 4.96943e-14-0.061357j 2.07646e-14-0.0458413j 1.16096e-14+0.094137j 3.25532e-13+0.213005j 8.61281e-14+0.0883909j -6.05382e-14-0.181254j 1.62916e-14-0.0298558j 5.82124e-14-0.165755j 1.50892e-14-0.0199593j -2.8188e-15-0.0683787j -4.21107e-13-0.0473788j 1.60409e-14+0.277194j 1.76301e-14+0.143479j -1.73118e-14-0.080505j -9.46057e-15-0.0304669j 1.80423e-15+0.0248111j -4.05008e-15+0.250394j -1.81126e-15-0.0786761j 1.08589e-14-0.15753j 8.45772e-15+0.0592621j -5.70547e-15+0.0381826j 1.8221e-15+0.0113429j 6.27976e-16-0.0127589j 2.83537e-15-0.00831657j 2.45027e-15-0.0864915j -2.12329e-15+0.0702258j 1.7369e-15-0.0601917j 8.92948e-15+0.209228j -1.68901e-14-0.109143j -1.79019e-14-0.088578j 2.29432e-13+0.130987j 
7.25758e-13+0.213053j 3.56051e-14-0.0898097j 5.78407e-15+0.0442082j -7.51022e-15-0.08686j 1.32144e-14+0.156712j 3.67985e-15+0.0275384j -4.70141e-15-0.0812052j -1.23475e-14-0.188943j 1.63971e-15+0.0359946j 9.71961e-15+0.088069j -9.18793e-15-0.0458964j -1.05845e-14-0.0714966j 6.54467e-15+0.0263411j -8.52509e-15+0.0282033j 4.01704e-15-0.0109949j 9.35108e-15+0.0710367j -2.44267e-15+0.117163j -7.23425e-15-0.11491j -1.57019e-15+0.0966717j -1.93673e-15-0.015781j -4.73262e-14-0.126484j 1.86571e-15+0.0461413j 1.16141e-14+0.0203497j -3.47754e-15-0.10619j -1.21125e-14+0.100402j -2.37108e-14-0.123416j -1.24125e-14-0.0986956j -2.04359e-15-0.00618861j -5.68148e-15+0.0474554j -6.39771e-14-0.0959928j 1.82341e-14+0.0426665j -4.97704e-14+0.0035895j 1.0649e-12-0.108506j -3.33402e-14-0.0169649j -2.74544e-14+0.0636432j -9.13001e-13-0.11267j -3.41295e-14+0.0148399j 1.42328e-13+0.0870144j -3.16429e-13+0.270572j -1.6321e-13+0.136296j -3.53003e-14+0.0851656j 1.17487e-14+0.0189304j -3.02333e-14-0.156932j 2.56885e-14-0.0385612j -1.67055e-15+0.0304204j -1.80471e-14+0.164615j -5.77117e-14+0.097005j -2.1345e-14+0.173215j 1.11085e-15+0.032705j -3.37943e-13-0.27952j -7.06142e-14+0.103671j 1.26244e-14-0.0202499j 2.35643e-14+0.210828j -3.64947e-14+0.0892777j -1.86272e-14-0.0711337j 4.72311e-15+0.28942j 9.06009e-13+0.0971245j 1.56591e-14+0.0250918j 2.56138e-14+0.0852988j 1.09918e-15+0.00393912j -9.81113e-16-0.0275745j -2.72742e-15-0.0324461j 1.02124e-14-0.0127927j 4.4361e-15-0.0184465j 5.64926e-16+0.0908199j 8.70643e-15+0.0889535j -1.06934e-14+0.111809j -5.54799e-14-0.0831262j -1.06509e-14-0.176999j 2.54851e-15+0.0258402j 1.24422e-14+0.126123j -6.13813e-15-0.0920278j -1.57402e-14-0.171838j 1.4144e-15+0.0438786j -1.18546e-14-0.0607759j -2.54198e-14-0.241161j 7.11744e-14+0.0260833j 
