9.10504e-15+0.108595j -2.92591e-14+0.309726j 2.68805e-15-0.231721j -1.31977e-15+0.00243866j -2.23461e-15+0.0237393j -1.64085e-15-0.0825732j 1.45685e-15+0.0231847j -2.88372e-15-0.0163918j 2.46869e-15+0.0135214j -8.67245e-15-0.220824j -1.19577e-15-0.0870432j -7.31268e-15+0.193924j 2.0544e-16+0.0576896j -2.30913e-15+0.0105619j -7.14912e-15+0.0104859j -4.83723e-14+0.173438j 1.03367e-14+0.051105j 3.91025e-14+0.0850727j 8.76952e-12+0.0786937j -4.82419e-14-0.301282j -1.01319e-15+0.135475j 1.50578e-15-0.0224044j -2.01955e-13+0.151266j 2.69713e-14+0.00953163j -7.00106e-15+0.0013158j 1.40685e-14+0.0539612j -1.16358e-14+0.180621j 2.52889e-15-0.0891252j 6.09791e-13+0.204844j -2.48187e-14+0.118217j 3.61535e-15-0.248643j 4.26651e-15-0.0819023j -3.55013e-15-0.0061414j 8.90571e-15+0.0895759j -8.47071e-16-0.0309078j -1.10795e-15-0.106085j 2.53936e-15+0.0779618j -2.52384e-14-0.00812262j -1.62511e-14+0.17069j 1.62244e-14+0.039516j 6.72586e-14+0.0380579j 7.05065e-14+0.122601j -3.60888e-15+0.0501468j -1.44141e-15+0.151641j -3.71353e-15+0.0371634j -3.80723e-15-0.051674j -3.55283e-16-0.029445j -2.46855e-15+0.0588048j 1.02593e-15+0.050158j 7.43392e-16+0.0509486j 1.65256e-15-0.0805445j -1.71687e-15+0.116149j 2.8426e-15-0.280803j 1.04994e-15-0.00766649j -8.4382e-14-0.082916j -2.01044e-14-0.248421j 
-4.44215e-14-0.264191j -9.31222e-15+0.00489172j -2.42106e-14-0.171138j 3.33791e-15+0.0145914j 2.49659e-14+0.145276j 2.49942e-14+0.140007j -1.11637e-14-0.0753363j 3.79747e-14+0.223968j -5.40888e-15-0.0266919j 1.23447e-14+0.0537872j -6.95816e-15-0.0635626j 9.81965e-15+0.109288j 1.46104e-14+0.0931485j 2.86674e-14+0.206051j 3.86078e-15-0.0221278j 1.26102e-14-0.0814055j 8.07512e-15+0.0475005j 2.51062e-14+0.185819j -3.39168e-12-0.0307209j 4.90483e-14+0.184078j 4.98991e-14+0.286322j 9.12927e-16-0.0218442j 1.2388e-13-0.107703j -1.12437e-13-0.265717j 3.91275e-14+0.224546j 2.30919e-14+0.0829024j 3.2226e-15-0.0663552j -7.39989e-15-0.0452239j -7.44906e-14-0.0175863j -4.98007e-15+0.0242184j -1.93009e-14-0.170497j 6.60139e-15+0.00350827j 9.21512e-15-0.084035j 1.43735e-14+0.0662171j -3.60062e-14-0.137979j -1.08341e-14-0.0670033j -3.14459e-14-0.227067j 2.36242e-14+0.0673523j -2.06993e-14-0.0781058j 4.08169e-14+0.0307618j -6.51425e-14+0.0146204j -1.04505e-13-0.17763j 1.25342e-14+0.0856681j -1.02125e-14-0.0564886j 1.57688e-14+0.0822767j 2.03206e-14+0.110113j 1.19911e-14+0.0709822j 3.47175e-14+0.22037j 1.68431e-15+0.012984j 4.90233e-15+0.0337165j -2.83641e-14-0.17747j 1.27556e-14+0.0905705j -1.01946e-15-0.0294739j 6.19072e-15+0.0452668j -1.1635e-13-0.173606j 1.17202e-14+0.163923j 
-2.10057e-15-0.164015j 1.13996e-15-0.0442075j -5.35709e-16+0.0698517j -3.41357e-15+0.242987j -3.17046e-16-0.0013919j -2.39351e-15+0.0833317j -1.16769e-16-0.00702769j 1.72793e-15-0.174366j -4.6143e-16-0.147694j -2.11902e-15-0.0815975j 9.66395e-16+0.137813j -3.32052e-15+0.093566j 4.21854e-15-0.0584702j 4.74539e-15-0.102581j 3.87838e-15+0.00174262j 1.67585e-15-0.00447187j 1.36397e-14+0.0948235j 6.09145e-14-0.148392j 4.18993e-11+0.377189j 7.10241e-15-0.00979694j 7.52307e-15+0.0427209j -4.35883e-14-0.248705j -4.8915e-14+0.0684816j 7.50376e-14+0.183736j 2.66219e-14+0.214353j -2.43475e-14-0.128508j -1.9743e-14+0.167374j 7.95532e-15-0.00529705j 4.44943e-13+0.155435j -3.51384e-14+0.154134j 1.08103e-15+0.0911542j -1.99367e-15+0.0718392j -1.50612e-14+0.110636j 6.97611e-15+0.0920135j -1.86744e-14-0.34373j -8.47443e-15+0.162727j 1.08079e-14-0.0455656j 8.92787e-15-0.117293j -2.33667e-14+0.18965j -4.38761e-15-0.00520317j -5.8433e-14-0.1533j -5.83432e-14-0.00981377j 1.21348e-15-0.0946566j 5.7738e-15-0.0391084j -1.60051e-15+0.000809063j 1.97044e-15+0.069933j -5.3307e-15+0.0185624j 3.76881e-15-0.0746279j -3.16361e-15-0.0568303j 1.86356e-15+0.0226024j -6.84736e-16-0.132634j 3.30416e-16-0.116676j -1.43282e-15+0.0810195j 1.81164e-15-0.118349j -6.12106e-14-0.128004j -1.14171e-14+0.156174j 
1.99815e-16-0.0559482j 4.14862e-16-0.0159774j 2.93545e-15-0.0471207j 3.44088e-15-0.0184058j 5.523e-15-0.149381j 1.07587e-14-0.239674j 1.20166e-15+0.062469j -6.54032e-15+0.193347j 2.61977e-15-0.0930807j 3.88217e-15-0.0312055j -9.31788e-15+0.274584j 1.09713e-14-0.13954j -1.49856e-15+0.119681j -6.53557e-15-0.0188763j 2.80928e-15+0.0565816j 3.79414e-14-0.175797j -1.54533e-14-0.103743j 1.16673e-14-0.103125j 9.56611e-12+0.0862371j -5.55317e-16-0.043527j -2.63146e-15+0.29679j -7.70709e-15-0.0678442j -1.51213e-14+0.0111149j 1.77295e-14+0.110738j -2.40542e-14-0.325712j 2.32763e-14+0.15316j -2.56351e-15+0.0280906j 4.18354e-16-0.00438357j 1.48447e-13+0.0406399j 2.36532e-15+0.00724355j -2.88952e-15-0.169954j -5.3677e-15-0.0212995j -2.46006e-15-0.0613678j 2.52901e-14+0.0372173j 1.98935e-14+0.0598434j 4.77529e-15+0.276381j 8.80619e-15-0.0278459j 4.2479e-14-0.252927j 3.02725e-14-0.0697921j -6.38721e-14-0.105344j -5.68325e-14-0.0460712j -5.37864e-14-0.110072j -1.18078e-14+0.0426757j -4.02262e-15+0.0777361j 2.40828e-15-0.122084j -4.78951e-15+0.209896j 4.89546e-15-0.242065j -4.31346e-15+0.126j 3.9428e-15-0.184384j -3.94667e-15+0.00778026j -1.09834e-14+0.198226j -5.24216e-15+0.120538j 3.55136e-15-0.0373733j -3.08254e-15+0.0478712j -2.02098e-14-0.0456758j -5.29418e-15+0.0601221j 
-1.08174e-14-0.106795j -3.5182e-15+0.0183669j 8.40717e-15+0.0809445j 1.41681e-14+0.155061j 1.14703e-14+0.111938j 9.60479e-15+0.0526721j 6.52263e-15+0.0817959j -4.42388e-15-0.0271561j 1.28443e-14+0.125901j -4.03178e-14-0.260217j -1.1405e-14-0.0676687j -8.69751e-15-0.168835j 2.75246e-14+0.220245j -1.80772e-14-0.134068j 5.66678e-15+0.038063j 1.0496e-14-0.105892j -1.8526e-14-0.0473321j -3.37847e-14+0.0618369j -2.46665e-11-0.221829j -9.57346e-15-0.0328406j -4.59983e-15-0.0145137j -7.07341e-14-0.157044j -1.18149e-13+0.084443j -3.263e-14-0.103564j -2.20315e-14-0.185592j -3.40889e-14-0.251015j -3.22634e-15-0.014928j -8.84933e-15-0.102417j 1.08494e-13+0.0367711j -2.1549e-14+0.0535328j -2.73385e-15+0.106324j 2.75247e-14+0.354973j -1.71349e-14+0.0128546j -4.72857e-15+0.0651368j 2.27582e-14+0.164812j -1.11442e-14-0.20704j -1.41274e-15-0.160243j 2.19117e-14-0.196819j 2.52684e-14-0.0915401j 7.04534e-14+0.102241j 1.77946e-14-0.0159067j 1.68862e-14+0.0427538j 6.15667e-15+0.0598379j 1.95312e-14+0.213549j -1.75009e-14-0.0870402j -1.46248e-14-0.118293j -2.22355e-14-0.231273j 7.17318e-15+0.0278119j 1.68562e-14+0.126095j 1.09508e-14+0.0772637j -1.89188e-14-0.151438j -9.28695e-15-0.0785869j 9.66667e-15+0.0780413j -1.17772e-14-0.134358j -8.95352e-14-0.13673j -7.28808e-15+0.0719334j 
5.03006e-15-0.0867708j -1.07593e-14+0.0662433j -4.44566e-15+0.0516877j -9.97672e-15+0.179393j -5.74622e-15+0.0410006j 6.44168e-15-0.209338j -1.91781e-15+0.0511838j -1.57788e-15+0.0412822j -9.69143e-15+0.0819468j 4.79773e-15+0.170468j -3.00087e-15+0.0566694j 4.3674e-16-0.00220459j -3.81077e-15+0.0105994j 3.18669e-15-0.00295181j 7.11451e-15+0.0843573j 2.39883e-14-0.0884113j -6.41008e-15-0.0320858j 2.18831e-14+0.166584j 1.09579e-11+0.098318j -3.42996e-15+0.0925659j 9.83013e-15-0.110165j 6.01319e-14+0.349752j -7.22706e-14+0.0515728j 5.58802e-14+0.0856978j 1.36397e-14-0.0237825j 5.6679e-15-0.202802j -8.57296e-15+0.0758539j 7.73988e-15-0.128861j 4.30116e-13+0.14899j -2.92184e-14+0.124047j -4.19861e-15+0.154545j -5.63407e-16-0.289228j 1.23315e-14-0.0293196j 1.61233e-14+0.00260855j 1.36176e-15+0.188516j 8.96738e-15-0.209642j 8.47441e-15-0.200897j -2.80576e-14+0.172568j -5.16014e-14+0.135521j -6.25936e-14-0.131394j -8.91076e-14-0.0553545j -8.49521e-14-0.172527j 3.53882e-15-0.0609334j -7.5327e-15-0.0467203j 1.03808e-15+0.215901j -3.46705e-15+0.1222j 2.98977e-15-0.209794j -2.32839e-15-0.11062j -9.68706e-15-0.0763494j -2.92119e-16-0.0554104j -1.94204e-15+0.108992j -2.07622e-15+0.0290194j -3.00488e-15-0.0304942j 1.03617e-14-0.20645j -1.07213e-13-0.179475j -2.41572e-14-0.00236229j 
2.89475e-15+0.00234258j -8.48711e-15+0.0472159j -4.7141e-15+0.104211j -8.07827e-15+0.0732378j -6.46157e-15+0.148899j 6.30049e-15-0.0762793j -3.72874e-16+0.000909158j -1.91627e-15+0.0976682j -7.30123e-15+0.190104j -7.1903e-15+0.0856925j -1.10732e-15+0.065548j -8.38201e-15+0.107418j 2.72309e-15-0.0395744j 7.22651e-15-0.146354j 4.63184e-15-0.199481j -5.00141e-15+0.0471488j -8.48568e-15-0.0224906j 6.66896e-15-0.193654j 7.2203e-12+0.0653126j 1.5221e-15-0.0947338j 2.60121e-15+0.17495j -2.46604e-15+0.0174523j 1.74638e-14-0.0235122j -3.43306e-14-0.178959j -6.19913e-15+0.0393552j 7.14887e-15-0.153508j -6.08753e-15-0.0880538j 1.82663e-15-0.00618046j -4.10947e-13-0.13469j 5.14029e-14-0.165115j 1.42673e-15+0.0276819j 2.84328e-14-0.0599731j 1.02466e-13-0.376273j -9.28675e-15-0.17422j -6.78682e-15-0.156453j -1.74757e-14-0.144154j 1.83127e-15+0.21043j 2.43295e-14-0.268726j 3.76552e-14+0.051744j -1.55657e-14-0.0162123j 9.52966e-15+0.0128477j 6.26638e-15-0.00705497j 1.20055e-14-0.255047j -2.1141e-15+0.0852491j -4.21451e-15+0.0408813j -1.16208e-14+0.193528j 2.53135e-15+0.0680666j 3.11262e-15+0.0712328j -3.3727e-15+0.258604j 7.29505e-15-0.0867424j -3.33449e-15+0.0901898j -3.41343e-15+0.121136j -4.58345e-15+0.134167j 1.25296e-14-0.184693j -3.81968e-14-0.0519359j -5.84311e-15-0.0845345j 
2.61791e-15+0.00491327j -9.44471e-15+0.0991558j 5.45504e-16-0.0794425j -4.42564e-16+0.0144113j 2.41019e-16+0.0267117j -5.26868e-16-0.0225533j 4.57129e-16+0.0044286j 2.44222e-16+0.0162134j 1.3538e-15+0.011936j -2.21664e-15-0.0571093j -4.78375e-16-0.031772j -2.0176e-15+0.0668872j 3.40699e-16+0.0291089j -1.12049e-15+0.0167668j -1.8394e-15+0.0035426j -1.09812e-14+0.040973j 2.43524e-15+0.0171351j 1.18911e-14+0.0503275j 2.35496e-12+0.0210911j -1.38452e-14-0.0725242j 1.74296e-15+0.0595979j 3.9351e-15+0.00795031j -5.4892e-14+0.0404561j 2.46565e-15-0.0208889j -1.04434e-15+0.0167804j 4.3534e-15+0.0057148j -3.03862e-15+0.0510259j 5.50325e-16-0.039582j 1.95772e-13+0.0666949j -9.94406e-15+0.0428241j 9.4421e-16-0.0789009j 1.24474e-15-0.0336313j 4.55204e-16-0.0148836j 2.80271e-15+0.0315383j -1.48863e-15-0.0094448j -1.75546e-15-0.0569457j 2.07009e-15-0.00618635j -7.97572e-15+0.00728686j -6.90995e-15+0.0509445j 6.09171e-15+0.0103218j 1.13987e-14+0.0106414j 1.10778e-14+0.0146948j -1.61841e-15+0.0174328j -2.57668e-16+0.0435568j -3.06624e-16+0.0291566j -3.28414e-16-0.00153639j -6.82015e-17-0.015711j -6.62046e-17+0.031746j 1.15545e-15+0.0194295j 4.9464e-17+0.0157684j 4.92514e-16-0.0366591j 2.47368e-16+0.0440895j 8.46344e-16-0.0863143j -1.62436e-16-0.0138921j -4.13116e-14-0.0517804j -9.63658e-15-0.0622429j 
-7.77273e-14-0.102741j -2.68559e-14-0.0366694j -9.87628e-15-0.0143125j 2.08253e-14+0.0280657j 2.52981e-14+0.0333185j 3.44827e-14+0.0452234j -1.2211e-14-0.0167215j 4.0468e-14+0.0534577j -1.49937e-14-0.0194775j 1.80151e-14+0.0224083j 6.32473e-15+0.00765707j -2.05909e-15-0.00119854j 2.22944e-14+0.029338j 3.15226e-14+0.0440815j 5.84426e-15+0.00309621j -2.59935e-14-0.0552025j 4.41655e-15+0.0078754j 2.50658e-14+0.0373399j 1.94869e-13+0.00170532j 7.33294e-14+0.0842615j 5.10469e-14+0.0669291j -2.08939e-14-0.0234921j 2.31346e-14-0.0357786j -5.5571e-14-0.0547377j 4.23654e-14+0.0544167j 7.12495e-16+0.0011981j -1.36846e-14-0.0230737j -6.4826e-15-0.00928419j -3.67078e-14-0.00832542j 4.43709e-15+0.0126312j -6.25218e-15-0.00981114j 1.96789e-14+0.0264622j -2.56407e-15-0.00682615j 1.80104e-14+0.0223871j -3.28688e-14-0.0402921j 4.47257e-15+0.00476739j -6.40599e-14-0.0899821j 1.18021e-14+0.00386605j -2.58979e-14-0.0325818j 9.10976e-15+0.00248038j -4.33252e-14-0.0144656j -8.50213e-14-0.0670179j 1.48375e-14+0.0201182j -1.91855e-14-0.0260547j 1.01196e-14+0.0130051j 3.01076e-14+0.0392186j -6.23994e-16-0.000148261j 3.65058e-14+0.048841j -1.12287e-14-0.0144185j 6.96736e-15+0.00963154j -3.60135e-14-0.0480255j 2.50321e-16+0.00101842j 2.15318e-14+0.0279696j 7.65459e-16+0.00129444j -6.43464e-14-0.0555044j 6.34289e-14+0.0902262j 
5.5152e-17-0.0173638j -2.23588e-17+0.000114893j -9.29544e-17+0.00567705j -2.63963e-16+0.024562j 2.49965e-16+0.00432574j -3.33802e-16+0.00240514j -2.7769e-17+0.00223727j 3.17125e-16-0.00975922j 2.96373e-16-0.00569476j -5.42724e-17-0.00832643j -1.42372e-16+0.00906076j 2.97562e-16+0.00385162j 2.81097e-16+0.00240873j 1.04882e-16-0.00886037j 2.45939e-16+0.00278932j 1.38953e-15-0.00498748j 4.46219e-16+0.00506259j 4.01533e-15-0.00373795j 2.61241e-12+0.0235074j -2.2703e-17+0.000634231j 8.87749e-16+0.00345971j -2.23765e-15-0.0133425j -7.6639e-15+0.00768821j 5.22181e-15+0.0105111j 2.10917e-15+0.0109771j -2.00642e-15-0.0182189j -1.56024e-15+0.0131984j 5.26252e-16-0.00632875j 4.49273e-14+0.0156619j -3.95722e-15+0.0152673j -2.48438e-16+0.00969288j -9.47911e-16+0.00627999j -1.7544e-15+0.00632517j 4.00357e-16+0.0087458j -1.11803e-15-0.0168172j -9.38491e-16+0.00135036j 1.54074e-15-0.0126494j 9.89009e-16-0.009006j -1.67355e-15+0.0140641j -2.99405e-16-0.000809277j -5.85734e-15-0.0120591j -6.17844e-15-0.00460585j -3.31512e-16-0.00578019j 3.2e-16+0.00158015j 1.83492e-16+0.00341709j 3.85682e-16+0.00599692j -3.31608e-16-0.00885956j 3.35882e-16-0.00489079j 1.27219e-16-0.00268845j -2.16522e-17+0.00251411j 6.19525e-17-0.0113573j 3.14913e-16-0.00780445j -1.70772e-16+0.00539431j -1.39881e-16-0.0156561j -9.76121e-15-0.0177682j -2.32313e-15+0.0126923j 
-3.27039e-17-0.00245547j 1.71719e-17-0.000394537j 2.02463e-16-0.0106944j 3.0329e-16-0.0077238j 1.81441e-16-0.00535182j 7.82451e-17+0.000706894j 1.8026e-16-0.00287105j -1.08112e-16+0.00728746j 1.61444e-16-0.00947288j 4.32667e-17+0.00159537j 3.54212e-17+0.00276588j -2.33237e-16+0.00265839j 2.51564e-17+0.000387401j -3.85747e-16+0.0102613j 3.64613e-17+0.00232663j 2.83663e-16-0.00144943j 2.75925e-16+0.00108155j 6.67273e-16+0.00285108j 3.75479e-13+0.00337539j 8.22696e-17+0.00271506j 1.3955e-18+0.0114788j 8.19937e-17-0.0027564j 5.35091e-15-0.00358184j -7.02342e-16+0.000471395j -7.76682e-16+0.00210957j 9.54457e-16+0.0166152j 5.44561e-16+0.000799679j -1.21946e-16+0.00253034j 3.6386e-15+0.00100399j -1.20738e-16+0.00125795j 3.07013e-16-0.0137502j 2.3749e-16-0.00424681j -9.01038e-16+0.00363083j 9.96913e-16+0.00420926j 1.17146e-16-0.00484003j 3.32537e-16+0.0130678j -1.7678e-16-0.00256267j -3.65933e-16+0.00390498j -6.11277e-16-0.00303883j -4.66618e-16-0.00145349j -1.53667e-15+0.000804529j -1.27652e-15-0.00393428j -3.15482e-16+0.00729026j 2.76023e-16-0.00459916j 1.09564e-17-0.00189395j 1.94305e-17+0.0036873j -1.12584e-16+0.00346727j -1.58898e-16+0.00736647j 1.1236e-16-0.00950166j -1.32364e-16+0.00169736j -1.78679e-16+8.73634e-05j -1.25031e-16+0.0045064j 1.84622e-16-0.00707403j -2.86015e-16+0.0112706j 1.17847e-15+0.00142349j 2.55459e-16+0.00293926j 
