-4.84357e-15+0.405964j 2.32952e-14+0.049951j 1.79484e-15-0.0508957j 3.20384e-15-0.0149189j 3.38519e-16-0.0223184j -3.76836e-16-0.0508495j 4.66392e-15+0.0158184j -3.05209e-15+0.0311698j -1.6028e-15+0.0247645j -1.6075e-15+0.0022554j -3.37174e-15+0.0148826j -4.37048e-16+0.0366259j 1.167e-14+0.0319204j 7.19684e-16+0.0115243j 2.3022e-15+0.0393241j 3.07249e-15-0.00802449j -1.76642e-13+0.0360281j -1.06534e-14-0.0201973j 2.6539e-15-0.0579754j -8.36469e-16-0.0155261j 8.45422e-15+0.00901654j -3.76925e-15+0.0131644j 2.81145e-15-0.0755708j -5.76414e-15-0.00613058j -2.04711e-15+0.0812384j -2.74956e-15-0.0285379j -8.8196e-15+0.198732j -4.30378e-15-0.0866122j 2.39885e-13+0.0430016j -7.04961e-13-0.346574j -1.78583e-13+0.0641082j -4.51447e-14+0.236054j 2.32588e-15-0.0896596j -4.73987e-15+0.0168545j 4.91437e-16-0.00329646j -1.60341e-15+0.034627j -2.56482e-15+0.0135331j 1.10167e-15-0.0251392j -6.16767e-16-0.00317017j -4.42132e-16-0.00798367j -1.36962e-15+0.00305867j 1.35974e-15-0.0196107j -4.3596e-16-0.0145731j 3.65502e-15+0.00615869j 5.23307e-16-0.00500943j 2.20761e-15-0.00995498j 4.08087e-16+0.00484641j 9.16986e-16+0.00100769j 6.03213e-16+0.00493834j 7.77627e-16+0.0148079j 1.82283e-13-0.00322669j 8.13181e-16-0.00797755j -2.55732e-16+0.00234317j -2.32942e-16+0.000753675j -3.15092e-16+0.0111339j -1.33052e-15+0.00984191j -4.59367e-16-0.00666885j 6.82074e-16+0.00246653j 3.19486e-16+0.0155584j 6.40028e-16+0.00199415j 1.43441e-15-1.95692e-05j 8.56709e-16-0.0135183j 7.48426e-16-0.00311693j -2.73304e-16+0.00532217j 1.99248e-16+0.0149051j 1.83337e-15-0.0212989j -2.96548e-16-0.00960851j 9.76428e-17+0.0093446j -1.87566e-15+0.0131827j -6.25831e-16+0.0280364j 4.83528e-16-0.0393823j 2.63835e-15-0.0151527j 
2.5871e-14-0.0500017j -1.56454e-14+0.405551j -1.60924e-15-0.0142049j -3.65251e-15+0.0571712j -2.24019e-15-0.019701j -4.00344e-15+0.0173434j -8.99062e-16+0.0497611j 3.676e-15-0.0101753j -3.28199e-16+0.0217032j -3.30673e-15-0.00609831j 1.03123e-14-0.0479947j 1.30444e-15-0.00544986j 1.59919e-15+0.00609509j 2.88569e-15-0.0300077j -1.15556e-15+0.0314594j -1.22339e-15+0.0307345j -3.20303e-14+0.00739439j -4.3117e-15-0.0476395j -5.3506e-15+0.00782555j 1.76417e-15-0.0420043j 1.79853e-14+0.0495344j -2.39104e-15-0.00701857j -1.33479e-14+0.065421j -2.40005e-14-0.103965j 2.02921e-15+0.0385926j -1.14212e-15-0.0366651j 1.39809e-14-0.0849088j 1.79431e-14-0.186048j -4.00961e-14-0.346769j 1.59328e-13-0.0374013j -4.08796e-13+0.234323j -5.24869e-14-0.065831j -2.75113e-15-0.0296412j 5.5972e-15-0.0854743j -5.54688e-17+0.00755828j 1.3024e-15+0.0143994j 2.58919e-15-0.0425363j -8.78042e-16-0.00710714j 1.48554e-16-0.00792487j 1.48847e-16-0.00766876j 1.27164e-15-0.0238631j -1.27689e-15+0.00159818j -1.26117e-15+0.00565463j 1.10434e-15+0.00507248j -2.51031e-16+0.00413507j -5.36133e-16-0.000343959j -8.1701e-16+0.0131787j -6.14666e-16+0.0108136j 4.67266e-16-0.00293014j 6.03005e-16-0.00441535j -1.70799e-14+0.000300364j -1.21211e-15+4.92347e-05j -7.98867e-15+0.0159441j 7.31236e-16+0.00082604j 4.2774e-16+0.00796134j 4.05546e-16-0.0052367j 2.00681e-16-0.00912197j 5.52556e-16+0.00019841j 7.06841e-16+0.00328604j 4.89463e-16-0.00851902j -1.66356e-15+0.0213334j -9.50058e-16+0.00608842j -1.03309e-15+0.00670578j 6.86123e-17-0.00307175j 1.0999e-16+0.0151062j -1.85867e-15+0.0178333j 6.67585e-16-0.0159695j -4.63452e-18+0.00517179j 2.26657e-15-0.0280528j 4.67524e-16+0.0110882j -1.85809e-15-0.0155356j -1.24373e-15+0.0393688j 
-3.96468e-15-0.073959j -9.87797e-16-0.0441864j -6.30764e-16-0.294465j -3.10486e-15+0.0309948j -4.5933e-16+0.0322617j -1.21219e-15+0.0116764j 1.58535e-15+0.0362904j 1.08477e-15+0.0274397j -2.3138e-15+0.0104232j 2.08344e-14+0.0382648j 8.0822e-16+0.0128643j -1.67819e-15-0.0276775j 4.67871e-15+0.0157192j -8.69841e-16+0.00665084j 3.26864e-16+0.0018753j -1.96738e-17+0.00284463j -5.64322e-15+0.00114596j 1.76914e-16-0.00947391j -1.39946e-15+0.0118629j -2.18826e-15-0.0065055j 8.39418e-15+0.020042j 2.58164e-16-0.0198933j -2.7829e-16+0.00440244j -3.64465e-15-0.00943846j 7.52255e-18-0.0398373j 9.40458e-16+0.0233471j -4.4304e-16-0.0243541j -4.91142e-16+0.0222282j -6.34315e-14+0.0429646j 1.76031e-13+0.103585j 3.04006e-13-0.183614j 5.09646e-14+0.0778846j -6.55901e-15-0.428026j -3.97879e-16-0.539547j 2.04249e-15-0.102394j 6.20726e-16-0.0119533j -2.37972e-16-0.0938993j 2.5871e-16-0.0266919j 8.47067e-16-0.00935763j -4.51548e-16-0.0456852j -4.56507e-16-0.0128963j -1.54181e-16+0.0209888j -1.82455e-15-0.00245308j 8.41197e-15+0.0176957j -2.70097e-15-0.0284817j 1.88291e-15-0.00470368j -7.52173e-16+0.0154007j 5.91476e-17+0.00121373j 1.75906e-15+0.0165415j 1.15357e-15+0.00131202j 2.09533e-13-0.00371745j -8.82351e-16+0.00910286j -8.67351e-15+0.0202518j -1.21181e-15+0.00776419j 1.42035e-16+0.00902764j -2.58501e-16-0.00230404j -5.02509e-17-0.0239457j 7.03971e-16-0.00268022j 6.92905e-16+0.0211589j 1.11855e-15-0.00637852j 5.03111e-17+0.00705952j -1.40771e-18+0.0228508j 6.31935e-17-0.00760834j 3.98265e-16+0.0151175j 6.86177e-16+0.0258034j -1.62066e-16+0.0079998j -1.37538e-16-0.00819955j -7.32092e-16-0.0152822j 4.47127e-16-0.000975904j -1.53857e-16+0.0261673j -1.48803e-15-0.00837769j 1.72402e-15+0.0459718j 
1.61705e-15+0.0469588j -9.52612e-16-0.0831201j 3.55965e-15+0.0326886j 3.93447e-15+0.273231j 2.17558e-16+0.0303543j -1.40053e-16-0.00340526j -8.40848e-16+0.000106916j -1.32807e-15-0.0353691j -2.72514e-15+0.0261454j 1.34343e-14+0.0292348j 2.80538e-16+0.0155173j -1.03845e-16-0.0184706j 1.09469e-15+0.00182943j -9.45328e-16-0.000364184j 1.25444e-15+0.00149903j -1.28864e-15-0.0146804j 7.05641e-14-0.0144001j -5.98266e-15-0.0173573j -2.25686e-15-0.0312813j 1.27243e-15+0.0289994j 7.15252e-15+0.017712j -7.16795e-16-0.0171577j 4.32931e-16-0.00982002j -9.47805e-16+0.000404761j -2.06682e-15-0.0309486j -5.22262e-16-0.0429512j 1.91075e-15+0.00977139j -3.45022e-15+0.0332289j 5.57372e-14+0.102718j -1.53475e-13-0.0398962j -2.272e-13+0.0982208j -3.67538e-14+0.178129j 1.46897e-14+0.558216j -5.3293e-15-0.409038j -8.43649e-16-0.130481j -6.18937e-16-0.0016943j 1.86721e-16-0.0408855j 2.33659e-15+0.0960333j -3.31372e-16-0.0264262j -9.3405e-16-0.0430793j -4.49403e-16-0.0112879j -8.36497e-17+0.0372687j 2.00069e-15+0.0114915j -7.8252e-15-0.0225133j -4.54117e-16-0.0123398j -3.01904e-15+0.0221104j -1.07619e-15+0.00189394j -1.9462e-16-0.014004j -6.30994e-16-0.0021743j -2.96853e-15-0.0266302j -5.28811e-13+0.00940902j -1.92574e-15-0.0272492j -4.81537e-15+0.0128462j -1.44747e-16+0.00498352j -2.0435e-16-0.00684333j -1.89256e-16-0.0116241j -1.54584e-16-0.0158708j 5.89545e-16+0.00900517j 1.05057e-15+0.00595012j 1.29765e-15+0.00479999j -4.36055e-16-0.00178604j -2.30551e-17+0.0262979j 3.11712e-16+0.0194537j -6.33615e-16-0.0232837j 2.23823e-16+0.0195672j 4.70488e-16+0.0283094j 5.47747e-16+0.0278267j 2.51026e-16+0.0116405j 2.42034e-18-0.0270924j -2.1187e-16-0.00370371j 1.40998e-15+0.0485529j -1.04598e-15+0.0108779j 
2.03846e-15+0.0404899j 1.65411e-15+0.0680039j 8.2491e-17+0.00337321j -2.59289e-17-0.0186621j 2.59108e-15+0.179057j -2.30967e-15-0.0250957j -4.39264e-15-0.0167997j 2.27436e-15-0.038748j -1.07087e-15+0.0236133j 3.85634e-15+0.00941092j 1.98397e-15+0.00454764j 1.21552e-15+0.00177359j 1.29177e-15+0.000559519j -2.62601e-18+0.0124696j 4.91726e-16-0.01847j -7.86122e-16-0.000939964j 3.31237e-14-0.0062118j -4.01761e-15-0.0185848j 3.67276e-16-0.0287268j -3.84375e-16+0.00442472j 6.38281e-15+0.0142873j -1.08903e-15-0.00577105j -3.09634e-15-0.010344j -8.95315e-15-0.0225494j -3.98305e-17+0.00730228j -7.49339e-16-0.0530516j 8.0689e-17-0.0116195j 2.71605e-15-0.0273124j -3.73089e-15-0.0236234j 9.86509e-15-0.00372045j -6.99214e-14+0.0532682j -1.2254e-14-0.0842504j 5.2105e-17-0.100785j 1.83222e-17+0.160335j 4.45064e-15-0.784288j 4.29423e-16+0.230745j 3.92772e-15+0.137244j -2.72967e-15+0.203647j -5.46331e-16-0.0330038j 3.30876e-16-0.0203108j -7.16781e-16+0.00339348j -7.07709e-16-0.0302851j 1.21343e-15-0.0324921j -1.04735e-14-0.0380273j -2.67379e-15-0.0442384j -2.4857e-15+0.0191265j 2.97575e-16-0.0488398j -2.58107e-16-0.021897j -4.50374e-16+0.0162878j -1.15982e-15-0.00388048j -7.60005e-13+0.0134764j -6.175e-16-0.0112403j 5.0558e-15-0.00937912j 1.90893e-15-0.00565093j -5.1971e-16+0.0015575j -2.44671e-16+0.0117467j 1.51767e-16-0.0104016j 1.80145e-15+0.012304j 3.82921e-15+0.021341j 2.64231e-15+0.0208897j 3.83289e-16-0.0276993j 2.34595e-16+0.00872112j -4.59922e-18+0.0119347j -3.29147e-16-0.00393876j 5.90868e-17+0.0133621j -6.67475e-16-0.00905396j 1.77569e-16+0.0398075j 7.27701e-17+0.0242206j 3.68037e-16-0.00592218j -2.90295e-16+0.0103532j 7.81294e-16+0.0087946j -1.00084e-15-0.0284922j 
-5.22618e-15-0.115747j -7.61623e-16+0.0112882j -2.51238e-17+0.019275j 1.43597e-16+0.00943081j 1.29106e-15-0.00581728j -1.17594e-14-0.155559j 6.78229e-15+0.0216076j 2.08288e-15-0.0055412j -1.28162e-15-0.00315475j 5.46955e-16+0.00612639j 4.0018e-15-0.0331731j -5.53194e-17+0.00995581j -2.0282e-15-0.0010513j -6.25948e-16-0.0162113j -4.61898e-16-0.00955963j -7.67203e-16+0.00379913j 8.69995e-14-0.0177254j 2.22455e-15+0.00427128j 1.01638e-15+0.00580799j -5.27635e-18+0.00195523j -6.34632e-15-0.0144415j -3.30956e-16-0.00839876j 1.43166e-15+0.0159247j -1.09259e-15-0.00491833j 9.50439e-16+0.0109612j 6.94673e-16-0.0131432j -2.80565e-15-0.0622532j -9.94696e-16+0.00431328j -5.05274e-14+0.0167707j 1.41942e-13+0.0763824j 1.81281e-13-0.0969965j 2.97384e-14-0.0307153j 7.83392e-16+0.0845478j -2.39585e-15-0.00467619j 1.58021e-15+0.132237j 9.91542e-15+0.812066j 5.61808e-15-0.227051j -5.14374e-15-0.195516j -2.33479e-15+0.0377233j 3.41922e-16-0.0633491j -7.14956e-16-0.0788504j -3.19493e-15-0.0295759j -2.89828e-15-0.0324814j 7.61765e-15+0.0182679j 2.51944e-15+0.01769j -3.28797e-16+0.00652135j 9.18781e-16+0.0235204j 1.83653e-15+0.0188613j 1.42952e-15-0.00632202j 5.61633e-16+0.0173972j -6.48621e-13+0.0115511j 1.99336e-15-0.0116942j -6.54286e-15+0.0198448j 3.98971e-15-0.010831j 8.20568e-17+0.0113033j -5.41553e-16+0.0381596j -2.8312e-16-0.0126525j 1.52217e-15+0.0132517j -8.08881e-18+0.0203535j -7.24833e-16-0.00608079j -4.38657e-16+0.0180422j 7.09765e-16-0.0179087j -7.70087e-16-0.0119831j -2.89224e-16-0.0108634j 4.59033e-16+0.0263583j -1.48219e-15-0.0241797j 8.34164e-16-0.0231969j 1.46774e-15+0.0388895j -7.02794e-16-0.0278566j 1.95796e-16+0.0222337j -1.71232e-15-0.0363161j 1.07043e-15+0.0193471j 
-3.59306e-16-0.00701275j 6.51806e-15+0.104769j -2.34178e-15-0.0609708j 1.58605e-15+0.0418739j 2.19144e-15-0.0108143j 3.39517e-15-0.00775173j -9.75979e-15-0.127475j -2.50756e-15+0.00683846j 2.15535e-15-0.000920721j -2.15034e-14-0.0337384j -1.81151e-15+0.00225068j 1.9809e-15+0.00832804j -3.02815e-15-0.0115972j -2.5152e-16+0.0153399j -1.05795e-15-0.0108727j 1.39919e-15+0.0121979j -6.65876e-14+0.0135364j 9.08724e-16+0.00787852j -8.35623e-16-0.00129661j -2.86652e-15-0.019333j 3.48699e-15+0.00362531j -1.27155e-15-0.0100184j -2.53597e-15-0.0191169j -9.15548e-15-0.023578j -2.96197e-16-0.0021048j -1.51489e-15-0.00669665j 1.6268e-16+0.00973787j -4.16591e-17-0.0501265j -3.85909e-14-0.0892059j 9.93977e-14+0.0174743j 3.10186e-14-0.00772853j 1.71005e-15-0.0658499j 4.24645e-15+0.0485309j -1.31775e-14-0.244846j 1.90997e-15+0.0863436j 1.69916e-14+0.14576j 4.15223e-14+0.779978j -1.27953e-14-0.259521j 4.23751e-16+0.0493155j 5.77336e-15+0.138139j 2.50143e-15+0.0603441j -6.51366e-15-0.111194j -3.3342e-15-0.0211806j 4.56137e-16+0.004246j 5.15002e-15+0.0140651j 8.28886e-15-0.0548032j -1.11573e-15-0.0541905j -3.81638e-16+0.0166926j 2.99425e-15+0.0172221j 9.83762e-15+0.0501089j -1.53111e-13+0.00269439j 1.54205e-15+0.0332725j 1.51093e-14-0.0407619j -1.34213e-15-0.00548849j -1.17957e-15+0.000665905j 5.59504e-16+0.033378j -6.82982e-17+0.014582j -1.33186e-15-0.0148961j 8.64391e-16+0.00157391j 3.40944e-15+0.0170767j 9.80049e-16-0.028509j -3.67461e-15-0.0260242j -2.81385e-16-0.0173946j 1.86823e-16+0.0317517j 5.2391e-16-0.0114529j -1.50542e-15-0.0373184j -1.82268e-15+0.0184933j -8.19395e-16+0.0012347j 2.33866e-15+0.0464529j 4.45823e-16+0.0105738j -2.26973e-15-0.0377406j -1.99062e-15-0.0368377j 
1.02633e-15+0.0399372j 7.37817e-16-0.0127415j -3.24313e-16-0.0482159j -2.20891e-16-0.0833048j -6.09965e-16-0.0235695j 2.0168e-15+0.0050663j -1.45989e-15-0.00225428j -2.91093e-16-0.0985448j -4.22309e-16+0.00510965j 6.15649e-15+0.0122295j 1.77423e-15+0.00077163j 1.04106e-15+0.01313j 2.77895e-15+0.00650356j -1.27207e-15+0.0150535j -6.12787e-16-0.020636j -4.51725e-16-0.0054949j 2.51755e-14-0.00498861j -1.5257e-15-0.0153453j -1.35334e-15-0.00714904j -1.16951e-15+0.0042861j 2.08331e-15+0.00270015j 1.88518e-16+0.00801681j -1.93803e-16-0.0127293j 8.61918e-16-0.00220007j -2.00682e-16+0.0192639j 1.4825e-16-0.00947502j -9.84096e-16-0.00947738j -1.53962e-15+0.0117992j 3.98669e-14+0.019834j -1.11694e-13-0.0489576j 1.05244e-14-0.00340039j 1.44259e-15-0.018189j -7.84999e-16-0.143608j -2.15974e-15-0.0799532j 8.93806e-16+0.340292j 5.59021e-16+0.216866j 1.14764e-15+0.178168j 2.46339e-15+0.793996j -5.80802e-16+0.0652101j 2.27288e-15+0.049579j 1.95671e-15-0.0593865j -1.3806e-15-0.0487823j 4.08807e-15-0.0396493j -2.23676e-14-0.0719844j -5.296e-15-0.0447126j -1.1881e-14+0.0658948j -1.60413e-15-0.0491768j -1.25627e-15-0.0324748j -3.93189e-15-0.0121122j -6.55893e-15-0.0408381j -1.70329e-13+0.0030171j -1.54759e-15-0.0121037j 1.91962e-15-0.00415612j 4.22611e-15-0.0148958j 1.53767e-15+8.14647e-05j 1.01452e-15-0.0107447j 3.54381e-16+0.00409689j 7.86779e-16+0.034553j 3.91004e-15-0.00377859j 3.16458e-16+0.0210078j 1.37543e-16-0.015775j -1.64499e-15+0.00383141j 1.30015e-16+0.032993j 8.3911e-16-0.0173042j 2.02248e-16-0.00810729j 7.60919e-16+0.0138647j -5.10768e-16+0.0160645j -1.5026e-16+0.0254484j -1.80759e-16-0.0300522j 3.58613e-16-0.0408619j 2.55663e-16+0.0221927j -1.32647e-15-0.0278582j 
2.03659e-15+0.0843935j 8.68872e-16+0.000651483j 3.64305e-16-0.0692624j -3.65379e-16+0.0406657j -5.76728e-16+0.00402823j -1.85452e-16-0.00947743j 1.63005e-16+0.0141211j 8.23595e-16-0.00456773j 6.10251e-16-0.0641591j 2.35901e-15-0.00153658j 3.25939e-16-0.0279471j 1.1951e-15+0.0199019j -1.75867e-15-0.000628494j 6.16762e-16+0.00516877j -1.17784e-17-0.014404j 1.04387e-16-0.00145068j 2.48996e-14-0.0048703j 7.74514e-16+0.00205255j -9.67627e-16+0.0120329j 8.61741e-16-0.00567841j -4.45564e-15-0.0124194j -4.84312e-16-0.0114618j 1.27193e-15-0.0334778j 1.64921e-15+0.00934455j -1.34981e-16+0.0145428j -2.22568e-16+0.0155092j 9.02154e-16+0.0283257j 2.27301e-16-0.0108784j 3.29443e-14-0.0165064j -8.94373e-14-0.0516166j -2.98908e-14+0.00584751j -5.44284e-15+0.0610598j 7.64808e-17+0.0218636j -4.18833e-16-0.063274j 7.01866e-16-0.111945j -3.01215e-15-0.0161059j -4.48957e-15-0.183483j 9.47974e-16-0.0188934j -5.19444e-15+0.787108j 9.91253e-15+0.455478j 3.6086e-15-0.00608898j -2.28205e-15-0.0638377j -1.98799e-15+0.017529j -1.62018e-14-0.0105745j 6.76587e-15+0.0745031j 2.14322e-15-0.0116687j 8.46424e-15-0.0351559j 3.86627e-15-0.00374681j -1.67505e-15+0.00340052j 3.0257e-15-0.00386949j 2.62147e-13-0.00468954j -3.38566e-15+0.11269j 7.08106e-15-0.0406628j 8.74598e-15-0.0351517j -2.50915e-16-0.0137471j -9.92685e-16+0.0148646j -5.05202e-16+0.0499402j -2.63041e-16-0.00593537j 8.9342e-16-0.0446697j -4.80702e-15+0.000657473j -1.8423e-15-0.0212033j -2.19845e-15+0.00301368j 3.79085e-16-0.0391893j 4.77184e-16+0.0236739j 1.10536e-15-0.0351555j -2.13735e-16-0.0226479j 3.71439e-16-0.00643484j -8.42526e-16-0.00866976j 5.94783e-16+0.0212873j -2.22438e-16-0.0359463j -9.91874e-17-0.00107665j -1.14474e-16-0.00456093j 
3.14761e-15+0.0117676j 3.68862e-15+0.116863j 2.62304e-15+0.034866j 3.534e-16+0.0231298j -2.56405e-15-0.0306447j 1.33806e-15+0.00652008j 5.2607e-16+0.00631441j 2.56166e-16+0.0077486j -4.14564e-15-0.0137967j 3.54787e-14+0.0568619j -7.13407e-16+0.0180721j -1.67522e-15+0.00382373j -4.27988e-16-0.00363009j -2.86558e-16-0.0178882j 1.75499e-15+0.0210596j -6.84519e-16+0.00333068j 9.0429e-15-0.00186026j -5.30002e-15-0.0191699j -6.82853e-16-0.00847276j 1.35317e-15+0.0108058j 6.21077e-15+0.0138589j 6.30785e-17+0.000894493j -7.43384e-16+0.0181371j -5.14245e-15-0.0176686j 9.57205e-16+0.0207283j -9.28242e-16-0.00400415j -1.07537e-15-0.0109562j 1.6854e-15-0.0286368j -9.52788e-15-0.0662403j 2.4286e-14-0.0112154j -1.22879e-13+0.0756015j -2.178e-14-0.0364198j -6.55947e-16-0.00142456j 3.27927e-15+0.0113876j 1.79501e-15+0.0472436j -5.54911e-15-0.0208682j 1.1662e-14+0.0618004j -2.9638e-15+0.00397606j 2.39002e-14+0.463581j -4.52489e-14-0.705478j -5.41603e-15+0.40031j 1.21806e-14+0.0910525j -1.35322e-15-0.0615192j -1.54828e-14-0.0654582j -1.18919e-14-0.0790467j 1.69299e-18+0.0210895j 3.71581e-15+0.00299184j -5.82607e-15-0.0466878j -3.96801e-15-0.00843629j -9.68604e-15-0.00282972j 4.58152e-13-0.0080355j -6.33964e-15-0.0642374j 9.68442e-15-0.0116572j -7.24694e-16+0.0120723j -3.69092e-18-0.0155471j 2.18445e-15+0.015702j -3.43162e-15-0.0127639j 2.45345e-15+0.0281471j 3.54715e-15+0.0101527j 3.07554e-15+0.0261448j 8.81289e-16-0.04327j 3.35863e-15-0.00093031j 2.82864e-15-0.00777791j -5.17653e-16-0.0177614j 2.10196e-15+0.00907742j -1.708e-15-0.0281597j 2.92299e-17+0.00489489j -5.63452e-16-0.00373114j -4.99092e-16+0.0223341j -1.31011e-15+0.00710364j 1.56871e-15+0.0121602j -7.70693e-16-0.0216386j 
-2.20635e-16-0.0209973j -3.68009e-15-0.101917j 2.81233e-15+0.0252037j -9.01163e-16-0.0240656j -7.1867e-16-0.0129663j 3.73474e-15+0.0246547j -3.75625e-15-0.036267j -2.68517e-16+0.00815296j -2.43522e-15+0.0117521j 6.98231e-15+0.0145266j 2.48598e-15-0.0399881j 1.07767e-15+0.0104425j 2.72487e-15+0.0114755j 1.32508e-16+0.0124949j 9.12422e-16-0.0144576j -1.3244e-15-0.0101615j 3.06999e-14-0.00641921j 1.48399e-15+0.00386702j -2.51352e-16+0.0138753j 2.8295e-16+0.00192639j -4.3977e-15-0.00939513j 1.2408e-15+0.00285648j 2.36078e-15-0.00769659j 4.62128e-15+0.0135454j -4.40629e-16-0.014854j 7.46814e-16+0.0133311j -6.94068e-16-0.0143475j -2.17265e-15+0.0507126j 1.12524e-14+0.0684952j -2.91921e-14+0.0105735j 7.02252e-14-0.0421448j 1.30321e-14+0.0217687j -2.13641e-15-0.00895746j 6.2939e-15+0.078521j -5.13772e-16-0.0332127j -9.02368e-16-0.0890744j 1.68938e-14+0.216968j -6.64799e-15-0.0765873j 2.08038e-14+0.261459j -4.06497e-14-0.307039j -2.76732e-14-0.804735j 2.68379e-14+0.139817j 2.45374e-14+0.0523166j -1.48373e-14-0.0208562j -1.85832e-14-0.0271737j -1.27239e-14+0.0701932j -6.52461e-15+0.07831j -3.27129e-15+0.00110234j -2.98413e-15-0.0165845j -8.75194e-15-0.0536786j -1.76786e-15-3.65043e-05j -2.93629e-16+5.70001e-05j -2.04198e-14+0.067909j 3.95456e-15-0.00859203j -1.44286e-15+0.0187945j -2.90421e-15-0.0181042j -2.31707e-16-0.026553j 1.66941e-15+0.0166486j -2.01617e-15+0.007221j -1.09435e-15-0.0162317j 4.30544e-15+0.0488328j 5.85052e-15+0.0155345j 2.49233e-17+0.0257179j -1.80862e-15-0.0147217j 7.47849e-16+0.0332284j 2.76256e-15+0.0407085j -1.41299e-15-0.0254006j 5.19838e-16+0.0237241j -2.13222e-15-0.0537892j -1.44484e-16-0.0127153j 1.77445e-15+0.00474022j 2.72667e-15+0.0333394j 
