-1.32874-6.14802e-13j 0.488651-1.44916e-13j -0.579764+3.96118e-14j 0.0114767-1.96403e-14j 0.0608219-1.26846e-15j 0.149945-8.39196e-15j -0.0739345+2.75307e-16j -0.0989739+9.65047e-15j -0.0735307+3.09521e-15j 0.0040947+3.37018e-15j -0.0846501+7.85667e-15j -0.0360477-3.28067e-16j 0.0386807-5.42223e-15j 0.0428527-2.13288e-15j 0.00477583-5.62368e-15j -0.023766+8.98514e-15j 0.00487226+2.80781e-15j -0.0509985+4.50851e-14j -0.0393424+1.01672e-14j -0.000464565+2.97265e-15j 0.0297555+1.5921e-15j 0.0427032+2.87638e-15j -0.00360666-4.10734e-15j 0.0116434+7.02425e-15j 0.0191989-1.20012e-15j 0.0611673+3.54531e-15j 0.0115333-1.15364e-15j 0.0285096-2.62927e-15j -0.00263277+8.45015e-15j -0.0317267+6.66276e-15j 0.0448829-2.06994e-14j 0.0240058-7.77052e-15j 0.0438813-3.67139e-15j -0.0448215+6.20191e-17j 0.049102-7.71473e-15j -0.0157746-2.3253e-15j 0.0190321-1.12518e-15j -0.0286039-3.48258e-14j -0.03404-3.83215e-14j 0.0184065+9.24272e-15j 0.00191009+1.44764e-14j -0.0328375-9.32939e-14j 0.042982-2.86779e-15j -0.0805206+3.78156e-15j -0.0205688+6.09694e-15j 0.0535647-1.61977e-15j -0.0138225+1.14969e-15j -0.0246706+3.25162e-15j 0.083213-2.98753e-15j 0.0579283-7.78493e-15j -0.0693668+5.72877e-15j -0.0251214+2.07088e-15j -0.0476043+7.41241e-15j 0.123804-7.12799e-15j -0.162999+1.17328e-14j 0.042065-1.70611e-14j 
-0.48865-4.05275e-13j -1.32629-9.33804e-14j 0.0164975+1.83818e-14j 0.57141-9.14155e-15j -0.0674838-3.87459e-16j 0.0629557-4.13695e-15j 0.164508-4.69725e-16j -0.0714186+4.61085e-15j 0.0254809+2.81728e-15j -0.0792022-3.18164e-15j -0.0216841+3.69831e-15j 0.0701354+1.08725e-15j 0.0587544-3.40685e-15j -0.0235973+4.39792e-16j 0.039355-1.04251e-14j -0.0488489+1.66224e-14j -0.00477781+9.10529e-15j -0.0163182+1.22069e-14j 0.0183209+1.98962e-15j -0.00301756-1.34558e-15j 0.0295164-3.65423e-15j -0.0596647-3.71856e-15j 0.0245934+9.5372e-16j -0.0135376-6.86118e-15j -0.0171184-5.90665e-15j 0.0349212+4.19487e-15j 0.0232214+1.30255e-15j -0.0172127-6.45177e-15j -0.0310976+1.7691e-14j -0.0268394+4.51895e-15j 0.0106397-4.97385e-15j -0.0143317-1.25433e-17j -0.00371007-2.83049e-15j 0.0442039+2.15949e-15j 0.0398433-3.42364e-15j -0.00878879-6.72141e-15j 0.0141614+3.39413e-15j -0.0257677+2.30202e-14j 0.0603872+2.05291e-14j 0.00824901+2.34156e-15j -0.0268498-1.19117e-14j 0.0279261+9.23872e-14j 0.0126529-2.68541e-15j 0.0545994+2.40544e-15j -0.0999746+2.51498e-15j 0.000521309-3.47631e-15j -0.00459213+1.83878e-15j -0.0240778+6.65278e-16j -0.0548152-2.24023e-15j 0.116244-3.71953e-15j 0.0409591-5.1332e-16j 0.0033563+4.16821e-16j -0.126681+3.49729e-15j -0.0408708-3.10613e-15j 0.0424375+8.48779e-15j 0.16322-2.12805e-14j 
-0.0844571-3.59243e-14j 0.111683-7.49923e-15j 1.48674+8.80238e-16j 0.386398-8.9286e-16j 0.657188+5.71511e-16j -0.0720792+3.24741e-15j 0.682198+6.55707e-16j 0.0886603+8.33938e-16j 0.325841+1.08161e-15j 0.160487-1.38644e-15j 0.101798+1.81364e-15j 0.200346-1.11511e-15j 0.108041-2.5572e-16j 0.111037-2.11466e-16j 0.0794428-5.08608e-15j 0.0542593+5.80789e-15j -0.0644942+9.4262e-15j -0.0142148-1.80137e-16j 0.0925435+4.60901e-15j -0.090166+2.46949e-15j -0.0490538-2.07187e-15j -0.041277-7.72906e-15j 0.0977026+5.15444e-15j -0.0154067-1.39707e-14j -0.0454812-7.58614e-16j -0.0663853-9.98469e-15j -0.038967-4.00869e-15j 0.00188337+3.74994e-15j -0.0449772+1.61256e-14j 0.101856+3.70773e-15j -0.0210747+1.69625e-14j -0.100508+1.21622e-14j -0.0414456+3.70692e-15j 0.0342032-1.33975e-16j 0.00808354-9.37184e-15j 0.111729+1.59399e-14j 0.0062255-1.66493e-15j -0.0208596+1.6816e-14j 0.0509328+1.73521e-14j 0.0405404+2.08832e-14j 0.00190361-2.19219e-14j 0.0588201+1.71221e-13j -0.0183053+2.40251e-15j 0.139756+6.02523e-16j -0.0563681-1.01091e-15j 0.0529004-1.27542e-16j -0.0629189+2.98438e-15j 0.0457551+2.0344e-15j -0.123428-1.05898e-15j 0.0609984-9.58905e-16j -0.00934561-4.16241e-16j -0.0471247+1.69468e-17j -0.0270967-5.34216e-16j -0.11482-6.55148e-16j 0.0161041+4.40127e-15j 0.171189-1.82136e-14j 
0.11732+8.18226e-14j 0.0967337+1.77688e-14j -0.379168-1.65188e-15j 1.39014+1.90043e-15j 0.0732047+8.7487e-16j -0.102783-3.42397e-15j 0.122474-1.02495e-15j -0.861637+1.07212e-15j 0.0517486-1.30294e-15j -0.134364-4.21003e-15j 0.105282-1.4699e-15j -0.0263379+3.79158e-15j 0.241399-9.25796e-16j 0.0726757+1.47244e-15j -0.0288211-6.82382e-15j -0.0997195+1.73003e-14j 0.00403312+9.4022e-15j -0.0575491+4.09804e-14j 0.021047+1.57118e-15j 0.0145653-4.54309e-15j 0.0739916+1.3902e-15j 0.0116381+3.75273e-15j 0.0507546-2.03636e-15j 0.0154221-7.20675e-16j -0.0779462-4.71513e-15j 0.0651699+1.2327e-14j -0.084412+8.90368e-16j -0.0316786-3.77691e-15j -0.0599516+2.2939e-14j 0.0557887+8.11097e-15j 0.0504355-1.09824e-14j -0.0380685-7.3095e-16j 0.0486383+2.5824e-15j 0.0216906+9.01784e-16j 0.0308006+1.04584e-15j -0.00778914-3.38676e-15j 0.0394286-2.03191e-15j -0.0777031-4.79034e-14j 4.08268e-05-4.69902e-14j -0.00411192-1.27531e-15j -0.0330835-1.98516e-15j -0.00445772+2.75906e-15j -0.0359488+8.12835e-16j 0.0810277-1.29916e-15j -0.0332883+1.34123e-15j 0.159498+1.52053e-15j 0.0150811+9.93798e-16j -0.066649+1.76874e-15j -0.0784715-9.70418e-16j 0.111895+7.35705e-16j -0.114694+2.59798e-15j 0.100139+4.58282e-17j -0.142584-1.70919e-16j 0.0225949+1.89911e-17j -0.182215+1.15463e-15j 0.0284455-7.81937e-15j 
0.0298688-1.74912e-16j -0.153266-8.95673e-16j 0.0295258+6.79012e-16j 9.12518e-06+4.89668e-16j 1.70937+1.17582e-15j -0.0702044+1.4251e-14j 0.0477551+1.15173e-15j -0.0761079-5.71679e-15j -0.62983-2.60143e-15j 0.174402+1.50064e-14j 0.469936-1.01138e-14j 0.125232-2.57517e-15j 0.154312+2.83742e-15j 0.312422-2.2273e-16j -0.0734613+1.98499e-14j 0.0805694-3.75471e-14j 0.0773775-2.03244e-14j -0.0298048+1.92121e-14j -0.0561949+8.33474e-15j -0.148499+6.77422e-15j 0.195355+6.81643e-15j 0.0259571+6.92869e-15j -0.0704369-1.55195e-15j -0.0242611-5.68913e-15j -0.0845594-2.09367e-16j 0.0265959+8.60682e-15j -0.146933-7.47814e-15j 0.0127445+5.15965e-15j -0.0818129+3.01824e-14j 0.118459+9.85257e-15j 0.00175451+2.71796e-15j -0.0209626+3.44649e-15j 0.0481408+7.39466e-15j -0.0467026-2.40375e-15j 0.00667461-2.5519e-15j 0.0888232+1.67531e-14j 0.129042+1.56373e-14j 0.029018+2.27947e-14j -0.0265786+1.2159e-14j -0.0339239-1.23133e-14j 0.0383902+1.93547e-14j -0.0496413-1.59172e-13j -0.0695215+2.15498e-15j 0.0631553-1.67428e-15j 0.0568214+1.98597e-16j 0.138442+5.30571e-15j 0.016882-9.15703e-16j 0.0280862+2.61782e-15j -0.101769-1.34222e-15j -0.0138922-2.55677e-16j -0.119243+1.62916e-15j 0.161064+4.06562e-16j -0.0779738-9.44998e-17j -0.0347232-2.11552e-16j -0.0201494-2.11952e-15j -0.0881531+8.55534e-15j 
0.251616+1.42175e-13j -0.0598748+3.08106e-14j 0.181247+1.05691e-15j -0.0250982+3.13345e-16j 0.00218666+1.5622e-14j 1.54592+5.62527e-14j -0.174285+1.44964e-15j -0.232962+2.07114e-15j 0.0242386-4.58775e-15j -0.238969-1.22174e-14j -0.255696+4.4522e-15j -0.480396-3.95416e-15j 0.0506735+1.40147e-15j 0.290197+4.5744e-16j 0.153396-4.81397e-14j -0.210294+7.19294e-14j -0.1264+5.3702e-14j 0.0320757+1.48073e-14j -0.273995+1.61961e-14j -0.0347712+1.89611e-14j 0.0483728+9.14058e-15j -0.00375222+1.15989e-15j -0.0504461-7.34712e-15j -0.00850419+9.44166e-15j 0.0741131-5.63278e-15j 0.111153+1.21244e-14j -0.00716228+4.86987e-15j 0.0806446+5.23511e-15j 0.0210766-3.97308e-15j 0.0106851+8.90189e-15j 0.0855422-2.25147e-14j 0.0169889-6.62878e-15j -0.0267767-2.89165e-15j -0.0863012-8.39164e-15j -0.00130365-5.829e-15j 0.0290596+1.28001e-14j -0.060389-2.91978e-15j -0.0391321-3.15614e-14j 0.00531194-2.71652e-14j 0.116427+6.34316e-14j 0.0402696+3.25047e-14j -0.0623766-1.95374e-13j 0.0324436+1.34594e-15j -0.0329047-1.3844e-15j -0.0196062-3.55846e-16j 0.0587544+2.52974e-15j 0.0474404-2.45159e-16j 0.0322516+1.02015e-15j 0.0675565+2.71713e-16j 0.0547639+1.01327e-15j -0.0959994+3.09829e-15j -0.118704+8.36955e-16j 0.106696-7.04103e-16j 0.0559517+5.67442e-16j -0.101664-3.16035e-15j -0.0885166+6.30959e-15j 
0.0870998+8.19156e-14j 0.231801+1.72124e-14j -0.0673617+1.30978e-15j -0.259235-1.25298e-15j -0.048114+7.74559e-16j 0.110872+5.96669e-15j 1.43085+1.62294e-15j -0.0705965+2.91421e-15j -0.0118268-7.82554e-16j 0.0840659-2.42773e-15j 0.174805+5.42795e-15j 0.423613-2.83743e-15j 0.767046+1.37818e-15j 0.122434-1.89134e-15j 0.269866-2.79622e-14j 0.0535113+4.64147e-14j -0.189858+3.84063e-14j -0.0186029-1.38549e-15j 0.160902-9.42132e-16j -0.0549602-3.77519e-16j 0.07075-4.90118e-15j -0.00571387-5.71719e-17j 0.181796-2.21209e-15j 0.12024+6.47079e-15j -0.150496-4.26578e-15j -0.0111716+4.86719e-15j -0.086876+5.72044e-15j -0.117831-2.53271e-15j -0.00901407-1.17927e-14j 0.107684-9.51183e-16j 0.0767378+1.72955e-16j -0.166022+6.27161e-15j -0.035254+3.01862e-16j 0.14568+3.61476e-15j 0.0380613-5.94171e-15j 0.0196831-6.37123e-15j 0.0101918-7.28065e-15j -0.130213-3.85882e-14j 0.0806078-3.56908e-14j -0.0205324-1.57124e-14j -0.0954514-5.00958e-15j -0.00452078+2.79937e-14j 0.0177559+8.94203e-16j 0.144057-2.79407e-17j -0.0964382+8.38024e-17j 0.0972912-1.67858e-15j 0.0189966+2.68835e-15j -0.114417-1.18644e-16j -0.0504975+1.6287e-16j 0.133948+5.7375e-16j 0.0514327-1.24656e-15j 0.0127566-1.89179e-16j -0.17122+1.42846e-16j 0.0533099-1.47465e-16j -0.154139+3.35276e-15j 0.100112-1.36645e-14j 
-0.111304-6.79943e-14j -0.00743007-1.34675e-14j -0.16529-3.32458e-15j 0.0905726+1.03523e-15j 0.0819003+1.15747e-15j 0.181503+9.79472e-15j 0.0333955+2.93376e-16j 1.18428+8.72451e-15j 0.186722+4.42723e-15j 0.317443+4.88611e-15j -0.0103195+1.22911e-15j 0.510663+8.92876e-15j -0.601482-8.23166e-15j 0.322262+4.06488e-15j 0.337337-2.28319e-14j 0.109531+2.33928e-14j -0.0934653+2.12013e-14j 0.0753292-7.63569e-14j 0.223185-9.37028e-15j 0.108625-2.56832e-15j -0.368482-1.85482e-14j -0.0581917-1.95735e-14j 0.0505178+1.94877e-14j -0.0417524-1.51331e-14j 0.12938+6.47802e-15j -0.119851-2.59776e-14j 0.114569-3.11868e-15j 0.00953558-2.24024e-15j 0.0217704-2.87858e-15j -0.0573232-1.23392e-14j -0.0753169+1.13825e-14j 0.00430691+1.60852e-15j -0.0139889-1.36611e-14j 0.0490409-6.50494e-16j -0.0590569+6.55774e-15j -0.0623396-4.50309e-15j -0.171898-2.3413e-14j -0.00236988-5.0079e-14j -0.0283404-2.98404e-14j 0.0511396+2.14943e-14j 0.0277484-6.11911e-14j 0.158752+4.51903e-13j 0.0241821-1.65442e-15j 1.7243e-05+1.46727e-15j -0.0223233-1.09407e-16j -0.13723-1.97201e-15j -0.0629966-1.53309e-15j -0.00447275-2.20963e-15j 0.0236515+5.55754e-16j -0.0458679+5.29951e-17j 0.0307379+5.88572e-16j -0.135784-1.10608e-15j 0.117683-1.55431e-15j -0.156057-1.95283e-15j 0.0634612+1.84286e-15j 0.103627-8.78233e-15j 
-0.211649-1.18609e-13j 0.0726928-2.89846e-14j -0.177138-1.14075e-15j -0.0950356+2.98346e-15j -0.0513513+3.39131e-16j 0.114925+2.32299e-15j -0.206389+1.2567e-15j 0.0312381+1.05923e-15j 1.11753+9.13304e-15j -0.0190917-7.56409e-15j 0.711905-6.02984e-15j 0.125327-4.9198e-15j 0.273982+4.86265e-16j 0.365179+1.33648e-15j 0.102903-1.69558e-14j -0.00513413+6.14712e-14j -0.323251+6.19945e-14j -0.0166453-1.19492e-14j 0.338761-3.24294e-15j -0.255338-3.94486e-15j -0.112218-6.4161e-15j -0.122697-4.49012e-15j 0.118588+3.93434e-15j 0.108677+3.02694e-15j -0.0801505+7.74385e-15j -0.17221-3.3173e-14j -0.240228+2.49451e-16j 0.073001+1.88595e-14j -0.0254807-6.17702e-15j 0.183732+1.45407e-14j 0.0554803-4.25584e-15j -0.1346-1.8041e-15j -0.056191+3.78265e-16j 0.114597-5.54632e-15j -0.0770784-3.82916e-15j 0.0277671+1.03484e-14j -0.128334-2.48517e-14j -0.0849398-6.40793e-14j 0.0189624-5.29027e-14j 0.0628977+2.92683e-14j -0.0277188-3.63597e-14j 0.0871899+2.66803e-13j -0.0961433-1.79435e-15j 0.218131+1.62465e-15j -0.043391+8.02152e-16j 0.029235-3.31569e-15j 0.154147-6.43951e-16j -0.084078-1.8271e-15j -0.077723-3.65807e-15j 0.121125-1.35051e-15j -0.025756+1.75816e-15j 0.0220345-1.26339e-15j -0.0985616-1.72104e-15j -0.0831254-2.47009e-15j -0.0229682+9.96278e-16j 0.00864196-2.70316e-15j 
0.0612798+7.15055e-14j 0.30619+1.35981e-14j 0.0396569-9.64491e-17j -0.138924+9.29706e-16j 0.122035-2.13306e-15j -0.0384583+2.07082e-15j -0.05017+3.89304e-15j 0.0644392-6.83279e-15j 0.144954+6.93382e-15j -1.29326-3.69847e-14j -0.132392-5.77607e-15j -0.186845+8.05832e-15j -0.196002-5.80146e-15j -0.471714+1.13529e-14j -0.147135-6.16679e-14j -0.609797+1.42301e-13j -0.254+1.17553e-13j -0.106101+1.20426e-13j -0.154318+5.00971e-15j 0.0993547-1.21901e-14j 0.119344-3.81778e-15j -0.376076+1.2362e-14j -0.186447-1.14122e-14j 0.0149699+9.13309e-15j 0.208038-1.31726e-14j 0.133075+1.84569e-14j 0.0793941+1.05358e-14j -0.0967977-8.84542e-15j -0.0856598+4.35758e-14j -0.115204+8.39712e-15j -0.0622681+6.39164e-15j 0.119663+9.68564e-16j -0.0058798+3.59481e-15j -0.033647+1.27057e-15j 0.0402204+4.23918e-15j -0.00594878+2.69251e-15j 0.0566278+1.83142e-14j 0.081948+7.9978e-14j 0.021518+7.00374e-14j 0.0161856+1.5274e-14j 0.126211-2.08155e-15j 0.0230141+1.59731e-14j 0.0708164-5.34525e-15j -0.0606024+1.94357e-15j -0.093503+4.90528e-15j -0.124494-5.16923e-15j -0.0109669+8.73906e-16j 0.0912978-2.41885e-15j 0.0537968-3.71401e-15j 0.0320504+9.54818e-16j -0.0368335+3.18361e-15j -0.0143584+2.07348e-15j -0.0150222-1.38686e-16j 0.00933696+1.26981e-16j 0.0359053+1.80495e-15j 0.0550733-6.28906e-15j 
-0.0169737-4.12954e-14j -0.290696-1.38685e-14j 0.0719825+3.30586e-15j 0.195271-6.95003e-16j -0.0382168-1.74725e-15j -0.00692691-5.05721e-15j 0.203806+4.06998e-16j -0.0793594+6.61149e-15j 0.26973+1.12504e-14j 0.189872+1.60847e-14j -0.346635-1.16275e-14j -1.21335-2.13789e-14j -0.158384+2.59773e-14j 0.0908846-1.12526e-14j 0.254752-1.02456e-14j 0.155638+2.75757e-14j -0.374465+3.89854e-14j 0.0378367+4.83043e-14j -0.4902-3.50121e-15j 0.396435+1.75638e-15j -0.0548146-7.37215e-15j -0.0292234+2.16799e-14j -0.367847-4.82539e-15j -0.0133844+3.22838e-14j 0.162+2.30121e-14j -0.170098-3.12952e-14j 0.0928106-1.61629e-15j 0.253478+3.65355e-14j 0.11087-2.97344e-14j -0.0244652+1.71443e-14j 0.060741-2.36316e-14j 0.0272226-5.59676e-15j 0.105311-1.13007e-15j -0.149544-6.34954e-15j -0.0438848-9.31726e-15j 0.0226696+1.69202e-14j -0.0840318-1.07642e-14j 0.0539318-6.36483e-14j -0.140644-5.80051e-14j 0.066264+3.99317e-14j 0.0505633+1.60641e-14j -0.0141-5.57265e-14j 0.0281279+1.56572e-16j -0.107745+7.09265e-16j 0.103891-6.26922e-15j -0.00411103+4.8366e-15j -0.0023855-4.19045e-15j 0.00962655-2.35779e-15j 0.105352+4.95266e-15j -0.127+1.83841e-15j -0.056347+1.35896e-15j -0.0780919-3.46085e-16j 0.152928+2.81667e-15j -0.0579762-2.00101e-15j 0.0418164-2.78674e-15j -0.08667+1.02196e-14j 
