2.22109-1.94809e-11j 0.226717-4.42333e-12j -0.651811+3.47066e-13j 0.25973-2.30153e-13j 0.0755905-2.64605e-14j 0.15762-8.40036e-14j -0.012852-3.55626e-15j -0.0473221+2.94364e-14j -0.0475349+3.12499e-14j 0.0289113-1.2135e-14j -0.0686067+4.71962e-14j 0.0167539-6.05258e-15j 0.0247508-1.49377e-14j -0.0165511+6.07763e-15j 0.0189997-7.62251e-15j 0.0171791-1.65606e-14j -0.0326807+1.81335e-14j -0.0284984+6.80677e-16j -0.0056348+2.32267e-15j -0.0255962+1.11664e-14j -0.0111611+9.79057e-15j -0.0183473+9.30489e-15j 0.00919084-7.02167e-15j -0.036882+6.15925e-14j 0.00820215-6.70889e-15j -0.0162344+1.80812e-14j 0.00167349+2.18408e-15j 0.00908934-1.0202e-14j 0.0169179-8.25395e-15j -0.00281053+3.89968e-15j 0.0129203-7.05564e-15j 0.00522947-1.35158e-14j 0.0186142-2.74552e-14j -0.0174145+4.4073e-14j 0.00726465-9.00453e-15j 0.00997903-6.19899e-15j -0.00317258+6.94757e-16j 0.0237115-1.57084e-14j 0.0288299-1.91e-14j -0.000816655+1.34665e-15j -0.00662787+6.12824e-15j -0.0202206+1.26592e-14j -0.00769922+6.96767e-15j 0.0160538-2.75721e-14j 0.0174464-8.66084e-15j -0.0262521+1.10614e-14j -0.0145682+9.87929e-15j 0.00642323-8.008e-15j 0.00156621-2.51565e-15j 0.00571403+4.79639e-15j 0.0372495-2.62966e-14j 0.0120186+2.36439e-15j -0.00382653+5.15645e-15j 0.0130153-7.19723e-15j 0.0250546-1.99828e-14j -0.011816+2.3473e-15j 0.0426269-1.78477e-14j 0.0257536-1.3963e-14j 0.00227628-6.18898e-15j -0.00910115-1.17032e-14j -0.00458016+3.02731e-15j -0.00392484+3.19721e-15j 0.0109021-8.51566e-15j -0.00703806+3.15979e-15j 0.0496502-2.49476e-14j 0.039059-2.83407e-14j 0.000677556-5.22422e-15j 0.0255114-1.24223e-14j -0.00086685+2.27617e-15j -0.0420286+2.15488e-14j -0.0413838+3.03004e-14j 0.0200639-4.69872e-15j 0.0330564-1.75142e-14j 0.0322548-2.54983e-14j -0.0521552+2.74868e-14j 0.0434863+8.20873e-14j -0.0514597-4.14135e-13j 
-0.227307-2.37091e-12j 2.21948-5.51445e-13j 0.257031+7.4106e-14j 0.649147-4.90481e-14j -0.131626-1.13755e-15j 0.0570697-1.21058e-14j 0.104634-1.5362e-15j -0.00877237+6.77248e-15j -0.00699281+7.05829e-15j -0.0763075-4.83264e-16j -0.0351073+9.59113e-15j -0.0375097-2.13213e-16j 0.00594693-2.82904e-15j 0.00913506+3.45965e-15j -0.0324743-1.03448e-15j 0.0227172-6.50305e-15j -0.00683628+3.91961e-15j -0.0211257-1.40882e-14j -0.0138568-3.77115e-15j 0.0405448+3.95499e-15j -0.0065434+2.18831e-15j 0.00484754+2.19973e-15j -0.0184967-1.78058e-15j -0.0120932+1.61875e-14j 0.017349-2.26304e-15j 0.0157699-8.14691e-15j -0.0161242-1.25881e-15j -0.00402532+5.61012e-15j -0.0273409+5.26358e-16j -0.0205879+6.96174e-15j 0.000193911+2.88294e-15j 0.0316091-7.58482e-15j -0.000735998-1.2548e-14j 0.00575601-2.09677e-15j 0.0202543-1.05491e-15j 0.0214632+7.95209e-16j 0.0154517-2.58626e-15j 0.0217594-8.21307e-15j 0.00933145+1.24402e-15j -0.0133622+2.46154e-15j -0.0311517+4.56357e-15j 0.0053726-2.85326e-16j 0.000166037+1.88731e-15j -0.00426345+1.2057e-15j -0.02088+1.93827e-17j -0.0109277-4.87251e-16j 0.00307418+2.70864e-15j 0.00664979-1.40463e-15j 0.00617694-2.20443e-15j -0.0248451+3.93118e-15j -0.00693937-8.1033e-15j 0.00418118-4.668e-16j -0.0120985+2.20217e-15j -0.00362275-1.76744e-15j 0.0179094-1.51951e-15j 0.0424488+3.6216e-15j -0.00268993-6.34536e-15j 0.00832396-6.0339e-15j 0.0276519-7.13512e-15j 0.0114647+1.66452e-14j -0.00811341+2.79703e-15j -0.0133876+4.32815e-16j 0.0200219-1.83835e-15j 0.00529888-2.47446e-16j -0.0342768-5.06884e-15j 0.0380003-5.63391e-15j 0.0439322-2.24012e-15j -0.010363-5.12503e-15j -0.00995678+9.33223e-16j 0.025748+4.85711e-15j -0.0465821+7.6164e-15j -0.0456383+4.12174e-15j -0.0027152-3.62219e-15j 0.0531253-5.98718e-15j 0.0309242+5.50865e-15j -0.0515659+4.85893e-14j -0.0435162-2.27081e-13j 
0.125999-9.03966e-13j -0.0601585-2.00357e-13j -2.07842-1.37232e-14j 0.162997+1.31306e-14j -0.56479+3.98191e-15j 0.0439229-5.28703e-15j -0.723982-1.32558e-15j -0.363417+3.15006e-15j -0.322726+6.46567e-15j -0.119098-5.2518e-16j -0.00337413-8.85159e-17j 0.118847+7.8117e-16j -0.0388615+2.33499e-16j 0.0399196+3.13773e-15j 0.0175174+2.31898e-15j 0.0343438-4.33432e-15j -0.0142426-2.54278e-15j 0.0336538+2.68039e-14j 0.000245605+5.50586e-15j -0.0510893-1.58754e-15j -0.0252455-4.57274e-15j 0.0312435+7.55173e-15j 0.0194247-3.88682e-15j -0.0368694+3.74275e-14j 0.0130179-3.18758e-15j -0.0364756+2.5963e-14j -0.0529144+1.49723e-15j 0.00473451-2.13814e-15j -0.00273795-4.90094e-15j 0.0344026-1.29154e-16j -0.00474512+3.00748e-15j 0.0380909-1.66571e-14j 0.0317917-3.84837e-14j 0.00185494+7.39049e-15j 0.0596808+4.29888e-15j -0.000633682+1.67694e-15j -0.016715+3.68157e-15j -0.0309355+1.53399e-15j -0.00641447-2.49968e-15j 0.000930776-3.25301e-15j -0.0226763+1.52512e-15j -0.01035+2.54821e-15j -0.0209495-4.88495e-16j -0.00805315+5.29463e-15j 0.0126662-1.77541e-15j -0.0342129-1.07886e-14j 0.0170034+1.53387e-15j -0.0115323+5.38256e-15j 0.00552211+1.48523e-16j 0.0344923-4.86411e-15j 0.00508901+4.50797e-15j 0.0168018+1.34089e-14j 0.0025069+1.24527e-16j 0.0020704+4.63463e-16j 0.0297577+6.29885e-16j -0.00649263+4.30362e-15j 0.0527396+5.51716e-15j -0.0490706+1.68511e-15j -0.0290327+8.10527e-15j -0.0208881-3.13551e-14j 0.0270108-5.36135e-15j -0.0377031-6.1436e-16j 0.0342756+5.14389e-16j 0.0200434-8.7365e-16j 0.0459393-6.49665e-16j -0.0168038+4.76557e-16j -0.0193772+9.27739e-16j -0.0205081-2.95264e-15j -0.0508405+1.65207e-15j -0.0490148+1.10463e-16j 0.00571812+1.6497e-18j 0.0214797-1.38158e-15j -0.0386087-2.09572e-16j 0.012859-5.43352e-19j -0.0264029+4.71479e-17j 0.0374237-5.25001e-14j 0.0398689+2.31821e-13j 
-0.058919+6.94567e-13j -0.125989+1.53663e-13j -0.188359+1.11541e-14j -2.01132-9.87858e-15j -0.108235-3.13523e-15j 0.135816+5.7266e-15j -0.303767+1.60719e-15j 0.863678-5.5129e-15j -0.211214+3.09185e-15j 0.122254+2.07437e-15j -0.00385718+4.23249e-15j -0.0194069+3.99935e-15j -0.12405-5.00467e-15j -0.0459613-1.03115e-14j -0.0132929-7.60024e-16j -0.0220483-6.73784e-16j -0.0324793-1.38734e-14j 0.0195282+2.30276e-14j 0.0776023+1.26535e-14j 0.00491637-9.6416e-16j 0.0501423+6.71081e-15j 0.00267087-3.12808e-15j -0.00154209-1.29443e-16j 0.00803669-1.03688e-14j 0.00306043+2.86838e-15j -0.0135364+1.17447e-14j 0.00442828+1.45237e-15j 0.0382192-1.33042e-14j 0.0452069-9.71777e-15j 0.0370722-7.4573e-15j 0.0112986-3.36137e-15j 0.0174694+1.87467e-15j -0.00760667+2.16201e-15j -0.00928613+1.07827e-14j -0.00899551-4.0238e-15j -0.0259848-2.75888e-15j -0.000386705+1.3919e-15j 0.0229522-2.09506e-15j -0.0197002+2.32155e-15j 0.02583-9.49216e-16j 0.0326999+1.73576e-15j 0.0123372-4.91505e-15j 0.0106988-2.83283e-15j -0.0122188+1.569e-14j -0.00355871+1.0297e-15j 0.0405745+1.38309e-14j -0.0133361-6.81815e-15j -0.0391181+7.18928e-15j -0.00271195-5.25979e-16j -0.00360676+6.2711e-15j 0.0232669-3.21425e-15j -0.00965649-6.26044e-15j 0.00567197+1.19177e-15j -0.00754775-3.6887e-16j 0.0187881+2.2184e-15j 0.00682421+1.41937e-15j -0.0135112-5.52704e-15j -0.0515637-1.27198e-15j -0.00539773+2.71964e-15j 0.00939998+1.60998e-14j -0.00896027+4.55808e-15j -0.0137792+9.34328e-16j -0.00880363+6.77885e-16j -0.013792-6.13995e-16j 0.0363638+3.51294e-16j -0.0449275-1.48155e-16j 0.0398991+7.78473e-16j -0.0423315-5.45686e-15j 0.011287-6.5157e-17j -0.0463003+5.01211e-16j 0.0549793+8.7203e-16j -0.0476904+2.54503e-15j 0.00646284-9.29543e-16j -0.0274978+4.1986e-16j -0.0157301+3.04658e-16j -0.0398619-8.03149e-14j 0.03991+3.59433e-13j 
-0.00730234-2.00504e-14j 0.0439307-5.84089e-15j -0.0791443+3.41237e-16j -0.0999308+3.73848e-16j -2.04848+2.51132e-14j 0.024701+3.67488e-15j -0.32591-1.08041e-14j 0.0224217+3.03905e-15j 0.667731-1.13913e-14j -0.12006+1.23918e-15j -0.426411-8.77915e-15j 0.1493+3.08756e-15j -0.20453+1.31554e-14j 0.28609+4.51562e-14j -0.223862-2.78238e-15j -0.115615+1.51243e-14j 0.0699244+3.18656e-15j 0.00160032-5.78164e-15j -0.00196965+9.83016e-15j -0.0903605-5.99109e-15j -0.0127089-3.66033e-15j -0.0257991+3.75748e-15j -0.0657564-3.49501e-15j 0.00368263-9.80496e-15j 0.0166215-4.9878e-15j -0.0264117+2.36875e-14j -0.00492465-2.10597e-15j 0.0410569-6.68896e-15j -0.00663701-3.37076e-15j 0.0524737-1.11903e-14j 0.0313034+4.2823e-15j 0.0577344-2.14959e-14j 0.0382702-5.04623e-14j -0.0117013+3.82609e-14j 0.0706501-2.47298e-16j 0.01039+5.9974e-15j 0.0420161-6.1664e-15j 0.00131634-9.73533e-15j -0.0398887+1.09566e-14j 0.0101084+3.15488e-15j -0.0395821+3.81386e-15j 0.0254931-1.14163e-14j -0.0598932-2.7459e-15j -0.0239882+1.04716e-14j 0.0473182+1.47925e-15j 0.0288685+1.31817e-14j -0.000748706-9.24486e-15j -0.04425+7.72445e-15j -0.0442625+3.25926e-15j -0.039066+3.91175e-15j -0.00529518-6.87923e-15j -0.00246366-3.62018e-15j 0.0250377+1.28087e-15j 0.0163918-6.58431e-16j 0.0134915-3.50813e-16j 0.00962745+2.02179e-15j -0.00972742+1.72699e-15j -0.0109474+1.91521e-15j -0.00300471+2.90504e-15j -0.01892-3.05742e-14j -0.0281216+9.35503e-15j -0.0370826+7.83369e-16j 0.0618399+3.71703e-17j 0.00199141+5.9907e-16j 0.020258+3.52009e-16j -0.00797384+1.81088e-15j 0.0479231-2.28169e-15j -0.0125466-1.14332e-15j -0.0160341+1.59352e-15j -0.0460795+1.14819e-15j 0.0108359+3.56034e-16j -0.0649044+5.08162e-15j 0.0398517+1.0812e-15j -0.0123596-2.96423e-19j -0.0435503+2.15709e-16j -0.00871308+2.34744e-14j -0.0164522-1.06395e-13j 
-0.0740257+5.8547e-13j 0.00552041+1.25726e-13j -0.0321664+1.6595e-15j 0.0143309+1.31365e-15j 0.044149+3.70266e-15j -1.86694-1.35918e-13j 0.0639801-1.83644e-14j 0.0743268+7.86702e-15j 0.0199439-9.17159e-15j 0.217214+5.43904e-16j 0.126904+6.34918e-15j -0.494979+7.21814e-15j -0.257284-7.53249e-16j 0.204997+1.50401e-14j 0.101712-1.03345e-14j -0.140946+3.26826e-14j -0.0832166-3.51589e-14j 0.165282+1.32751e-13j -0.0783907+5.17002e-15j 0.00283034+5.75057e-16j -0.00920545+9.44667e-15j -0.0906946-3.45857e-15j 0.00364851-1.92166e-15j 0.0274287-3.07441e-14j -0.0363302+6.96568e-15j 0.0129464+3.15453e-15j -0.00946087-6.47952e-15j 0.0639733-3.85856e-15j -0.0101121-1.17782e-14j 0.0122249-3.80457e-16j -0.0582349-1.59911e-15j -0.0157459+1.29836e-14j -0.0435475+3.58302e-14j 0.00396257-1.03517e-14j 0.00389434-1.10867e-15j -0.036211-6.51638e-15j 0.0276886-2.83104e-15j -0.0436061+1.14919e-15j -0.0124247-2.63328e-15j 0.0134835-8.04073e-16j -0.0226285+1.56996e-15j 0.0350306-6.62823e-15j 0.0300264-2.83138e-15j -0.0042766+1.46978e-14j -0.000966943-5.12102e-15j -0.00255727-4.05059e-15j 0.0476177+5.54861e-15j 0.0399541-3.98943e-15j -0.00236139-1.82036e-15j 0.00199781-9.09282e-15j -0.0552649+9.09828e-15j 0.0100627+2.94649e-15j -0.0275996+3.74215e-16j -0.0269118-1.7177e-16j 0.0132919+1.03105e-15j 0.0164153+3.53546e-15j 0.0105247+1.25615e-15j -0.0074319-2.95311e-15j -0.0115902+6.60872e-15j 0.0753219+1.15332e-13j 0.0419854-9.15992e-15j -0.0110245+7.01516e-17j 0.0142112-3.24216e-15j 0.0230369-4.01226e-16j -0.0150303+1.53982e-15j -0.0208259+8.40627e-16j 0.0296724-3.18042e-15j 0.0148613+4.2382e-15j -0.0172023-4.88471e-16j 0.00582684+9.5242e-16j 0.0168592-2.00487e-15j -0.0140121+4.66991e-17j -0.0619763-1.1838e-15j 0.0471343-1.46176e-15j 0.0175455-1.00309e-15j -0.0343749+7.49879e-15j -0.0124732-3.51404e-14j 
-0.00606479+1.7541e-13j -0.071637+3.83866e-14j -0.129962-4.39903e-16j -0.0549203+9.30445e-16j 0.160038-1.00642e-14j 0.0243756-1.83987e-14j -1.85319+2.3674e-15j -0.0199847+2.07943e-15j 0.152226-9.92981e-15j -0.0550454-5.16112e-15j -0.174716+4.91623e-15j 0.488459-5.70213e-15j -0.720937-1.96095e-15j -0.0874404-1.58044e-14j 0.129474+2.90868e-16j 0.113433-1.03578e-14j 0.0611411+2.16679e-14j 0.0838175+4.3588e-14j -0.136789-6.93404e-15j -0.159945+2.28405e-15j 0.129282+1.68736e-14j -0.0135262-1.12636e-14j -0.0331312-1.88927e-15j -0.0296197+2.07195e-14j -0.00473419+3.81999e-15j 0.00630558-1.85568e-15j -0.0555106+2.65753e-15j 0.00290757-9.74066e-15j 0.0723883-4.12832e-15j 0.0132783-1.09545e-15j 0.00697382+3.62381e-15j 0.0479029-3.18788e-15j -0.00196309-8.86024e-15j 0.0297206-4.77613e-14j 0.0402503+5.67487e-15j -0.0131474-4.12846e-15j -0.0470477+6.15302e-15j -0.0186916+3.90668e-15j 0.0142421-4.46813e-15j -0.0316376-4.00129e-15j -0.00646413-2.84655e-16j -0.0451752+1.46063e-14j -0.0602439+6.20637e-16j -0.0328365+2.26349e-14j 0.0292624-1.05633e-15j -0.00662687-4.24245e-15j 0.0265266-2.86769e-15j -0.00670567+2.97759e-15j -0.0123811+1.46506e-15j 0.0332874-9.33518e-15j 0.0105367+4.91021e-15j -0.0565547-3.46104e-14j 0.00328386+3.55504e-16j -0.0118657-1.586e-15j 0.00548241-4.86192e-16j -0.0436811-2.06093e-16j 0.0392089+4.48478e-16j -0.0784059+1.30081e-15j 0.0288148-7.70231e-16j -0.0164457-2.51915e-14j -0.0115127+6.0482e-15j 0.00423994+1.7295e-15j -0.016304-8.94493e-16j 0.0378083+1.29472e-15j 0.0455181+1.90661e-15j -0.0497886-8.46674e-17j 0.0143041+1.15337e-15j -0.0354652-6.7358e-15j 0.0289608+1.85149e-16j -0.0134713-7.3107e-16j 0.021903-8.15355e-16j 0.0217578-7.88625e-16j 0.00132987+5.61024e-16j -0.0407082+1.86183e-16j 0.00479885+1.02059e-17j -0.0301264-8.53921e-14j 0.0450257+3.80906e-13j 
0.0392271-3.22613e-13j 0.00454605-7.12967e-14j -0.0824193-1.19989e-15j 0.166485+1.08217e-15j 0.0766395+1.93156e-15j 0.0534052+1.81822e-14j 0.117303+1.80367e-15j -1.65973+6.55355e-15j 0.0057636+1.01696e-14j -0.0744345-1.27946e-14j -0.0362367-1.47205e-14j 0.224606+6.62861e-16j 0.122502+2.12632e-14j 0.903137+1.37559e-13j 0.436629+8.27528e-15j 0.199357-5.52999e-15j 0.0719476+6.15863e-14j -0.183467-1.58295e-13j -0.062858-2.29738e-14j 0.0233715+5.01943e-15j -0.127903-2.72043e-14j 0.0709199+2.00387e-14j -0.0209179+4.27735e-16j -0.0195553+2.78806e-14j -0.0229362-4.68046e-15j 0.0364994-2.22582e-14j -0.0475194-3.11924e-15j -0.0202145+1.11595e-14j -0.0314922+5.31948e-15j -0.0113505+1.20707e-14j -0.0350934+5.60664e-15j 0.0322691-1.45056e-14j 0.0339167-3.66133e-14j 0.00289669-7.50838e-15j -0.0272943+4.99952e-16j 0.0294502+1.05647e-15j -0.0743939+8.69133e-15j 0.0299731+7.63481e-15j 0.0281309-5.97679e-15j 0.0127478-6.43037e-15j 0.00829813+1.48336e-15j -0.0218724+4.85198e-15j 0.0284562+3.53335e-15j 0.0238477-1.94665e-14j -0.0486018+1.98648e-16j -0.0687415-1.96337e-14j -0.0176298+3.47548e-15j -0.0165704+3.70778e-15j 0.0466451-1.02171e-16j 0.0251961+2.19449e-15j 0.0115106+6.64428e-15j 0.0458337+3.20362e-14j -0.00393573-2.29399e-15j 0.00947187+1.07786e-15j 0.0166593-8.8477e-16j 0.0105193+6.7742e-16j 0.0304117+4.39042e-15j 0.0255928+3.47859e-15j -0.0251196+6.0743e-15j 0.0211317+3.36668e-14j 0.00700526-9.20174e-16j -0.0381118-1.84464e-15j -0.0564084-5.87198e-16j -0.0232693-2.71835e-16j 0.0164356-2.37343e-15j 0.0375231-1.28468e-15j -0.0679576+5.82131e-17j -0.014925+2.07398e-16j 0.00151476-1.22674e-15j 0.0058364+5.4441e-16j -0.00991629+1.41051e-16j 0.0221735-2.79633e-15j -0.0355052+2.47016e-16j 0.0410841-5.71259e-16j -0.0231957+3.56068e-17j 0.0339272-2.64872e-14j 0.0236409+1.18233e-13j 
0.0238871-1.70349e-13j -0.0122637-3.70897e-14j -0.0752238+3.83933e-16j -0.0660702-3.37897e-16j 0.0584895-2.43669e-15j -0.0955238-1.58545e-14j -0.0361784-1.70689e-15j -0.20791+6.60807e-15j -1.56026+3.97279e-14j 0.0250223-1.97232e-14j -0.171708+1.4567e-14j 0.122156-5.5637e-15j -0.308873-1.29495e-14j 0.046537-4.85627e-15j -0.0664653+1.75453e-14j 0.493702-9.20216e-14j -0.0452124-1.04272e-14j 0.265703+2.23598e-13j 0.236884+5.30559e-14j -0.264173-1.11976e-14j -0.0893285+3.26876e-15j -0.11187+4.37031e-15j -0.104245-1.47875e-14j -0.169611+1.51275e-13j 0.00367163+1.53996e-15j 0.113836-5.01988e-14j -0.192954-1.42252e-14j 0.0068537+1.83027e-14j -0.0294211-1.92702e-14j 0.0206834+1.7507e-14j -0.0806245+2.85531e-15j 0.0341705+7.09279e-16j -0.0244568+2.24828e-15j -0.00946662+2.51673e-15j -0.0369167-9.30759e-15j -0.0122693-1.37322e-14j -0.0546779+8.85472e-15j -0.0333295+6.19317e-15j 0.002564-1.22273e-14j 0.0283882-1.03815e-14j 0.0125848+5.41242e-15j -0.0131678+9.50229e-15j -0.0245848+3.84166e-15j 0.0360043-2.87307e-14j 0.0070561-7.19792e-15j -0.0386935-9.28303e-15j -0.000664968+7.43262e-15j -0.0132775+8.31386e-15j 0.0360143-2.90993e-15j 0.004536+7.47621e-15j 0.00593481+1.96152e-15j 0.0111931+1.31075e-14j -0.0242798-1.01464e-15j -0.022038+6.93011e-16j 0.0283592+6.02525e-15j 0.00613489+2.47647e-15j 0.0420711+8.33532e-16j -0.00185477+1.17204e-15j -0.009301+3.37429e-15j 0.0866594+1.32145e-13j 0.0013014+4.9362e-16j -0.0550419+8.02177e-16j -0.0541895-2.81878e-15j -0.00950143-3.7415e-15j 0.0662992-1.25357e-15j -0.00429866-2.2696e-15j -0.00321896+2.98275e-15j 0.0317028+8.01182e-16j 0.0540476-1.30898e-15j 5.69066e-05+4.61172e-16j 0.0436026+1.0478e-16j -0.000771043+9.55087e-16j -0.0233512-2.29163e-15j -0.000499861+1.04448e-15j -0.0366733+1.13549e-15j -0.00557134-2.2757e-14j 0.0121061+9.81397e-14j 
0.00534892-1.10598e-13j 0.039104-2.61805e-14j -0.0648483-1.60702e-15j 0.00336614+5.56673e-16j 0.0136319+6.44759e-15j 0.0183278+5.79992e-15j -0.0509967-4.1935e-15j -0.0520726-5.43452e-15j 0.029117-1.99678e-14j -1.59802+9.06229e-14j -0.208422+3.30046e-15j 0.0709092+1.92423e-14j -0.128955+4.50482e-15j 0.38952+7.20477e-14j 0.00572371+9.83134e-15j -0.103846+4.91856e-14j 0.293064+9.45768e-14j -0.263911-2.49308e-13j -0.375508-5.96543e-14j 0.0376502+1.01704e-14j -0.0722667-2.53679e-14j 0.200416+1.29216e-15j -0.161566-3.51764e-15j -0.0659928+6.32894e-14j 0.239813-2.90155e-14j -0.00237907+1.65667e-15j -0.122612-6.97143e-15j -0.0698501+4.62452e-14j -0.177879+1.28129e-14j 0.0449038+1.80347e-15j -0.0446862-1.80938e-15j -0.030315+3.65728e-15j 0.00166934+5.72745e-15j 0.0218246-2.75768e-14j 0.0444114+5.04817e-15j -0.000101039-2.98793e-15j -0.0383042-2.51426e-15j 0.0518789-5.07779e-15j -0.0103787+9.39062e-15j -0.0726407+1.39881e-14j 0.0241002-6.36662e-17j -0.0470505+8.45716e-15j 0.0208851-1.26059e-14j -0.0452463+4.58061e-14j -0.0280369+1.73045e-15j -0.0569595-1.1249e-14j -0.013662-4.70526e-16j -0.028004+2.66618e-15j 0.053529-2.82021e-16j 0.0076402+1.07823e-14j 0.0553224-1.00098e-14j -0.00082823-5.78867e-15j -0.0652993-1.95104e-15j -0.0159803-6.5713e-16j 0.067334+3.80235e-15j 0.0164542+4.23202e-15j 0.0476423+3.8812e-16j -0.0518604-2.36554e-15j 0.0276017-7.08999e-15j -0.00595861-5.77212e-15j 0.0313102-8.1724e-15j 0.0210682-2.45692e-15j -0.0208065-1.53534e-15j -0.0105929+4.46608e-15j 0.030285-7.6094e-18j 0.00735541+1.63449e-15j 0.0597501-2.54879e-15j -0.0518531-3.93292e-15j 0.0378735+1.71348e-15j -0.0359247+2.8615e-15j -0.0214151+2.65612e-15j 0.018392-1.93322e-15j 0.00791171-1.31786e-15j 0.0231095+6.46313e-17j -0.0217088+2.03679e-15j -0.0041423+1.58975e-14j -0.0107753-7.20552e-14j 
0.0441084-3.47428e-13j -0.00367642-7.63396e-14j -0.00564092+1.95312e-15j -0.0288275-2.17134e-15j -0.141785-5.32085e-15j 0.0512976+5.32271e-15j -0.0446033+3.00185e-15j 0.114174-3.45039e-16j -0.125657+1.68077e-14j 0.154919-4.84945e-15j -1.49852-2.99392e-14j 0.364736+1.59933e-14j 0.14919+3.59466e-14j 0.0935457+2.43254e-14j -0.404311-1.84783e-14j -0.139694-8.75733e-15j -0.233703-8.61644e-14j 0.066631+5.90291e-14j -0.374312-2.42472e-14j -0.335794+2.60988e-15j -0.123764-4.55839e-14j 0.289849+3.55272e-14j -0.056297-4.3536e-15j -0.129473+1.23305e-13j 0.0251245-8.24881e-15j -0.0238295+9.59943e-15j 0.122901+7.2078e-15j -0.0143191-3.34607e-14j 0.13791+1.86316e-14j -0.0282238-3.82971e-15j 0.0793867+1.19445e-14j 0.144445-2.04511e-14j 0.000112118-5.66557e-14j -0.135438+2.663e-13j 0.0925034-2.97506e-14j 0.0467842+1.79251e-14j 0.0973414-1.56992e-14j 0.0042025-1.02558e-14j -0.0261377+1.42219e-14j -0.0203604+1.13256e-14j 0.00744026-1.00627e-14j -0.0348924-1.92737e-15j -0.0229999+3.65553e-15j 0.0247635-3.41867e-14j 0.040804+1.88173e-15j -0.0125681+9.50869e-15j -0.00237238+2.04713e-17j -0.0161565+5.36069e-15j -0.0278607-2.97038e-15j -0.0242806+4.757e-15j 0.035568-1.45613e-14j -0.0386392-2.50924e-14j -0.00108146+4.16631e-15j 0.00753804+1.07956e-15j -0.00603326-5.17126e-15j -0.000267304-9.3735e-16j 0.0418172+1.01549e-14j -0.0123891+4.47312e-15j 0.00420251-3.60821e-15j -0.026908-4.71591e-14j 0.0292018-8.9768e-15j -0.00167876+6.55259e-16j 0.0352898+2.4305e-15j -0.00318909+2.28912e-15j 0.0465246+3.67312e-15j 0.000680731+1.95225e-15j 0.0684628+1.88651e-15j 0.0556604+6.67623e-15j 0.00483903-3.15526e-16j -0.0559863+5.79173e-16j 0.0196178-7.15563e-16j 0.014037+1.03403e-15j 0.0447774+3.00988e-15j -0.051629-1.53774e-15j -0.0196098-3.9913e-16j 0.022506+7.32468e-15j 0.00123029-2.7535e-14j 
