-0.0342057+0.106466j -0.0132468-0.0981037j 0.0144473+0.0452569j -0.0147448+0.00433295j -0.0152858+0.00922264j 0.00465963+0.00660746j -0.00836951+0.0225481j 0.0226362-0.0013267j -0.00631682-0.0255583j 0.0353441+0.0257549j -0.0344625+0.0161796j 0.0149328-0.02445j -0.0215112+0.00430191j -0.0153819-0.0430245j -0.00938066-0.000229958j 
0.141377-0.2338j 0.00631218-0.0842451j -0.0435307-0.104521j -0.00408834-0.029188j 0.0208875-0.0364194j -0.0424451+0.0446405j 0.052793-0.0054408j 0.0192536-0.0267472j -0.00156807+0.0308888j 0.0115101+0.0196165j -0.0147371+0.0155889j -0.0187588+0.011367j -0.00117836-0.0380361j -0.00118641+0.0273821j 0.0187142-0.0140477j 
0.162544+0.055219j 0.0542129-0.00630009j 0.0895547+0.0750862j -0.0077144-0.0183276j -0.0376373-0.0210497j 0.0488456+0.0124489j 0.0321971-0.0176588j -0.0214454-0.0140926j 0.0197819-0.00451055j 0.0134897-0.00876667j 0.00266875+0.00929153j 0.00227667+0.0195917j -0.0176684-0.00340745j 0.00515808-0.0219801j 0.00646034-0.0104997j 
0.0232845-0.354462j 0.00478018+0.00942426j -0.142378-0.180667j -0.102224+0.0257596j -0.0335312+0.0294035j -0.0573576-0.0168006j 0.0454334-0.0208701j -0.0357707+0.0313298j -0.0222734+0.0125719j -0.000338857-0.00758556j 0.00879549+0.0339776j 0.0233113+0.00718393j -0.00208572-0.013596j -0.0276279+0.0219129j 0.00537171-0.0229409j 
-0.326015-0.00604839j -0.0184037-0.396618j -0.123115-0.0466579j -0.0805351-0.0574916j -0.0774422+0.0258798j 0.0282607+0.0141491j -0.0347125-0.0246175j -0.0524759+0.00724253j 0.0199552-0.0072832j 0.00943411-0.0164002j -0.018345-0.0181488j -0.015794-0.00115175j 0.00815195-0.0470791j 0.0121394+0.0153312j -0.0118123-0.0459617j 
0.471861+0.110252j -0.278221-0.287235j 0.172607+0.0468586j -0.091921-0.0332141j -0.0278026+0.015898j -0.0187071-0.0365458j 0.0879173-0.00365381j 0.0456491+0.0138796j 0.0399586+0.0327547j 0.0335442-0.00992716j 0.0235247-0.0362436j -0.020527-0.054331j -0.00381443-0.0394327j -0.0428471-0.0262659j 0.0162534-0.00295352j 
0.0400847+0.246457j 0.510963-0.30545j -0.0103026+0.0845715j 0.0408018-0.0191549j -0.0212596+0.0276626j -0.0506718-0.014819j 0.0459087+0.00898985j -0.0204768-0.00886562j -0.00290196-0.0473747j -0.0515125-0.0147423j -0.0204063-0.0346795j -0.0549464+0.0123736j -0.0193707-0.0191807j -0.0344953-0.00275825j 0.0334732+0.0266729j 
0.191901-0.292785j 0.380136+0.0907787j 0.193556-0.105727j 0.0385894+0.0137574j -0.0558838+0.00313004j 0.0877605-0.00180859j 0.0416185-0.00346191j -0.0117452-0.00397186j -0.0436024+0.00245484j -0.0375482+0.00216765j -0.00453828+0.0297926j -0.00296773+0.0269363j 0.00696023-0.00643608j 0.0186017+0.0249942j 0.0316775+0.0264626j 
-0.0177144-0.244882j -0.0676803-0.388191j 0.0514686-0.137371j 0.109411-0.0423901j 0.0813674+0.0168241j 0.0420657-0.00296725j -0.0779583-0.0249179j 0.0631876+0.021295j 0.0268159+0.011101j 0.00255859-0.0143096j 0.00381067-0.00305209j -0.0106297-0.0135008j 0.00207023-0.0584799j 0.0147594+0.0278551j -0.0916358-0.0268618j 
