0.00449661+0.0409396j -0.0412391-0.0311502j -0.052643+0.000155531j 0.00556767-0.0126886j -0.0718005+0.0133934j 0.00187144-0.0119663j -0.0261475+0.0401702j 0.00020068-0.0311598j 0.0151375+0.0055654j -0.00218447-0.0386337j 0.00277947+0.0513386j 0.00244991+0.014255j 
0.102415-0.103599j 0.0147312+0.00673158j -0.0162357-0.0612454j 0.0135492+0.047733j -0.030519+0.00528361j -0.0224586+0.0591434j 0.0141014-0.0086059j 0.00531355-0.0176845j -0.000994287-0.00608969j -0.0045634+0.0105303j 0.00634428+0.0145173j 0.00560102-0.00692411j 
0.0196627-0.0214422j 0.0331561-0.0683961j 0.0103242+0.119949j 0.00489308-0.0504714j -0.00539113-0.0525974j 0.000737974+0.03722j 0.00860941-0.0318597j -0.00661657-0.012633j -0.00317495-0.00281572j -0.000744226+0.0065473j 0.0056863-0.00544296j 0.00837661-0.0100647j 
0.155361-0.035077j 0.0461582-0.0337982j -0.00249336+0.0234803j 0.0102657-0.0288186j -0.0195563-0.00126157j -0.0294018-0.0333433j 0.0281041-0.0420165j 0.0180333-0.0410417j -0.00380776-0.0416152j -0.0135231+0.00402789j 0.0182348+0.0203704j -0.00672134-0.00444383j 
0.0024286+0.093512j -0.0416459+0.0695121j -0.0554175+0.0214619j -0.0193492+0.0309544j -0.0252064-0.0673907j -0.0503225-0.08711j -0.0266035+0.0226063j -0.0261396-0.0549112j -0.041728-0.0137832j 0.0183803-0.0232659j 0.0134983+0.00225371j 0.00027271+0.0135574j 
0.0333167+0.0446113j 0.10318-0.0714179j 0.0313499-0.0845794j 0.0450302-0.0435957j -0.0135104-0.00522479j -0.024985-0.0656877j -0.00910661-0.030637j -0.0634+0.0335356j -0.0315563-0.0163153j -0.0274932+0.0120632j 0.0227183+0.0105704j 0.00413002-0.013973j 
0.011478+0.0302851j 0.0741132+0.0419578j 0.0373728+0.0231246j 0.0503891-0.0289707j -0.0425027+0.0847157j -0.00107989-0.0945779j 0.034405+0.0357794j -0.00171194+0.0168576j -0.036805-0.0147633j 0.0554885-6.86035e-05j 0.0726704+0.0179892j 0.000310209-0.0172784j 
0.0126698+0.0197534j 0.0446444+0.0809907j 0.0481596+0.0343005j -0.00988496+0.0625838j 0.0470834-0.0996581j -0.0516693+0.00592385j 0.0365153+0.0821192j 0.0176554-0.00655414j 0.0144988+0.00248807j -0.0229564+0.0448534j 0.019794+0.0423933j -0.0351643+0.00925128j 
0.00186108-0.000662475j -0.0555138-0.0348418j -0.020531-0.0172641j -0.0743267-0.0419333j 0.110953+0.0529825j -0.0528718-0.0133425j -0.05015-0.0595653j 0.0155024-0.00238709j -0.0260851-0.0557342j 0.0251357+0.0415769j -0.0110745+0.0197241j 0.101683+0.0592711j 
