-0.270073-0j -0.345159-0j -0.211366-0j -0.33084-0j -0.149489-0j 0.359374-0j -0.141344-0j -0.115407-0j -0.127732-0j -0.110619-0j -0.0999659-0j -0.0349881-0j -0.0734993-0j -0.0348638-0j 0.280373-0j 0.132992-0j -0.0704502-0j -0.0469668-0j -0.0334174-0j -0.077974-0j -0.0222783-0j -0.0369863-0j -0.0900367-0j -0.0318328-0j -0.0427081-0j -0.0575343-0j -0.0150996-0j -0.0610243-0j -0.0272909-0j -0.0289464-0j -0.0389951-0j -0.018497-0j -0.0111438-0j -0.00528596-0j 
-0.770862-0j 0.0773521-0j 0.261552-0j -0.261107-0j -0.420945-0j 0.141344-0j -0.0730637-0j 0.142808-0j -0.100809-0j 0.0247903-0j -0.180194-0j -0.133977-0j 0.0909508-0j 0.0431417-0j 0.0199708-0j 0.00947297-0j -0.201084-0j 0.0581184-0j -0.0953824-0j 0.141946-0j 0.027568-0j 0.0673309-0j 0.0201777-0j 0.039391-0j 0.00957114-0j -0.103709-0j 0.0186848-0j -0.0481619-0j -0.0491934-0j -0.0228452-0j -0.109806-0j -0.0520855-0j -0.0539643-0j -0.0255975-0j 
0.272872-0j -0.513398-0j -0.488165-0j -0.214916-0j 0.151038-0j 0.115407-0j 0.142808-0j 0.110367-0j -0.189991-0j -0.255483-0j -0.0649385-0j 0.0353506-0j 0.074261-0j 0.0352251-0j 0.0900367-0j 0.0427081-0j -0.0457649-0j -0.187173-0j -0.0217082-0j 0.0787821-0j -0.0887838-0j 0.0373696-0j 0.0861048-0j -0.126362-0j 0.0408431-0j -0.085578-0j -0.0599386-0j -0.14094-0j -0.0405932-0j -0.0668539-0j -0.0253315-0j -0.0120158-0j 0.0112593-0j 0.00534074-0j 
-0.302014-0j -0.36241-0j -0.236363-0j 0.345698-0j -0.417238-0j -0.127732-0j 0.100809-0j 0.189991-0j -0.196488-0j 0.0788956-0j -0.0123151-0j -0.243474-0j -0.0821918-0j -0.038987-0j 0.0635573-0j 0.0301479-0j -0.0787821-0j 0.207162-0j -0.0373696-0j 0.0814759-0j 0.0982656-0j 0.0386474-0j -0.0945367-0j -0.0355975-0j -0.0448427-0j 0.0104345-0j -0.0168854-0j 0.063765-0j 0.00494953-0j 0.0302464-0j -0.108839-0j -0.0516269-0j -0.140705-0j -0.066742-0j 
-0.261552-0j -0.0605376-0j 0.0354631-0j -0.467118-0j 0.329441-0j -0.110619-0j -0.0247903-0j 0.255483-0j 0.0788956-0j 0.00336125-0j -0.322365-0j 0.104854-0j -0.0711802-0j -0.0337637-0j -0.0156296-0j -0.00741378-0j 0.15596-0j -0.0454849-0j 0.0739783-0j 0.0481619-0j -0.0215754-0j 0.0228452-0j 0.0360978-0j -0.226216-0j 0.0171227-0j 0.081165-0j -0.107304-0j -0.00653014-0j 0.0384999-0j -0.00309752-0j -0.196442-0j -0.0931805-0j 0.0422338-0j 0.0200332-0j 
0.236363-0j -0.440031-0j -0.422851-0j -0.0205084-0j 0.27933-0j 0.0999659-0j -0.180194-0j -0.0649385-0j 0.0123151-0j 0.322365-0j -0.135321-0j -0.12238-0j 0.0643253-0j 0.0305122-0j -0.113607-0j -0.0538887-0j -0.0396418-0j 0.0411045-0j -0.0188038-0j 0.0075178-0j 0.0194976-0j 0.003566-0j 0.0738-0j -0.109455-0j 0.0350064-0j 0.121134-0j -0.0519191-0j -0.0134493-0j 0.0574589-0j -0.00637955-0j -0.046848-0j -0.022222-0j -0.188075-0j -0.089212-0j 
-0.0827271-0j 0.327169-0j -0.0647442-0j -0.630626-0j 0.583306-0j -0.0349881-0j 0.133977-0j -0.0353506-0j -0.243474-0j 0.104854-0j 0.12238-0j -0.115578-0j -0.0225139-0j -0.0106793-0j 0.0844687-0j 0.040067-0j -0.0215799-0j -0.0143866-0j -0.0102362-0j -0.148629-0j -0.00682415-0j -0.0705011-0j 0.085344-0j -0.00975082-0j 0.0404822-0j 0.0704344-0j -0.00462522-0j -0.116321-0j 0.03341-0j -0.0551758-0j 0.152159-0j 0.0721752-0j -0.214852-0j -0.101913-0j 
0.116578-0j 0.148989-0j 0.0912369-0j 0.142808-0j 0.0645277-0j -0.170517-0j -0.211004-0j -0.172284-0j -0.190684-0j -0.165137-0j -0.149234-0j -0.0522318-0j -0.126625-0j 0.475513-0j 0.0384661-0j -0.144452-0j 0.0304101-0j 0.0202734-0j -0.114199-0j 0.0336578-0j -0.0761327-0j -0.126395-0j 0.0388647-0j 0.0137408-0j -0.145949-0j 0.0248349-0j -0.0516006-0j 0.0263414-0j -0.0932625-0j -0.0989198-0j 0.0168324-0j -0.0632107-0j 0.00481027-0j -0.018064-0j 
-0.141344-0j -0.0327148-0j -0.110619-0j 0.110431-0j 0.178032-0j -0.65046-0j 0.0463319-0j 0.208884-0j -0.147452-0j 0.0362605-0j -0.263567-0j -0.195966-0j -0.0384661-0j 0.144452-0j 0.0265742-0j -0.0997941-0j -0.0368703-0j -0.0245802-0j 0.138459-0j 0.0260269-0j 0.092306-0j -0.0977388-0j -0.00853384-0j -0.0166598-0j 0.0320471-0j 0.0438619-0j 0.0625624-0j 0.0203693-0j -0.164714-0j -0.0764927-0j 0.0464406-0j -0.174398-0j 0.0228233-0j -0.0857083-0j 
0.257744-0j -0.142808-0j 0.199905-0j 0.0880086-0j -0.0618507-0j 0.163443-0j -0.466511-0j -0.106174-0j 0.182773-0j -0.361825-0j -0.0919684-0j 0.0500649-0j -0.0304101-0j 0.114199-0j -0.0368703-0j 0.138459-0j -0.0432277-0j -0.0194324-0j 0.162333-0j 0.0744144-0j 0.0729743-0j -0.279448-0j 0.0239512-0j 0.0517455-0j -0.0899438-0j -0.0238046-0j -0.19432-0j 0.0577155-0j 0.0893935-0j -0.216739-0j 0.0103733-0j -0.0389549-0j -0.00461071-0j 0.0173146-0j 
-0.0744946-0j 0.375523-0j -0.0583013-0j -0.0912559-0j -0.0412338-0j 0.108962-0j 0.134834-0j -0.434238-0j -0.480613-0j 0.105524-0j 0.0953618-0j 0.0333766-0j -0.0202734-0j 0.0761327-0j -0.0245802-0j 0.092306-0j -0.0194324-0j -0.043199-0j 0.0729743-0j -0.0215077-0j 0.162225-0j 0.0807677-0j 0.0979574-0j -0.00878048-0j -0.367859-0j 0.0625957-0j 0.0329733-0j -0.0168324-0j -0.235065-0j 0.0632107-0j -0.0107561-0j 0.0403923-0j -0.00307381-0j 0.0115431-0j 
