0.0613834-0j 0.0478894-0j 0.0227159-0j 0.0275622-0j 0.0305058-0j 0.0160122-0j 0.00438513-0j 0.0177223-0j 0.00485344-0j -0.330332-0j -0.447779-0j 0.0106413-0j -0.286135-0j 0.00651646-0j 0.00437137-0j 0.0144248-0j 0.00883334-0j 0.000846512-0j 0.00921758-0j 0.00564459-0j 0.00592559-0j 0.00114748-0j 0.00378651-0j 0.000733254-0j 
0.116276-0j -0.0262301-0j 0.0985018-0j 0.188096-0j 0.208184-0j 0.0303313-0j 0.0297234-0j 0.0335706-0j 0.0328977-0j -0.0106413-0j -0.0144248-0j -0.251153-0j -0.00921758-0j -0.00356921-0j 0.0189553-0j -0.34045-0j -0.00483822-0j 0.00780502-0j -0.217551-0j -0.00309167-0j 0.0256948-0j 0.01058-0j 0.0164192-0j 0.00676075-0j 
-0.0784492-0j -0.0110843-0j -0.00525773-0j -0.0352251-0j 0.0248655-0j -0.0204639-0j -0.00560428-0j 0.0144456-0j 0.00395608-0j -0.621506-0j 0.103641-0j 0.0200212-0j -0.53269-0j 0.0122605-0j 0.00822457-0j -0.0033387-0j -0.00204453-0j 0.00159268-0j 0.0171601-0j 0.0105084-0j -0.00137151-0j -0.000265592-0j 0.00704923-0j 0.00136508-0j 
-0.0205886-0j 0.271295-0j -0.00761916-0j -0.00924466-0j -0.010232-0j 0.0907095-0j -0.00147082-0j 0.100397-0j -0.00162789-0j -0.00651646-0j -0.00883334-0j -0.00356921-0j -0.00564459-0j -0.273743-0j 0.0247639-0j -0.00483822-0j -0.37107-0j -0.000283929-0j -0.00309167-0j -0.237117-0j 0.0335686-0j -0.000384878-0j 0.0214506-0j -0.000245941-0j 
-0.0480401-0j -0.0374794-0j -0.017778-0j 0.0493086-0j -0.0238746-0j 0.0286457-0j 0.00784495-0j -0.0138699-0j -0.00379842-0j 0.258525-0j -0.801072-0j -0.00832816-0j 0.223936-0j -0.00509993-0j -0.00342114-0j 0.0258058-0j 0.0158028-0j -0.000662501-0j -0.0072139-0j -0.00441759-0j 0.0106008-0j 0.00205284-0j -0.00296341-0j -0.000573862-0j 
-0.109342-0j -0.0856074-0j 0.117154-0j 0.0062015-0j 0.00686381-0j 0.226608-0j 0.0922668-0j 0.25081-0j 0.102121-0j 0.00437137-0j 0.00592559-0j -0.0189553-0j 0.00378651-0j -0.0247639-0j -0.179115-0j -0.0256948-0j -0.0335686-0j 0.0388289-0j -0.0164192-0j -0.0214506-0j -0.242798-0j 0.0526344-0j -0.15515-0j 0.0336339-0j 
0.0751947-0j -0.0374157-0j -0.0177478-0j -0.0217082-0j -0.0349182-0j -0.0126113-0j -0.00345375-0j -0.0202857-0j -0.00555546-0j -0.404656-0j -0.224932-0j 0.0130356-0j -0.0386144-0j 0.00798266-0j 0.00535493-0j 0.00724597-0j 0.00443723-0j 0.00103698-0j 0.00124393-0j 0.000761747-0j 0.00297658-0j 0.000576413-0j 0.000510995-0j 9.89538e-05-0j 
-0.148603-0j 0.0060711-0j -0.0227988-0j -0.24039-0j 0.169692-0j -0.038764-0j -0.037987-0j 0.0273637-0j 0.0268152-0j -0.0200212-0j 0.0033387-0j -0.472535-0j -0.0171601-0j -0.00671533-0j 0.0356637-0j 0.0787989-0j 0.00111983-0j 0.0146848-0j -0.405008-0j -0.00575568-0j -0.0059472-0j -0.00244881-0j 0.0305672-0j 0.0125863-0j 
0.0450224-0j -0.00208659-0j -0.201776-0j -0.00120092-0j -0.00132917-0j 0.0117444-0j 0.279691-0j 0.0129986-0j 0.309561-0j -0.000846512-0j -0.00114748-0j 0.00780502-0j -0.000733254-0j -0.000283929-0j -0.0388289-0j 0.01058-0j -0.000384878-0j -0.0861563-0j 0.00676075-0j -0.000245941-0j -0.0526344-0j -0.116789-0j -0.0336339-0j -0.0746291-0j 
-0.0339766-0j 0.0603199-0j 0.0286122-0j -0.0152561-0j -0.0421444-0j -0.00886298-0j -0.00242723-0j -0.0244837-0j -0.00670513-0j 0.182843-0j -0.564007-0j -0.00589012-0j 0.33815-0j -0.00360695-0j -0.00241961-0j 0.018169-0j 0.0111262-0j -0.000468556-0j -0.0108932-0j -0.00667069-0j 0.00746366-0j 0.00144533-0j -0.00447483-0j -0.000866547-0j 
