-0.0644707+0.465529j 0.208874-0.0542294j -0.0717067+0.092857j -0.0142018-0.0232433j 0.00974425+0.0190541j 0.0186554+0.0264944j 0.0454407-0.0129373j 0.0205898-0.0308145j 0.0425793-0.0483818j 0.0454225-0.0192797j -0.0236821-0.0258187j -0.0255292-0.0116813j 0.0014396+0.0301688j -0.0116415-7.24846e-05j 0.0259335-0.0200683j 
0.687784+0.156437j 0.0155312+0.00959152j 0.0299812+0.029664j 0.0136858-0.031957j -0.0811244-0.0186353j -0.0141167+0.0495251j -0.00163419+0.00723377j 0.0106522+0.0351778j -0.00764123-0.00891624j 0.0331458+0.00629509j 0.0321457-0.00951546j 0.0218826+0.00623813j 0.032865-0.00211175j 0.027698-0.0109988j -0.0259892+0.0031552j 
-0.166029+0.500756j -0.0836958+0.0626989j 0.0489204-0.00639545j -0.0213763-0.00205967j -0.00740574+0.0322178j 0.0330882+0.0254159j 0.000473503-0.0129715j 0.0219962+0.010652j -0.0327366-0.0159144j -0.0341855-0.0360279j 0.00636569-0.0149123j 0.0361449-0.0110693j -0.0211487-0.0206922j 0.00245044-0.03325j 0.00333229+0.0122479j 
0.00582636+0.184047j -0.302165+0.35471j 0.058686-0.236787j -0.0663433+0.0170009j -0.0420436+0.00664207j 0.027139+0.00425911j -0.0923474-0.0167903j 0.0078222+0.0191962j -0.0127206-0.022625j -0.00095179+0.00213069j 0.0116861-0.00909604j -0.0143178-0.0105888j 0.0256532+0.000917567j -0.0146259-0.0190342j -0.0410541+0.0287883j 
0.167138-0.00966773j 0.204961+0.215965j -0.0418485-0.158144j -0.0365091-0.00608923j 0.0619546+0.00396574j -0.0695574+0.0168168j 0.081587+0.0164505j 0.0157949-0.0017863j 0.0428383+0.0410092j -0.0227217-0.0350096j -0.0144934+0.00343368j 0.00436644+0.00948017j 0.00714557+0.00335947j 0.0205975-0.00957527j 0.0110273+0.0127808j 
0.00382727-0.00135981j 0.346679-0.0431594j -0.218605-0.0540467j -0.00933403-0.124829j -0.0124369+0.0566835j -0.0159737-0.119601j -0.0305126-0.0283664j -0.0770982+0.063866j 0.0104711-0.0528112j 0.0153366-0.0016035j 0.0458867+0.00116054j 0.00740573-0.0350817j -0.0430344+0.0258614j -0.0165382-0.00808134j 0.0474878+0.0243052j 
-0.00854356+0.129018j 0.180126-0.203313j -0.0402903+0.161528j 0.0317067+0.00907029j 0.0332332-0.0203941j -0.0103726+0.024138j 0.0953818+0.000289116j 0.000401696-0.00860946j 0.0211046-0.0468032j -0.0405069+0.0166415j -0.0145618-0.00121808j 0.00449872-0.00304467j 0.0443553+0.00206953j -0.0195304+0.0144889j 0.0259992+0.00549768j 
-0.0897932-0.0405064j 0.327618+0.332493j -0.128833-0.228008j -0.043647-0.0134652j 0.0845915+0.0108621j -0.0896007-0.00731741j 0.0875714-0.0209254j 0.0316021+0.0117063j -0.000233716+0.0374918j 0.0077906+0.0270407j -0.0177542-0.00352056j -0.0225179-0.00115528j -0.0120277-0.0572132j 0.0165992+0.0300156j 0.07599+0.015982j 
