0.0204439+0.0616803j 0.0391211+0.0331509j -0.0168089-0.0306526j 0.0430503-0.0118108j 0.0230566-0.0245778j 0.0294093+0.00299671j 0.0317672-0.0297044j 0.00306424-0.00235611j -0.0362921+0.00704579j -0.0118326+0.0127943j 0.0129695-0.00569932j 
0.0126783+0.0243712j -0.00805213-0.0126919j 0.0657152+0.0239548j -0.0547949+0.0051257j -0.0101465-0.0126101j -0.0531805+0.00241021j -0.0136482-0.0134815j 0.0391048-0.0166762j -0.04694+0.014653j 0.00183679+0.00804088j 0.0294866-0.0141615j 
-0.00562702-0.00760966j 0.00823004+0.0126711j -0.022192-0.0203009j -0.0107649-0.0155601j -0.0426657-0.00686776j -0.0448209-0.00374723j -0.0354281+0.00549027j 0.0613928-0.00467404j -0.0338528-0.00487456j -0.0413504+0.00486823j -0.0415859+0.0175708j 
0.0708232-0.0794596j 0.00223718-0.042541j -0.00739577+0.0691527j 0.0207323+0.0229021j 0.0281877+0.0429137j -0.00418358-0.0143045j 0.0244897+0.0340626j 0.00197186-0.00171881j -0.0106998+0.01436j -0.0157972-0.0169997j 0.00613701-0.0015632j 
-0.0223797+0.0328985j 0.0390485-0.0553894j 0.000936998+0.0562231j 0.00436158+0.0761813j -0.00522969-0.0295051j 0.0240867-0.000175269j -0.0125927-0.0445847j -0.00223922-0.00740561j 0.00499796+0.0149665j 0.017061+0.0328738j -0.0205721-0.0135618j 
0.00578806-0.00907095j -0.00592861+0.0101304j -0.0153275+0.0242962j -0.0132648+0.131235j -0.0122614+0.00310719j -0.0071958-0.000106738j -0.0122384-0.00337964j 0.0140256+0.130644j 0.0145761+0.0239648j -0.00680778-0.0103115j 0.00507936+0.00902342j 
-0.00279955+0.0148509j 0.0207783-0.0315613j 0.00224518+0.0197488j 0.000698236-0.0120998j -0.00951618+0.0479504j 0.0132755-0.000997607j -0.00014706+0.0316485j 0.00928767+0.078132j -0.0218914+0.0656758j 0.0321114+0.0580865j -0.0144603-0.0347416j 
-0.00299392-0.00106833j -0.00723517+0.0204758j -0.0112199+0.00991774j 0.00350138+0.00414035j 0.00855884-0.0467962j -0.012024+0.0142262j 0.0152402-0.052591j -0.00311556+0.0242137j 0.0041584+0.0730849j -0.0155142+0.0520985j 0.0521019+0.100697j 
