-0.155339-0.465563j -0.0565411+0.087554j -0.10282-0.164605j 0.051485+0.0360848j -0.00103366-0.00591871j 0.0303041-0.0361966j 0.0056414-0.086834j 0.021064-0.0374964j -0.0225026+0.00902185j 0.0233296-0.0121202j 0.000556328+0.0154853j 0.0173366-0.00894961j 0.0104799-0.0176147j -0.00920158-0.0419896j 0.002397-0.0308121j 
0.139997-0.0963442j 0.203619+0.127478j 0.0908016-0.0160949j 0.0527957-0.0356155j 0.0118705-0.018972j -0.0132119-0.0257579j 0.0142005-0.0700881j 0.00656187-0.0138174j -0.0130042+0.013491j -0.0177763+0.0114076j 0.029625-0.0176203j 0.0316457-0.0199995j -0.00557223-0.0104783j -0.0186851+0.00434131j -0.0053437-0.0131258j 
-0.00614117-0.0767829j -0.616875+0.408845j 0.096098-0.0570893j -0.0618681+0.0418394j -0.0269635+0.014734j -0.0535198+0.00602736j 0.0125745+0.0192555j -0.0689615+0.0424324j -0.00105019+0.0174445j -0.0496773+0.031332j 0.0327272-0.000188045j -0.00619744-0.010535j 0.0363725+0.00756113j 0.00502944-0.000436706j 0.0342264-0.00489633j 
0.112667-0.297391j 0.185361+0.164686j 0.00705345-0.121604j 0.00565808+0.0537438j -0.0337298-0.0861697j 0.0308838-0.0219083j -0.0178949-0.0944033j 0.013255-0.0101827j -0.0134515+0.00454971j 0.0079461+0.0450817j -0.000306839-0.025508j 0.0230137-0.0199628j -0.0278495+0.0107141j -0.0025726+0.00328789j -0.0158427-0.013303j 
-0.490968-0.337692j -0.315491-0.154717j -0.22856-0.182809j -0.0514936-0.0380322j 0.0921637+0.0235998j 0.0105074+0.0143503j -0.0226346-0.0520332j -0.0302394-0.0325695j 0.00976716-0.00312084j 0.00703813-0.0129846j -0.0242465-0.0112227j -0.0365286-0.00579253j -0.0243543-0.0450631j -0.00841887-0.0397071j 0.00028918-0.0254466j 
-0.0719483+0.152638j -0.245997-0.0200335j -0.0292502+0.0375684j -0.0578632+0.0349923j -0.0259037+0.0143142j 0.00919435+0.0243345j 0.0186721+0.0633836j -0.0161755-0.0313669j 0.0229081+0.00440541j -0.047169-0.0167335j 0.0341653+0.0042695j -0.010723-0.000838085j 0.00276912-0.0393433j 0.00662789+0.0195192j -0.00901596+0.0113766j 
-0.0414288+0.305192j 0.166332-0.360496j -0.0588624+0.167102j 0.0653295-0.0160447j -0.00665986+0.0861904j 0.0177449-0.0169126j 0.0105443+0.0593122j -0.030336-0.0260635j 0.0212856-0.0283585j 0.0129272-0.00346597j -0.0252834-0.0246657j -0.0292527+0.00853175j -0.0444396+0.00152801j 0.0296406+0.00734926j -0.00466323+0.0439108j 
