-0.0124164+0.0140899j 0.0610238+0.0569397j -0.00773982+0.0539568j 0.0253295-0.0316667j -0.00865327-0.0470954j 0.0065907+0.0198712j -0.0444268-0.00789521j -0.0279512-0.0172752j 0.0130777+0.060571j 0.0806618+0.0568971j -0.0863734+0.016614j -0.104668-0.0543808j -0.0160262-0.0635724j -0.0428182-0.0558876j -0.0414067-0.0638101j 0.0430273+0.0498926j -0.0295555-0.0214815j -0.0268895+0.0171513j -0.0231645-0.0220211j -0.0332386+0.0685338j -0.0154978-0.0837429j -0.0134538-0.0408288j 0.0387521+0.0101026j -0.0943285-0.139286j -0.0899265+0.073678j -0.0443558-0.0324583j -0.0499591-0.0493686j 0.0395854+0.0719439j -0.0279306-0.0115798j 0.0108612+0.0127673j 0.00574995-0.0101805j 0.0403989+0.0067701j -0.105609-0.0775235j -0.019617-0.00119997j 0.0364545+0.0114534j 0.0145-0.0438738j -0.0133362+0.0269593j 0.0108512+0.0170111j -0.0078035-0.109582j 0.0106338-0.0197182j -0.00814456-0.0445393j -0.0226408-0.012307j 0.0387914-0.0010761j 0.0435016-0.0107377j 0.0324191-0.0461159j -0.0260518+0.0541522j 0.0162794-0.00761702j 0.0164052-0.0102833j 0.084131+0.0216755j 0.042944+0.0264429j -0.0789935+0.0172755j -0.0391271-0.0129147j -0.0177265+0.0193265j 0.0664912+0.107525j -0.1043+0.0440408j 0.160484+0.202686j -0.0055984-0.0416157j -0.0487198-0.0239451j -0.0456278-0.0338867j 0.0388176+0.00707171j 0.0361489+0.0369778j -0.0337114+0.0148179j 0.150997-0.00756887j -0.013647-0.0177346j -0.0211005-0.0291715j -0.00198022-0.0134882j -0.0404285+0.0447612j -0.000398063-0.0240792j -0.0145114-0.0327812j 0.00676021+0.0384847j -0.00172863+0.0201513j -0.00664841-0.00152044j -0.0623285-0.0855654j 0.0388925+0.0240788j -0.0162747-0.0167859j -0.0086931-0.0220686j -0.0341491-0.0314566j 0.0918856+0.00191589j 0.0571179-0.00627754j -0.0543442-0.0107028j 0.066878+0.0217796j -0.06975-0.0114133j -0.00472706-0.0207261j 0.0776899+0.0666891j 0.0314846+0.0315973j 0.0816715-0.0364805j 0.0300293+0.0195387j -0.0333352+0.0863372j -0.123003-0.0567631j 0.00652138-0.0347413j 0.0598922+0.0176645j -0.064053+0.0735711j 
0.0736632+0.0493465j 0.0100062-0.00474913j -0.0650506+0.00308321j -0.0137664+0.0464679j -0.0973963-0.0338759j 0.016967-0.0112964j -0.0279645-0.0219029j -0.0599749-0.0733612j 0.0691172+0.0607219j -0.0685577-0.0132734j -0.00402115-0.0136387j 0.00201898+0.0223352j 0.0076123+0.00744503j -0.0248723-0.0356173j -0.0132152-0.0799401j 0.00611959-0.00847478j -0.0473002+0.0022905j -0.0402244+0.0303194j 0.0217376-0.0224556j -0.0147131+0.00167417j -0.0969173+0.0268002j -0.0517563-0.0131144j 0.0616927+0.0393922j -0.145605-0.0718721j 0.163078+0.163624j -0.0560247+0.0148438j -0.0415693+0.000599377j 0.0391883-0.00017545j -0.0409563+0.0127919j 0.0136331+0.00961115j 0.0254062-0.0329611j -0.0225318-0.0490509j -0.0314127+0.043547j -0.00778262-0.0082499j -0.0094583-0.0330798j 0.0048688+0.0258079j 0.00406493+0.00973881j -0.0354843-0.0385398j -0.0259007+0.00634153j -0.0349214-0.0335521j -0.0596461+0.0082193j -0.0234813+0.0273578j -0.0368718-0.00404885j -0.0127749-0.0285628j -0.0943684-0.0725087j 0.0218531+0.017948j 0.0213169-0.0332459j -0.0120663-0.0389515j -0.0861613-0.0329251j 0.00256321+0.00287806j 0.0849595+0.10165j 0.0535762+0.0277604j 0.00272487-0.00136524j 0.108766+0.0240297j 0.126439+0.208511j 0.100211-0.0759498j -0.0892899+0.00830737j 0.0242266+0.0128915j 0.0131373+0.0448107j 0.00412121-0.06453j 0.053979-0.0165026j 0.0860563-0.00704573j 0.0595082-0.0326712j 0.0101804+0.0478277j -0.0618484+0.0503654j -0.0474383+0.00330108j 0.0801265+0.00480698j -0.0415707-0.0128866j -0.0331066+0.025042j 0.0888458-0.0482693j 0.0360441+0.0139653j -0.056199+0.0230415j -0.0342809-0.000732952j -0.0579619-0.0152736j -0.0461917+0.00283583j -0.00534306-0.0166003j -0.0129218+0.015779j -0.00586543-0.0637855j 0.0463739-0.0332438j -0.0387003+0.0295677j -0.00174335-0.0254951j -0.00682326+0.0386063j 0.0371324-0.0150824j 0.0372795-0.0415934j 0.0368678-0.00867933j -0.0561267-0.115127j 0.0873756+0.0151856j 0.102503+0.00763141j -0.018578+0.0567107j -0.0790333-0.0391076j 0.0604895-0.0847206j 0.0452654+0.0134297j 
-0.0234062+0.0265253j -0.0480773+0.00965514j 0.0267209-0.0549567j -0.0216201+0.0403803j -0.0515381-0.0535736j 0.0134159+0.0251005j 0.0398451+0.0126016j 0.00105321-0.0898744j -0.0245343-0.0142525j 0.0700796+0.0103918j 0.0997143+0.0265095j 0.0344593-0.0451716j 0.00797595-0.0607975j -0.0015264+0.0114507j -0.0337562+0.0109168j 0.0992469+0.13562j 0.0555894-0.0676447j 0.0289586+0.0500266j -0.0532751-0.0473858j 0.0970853-0.0639718j 0.0948986-0.0536628j 0.0713665-0.00393436j 0.019502+0.0431273j -0.00280022-0.0146847j 0.190965+0.0180219j 0.126059+0.00676991j 0.0109917+0.00185681j -0.0801545-0.0063421j -0.0362293+0.0537513j -0.0025854-0.0361862j 0.0435383+0.0570335j -0.0297978+0.0287686j 0.0312999-0.0147963j -0.0243186+0.0227417j -0.0649982-0.0274546j -0.0192053-0.0265884j -0.0480266-0.00051139j -0.0539905+0.000479248j 0.0281109-0.00930812j -0.104243-0.0398922j -0.0440034-0.0914116j -0.0296075-0.00930658j 0.0634192+0.00295372j -0.0411031+0.0285597j -0.0543451-0.0283551j 0.0449459-0.00543974j 0.0388791+0.0581124j -0.126799-0.0960232j 0.0658754+0.0528069j 0.100152+0.033701j -0.0391826+0.0216914j -0.0256234-0.11942j 0.00857972+0.0402902j -0.0897192+0.0949223j -0.0692328+0.0341159j 0.105316+0.0971995j 0.0449077+0.119126j 0.0128745-0.113677j 0.0661955-0.00725959j -0.0218591+0.0197791j 0.0137561-0.0134841j -0.0965045-0.0772197j -0.0923347+0.0682044j 0.0120437-0.0046441j 0.0516223+0.0357989j -0.00548455-0.000882575j -0.0160199-0.0570706j -0.0066391+0.023909j 0.000718277+0.0563341j 0.0301404-0.0483265j -0.0264939+0.0236605j 0.044779-0.000159269j -0.074508-0.0422665j 0.0875076+0.0180701j 0.0434825+0.00143363j 0.0137776-0.023293j 0.0317223-0.00495607j -0.0592294-0.0191292j -0.0641153-0.0205967j 0.0411064+0.0103362j 0.0100755+0.0257666j 0.00839149+0.000596688j -0.0603096-0.0289444j 0.0326212+0.0640352j 0.0118929+0.0381872j -0.0514232-0.0087215j -0.0216072+0.0330879j 0.0618978-0.047893j 0.0693909-0.0134401j -0.0450566-0.0169922j -0.00950844-0.0288403j 0.014283-0.068068j 
0.0395702-0.027319j -0.022944+0.0287643j 0.0135265+0.0950534j 0.0229916+0.0480009j 0.0343629+0.0680213j 0.00925123-0.0625934j -0.051728+0.0536841j 0.0717493+0.0211484j -0.0963155+0.0576787j -0.073199+0.0166834j -0.0271303+0.0394706j 0.00995647-0.109592j -0.0468715-0.0227462j 0.0880027+0.0594888j 0.00176274+0.00820276j -0.0396262+0.12348j -0.0127114+0.0273127j 0.0598943+0.0191489j 0.0489474+0.0117338j 0.0530384+0.0281166j 0.0277146+0.0357079j 0.110862+0.0302431j 0.0514277-0.0899731j -0.00671779+0.0422111j -0.124573-0.0156662j 0.0540878+0.0526763j 0.054969+0.0294206j -0.0063034-0.045054j 0.0163393+0.0168463j -0.0332002-0.0267402j -0.00354951-0.0444408j 0.035943-0.059133j 0.077204-0.011986j 0.0239734-0.0177467j -0.0299861+0.0252927j 0.00458255+0.0369255j -0.031295-0.0377093j 0.0888137+0.00811299j -0.0016546-0.00970305j 0.0261046+0.0448238j 0.0724572+0.0766822j 0.00855969+0.0218961j 0.0941764-0.0520957j 0.0515796+0.0255992j 0.091611+0.139973j 0.0324668-3.93645e-05j 0.0757955+0.0177224j 0.0544735-0.00106469j -0.0638929+0.0562703j -0.0221836+0.00184106j 0.0201939-0.00528759j 0.0654611+0.0750491j 0.0084152-0.000747507j 0.00636696-0.0315981j -0.0384357+0.0288266j 0.02544+0.0294004j -0.0832557-0.0390389j 0.0560012+0.0445116j -0.050559-0.0090554j 0.0421966-0.0694036j 0.0305023+0.00688589j 0.0880272-0.00419056j 0.0162927-0.095516j 0.0231889+0.0243211j -0.00294261+0.0622957j 0.0160859+0.0600927j 0.00564798+0.00479143j -0.0252778-0.0324089j -0.0308471-0.0108057j -0.027209-0.0282297j -0.0451175-0.0135281j 0.00361814+0.0577043j -0.0549348+0.024786j 0.0957211+0.0343982j 0.00405428+0.00647545j 0.0354724-0.0211456j 0.0309966+0.0396008j 0.0370522-0.028378j 0.0183646-0.0435279j -0.021826+0.0167089j 0.00538925-0.00542036j -0.011407+0.0298426j -0.0447464-0.0532677j -0.0298355-0.0223395j -0.00907638+0.0144967j 0.0230211-0.0304138j 0.00219034-0.0505841j 0.0197366+0.0225205j -0.0704987-0.0124305j -0.0295256-0.00688156j -0.00544022-0.0728751j -0.0270574+0.037566j 
0.0217818+0.0145696j -0.0370225+0.0122412j 0.0240655-0.0267482j -0.10092+0.010095j 0.0257424-0.0487056j -0.107499-0.0515677j 0.0527256-0.0381002j -0.0597598-0.00828927j 0.0269546+0.023381j -0.0499235+0.000532978j -0.0116287+0.0779389j 0.0638996+0.036866j 0.080134+0.0204134j -0.00271156-0.0449303j -0.0207186-0.0560857j -0.0454905-0.0169852j 0.0195932-0.00735206j 0.0586096-0.0351365j 0.0563258-0.0459397j -0.0314892-0.0582426j -0.00802265+0.101276j -0.0848959-0.0269283j -0.016076-0.0686555j 0.0470691+0.0109103j 0.127899-0.166726j -0.0203984+0.00541088j -0.00499258+0.00800738j -0.0296601-0.017009j -0.039284+0.00932912j -0.0137988-0.00456785j 0.0345015+0.0176762j -0.0514049+0.0196378j -0.00865829-0.00972231j 0.0556581+0.0408655j -0.00671504-0.00986805j 0.0244074-0.0764396j -0.0698367+0.0100688j -0.0926385-0.0073823j 0.0441853-0.0525496j 0.039108-0.0149596j 0.00239268-0.0607414j 0.0777658-0.00369184j -0.0384379-0.0128218j -0.00433837-0.00695469j 0.04132-0.0250679j -0.0217088+0.0235975j -0.115068-0.0204027j 0.0445308-0.0181243j -0.0350263+0.0545375j 0.124791+0.0909662j -0.00979159-0.0285875j -0.050024+0.00896901j -0.0153922+0.0610062j -0.0322758-0.0375486j 0.0556998-0.0615047j -0.00227562+0.0295344j 0.0637705-0.0397883j 0.100002+0.00456075j 0.039236-0.0278675j 0.0321706-0.0269833j -0.0426057-0.00503746j 0.0807924-0.143031j 0.057512+0.105321j -0.00985033+0.0413061j -0.0488203+0.105472j -0.0252727+0.0628343j 0.0391462-0.0388439j -0.0104585-0.0130225j -0.00969234+0.016532j 0.0369409-0.00396923j -0.00194436+0.0228434j -0.0228529-0.0276378j 0.01199+0.0254523j -0.0107451-0.00181913j -0.0236422-0.00512075j 0.0417655-0.0427226j -0.00804486+0.0174254j 0.0467946-0.0147862j 0.0251354+0.00223313j 0.00567068+0.0119481j 0.0104986+0.00466134j -0.0110893+0.0196479j 0.00170726-0.058399j -0.0336671-0.0392878j -0.0688386+0.0229345j 0.000618733-0.0257688j 0.0622179-0.0385388j -0.00243857+0.00986526j 0.00397615-0.0041655j 0.00750475-0.0548997j 0.0077981-0.0345074j -0.0129135-0.0224933j 
0.0265996-3.95575e-05j 0.0354608+0.00995554j -0.00737958-0.00114423j 0.00814905-0.0260222j -0.0580618-0.0374701j 0.064374+0.0168648j -0.0157441-0.00962317j -0.0210581-0.0252816j 0.0510451-0.00539595j 0.0657826-0.0408388j -0.00913689+0.0473726j 0.0634384-0.0327857j -0.0908006+0.00209703j -0.00987186+0.109593j -0.0916194-0.0292277j 0.00540485+0.135452j 0.0909471-0.0280229j 0.0748719+0.0126955j -0.0682129+0.031451j 0.0389451+0.0173783j 0.0355408-0.0950276j -0.0192822+0.046081j -0.0182766-0.0869075j 0.0926357-0.00372212j 0.0937207-0.00691324j 0.0738969-0.0205393j -0.00339002-0.0323819j 0.0274744-0.00504278j -0.0364669-0.0120931j 0.0286908-0.0117184j -0.0183394+0.0116598j 0.0458018-0.0537632j 0.00208968-0.0857846j -0.0262194-0.00571692j 0.0779458-0.046329j -0.0341174+0.0516578j 0.0320397-0.00508115j -0.0676474-0.0615323j 0.0427226-0.0785566j -0.0982386-0.00587347j -0.0460766+0.0153488j -0.0510503-0.019749j 0.0990481-0.0459814j -0.0657252+0.0124755j -0.0523513-0.101884j 0.0429527+0.0781423j 0.100001+0.0056499j 0.0393133+0.0200325j -0.0264128-0.0683796j 0.034872+0.1211j -0.0201752-0.0106462j 0.0916698-0.0019645j -0.0346582+0.0599308j 0.102835-0.0879801j 0.0725867-0.0263673j -0.0951167+0.0140186j 0.00895606-0.00264069j -0.139387+0.112894j 0.0720684+0.0124093j -0.0772304-0.038681j -0.0410677-0.0532943j 0.0069586+0.0402808j 0.0772642-0.0421086j -0.0184888+0.00487111j 0.0127159-0.000962537j -0.087152-0.018353j -0.0272702+0.0281092j -0.0203909-0.023417j 0.0459559-0.00564372j -0.104483+0.0106642j -0.0708087-0.024594j 0.0176524-0.030484j -0.0213352-0.00843416j 0.0712932+0.0157004j 0.0510736-0.0228797j 0.0586835+0.0428699j -0.00862744+0.0131106j 0.0319518+0.0287583j -0.00951864+0.0221778j -0.0105575-0.00638424j 0.0450552+0.0238862j -0.0291903-0.00357651j 0.0507039+0.0128568j 0.0382861+0.00902624j -0.0530868-0.0696749j -0.052319+0.00295953j 0.0413427+0.0306894j -0.0824614+0.0589685j 0.0308311-0.0230023j 0.0572636+0.00747641j -0.00718552+0.0298157j 0.00156457+0.0243079j 
-0.0279903-0.0042703j 0.0478482-0.0268376j 0.0205438+0.0210948j 0.0454559+0.00471527j -0.108626-0.00764768j 0.0306545+0.0559126j 0.0431375+0.0740663j 0.031006+0.00834379j -0.0518045+0.0472849j 0.101041-0.00394743j -0.0143532+0.0354363j -0.0564817+0.0143503j -0.026507+0.0440887j -0.0291455+0.0228418j -0.00854161+0.0199857j 0.0364267+0.042926j 0.0219185-0.0372277j -0.02348-0.0596076j -0.12006+0.0130586j 0.033176-0.0850045j 0.0110378-0.0874776j -0.0819262-0.0658333j -0.0228187+0.0874075j 0.0853925+0.00451437j -0.0236113+0.0671913j 0.067332+0.00014626j 0.0882433+0.013579j -0.0294001-0.084139j 0.0719505-0.0191901j 0.0395647-0.00354147j 0.0208794-0.0283766j 0.0500758-0.0311279j 0.0748034+0.106439j -0.0239368-0.0298162j -0.0175175+0.012505j -0.0152012-0.0175139j -0.0452875-0.0163555j 0.0531954-0.107322j 0.017734+0.0782226j -0.0842902-0.00385823j -0.144475-0.0934474j -0.0262789-0.00876319j 0.0102939-0.0206661j -0.0451088-0.1274j 0.0359041+0.0723097j -0.0132105-0.0161918j 0.0254981-0.00730717j -0.021583+0.0297009j -0.0696796-0.0400136j -0.119233-0.117051j -0.0379056+0.131939j -0.0600646+0.0784579j 0.0714599-0.00565531j -0.00403835+0.0184777j -0.0378428+0.0760028j -0.0595616-0.0777096j 0.0467732-0.0906958j -0.0740772-0.0205501j -0.00148779+0.0285092j 0.0454272+0.0647252j -0.00224593+0.0748777j -0.0747023+0.00813532j -0.0719277+0.179278j -0.0438641+0.0595613j -0.0295852-0.0168746j -0.0224972-0.0250889j -0.0154334-0.00763561j 0.0277194+0.00266934j 0.0354453-0.0171711j -0.0162966+0.068629j -0.0379323-0.0463811j 0.0206177-0.0113217j -0.00572195-0.0209893j 0.0205542+0.00531177j 0.0406436+0.0149909j -0.0048143+0.076231j 0.0290068-0.0053538j -0.0131044+0.0186645j -0.0463277-0.0108151j -0.0129616-0.0225457j 0.0195552+0.00575402j 0.0494494-0.00213519j 0.0129128+0.0322178j 0.0201001-0.00597539j -0.00294923+0.0360743j 0.0193074-0.00516921j -0.0186976+0.033711j -0.039765+0.0102466j 0.0521553+0.0566864j 0.0536241-0.0485835j -0.00277335+0.0447676j 0.0104505-0.00976066j 
0.0113-0.0608809j 0.00770805+0.0233997j 0.0175766+0.00687588j -0.0318874+0.0312504j 0.0560518-0.0167197j -0.0300732+0.0416725j -0.00581215-0.0165306j 0.0259726+0.0861401j 0.000553672+0.0343995j -0.0652533+0.0526j 0.0023894-0.0592102j 0.050873-0.0590528j 0.0144938+0.0535835j -0.0140606+0.0267233j 0.0666698+0.0147688j 0.00919582+0.014237j 0.000641187+0.0170541j -0.0740117-0.0791267j -0.101124-0.0286447j -0.0373755-0.0647613j -0.101793-0.00602179j -0.0671157-0.0797301j -0.0617701+0.0634958j 0.107883+0.00907866j 0.00728923+0.0742432j -0.0448204-0.0464253j 0.00683553-0.00989636j 0.10606-0.0108103j -0.0224077+0.0455807j -0.0276172+0.00295246j -0.0594441-0.0687254j -0.00344225+0.0279528j 0.0123855+0.0564824j -0.000148821-0.0199798j 0.0580403-0.00495746j 0.0523234-0.0501181j 0.0108372+0.0199348j -0.0084822+0.0625571j 0.0214764-0.0729355j 0.0253521+0.0511788j -0.0045748-0.01438j 0.0194579+0.0631666j 0.0311428+0.0686008j -0.129501-0.0575389j -0.100773+0.0358256j -0.0414838-0.0240568j -0.0795361-0.110579j 0.0562673-0.058526j 0.0152918+0.116431j -0.0639414-0.00513918j -0.0356694-0.0288038j -0.0945153-0.0970311j -0.0989873+0.000986743j 0.0374208-0.0500705j -0.017415-0.0104469j 0.109571+0.0352425j 0.0502516+0.0973518j -0.0573008-0.0310698j 0.051632+0.00540485j 0.0569445+0.0243422j 0.0162934+0.0272389j 0.0626526-0.0367976j -0.0751273-0.0230154j -0.0871473-0.0286152j -0.118129-0.0529988j -0.0740371-0.00070657j 0.0704998-0.0394093j 0.0204179+0.0469972j -0.0114421-0.00723012j 0.0314814-0.00710763j 0.00517312+0.00172677j -0.00557119+0.00487415j -0.0157717-0.0268817j -0.0412624-0.0188801j 0.0323296+0.0315573j 0.0167758+0.0292271j -0.0712305-0.00899425j 0.00480214+0.0273069j -0.0060887+0.00896244j 0.0104132+0.0184443j 0.0112354+0.038359j -0.0423023-0.0362946j 0.0189652-0.0105334j 0.0649903+0.060187j 0.00477168-0.0161185j -0.00303122+0.0356888j 0.01033+0.00162574j -0.00471151+0.00355668j -0.0132685+0.00224401j 0.032838+0.0316269j 0.021359+0.0355237j 0.0558308-0.00583102j 
-0.0476493+0.004265j 0.0119271-0.0310058j -0.0318936+0.00473124j -0.00608893+0.00467018j -0.0183728-0.0029019j -0.0348865-0.0122758j -0.0672018-0.0390383j -0.043424-0.0530918j -0.115655-0.0395514j -0.00623769+0.0644174j 0.0308429+0.0661556j -0.110905+0.0377933j -0.00917185-0.0955963j 0.0306759-0.0918801j -0.0706124-0.0511728j 0.0620898+0.0454721j -0.0495864-0.0308102j -0.00899272-0.0773279j 0.0495999-0.00906581j -0.0698375-0.0865687j 0.136262-0.0156462j -0.0815193-0.000293998j 0.0756091+0.0408962j -0.00396908-0.0755112j 0.198984+0.0787177j 0.00508897+0.0343197j 0.0687184+0.0146116j 0.0432883+0.0596124j 0.109426-0.017735j 0.039151-0.0175726j 0.0587377+0.00563265j 0.0112776-0.00713884j 0.0341314-0.00204945j 0.0012288+0.0166105j -0.0498149+0.0189901j -0.0039407+0.013171j 0.0341491+0.00257054j 0.0976992+0.0279768j -0.0841186+0.0364809j 0.0623733+0.0184516j -0.079027-0.0257766j -0.00586704+0.0128487j -0.0557799-0.058229j -0.0542138-0.00595669j 0.0361369-0.0329134j -0.0887657+0.0557224j 0.0433391+0.0515515j -0.0263272+0.00479561j -0.0119195+0.0608776j 0.100158+0.0906626j 0.0422853-0.0173245j -0.0333909+0.0154831j -0.025479-0.0448081j 0.0240094+0.0687163j -0.0202846-0.0519475j -0.0452257-0.00931876j 0.0615229+0.0391352j 0.017113-0.0928055j 0.00439474+0.0118438j -0.00131341-0.0893153j -0.00149298-0.0870108j -0.014252-0.0693439j 0.0779246+0.100021j 0.0106429+0.0398955j -0.00966009+0.0885577j 0.0332386+0.0142915j -0.0300617-0.0855534j -0.0114777+0.000810548j -0.0133311+0.0417642j 0.0363214-0.11995j -0.00715607-0.0213403j -0.0486215+0.0249862j 0.0327661-0.00190725j 0.0082014+0.0280892j -0.0325572+0.0181136j -0.0224742+0.0336294j 0.0535581-0.000882683j -0.00576133+0.0311484j 0.0389296+0.0219032j 0.0160157-0.0111596j 0.0162185+0.0411006j -0.00485141-0.0344345j 0.0127971-0.00298713j -0.022921+0.0238134j 0.0370596-0.0443796j 0.0184961+0.00104121j -0.00819828+0.0421597j 0.0154894-0.0634083j 0.0364434-0.035439j -0.0315912+0.016148j 0.0333914-0.00714068j -0.0184228-0.0736129j 
0.00252017-0.0223707j 0.00768604-0.0128515j 0.040681+0.0169228j -0.0250512+0.00637j -0.0257795-0.0536289j 0.00666257+0.0439091j 0.022507-0.0271474j 0.0493216+0.0808597j 0.0923858-0.0256449j 0.0243268-0.00351371j 0.00520892-0.0111268j 0.107608-0.00318757j 0.00642183-0.000174758j -0.0715826+0.0742168j 0.0366305-0.0274324j 0.00301025-0.119358j 0.108756+0.0182514j -0.0076575+0.0423143j -0.0670397-0.125563j 0.0252511-0.000994969j -0.0474952-0.0400591j -0.0955689+0.053403j -0.00343041+0.0730067j 0.079741-0.00584126j 0.178406+0.0745235j 0.0224734+0.00501386j 0.0327063-7.23836e-05j -0.0359209-0.0279024j -0.00662237-0.02339j 0.0198633+0.00547132j -0.0177625-0.00444445j 0.00636137+0.00594095j 0.083053-0.00698395j 0.0313669+0.00240187j 0.000248149-0.0120324j -0.0307706-0.00267845j 0.0102098+0.00724025j -0.0305323-0.0407352j 0.101573-0.0448974j -0.0138189-0.0749267j -0.033011-0.022041j 0.0408524-0.000401078j -0.13004-0.0773269j 0.0224985+0.0573809j 0.0268305+0.0712j 0.0467582-0.0184534j -0.0780603+0.00126638j -0.0107138+0.0232003j -0.0323806-0.0821592j 0.0583011+0.0207599j -0.0557291-0.0400503j -0.038227-0.0119287j 0.01193+0.0093397j 0.0291241+0.0499501j -0.0323591+0.0728347j -0.111019+0.00696716j 0.0485964-0.00228096j -0.055266+0.0652145j -0.00300428+0.0389665j -0.0380089+0.0311595j -0.0791312+0.0280341j 0.0057255+0.0848902j -0.167151+0.00828793j -0.0262523-0.0752612j 0.00763723-0.0875916j -0.0169891-0.0444591j 0.0235601+0.0325766j 0.0290536-0.0423617j 0.032-0.00361238j -0.0715748+0.0706292j -0.004979-0.0484095j 0.0341078-0.0530454j 0.0296234+0.0221548j -0.00640352+0.0470935j -0.0261362-0.0586674j 0.0284118-0.00249387j -0.0170043+0.0307446j -0.0184161+0.0235523j 0.0105643+0.0270303j 0.0210797-0.00672852j -0.0143454+0.0477096j 0.033849+0.00360217j 0.0186765+0.0102684j 0.00141184-0.026722j -0.0336727+0.000929678j -0.00594165+0.0340113j -0.00743891+0.0159564j -0.0214666+0.00857385j -0.00284706-0.0142705j 0.0450469+0.0166776j -0.0377368+0.0521915j 0.0336513+0.0337242j 
0.00230566-0.0127673j 0.0196261-0.0121089j 0.0500531-0.028193j -0.0319873+0.00516533j 0.0617254+0.0178979j -0.0812136+0.0309118j -0.00575321+0.0614461j -0.00285701-0.013604j -0.0528872-0.0736508j -0.0326001-0.0260021j 0.035219+0.0251007j -0.0247355+0.0266436j -0.0575882-0.0850156j -0.0837179+0.167528j -0.0869315+0.0605519j -0.0571052-0.0594513j 0.0555891-0.103888j -0.0289807-0.0602957j 0.0784481+0.0620986j 0.0594852+0.0234276j 0.173561-0.151691j -0.0160104+0.0439807j -0.036544+0.0166111j 0.0399987+0.0556498j 0.0992022-0.110116j 0.098932+0.00778312j 0.0589428-0.00943357j 0.050865+0.0229103j -0.0740634+0.0128885j 0.0280503-0.0556093j -0.0272192+0.0462111j -0.0177308-0.0232703j 0.00473281+0.0586349j -0.00167694+0.0464753j 0.0488985-0.0127241j 0.0536228-0.0141779j -0.00538684-0.0149383j 0.0181986-0.0607307j 0.0146287+0.00965427j 0.0275923+0.0514279j 0.0477799+0.0486651j -0.0869402+0.050725j -0.0634672+0.104457j -0.158923-0.112744j 0.0118344+0.012742j -0.0619798-0.0256144j 0.0615204-0.0598969j 0.150402+0.0927084j -0.0122493-0.0697049j -0.0336497-0.144428j -0.0610181+0.0288456j 0.0617205-0.046344j -0.189725-0.0277592j -0.0308227-0.0769729j -0.239242+0.0433188j 0.145388-0.090328j -0.0873482+0.0296405j 0.0217232-0.040995j 0.0492988+0.0348148j 0.0303127+0.0858084j 0.0348369-0.0285962j 0.0181288+0.0625844j 0.051978+0.148014j -0.0129616+0.000136638j -0.0339577-0.0155959j -0.0108165-0.0180537j 0.0537593-0.0295453j -0.0140402+0.00582127j -0.0651895+0.00520047j 0.0958607-0.0162293j 0.0111682+0.00704825j -0.0131543-0.0742202j 0.026181+0.047797j -0.0214887-0.0278808j 0.000589415-0.00431049j -0.00540925+0.0163504j -0.0199942+0.00416419j 0.0174638+0.0544448j 0.0313245+0.0541417j -0.0231631-0.0178998j -0.00908513-0.0208744j -0.0300077-0.00875552j 0.00972868+0.0362838j -0.0162584-0.0168473j 0.0325141-0.0434254j 0.028409+0.0421121j -0.0216123+0.047139j 0.0280664-0.0465845j -0.0167578+0.010253j -0.016634+0.0177311j 0.0664572+0.0461933j 0.0336379-0.0646493j 
