0.0339758+0.0246895j -0.0234129-0.01832j 0.023271-0.0218066j -0.0873245-0.0173075j 0.0110663+0.0319288j 0.00362774-0.000776126j -0.00300555+0.00305382j 0.00128639-0.00134658j 0.006733+0.00343063j -0.00684901-0.00212362j 0.0082996-0.00630033j -0.00867116-0.00648819j -0.00120614+0.00424509j 0.00567005-0.0014925j -0.00234714-0.00828108j 0.0136451-0.00332037j -0.00682254+0.00545797j -0.00855114+0.0113653j 0.00690048+0.0352535j -0.0247034+0.011049j 0.00637675+0.0224885j 0.0214786+0.00534061j 
-0.0793288-0.0761394j 0.0764057+0.0517484j -0.0075417+0.0710785j -0.000376444+0.0564388j -0.0389572-0.116935j 0.00212713-0.00151385j 0.0175607-0.0201145j 0.00526415-0.00470095j -0.00652132-0.0143255j 0.00954448+0.00596792j 0.0123734+0.000459484j -0.00124871-0.00688235j -0.022137-0.00709248j -0.0129377+0.00127825j 0.00347582+0.00142781j -0.00207081+0.0163709j 0.00051077+0.00182126j -0.00329116-0.0225527j -0.00563408+0.0218211j -0.00581542-0.00479525j 0.0204245-0.0280461j 0.00731453+0.00977439j 
-0.0436161+0.0589098j 0.0295691-0.0157993j 0.0343848-0.0377354j 0.0288756-0.0270465j -0.0236779-0.0136112j 0.0342885-0.027739j -0.00110026+0.0102168j -0.0126342+0.00621646j 0.00604596-0.00303463j 0.00120076+0.0216535j -0.00212014+0.00736092j -0.0116451+0.0144907j 0.0151115-0.00982873j -0.0056623-0.0188616j 0.0114773+0.0045376j 0.00464161-0.00105432j 0.023182-0.00639521j 0.00183024+0.00222703j -0.0124196-0.00303562j -0.0021239+0.00525845j 0.00982335+0.0148818j 0.0156215+0.00527376j 
-0.0454661-0.0620256j 0.0430781+0.0373886j 0.0993631+0.107024j 0.0427602+0.0406485j -0.077903-0.116526j 0.0567605+0.0263036j 0.00935669-0.037196j -0.0124662-0.0306974j 0.00503413+0.00288065j 0.0105574+0.00874792j 0.0114148+0.000138547j -0.0301379-0.0120636j -0.0134694+0.0283641j 0.00163901-0.0181348j 4.7077e-05+0.0228621j -0.0153487+0.0116838j 0.0315268+0.0338581j -0.0090637-0.0244333j -0.00387031+0.0105426j -0.00506119-0.00863854j 0.0159259-0.0267024j -7.22356e-05+0.0319839j 
0.0904682+0.10637j -0.030335-0.0446344j 0.0581136+0.0567043j 0.00066317-0.0499543j -0.0603839-0.0251373j 0.0261485+0.0168663j 0.00330937-0.00576601j -0.00735311-0.0133533j 0.00228534+0.0143165j 0.03207+0.0150143j 0.00761977-0.0266925j 0.00967981+0.00521096j 0.00560397+0.0044938j 0.0210058-0.00790853j 0.0248384-0.00459387j -0.00447636-0.0412823j 0.0087656-0.00134567j 0.000598089-0.00296557j 0.00904983+0.0102876j 0.0109134-0.00119287j 0.00363451+0.0133728j -0.000589436+0.0139864j 
0.0468867+0.165062j -0.0126162-0.0612393j 0.073447-0.0417676j 0.00863302-0.0731466j -0.103701+0.106914j -0.000406803-0.00962298j -0.0195818+0.0461579j 0.000489559+0.0102283j -0.00556608+0.0239313j 0.0286928+0.000621877j -0.0199273+0.0171814j -0.0165175+0.000422955j -0.00668417-0.00929609j -0.00912451-0.0159185j 0.0179091-0.0122353j 0.0140612-0.046714j 0.013714-0.00690109j -0.0108613+0.0196646j 0.00154272-0.00625493j 0.00574633+0.0115982j -0.0102796+0.0235546j 0.0217449-0.023116j 
0.372695+0.0520327j -0.200794+0.0301199j -0.0657725+0.0592179j -0.126105+0.0175769j 0.120479-0.0379918j 0.00266931+0.0457854j 0.0140806+0.0197303j 0.00303277+0.0172854j 0.0199077-0.00318185j 0.029363-0.00993035j 0.00691541+0.0184097j 0.0320478-0.000483637j 0.00238513+0.00404737j -0.0170156-0.000892423j -0.0159675+0.0147011j 0.0168219-0.0184711j -0.00141453-0.0134737j 0.00949541+0.00805327j 0.0041087+0.00291398j 0.0163067+0.0126154j -0.0120124-0.000684131j -0.020713-0.00338699j 
-0.0217084+0.239073j 0.024941-0.0991791j -0.000635062+0.115039j 0.0183864-0.0384398j -0.0208018-0.0589361j 0.0249491+0.00136121j 0.00287704+0.0180851j -0.0147669-0.0155979j -0.00768433+0.0444346j -0.0105716+0.0223729j -0.00440453-0.0493389j 0.00438487-0.0053433j -0.0154089+0.0058881j 0.0107003-0.0239723j -0.00799863+0.0237245j 0.00334533-0.0132463j -0.00561804-0.00871235j -0.00362213+0.00226697j 0.00470594+0.00605513j -0.00920909+0.0160515j -0.00399339+0.0104451j -0.011094+0.0143654j 
-0.0999114-0.0138327j 0.0285866+0.0305707j -0.107464+0.024626j 0.0303804+0.0302489j 0.0742796-0.0436197j -0.0577108+0.0146702j -0.00916921+0.052776j -0.00455168-0.0324345j -0.0134506+0.0326001j -0.0188942-0.000437855j 0.0035427-0.0118194j 0.000443888+0.00315377j 0.00776097-0.00202749j -0.00551468+0.000371282j -0.00388054-0.0332113j -0.025333+0.00340384j -0.00269248-0.0126468j -0.00529032+0.00523789j 0.000394118-0.000773471j -0.0144274-0.00515512j -0.0160638+0.000249407j 0.00632363-0.00196808j 
-0.0512172-0.0526511j 0.0249622+0.020961j 0.0484899+0.00150565j -0.0270336-0.00274604j -0.0468145+0.00900189j 0.0110227-0.0354093j -0.00128742+0.0364834j -0.00521015-0.0374789j 0.00322072+0.0444491j -0.00786986+0.0126049j 0.0114209-0.0306916j -0.0162588+0.0128625j -0.0037863+0.00474506j -0.00251674+0.0240549j 0.0181679+0.0165845j 0.0188597-0.00882883j 0.00492377-0.00241001j -0.000737336+0.00104966j -0.00024266+0.00890304j 0.00569048+0.000228834j -0.00550835+0.00338344j -0.00276667+0.00341671j 
-0.270602+0.287707j 0.107405-0.148535j -0.0454994-0.0287738j 0.0662076-0.147327j 0.00580484+0.079448j -0.0305187+0.0523566j -0.0250082-0.00948811j -0.0127023+0.0264842j -0.0124611-0.0115075j -0.0405007+0.0103213j -0.000467376+0.020743j -0.0212121+0.0193396j -0.0121206+0.00106636j 0.0149243+0.0150274j 0.0360261+0.000800657j 0.00205985-0.00420686j -0.00136819-0.0391814j -0.0103519+0.0314565j 0.00266403+0.00940126j -0.0137167+0.0181152j -0.0279459+0.00742545j 0.0134774-0.0281818j 
