0.308899-0.0631973j 0.126897-0.10243j 0.0588524-0.0609154j -0.035037+0.0544302j -0.0931507-0.0577437j -0.0902596-0.0490725j 0.068834+0.055274j 0.0378151+0.0541172j -0.0532882-0.0524127j -0.0140277-0.004551j -0.0710856-0.00185143j -0.0541664-0.000195121j 0.00226761+0.01152j 0.00971982-0.00458595j -0.0446452-0.0373351j -0.00659286-0.00292785j -0.0061347+0.000977177j 0.00303011+0.000451592j 0.011322+0.000247739j 0.0157409-0.00695436j 0.00704652-0.0174112j 0.00468916+0.0123809j -0.0137052+0.00461467j 0.0015765+0.00459129j 0.0217177+0.00175494j 0.0129408+0.00884101j 0.00133511-0.00987754j 0.0113079+0.0268737j 0.0122522-0.00347972j -0.00116793-0.000325587j -0.001106+0.0117257j 0.0189335+0.00524281j -0.0475998-0.0057394j 0.0033703+0.0106049j -0.000977774+0.00344496j -0.00714464-0.010255j -0.025621-0.00989475j 0.013693-0.0265744j -0.000487673-0.0177893j -0.0379428-0.0251505j 
-0.0214823-0.263886j -0.0863608-0.11317j -0.0470494-0.0543973j 0.10802+0.0116661j -0.0764326+0.085667j -0.0648946+0.0710375j 0.0458518-0.0223623j 0.037421-0.0729793j -0.0338826+0.0509368j 0.0134272+0.00319482j -0.0225614+0.0314636j -0.0377782+0.0489076j -0.00969755-0.00291037j -0.0254877-0.0225476j -0.0134076+0.0219221j 0.0184573-0.00143942j -0.00680829+0.00714544j -0.0121598+0.00188381j -0.0109696-0.00226246j 0.0124195-0.0241401j -0.0305646+0.00371411j 0.0150667-0.00504005j -0.012955-0.0195989j 0.00784151+0.00822826j 0.00859621-0.00827609j 0.00365218+0.00856262j 0.00194654-0.0339517j -0.00358669+0.0013833j -0.00574301+0.0160731j 0.00496844+0.012749j -0.00819292-0.0179744j 0.00291255-0.00235888j -0.0196382+0.0147507j -0.00709042+0.00471079j 0.00336059-0.00553689j 0.00758087+0.00566708j -0.00266641+0.00723968j 0.0169666-0.00608867j 0.0348842+0.00179609j -0.00908508+0.0228974j 
0.105755+0.0666311j -0.209635+0.46048j -0.0233408-0.00225766j 0.0348515+0.00256812j -0.0846019-0.0456312j 0.00690137+0.0185983j 0.00572911+0.0138836j 0.0205511-0.0332788j -0.0790707-0.0232121j 0.00254753+0.0132701j -0.0162052-0.0147728j -0.0404075+0.0135482j 0.00974169+0.00603596j -0.0031191-0.0117589j -0.0180231+0.000384199j -0.00378504+0.00803759j -0.0147986-0.0438045j -0.0189229+0.0108604j -0.000378713-0.00988478j 0.0130355+0.00805139j -0.010111-0.00218205j -0.000215023-0.00460907j -0.0182747+0.00945591j -0.00196093-0.00351739j 0.0104816-0.00502818j 0.00986427-0.00170903j 0.000854919+0.0183692j 0.011247+0.0235123j -0.0171404-0.00539019j 0.00820377-0.00308084j -0.00330756-0.00928384j 0.00425495+0.00147219j -0.0174697-0.0158239j -0.00902937+0.00140079j 0.00967018-0.00993365j 0.00901605+0.0120071j -0.0174276+0.00845895j -0.00299589+0.000117625j 0.00723361+0.00750092j -0.0168359-0.0250556j 
0.00613671+0.0124123j 0.42721+0.285791j 0.0203203+0.0305473j 0.0300832-0.0323641j 0.0129349+0.0263973j -0.0167396+0.034563j 0.0107418+0.00307618j -0.0186553-0.0320246j 0.0338832+0.0356552j 0.00899837-0.0149125j -0.00668733+0.0165901j 0.00910733+0.00654734j -0.00261466+0.00740025j -0.00581193-0.0142916j -0.00812264+0.0317004j 0.00562101-0.0111298j 0.0217604-0.0192474j -0.0117042-0.00922289j 0.00132509-0.000903202j -0.0107637+0.000344972j -0.00681878+0.000870493j 0.000557927-0.0246341j 0.00423863-0.00115283j 0.00249974+0.00221984j 0.00937043+0.000400098j -0.0108551+0.015781j 0.00139148+0.0173905j -0.0150253-0.020541j 0.0116105-0.0059954j -0.0101009-0.0145931j 0.00462111-0.00717995j 0.0118683+0.00723156j 0.00309931+0.00791069j 0.00305134-0.000233588j -0.00779163-0.00821458j -0.0211677+0.00494139j -0.00794148-0.0176828j -0.00451307-0.00487224j -0.00725164-0.00196434j 0.0105712+0.0239426j 
-0.15963-0.162926j 0.0709736+0.0522375j -0.0943626+0.0228854j -0.0260064+0.140206j 0.0560346+0.0439193j 0.00861135-0.0382761j -0.110498+0.0799077j 0.121326+0.0637409j -0.0116624+0.0831458j -0.0102469-0.0102101j 0.00142102+0.00450205j 0.0281634+0.0307671j 0.0216919-0.0199251j 0.0298917-0.0101945j 0.0326585+0.00760231j -0.0215772+0.00580124j 0.0067046-0.00598998j 0.00126928-0.0346369j 0.011265-0.0101721j -0.00733454-0.0136609j -0.00410778-0.0430996j -0.00860232+0.00726707j 0.0385705-0.00204116j 0.00835298-0.00802763j 0.0169592-0.0163352j 0.015776+0.0190763j -0.00766716-0.0135462j 0.00786813-0.00158614j -0.0196477-0.0132068j -0.00338152-0.0094217j 0.0194869+0.00377208j -0.0118111+0.000337734j 0.0164331+0.0300653j -0.00373306-0.0155934j 0.00605164-0.00662262j 0.00463535-0.00910026j 0.0128877+0.00496916j 0.0226811-0.0172203j 0.0108467+0.014192j 0.00612247+0.025489j 
0.00291113+0.0696852j 0.301852+0.249653j -0.0330752+0.00943538j 0.0327993-0.0261137j -0.0874339+0.0496444j 0.0063404-0.0674556j 0.0410207-0.0465848j -0.0180944-0.0228471j -0.033557+0.00714337j -0.0303028-0.0144402j 0.0289236-0.0120199j -0.042674+0.010791j 0.000908014+0.00640378j -0.020607-0.00196088j -0.0334443-0.0137094j -0.00634694-0.00266785j 0.0100583+0.0180588j 0.00647268+0.0101939j -0.00486013-0.0011087j -0.00155421-0.00541138j 1.95565e-05+0.0107781j 0.00836054-0.012316j -0.0149238-0.0098946j -0.0023122-0.000190789j -0.000537875+0.00322604j 0.00651522-0.00336105j -0.00741949-0.000852116j -0.00448141+0.00953859j -0.000952526-0.00280984j 0.00623356-0.011229j 0.00426156+0.00126343j -0.00114346+0.00677376j 0.00013674-0.00113908j -0.00787099-0.010216j 0.026643-0.00720232j 0.00168746+0.00598138j -0.0188716-0.00232562j -0.00473572-0.00207181j -0.000348233-0.0010283j -0.00373539-0.00111566j 
-0.0124168-0.175461j -0.0400484+0.13929j -0.0219462-0.0664155j -0.0732927-1.81045e-05j -0.0323715+0.0136479j 0.0444793+0.0172863j -0.0306873+0.0124081j -0.0297478+0.052328j -0.0277626+0.0131741j -0.0430744-0.00240286j 0.00533029+0.0018882j 0.0172572+0.00934725j -0.0144566+0.00704123j 0.026617+0.0121294j 0.00173684-0.0103107j 0.00365163+0.00602465j -0.00222949-0.00903985j -0.0134384+0.00912059j 0.00983053-0.0101097j -0.00122473-0.00564203j 0.0172297-0.00459407j 0.00933913+0.014056j 0.00412351+0.0111905j -0.016051+0.0109606j -0.00980333+0.000172818j 0.0136707+0.00171528j 0.00062782-0.0147119j -0.00541226+0.00317591j -0.000749192-0.00463154j -0.006667+0.00260286j 0.00244361+0.00532146j -0.00296966+0.00874604j 0.00397471+0.00788797j -0.00660814+0.0169614j -0.00710831-0.00430615j 0.00405608+0.00500801j 0.00517674+0.00188402j -0.0062573-0.0209009j -0.0145423-0.0061618j 0.0124966+0.00810931j 
-0.211723+0.0585411j -0.332307+0.210296j -0.0849499+0.0206098j 0.0110318-0.0412663j -0.0438745-0.0114688j -0.0476388-0.0267443j 0.0389071+0.00525386j -0.0217213-0.0204356j -0.0176308+0.0109389j -0.0125162-0.0041613j 0.0386468-0.0367067j -0.0254794+0.00967309j 0.00667048-0.0170488j -0.0256909+0.00149944j 0.000796684-0.0109864j -0.014485+0.0057491j -0.0189849+0.00195214j 0.00281248+0.00895765j -0.00855125-0.00529882j -0.0022395-0.00119975j -0.000455862+0.00225493j -0.00270303-0.000714172j -0.00538653-0.00289859j -0.00600729+0.0164619j -0.000922655+0.00113166j 0.0125243+0.014272j -0.00643418+0.00765126j 0.00442165+0.00142809j 0.00288722+0.0044347j -0.0128687-0.0100699j -0.00557241+0.00120979j 0.00405662+0.00263131j 0.00163633-0.00653643j -0.0027467+0.00747641j -0.0340395-0.00526019j -0.00527963+0.00332653j 0.0225923-0.00688085j -0.0118019+0.00535581j 0.00261318-0.00169862j 0.00934596-0.00474825j 
-0.252603+0.0718424j 0.138729-0.131218j -0.0960832+0.0738963j 0.0351731-0.0196579j -0.0434816-0.00641448j 0.0105842+0.0226703j 0.022779+0.0313397j 0.013998-0.0370873j -0.00218296+0.0272311j 0.0282898-0.0417082j 0.0172181-0.00788528j 0.000153868+0.0201563j -0.00671132-0.0152332j -0.0185181+0.00435992j 0.00896654+0.000807696j -0.0164425+0.00635003j -0.000211261-0.00967786j -0.00553152-0.000633637j 0.00687973-0.00986097j -0.0114385+0.0023927j 0.00957723+0.00291245j 0.00979204+0.0228342j -0.00424208+0.00130965j -0.0100814+0.0118026j 0.00655224+0.0148957j 0.00202895-0.00293962j -0.0273045-0.0268026j -5.61139e-05-0.00541331j 0.0140376-0.00420021j 0.00702823+0.00712525j -0.0177602+0.0039541j -0.0151388-0.00249483j 0.028643-0.0101188j -0.00455355+0.0115602j 0.00299413+0.0022672j 0.00469211+0.00242565j 0.00664121+0.00761365j -0.0131093-0.000539974j -0.00574757-0.00623639j 0.0204729+0.00455393j 
0.0401906+0.0204997j 0.0781972+0.0367661j 0.0527113-0.0393906j -0.0466819-0.00991413j 0.0489964-0.0824477j 0.025954-0.0419215j -0.0107461+0.0264276j 0.0132401+0.0347193j 0.0266699-0.0632816j -0.0100543-0.0115301j 0.000864862-0.0242317j 0.0244558-0.0272545j -0.00501439+0.00679894j 0.0100552+0.00718918j 0.0143821-0.0129826j -0.0023956+0.0155755j 0.00889242-0.0100283j 0.017327-0.00959997j 0.0175383-0.0177203j -0.00430203+0.0205576j 0.00512105-0.013313j -0.00875603+0.0213618j 0.0108003-0.0147707j -0.000237868+0.0217462j 0.000850695+0.000772161j 0.00201184+0.015259j 0.00864507-0.00681974j -0.00630229+0.02129j 0.00525314-0.00182288j -0.00799286-0.00421848j 0.00286022+0.0144792j -0.00994829+0.00271964j 0.00461442-0.00324209j 0.00301224-0.000119807j 0.00628666-0.00490117j 0.00453724-0.00298664j -0.00194191+0.000219706j 0.00730961+0.00299559j -0.00339694-0.00788904j 1.55564e-05-0.0184949j 
-0.0784422+0.185031j 0.0926456-0.179204j -0.184017+0.0114447j 0.0399488-0.0818381j -0.206098-0.0260041j -0.0593292-0.00936601j 0.0178076-0.0598317j -0.071434-0.0653267j -0.163734-0.0518006j 0.0129425-0.014884j -0.0222036-0.0175947j -0.083602+0.0190092j -0.039577+0.0259187j 0.00301601-0.00825059j -0.0862637-0.0158247j -0.0040524+0.0236968j -0.0189207+0.00109774j -0.00936877+0.044273j -0.00322327+0.00242097j 0.0156984-0.00844869j -0.00441665+0.0144659j 0.00298458+0.000946126j -0.0273074-0.00171538j -0.0111701+0.0110614j 0.00439744-0.000329809j 0.006481-0.00339179j 0.0010505+0.0137864j 0.0101911+0.0397746j -0.00214158+0.0179023j 0.00921876+0.00643165j 0.00189874+0.00754191j 0.00410588+0.00623728j -0.0338024-0.0235166j -0.0056715+0.00379454j 0.00670537+0.00755039j -0.00378878+0.00482998j -0.00769352-0.00696312j -5.45771e-05+0.000510872j 0.0170452-0.012876j -0.0297754-0.0455616j 
