-0.0169331+0.017305j -0.0219479+0.0104872j -0.0347708-0.0684283j -0.164369+0.000825596j 0.0303929-0.0662769j -0.0247391-0.0107139j 0.0154785+0.0173718j -0.00255253-0.00444678j -0.0167466+0.0276444j 0.0264807-0.0749581j -0.0795182-0.095921j 0.0821729+0.139283j 0.122607+0.00206035j 0.0851733-0.139509j -0.0838808+0.0922607j -0.0202613-0.0777384j 0.0171402+0.0281614j 0.000977108-0.00696354j 
0.00627957+0.0575143j -0.125744-0.0399163j 0.0406385-0.0585991j 0.0533943+0.0714667j 0.0548927+0.0420676j 0.0201645-0.0322932j 0.0049973+0.0130708j -0.038422-0.00328444j -0.0168213+0.0138582j 0.0204407-0.106718j 0.0910522-0.243753j -0.0111081-0.193891j 0.0550807-0.127213j 0.121077+0.194983j 0.0148488+0.0527711j 0.0158415+0.0168517j -0.00447518+0.00948652j -0.013779-0.00370422j 
-0.161537-0.0870729j -0.0578767-0.026943j -0.0402037-0.00473052j -0.0106391+0.0643762j -0.00348602+0.0984153j -0.066425+0.0656005j -0.0111127-0.0388326j 0.0766226-0.0179962j -0.0754224+0.0617216j -0.113051+0.068165j -0.0342964-0.0412798j -0.0255243-0.030235j 0.151701+0.0406908j 0.0529704+0.0254493j -0.102518-0.089387j 0.0346692+0.0136806j 0.0331597-0.0408397j 0.0272413+0.0211839j 
0.059141+0.0688953j -0.111363+0.0328837j 0.0928483-0.0466509j -0.0341148-0.0491015j 0.141724-0.0665598j -0.0350562-0.00358799j -0.00237366-7.42276e-05j -0.00803986-0.0100897j 0.0227027-0.0219759j -0.142798+0.00117493j 0.0138042+0.181921j 0.175452+0.185451j 0.125798-0.0834277j -0.0021074-0.0054632j 0.0524438+0.00941346j -0.0109483+0.0283688j -0.0109009-0.014882j 0.00452199+0.00548536j 
-0.070753+0.0382605j 0.0827602-0.0358027j -0.107622+0.0580665j -0.00335512-0.0414633j 0.0828575-0.00241808j -0.011119-0.00822174j -0.00595381+0.0037937j 0.035759-0.0130263j 0.0652796-0.125214j -0.170616-0.17115j 0.0615744+0.0591581j -0.0071171-0.287341j 0.077435+0.0328067j 0.00895136-0.0215845j 0.0539332+0.0305812j -0.00512041+0.00708802j -0.00957939-0.00474067j -0.00171468+3.90693e-05j 
0.110003-0.0959006j 0.00447757-0.0452114j -0.00739109+0.0545333j 0.0614529+0.0806938j 0.0451285-0.0803188j -0.0457272+0.054734j 0.0136838-0.0214403j 0.0114897-0.0325613j -0.139284+0.068614j -0.00762836-0.119214j -0.194271-0.0177503j 0.0364412-0.0445053j -0.0718771-0.0639008j -0.00630882+0.00929717j -0.0238787-0.0221743j -0.0392339+0.0282214j 0.0266342-0.0247793j 0.0182101+0.0101735j 
-0.0567226-0.0328434j -0.00816979+0.101206j 0.101815-0.102948j -0.0466038+0.114086j -0.00945785+0.0202486j 0.0152228+0.00215111j -0.00289146+0.0122401j 0.108582-0.237468j -0.0802715-0.106869j 0.059163-0.103217j -0.13298-0.0997266j -0.0672163-0.0521275j -0.00870133-0.00122593j 0.0132692-0.0191236j -0.00561242+0.0451085j -0.00884065+0.00481173j -0.0189387+0.00322153j -0.00221965-0.00791713j 
0.0260354-0.0875087j -0.0319992-0.0378108j -0.10171-0.0116409j -0.0460035+0.0429451j 0.0031238+0.00525999j 0.0339423-0.00025272j -0.0166839+0.0202932j 0.071297-0.0676905j 0.157927+0.115332j -0.245349+0.0308923j -0.0542985-0.0784966j 0.0578903+0.0474727j 0.0482434+0.0388111j 0.0164306+0.0138822j -0.0212166+0.0194476j 0.0239322+0.0239452j -0.0325803+0.00526246j -0.00460048-0.0171568j 
0.00839393+0.118548j 0.106115+0.0464326j -0.0265937+0.0912927j -0.015339+0.0288896j 0.0144596-0.0355629j -0.00461417+0.0262101j -0.0111133+0.00619434j 0.191811+0.113486j -0.226859+0.0802169j 0.12829+0.069794j -0.0198304-0.0236074j -0.00605415+0.0121034j -0.0239888+0.0251507j -0.00802782+0.0151757j -0.00824686+0.00355477j -0.00963486+0.0276316j -0.014476-0.0102387j 0.00887427-0.0108513j 
0.0535496+0.0792356j -0.0371674+0.124278j 0.00504797+0.0104055j 0.0151158-0.00230495j -0.0204289+0.00715093j 0.0100339-0.0251937j 0.00603943+0.00188131j 0.20335+0.0267393j -0.117425-0.0617586j -0.0340555-0.0658766j 0.000718909+0.0301429j 0.0126723+0.0151227j 0.0259462+0.0356118j 0.00887568+0.0115966j 0.011148-0.0156911j 0.0276889-0.0113232j 0.00140277+0.0186951j -0.0118337+0.0059232j 
0.0425015-0.115427j 0.0128023+0.0567669j -0.0183707+0.0493981j -0.00812292+0.0289002j 0.00374218-0.0285977j 0.0128092+0.00500193j -0.00357647+0.0101004j -0.117071-0.0825677j -0.165248-0.0716253j 0.0616634+0.0202519j -0.0100509+0.00438774j -0.00895061+0.00811292j -0.0191905+0.0303008j -0.00711847+0.0116867j 0.00348003+0.0111016j 0.00183679+0.0272588j -0.018417+0.00820274j -0.00194238-0.00977905j 
