-0.263844+0.288994j -0.261145-0.292062j 0.474227+0.0856953j -0.0028469+0.644418j 0.475119-0.0814518j -0.121188-0.255383j -0.204327+0.252016j 0.146032-0.133018j 0.259635+0.00891526j -0.0320591+0.0480767j -0.0441326-0.0482316j -0.258836+0.00778433j 0.147648+0.134432j -0.199251-0.250186j -0.120748+0.254083j 0.102835-0.0499811j 0.0579445+0.0751216j 0.0853052+0.125822j 0.0704308+0.0258488j 0.0955637-0.126035j -0.00988103+0.0506044j -0.0750602+0.077594j 0.000542485+0.0825941j 0.137524+0.0149446j 0.0268606+0.0273803j -3.94013e-05+0.0817363j 0.0265045-0.0264187j 0.137359-0.0135542j -0.00440812-0.0889255j 0.0740476+0.073289j -0.0101327-0.0529548j -0.0938919-0.126676j 0.0692009-0.0269751j 0.086387-0.123468j 0.0596445-0.0753612j 0.101983+0.0499749j 
-0.170697+0.0984756j 0.0338493+0.193112j -0.0360884+0.341962j 0.0275844-0.104675j 0.141164-0.31453j -0.0806728+0.0830991j 0.305708-0.249686j 0.21943-0.164263j -0.087742-0.227375j 0.0326666-0.0191271j -0.04487-0.334815j -0.00173562+0.256522j -0.218342+0.111186j -0.152751-0.288291j -0.330269-0.22847j -0.17368-0.0453521j -0.0927995-0.163423j 0.138316+0.114402j 0.104214-0.127581j 0.0187404-0.125878j 0.0541403+0.0626797j 0.0321249-0.0576096j -0.115247+0.121907j 0.106686-0.0747347j -0.0361009-0.0270929j -0.0290923-0.0901216j 0.175026-0.0654914j 0.030858-0.0147619j -0.118186+0.00983341j -0.1025-0.124736j -0.0194499+0.0810741j -0.0905094-0.130238j 0.0200626-0.0357055j -0.0241494+0.0870451j 0.0981961+0.237272j -0.283511+0.1221j 
-0.0317769+0.193905j 0.170544+0.0955538j -0.139785-0.316503j 0.0287595+0.106152j 0.0352026+0.34511j 0.329876-0.225148j 0.151293-0.284472j 0.218138+0.109825j -0.000499447-0.244623j 0.0449676-0.343433j -0.0355387-0.00928709j -0.0894208+0.223607j -0.214782-0.163941j -0.306489-0.252356j 0.0828785+0.0858287j 0.284787+0.125187j -0.102664+0.239296j 0.0224372+0.0888126j -0.02029-0.03874j -0.0910058+0.131809j 0.0182674+0.0830294j -0.094887+0.124708j 0.126075-0.001976j -0.0308992-0.013374j -0.172988-0.0649711j -0.0283712+0.0925192j 0.0372003-0.0235148j -0.105872-0.0755066j 0.113745+0.114477j 0.0402949+0.0661495j -0.0550211+0.0618153j 0.0199869+0.127118j -0.102675-0.127227j -0.139343+0.114471j 0.0926293-0.162051j 0.174047-0.0444128j 
-0.0379188+0.0868642j 0.108555+0.0356718j 0.0242144+0.123542j 0.123672+0.00562638j -0.0825345+0.0413556j -0.0704753-0.0559789j 0.16394+0.00673857j 0.0564928+0.0449131j -0.0931305+0.169424j 0.00359767-0.09403j 0.210693-0.0511649j -0.103035-0.0283252j -0.0215861-0.0917852j -0.0820951+0.154207j -0.234349+0.093776j 0.0141858+0.0102651j 0.0171251+0.0310599j -0.0426765-0.0536746j 0.0248072+0.0105353j 0.0569082+0.0689832j -0.0961824-0.186993j -0.039281+0.0522177j 0.0685207-0.0546628j 0.202832-0.0481321j -0.0188385+0.0127162j 0.0881816-0.0173387j -0.409787-0.229418j -0.018612-0.0205417j 0.0738657-0.0598281j -0.0568242+0.307621j 0.0393753+0.0730294j -0.0276654-0.0994707j -0.0334549-0.279739j -0.0818447-0.0783762j 0.0528974+0.311511j -0.108959-0.210763j 
0.0964+0.0978105j 0.0579936-0.0986876j -0.0552624+0.00956598j -0.0758358+0.122021j -0.0777931-0.0511281j 0.0678679-0.0820258j 0.0360122+0.179203j 0.0226875+0.0670134j 0.0349331+0.0617591j -0.000241879+0.0100274j -0.304285-0.141663j 0.121927+0.0023762j -0.00289936-0.0892806j -0.0899256+0.0279776j 0.00309572-0.145732j 0.00949971-0.00380858j -0.0208819+0.0367732j 0.0257447-0.0573772j -0.059008+0.0783291j -0.0733116+0.111261j 0.132319-0.298765j 0.0473818+0.107263j -0.0701232-0.0984859j -0.100582-0.180369j -0.0532274+0.0568829j -0.0804709-0.101923j 0.0534769+0.0643229j 0.0999271-0.0370485j -0.346141+0.0981835j 0.197629+0.143302j -0.177239+0.115025j 0.354768-0.281064j 0.0815253-0.233873j 0.129138-0.000294249j 0.0482231+0.0731518j 0.0740656+0.0101697j 
0.0274576-0.0915347j -0.130474+0.000596945j -0.0441917+0.0478723j 0.0348039+0.0727601j -0.0521325-0.0155393j -0.161397+0.0233424j 0.0516054-0.118476j 0.00409967+0.14952j -0.107569+0.144389j -0.27429+0.0216758j 0.120573-0.0954729j -0.117754+0.130451j 0.036644-0.14967j 0.0911972+0.0111623j -0.161876+0.209305j 0.0323187+0.052347j 0.0613646+0.0379883j -0.025844-0.0532523j 0.0803993-0.0481708j 0.0188697-0.0196409j 0.157929+0.0026464j -0.0963112-0.164655j 0.25366+0.19862j -0.243038-0.129915j 0.0644647+0.00847486j -0.268042+0.130922j 0.151013+0.19322j 0.0551669-0.0792453j -0.17294-0.0264568j 0.0672867-0.100713j -0.162255-0.114025j 0.0929375-0.125397j -0.018709+0.16962j 0.0959161+0.176485j -0.0386505-0.113889j -0.0245752-0.113088j 
0.129126-0.000882083j -0.0295681-0.0900503j 0.0543172-0.0168662j 0.0331529-0.0749582j 0.0463652+0.0467041j 0.160987+0.207573j -0.0896214+0.00987901j -0.0384935-0.150841j -0.111104-0.12791j -0.117065-0.101012j 0.271543+0.0181378j -0.118056-0.146231j -0.00285835+0.154275j -0.0516819-0.116963j 0.161417+0.0218722j 0.0252673-0.110722j 0.039361-0.118647j -0.0981372+0.175748j 0.0171996+0.170915j 0.0941333+0.127654j 0.163174-0.108304j 0.0870193+0.100524j 0.166672-0.031205j -0.0499756-0.0780008j -0.161671+0.194461j -0.262992-0.131845j -0.0711765+0.00630026j 0.245097-0.126709j -0.240352+0.186038j -0.120542+0.176582j -0.154381-0.00107766j 0.0139662+0.0251518j -0.0808493-0.0471931j 0.0236513-0.0559059j -0.05989+0.0364765j -0.0336836+0.0519073j 
0.0604302+0.0967846j 0.0950473-0.0990133j -0.0772959+0.052553j 0.0768757+0.1215j -0.055462-0.00797725j 0.00422293+0.147882j -0.0893755-0.0288936j -0.00443274+0.0882675j -0.112996-0.00375271j -0.313123+0.140835j 0.00166447-0.00859438j -0.0369301+0.0630642j 0.0228597-0.0654284j 0.0354967-0.181543j 0.0680338+0.0839066j 0.0756058-0.00953413j 0.049048-0.0716803j 0.131371+0.0040784j 0.0789749+0.232209j -0.349793-0.282714j -0.176737-0.121136j -0.226424+0.132313j -0.325831-0.105946j 0.0975769+0.035665j 0.0586476-0.0628899j 0.0732623-0.0993571j -0.0499462-0.0552649j -0.100864+0.175785j -0.0710665+0.0907389j -0.0531064+0.115704j 0.129891+0.299883j 0.072122+0.108444j -0.0596265-0.0754384j 0.027205+0.059933j -0.0199457-0.037736j 0.00893648+0.00333454j 
-0.107291+0.0355909j 0.0383255+0.0860691j 0.0839655+0.0438847j 0.123866-0.00840232j -0.0239515+0.122616j 0.233833+0.096891j 0.083007+0.157283j 0.0199307-0.0920049j -0.0946896+0.0311651j -0.214554-0.0494812j -0.00520725-0.101604j -0.0960758-0.170221j -0.0538264+0.047148j -0.164454+0.00888915j 0.0706208-0.0565676j 0.11067-0.209051j -0.056169+0.310228j 0.0820595-0.0764178j 0.0329522-0.276796j -0.0225393+0.102238j -0.036854+0.0753595j -0.0609774-0.308134j -0.0651427-0.0381247j 0.0156187-0.0186516j 0.411436-0.228471j 0.0800699+0.0155675j 0.0165658+0.0144838j -0.201452-0.0505744j -0.0693401-0.0477548j -0.0458956-0.0550556j 0.0940832-0.188441j 0.0566952-0.0677531j -0.0243718+0.00893509j 0.0435921-0.0553644j -0.0174354+0.0317561j -0.0158394+0.0105175j 
-0.0410253-0.00198983j -0.00614676-0.00821845j -0.0192907-0.0222668j -0.115695+0.0369086j -0.0698285-0.129641j 0.0303275+0.0143647j -0.057371+0.0336592j -0.00641831-0.0363091j 0.0294492-0.141663j 0.00948628+0.0365651j -0.0318049+0.0676704j 0.0221164-0.0191156j -0.0634955+0.0232092j 0.0315898-0.0323535j -0.0121567-0.0625462j 0.0225572+0.00173479j 0.0223558-0.0317198j -0.0228034+0.0241756j -0.0238392-0.0709389j -0.0179546-0.0538317j -0.0250861+0.0623418j 0.0303537+0.0311498j -0.0408843-0.0623695j -0.170399-0.0814159j 0.00835545-0.0057937j -0.0410761-0.0175108j 0.0691597+0.112333j -0.0101916+0.019427j 0.0595141-0.089651j -0.0405277+0.0826729j 0.0163789-0.00898895j -0.159142-0.0402653j -0.0300288-0.0876753j 0.0974453+0.108143j -0.117837+0.0962955j 0.141642+0.0765824j 
0.0357727-0.0506249j 0.042283-0.00514478j -0.0139587+0.0581099j 0.0486672-0.0771848j 0.0825139-0.0466955j 0.0114581-0.047415j 0.0142086+0.0824509j 0.0354297-0.0297677j 0.0632004-0.00749331j 0.0133716-0.0145879j -0.116039-0.0479488j 0.0924237+0.0148915j -0.144686+0.00748408j 0.141547+0.0269153j 0.040259+0.0388131j -0.00464834-0.0532333j -0.0891613-0.0607055j 0.0441289+0.0220806j -0.13513-0.0230147j -0.0846887+0.0353489j 0.0854632-0.0265709j 0.0165557+0.0484763j -0.0621555-0.0533846j 0.00343558+0.074662j -0.00848914-0.0139757j -0.036677+0.11255j 0.0360095+0.129537j 0.0483976+0.00187226j -0.071211-0.125028j -0.0923293+0.0335178j 0.0440689+0.0285794j -0.0781689-0.0222087j -0.130493+0.0292273j 0.0731988-0.0237021j 0.150736+0.162003j 0.179609-0.1014j 
