-0.00482682+0.00201894j 0.00975321-0.0548097j 0.0184372-0.0064168j -0.0486841-0.0436958j 0.0062504+0.00177345j 0.0125761+0.027273j 0.01335+0.0507083j 0.00922833-0.00604439j 0.0323932+0.00721596j 0.00827204+0.00379807j 0.016378+0.023381j 0.0197574+0.00821525j -0.0181403+0.0199565j -0.0232026-0.0169295j -0.00304754-0.0288392j -0.00850359-0.0144922j -0.00617297+0.00328704j 0.0219102-0.00628932j -0.00981121+0.0316064j -0.0132876-0.0203557j -0.0271059-8.85335e-05j 0.00914359+0.00615025j -0.0183296-0.0306393j 0.0108604-0.0372679j -0.0196761-0.0176089j -0.0369643-0.00781204j 0.0114481+0.0229662j -0.011651-0.0240956j 0.00293897-0.00600512j -0.00251333+0.0043147j -0.00459642-0.0262597j -0.011809-0.00922282j -0.00705863-0.0187574j -0.0124469+0.0226027j 0.0147189+0.0460412j 0.00778405+0.00728507j 0.0213088-0.0185331j -0.0311013+0.0476866j -0.0263461-0.00159927j 0.00704052-0.00843208j -0.00295812-0.0221021j -0.0141931+0.0608798j 0.0233984+0.0453419j -0.00871325+0.0196432j -0.00220217+0.0370775j 0.00548364-0.0152726j 0.0160539-0.0161816j -0.0300966-0.0222963j -0.0100153-0.0179769j 0.0212502-0.0231571j -0.00327778+0.0054415j 0.00918654-0.0485827j -0.00168146+0.0935753j 0.00793438-0.00772568j 0.0224108-0.0748998j 0.0198925+0.0114476j -0.018998+0.0151823j -0.000589954-0.0116742j 0.0670481-0.0275309j 0.0260892-0.0196585j -0.0181809-0.0393073j 0.0187679-0.0178038j 0.0202628+0.0184466j -0.0475347+0.0530483j 0.104084-0.0157852j 0.0324865-0.0893822j 0.0881434-0.0403853j -0.0535912+0.144647j -0.110147+0.108149j 
0.0103319-0.0547249j -0.00579587-0.00475547j -0.0443082-0.0523858j -0.00697442+0.00246315j -0.00750963-0.021303j -0.0131143-0.0277288j 0.0300373+0.00411437j 0.00451721-0.0304194j 0.00401342-0.00570743j -0.0150933-0.00810493j -0.0171097+0.00557457j -0.00765833+0.0144433j -0.0147792+0.0107799j 0.000120385-0.029199j 0.0106618+0.0291994j -0.0112372+0.0073957j -0.00484431-0.053625j -0.00519524+0.0343932j -0.00247996+0.00772559j 0.00935485-0.0183508j 0.00332181-0.014539j -0.0032512+9.33264e-05j 0.00235746-0.0504425j 0.0134962+0.0343054j 0.00564004-0.0123314j 0.00406429-0.0389044j 0.00371956-0.00468239j 0.00146221+0.0003766j 0.0112644-0.0135536j -0.0177785+0.0140254j -0.00187994+0.0113716j 0.0304223-0.0178215j 0.0101804-0.00555128j -0.00718205-0.0163436j -0.0385385+0.0668298j -0.00848659-0.0107621j 0.00165234+0.0077681j -0.0230002-0.0464661j -0.0129405-0.0103724j 0.00928009+0.00979097j 0.020837+0.00686933j -0.026215-0.0679518j -0.0539337+0.0144024j -0.0202213+0.0136292j -0.0059794+0.0350187j 0.0126063+0.021895j -0.00722314+0.020936j -0.00725122-0.0361442j 0.00102648-0.0323574j 0.0304796+0.0544486j -0.00225382+0.00134942j 0.0429458+0.01965j -0.0494368+0.0404196j -0.0350097+0.000342061j 0.0374903+0.0166268j 0.0152566+0.019951j -0.0129624+0.0340327j -0.0147525+0.0248954j 0.0126206+0.0600516j -0.0550871+0.00317692j 0.00269037+0.0322161j -0.00877342+0.0402061j 0.0559516-0.0600791j -0.0534794+0.0761063j -0.0281999+0.000720228j -0.100991+0.027991j 0.049914-0.0897703j 0.117307-0.101662j -0.0500952+0.122153j 
0.00699884-0.0424082j -0.0121037-0.0723353j -0.000930335-0.0217346j -0.040185-0.0164485j 0.0399395-0.000816244j -0.0644368-0.0217039j 0.0399173-0.0221898j -0.0231315+0.00434722j 0.00473835-0.0172324j -9.76208e-05+0.0291028j -0.0155694+0.0171137j 0.0162712+0.00756566j 0.00179978+0.0119097j -0.0112518-0.0269705j 0.043428+0.0127086j -0.0166455+0.00483606j 0.00781676-0.00271j 0.021166+0.0350972j -0.00949205+0.00130525j 0.0099958-0.0529298j 0.060887+0.031136j 0.0271815+0.00742397j -0.0134205-0.0413648j -0.00752003-0.0123674j 0.0528103-0.0379008j 0.00702859+0.0496376j -0.0431825+0.0138671j 0.0246236+0.0147314j -0.00840902+0.00906921j 0.0218008+0.00184036j 0.0193523+2.35874e-05j -0.0552799-0.0107116j 0.0202118+0.0115294j -0.00366963+0.00892157j 0.00395352+0.0134068j 0.0220182+0.0040556j 0.00110415-0.0222225j -0.0174883-0.0183632j 0.034821-0.0448165j -0.00688434-0.0713325j 0.0373255-0.0140597j -0.00828525-0.0488495j 0.0362171-0.03404j 0.0302012+0.0121049j -0.0473786+0.011523j 0.0171254+0.011084j -0.0166153-0.0175642j -0.0144656-0.0310262j 0.00914372+0.0328308j 0.0186724-0.000979325j -0.00899452+0.0120638j -0.0196231-0.0309212j 0.0136919+0.0701929j -0.0808918+0.0314431j -0.0358041-0.0753415j -0.0264627+0.0293241j -0.0135362-0.114315j 0.00338643+0.0743964j -0.0433615-0.0533569j 0.0695187-0.0273548j -0.0112082+0.0385322j 6.84806e-05+0.0352613j 0.0832266-0.135638j 0.117895+0.00743961j 0.0966317+0.0684972j -0.0430712-0.040891j 0.0555766+0.0530888j -0.0486893+0.0482766j -0.0279309+0.0471824j 
-0.00805919-0.0783098j 0.0088681+0.055354j -0.0843091-0.0361631j -0.0183819+0.0673268j -0.0744551+0.0178744j 0.0147881+0.01489j -0.0131092+0.0366203j 0.0365981-0.0345951j -0.000542854+0.0224427j 0.00180104-0.0169685j -0.0276828+0.0334007j -0.038713+0.0180192j -0.0213522-0.00703611j 0.0177207-0.0266892j 0.000132892+0.0149993j 0.00876494-0.00578092j 0.0097418-0.0467231j 0.00658222+0.0528289j -0.018916+0.020865j 0.0246857+0.0102676j -0.023418+0.00563362j -0.0125603+0.0269616j 0.0171683-0.000965755j 0.0103674+0.073086j 0.0558859+0.0651716j -0.003337-0.0497314j -0.00885888-0.0363583j 0.0125897+0.0189005j 0.0114443-0.00652427j -0.00803033+0.0167405j 0.0298609+0.0435038j 0.0676677-0.0100199j 0.0374717-0.0151608j 0.0368246-0.00138279j -0.0209248+0.0156885j -0.0335103+0.0036885j -0.000321137+0.0303293j 0.0128588-0.0438376j 0.000370095-0.0104591j 0.0404342+0.0527911j 0.0458678+0.05474j 0.04003-0.0435388j 0.0142129+0.0457126j 0.0104199+0.0536778j 0.000651102-0.0476739j -0.0304237+0.0308384j 0.0215473-0.0153688j -0.0465733+0.0809436j -0.0498213-0.0506682j 0.0573023-0.00513923j -6.37535e-05-0.0218439j 0.00168645+0.026683j -0.0493486-0.00487766j -0.0507941+0.00692708j 0.0255657-0.0937843j 0.00135331-0.0157878j 0.043876-0.0168884j -0.0581608-0.00268695j 0.0208988+0.0880852j -0.0749361+0.0136632j 0.0580705+0.133755j 0.0133139+0.0238909j -0.0807423-0.030796j -0.0284444-0.0957613j 0.133243-0.0720978j -0.128099-0.0402545j -0.0533733+0.00401327j 0.0492553-0.084765j -0.0411013+0.0551243j 
0.0102765+0.000345705j -0.0188833+0.0465177j -0.0375089+0.0270395j 0.069667+0.0589483j -0.00543837-0.00113666j -0.0178518-0.0552364j -0.0236796-0.0487356j -0.0676617-0.0274008j -0.0222381-0.0149927j -0.00836457-0.0686356j -0.0542001-0.0576123j -0.0679224-0.0406538j 0.0815674-0.0499929j 0.0258663+0.0154894j -0.00728011+0.0793765j -0.0395941-0.0247237j 0.0340839-0.00481812j -0.0336067-0.051746j 0.0221595-0.145589j -0.00205326+0.0571177j -0.0163523-0.0610451j -0.0280625-0.0291214j 0.0102279+0.00970525j -0.0572785+0.0243108j 0.030192+0.0429908j 0.0291012-0.00457011j 0.0177073-0.0881612j -6.40557e-05-0.0137753j -0.0363748-0.0385331j -0.00485503-0.0389947j 0.00541294+0.0310774j 0.0570902+0.0359911j 0.0257887+0.0325604j 0.0323931-0.0826902j 0.00279364-0.0848364j 0.000461212-0.0641122j 0.00630521+0.0439755j 0.0935647-0.0592283j -0.0216127+0.00329411j -0.0217072-0.00429464j -0.00175135-0.0236299j -0.0613096-0.0118777j -0.025739-0.0704505j 0.0424897-0.066762j -0.0127292-0.0372854j -0.0182905+0.0459383j -0.00483987+0.0142968j 0.0885526-0.00795976j 0.00229503-0.0185634j -0.0413903-0.0299315j 0.00141267-0.0500542j -0.0214855+0.05989j 0.0268612-0.0742565j -0.0355202+0.0666493j 0.00506355-0.000275031j -0.0351782-0.0423869j 0.00296087+0.0326495j 0.0635668-0.0753393j -0.0472547-0.0160685j -0.0151199+0.0245298j 0.033959-0.0321572j -0.0165361-0.00271014j -0.0330315+0.0117451j 0.0417682+0.0117741j -0.129975+0.00535799j 0.00629531+0.0951014j -0.0853896+0.0171724j 0.0150608-0.0737602j 0.0578998-0.0945349j 
-0.0198205+0.0114128j 0.00365286+0.00872596j 0.0204881+0.0336192j -0.0087536+0.00581798j -0.0182841+0.0406336j -0.0210143+0.0489221j -0.0331494-0.0289438j 0.00164211+0.0428788j -0.0107954-0.0438138j -0.00326135+0.0602142j -0.0143992-0.0600053j 0.0367454-0.0141432j 0.014111-0.0147423j 0.0235632+0.0200067j -0.043937-0.0504613j 0.037679-0.0240838j 0.0336149+0.0575268j 0.0220796-0.0712958j -0.0248059-0.0123974j -0.0151515-0.0145218j 0.0448049+0.0226925j -0.0204655-0.0392323j 0.0400817+0.0559553j -0.0235279-0.0235543j 0.00106955-0.0172451j -0.00678191+0.0473813j -0.0364-0.0133107j 0.0146616+0.0152703j -0.00971902+0.0307666j 0.0695699-0.01748j -0.0268472-0.0449571j -0.0618202-0.0990195j -0.0287841+0.0176117j 0.0141279+0.030726j 0.15051-0.0488068j 0.0364339+0.03174j 0.0260512-0.0511659j -0.0354438-0.0198803j -0.00183348-0.00652664j -0.0787011+0.0156593j 0.0246249-0.0110424j 0.0455799+0.0496455j 0.0399655+0.012383j -0.0222065+0.0503593j -0.048961-0.0157606j -0.0380331+0.0231721j -0.00608798-0.0310309j 0.00154331+0.0296335j -0.0258067+0.0777492j -0.0642359+0.0475243j -0.0211629+0.0360033j -0.0379387-0.0445772j 0.0115183-0.0131276j 0.0297994+0.0164452j -0.0486391-0.0933091j -0.0221273-0.0542547j 0.0184929-0.0916676j 0.00192844-0.0203652j -0.0331984+0.0128241j 0.0548541-0.0185534j 0.0389337-0.0193225j 0.00724912-0.0344934j -0.0320394-0.0394731j 0.0517513-0.0624981j 0.111655+0.0477144j 0.0501475-0.0346112j -0.0410992+0.104576j -0.0550978+0.0611104j 0.00208561-0.0279547j 
-0.000258005-0.0229325j -0.0131783-0.0259817j 0.0054441-0.0164225j -0.0359457-0.0235214j 0.0202524-0.0123628j -0.100792+0.0591146j 0.0346927-0.119683j -0.0386711+0.131591j -0.0520161+0.001706j 0.0421383+0.0675799j -0.0966977-0.0445908j 0.0465957+0.13583j -0.0616198+0.0622129j 0.117514+0.0793427j -0.108699-0.0633125j 0.101022+0.012759j 0.070988-0.00137888j -0.0399738+0.101965j -0.0669459+0.182104j 0.0576207-0.163275j 0.0865554+0.119381j 0.073832+0.00223989j -0.0307043-0.0182597j -0.0827985+0.0450074j 0.0809007-0.0153728j -0.0759689+0.129621j -0.219145+0.0771247j 0.0177063+0.0215498j 0.1227+0.0813757j 0.135283+0.0110274j -0.0979406-0.0161891j -0.0647331-0.0518461j -0.0737218-0.0100433j -0.0709938+0.153111j 0.059312+0.113119j 0.115604+0.0724781j -0.144293-0.0338515j -0.0926675-0.108249j 0.0354707-0.0761358j -0.058537-0.129935j 0.00242514-0.124853j 0.0043492-0.0304499j -0.0706554+0.0302531j -0.0547034+0.00970854j 0.00154795+0.0353461j -0.0467672-0.0833268j -0.0551492-0.0191536j -0.0936861+0.0648036j -0.00942339+0.114296j -0.0448015+0.0858206j 0.00362512+0.226493j -0.00589083+0.00211918j -0.0213333-0.0595691j -0.00346553+0.04064j 0.00974051-0.0303435j 0.00700577+0.0471865j -0.0528908-0.0168993j 0.0216231+0.00259745j -0.0661595+0.0149799j -0.00802564-0.0248939j -0.0279035+0.0166845j -0.0332323+0.0221028j 0.0285557-0.0321774j 0.0293864-0.00502344j 0.0153439+0.0482118j -0.0363172+0.0311683j -0.00417855+0.00108532j 0.000452259-0.0085365j 0.00884997-0.00195049j 
-0.00250894-0.000155142j -0.0216274-0.0803078j 0.0466708-0.0211061j -0.069795-0.0338397j -0.0264048+0.0178036j 0.0194833+0.0715901j 0.00910697+0.0487904j 0.00299445+0.00734077j -0.0156967-0.0131374j -0.0613515+0.0459899j 0.140689-0.0367519j 0.0166506-0.0391443j 0.000239664-0.0390953j -0.125632-0.126707j -0.0514791+0.00755018j -0.0143493-0.0583698j 0.0902678-0.0188134j 0.0353-0.0306175j 0.0316214+0.00821802j -0.0229331-0.0512402j -0.0321275-0.00786597j -0.0182864-0.0775901j -0.0166813+0.0881053j 0.0276944+0.0259183j -0.0223913-0.0386485j -0.00889363-0.0778173j 0.0432274+0.0547723j 0.0317757+0.0965957j -0.0835395-0.0102084j -0.00155568+0.0579778j -0.0544228-0.0097228j -0.0358031-0.00894904j 0.00630543+0.047529j 0.0521796-0.0613862j 0.1684-0.0110016j -0.0946286+0.00562056j -0.0330013+0.0388642j -0.103418-0.0199903j -0.035608-0.058596j -0.0345913+0.0868478j 0.0299061-0.0141499j 0.0397564+0.0401215j 0.119575-0.0306604j -0.00777487+0.0702521j 0.0417102-0.0728659j 0.107902+0.0758293j -0.0108341+0.0367733j 0.0372111-0.0513256j 0.022285+0.0403823j -0.100067+0.00126471j -0.0179695-0.0195702j -0.0245812-0.0178165j 0.0246501+0.0548393j -0.0100735+0.0144094j -0.0215317+0.0562835j 0.00489235-0.116528j 0.00870537-0.0496616j -0.0920392+0.0317371j -0.0302395+0.0771532j 0.0420418+0.00105539j -0.0596352-0.0103802j 0.0294303-0.0206724j -0.0446213-0.046676j 0.0194251+0.0365588j 0.0363139+0.0804388j 0.0768886-0.0135901j 0.00882345+0.0172402j -0.0840277+0.0725197j 0.00449063-0.00314445j 
0.0334217+0.0622332j 0.0104873+0.00700258j 0.0782146+0.0532557j 0.048535-0.0206185j -0.0521769+0.0372024j -0.0197204+0.0498982j -0.0230384-0.00314106j 0.0399841+0.0430986j -0.00487052-0.108919j 0.0227215+0.0293197j -0.0109204-0.124277j -0.041795-0.0394196j -0.00302613+0.0970993j 0.0146286+0.0804539j -0.0813959-0.0690574j -0.033089-0.0784118j 0.0982353+0.0190067j -0.0307001-0.0453852j -0.0827517-0.109468j -0.0317431-0.0705084j 0.0484307+0.0280743j -0.135585+0.000236588j 0.0011273-0.0185374j -0.118048+0.0533151j -0.090392+0.0201249j -0.0729896+0.0905157j 0.0149475-0.0532334j -0.0910035-0.00599419j 0.10771-0.0808801j 0.071962-0.0499221j -0.104932-0.00586181j 0.0369367+0.0274438j -0.0256956-0.139237j 0.123397+0.038982j -0.0165479-0.0550447j 0.067939-0.0616411j 0.0263+0.0507169j 0.0711845-0.0903464j -0.135198+0.0410703j -0.00528144-0.00497339j 0.0376952+0.0310832j -0.102072-0.0815532j -0.0850215+0.0260051j 0.0297951+0.0430054j 0.0633846+0.0449484j -0.0839865+0.0966899j 0.0393696+0.0395651j 0.0976366+0.0537205j 0.0232352+0.00348309j -0.0156232-0.0859544j 0.0143455+0.0377628j 0.00115933-0.0195815j -0.0608911-0.07023j -0.0447731-0.0786886j -0.0573907-0.0631982j -0.00465204-0.123973j 0.111624+0.0290502j 0.00596583-0.0931183j -0.0807097-0.0507773j -0.0485424-0.0146813j 0.238256-0.045808j -0.0671077-0.0397542j 0.0799072+0.00303911j 0.0337959+0.0726347j -0.00360412+0.0437816j -0.011627+0.0214798j -0.077072+0.0205054j 0.010923-0.0210109j 0.0892947-0.049613j 
0.0298384+0.0683616j -0.00875417-0.0222823j 0.0756419+0.00876088j 0.0367498-0.110354j 0.0409842-0.0912947j -0.0337081-0.044091j 0.0424923-0.105136j -0.0115334+0.157687j -0.0348733-0.036663j -0.0396465+0.0231843j 0.081574+0.074859j -0.07006+0.0785806j -0.0773901+0.059077j -0.0439365+0.0133029j -0.0366621-0.0537103j 0.0712588-0.0903539j 0.0014345-0.145372j -0.0880655+0.0580878j 0.0223476+0.0831234j 0.0340016-0.114753j -0.0267759+0.0445646j -0.0428577+0.0223187j 0.0332762+0.00175775j 0.0150587+0.0400843j -0.173781-0.0755727j -0.035565-0.0387064j -0.0450795+0.175449j 0.00658719-0.0540037j 0.0182812-0.100555j 0.0370318-0.024237j -0.116939+0.0402163j -0.0967027+0.0971282j 0.053903-0.130067j -0.0568545+0.0575293j -0.00810171+0.0298262j 0.00227551+0.0640434j -0.108202+0.0723635j 0.115181-0.0431869j 0.00258139+0.0357974j 0.0392669-0.00893538j -0.0794842-0.0151161j -0.0692738-0.131962j -0.00432048-0.0179684j 0.0357073-0.0205156j 0.0960958-0.0335475j 0.0237315-0.0108406j -0.10697-0.0223051j 0.0465772-0.0677316j 0.0271302+0.0417762j -0.0628385+0.0457286j 0.0454318+0.0574413j -0.0408883+0.0393537j 0.0647+0.00158778j 0.0684404-0.0639423j -0.00167448+0.271213j 0.0226126-0.0468306j -0.0874513+0.0881222j 0.0441182+0.0427352j 0.0700111-0.0119461j 0.0102259+0.0388949j -0.141303-0.0181496j 0.00117616+0.0421559j -0.0530433+0.0990446j -0.0399907+0.0739075j -0.191428-0.0453789j 0.0821162+0.0763798j -0.0122465-0.0336614j 0.0435374-0.024338j 0.0466809-0.050779j 
-0.0134919+0.0326801j 0.0192754+0.0236122j 0.0216381+0.00294006j 0.0338393+0.00824686j 0.0330696+0.0219451j 0.0559531-0.083941j 0.0636163+0.0259585j 0.0445769-0.0437585j 0.0123149-0.0335441j -0.0336259+0.118339j 0.100358-0.0403646j 0.212266-0.0579631j -0.0730845-0.0682353j -0.0236767-0.00170831j 0.0701857-0.0874389j 0.00396648-0.0149511j -0.10093+0.0607j 0.0355321-0.108277j 0.000316421+0.13065j -0.048162+0.0689849j -0.00415641+0.0494494j 0.0633662-0.073593j 0.0602434+0.0222691j 0.130573-0.0961557j -0.195419-0.0710692j 0.0231313-0.0132695j 0.0786748-0.044649j 0.0132674+0.124725j -0.0358753+0.0625015j -0.00138541+0.0440223j 0.0599236-0.00347242j -0.0259947-0.0742449j -0.188343+0.135197j -0.178597-0.0975126j 0.0870134-0.00782589j -0.0317953+0.0985877j 0.0741433-0.16223j -0.181312-0.0141133j 0.0953436-0.02036j -0.00659966-0.00205786j 0.00351687+0.0722007j 0.0355086-0.0149562j -0.109881+0.0268695j -0.0733636-0.0424809j 0.0207732+0.124012j 0.108797+0.0299832j 0.0524301+0.0204597j -0.0098197+0.0120559j 0.0128301+0.1163j -0.0466537+0.106306j 0.0107593+0.0343087j 0.0446232-0.00297444j -0.097377-0.1749j 0.00790604-0.146673j -0.0563514+0.142235j 0.0136116+0.00941705j 0.0320117+0.0295849j -0.0579178-0.0735542j 0.0259427-0.00213462j -0.013587+0.00142947j 0.0525775-0.0237522j -0.00249918-0.0144921j 0.120065+0.0092647j 0.0047342+0.0561686j -0.0240103+0.00966858j -0.0215574+0.0353173j -0.0144886-0.00701945j 0.0212478-0.0290179j 0.00709953-0.0157029j 
