0.124008-0.263534j -0.192741-0.301462j 0.319714-0.161529j -0.00835062+0.0321433j -0.0783198+0.44696j -0.149749+0.11746j -0.604999-0.0845941j -0.0822944+0.204204j 0.0494235+0.400324j 0.0707612-0.0704786j -0.203029+0.0345499j 0.137467-4.89042e-05j -0.168203-0.22199j -0.0981941-0.153554j -0.0598587+0.0123153j -0.0308471+0.0630838j -0.0607877+0.017718j 0.0381819-0.214599j -0.0805452+0.0390362j 0.00420718-0.00194383j -0.0503148+0.260491j 0.151616-0.0324968j 0.258451-0.143187j -0.194188-0.156403j 
-0.125017-0.261456j 0.320467+0.166593j -0.198439+0.30226j 0.0539067-0.399729j 0.0759758+0.199504j -0.604674+0.0756411j -0.141481-0.122898j 0.073947+0.444774j -0.00968119-0.037769j -0.197412+0.156633j 0.259458+0.145842j 0.152405+0.0346251j 0.0495185+0.262559j 0.00405595+0.00345003j -0.0808309-0.0407491j 0.0362102+0.214097j 0.0604745+0.0202594j -0.030566-0.0622997j -0.0613646-0.00862987j -0.0978073+0.151967j 0.168888-0.22421j 0.137184+0.00279699j -0.203388-0.0331827j 0.0724142+0.0718348j 
0.0295696+0.0255221j 0.0343236+0.191696j 0.190562+0.0338551j 0.0766079+0.0708152j 0.303213+0.02981j 0.0459537+0.0195224j -0.076983-0.0225705j -0.12946-0.00112805j -0.278386-0.163093j 0.00823398-0.0135061j -0.0399442-0.0155952j 0.0529023+0.0311265j -0.0954999-0.0806142j -0.114688-0.153507j -0.246682-0.335336j -0.0218678-0.0112659j -0.11467-0.0090516j 0.124634-0.0631481j 0.0866954-0.100592j -0.248523+0.0396934j -0.321752+0.0533138j -0.0921252-0.245738j -0.342619+0.122539j -0.206742+0.301905j 
-0.0461858-9.54376e-05j -0.0496377+0.0730208j 0.0512803+0.0711262j 0.372478-0.0296281j 0.164193-0.0793409j 0.120653+0.00406764j -0.12266+0.00445952j 0.159132+0.081166j -0.375106-0.0317115j 0.039885+0.0735208j -0.18283-0.175795j 0.100957+0.188106j 0.255161-0.0148313j 0.0345567+0.063547j 0.0665302+0.222795j 0.0486784+0.0209504j 0.33877+0.000268471j -0.0510217+0.0213209j -0.0721228+0.226366j -0.0379503+0.0590932j 0.252326+0.0179641j -0.105399+0.186134j 0.177991-0.171588j -0.0442897+0.0751669j 
0.0297585-0.0251042j -0.192757+0.0343639j -0.0326604+0.191841j 0.282091-0.160824j -0.128781-0.000153351j 0.0803898-0.0244303j -0.0484034+0.0195391j 0.305144-0.0296267j -0.0800497+0.0706749j 0.202509+0.305132j 0.338599+0.126778j 0.0979291-0.242812j -0.319417-0.0556791j 0.247929+0.037943j -0.091076-0.098466j -0.120148-0.0639009j -0.109748+0.00791469j 0.0254196-0.0132013j 0.251485-0.336564j 0.109684-0.144248j -0.0907234+0.0785809j -0.0556382+0.0349899j 0.0425594-0.0167778j -0.00895398-0.0134767j 
0.0734046-0.0092279j -0.0981183-0.063051j -0.0644404+0.116358j -0.0430221-0.0165434j -0.115659+0.0123978j -0.00729638-0.00186018j -0.0231493+0.106293j -0.0231198+0.0094242j -0.0164152-0.0852266j 0.0195212+0.0111081j -0.0529245+0.0227922j 0.0340044-0.0312146j -0.0181914+0.0769644j -0.0193503+0.101499j -0.0422668+0.144015j -0.0076711+0.0104644j 0.0310337-0.0104878j 0.196363+0.0935557j -0.0266594-0.0187374j 0.0755421+0.129618j -0.0508596+0.0825933j -0.0694658+0.0891698j -0.191035-0.0914909j -0.0602304-0.215639j 
-0.0172738+0.115766j 0.0940365-0.0713457j -0.0889091-0.0573258j -0.0740514+0.0175413j -0.0183667+0.0449134j 0.0110135-0.0664333j 0.057832+0.0876638j 0.0336333+0.0767943j -0.0445709+0.0157918j 0.0398754-0.0657408j 0.0323792+0.122687j -0.0195427-0.0724358j 0.128948+0.0337309j 0.120523+0.0125417j 0.103192+0.0133399j 0.0150692-0.0164289j 0.0186617-0.0660762j 0.013206+0.0954607j 0.0306246-0.101457j -0.0996507+0.250198j 0.0408977+0.181336j 0.0403612+0.0111006j -0.0434009+0.142871j -0.194886-0.122919j 
0.102035+0.0208942j 0.0206229-0.0336394j -0.0324534+0.01364j 0.0779978+0.0020063j 0.0299271+0.061008j 0.0166913+0.0828252j 0.120978+0.00541339j -0.0135916-0.0199977j -0.0326917+0.0837868j -0.0363313+0.0564307j -0.00657654-0.102447j -0.0292794+0.0491696j -0.0949873-0.0733471j -0.0636449-0.0211005j 0.121414-0.0465843j -0.0184102+0.0075687j 0.0684985+0.250438j -0.161777+0.0522983j 0.0685717-0.0243149j -0.0960403+0.0563331j -0.139424-0.0211015j 0.128279+0.0358262j 0.0636514-0.0634221j 0.124372+0.162776j 
0.0910494+0.0750294j -0.0547032-0.0136905j 0.00538352+0.0614299j -0.0292149-0.0227491j 0.0298744-0.0811042j 0.0856524-0.00585151j -0.072344-0.123432j 0.00534779+0.0507216j 0.0835944-0.0374631j 0.114066+0.0418652j -0.135634+0.0545199j 0.0885264-0.0149505j 0.0121832+0.0212147j -0.0535029+0.0249987j -0.0506639+0.112992j 0.00214548-0.046322j -0.0961515+0.27999j 0.0872696-0.115613j 0.0014346+0.0734878j 0.0365574-0.235212j 0.0475218-0.114419j -0.0300777+0.0358107j -0.181988-0.0379326j 0.0797778-0.0777494j 
0.047856+0.00746006j 0.0766759-0.00100317j -0.0209894-0.100464j 0.0273846-0.0898435j -0.0651635+0.0930685j 0.142169+0.10175j 0.120404+0.0172583j -0.080349+0.0346312j -0.0116354-0.0098743j -0.000220139-0.0454885j -0.0205458+0.0670181j 0.0431353-0.100429j 0.160287+0.0228957j -0.0299065-0.000396686j -0.109507-0.0200751j -0.00952767+0.0237053j -0.120728-0.167107j -0.0270532-0.0362924j 0.0343095-0.0361503j -0.0871095-0.13504j 0.0991352-0.0413441j -0.140563-0.0624856j 0.0596753+0.0370283j -0.0196219-0.105751j 
-0.0506722+0.0115212j -0.0211671+0.0978041j 0.0746357+0.00130615j -0.0091778+0.0119463j 0.0819521+0.0367373j 0.118111-0.0136079j 0.14387-0.103505j 0.0662887+0.0899759j 0.0274966+0.0901012j -0.0156351+0.108548j 0.0539363-0.0360668j -0.139889+0.0612912j -0.100602-0.0448582j -0.0860567+0.146086j 0.0388475+0.0297951j -0.0263487+0.0412077j 0.122566-0.151932j -0.0123983-0.02024j -0.108945+0.0163897j -0.0306332-4.6993e-06j -0.162267+0.0248798j 0.049292+0.101575j -0.025475-0.0681185j 0.00503913+0.0447342j 
