-0.0121744-0.01672j 0.0148623-0.0121461j 0.04804+0.1631j 0.0044923+0.010014j -0.0291754+0.0127356j -0.0132676+0.0252546j 0.0276086-0.0688603j 0.193966-0.120512j -0.00297982+0.0100832j -0.015021+0.00910746j -0.0143689-0.00057981j -0.00717633-0.00128793j -0.00882353+0.0231465j -0.000778259+0.025025j -0.0141079+0.0067192j -0.00909473+0.0181478j 0.0255669+0.0560225j 0.0821501+0.0485687j -0.100563-0.0798097j 0.0773336-0.336882j 0.133202+0.00921489j 0.3315+0.0511791j 
0.000507599-0.0286791j 0.0591523+0.135737j 0.0569054-0.0678558j -0.019074+0.0127918j -0.0303126-0.0501902j -0.0279109-0.00599334j 0.172082-0.105882j -0.193014+0.00151915j -0.0155385+0.00829165j 0.00437782-0.0261106j -0.00519249-0.0218115j -0.0102651+0.0211479j -0.0643256-0.00668509j -0.0378531+0.0358964j -0.0640982-0.0061722j 0.00887827+0.0653693j -0.0725604+0.0365866j -0.0326362+0.207051j -0.0418067-0.226003j 0.19073+0.219196j 0.235563-0.0629047j -0.283986+0.0855355j 
-0.0354415-0.00960866j -0.115254+0.000944928j -0.00914018-0.0594963j 0.0321098-0.00879954j -0.0487219+0.0738843j -0.104081+0.0909761j 0.214092+0.0600158j -0.140336+0.14348j 0.0103512+0.0143119j -0.027554+0.046525j -0.0252235+0.0269135j -0.0409132+9.47827e-06j -0.00794971+0.0715696j 0.0311152+0.0677743j 0.0376748+0.0179262j -0.0280969-0.096207j 0.0951152+0.220424j 0.25132+0.0557478j 0.00600115-0.232993j 0.0546852-0.0785975j 0.30764-0.0956915j 0.0131158-0.0640226j 
0.111163+0.124894j -0.00817478-0.0796401j -0.00187016-0.0921329j -0.0551253-0.0163994j 0.126723-0.117268j -0.106456+0.0817788j -0.0613089+0.00596351j 0.125118+0.244349j -0.0187586-0.0296429j 0.0395919-0.0446855j 0.0491918-0.0323298j 0.0394091+0.0416654j 0.0124115-0.0177602j -0.0438446-0.103162j -0.08995-0.174764j -0.254842+0.00475946j 0.0108789+0.183271j 0.097368-0.129798j 0.187123+0.0113843j -0.118263+0.00579007j -0.0175288+0.121301j 0.054795-0.121309j 
-0.0344076+0.0169709j 0.153918+0.0668686j 0.129168+0.0180895j 0.000815537+0.00496302j 0.00155036+0.00991083j -0.027628+0.311435j -0.107665+0.241773j 0.0485671+0.0761096j 0.0040741+0.0135932j -0.00431595-0.0122817j -0.0188725-0.00348473j -0.0183719+0.00934399j -0.0603795+0.0246259j 0.0704108+0.0168103j 0.0120874-0.081359j 0.0249175+0.0336818j -0.149273-0.210496j -0.179498+0.153744j -0.162153+0.0186907j -0.018514-0.00868329j 0.026957-0.0427936j -0.0123817-0.0180796j 
0.192451-0.00409176j 0.0604307+0.000548793j 0.19212+0.00410675j -0.0267817-0.0325198j -0.172555+0.0206067j -0.137888+0.000154941j 0.177741+0.0194149j 0.0225802-0.0328625j -0.0277339-0.0425462j 0.00168544+0.0522099j 0.0535242-0.00126926j 0.058199+0.0654273j 0.129879+0.150336j 0.189118-0.0177047j 0.10838+0.171598j 0.11051-0.171667j 0.189558+0.0236156j 0.133482-0.143682j 0.0613274-0.0752309j 0.0576976-0.000811992j 0.0109032-0.0541j -0.0265488+0.0434084j 
-0.130888+0.0190159j -0.150106+0.0665216j 0.0386112+0.0159135j 0.0463005-0.0803082j -0.105994-0.241644j 0.0264522+0.316072j 0.00322635-0.00542122j 0.0014108-0.000953084j 0.0118972-0.0199044j -0.0332515-0.0446197j 0.0171694-0.0106901j 0.1571+0.0120315j 0.180552+0.15671j 0.148792-0.20698j -0.0239573+0.030709j -0.0135133-0.0819082j -0.071316+0.0196934j 0.0612334+0.0257471j 0.0202378+0.00724818j 0.0187718-0.00456905j 0.00771732-0.0125994j -0.00330034+0.0124909j 
-0.000574556-0.0940066j 0.00503221-0.0741283j -0.11113+0.127303j 0.126631-0.239958j -0.0650174+0.00355281j 0.106239+0.0815031j 0.128093+0.122095j -0.059003+0.0124448j -0.0522675-0.118307j 0.0183299+0.126017j 0.112846+0.00991203j -0.187465+0.0144153j -0.0959053-0.125682j -0.00656852+0.183193j 0.255099+0.0126522j 0.0993469-0.176111j 0.0461559-0.108142j -0.0106827-0.0161061j -0.0457482+0.0402031j -0.0473198-0.035791j -0.0387116-0.0483381j 0.0199814-0.0281592j 
-0.0113439+0.058856j -0.119523+0.00159718j -0.0306149+0.00776062j 0.132103+0.146159j -0.215938+0.0596142j -0.106953-0.0921995j 0.0516816+0.0723122j -0.032971-0.0123413j 0.0256344+0.0691078j 0.297891+0.0900602j 0.0494088+0.0891849j 0.00702277+0.228176j 0.256982-0.037442j 0.102476-0.224398j -0.0315101+0.104536j 0.0419272-0.0215564j 0.0357829-0.0620606j 0.000188802-0.074689j -0.039015-0.0032239j -0.0222942-0.0287212j -0.0269889-0.0487432j 0.0114646-0.0123251j 
-0.0612059-0.0615505j -0.056734+0.137093j 0.0021288-0.0322404j -0.188984+0.00363266j 0.181554+0.108643j 0.0306789-0.0044483j -0.0352011+0.046239j -0.0185435-0.0145588j 0.266915+0.0877218j -0.24759-0.0678055j -0.198738+0.198546j 0.0483462-0.243859j 0.0209582+0.206802j 0.0672203+0.0457223j -0.0127134+0.061208j 0.064025-0.000836393j 0.0347526+0.0402557j 0.0642003-0.00115116j 0.0118245+0.0187432j 0.00836891-0.0221559j -0.000462691-0.0250098j 0.0158772+0.00960125j 
0.0472373-0.166128j 0.0117752+0.0188148j -0.0124178+0.0164246j -0.202354-0.122891j -0.0197357-0.0639561j -0.0116747-0.0248096j 0.0299832+0.0157321j -0.00524479+0.00963739j 0.341188-0.0488516j 0.118925-0.014447j 0.0679641+0.346614j -0.101203+0.0665306j 0.0810299-0.0351232j 0.0301523-0.0522403j -0.00763859-0.0129458j -0.00989478-0.0109219j 0.0025395-0.0231201j -0.00434794-0.0255626j -0.00638352+0.00211328j -0.0144849-0.000435709j -0.0161796-0.0102097j -0.00225296-0.00971528j 
-0.0199906+0.0105727j -0.0245689+0.0113318j 0.147164-0.0163408j 0.000924512-0.00104045j 0.00345255+0.00769225j 0.00260199+0.00392517j -0.000942441-0.00532892j -0.00918696-0.0325129j -0.00562472+0.00275251j -0.00940459-0.0108648j -0.00558525+0.00552889j -0.0186783+0.012268j -0.00353128+0.0120381j -0.000450775-0.00700428j -0.00648498+0.0223949j -0.0045004-0.0241757j 0.00958363+0.0366234j -0.00996709+0.026772j -0.0375248-0.0667136j -0.0841004-0.128055j -0.0478719+0.0606287j -0.102234+0.0234026j 
0.0296673-0.00975924j -0.122813+0.0273262j 0.0274224+0.0616828j -0.00213928-0.0034628j 0.00383039-0.00361062j -0.00117815-0.00598805j 0.00934887+0.0308169j 0.0137074-0.0178101j 0.00428892+0.00702949j -0.0144356+0.0133629j 0.00613373+0.00516662j 0.0118809+0.0290277j 0.0190284+0.00777737j -0.0144365+0.010413j 0.0345103+0.00731202j -0.0355511+0.015671j 0.0103869+0.00270328j -0.0385626-0.0417064j 0.014614+0.135674j 0.0480793-0.130855j 0.0813007+0.0574898j -0.109602-0.0247262j 
0.0104062-0.00998915j 0.0430716-0.107768j 0.0532325+0.0115743j 0.00305862+0.00556644j -0.00944123-0.0111861j -0.00373033-0.0135192j -0.0244333+0.0087805j 0.000836287-0.0210328j 0.00351371-0.0111235j 0.0248998+0.00156561j -0.000179121-0.0107364j 0.0179842-0.0382312j 0.0105295-0.0192518j 0.00155392+0.00804539j -0.00334138-0.0465305j 0.0310198+0.048051j 2.9842e-05-0.11291j 0.124131-0.0586658j -0.0358356+0.148114j -0.0267276-0.0862359j 0.124416+0.148607j -0.117621+0.0316737j 
-0.0907805+0.0855215j 0.0958406-0.0388489j 0.0162955+0.044924j 0.00256138-0.00591935j 0.0180564+0.0197977j 0.0216527+0.00506704j -0.00816527-0.00621181j -0.0101684-0.0222364j -0.0117558+0.0121947j -0.0253036-0.0310547j 0.00135358+0.00954483j -0.0349627+0.00834391j 0.0142118-0.0383052j 0.0409413+0.00774877j 0.0165127+0.0535804j -0.0891152+0.0397208j 0.0311271-0.108908j 0.0197799+0.0380502j 0.0967213+0.118041j -0.0510581+0.033364j 0.118488-0.03656j 0.0136395+0.0777803j 
