0.00755332-0.0168089j 0.00657687-0.033927j -0.0213171-0.0220048j 0.0147278+0.00371959j -0.00734495-0.000859644j -0.00764399-0.0058728j -0.0207034-0.0174809j -0.0198819-0.0269578j -0.00797565+0.00378305j -0.00806614-0.02356j -0.0285992-0.011597j -0.00730554+0.00641256j -0.00344469+0.0175367j 0.00175955-0.000553425j 0.014414-0.0311079j -0.0153084-0.0170427j 0.0105521-0.0209973j -0.00978672+0.0146078j 0.00134852+0.0162209j 0.00427041+0.0354376j 0.00614621-0.0114141j -0.0072723-0.0243124j -0.00158822-6.19782e-05j 0.00301394-0.0247237j -0.0290449-0.00609594j -0.0239999+0.00239395j -0.00907449-0.0538656j -0.0211356+0.0108152j 0.00690049+0.00462157j -0.0152978-0.00101503j -0.00158341-0.061131j -0.0113964+0.0156188j 0.00972812+0.0186596j 0.0230658+0.00198099j -0.00383387+0.0258458j -0.00701551+0.0170963j -0.0103667+0.0189089j 0.00103605+0.030393j -0.0438264+0.0252401j 0.0194681+0.00382591j 0.012171-0.0376665j 0.0306445-0.0431472j -0.0211859+0.0160346j -0.00681797+0.0102776j -0.0229276-0.0222181j -0.011517-0.025028j 0.0662376-0.0441254j -0.0420633-0.0168079j 0.0120025-0.0307309j -0.0248836+0.0313735j -0.0461688+0.116777j -0.0945954+0.0818873j 
0.00587279-0.0354547j -0.0118885+0.013231j -0.0222069-0.00631904j -0.0207834-0.0277376j 0.0130213-0.010988j -0.00717912-0.0373992j -0.00358147-0.0157354j 0.00155687+0.0188949j 0.00858448+0.00240376j -0.00584576+0.00373778j 0.0093787-0.0240065j -0.0149451+0.0120341j 0.000449986-0.00385169j 0.0220764+0.0158445j 0.00346812+0.00536252j 0.0167645-0.0182647j 0.0129559+0.00982555j 0.00134253+0.0156911j -0.00762493-0.00471247j -0.0239993+0.040695j 0.0151562-8.14725e-05j 0.00934661-0.0243446j -0.0216722+0.00720139j 0.0364548+0.0101477j 0.0086392-0.0228193j 0.00719294-0.0633651j 0.021394+0.0408255j -0.0108527-0.00678207j 0.0212338-0.00189887j -0.0099097-0.0276907j 0.0372695-0.0216731j 0.00489436-0.0241061j -0.00429202+0.00821555j -0.0304607+0.0351563j -0.0173503-0.037742j -0.0153424-0.0128349j 0.0103261+0.0330747j -0.00174159-0.00695524j -0.00175832-0.0358857j 0.0141747+0.0319725j 0.00844525-0.00603193j 0.0222997+0.023345j -0.00583794-0.0116089j 0.015229-0.000870536j -0.0364443-0.00247496j -0.00986304+0.0432963j 0.0267348-0.0428701j 0.0617347-0.05868j -0.0392797+0.0187706j -0.0349117+0.0374178j 0.0989775-0.0775677j -0.0421552+0.10118j 
-0.00626818+0.0509475j 0.00862261+0.0128501j 0.0202818+0.00752688j -0.00500656+0.00396605j -0.0174012+0.00767206j 0.00962466-0.0135601j 0.0241639-0.0182586j -0.00402505-0.0153093j 0.0179218+0.0313331j -0.0299739+0.00759391j -0.00232422+0.0345916j -0.00302684-0.0101028j 0.0295563-0.0197673j -0.0286122+0.00152658j 0.0117382+0.00563611j -0.00365512-0.0049839j -0.0460053-0.00224102j -0.0130455-0.0424642j -0.0353128-0.0665815j -0.000597949-0.0412721j 0.00676996-8.09651e-05j -0.032487+0.0681998j -0.0556829+0.0149694j 0.0160312-0.00574657j 0.00255521+0.0105867j -0.000685604+0.0173665j -0.0243211-0.0206324j 0.019223+0.0247572j -0.0205172-0.0418524j -0.00251204+0.00470839j -0.00754899+0.00833226j 0.00994668-0.0125418j -0.0174569+0.0186737j -0.0236854+0.00216238j 0.0252161-0.0535652j -0.0169106+0.0141745j 0.0564236-0.00356543j -0.0251865+0.0225293j -0.0191358-0.03697j -0.0187902+0.00220231j 0.0304486+0.0478263j -0.0136819-0.0400119j -0.0782168-0.0515699j -0.0171115-0.00874746j -0.0363482+0.00276298j 0.0417731-0.0870411j 0.0107947+0.00305062j 0.0679952+0.021437j 0.0579288+0.0262271j 0.0111208+0.0724675j 0.0199903-0.0228821j 0.037658-0.0311665j 
0.00127903+0.0154137j -0.0110869-0.0502939j 0.0309482-0.0182121j 0.0273249+0.0246584j -0.000386611+0.00799397j 0.0310844-0.00786204j -0.0274902+0.0280781j 0.0172837+0.0140065j -0.0261401-0.00916315j -0.00871732-0.0211849j -0.00246008+0.0115616j 0.0526474+0.016561j 0.0123458-0.0135274j -0.0106994-0.029434j -0.020999-0.02991j -0.0169065+0.0256057j 0.00876379-0.0437577j 0.0386838+0.0151507j 0.019275-0.0389674j 0.00826719-0.0137936j -0.0222766-0.00731216j -0.0478623-0.00991936j -0.0263947-0.0495889j -0.00196066-0.0402911j -0.0194345-0.0308231j 0.010112+0.0589535j 0.0163867-0.0103849j -0.0264099+0.00741045j -0.00375712-0.00393605j -0.0356236-0.045267j -0.0147174+0.0207482j -0.027012+0.0756874j -0.004475-0.0127419j 0.0211369-0.0808887j 0.0145419+0.0389443j -0.0176821-0.0210912j -0.00292069+0.0655566j -0.0454982+0.0309441j 0.030067-0.011882j -0.0378459-0.0273075j -0.0266776+0.0326708j 0.007616-0.00115798j -0.0234102+0.00911488j -0.0278714+0.0149977j 0.0671097-0.0150674j -0.0892384-0.0479386j -0.066449-0.015457j 0.0375609-0.0695474j 0.0579559+0.066087j -0.0725328+0.0231605j -0.0456838+0.0546362j 0.0225414-0.0483136j 
-0.0108611-0.0177414j 0.0140056-0.0801502j -0.0470187-0.0569153j 0.0752435+0.0127229j -0.0178748+0.00924334j -0.0380668+0.0395807j -0.0303667-0.035076j -0.0677465-0.0773189j -0.0549972+0.012564j 0.029305-0.0377036j -0.0695415-0.0197669j 0.0089401-0.0300395j -0.0301664+0.0543856j 0.0152485-0.0166544j 0.0200483-0.0436471j -0.0377203-0.0402652j 0.00550662-0.0133428j -0.0248969+0.00181621j 0.028777+0.112459j 0.0262512+0.0119579j -0.00265484-0.050706j 0.00332318-0.0111988j 0.0371122+0.0287704j 0.0123634-0.025379j -0.0571124+0.0616479j -0.0531644+0.0462365j -0.0583527-0.127903j -0.0114513-0.0105676j -0.0124836+0.0287838j -0.0295719+0.0106137j -0.0716298-0.0668472j -0.0208093+0.0393054j 0.00786571+0.00644039j 0.0556286-0.0527924j 0.0809673+0.0890115j -0.000598466+0.0383515j -0.0576001+0.0211065j -0.00877584+0.0441196j -0.0502289+0.075144j 0.0326073-0.081283j 0.0185945-0.0695239j 0.00508669+0.0219313j 0.0145115+0.050242j 0.00286922-0.0267967j 0.0378645-0.0312081j -0.067343+0.0112139j 0.061968+0.0369932j -0.144053-0.0754653j 0.0683309-0.0859876j -0.0147358-0.0176886j -0.14823+0.203997j -0.0665129+0.0471048j 
0.0139133-0.0749608j 0.00857115+0.0124326j -0.0815954-0.000117123j -0.0517121-0.0647722j 0.0150687-0.015258j -0.0331421-0.0831909j -0.0163512-0.0664416j -0.0215789+0.0124833j 0.0192598+0.0116532j -0.0142452-0.00851261j -0.00969382-0.0563718j -0.0393217+0.00082508j -0.00961754+0.00153309j 0.0568418+0.0531082j 0.0442431-0.0115817j 0.0524083-0.0260436j 0.0335059+0.00370869j -0.0199644+0.0182455j -0.0269047+0.00862778j -0.0296355+0.126423j 0.047236+0.00697191j 0.0346051-0.0737862j -0.022996+0.0476758j 0.0765263+0.022964j -0.0478761+2.69969e-05j -0.0265518-0.130306j 0.0359195-0.0463399j 0.0010436-0.0218672j 0.0498777-0.00380149j -0.0425106-0.0157653j 0.0653977-0.0798837j 0.0183591-0.0536247j 0.00818163+0.0571075j -0.0642487+0.084708j -0.0285295-0.0520579j -0.0355191+0.0220198j 0.000430017+0.0706065j 0.00898359+0.0200582j -0.105009-0.0200382j 0.069233+0.0990086j 0.0359993-0.0326184j 0.0431266+0.00909304j -0.0177547-0.0197819j 0.0471131+0.015626j -0.136506+0.0110387j -0.0324542+0.0795725j 0.122104-0.0690149j 0.0537626-0.0146063j -0.12223-0.0308759j -0.0744327+0.100554j 0.112423-0.0498058j -0.142801+0.211531j 
0.0188862+0.0109632j 0.00943878-0.0422683j 0.00583597-0.0327559j 0.0234767+0.0360844j -0.045124+0.0120691j 0.0196655+0.001666j -0.0657942-0.000374562j -0.0289544-0.00010555j -0.0288375+0.00790588j -0.0208861-0.0284097j -0.0565352-0.0374135j 0.0100028+0.0188177j -0.00673728+0.00659546j -0.00192601-0.0249959j -0.0128304-0.0554967j 0.0156945+0.00846042j 0.0211992-0.0680479j -0.000121082+0.00577245j -0.00492202+0.036368j 0.0145331+0.0260991j -0.0248361-0.00443542j -0.00361268-0.0928301j 0.0462014-0.00109174j -0.0400561-0.0975253j -0.0180705-0.0132804j -0.0622912-0.00463603j -0.0210012-0.157521j -0.0125301+0.0409686j 0.0186829+0.0552119j 0.00950478+0.0126966j -2.56251e-05-0.0623664j -0.00615718+0.0721184j 0.0520886+0.0267009j 0.081757+0.0154753j -0.057658+0.0397078j 0.00873171+0.0345807j -0.0478698+0.0172792j 0.0312916+0.0288637j -0.0976676+0.0969691j -0.0134829+0.0609569j -0.0220397-0.121869j 0.0294251-0.0400743j -0.0170785+0.016795j -0.0200919-0.0167112j -0.0267637-0.0172763j 0.0249038-0.0516013j 0.127192-0.0557846j -0.0702168+0.0751836j 0.0364255-0.0902664j -0.0801466+0.00125967j -0.0673168+0.143204j -0.114273+0.0757135j 
-0.0100489-0.00523554j -0.0188605-0.0118228j 0.0247993-0.0369868j -0.00173337+0.000199688j -0.0522889+0.0229903j 0.00236842-0.0530289j -0.0112784-0.0265567j 0.0344745+0.00082539j 0.00110567+0.00915179j 0.0124238+0.0462136j -0.0506947+0.0013393j 0.0775739-0.0456214j -0.00404521-0.0240219j 0.0153555-0.0719629j -0.0290702-0.047254j 0.0672156+0.01058j -0.00703333-0.000254571j 0.0435037-0.0516112j 0.0366529-0.00283594j -0.010184-0.0736145j -0.0513914-0.00497199j -0.00776994+0.0208467j 0.00536522+0.0567256j 0.00350107+0.0124724j -0.0095996+0.05671j 0.00874389-0.0455853j -0.0119446-0.0368211j 0.0725742-0.00196304j -0.0529825+0.0421918j -0.0436763-0.049452j -0.0703656+0.0629158j 0.0102257+0.0177252j -0.0162469-0.0479323j -0.00795937-0.040764j 0.0347358+0.00935452j -0.0344747-0.0257496j -0.0110525+0.0359161j -0.0801551-0.0103456j -0.0153943-0.0159138j -0.0503951-0.0085971j -0.104601+0.0169063j -0.042073+0.120101j -0.046723-0.00957753j -0.0900444-0.0628174j -0.0414585+0.0595489j -0.0261015+0.0245949j -0.0749747+0.0302732j -0.00549771+0.0433247j 0.070191+0.0472279j -0.00840936-0.00579636j -0.038667-0.0122027j 0.0280544-0.0490935j 
0.0213843+0.0194119j 0.00525177-0.00691834j -0.00866448+0.00612195j -0.00362435+0.0625162j 0.0048837+0.0667016j -0.0154703+0.0238128j 0.0103195-0.00322734j -0.0644465-0.0232128j 0.030092+0.0381997j 0.000980116+0.040536j -0.00508607-0.0565707j -0.0766754-0.0148699j -0.0530662+0.0406785j -0.000750131+0.0697512j -0.0933782+0.0662488j -0.0252751-0.0857864j -0.0141385+0.0956616j -0.0948124-0.102374j -0.0231764+0.137303j 0.0353577-0.112059j -0.0453183+0.0358331j -0.000995799+0.038509j -0.102564-0.0548952j -0.0381242+0.0413126j 0.0512488+0.0140393j -0.0472899-0.152815j 0.0364135+0.0378428j 0.0325295+0.000601088j 0.0676253+0.0386996j -0.000124668-0.0740594j -0.0419284-0.123638j 0.0365294-0.0955812j -0.0814899-0.0221136j 0.0352537+0.113235j 0.0394718-0.0252349j 0.0622608-0.0404627j -0.0860493-0.116944j 0.0994825-0.0937448j -0.0471916+0.0513637j -0.0306987+0.0026263j 0.0740461-0.0677457j -0.134685+0.0104852j 0.179054-0.0401727j 0.0808884-0.0528938j -0.0775413-0.0954226j 0.175311+0.0613881j 0.0168568-0.00831496j 0.0337524+0.0032871j -0.0436693-0.0749035j 0.0561969-0.00649334j 0.000795491-0.0205484j 0.024622-0.0154971j 
-0.00692078+0.0258998j -0.0269604-0.0707387j 0.0131025-0.0560483j 0.0284492-0.0235769j 0.0188349+0.00673584j 0.0192984-0.0612923j -0.0167498-0.0198065j 0.025419-0.032762j -0.0230117+0.0110715j -0.0621113-0.0169374j -0.00302628+0.0771948j 0.075475-0.0190265j 0.0490509+0.0202524j -0.00988491-0.0283123j 0.0371937-0.0492548j -0.0798779-0.020815j -0.0185665-0.0179945j 0.0484509+0.00476355j 0.00879717-0.12744j -0.0254482+0.0192068j 0.0521452-0.0534775j -0.0746874+0.0602959j -0.102537-0.0446217j 0.121735-0.0694854j 0.0175527-0.0376285j 0.0349177+0.0622403j 0.0408496+0.0523917j -0.0769665-0.0224406j -0.0130911-0.0923256j -0.0947852-0.0678006j -0.0361664+0.00164613j -0.0994323+0.0809454j -0.0244107-0.0411949j -0.0137612-0.0841864j 0.101699-0.0621613j -0.0531394-0.0305695j 0.0313712+0.147504j -0.0819701+0.0681098j 0.00722962-0.105879j -0.044482-0.115765j 0.0168956+0.0809627j 0.00281073+0.0230751j -0.127687+0.0272422j -0.06254-0.00410484j 0.0669465+0.0104566j -0.158051-0.0770798j -0.0456987-0.0985944j 0.15347-0.149727j 0.093302+0.0854579j -0.0926634+0.0925731j 0.0155877+0.0272022j 0.0446908-0.00653752j 
-0.0146588-0.0286526j -0.0349397-0.0534142j -0.00960484-0.0354615j 0.0759558+0.00936099j 0.0386079-0.0509006j 0.00779072-0.00825693j 0.00969888+0.0859192j -0.0194979-0.0931681j -0.00243431-0.0180487j 0.0567686+0.0264181j -0.0130687-0.110436j 0.0241185+0.0498165j 0.0548311-0.00466727j -0.0279214-0.0875697j -0.185103-0.0484188j -0.153859-0.203863j 0.110486+0.0152374j -0.0199963+0.083379j 0.0294264+0.0451985j 0.0022671-0.0991203j -0.00897546-0.0412686j -0.120477+0.0397167j -0.115471-0.145585j -0.0911699+0.0580882j -0.0488897-0.1577j 0.0950291-0.0221898j 0.0197225+0.0229083j -0.161442+0.106961j -0.0132641+0.0922571j 0.0828188-0.122362j -0.0132334+0.0123665j 0.00572668-0.0840788j -0.154448-0.153627j 0.114702-0.0175528j 0.00100842+0.0599805j -0.00393978-0.0528563j -0.0228191+0.0377105j -0.0384989-0.0466468j 0.0933504-0.0092334j -0.0288686+0.0200085j -0.00282972+0.025788j 0.055974+0.0752738j -0.00270763+0.00393968j -0.0373962+0.0821179j 0.0112805-0.0563159j -0.0327688-0.0100719j -0.0658449-0.0444963j -0.00218247-0.121555j 0.00323978+0.0331158j -0.0477531-0.0163514j -0.0106915+0.0317969j 0.0383972-0.0300116j 
