0.00437942-0.0048161j -0.0160134-0.0338043j -0.0128118-0.0169793j 0.00853416+0.0228066j 0.041539+0.142423j -0.0103595-0.000936818j -0.00523559-0.0220629j 0.0239027+0.00516894j 0.0209658+0.00172128j 0.0428338-0.0301891j 0.0957699-0.0780901j 0.157083-0.101604j 0.00560866+0.000862775j 0.0105188-0.0182697j -0.00153693+0.00592091j 0.00622982-0.01165j 0.0262664+0.0068521j -0.00479012-0.00553749j -0.0088382-0.00316451j 0.0142042-0.00878333j -0.0108213-0.000364355j 0.000922312-0.0107883j -0.0348643+0.0101906j -0.0129364+0.0430582j -0.000616589+0.00690984j -0.0149791-0.0129414j 0.00587486-0.035297j 0.00950757-0.0202894j -0.00249315+0.0581292j 0.116607+0.168125j -0.0832995-0.0664817j -0.0942111+0.327145j 0.217127-0.0412457j -0.316385-0.0640056j 
-0.00976879-0.0150889j -0.0181887+0.0165421j 0.00475991+0.0264941j -0.0428981-0.135019j -0.055356+0.0793022j 0.00196952+0.0135232j -0.0294013+0.00304073j 0.00322278-0.0433699j -0.00209819-0.0460661j -0.00279048-0.0434828j -0.146722+0.0790672j 0.198467-0.0151469j 0.00907288-0.016279j -0.0128993+0.00408538j 0.0177225+0.00450138j 0.0134637-0.0161383j 0.0123651-0.0264809j 0.00414479-0.0263897j -0.0284074+0.00500352j -0.0169941-0.018854j 0.00636884-0.0209178j -0.00304617+0.0156146j 0.0420143+0.0358852j 0.0411205-0.0028146j -0.0108815+0.00922728j 0.0421074+0.0155144j -0.0472424-0.0141832j 0.00285088+0.071701j 0.0878355+0.0220735j 0.0981969-0.262006j 0.0518307+0.163169j 0.131765+0.251798j -0.260717-0.00753575j -0.298006+0.0659447j 
-0.0130806-0.024098j -0.0429785-0.0491304j -0.0182752-0.0594046j -0.103722+0.0410065j 0.000246444-0.0934341j -0.0110401+0.0132483j -0.0326996-0.0210314j 0.041835-0.00225928j 0.0303204-0.0356747j 0.128659-0.0883551j 0.238196+0.0641409j -0.175666+0.113876j 0.0130579-0.0121621j 0.00386131-0.024578j 0.0129629+0.0122043j 0.0126086-0.0206958j 0.0450243-0.00741016j -0.0197967-0.0193693j -0.0202762+0.00864315j 0.028237-0.0215683j -0.028148-0.00959169j 0.00584888-0.0204169j -0.0572699+0.0382974j 0.00376334+0.0995677j -0.0453573-0.0071633j 0.0296974+0.00540159j 0.00605906-0.12159j -0.0209773+0.0991559j 0.0506397+0.182878j 0.208622+0.164103j 0.126195-0.141546j -0.0349573+0.0249859j 0.275852-0.0664097j 0.0123315+0.0642771j 
0.0111715-0.0252824j -0.0782835-0.0856043j -0.0931741-0.0213227j 0.0333893+0.0292154j 0.0457096+0.0960389j -0.0255248+0.0131436j -0.0154318-0.057907j -0.0113142+0.0398977j 0.0497671-0.0817353j -0.175612-0.0285471j -0.105896+0.119892j -0.0644585-0.117561j 0.0134209+0.00956868j 0.00329347-0.0424069j -0.00999725+0.0239858j -0.019468+0.01183j 0.0360277+0.0289855j 0.0232316-0.0177825j -0.0270698+0.031776j 0.0146725+0.0124475j -0.0269081-0.0359475j 0.0065964+0.0216356j -0.0468591-0.0317933j 0.00464965+0.0404441j -0.0705391-0.179522j 0.0463646+0.120959j 0.112255+0.0562071j -0.225219-0.0523663j 0.0103876-0.262336j -0.146025+0.135882j -0.306235+0.0223975j -0.0257676-0.038256j 0.0426236-0.116909j 0.0805806-0.0670677j 
0.00533902-0.0130253j -0.00925454-0.0611683j 0.14906+0.135678j -0.0190437+0.0655842j -0.069294+0.0315244j -0.0105242+0.00335092j -0.0197541-0.0122369j -0.00910138-0.0272973j 0.151335-0.0882356j 0.00478718+0.165781j 0.122515-0.163127j -0.110309-0.23114j 0.00808494-0.00673929j -0.00127976-0.00877356j 0.00705261+0.0048514j 0.0104844-0.024122j 0.0198236-0.0201959j 0.0139721-0.0327053j -0.0578367+0.00721329j -0.0378062+0.000942788j -0.00274205-0.0262461j 0.0110136+0.0511541j -0.0067441+0.0296372j -0.0264055+0.0813533j 0.0988991+0.0938382j 0.0273004+0.182847j -0.180457+0.0432284j -0.136314+0.004241j 0.024849+0.11368j 0.0850183-0.0424484j 0.0619051-0.0171147j -0.113228-0.0325879j -0.0361942-0.0322654j 0.0446651-0.11008j 
0.0361236+0.00565065j -0.0695882+0.0868994j 0.0234461+0.0741576j -0.0270204+0.0103204j -0.174672-0.0597266j -0.0260773+0.0141254j 0.0435668-0.0401793j -0.117629+0.0790211j -0.162765-0.000593672j -0.0905579-0.033097j -0.165528-0.0926214j -0.0180342+0.0172796j 0.00639013+0.0280647j 0.00812993-0.0395035j -0.0334644+0.0240651j -0.0544227+0.0333027j -0.00687977+0.0475896j 0.0438904+0.0312014j -0.020236-0.00626664j -0.0198093+0.0470388j -0.0233327-0.0342672j 0.0120029+0.0541969j -0.0953838-0.166047j -0.207193+0.00327406j 0.0960605+0.167291j -0.0476903-0.149769j -0.0178912+0.0707092j 0.178818-0.133213j -0.207835+0.000667435j -0.0923587+0.0757549j -0.0337804+0.107607j 0.0527858+0.000674829j -0.0193087+0.0840507j -0.0418502+0.0304184j 
0.00191048+0.0539844j -0.149705-0.02395j 0.0473967-0.0827491j 0.0189077-0.0109135j 0.0503836-0.0736099j -0.025783-0.00106548j -0.00216656+0.00546242j 0.0146235-0.202467j -0.0695726+0.262705j -0.142237+0.107526j -0.0550505-0.055736j 0.0135358-0.00391509j 0.00130595-0.00778015j -0.00203659-0.026609j 0.0119824+0.00784291j -0.00711627-0.023295j 0.027082-0.0315249j -0.0571689+0.0384262j -0.0418826-0.139339j 0.0112808+0.00115127j 0.0907823-0.0430507j -0.0826086-0.00623428j -0.107261-0.123505j -0.0958289+0.0476459j -0.15351-0.204945j 0.00822172-0.0750416j 0.223359-0.154532j 0.0140312+0.0330274j 0.129243-0.0236431j -0.0175232+0.00561526j 0.0270634-0.0188013j -0.0124592-0.00029875j 0.0161265+0.0292573j -0.0035586-0.0078178j 
-0.138588-0.0947834j -0.0461735-0.0581494j -0.00976873-0.0010894j 0.0401374-0.0536586j -0.139788+0.0961943j 0.0693788+0.00068766j -0.0889428+0.0816171j -0.145073+0.015829j 0.0645325+0.000573683j -0.151694-0.0178287j 0.0838794+0.0841339j -0.0730513-0.00331351j -0.0366328-0.0397088j -0.0257755+0.034207j 0.0540885-0.0411023j 0.0328277+0.025144j -0.0023671-0.0203493j -0.0947011-0.0782303j 0.0865349+0.120471j 0.0082472+0.0453582j -0.16152+0.0400826j 0.0802163-0.0362207j -0.14661-0.186224j -0.143889+0.186443j -0.0844502-0.0445303j 0.164324+0.0419916j 0.0133133-0.0464549j -0.0925286+0.118671j 0.0975159-0.0855232j 0.00328046-0.0170392j -0.0397377+0.0273096j 0.053684+0.0420982j -0.0246642-0.0374198j -0.035852+0.0379396j 
-0.0473186-0.0725352j 0.0164291+0.010309j -0.0513983-0.0826542j -0.151219+0.0254672j 0.00380871+0.0518639j 0.0106472+0.00752592j -0.0498989+0.0588011j 0.144429+0.11321j 0.0648801+0.257725j -0.0109171-0.20813j -0.000992455-0.00277226j -0.0243393+0.00443993j 0.0049982-0.00893564j -0.0148536+0.0291197j 0.0142749+0.00100898j 0.0328869+0.0192529j -0.0114084-0.00177904j 0.129905+0.016986j 0.00629524-0.0390124j -0.220634-0.157123j 0.00831759+0.0707363j -0.15262+0.202087j 0.0991459+0.0550275j 0.112967-0.124108j -0.081971+0.00503299j 0.0860993+0.0424304j -0.00796428-0.00158016j -0.0423697+0.137349j -0.0579084-0.0359556j 0.0292771+0.0334934j -0.00433303+0.0228589j -0.0127775+0.00945786j 0.00457752-0.0264561j -0.00266192-0.0073018j 
-0.174932+0.0587758j 0.0241052+0.0154212j 0.0227731-0.0735015j 0.0711875+0.0855529j 0.0323965-0.00808399j 0.0232327+0.0131683j 0.159635-0.0920842j -0.0947284+0.0341959j -0.166701+0.00291716j -0.119198-0.0794563j -0.0477943-0.0430313j 0.0268214+0.0161258j -0.0446937-0.0281605j -0.0128694-0.0822478j 0.0479324-0.00499656j 0.032452+0.104097j 0.0899588+0.0859124j 0.205751-0.000428446j -0.175734-0.133668j -0.0168751-0.0669595j 0.0509316-0.147687j -0.0953258+0.165614j -0.208544-0.0155628j -0.10367+0.164345j -0.0123948+0.0567597j 0.0253513-0.0444937j -0.0163134-0.0461197j 0.0263692-0.0112314j -0.0480972+0.0279482j -0.000522153+0.050794j 0.0519956+0.0344088j -0.0321448-0.0255717j 0.0104009+0.0423923j 0.00656701-0.0266848j 
-0.0703769-0.0350694j 0.016928+0.0638914j 0.147642-0.137207j 0.00752291-0.0638314j 0.00561869+0.0145117j 0.109828-0.233622j -0.121517-0.154155j 0.0067172-0.164878j 0.155887+0.0997477j -0.0104278+0.025617j 0.0231845-0.0132011j 0.010969+0.00348075j 0.047522+0.111265j -0.0409731+0.0370031j -0.10925+0.0351058j -0.0528249-0.013636j -0.0865533-0.046105j -0.0255985+0.108423j 0.139612+0.00159039j -0.183301-0.048052j -0.0285546+0.188486j -0.100097+0.0924229j -0.0227685-0.0777214j -0.00345748-0.0330032j -0.0152669+0.0484566j 0.00597496-0.0251167j -0.0369582-0.00404078j 0.056973+0.0125062j -0.0129932-0.0323435j -0.017864-0.022664j -0.00824082-0.0238547j 0.00756398-0.00490462j -0.00352813+0.00851639j 0.00819708+0.00703274j 
