0.151003+0.178964j 0.272977-0.0833091j -0.616416-0.505654j 0.382026-0.288822j -0.0992558-0.060788j 0.130269-0.258689j 0.203628+0.519631j -0.0361778+0.0427203j -0.0658019-0.0721249j -0.0844683+0.330136j -0.215585-0.13683j 0.0999093-0.0327358j -0.00444716-0.00926983j -0.186702-0.0696368j 0.0244096-0.0426271j 0.0487625+0.0762585j 0.0455061+0.156996j 0.241329-0.0176236j 
-0.0445786-0.0136337j 0.120215+0.0206926j -0.064874+0.00919148j 0.0412749+0.0644591j 0.0592491+0.0218542j -0.0242611-0.0309046j -0.00724925+0.00132377j -0.158604+0.0396877j 0.0969777-0.159422j 0.190403-0.102712j -0.0211901-0.24546j -0.132801-0.121503j -0.0378298-0.183085j -0.0580287-0.0527489j -0.150051+0.0965189j 0.0603815-0.138786j -0.0538423+0.0548985j -0.0221236-0.0120406j 
-0.00100305+6.47759e-05j 0.00964882+0.00271362j -0.00393183-0.0128939j -0.00379184-0.0126405j -0.0265249+0.0111644j 0.0135139-0.00236841j 0.0352757-0.0331982j -0.00689886+0.0175641j -0.0174732+0.00717869j 0.0459426-0.011122j 0.0618501-0.00728705j -0.0178953-0.0168164j 0.0881898+0.0556397j 0.050862-0.0429327j 0.0892087-0.0508826j 0.041743+0.0320859j -0.162176-0.0343522j -0.10323-0.0234331j 
0.0113062-0.00254092j 0.0153274-9.77826e-05j 0.024361+0.0026234j 0.0347982+0.0199807j -0.0317704-0.0542524j -0.0183997+0.000411445j 0.0372551+0.0690564j 0.0139793-0.0117474j -0.0263095+0.0648522j 0.01601-0.0258904j -0.0533206-0.0061372j 0.0363146-0.00732215j -0.0555551+0.101889j 0.0867902+0.0726584j -0.042224+0.126122j 0.054108-0.00430386j 0.0212424-0.133219j 0.00537784-0.0890801j 
0.00497755+0.00459461j 0.0436022-0.0322031j -0.0384905-0.00537157j -0.016896+0.016881j -0.0407287+0.0618544j -0.00532254-0.0558948j -0.0339609-0.126274j 0.0227126+0.0109862j -0.0107126+0.0570305j -0.000845014-0.0780849j -0.0384961-0.0566207j 0.00899472+0.00309281j 0.0391589+0.00933569j 0.0410908-0.0300266j -0.0327371+0.005925j 0.0565995-0.0601473j -0.0545454+0.042881j -0.0354502+0.0418581j 
-0.00638671+0.00669796j -0.0224804+0.0448582j -0.000880622-0.00145844j -0.0668269-0.00774513j 0.0968948-0.00190521j 0.0553403+0.0103891j -0.0221522-0.0205618j -0.00426646-0.0314666j -0.0149242+0.0049018j 0.0515491+0.0535646j 0.0354114-0.0355766j 0.00333913+0.00336855j -0.0167567-0.042592j -0.00988367+0.0928925j -0.0694055-0.0321746j 0.0759355+0.09785j -0.00426149+0.0353825j -0.0356577-0.0389594j 
-0.00947932+0.0457292j -0.0100552+0.0178582j -0.042768+0.0623659j -0.00197622-0.00491657j -0.0160457+0.0412752j -0.0210059-0.00947113j -0.0862613+0.0496558j 0.0402917+0.0571828j -0.0837985-0.00565222j -0.042027-0.0457728j -0.0168697+0.0144753j -0.0132455+0.028133j -0.0252912+0.0980798j -0.0581766-0.0497314j 0.0110778-0.0312977j -0.102286-0.0194427j 0.0314275-0.113942j 0.0976911-0.0269202j 
0.00128555+0.0168961j 0.00816733+0.0749393j 0.0319462-0.0123796j -0.0022725-0.0453098j -0.0610178-0.057319j 0.055503+0.0358776j 0.172538+0.0767346j 0.0137476+0.0134798j 0.00231512+0.00361057j -0.0318862-0.0412199j -0.0266294-0.0201494j -0.0133067+0.0307573j 0.0108586-0.0416027j -0.0534422-0.0439366j -0.0462505-0.0427094j -0.0183258-0.0638313j 0.0351695+0.0890421j 0.0302706+0.0776378j 
-0.00672505-0.0341176j 0.0300162+0.0196157j 0.00912667-0.00366959j -0.0254643+0.0467051j -0.00900556-0.0477447j -0.0177531-0.0409566j 0.0092147-0.0246036j -0.0228218-0.0351118j 0.038037+0.0265138j 0.00742959+0.00703529j -0.000200872+0.0808866j -0.0665464+0.0803138j 0.00193438+0.0952105j -0.0433975-0.00239262j -0.044284-0.00673128j 0.053386-0.060501j 0.0195933-0.00730421j -0.0444181-0.0208775j 
0.0169176+0.00189305j 0.0236322-0.019669j -0.00168979+0.0599468j 0.0510397-0.00974879j -0.114622+0.0879063j -0.0898232+0.00642136j 0.0397985+0.0500149j 0.00693554-0.0469402j 0.0051151+0.0339764j -0.0355947+0.0377996j 0.0193479+0.0438385j 0.00686414+0.0642246j 0.0836318+0.0341893j -0.0880752+0.0666457j -0.0795502-0.0123892j -0.00250072+0.0407249j -0.0184367+0.0107282j -0.0278356-0.0533621j 
-0.0408553-0.0411872j -0.0273478-0.0577608j -0.00311352-0.061776j 0.0400652-0.00602976j -0.0347356-0.0127749j -0.0333182+0.0141881j -0.0175675-0.0564251j 0.0391592-0.00704583j -0.0528781+0.00827345j 0.0119097+0.00913859j 0.00221823-0.0530254j 0.000329156+0.0253545j -0.0535968-0.00396796j -0.061047+0.0595306j -0.102499-0.0615221j 0.0189788+0.0706555j 0.0345861+0.0162945j 0.0444527-0.0345732j 
